SearchBayesianSkopt: New best config found. Config 0: {'topK': 616, 'shrink': 615, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.15748793909357356, 'threshold_count': 7, 'tversky_alpha': 1.1297279477015572, 'tversky_beta': 1.4954730589825964} - results: ROC_AUC: 0.0935134, PRECISION: 0.0149626, PRECISION_RECALL_MIN_DEN: 0.0498754, RECALL: 0.0498754, MAP: 0.0239921, MRR: 0.0669987, NDCG: 0.0413896, F1: 0.0230194, HIT_RATE: 0.1496262, ARHR: 0.0694671, RMSE: 0.9850657, NOVELTY: 0.0052564, AVERAGE_POPULARITY: 0.6033385, DIVERSITY_MEAN_INTER_LIST: 0.8848632, DIVERSITY_HERFINDAHL: 0.9884809, COVERAGE_ITEM: 0.1743715, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0702701, SHANNON_ENTROPY: 7.6085226, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 445, 'shrink': 68, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.05986658128533494, 'threshold_count': 10, 'tversky_alpha': 1.9179275575404624, 'tversky_beta': 1.1593080477850142} - results: ROC_AUC: 0.0940187, PRECISION: 0.0150244, PRECISION_RECALL_MIN_DEN: 0.0500813, RECALL: 0.0500813, MAP: 0.0240381, MRR: 0.0672321, NDCG: 0.0415313, F1: 0.0231145, HIT_RATE: 0.1502440, ARHR: 0.0696427, RMSE: 0.9551553, NOVELTY: 0.0053210, AVERAGE_POPULARITY: 0.5712707, DIVERSITY_MEAN_INTER_LIST: 0.9083537, DIVERSITY_HERFINDAHL: 0.9908298, COVERAGE_ITEM: 0.1919438, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0782974, SHANNON_ENTROPY: 7.9474345, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 781, 'shrink': 786, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.05128114478469586, 'threshold_count': 10, 'tversky_alpha': 0.07176630109549965, 'tversky_beta': 0.30220221035235767} - results: ROC_AUC: 0.0919951, PRECISION: 0.0150553, PRECISION_RECALL_MIN_DEN: 0.0501843, RECALL: 0.0501843, MAP: 0.0234420, MRR: 0.0654806, NDCG: 0.0409023, F1: 0.0231620, HIT_RATE: 0.1505529, ARHR: 0.0678909, RMSE: 0.9792453, NOVELTY: 0.0052323, AVERAGE_POPULARITY: 0.6285977, DIVERSITY_MEAN_INTER_LIST: 0.8662836, DIVERSITY_HERFINDAHL: 0.9866230, COVERAGE_ITEM: 0.1613950, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0649066, SHANNON_ENTROPY: 7.3604843, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 504, 'shrink': 146, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.24335676260650196, 'threshold_count': 2, 'tversky_alpha': 0.05728001123375483, 'tversky_beta': 1.8346792541636083} - results: ROC_AUC: 0.0923844, PRECISION: 0.0149132, PRECISION_RECALL_MIN_DEN: 0.0497107, RECALL: 0.0497107, MAP: 0.0235133, MRR: 0.0658528, NDCG: 0.0408606, F1: 0.0229434, HIT_RATE: 0.1491320, ARHR: 0.0681809, RMSE: 0.9564895, NOVELTY: 0.0052805, AVERAGE_POPULARITY: 0.5903304, DIVERSITY_MEAN_INTER_LIST: 0.8943206, DIVERSITY_HERFINDAHL: 0.9894265, COVERAGE_ITEM: 0.1838335, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0735677, SHANNON_ENTROPY: 7.7554898, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 606, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0933967, PRECISION: 0.0150244, PRECISION_RECALL_MIN_DEN: 0.0500813, RECALL: 0.0500813, MAP: 0.0239258, MRR: 0.0668116, NDCG: 0.0413825, F1: 0.0231145, HIT_RATE: 0.1502440, ARHR: 0.0692741, RMSE: 0.9907287, NOVELTY: 0.0052603, AVERAGE_POPULARITY: 0.6011509, DIVERSITY_MEAN_INTER_LIST: 0.8864678, DIVERSITY_HERFINDAHL: 0.9886413, COVERAGE_ITEM: 0.1749121, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0709499, SHANNON_ENTROPY: 7.6317534, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 996, 'shrink': 418, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.23411391457504077, 'threshold_count': 2, 'tversky_alpha': 0.6339682563486759, 'tversky_beta': 0.014605508615798905} - results: ROC_AUC: 0.0918489, PRECISION: 0.0149750, PRECISION_RECALL_MIN_DEN: 0.0499166, RECALL: 0.0499166, MAP: 0.0235147, MRR: 0.0657525, NDCG: 0.0408957, F1: 0.0230384, HIT_RATE: 0.1497498, ARHR: 0.0681276, RMSE: 0.9683825, NOVELTY: 0.0051703, AVERAGE_POPULARITY: 0.6537938, DIVERSITY_MEAN_INTER_LIST: 0.8364948, DIVERSITY_HERFINDAHL: 0.9836443, COVERAGE_ITEM: 0.1492836, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582919, SHANNON_ENTROPY: 7.0490812, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 682, 'shrink': 4, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.06512292832708766, 'threshold_count': 2, 'tversky_alpha': 1.8651820218933832, 'tversky_beta': 1.8984870239119616} - results: ROC_AUC: 0.0885310, PRECISION: 0.0141533, PRECISION_RECALL_MIN_DEN: 0.0471778, RECALL: 0.0471778, MAP: 0.0225155, MRR: 0.0632378, NDCG: 0.0390188, F1: 0.0217744, HIT_RATE: 0.1415333, ARHR: 0.0653509, RMSE: 0.9185041, NOVELTY: 0.0052578, AVERAGE_POPULARITY: 0.6174769, DIVERSITY_MEAN_INTER_LIST: 0.8981611, DIVERSITY_HERFINDAHL: 0.9898106, COVERAGE_ITEM: 0.2151933, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0714693, SHANNON_ENTROPY: 7.8142507, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 997, 'shrink': 477, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.24908807646393388, 'threshold_count': 10, 'tversky_alpha': 0.1765387936829759, 'tversky_beta': 1.8080372700481357} - results: ROC_AUC: 0.0919094, PRECISION: 0.0150059, PRECISION_RECALL_MIN_DEN: 0.0500196, RECALL: 0.0500196, MAP: 0.0236418, MRR: 0.0661766, NDCG: 0.0410650, F1: 0.0230860, HIT_RATE: 0.1500587, ARHR: 0.0685304, RMSE: 0.9727902, NOVELTY: 0.0051703, AVERAGE_POPULARITY: 0.6537709, DIVERSITY_MEAN_INTER_LIST: 0.8366949, DIVERSITY_HERFINDAHL: 0.9836643, COVERAGE_ITEM: 0.1493917, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0583380, SHANNON_ENTROPY: 7.0499116, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 562, 'shrink': 29, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.06177805613113317, 'threshold_count': 10, 'tversky_alpha': 0.13007015312502437, 'tversky_beta': 0.22805198838536006} - results: ROC_AUC: 0.0820545, PRECISION: 0.0129857, PRECISION_RECALL_MIN_DEN: 0.0432858, RECALL: 0.0432858, MAP: 0.0206667, MRR: 0.0580416, NDCG: 0.0358282, F1: 0.0199780, HIT_RATE: 0.1298573, ARHR: 0.0599864, RMSE: 0.9565507, NOVELTY: 0.0058028, AVERAGE_POPULARITY: 0.4562185, DIVERSITY_MEAN_INTER_LIST: 0.9538390, DIVERSITY_HERFINDAHL: 0.9953780, COVERAGE_ITEM: 0.2698026, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1128183, SHANNON_ENTROPY: 9.0300997, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 996, 'shrink': 156, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.241784157757233, 'threshold_count': 2, 'tversky_alpha': 1.8377131949682035, 'tversky_beta': 0.2872470389601816} - results: ROC_AUC: 0.0936035, PRECISION: 0.0153456, PRECISION_RECALL_MIN_DEN: 0.0511522, RECALL: 0.0511522, MAP: 0.0240501, MRR: 0.0673073, NDCG: 0.0418599, F1: 0.0236087, HIT_RATE: 0.1534565, ARHR: 0.0697117, RMSE: 0.9462036, NOVELTY: 0.0051717, AVERAGE_POPULARITY: 0.6528258, DIVERSITY_MEAN_INTER_LIST: 0.8380429, DIVERSITY_HERFINDAHL: 0.9837991, COVERAGE_ITEM: 0.1484726, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0585519, SHANNON_ENTROPY: 7.0546949, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 406, 'shrink': 849, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.2179909608486852, 'threshold_count': 3, 'tversky_alpha': 1.915081922205737, 'tversky_beta': 1.983357827808376} - results: ROC_AUC: 0.0903195, PRECISION: 0.0144499, PRECISION_RECALL_MIN_DEN: 0.0481662, RECALL: 0.0481662, MAP: 0.0229514, MRR: 0.0643121, NDCG: 0.0397847, F1: 0.0222306, HIT_RATE: 0.1444987, ARHR: 0.0665572, RMSE: 0.9920522, NOVELTY: 0.0053554, AVERAGE_POPULARITY: 0.5507012, DIVERSITY_MEAN_INTER_LIST: 0.9191738, DIVERSITY_HERFINDAHL: 0.9919117, COVERAGE_ITEM: 0.2027034, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0854157, SHANNON_ENTROPY: 8.1682350, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 2, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0919155, PRECISION: 0.0150244, PRECISION_RECALL_MIN_DEN: 0.0500813, RECALL: 0.0500813, MAP: 0.0235821, MRR: 0.0659313, NDCG: 0.0410135, F1: 0.0231145, HIT_RATE: 0.1502440, ARHR: 0.0683150, RMSE: 0.9870267, NOVELTY: 0.0051700, AVERAGE_POPULARITY: 0.6540549, DIVERSITY_MEAN_INTER_LIST: 0.8361521, DIVERSITY_HERFINDAHL: 0.9836100, COVERAGE_ITEM: 0.1492295, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582712, SHANNON_ENTROPY: 7.0463037, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 794, 'shrink': 201, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.24965258536937912, 'threshold_count': 2, 'tversky_alpha': 0.34720869876661037, 'tversky_beta': 1.9572972837691127} - results: ROC_AUC: 0.0926301, PRECISION: 0.0151232, PRECISION_RECALL_MIN_DEN: 0.0504108, RECALL: 0.0504108, MAP: 0.0238299, MRR: 0.0665169, NDCG: 0.0413700, F1: 0.0232665, HIT_RATE: 0.1512325, ARHR: 0.0689909, RMSE: 0.9559876, NOVELTY: 0.0052028, AVERAGE_POPULARITY: 0.6343359, DIVERSITY_MEAN_INTER_LIST: 0.8574107, DIVERSITY_HERFINDAHL: 0.9857358, COVERAGE_ITEM: 0.1567991, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0634278, SHANNON_ENTROPY: 7.2701604, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 780, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0929145, PRECISION: 0.0149997, PRECISION_RECALL_MIN_DEN: 0.0499990, RECALL: 0.0499990, MAP: 0.0236379, MRR: 0.0660333, NDCG: 0.0410672, F1: 0.0230764, HIT_RATE: 0.1499969, ARHR: 0.0684611, RMSE: 0.9889741, NOVELTY: 0.0052118, AVERAGE_POPULARITY: 0.6291039, DIVERSITY_MEAN_INTER_LIST: 0.8623202, DIVERSITY_HERFINDAHL: 0.9862267, COVERAGE_ITEM: 0.1596648, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0645311, SHANNON_ENTROPY: 7.3280456, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0782462, PRECISION: 0.0125039, PRECISION_RECALL_MIN_DEN: 0.0416795, RECALL: 0.0416795, MAP: 0.0201565, MRR: 0.0569477, NDCG: 0.0348022, F1: 0.0192367, HIT_RATE: 0.1250386, ARHR: 0.0587048, RMSE: 0.9441005, NOVELTY: 0.0055833, AVERAGE_POPULARITY: 0.5162631, DIVERSITY_MEAN_INTER_LIST: 0.9181053, DIVERSITY_HERFINDAHL: 0.9918049, COVERAGE_ITEM: 0.2838605, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1148587, SHANNON_ENTROPY: 8.6151682, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 559, 'shrink': 953, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.06912744233149003, 'threshold_count': 10, 'tversky_alpha': 1.9735533553117441, 'tversky_beta': 0.017102163184612888} - results: ROC_AUC: 0.0927238, PRECISION: 0.0150800, PRECISION_RECALL_MIN_DEN: 0.0502667, RECALL: 0.0502667, MAP: 0.0237805, MRR: 0.0665616, NDCG: 0.0413010, F1: 0.0232000, HIT_RATE: 0.1508000, ARHR: 0.0689312, RMSE: 0.9902617, NOVELTY: 0.0052782, AVERAGE_POPULARITY: 0.5912163, DIVERSITY_MEAN_INTER_LIST: 0.8937010, DIVERSITY_HERFINDAHL: 0.9893646, COVERAGE_ITEM: 0.1811300, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0732829, SHANNON_ENTROPY: 7.7388065, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 392, 'shrink': 751, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.05048127797614493, 'threshold_count': 2, 'tversky_alpha': 0.12019372002003517, 'tversky_beta': 1.9625624858487705} - results: ROC_AUC: 0.0895709, PRECISION: 0.0142645, PRECISION_RECALL_MIN_DEN: 0.0475484, RECALL: 0.0475484, MAP: 0.0228991, MRR: 0.0642365, NDCG: 0.0395375, F1: 0.0219454, HIT_RATE: 0.1426453, ARHR: 0.0664401, RMSE: 0.9900962, NOVELTY: 0.0053696, AVERAGE_POPULARITY: 0.5456032, DIVERSITY_MEAN_INTER_LIST: 0.9221755, DIVERSITY_HERFINDAHL: 0.9922119, COVERAGE_ITEM: 0.2081103, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0872074, SHANNON_ENTROPY: 8.2314017, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 792, 'shrink': 931, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.053211673116550534, 'threshold_count': 2, 'tversky_alpha': 0.47988348516899426, 'tversky_beta': 0.43248512076440726} - results: ROC_AUC: 0.0925428, PRECISION: 0.0149997, PRECISION_RECALL_MIN_DEN: 0.0499990, RECALL: 0.0499990, MAP: 0.0236223, MRR: 0.0659471, NDCG: 0.0410354, F1: 0.0230764, HIT_RATE: 0.1499969, ARHR: 0.0683915, RMSE: 0.9852816, NOVELTY: 0.0052173, AVERAGE_POPULARITY: 0.6305052, DIVERSITY_MEAN_INTER_LIST: 0.8624043, DIVERSITY_HERFINDAHL: 0.9862351, COVERAGE_ITEM: 0.1593404, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0643338, SHANNON_ENTROPY: 7.3229185, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 472, 'shrink': 47, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.23092696878174246, 'threshold_count': 9, 'tversky_alpha': 0.009823205314905216, 'tversky_beta': 1.9969486186982914} - results: ROC_AUC: 0.0904287, PRECISION: 0.0147649, PRECISION_RECALL_MIN_DEN: 0.0492164, RECALL: 0.0492164, MAP: 0.0233047, MRR: 0.0650803, NDCG: 0.0404290, F1: 0.0227153, HIT_RATE: 0.1476493, ARHR: 0.0674765, RMSE: 0.9155406, NOVELTY: 0.0052428, AVERAGE_POPULARITY: 0.6076860, DIVERSITY_MEAN_INTER_LIST: 0.8820329, DIVERSITY_HERFINDAHL: 0.9881978, COVERAGE_ITEM: 0.1597729, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0705713, SHANNON_ENTROPY: 7.5465232, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 997, 'shrink': 182, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.05444693959591116, 'threshold_count': 9, 'tversky_alpha': 0.050865286406833535, 'tversky_beta': 1.928349439102239} - results: ROC_AUC: 0.0891276, PRECISION: 0.0144746, PRECISION_RECALL_MIN_DEN: 0.0482486, RECALL: 0.0482486, MAP: 0.0229324, MRR: 0.0641690, NDCG: 0.0397489, F1: 0.0222686, HIT_RATE: 0.1447458, ARHR: 0.0664669, RMSE: 1.0069631, NOVELTY: 0.0052417, AVERAGE_POPULARITY: 0.6401434, DIVERSITY_MEAN_INTER_LIST: 0.8534075, DIVERSITY_HERFINDAHL: 0.9853355, COVERAGE_ITEM: 0.1552311, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0608295, SHANNON_ENTROPY: 7.1909564, 
