SearchBayesianSkopt: New best config found. Config 0: {'topK': 79, 'shrink': 470, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.22896282550479125, 'threshold_count': 5} - results: ROC_AUC: 0.0472391, PRECISION: 0.0077717, PRECISION_RECALL_MIN_DEN: 0.0259056, RECALL: 0.0259056, MAP: 0.0117550, MRR: 0.0333746, NDCG: 0.0208224, F1: 0.0119564, HIT_RATE: 0.0777167, ARHR: 0.0343028, RMSE: 0.9962522, NOVELTY: 0.0060184, AVERAGE_POPULARITY: 0.3197037, DIVERSITY_MEAN_INTER_LIST: 0.9839681, DIVERSITY_HERFINDAHL: 0.9983907, COVERAGE_ITEM: 0.4382806, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1960750, SHANNON_ENTROPY: 10.6664958, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 999, 'shrink': 979, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.20602348231652212, 'threshold_count': 10} - results: ROC_AUC: 0.0919215, PRECISION: 0.0150306, PRECISION_RECALL_MIN_DEN: 0.0501019, RECALL: 0.0501019, MAP: 0.0235606, MRR: 0.0658611, NDCG: 0.0409967, F1: 0.0231240, HIT_RATE: 0.1503058, ARHR: 0.0682477, RMSE: 0.9857888, NOVELTY: 0.0051698, AVERAGE_POPULARITY: 0.6541289, DIVERSITY_MEAN_INTER_LIST: 0.8361291, DIVERSITY_HERFINDAHL: 0.9836077, COVERAGE_ITEM: 0.1492295, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582490, SHANNON_ENTROPY: 7.0460868, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 732, 'shrink': 0, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0935150, PRECISION: 0.0153148, PRECISION_RECALL_MIN_DEN: 0.0510492, RECALL: 0.0510492, MAP: 0.0237544, MRR: 0.0666006, NDCG: 0.0415443, F1: 0.0235612, HIT_RATE: 0.1531476, ARHR: 0.0689076, RMSE: 0.8696640, NOVELTY: 0.0052362, AVERAGE_POPULARITY: 0.6241757, DIVERSITY_MEAN_INTER_LIST: 0.8646265, DIVERSITY_HERFINDAHL: 0.9864573, COVERAGE_ITEM: 0.2077859, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0629801, SHANNON_ENTROPY: 7.4075826, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 991, 'shrink': 999, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.05371680233015377, 'threshold_count': 2} - results: ROC_AUC: 0.0920081, PRECISION: 0.0150059, PRECISION_RECALL_MIN_DEN: 0.0500196, RECALL: 0.0500196, MAP: 0.0235527, MRR: 0.0658280, NDCG: 0.0409628, F1: 0.0230860, HIT_RATE: 0.1500587, ARHR: 0.0682224, RMSE: 0.9861104, NOVELTY: 0.0051712, AVERAGE_POPULARITY: 0.6532419, DIVERSITY_MEAN_INTER_LIST: 0.8371907, DIVERSITY_HERFINDAHL: 0.9837139, COVERAGE_ITEM: 0.1491755, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0584935, SHANNON_ENTROPY: 7.0555632, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 746, 'shrink': 1000, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 2} - results: ROC_AUC: 0.0924945, PRECISION: 0.0150924, PRECISION_RECALL_MIN_DEN: 0.0503079, RECALL: 0.0503079, MAP: 0.0236275, MRR: 0.0660050, NDCG: 0.0411360, F1: 0.0232190, HIT_RATE: 0.1509236, ARHR: 0.0684313, RMSE: 0.9884790, NOVELTY: 0.0052200, AVERAGE_POPULARITY: 0.6243837, DIVERSITY_MEAN_INTER_LIST: 0.8667649, DIVERSITY_HERFINDAHL: 0.9866711, COVERAGE_ITEM: 0.1630170, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0653600, SHANNON_ENTROPY: 7.3808877, 
SearchBayesianSkopt: New best config found. Config 15: {'topK': 718, 'shrink': 125, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.05578671554914452, 'threshold_count': 10} - results: ROC_AUC: 0.0934395, PRECISION: 0.0151603, PRECISION_RECALL_MIN_DEN: 0.0505344, RECALL: 0.0505344, MAP: 0.0240935, MRR: 0.0671259, NDCG: 0.0416667, F1: 0.0233236, HIT_RATE: 0.1516031, ARHR: 0.0696849, RMSE: 0.9462428, NOVELTY: 0.0052424, AVERAGE_POPULARITY: 0.6226584, DIVERSITY_MEAN_INTER_LIST: 0.8718545, DIVERSITY_HERFINDAHL: 0.9871801, COVERAGE_ITEM: 0.1661530, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0662889, SHANNON_ENTROPY: 7.4340406, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 762, 'shrink': 0, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.05, 'threshold_count': 2} - results: ROC_AUC: 0.0732760, PRECISION: 0.0112683, PRECISION_RECALL_MIN_DEN: 0.0375610, RECALL: 0.0375610, MAP: 0.0189866, MRR: 0.0532059, NDCG: 0.0321831, F1: 0.0173358, HIT_RATE: 0.1126830, ARHR: 0.0550458, RMSE: 1.0713833, NOVELTY: 0.0055211, AVERAGE_POPULARITY: 0.4079759, DIVERSITY_MEAN_INTER_LIST: 0.9612841, DIVERSITY_HERFINDAHL: 0.9961225, COVERAGE_ITEM: 0.3072182, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1261004, SHANNON_ENTROPY: 9.3598477, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1000, 'shrink': 36, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.2067675565940572, 'threshold_count': 2} - results: ROC_AUC: 0.0937042, PRECISION: 0.0152221, PRECISION_RECALL_MIN_DEN: 0.0507403, RECALL: 0.0507403, MAP: 0.0240670, MRR: 0.0674195, NDCG: 0.0417624, F1: 0.0234186, HIT_RATE: 0.1522209, ARHR: 0.0697968, RMSE: 0.8925719, NOVELTY: 0.0051656, AVERAGE_POPULARITY: 0.6564637, DIVERSITY_MEAN_INTER_LIST: 0.8344006, DIVERSITY_HERFINDAHL: 0.9834349, COVERAGE_ITEM: 0.1467964, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0576355, SHANNON_ENTROPY: 7.0102367, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 986, 'shrink': 973, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.22369608681294062, 'threshold_count': 10} - results: ROC_AUC: 0.0920273, PRECISION: 0.0150615, PRECISION_RECALL_MIN_DEN: 0.0502049, RECALL: 0.0502049, MAP: 0.0235845, MRR: 0.0658750, NDCG: 0.0410456, F1: 0.0231715, HIT_RATE: 0.1506147, ARHR: 0.0682935, RMSE: 0.9858276, NOVELTY: 0.0051720, AVERAGE_POPULARITY: 0.6527587, DIVERSITY_MEAN_INTER_LIST: 0.8377318, DIVERSITY_HERFINDAHL: 0.9837680, COVERAGE_ITEM: 0.1494999, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0586034, SHANNON_ENTROPY: 7.0611956, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 586, 'shrink': 991, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.24137938624197247, 'threshold_count': 10} - results: ROC_AUC: 0.0932830, PRECISION: 0.0149935, PRECISION_RECALL_MIN_DEN: 0.0499784, RECALL: 0.0499784, MAP: 0.0238778, MRR: 0.0667565, NDCG: 0.0413103, F1: 0.0230669, HIT_RATE: 0.1499351, ARHR: 0.0691741, RMSE: 0.9901654, NOVELTY: 0.0052672, AVERAGE_POPULARITY: 0.5973324, DIVERSITY_MEAN_INTER_LIST: 0.8891987, DIVERSITY_HERFINDAHL: 0.9889144, COVERAGE_ITEM: 0.1777778, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0718171, SHANNON_ENTROPY: 7.6743733, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 514, 'shrink': 995, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.2494016414677397, 'threshold_count': 10} - results: ROC_AUC: 0.0918839, PRECISION: 0.0148947, PRECISION_RECALL_MIN_DEN: 0.0496489, RECALL: 0.0496489, MAP: 0.0235113, MRR: 0.0657066, NDCG: 0.0408046, F1: 0.0229149, HIT_RATE: 0.1489467, ARHR: 0.0680962, RMSE: 0.9910841, NOVELTY: 0.0052968, AVERAGE_POPULARITY: 0.5810828, DIVERSITY_MEAN_INTER_LIST: 0.9008333, DIVERSITY_HERFINDAHL: 0.9900778, COVERAGE_ITEM: 0.1856718, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0762424, SHANNON_ENTROPY: 7.8469343, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 793, 'shrink': 1000, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0927630, PRECISION: 0.0150306, PRECISION_RECALL_MIN_DEN: 0.0501019, RECALL: 0.0501019, MAP: 0.0235904, MRR: 0.0658836, NDCG: 0.0410404, F1: 0.0231240, HIT_RATE: 0.1503058, ARHR: 0.0683119, RMSE: 0.9879984, NOVELTY: 0.0052090, AVERAGE_POPULARITY: 0.6306890, DIVERSITY_MEAN_INTER_LIST: 0.8609432, DIVERSITY_HERFINDAHL: 0.9860890, COVERAGE_ITEM: 0.1585293, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0642336, SHANNON_ENTROPY: 7.3104333, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 590, 'shrink': 10, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.05382343452729053, 'threshold_count': 9} - results: ROC_AUC: 0.0934234, PRECISION: 0.0153024, PRECISION_RECALL_MIN_DEN: 0.0510080, RECALL: 0.0510080, MAP: 0.0238406, MRR: 0.0664990, NDCG: 0.0415650, F1: 0.0235422, HIT_RATE: 0.1530240, ARHR: 0.0689777, RMSE: 0.9057490, NOVELTY: 0.0052644, AVERAGE_POPULARITY: 0.6551755, DIVERSITY_MEAN_INTER_LIST: 0.8831555, DIVERSITY_HERFINDAHL: 0.9883101, COVERAGE_ITEM: 0.1775074, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0662707, SHANNON_ENTROPY: 7.5301300, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 998, 'shrink': 983, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.07143401467214944, 'threshold_count': 2} - results: ROC_AUC: 0.0918211, PRECISION: 0.0150306, PRECISION_RECALL_MIN_DEN: 0.0501019, RECALL: 0.0501019, MAP: 0.0235363, MRR: 0.0657726, NDCG: 0.0409665, F1: 0.0231240, HIT_RATE: 0.1503058, ARHR: 0.0681670, RMSE: 0.9858494, NOVELTY: 0.0051700, AVERAGE_POPULARITY: 0.6540178, DIVERSITY_MEAN_INTER_LIST: 0.8363012, DIVERSITY_HERFINDAHL: 0.9836250, COVERAGE_ITEM: 0.1492295, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582799, SHANNON_ENTROPY: 7.0473006, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 759, 'shrink': 1000, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0924842, PRECISION: 0.0150924, PRECISION_RECALL_MIN_DEN: 0.0503079, RECALL: 0.0503079, MAP: 0.0236560, MRR: 0.0661488, NDCG: 0.0411749, F1: 0.0232190, HIT_RATE: 0.1509236, ARHR: 0.0685460, RMSE: 0.9883442, NOVELTY: 0.0052168, AVERAGE_POPULARITY: 0.6262588, DIVERSITY_MEAN_INTER_LIST: 0.8650599, DIVERSITY_HERFINDAHL: 0.9865006, COVERAGE_ITEM: 0.1616653, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0650328, SHANNON_ENTROPY: 7.3597374, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 772, 'shrink': 0, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0932122, PRECISION: 0.0151850, PRECISION_RECALL_MIN_DEN: 0.0506168, RECALL: 0.0506168, MAP: 0.0237965, MRR: 0.0666842, NDCG: 0.0414479, F1: 0.0233616, HIT_RATE: 0.1518503, ARHR: 0.0690131, RMSE: 0.8677671, NOVELTY: 0.0052299, AVERAGE_POPULARITY: 0.6281185, DIVERSITY_MEAN_INTER_LIST: 0.8606832, DIVERSITY_HERFINDAHL: 0.9860630, COVERAGE_ITEM: 0.2071371, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0620728, SHANNON_ENTROPY: 7.3644057, 
SearchBayesianSkopt: New best config found. Config 26: {'topK': 1000, 'shrink': 3, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.2225605273889626, 'threshold_count': 9} - results: ROC_AUC: 0.0940644, PRECISION: 0.0154321, PRECISION_RECALL_MIN_DEN: 0.0514405, RECALL: 0.0514405, MAP: 0.0241344, MRR: 0.0676882, NDCG: 0.0420655, F1: 0.0237417, HIT_RATE: 0.1543214, ARHR: 0.0700182, RMSE: 0.8611389, NOVELTY: 0.0051826, AVERAGE_POPULARITY: 0.6522784, DIVERSITY_MEAN_INTER_LIST: 0.8366002, DIVERSITY_HERFINDAHL: 0.9836548, COVERAGE_ITEM: 0.1795080, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0564552, SHANNON_ENTROPY: 7.0774567, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 989, 'shrink': 957, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.062206388070524525, 'threshold_count': 10} - results: ROC_AUC: 0.0919716, PRECISION: 0.0150676, PRECISION_RECALL_MIN_DEN: 0.0502255, RECALL: 0.0502255, MAP: 0.0235641, MRR: 0.0658418, NDCG: 0.0410333, F1: 0.0231810, HIT_RATE: 0.1506765, ARHR: 0.0682464, RMSE: 0.9855917, NOVELTY: 0.0051715, AVERAGE_POPULARITY: 0.6530847, DIVERSITY_MEAN_INTER_LIST: 0.8373553, DIVERSITY_HERFINDAHL: 0.9837304, COVERAGE_ITEM: 0.1493377, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0585261, SHANNON_ENTROPY: 7.0574731, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 998, 'shrink': 4, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.06652317585777193, 'threshold_count': 9} - results: ROC_AUC: 0.0931671, PRECISION: 0.0151850, PRECISION_RECALL_MIN_DEN: 0.0506168, RECALL: 0.0506168, MAP: 0.0238585, MRR: 0.0668808, NDCG: 0.0415176, F1: 0.0233616, HIT_RATE: 0.1518503, ARHR: 0.0692028, RMSE: 0.8695215, NOVELTY: 0.0051868, AVERAGE_POPULARITY: 0.6747841, DIVERSITY_MEAN_INTER_LIST: 0.8397125, DIVERSITY_HERFINDAHL: 0.9839661, COVERAGE_ITEM: 0.1763179, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0564609, SHANNON_ENTROPY: 7.0839495, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 555, 'shrink': 102, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.053938575308334374, 'threshold_count': 2} - results: ROC_AUC: 0.0930557, PRECISION: 0.0151603, PRECISION_RECALL_MIN_DEN: 0.0505344, RECALL: 0.0505344, MAP: 0.0238325, MRR: 0.0665083, NDCG: 0.0414139, F1: 0.0233236, HIT_RATE: 0.1516031, ARHR: 0.0689776, RMSE: 0.9498263, NOVELTY: 0.0052962, AVERAGE_POPULARITY: 0.5960964, DIVERSITY_MEAN_INTER_LIST: 0.8948106, DIVERSITY_HERFINDAHL: 0.9894755, COVERAGE_ITEM: 0.1817248, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0732522, SHANNON_ENTROPY: 7.7416738, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 993, 'shrink': 753, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.24460023324168972, 'threshold_count': 2} - results: ROC_AUC: 0.0919210, PRECISION: 0.0150244, PRECISION_RECALL_MIN_DEN: 0.0500813, RECALL: 0.0500813, MAP: 0.0235521, MRR: 0.0658585, NDCG: 0.0409847, F1: 0.0231145, HIT_RATE: 0.1502440, ARHR: 0.0682367, RMSE: 0.9822085, NOVELTY: 0.0051708, AVERAGE_POPULARITY: 0.6534800, DIVERSITY_MEAN_INTER_LIST: 0.8368846, DIVERSITY_HERFINDAHL: 0.9836833, COVERAGE_ITEM: 0.1490673, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0584555, SHANNON_ENTROPY: 7.0528428, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 693, 'shrink': 961, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.05432509462057514, 'threshold_count': 2} - results: ROC_AUC: 0.0925861, PRECISION: 0.0149132, PRECISION_RECALL_MIN_DEN: 0.0497107, RECALL: 0.0497107, MAP: 0.0238404, MRR: 0.0665550, NDCG: 0.0411591, F1: 0.0229434, HIT_RATE: 0.1491320, ARHR: 0.0690165, RMSE: 0.9886499, NOVELTY: 0.0052337, AVERAGE_POPULARITY: 0.6162749, DIVERSITY_MEAN_INTER_LIST: 0.8740645, DIVERSITY_HERFINDAHL: 0.9874010, COVERAGE_ITEM: 0.1665856, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0674403, SHANNON_ENTROPY: 7.4688333, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 761, 'shrink': 1000, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.25, 'threshold_count': 2} - results: ROC_AUC: 0.0923988, PRECISION: 0.0150491, PRECISION_RECALL_MIN_DEN: 0.0501637, RECALL: 0.0501637, MAP: 0.0235767, MRR: 0.0659071, NDCG: 0.0410472, F1: 0.0231525, HIT_RATE: 0.1504911, ARHR: 0.0683063, RMSE: 0.9883260, NOVELTY: 0.0052162, AVERAGE_POPULARITY: 0.6265525, DIVERSITY_MEAN_INTER_LIST: 0.8647764, DIVERSITY_HERFINDAHL: 0.9864723, COVERAGE_ITEM: 0.1612328, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0650166, SHANNON_ENTROPY: 7.3562024, 
