SearchBayesianSkopt: New best config found. Config 0: {'topK': 18, 'shrink': 37, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.057467846815580974, 'threshold_count': 4} - results: ROC_AUC: 0.0247265, PRECISION: 0.0041206, PRECISION_RECALL_MIN_DEN: 0.0137353, RECALL: 0.0137353, MAP: 0.0058006, MRR: 0.0167159, NDCG: 0.0106310, F1: 0.0063394, HIT_RATE: 0.0412059, ARHR: 0.0170476, RMSE: 0.9940923, NOVELTY: 0.0064772, AVERAGE_POPULARITY: 0.2340915, DIVERSITY_MEAN_INTER_LIST: 0.9933394, DIVERSITY_HERFINDAHL: 0.9993278, COVERAGE_ITEM: 0.5615031, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2745499, SHANNON_ENTROPY: 11.6853921, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 983, 'shrink': 3, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.08175227190628201, 'threshold_count': 3} - results: ROC_AUC: 0.0911737, PRECISION: 0.0149379, PRECISION_RECALL_MIN_DEN: 0.0497930, RECALL: 0.0497930, MAP: 0.0234274, MRR: 0.0653174, NDCG: 0.0407280, F1: 0.0229814, HIT_RATE: 0.1493791, ARHR: 0.0677612, RMSE: 0.9218907, NOVELTY: 0.0051655, AVERAGE_POPULARITY: 0.6646688, DIVERSITY_MEAN_INTER_LIST: 0.8781097, DIVERSITY_HERFINDAHL: 0.9878055, COVERAGE_ITEM: 0.1912409, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0639341, SHANNON_ENTROPY: 7.4846660, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 734, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0924808, PRECISION: 0.0151232, PRECISION_RECALL_MIN_DEN: 0.0504108, RECALL: 0.0504108, MAP: 0.0236870, MRR: 0.0661000, NDCG: 0.0412175, F1: 0.0232665, HIT_RATE: 0.1512325, ARHR: 0.0685682, RMSE: 0.9885717, NOVELTY: 0.0052230, AVERAGE_POPULARITY: 0.6225944, DIVERSITY_MEAN_INTER_LIST: 0.8684366, DIVERSITY_HERFINDAHL: 0.9868383, COVERAGE_ITEM: 0.1633955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0658982, SHANNON_ENTROPY: 7.4008190, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 998, 'shrink': 847, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.23314499618053414, 'threshold_count': 3} - results: ROC_AUC: 0.0918563, PRECISION: 0.0150491, PRECISION_RECALL_MIN_DEN: 0.0501637, RECALL: 0.0501637, MAP: 0.0235638, MRR: 0.0658536, NDCG: 0.0410142, F1: 0.0231525, HIT_RATE: 0.1504911, ARHR: 0.0682487, RMSE: 0.9838294, NOVELTY: 0.0051701, AVERAGE_POPULARITY: 0.6539886, DIVERSITY_MEAN_INTER_LIST: 0.8363135, DIVERSITY_HERFINDAHL: 0.9836262, COVERAGE_ITEM: 0.1492836, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582999, SHANNON_ENTROPY: 7.0478041, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 518, 'shrink': 846, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.23779650990072843, 'threshold_count': 2} - results: ROC_AUC: 0.0920188, PRECISION: 0.0149997, PRECISION_RECALL_MIN_DEN: 0.0499990, RECALL: 0.0499990, MAP: 0.0235742, MRR: 0.0658706, NDCG: 0.0409741, F1: 0.0230764, HIT_RATE: 0.1499969, ARHR: 0.0682728, RMSE: 0.9896305, NOVELTY: 0.0052954, AVERAGE_POPULARITY: 0.5818688, DIVERSITY_MEAN_INTER_LIST: 0.9002946, DIVERSITY_HERFINDAHL: 0.9900239, COVERAGE_ITEM: 0.1854015, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0759916, SHANNON_ENTROPY: 7.8386695, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 999, 'shrink': 179, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.06900561160830886, 'threshold_count': 10} - results: ROC_AUC: 0.0926182, PRECISION: 0.0150306, PRECISION_RECALL_MIN_DEN: 0.0501019, RECALL: 0.0501019, MAP: 0.0237662, MRR: 0.0664947, NDCG: 0.0412290, F1: 0.0231240, HIT_RATE: 0.1503058, ARHR: 0.0688771, RMSE: 0.9460766, NOVELTY: 0.0051785, AVERAGE_POPULARITY: 0.6541189, DIVERSITY_MEAN_INTER_LIST: 0.8375337, DIVERSITY_HERFINDAHL: 0.9837482, COVERAGE_ITEM: 0.1491755, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0584728, SHANNON_ENTROPY: 7.0539239, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 766, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.25, 'threshold_count': 2} - results: ROC_AUC: 0.0926826, PRECISION: 0.0150800, PRECISION_RECALL_MIN_DEN: 0.0502667, RECALL: 0.0502667, MAP: 0.0235295, MRR: 0.0658903, NDCG: 0.0410536, F1: 0.0232000, HIT_RATE: 0.1508000, ARHR: 0.0682137, RMSE: 0.8704592, NOVELTY: 0.0052460, AVERAGE_POPULARITY: 0.6219556, DIVERSITY_MEAN_INTER_LIST: 0.8657208, DIVERSITY_HERFINDAHL: 0.9865667, COVERAGE_ITEM: 0.2176805, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0647629, SHANNON_ENTROPY: 7.4524482, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 560, 'shrink': 974, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.05381470548602407, 'threshold_count': 10} - results: ROC_AUC: 0.0922033, PRECISION: 0.0150553, PRECISION_RECALL_MIN_DEN: 0.0501843, RECALL: 0.0501843, MAP: 0.0237473, MRR: 0.0662871, NDCG: 0.0412061, F1: 0.0231620, HIT_RATE: 0.1505529, ARHR: 0.0687405, RMSE: 0.9901801, NOVELTY: 0.0052793, AVERAGE_POPULARITY: 0.5914747, DIVERSITY_MEAN_INTER_LIST: 0.8937448, DIVERSITY_HERFINDAHL: 0.9893690, COVERAGE_ITEM: 0.1816167, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0732381, SHANNON_ENTROPY: 7.7388030, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 996, 'shrink': 960, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.05550276871822753, 'threshold_count': 9} - results: ROC_AUC: 0.0918244, PRECISION: 0.0150059, PRECISION_RECALL_MIN_DEN: 0.0500196, RECALL: 0.0500196, MAP: 0.0236447, MRR: 0.0661798, NDCG: 0.0410658, F1: 0.0230860, HIT_RATE: 0.1500587, ARHR: 0.0685364, RMSE: 0.9853275, NOVELTY: 0.0051722, AVERAGE_POPULARITY: 0.6536385, DIVERSITY_MEAN_INTER_LIST: 0.8367367, DIVERSITY_HERFINDAHL: 0.9836685, COVERAGE_ITEM: 0.1495539, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0584360, SHANNON_ENTROPY: 7.0529637, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 801, 'shrink': 26, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.05487640964496772, 'threshold_count': 2} - results: ROC_AUC: 0.0844806, PRECISION: 0.0133440, PRECISION_RECALL_MIN_DEN: 0.0444801, RECALL: 0.0444801, MAP: 0.0219875, MRR: 0.0615184, NDCG: 0.0375525, F1: 0.0205293, HIT_RATE: 0.1334404, ARHR: 0.0637093, RMSE: 0.9529008, NOVELTY: 0.0053177, AVERAGE_POPULARITY: 0.4957216, DIVERSITY_MEAN_INTER_LIST: 0.9295865, DIVERSITY_HERFINDAHL: 0.9929529, COVERAGE_ITEM: 0.2162206, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0921647, SHANNON_ENTROPY: 8.3777815, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 757, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0925357, PRECISION: 0.0150924, PRECISION_RECALL_MIN_DEN: 0.0503079, RECALL: 0.0503079, MAP: 0.0236517, MRR: 0.0661376, NDCG: 0.0411715, F1: 0.0232190, HIT_RATE: 0.1509236, ARHR: 0.0685340, RMSE: 0.9883329, NOVELTY: 0.0052175, AVERAGE_POPULARITY: 0.6258955, DIVERSITY_MEAN_INTER_LIST: 0.8653784, DIVERSITY_HERFINDAHL: 0.9865325, COVERAGE_ITEM: 0.1620438, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0650895, SHANNON_ENTROPY: 7.3641457, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 987, 'shrink': 227, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.24931104088130412, 'threshold_count': 2} - results: ROC_AUC: 0.0925512, PRECISION: 0.0151541, PRECISION_RECALL_MIN_DEN: 0.0505138, RECALL: 0.0505138, MAP: 0.0237699, MRR: 0.0664738, NDCG: 0.0413496, F1: 0.0233141, HIT_RATE: 0.1515414, ARHR: 0.0688717, RMSE: 0.9550168, NOVELTY: 0.0051721, AVERAGE_POPULARITY: 0.6527170, DIVERSITY_MEAN_INTER_LIST: 0.8377498, DIVERSITY_HERFINDAHL: 0.9837698, COVERAGE_ITEM: 0.1493917, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0586295, SHANNON_ENTROPY: 7.0602956, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 349, 'shrink': 970, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.21881552289092693, 'threshold_count': 2} - results: ROC_AUC: 0.0886715, PRECISION: 0.0140730, PRECISION_RECALL_MIN_DEN: 0.0469101, RECALL: 0.0469101, MAP: 0.0225844, MRR: 0.0635254, NDCG: 0.0390351, F1: 0.0216508, HIT_RATE: 0.1407302, ARHR: 0.0656148, RMSE: 0.9931260, NOVELTY: 0.0053990, AVERAGE_POPULARITY: 0.5295576, DIVERSITY_MEAN_INTER_LIST: 0.9297398, DIVERSITY_HERFINDAHL: 0.9929682, COVERAGE_ITEM: 0.2157340, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0924899, SHANNON_ENTROPY: 8.3915810, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 721, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0923654, PRECISION: 0.0150120, PRECISION_RECALL_MIN_DEN: 0.0500402, RECALL: 0.0500402, MAP: 0.0237299, MRR: 0.0661735, NDCG: 0.0411407, F1: 0.0230955, HIT_RATE: 0.1501205, ARHR: 0.0686692, RMSE: 0.9887090, NOVELTY: 0.0052264, AVERAGE_POPULARITY: 0.6206508, DIVERSITY_MEAN_INTER_LIST: 0.8701709, DIVERSITY_HERFINDAHL: 0.9870117, COVERAGE_ITEM: 0.1648013, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0663110, SHANNON_ENTROPY: 7.4219035, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 542, 'shrink': 878, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.05718618820177371, 'threshold_count': 2} - results: ROC_AUC: 0.0925314, PRECISION: 0.0150244, PRECISION_RECALL_MIN_DEN: 0.0500813, RECALL: 0.0500813, MAP: 0.0238521, MRR: 0.0667003, NDCG: 0.0413023, F1: 0.0231145, HIT_RATE: 0.1502440, ARHR: 0.0691038, RMSE: 0.9895027, NOVELTY: 0.0052859, AVERAGE_POPULARITY: 0.5877744, DIVERSITY_MEAN_INTER_LIST: 0.8963622, DIVERSITY_HERFINDAHL: 0.9896307, COVERAGE_ITEM: 0.1826980, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0743718, SHANNON_ENTROPY: 7.7776806, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 400, 'shrink': 10, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.24321535651566484, 'threshold_count': 9} - results: ROC_AUC: 0.0931351, PRECISION: 0.0150306, PRECISION_RECALL_MIN_DEN: 0.0501019, RECALL: 0.0501019, MAP: 0.0235965, MRR: 0.0659212, NDCG: 0.0410656, F1: 0.0231240, HIT_RATE: 0.1503058, ARHR: 0.0683368, RMSE: 0.9083161, NOVELTY: 0.0052991, AVERAGE_POPULARITY: 0.5796694, DIVERSITY_MEAN_INTER_LIST: 0.9032763, DIVERSITY_HERFINDAHL: 0.9903221, COVERAGE_ITEM: 0.1907543, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0744457, SHANNON_ENTROPY: 7.8452663, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 660, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0934340, PRECISION: 0.0150800, PRECISION_RECALL_MIN_DEN: 0.0502667, RECALL: 0.0502667, MAP: 0.0235863, MRR: 0.0661704, NDCG: 0.0411472, F1: 0.0232000, HIT_RATE: 0.1508000, ARHR: 0.0684471, RMSE: 0.8733864, NOVELTY: 0.0052627, AVERAGE_POPULARITY: 0.6116476, DIVERSITY_MEAN_INTER_LIST: 0.8750011, DIVERSITY_HERFINDAHL: 0.9874947, COVERAGE_ITEM: 0.2220600, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0667346, SHANNON_ENTROPY: 7.5578832, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 997, 'shrink': 977, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.0589532781725287, 'threshold_count': 10} - results: ROC_AUC: 0.0918331, PRECISION: 0.0150182, PRECISION_RECALL_MIN_DEN: 0.0500607, RECALL: 0.0500607, MAP: 0.0235289, MRR: 0.0657607, NDCG: 0.0409476, F1: 0.0231050, HIT_RATE: 0.1501822, ARHR: 0.0681500, RMSE: 0.9857442, NOVELTY: 0.0051702, AVERAGE_POPULARITY: 0.6538944, DIVERSITY_MEAN_INTER_LIST: 0.8364279, DIVERSITY_HERFINDAHL: 0.9836376, COVERAGE_ITEM: 0.1492836, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0583210, SHANNON_ENTROPY: 7.0489062, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 12, 'shrink': 996, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.2394797462702199, 'threshold_count': 10} - results: ROC_AUC: 0.0134135, PRECISION: 0.0024032, PRECISION_RECALL_MIN_DEN: 0.0080105, RECALL: 0.0080105, MAP: 0.0028909, MRR: 0.0084382, NDCG: 0.0056920, F1: 0.0036972, HIT_RATE: 0.0240316, ARHR: 0.0085554, RMSE: 0.9996373, NOVELTY: 0.0069046, AVERAGE_POPULARITY: 0.1412117, DIVERSITY_MEAN_INTER_LIST: 0.9827091, DIVERSITY_HERFINDAHL: 0.9982648, COVERAGE_ITEM: 0.5861044, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3230799, SHANNON_ENTROPY: 11.7444093, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 616, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.05, 'threshold_count': 2} - results: ROC_AUC: 0.0930900, PRECISION: 0.0149812, PRECISION_RECALL_MIN_DEN: 0.0499372, RECALL: 0.0499372, MAP: 0.0238981, MRR: 0.0667073, NDCG: 0.0413030, F1: 0.0230479, HIT_RATE: 0.1498116, ARHR: 0.0691803, RMSE: 0.9895903, NOVELTY: 0.0052597, AVERAGE_POPULARITY: 0.6031636, DIVERSITY_MEAN_INTER_LIST: 0.8853808, DIVERSITY_HERFINDAHL: 0.9885326, COVERAGE_ITEM: 0.1741011, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0705563, SHANNON_ENTROPY: 7.6148939, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 413, 'shrink': 60, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.053831695854085294, 'threshold_count': 10} - results: ROC_AUC: 0.0924608, PRECISION: 0.0146784, PRECISION_RECALL_MIN_DEN: 0.0489282, RECALL: 0.0489282, MAP: 0.0235191, MRR: 0.0659836, NDCG: 0.0406606, F1: 0.0225822, HIT_RATE: 0.1467845, ARHR: 0.0682508, RMSE: 0.9496537, NOVELTY: 0.0053617, AVERAGE_POPULARITY: 0.5781057, DIVERSITY_MEAN_INTER_LIST: 0.9158648, DIVERSITY_HERFINDAHL: 0.9915808, COVERAGE_ITEM: 0.1977832, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0821037, SHANNON_ENTROPY: 8.0750710, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 597, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.25, 'threshold_count': 2} - results: ROC_AUC: 0.0929242, PRECISION: 0.0151047, PRECISION_RECALL_MIN_DEN: 0.0503490, RECALL: 0.0503490, MAP: 0.0236329, MRR: 0.0658643, NDCG: 0.0411370, F1: 0.0232380, HIT_RATE: 0.1510471, ARHR: 0.0683430, RMSE: 0.8795049, NOVELTY: 0.0052784, AVERAGE_POPULARITY: 0.6023160, DIVERSITY_MEAN_INTER_LIST: 0.8835768, DIVERSITY_HERFINDAHL: 0.9883522, COVERAGE_ITEM: 0.2239524, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0689444, SHANNON_ENTROPY: 7.6614380, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 454, 'shrink': 108, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.051833198768016356, 'threshold_count': 2} - results: ROC_AUC: 0.0923394, PRECISION: 0.0146784, PRECISION_RECALL_MIN_DEN: 0.0489282, RECALL: 0.0489282, MAP: 0.0235373, MRR: 0.0658942, NDCG: 0.0406534, F1: 0.0225822, HIT_RATE: 0.1467845, ARHR: 0.0682264, RMSE: 0.9589074, NOVELTY: 0.0053572, AVERAGE_POPULARITY: 0.5747401, DIVERSITY_MEAN_INTER_LIST: 0.9135097, DIVERSITY_HERFINDAHL: 0.9913453, COVERAGE_ITEM: 0.1965937, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0816318, SHANNON_ENTROPY: 8.0460042, 
