SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 239, 'regularization': 0.0003820374951020543, 'learning_rate': 0.0886635433040681, 'epochs': 300} - results: ROC_AUC: 0.0015052, PRECISION: 0.0003567, PRECISION_RECALL_MIN_DEN: 0.0011892, RECALL: 0.0011892, MAP: 0.0002847, MRR: 0.0008540, NDCG: 0.0006876, F1: 0.0005488, HIT_RATE: 0.0035675, ARHR: 0.0008540, RMSE: 6.1102728, NOVELTY: 0.0080620, AVERAGE_POPULARITY: 0.0333760, DIVERSITY_MEAN_INTER_LIST: 0.9485159, DIVERSITY_HERFINDAHL: 0.9948470, COVERAGE_ITEM: 0.4723979, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1615058, SHANNON_ENTROPY: 10.0843346, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 392, 'regularization': 0.0007353653701489163, 'learning_rate': 8.175880734508732e-05, 'epochs': 300} - results: ROC_AUC: 0.0077851, PRECISION: 0.0014366, PRECISION_RECALL_MIN_DEN: 0.0047888, RECALL: 0.0047888, MAP: 0.0015703, MRR: 0.0046989, NDCG: 0.0032514, F1: 0.0022102, HIT_RATE: 0.0143663, ARHR: 0.0047049, RMSE: 5.6966454, NOVELTY: 0.0066335, AVERAGE_POPULARITY: 0.1916285, DIVERSITY_MEAN_INTER_LIST: 0.9888206, DIVERSITY_HERFINDAHL: 0.9988773, COVERAGE_ITEM: 0.6806164, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2179300, SHANNON_ENTROPY: 11.3696718, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_factors': 56, 'regularization': 0.00010057956843332515, 'learning_rate': 0.001302843856333826, 'epochs': 300} - results: ROC_AUC: 0.0065564, PRECISION: 0.0013016, PRECISION_RECALL_MIN_DEN: 0.0043388, RECALL: 0.0043388, MAP: 0.0012992, MRR: 0.0038975, NDCG: 0.0028058, F1: 0.0020025, HIT_RATE: 0.0130164, ARHR: 0.0038975, RMSE: 6.1725064, NOVELTY: 0.0072570, AVERAGE_POPULARITY: 0.1682240, DIVERSITY_MEAN_INTER_LIST: 0.8536517, DIVERSITY_HERFINDAHL: 0.9853611, COVERAGE_ITEM: 0.1000811, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1361758, SHANNON_ENTROPY: 7.8817564, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'num_factors': 229, 'regularization': 6.417083981292481e-06, 'learning_rate': 0.0004643667237577021, 'epochs': 300} - results: ROC_AUC: 0.0097051, PRECISION: 0.0017596, PRECISION_RECALL_MIN_DEN: 0.0058654, RECALL: 0.0058654, MAP: 0.0020501, MRR: 0.0060674, NDCG: 0.0041083, F1: 0.0027071, HIT_RATE: 0.0175963, ARHR: 0.0061089, RMSE: 5.9573428, NOVELTY: 0.0064617, AVERAGE_POPULARITY: 0.2234467, DIVERSITY_MEAN_INTER_LIST: 0.9815236, DIVERSITY_HERFINDAHL: 0.9981476, COVERAGE_ITEM: 0.2675318, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2101467, SHANNON_ENTROPY: 10.2443277, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'num_factors': 212, 'regularization': 0.061131041813751896, 'learning_rate': 0.0017071693671522838, 'epochs': 300} - results: ROC_AUC: 0.0000857, PRECISION: 0.0000337, PRECISION_RECALL_MIN_DEN: 0.0001125, RECALL: 0.0001125, MAP: 0.0000168, MRR: 0.0000505, NDCG: 0.0000533, F1: 0.0000519, HIT_RATE: 0.0003375, ARHR: 0.0000505, RMSE: 6.1060553, NOVELTY: 0.0088479, AVERAGE_POPULARITY: 0.0070760, DIVERSITY_MEAN_INTER_LIST: 0.8370499, DIVERSITY_HERFINDAHL: 0.9837010, COVERAGE_ITEM: 0.2350365, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0674845, SHANNON_ENTROPY: 7.5725243, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_factors': 334, 'regularization': 3.1366547817225544e-08, 'learning_rate': 5.860953548099603e-05, 'epochs': 300} - results: ROC_AUC: 0.0085732, PRECISION: 0.0016777, PRECISION_RECALL_MIN_DEN: 0.0055922, RECALL: 0.0055922, MAP: 0.0016990, MRR: 0.0050591, NDCG: 0.0036406, F1: 0.0025810, HIT_RATE: 0.0167767, ARHR: 0.0050781, RMSE: 5.6557441, NOVELTY: 0.0066570, AVERAGE_POPULARITY: 0.2057731, DIVERSITY_MEAN_INTER_LIST: 0.9866145, DIVERSITY_HERFINDAHL: 0.9986567, COVERAGE_ITEM: 0.7167343, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2312510, SHANNON_ENTROPY: 11.3572746, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_factors': 252, 'regularization': 0.0002857365659392869, 'learning_rate': 1.4644854933758752e-05, 'epochs': 300} - results: ROC_AUC: 0.0049267, PRECISION: 0.0008967, PRECISION_RECALL_MIN_DEN: 0.0029890, RECALL: 0.0029890, MAP: 0.0009854, MRR: 0.0029320, NDCG: 0.0020327, F1: 0.0013795, HIT_RATE: 0.0089669, ARHR: 0.0029441, RMSE: 5.5460948, NOVELTY: 0.0077569, AVERAGE_POPULARITY: 0.1160520, DIVERSITY_MEAN_INTER_LIST: 0.9952496, DIVERSITY_HERFINDAHL: 0.9995202, COVERAGE_ITEM: 0.7939443, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5379531, SHANNON_ENTROPY: 13.0132432, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'num_factors': 314, 'regularization': 1.494643809385838e-07, 'learning_rate': 0.0009299287128568092, 'epochs': 300} - results: ROC_AUC: 0.0093760, PRECISION: 0.0016391, PRECISION_RECALL_MIN_DEN: 0.0054637, RECALL: 0.0054637, MAP: 0.0019020, MRR: 0.0056940, NDCG: 0.0038343, F1: 0.0025217, HIT_RATE: 0.0163911, ARHR: 0.0057000, RMSE: 5.9657533, NOVELTY: 0.0064634, AVERAGE_POPULARITY: 0.2258584, DIVERSITY_MEAN_INTER_LIST: 0.9861978, DIVERSITY_HERFINDAHL: 0.9986150, COVERAGE_ITEM: 0.3394431, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2170036, SHANNON_ENTROPY: 10.6366369, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'num_factors': 236, 'regularization': 2.8085086383033206e-08, 'learning_rate': 1.2301189669699093e-06, 'epochs': 300} - results: ROC_AUC: 0.0012856, PRECISION: 0.0002266, PRECISION_RECALL_MIN_DEN: 0.0007553, RECALL: 0.0007553, MAP: 0.0002634, MRR: 0.0007901, NDCG: 0.0005303, F1: 0.0003486, HIT_RATE: 0.0022658, ARHR: 0.0007901, RMSE: 5.5082462, NOVELTY: 0.0083516, AVERAGE_POPULARITY: 0.0331477, DIVERSITY_MEAN_INTER_LIST: 0.9991330, DIVERSITY_HERFINDAHL: 0.9999085, COVERAGE_ITEM: 0.7985401, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6824688, SHANNON_ENTROPY: 13.6127383, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'num_factors': 239, 'regularization': 0.0010178670586538225, 'learning_rate': 1.6468076911868657e-05, 'epochs': 300} - results: ROC_AUC: 0.0064148, PRECISION: 0.0011667, PRECISION_RECALL_MIN_DEN: 0.0038889, RECALL: 0.0038889, MAP: 0.0013475, MRR: 0.0040329, NDCG: 0.0027164, F1: 0.0017949, HIT_RATE: 0.0116666, ARHR: 0.0040377, RMSE: 5.5518412, NOVELTY: 0.0075779, AVERAGE_POPULARITY: 0.1422273, DIVERSITY_MEAN_INTER_LIST: 0.9925526, DIVERSITY_HERFINDAHL: 0.9992505, COVERAGE_ITEM: 0.7914572, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4880291, SHANNON_ENTROPY: 12.7417222, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'num_factors': 58, 'regularization': 0.09604728987571036, 'learning_rate': 0.08861048820424579, 'epochs': 300} - results: ROC_AUC: 0.0000536, PRECISION: 0.0000096, PRECISION_RECALL_MIN_DEN: 0.0000321, RECALL: 0.0000321, MAP: 0.0000100, MRR: 0.0000301, NDCG: 0.0000214, F1: 0.0000148, HIT_RATE: 0.0000964, ARHR: 0.0000301, RMSE: 6.4036274, NOVELTY: 0.0098986, AVERAGE_POPULARITY: 0.0014124, DIVERSITY_MEAN_INTER_LIST: 0.0002699, DIVERSITY_HERFINDAHL: 0.9000270, COVERAGE_ITEM: 0.0007570, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7334272, SHANNON_ENTROPY: 3.3235680, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'num_factors': 392, 'regularization': 0.08382769981521289, 'learning_rate': 0.09383396364408594, 'epochs': 300} - results: ROC_AUC: 0.0000161, PRECISION: 0.0000096, PRECISION_RECALL_MIN_DEN: 0.0000321, RECALL: 0.0000321, MAP: 0.0000039, MRR: 0.0000117, NDCG: 0.0000141, F1: 0.0000148, HIT_RATE: 0.0000964, ARHR: 0.0000117, RMSE: 6.4098829, NOVELTY: 0.0098986, AVERAGE_POPULARITY: 0.0014124, DIVERSITY_MEAN_INTER_LIST: 0.0001542, DIVERSITY_HERFINDAHL: 0.9000154, COVERAGE_ITEM: 0.0007029, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7857646, SHANNON_ENTROPY: 3.3229152, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'num_factors': 392, 'regularization': 1.1367253860040081e-08, 'learning_rate': 0.09949503109991656, 'epochs': 300} - results: ROC_AUC: 0.0063740, PRECISION: 0.0011908, PRECISION_RECALL_MIN_DEN: 0.0039692, RECALL: 0.0039692, MAP: 0.0012872, MRR: 0.0038519, NDCG: 0.0026773, F1: 0.0018319, HIT_RATE: 0.0119076, ARHR: 0.0038568, RMSE: 5.9691817, NOVELTY: 0.0067670, AVERAGE_POPULARITY: 0.1660949, DIVERSITY_MEAN_INTER_LIST: 0.9916532, DIVERSITY_HERFINDAHL: 0.9991605, COVERAGE_ITEM: 0.4722357, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2536610, SHANNON_ENTROPY: 11.3607736, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'num_factors': 51, 'regularization': 0.07687268540157986, 'learning_rate': 1.015413346723797e-06, 'epochs': 300} - results: ROC_AUC: 0.0009856, PRECISION: 0.0001928, PRECISION_RECALL_MIN_DEN: 0.0006428, RECALL: 0.0006428, MAP: 0.0001916, MRR: 0.0005748, NDCG: 0.0004152, F1: 0.0002967, HIT_RATE: 0.0019284, ARHR: 0.0005748, RMSE: 5.5063633, NOVELTY: 0.0083261, AVERAGE_POPULARITY: 0.0358089, DIVERSITY_MEAN_INTER_LIST: 0.9982969, DIVERSITY_HERFINDAHL: 0.9998249, COVERAGE_ITEM: 0.7225737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4616245, SHANNON_ENTROPY: 12.9833777, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'num_factors': 59, 'regularization': 1.6784030856506107e-08, 'learning_rate': 0.05790998959787767, 'epochs': 300} - results: ROC_AUC: 0.0048808, PRECISION: 0.0009497, PRECISION_RECALL_MIN_DEN: 0.0031657, RECALL: 0.0031657, MAP: 0.0009359, MRR: 0.0027659, NDCG: 0.0020319, F1: 0.0014611, HIT_RATE: 0.0094972, ARHR: 0.0027868, RMSE: 6.2374084, NOVELTY: 0.0080944, AVERAGE_POPULARITY: 0.1018712, DIVERSITY_MEAN_INTER_LIST: 0.8345952, DIVERSITY_HERFINDAHL: 0.9834555, COVERAGE_ITEM: 0.1116518, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1372404, SHANNON_ENTROPY: 7.7978554, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'num_factors': 396, 'regularization': 0.08972907222381675, 'learning_rate': 1.5118870965612115e-06, 'epochs': 300} - results: ROC_AUC: 0.0007124, PRECISION: 0.0001591, PRECISION_RECALL_MIN_DEN: 0.0005303, RECALL: 0.0005303, MAP: 0.0001278, MRR: 0.0003834, NDCG: 0.0003086, F1: 0.0002448, HIT_RATE: 0.0015909, ARHR: 0.0003834, RMSE: 5.5101407, NOVELTY: 0.0083694, AVERAGE_POPULARITY: 0.0304820, DIVERSITY_MEAN_INTER_LIST: 0.9992122, DIVERSITY_HERFINDAHL: 0.9999164, COVERAGE_ITEM: 0.8003244, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7331354, SHANNON_ENTROPY: 13.6876860, 
