SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.7251790592944842, 'user_topK': 1020, 'user_shrink': 1577, 'item_topK': 56, 'item_shrink': 1977} - results: ROC_AUC: 0.0629582, PRECISION: 0.0094706, PRECISION_RECALL_MIN_DEN: 0.0315685, RECALL: 0.0315685, MAP: 0.0164898, MRR: 0.0460405, NDCG: 0.0276019, F1: 0.0145701, HIT_RATE: 0.0947056, ARHR: 0.0477185, RMSE: 0.9928852, NOVELTY: 0.0065304, AVERAGE_POPULARITY: 0.0328130, DIVERSITY_MEAN_INTER_LIST: 0.9987445, DIVERSITY_HERFINDAHL: 0.9998683, COVERAGE_ITEM: 0.8587186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5503216, SHANNON_ENTROPY: 13.4320707, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.1101152, PRECISION: 0.0159943, PRECISION_RECALL_MIN_DEN: 0.0533144, RECALL: 0.0533144, MAP: 0.0292985, MRR: 0.0815757, NDCG: 0.0481359, F1: 0.0246066, HIT_RATE: 0.1599432, ARHR: 0.0847027, RMSE: 0.9912154, NOVELTY: 0.0059672, AVERAGE_POPULARITY: 0.3774273, DIVERSITY_MEAN_INTER_LIST: 0.8768000, DIVERSITY_HERFINDAHL: 0.9876746, COVERAGE_ITEM: 0.4577994, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1620884, SHANNON_ENTROPY: 9.1562473, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0038456213659281433, 'user_topK': 868, 'user_shrink': 1990, 'item_topK': 98, 'item_shrink': 1881} - results: ROC_AUC: 0.0749393, PRECISION: 0.0114969, PRECISION_RECALL_MIN_DEN: 0.0383229, RECALL: 0.0383229, MAP: 0.0196706, MRR: 0.0546256, NDCG: 0.0330807, F1: 0.0176875, HIT_RATE: 0.1149688, ARHR: 0.0567673, RMSE: 0.9919158, NOVELTY: 0.0071232, AVERAGE_POPULARITY: 0.0473005, DIVERSITY_MEAN_INTER_LIST: 0.9983526, DIVERSITY_HERFINDAHL: 0.9998291, COVERAGE_ITEM: 0.9263585, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5242583, SHANNON_ENTROPY: 13.4123706, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.1114065, PRECISION: 0.0165071, PRECISION_RECALL_MIN_DEN: 0.0550236, RECALL: 0.0550236, MAP: 0.0292702, MRR: 0.0814863, NDCG: 0.0486511, F1: 0.0253955, HIT_RATE: 0.1650707, ARHR: 0.0846241, RMSE: 0.9911166, NOVELTY: 0.0060261, AVERAGE_POPULARITY: 0.3747295, DIVERSITY_MEAN_INTER_LIST: 0.8648808, DIVERSITY_HERFINDAHL: 0.9864827, COVERAGE_ITEM: 0.4745066, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1869739, SHANNON_ENTROPY: 9.4842054, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.11645647478075286, 'user_topK': 1727, 'user_shrink': 1030, 'item_topK': 2, 'item_shrink': 1837} - results: ROC_AUC: 0.0953721, PRECISION: 0.0146167, PRECISION_RECALL_MIN_DEN: 0.0487222, RECALL: 0.0487222, MAP: 0.0249014, MRR: 0.0695878, NDCG: 0.0420260, F1: 0.0224872, HIT_RATE: 0.1461667, ARHR: 0.0721271, RMSE: 0.9968723, NOVELTY: 0.0056128, AVERAGE_POPULARITY: 0.4680717, DIVERSITY_MEAN_INTER_LIST: 0.8909092, DIVERSITY_HERFINDAHL: 0.9890854, COVERAGE_ITEM: 0.2791025, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1159285, SHANNON_ENTROPY: 8.7295928, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.04084949669051375, 'user_topK': 1967, 'user_shrink': 1044, 'item_topK': 1, 'item_shrink': 1255} - results: ROC_AUC: 0.0940380, PRECISION: 0.0147835, PRECISION_RECALL_MIN_DEN: 0.0492782, RECALL: 0.0492782, MAP: 0.0237022, MRR: 0.0654993, NDCG: 0.0408342, F1: 0.0227438, HIT_RATE: 0.1478347, ARHR: 0.0682730, RMSE: 0.9969010, NOVELTY: 0.0062606, AVERAGE_POPULARITY: 0.2425408, DIVERSITY_MEAN_INTER_LIST: 0.8924684, DIVERSITY_HERFINDAHL: 0.9892413, COVERAGE_ITEM: 0.4216815, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1507255, SHANNON_ENTROPY: 9.2056566, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.09236952360577445, 'user_topK': 805, 'user_shrink': 1955, 'item_topK': 6, 'item_shrink': 1360} - results: ROC_AUC: 0.1035890, PRECISION: 0.0163279, PRECISION_RECALL_MIN_DEN: 0.0544264, RECALL: 0.0544264, MAP: 0.0271430, MRR: 0.0744379, NDCG: 0.0459792, F1: 0.0251199, HIT_RATE: 0.1632792, ARHR: 0.0778853, RMSE: 0.9954326, NOVELTY: 0.0056969, AVERAGE_POPULARITY: 0.4414521, DIVERSITY_MEAN_INTER_LIST: 0.9545793, DIVERSITY_HERFINDAHL: 0.9954520, COVERAGE_ITEM: 0.3487970, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1311406, SHANNON_ENTROPY: 9.4184290, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.865860735899293, 'user_topK': 1967, 'user_shrink': 1931, 'item_topK': 10, 'item_shrink': 1203} - results: ROC_AUC: 0.0455115, PRECISION: 0.0069933, PRECISION_RECALL_MIN_DEN: 0.0233109, RECALL: 0.0233109, MAP: 0.0112981, MRR: 0.0326625, NDCG: 0.0196371, F1: 0.0107589, HIT_RATE: 0.0699327, ARHR: 0.0332784, RMSE: 0.8764502, NOVELTY: 0.0062146, AVERAGE_POPULARITY: 0.1964667, DIVERSITY_MEAN_INTER_LIST: 0.9679911, DIVERSITY_HERFINDAHL: 0.9967931, COVERAGE_ITEM: 0.4039470, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1483947, SHANNON_ENTROPY: 10.0056523, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.04462927397328809, 'user_topK': 1724, 'user_shrink': 1101, 'item_topK': 96, 'item_shrink': 1366} - results: ROC_AUC: 0.1069728, PRECISION: 0.0180639, PRECISION_RECALL_MIN_DEN: 0.0602129, RECALL: 0.0602129, MAP: 0.0278237, MRR: 0.0761438, NDCG: 0.0484552, F1: 0.0277906, HIT_RATE: 0.1806388, ARHR: 0.0797402, RMSE: 0.9443760, NOVELTY: 0.0053264, AVERAGE_POPULARITY: 0.5972118, DIVERSITY_MEAN_INTER_LIST: 0.8519460, DIVERSITY_HERFINDAHL: 0.9851893, COVERAGE_ITEM: 0.2031360, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0733652, SHANNON_ENTROPY: 7.6259657, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.02493810102161121, 'user_topK': 1774, 'user_shrink': 1388, 'item_topK': 98, 'item_shrink': 1075} - results: ROC_AUC: 0.1138695, PRECISION: 0.0188732, PRECISION_RECALL_MIN_DEN: 0.0629106, RECALL: 0.0629106, MAP: 0.0297127, MRR: 0.0808703, NDCG: 0.0512555, F1: 0.0290356, HIT_RATE: 0.1887317, ARHR: 0.0849309, RMSE: 0.9516657, NOVELTY: 0.0054410, AVERAGE_POPULARITY: 0.5451135, DIVERSITY_MEAN_INTER_LIST: 0.8903248, DIVERSITY_HERFINDAHL: 0.9890270, COVERAGE_ITEM: 0.2554204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0860085, SHANNON_ENTROPY: 8.1835755, 
SearchBayesianSkopt: New best config found. Config 22: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.06530289263756119, 'user_topK': 1193, 'user_shrink': 1111, 'item_topK': 5, 'item_shrink': 1004} - results: ROC_AUC: 0.1317565, PRECISION: 0.0209057, PRECISION_RECALL_MIN_DEN: 0.0696856, RECALL: 0.0696856, MAP: 0.0349364, MRR: 0.0942673, NDCG: 0.0587967, F1: 0.0321626, HIT_RATE: 0.2090567, ARHR: 0.0994240, RMSE: 0.9807686, NOVELTY: 0.0060685, AVERAGE_POPULARITY: 0.3204096, DIVERSITY_MEAN_INTER_LIST: 0.9504841, DIVERSITY_HERFINDAHL: 0.9950425, COVERAGE_ITEM: 0.5439849, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1814594, SHANNON_ENTROPY: 10.2781084, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 700, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0918502, PRECISION: 0.0138692, PRECISION_RECALL_MIN_DEN: 0.0462305, RECALL: 0.0462305, MAP: 0.0236543, MRR: 0.0667200, NDCG: 0.0400161, F1: 0.0213372, HIT_RATE: 0.1386915, ARHR: 0.0688198, RMSE: 0.9973890, NOVELTY: 0.0060532, AVERAGE_POPULARITY: 0.3223689, DIVERSITY_MEAN_INTER_LIST: 0.9715577, DIVERSITY_HERFINDAHL: 0.9971498, COVERAGE_ITEM: 0.3727494, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2014575, SHANNON_ENTROPY: 10.3947583, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.01414176896898756, 'user_topK': 1821, 'user_shrink': 1844, 'item_topK': 97, 'item_shrink': 1886} - results: ROC_AUC: 0.1081971, PRECISION: 0.0178415, PRECISION_RECALL_MIN_DEN: 0.0594716, RECALL: 0.0594716, MAP: 0.0279698, MRR: 0.0768385, NDCG: 0.0484416, F1: 0.0274484, HIT_RATE: 0.1784148, ARHR: 0.0803064, RMSE: 0.9512735, NOVELTY: 0.0053154, AVERAGE_POPULARITY: 0.5983031, DIVERSITY_MEAN_INTER_LIST: 0.8757335, DIVERSITY_HERFINDAHL: 0.9875679, COVERAGE_ITEM: 0.1881049, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0746313, SHANNON_ENTROPY: 7.7020493, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.03547599440526073, 'user_topK': 720, 'user_shrink': 1055, 'item_topK': 13, 'item_shrink': 1120} - results: ROC_AUC: 0.1318401, PRECISION: 0.0214493, PRECISION_RECALL_MIN_DEN: 0.0714977, RECALL: 0.0714977, MAP: 0.0349139, MRR: 0.0942557, NDCG: 0.0593288, F1: 0.0329989, HIT_RATE: 0.2144931, ARHR: 0.0993805, RMSE: 0.9778153, NOVELTY: 0.0060070, AVERAGE_POPULARITY: 0.3162266, DIVERSITY_MEAN_INTER_LIST: 0.9752109, DIVERSITY_HERFINDAHL: 0.9975151, COVERAGE_ITEM: 0.5499865, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1684562, SHANNON_ENTROPY: 10.4635435, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 700, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0918502, PRECISION: 0.0138692, PRECISION_RECALL_MIN_DEN: 0.0462305, RECALL: 0.0462305, MAP: 0.0236543, MRR: 0.0667200, NDCG: 0.0400161, F1: 0.0213372, HIT_RATE: 0.1386915, ARHR: 0.0688198, RMSE: 0.9973890, NOVELTY: 0.0060532, AVERAGE_POPULARITY: 0.3223689, DIVERSITY_MEAN_INTER_LIST: 0.9715577, DIVERSITY_HERFINDAHL: 0.9971498, COVERAGE_ITEM: 0.3727494, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2014575, SHANNON_ENTROPY: 10.3947583, 
