SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.7251790592944842, 'user_topK': 1020, 'user_shrink': 1577, 'item_topK': 56, 'item_shrink': 1977} - results: ROC_AUC: 0.0798380, PRECISION: 0.0128869, PRECISION_RECALL_MIN_DEN: 0.0429563, RECALL: 0.0429563, MAP: 0.0210493, MRR: 0.0585500, NDCG: 0.0359818, F1: 0.0198260, HIT_RATE: 0.1288688, ARHR: 0.0608140, RMSE: 0.9604728, NOVELTY: 0.0052271, AVERAGE_POPULARITY: 0.6795240, DIVERSITY_MEAN_INTER_LIST: 0.7440795, DIVERSITY_HERFINDAHL: 0.9744033, COVERAGE_ITEM: 0.2939173, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0688804, SHANNON_ENTROPY: 7.0100825, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 4.0, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0926972, PRECISION: 0.0136220, PRECISION_RECALL_MIN_DEN: 0.0454068, RECALL: 0.0454068, MAP: 0.0240394, MRR: 0.0677196, NDCG: 0.0401651, F1: 0.0209570, HIT_RATE: 0.1362204, ARHR: 0.0699013, RMSE: 0.9980220, NOVELTY: 0.0061934, AVERAGE_POPULARITY: 0.2731051, DIVERSITY_MEAN_INTER_LIST: 0.9874418, DIVERSITY_HERFINDAHL: 0.9987381, COVERAGE_ITEM: 0.3829143, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2264975, SHANNON_ENTROPY: 10.8147223, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.253241795886686, 'user_topK': 1998, 'user_shrink': 1068, 'item_topK': 3, 'item_shrink': 1029} - results: ROC_AUC: 0.1011487, PRECISION: 0.0155063, PRECISION_RECALL_MIN_DEN: 0.0516876, RECALL: 0.0516876, MAP: 0.0265304, MRR: 0.0733477, NDCG: 0.0445737, F1: 0.0238558, HIT_RATE: 0.1550627, ARHR: 0.0764325, RMSE: 0.9947905, NOVELTY: 0.0057981, AVERAGE_POPULARITY: 0.4097461, DIVERSITY_MEAN_INTER_LIST: 0.9465063, DIVERSITY_HERFINDAHL: 0.9946448, COVERAGE_ITEM: 0.3856177, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1462613, SHANNON_ENTROPY: 9.6220388, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.08341508504855712, 'user_topK': 1911, 'user_shrink': 1965, 'item_topK': 98, 'item_shrink': 1928} - results: ROC_AUC: 0.0752489, PRECISION: 0.0124359, PRECISION_RECALL_MIN_DEN: 0.0414530, RECALL: 0.0414530, MAP: 0.0190698, MRR: 0.0537218, NDCG: 0.0335256, F1: 0.0191322, HIT_RATE: 0.1243591, ARHR: 0.0554352, RMSE: 0.9829682, NOVELTY: 0.0050271, AVERAGE_POPULARITY: 0.7696613, DIVERSITY_MEAN_INTER_LIST: 0.6185711, DIVERSITY_HERFINDAHL: 0.9618533, COVERAGE_ITEM: 0.0757502, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0447291, SHANNON_ENTROPY: 5.6942944, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.975902109899325, 'user_topK': 749, 'user_shrink': 1125, 'item_topK': 2, 'item_shrink': 1938} - results: ROC_AUC: 0.0990410, PRECISION: 0.0149379, PRECISION_RECALL_MIN_DEN: 0.0497930, RECALL: 0.0497930, MAP: 0.0260227, MRR: 0.0725862, NDCG: 0.0435409, F1: 0.0229814, HIT_RATE: 0.1493791, ARHR: 0.0753042, RMSE: 0.9979118, NOVELTY: 0.0060469, AVERAGE_POPULARITY: 0.3260648, DIVERSITY_MEAN_INTER_LIST: 0.9809609, DIVERSITY_HERFINDAHL: 0.9980900, COVERAGE_ITEM: 0.4108678, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1865360, SHANNON_ENTROPY: 10.4317476, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.0925674420142963, 'user_topK': 1979, 'user_shrink': 1142, 'item_topK': 1, 'item_shrink': 1939} - results: ROC_AUC: 0.0859292, PRECISION: 0.0128498, PRECISION_RECALL_MIN_DEN: 0.0428327, RECALL: 0.0428327, MAP: 0.0225602, MRR: 0.0636775, NDCG: 0.0377560, F1: 0.0197690, HIT_RATE: 0.1284982, ARHR: 0.0656662, RMSE: 0.9981990, NOVELTY: 0.0058830, AVERAGE_POPULARITY: 0.3930430, DIVERSITY_MEAN_INTER_LIST: 0.9082979, DIVERSITY_HERFINDAHL: 0.9908242, COVERAGE_ITEM: 0.3270073, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1710200, SHANNON_ENTROPY: 9.5254771, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.4778949379079673, 'user_topK': 761, 'user_shrink': 1137, 'item_topK': 1, 'item_shrink': 1003} - results: ROC_AUC: 0.0853735, PRECISION: 0.0126460, PRECISION_RECALL_MIN_DEN: 0.0421532, RECALL: 0.0421532, MAP: 0.0225071, MRR: 0.0634987, NDCG: 0.0374711, F1: 0.0194553, HIT_RATE: 0.1264595, ARHR: 0.0654933, RMSE: 0.9927607, NOVELTY: 0.0059445, AVERAGE_POPULARITY: 0.3668159, DIVERSITY_MEAN_INTER_LIST: 0.9361023, DIVERSITY_HERFINDAHL: 0.9936044, COVERAGE_ITEM: 0.3364693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1849748, SHANNON_ENTROPY: 9.7952429, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.683343424998089, 'user_topK': 718, 'user_shrink': 1853, 'item_topK': 96, 'item_shrink': 1042} - results: ROC_AUC: 0.0972648, PRECISION: 0.0154507, PRECISION_RECALL_MIN_DEN: 0.0515022, RECALL: 0.0515022, MAP: 0.0255317, MRR: 0.0704179, NDCG: 0.0433821, F1: 0.0237703, HIT_RATE: 0.1545067, ARHR: 0.0734373, RMSE: 0.9819398, NOVELTY: 0.0053756, AVERAGE_POPULARITY: 0.5857450, DIVERSITY_MEAN_INTER_LIST: 0.8821439, DIVERSITY_HERFINDAHL: 0.9882089, COVERAGE_ITEM: 0.3352257, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0861062, SHANNON_ENTROPY: 8.1313706, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.882120866542195, 'user_topK': 1261, 'user_shrink': 1985, 'item_topK': 1, 'item_shrink': 1039} - results: ROC_AUC: 0.0925213, PRECISION: 0.0135479, PRECISION_RECALL_MIN_DEN: 0.0451597, RECALL: 0.0451597, MAP: 0.0239440, MRR: 0.0676279, NDCG: 0.0400172, F1: 0.0208429, HIT_RATE: 0.1354791, ARHR: 0.0697124, RMSE: 0.9979274, NOVELTY: 0.0061439, AVERAGE_POPULARITY: 0.2955899, DIVERSITY_MEAN_INTER_LIST: 0.9821179, DIVERSITY_HERFINDAHL: 0.9982057, COVERAGE_ITEM: 0.3804812, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2181088, SHANNON_ENTROPY: 10.6501416, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 4.0, 'user_topK': 700, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0916302, PRECISION: 0.0134552, PRECISION_RECALL_MIN_DEN: 0.0448508, RECALL: 0.0448508, MAP: 0.0238493, MRR: 0.0672996, NDCG: 0.0397967, F1: 0.0207004, HIT_RATE: 0.1345524, ARHR: 0.0694062, RMSE: 0.9977383, NOVELTY: 0.0061837, AVERAGE_POPULARITY: 0.2787062, DIVERSITY_MEAN_INTER_LIST: 0.9857497, DIVERSITY_HERFINDAHL: 0.9985689, COVERAGE_ITEM: 0.3823195, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2248201, SHANNON_ENTROPY: 10.7667211, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.7592573189498046, 'user_topK': 1989, 'user_shrink': 1027, 'item_topK': 84, 'item_shrink': 1045} - results: ROC_AUC: 0.0828253, PRECISION: 0.0133008, PRECISION_RECALL_MIN_DEN: 0.0443360, RECALL: 0.0443360, MAP: 0.0214837, MRR: 0.0598598, NDCG: 0.0369251, F1: 0.0204628, HIT_RATE: 0.1330080, ARHR: 0.0621211, RMSE: 0.9675310, NOVELTY: 0.0051475, AVERAGE_POPULARITY: 0.7070801, DIVERSITY_MEAN_INTER_LIST: 0.7147828, DIVERSITY_HERFINDAHL: 0.9714739, COVERAGE_ITEM: 0.1985942, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0542509, SHANNON_ENTROPY: 6.5768644, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.6733747376799766, 'user_topK': 715, 'user_shrink': 1027, 'item_topK': 94, 'item_shrink': 1864} - results: ROC_AUC: 0.0777281, PRECISION: 0.0124235, PRECISION_RECALL_MIN_DEN: 0.0414118, RECALL: 0.0414118, MAP: 0.0201293, MRR: 0.0559838, NDCG: 0.0345457, F1: 0.0191132, HIT_RATE: 0.1242355, ARHR: 0.0581546, RMSE: 0.9694827, NOVELTY: 0.0051831, AVERAGE_POPULARITY: 0.6990339, DIVERSITY_MEAN_INTER_LIST: 0.7143236, DIVERSITY_HERFINDAHL: 0.9714279, COVERAGE_ITEM: 0.2808327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0631944, SHANNON_ENTROPY: 6.7568187, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 4.0, 'user_topK': 700, 'user_shrink': 1000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0916302, PRECISION: 0.0134552, PRECISION_RECALL_MIN_DEN: 0.0448508, RECALL: 0.0448508, MAP: 0.0238493, MRR: 0.0672996, NDCG: 0.0397967, F1: 0.0207004, HIT_RATE: 0.1345524, ARHR: 0.0694062, RMSE: 0.9977383, NOVELTY: 0.0061837, AVERAGE_POPULARITY: 0.2787062, DIVERSITY_MEAN_INTER_LIST: 0.9857497, DIVERSITY_HERFINDAHL: 0.9985689, COVERAGE_ITEM: 0.3823195, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2248201, SHANNON_ENTROPY: 10.7667211, 
