SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.7251790592944842, 'user_topK': 1020, 'user_shrink': 1577, 'item_topK': 56, 'item_shrink': 1977} - results: ROC_AUC: 0.0815060, PRECISION: 0.0122444, PRECISION_RECALL_MIN_DEN: 0.0408146, RECALL: 0.0408146, MAP: 0.0218018, MRR: 0.0603833, NDCG: 0.0361037, F1: 0.0188375, HIT_RATE: 0.1224439, ARHR: 0.0628539, RMSE: 0.9723522, NOVELTY: 0.0077362, AVERAGE_POPULARITY: 0.0689497, DIVERSITY_MEAN_INTER_LIST: 0.9951396, DIVERSITY_HERFINDAHL: 0.9995078, COVERAGE_ITEM: 0.7337118, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3529177, SHANNON_ENTROPY: 12.4337728, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.14616031164450852, 'user_topK': 1729, 'user_shrink': 1053, 'item_topK': 5, 'item_shrink': 1998} - results: ROC_AUC: 0.0960476, PRECISION: 0.0149626, PRECISION_RECALL_MIN_DEN: 0.0498754, RECALL: 0.0498754, MAP: 0.0258649, MRR: 0.0706575, NDCG: 0.0431015, F1: 0.0230194, HIT_RATE: 0.1496262, ARHR: 0.0740566, RMSE: 0.9627804, NOVELTY: 0.0053686, AVERAGE_POPULARITY: 0.5751201, DIVERSITY_MEAN_INTER_LIST: 0.6288655, DIVERSITY_HERFINDAHL: 0.9628827, COVERAGE_ITEM: 0.2277913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0648066, SHANNON_ENTROPY: 6.6186635, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 2.381873203642827, 'user_topK': 1995, 'user_shrink': 1081, 'item_topK': 7, 'item_shrink': 1984} - results: ROC_AUC: 0.0666411, PRECISION: 0.0107617, PRECISION_RECALL_MIN_DEN: 0.0358724, RECALL: 0.0358724, MAP: 0.0172674, MRR: 0.0482539, NDCG: 0.0297660, F1: 0.0165565, HIT_RATE: 0.1076172, ARHR: 0.0500026, RMSE: 0.9610413, NOVELTY: 0.0051204, AVERAGE_POPULARITY: 0.6816306, DIVERSITY_MEAN_INTER_LIST: 0.5795902, DIVERSITY_HERFINDAHL: 0.9579554, COVERAGE_ITEM: 0.0312517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0786326, SHANNON_ENTROPY: 5.5570158, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.1047643, PRECISION: 0.0159325, PRECISION_RECALL_MIN_DEN: 0.0531085, RECALL: 0.0531085, MAP: 0.0272030, MRR: 0.0748128, NDCG: 0.0457035, F1: 0.0245116, HIT_RATE: 0.1593254, ARHR: 0.0781652, RMSE: 0.9947307, NOVELTY: 0.0063845, AVERAGE_POPULARITY: 0.2151846, DIVERSITY_MEAN_INTER_LIST: 0.9205566, DIVERSITY_HERFINDAHL: 0.9920500, COVERAGE_ITEM: 0.4209786, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1581870, SHANNON_ENTROPY: 9.5428144, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.13270765950561317, 'user_topK': 1822, 'user_shrink': 1646, 'item_topK': 98, 'item_shrink': 1020} - results: ROC_AUC: 0.0757782, PRECISION: 0.0129054, PRECISION_RECALL_MIN_DEN: 0.0430181, RECALL: 0.0430181, MAP: 0.0194370, MRR: 0.0538674, NDCG: 0.0342577, F1: 0.0198545, HIT_RATE: 0.1290542, ARHR: 0.0560498, RMSE: 0.8915039, NOVELTY: 0.0051032, AVERAGE_POPULARITY: 0.7241312, DIVERSITY_MEAN_INTER_LIST: 0.5115965, DIVERSITY_HERFINDAHL: 0.9511565, COVERAGE_ITEM: 0.1323060, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0353448, SHANNON_ENTROPY: 5.5470927, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.1006017, PRECISION: 0.0155619, PRECISION_RECALL_MIN_DEN: 0.0518729, RECALL: 0.0518729, MAP: 0.0258626, MRR: 0.0710793, NDCG: 0.0438811, F1: 0.0239413, HIT_RATE: 0.1556187, ARHR: 0.0742843, RMSE: 0.9960339, NOVELTY: 0.0066743, AVERAGE_POPULARITY: 0.1578594, DIVERSITY_MEAN_INTER_LIST: 0.9723452, DIVERSITY_HERFINDAHL: 0.9972285, COVERAGE_ITEM: 0.4381725, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1936835, SHANNON_ENTROPY: 10.4032627, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.010829434911976412, 'user_topK': 790, 'user_shrink': 1866, 'item_topK': 6, 'item_shrink': 1955} - results: ROC_AUC: 0.0911237, PRECISION: 0.0152468, PRECISION_RECALL_MIN_DEN: 0.0508227, RECALL: 0.0508227, MAP: 0.0233898, MRR: 0.0638156, NDCG: 0.0407858, F1: 0.0234566, HIT_RATE: 0.1524680, ARHR: 0.0669209, RMSE: 0.9962393, NOVELTY: 0.0066982, AVERAGE_POPULARITY: 0.0954129, DIVERSITY_MEAN_INTER_LIST: 0.9911514, DIVERSITY_HERFINDAHL: 0.9991090, COVERAGE_ITEM: 0.7313328, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3708253, SHANNON_ENTROPY: 12.2769291, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.25215476602218617, 'user_topK': 1814, 'user_shrink': 1030, 'item_topK': 99, 'item_shrink': 1958} - results: ROC_AUC: 0.0772734, PRECISION: 0.0119664, PRECISION_RECALL_MIN_DEN: 0.0398880, RECALL: 0.0398880, MAP: 0.0204072, MRR: 0.0564363, NDCG: 0.0343118, F1: 0.0184098, HIT_RATE: 0.1196639, ARHR: 0.0587785, RMSE: 0.9878668, NOVELTY: 0.0072256, AVERAGE_POPULARITY: 0.0565155, DIVERSITY_MEAN_INTER_LIST: 0.9974018, DIVERSITY_HERFINDAHL: 0.9997340, COVERAGE_ITEM: 0.9045688, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4698144, SHANNON_ENTROPY: 13.1657371, 
SearchBayesianSkopt: New best config found. Config 18: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.2550009642967522, 'user_topK': 726, 'user_shrink': 1794, 'item_topK': 2, 'item_shrink': 1562} - results: ROC_AUC: 0.1241689, PRECISION: 0.0193303, PRECISION_RECALL_MIN_DEN: 0.0644344, RECALL: 0.0644344, MAP: 0.0327474, MRR: 0.0891526, NDCG: 0.0549839, F1: 0.0297390, HIT_RATE: 0.1933033, ARHR: 0.0936070, RMSE: 0.9735592, NOVELTY: 0.0058039, AVERAGE_POPULARITY: 0.4116451, DIVERSITY_MEAN_INTER_LIST: 0.8624733, DIVERSITY_HERFINDAHL: 0.9862420, COVERAGE_ITEM: 0.3524736, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1264201, SHANNON_ENTROPY: 8.8846671, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.6905448945463415, 'user_topK': 725, 'user_shrink': 1761, 'item_topK': 98, 'item_shrink': 1589} - results: ROC_AUC: 0.0604345, PRECISION: 0.0097547, PRECISION_RECALL_MIN_DEN: 0.0325158, RECALL: 0.0325158, MAP: 0.0156178, MRR: 0.0434620, NDCG: 0.0269160, F1: 0.0150073, HIT_RATE: 0.0975474, ARHR: 0.0451226, RMSE: 0.9288001, NOVELTY: 0.0051280, AVERAGE_POPULARITY: 0.6647632, DIVERSITY_MEAN_INTER_LIST: 0.5778012, DIVERSITY_HERFINDAHL: 0.9577766, COVERAGE_ITEM: 0.0426602, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0482381, SHANNON_ENTROPY: 5.3085423, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.015257093973695127, 'user_topK': 1975, 'user_shrink': 1783, 'item_topK': 5, 'item_shrink': 1108} - results: ROC_AUC: 0.1116620, PRECISION: 0.0170075, PRECISION_RECALL_MIN_DEN: 0.0566916, RECALL: 0.0566916, MAP: 0.0297437, MRR: 0.0813901, NDCG: 0.0494292, F1: 0.0261653, HIT_RATE: 0.1700748, ARHR: 0.0852481, RMSE: 0.9594194, NOVELTY: 0.0053975, AVERAGE_POPULARITY: 0.5691528, DIVERSITY_MEAN_INTER_LIST: 0.6114052, DIVERSITY_HERFINDAHL: 0.9611367, COVERAGE_ITEM: 0.2283320, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0650387, SHANNON_ENTROPY: 6.6761991, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.9882616364437578, 'user_topK': 1702, 'user_shrink': 1179, 'item_topK': 3, 'item_shrink': 1938} - results: ROC_AUC: 0.0448817, PRECISION: 0.0073083, PRECISION_RECALL_MIN_DEN: 0.0243611, RECALL: 0.0243611, MAP: 0.0104581, MRR: 0.0300465, NDCG: 0.0190558, F1: 0.0112436, HIT_RATE: 0.0730833, ARHR: 0.0307104, RMSE: 0.8511529, NOVELTY: 0.0058354, AVERAGE_POPULARITY: 0.2939611, DIVERSITY_MEAN_INTER_LIST: 0.7928667, DIVERSITY_HERFINDAHL: 0.9792818, COVERAGE_ITEM: 0.1387943, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1102677, SHANNON_ENTROPY: 7.7419233, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.010414241905122081, 'user_topK': 936, 'user_shrink': 1997, 'item_topK': 99, 'item_shrink': 1596} - results: ROC_AUC: 0.0906735, PRECISION: 0.0139433, PRECISION_RECALL_MIN_DEN: 0.0464776, RECALL: 0.0464776, MAP: 0.0238888, MRR: 0.0655143, NDCG: 0.0400236, F1: 0.0214512, HIT_RATE: 0.1394329, ARHR: 0.0685367, RMSE: 0.9709433, NOVELTY: 0.0076895, AVERAGE_POPULARITY: 0.0944322, DIVERSITY_MEAN_INTER_LIST: 0.9928080, DIVERSITY_HERFINDAHL: 0.9992747, COVERAGE_ITEM: 0.7147878, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3148685, SHANNON_ENTROPY: 12.1400604, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0937272, PRECISION: 0.0145981, PRECISION_RECALL_MIN_DEN: 0.0486604, RECALL: 0.0486604, MAP: 0.0235127, MRR: 0.0650023, NDCG: 0.0404520, F1: 0.0224587, HIT_RATE: 0.1459813, ARHR: 0.0677321, RMSE: 0.9968737, NOVELTY: 0.0064769, AVERAGE_POPULARITY: 0.1881990, DIVERSITY_MEAN_INTER_LIST: 0.9558237, DIVERSITY_HERFINDAHL: 0.9955765, COVERAGE_ITEM: 0.4134090, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1675564, SHANNON_ENTROPY: 9.9193535, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.34411672553674594, 'user_topK': 1953, 'user_shrink': 1987, 'item_topK': 80, 'item_shrink': 1931} - results: ROC_AUC: 0.0492773, PRECISION: 0.0087354, PRECISION_RECALL_MIN_DEN: 0.0291180, RECALL: 0.0291180, MAP: 0.0119506, MRR: 0.0340060, NDCG: 0.0220494, F1: 0.0134391, HIT_RATE: 0.0873540, ARHR: 0.0349081, RMSE: 0.9260215, NOVELTY: 0.0049147, AVERAGE_POPULARITY: 0.8509762, DIVERSITY_MEAN_INTER_LIST: 0.3026743, DIVERSITY_HERFINDAHL: 0.9302656, COVERAGE_ITEM: 0.0065423, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1205751, SHANNON_ENTROPY: 4.1455541, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.3214154325479504, 'user_topK': 791, 'user_shrink': 1379, 'item_topK': 3, 'item_shrink': 1134} - results: ROC_AUC: 0.0846910, PRECISION: 0.0132761, PRECISION_RECALL_MIN_DEN: 0.0442536, RECALL: 0.0442536, MAP: 0.0223419, MRR: 0.0620971, NDCG: 0.0377880, F1: 0.0204247, HIT_RATE: 0.1327609, ARHR: 0.0645312, RMSE: 0.9745698, NOVELTY: 0.0053166, AVERAGE_POPULARITY: 0.5925938, DIVERSITY_MEAN_INTER_LIST: 0.7314824, DIVERSITY_HERFINDAHL: 0.9731437, COVERAGE_ITEM: 0.1697215, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0735209, SHANNON_ENTROPY: 7.0101997, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.1021813, PRECISION: 0.0159325, PRECISION_RECALL_MIN_DEN: 0.0531085, RECALL: 0.0531085, MAP: 0.0264610, MRR: 0.0723741, NDCG: 0.0448292, F1: 0.0245116, HIT_RATE: 0.1593254, ARHR: 0.0758206, RMSE: 0.9941599, NOVELTY: 0.0063818, AVERAGE_POPULARITY: 0.2160560, DIVERSITY_MEAN_INTER_LIST: 0.9441182, DIVERSITY_HERFINDAHL: 0.9944060, COVERAGE_ITEM: 0.4103271, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1661202, SHANNON_ENTROPY: 9.8085111, 
