SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.7251790592944842, 'item_asymmetric_alpha': 0.9837374394120124, 'user_topK': 1450, 'user_shrink': 1553, 'item_topK': 98, 'item_shrink': 1568} - results: ROC_AUC: 0.0823720, PRECISION: 0.0125224, PRECISION_RECALL_MIN_DEN: 0.0417413, RECALL: 0.0417413, MAP: 0.0220532, MRR: 0.0606002, NDCG: 0.0365843, F1: 0.0192652, HIT_RATE: 0.1252239, ARHR: 0.0633320, RMSE: 0.9624811, NOVELTY: 0.0069004, AVERAGE_POPULARITY: 0.0828593, DIVERSITY_MEAN_INTER_LIST: 0.9928662, DIVERSITY_HERFINDAHL: 0.9992805, COVERAGE_ITEM: 0.8700189, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4058187, SHANNON_ENTROPY: 12.6522632, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.3382255465714405, 'item_asymmetric_alpha': 0.047711042103100336, 'user_topK': 1990, 'user_shrink': 1887, 'item_topK': 96, 'item_shrink': 1892} - results: ROC_AUC: 0.0753644, PRECISION: 0.0115648, PRECISION_RECALL_MIN_DEN: 0.0385495, RECALL: 0.0385495, MAP: 0.0197605, MRR: 0.0549625, NDCG: 0.0332624, F1: 0.0177921, HIT_RATE: 0.1156484, ARHR: 0.0570751, RMSE: 0.9908206, NOVELTY: 0.0071360, AVERAGE_POPULARITY: 0.0494564, DIVERSITY_MEAN_INTER_LIST: 0.9982052, DIVERSITY_HERFINDAHL: 0.9998144, COVERAGE_ITEM: 0.9257637, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5154807, SHANNON_ENTROPY: 13.3773419, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.9212765662696425, 'item_asymmetric_alpha': 3.861480932880557, 'user_topK': 1864, 'user_shrink': 1968, 'item_topK': 7, 'item_shrink': 1877} - results: ROC_AUC: 0.0812375, PRECISION: 0.0124359, PRECISION_RECALL_MIN_DEN: 0.0414530, RECALL: 0.0414530, MAP: 0.0213824, MRR: 0.0596136, NDCG: 0.0359188, F1: 0.0191322, HIT_RATE: 0.1243591, ARHR: 0.0618390, RMSE: 0.9771300, NOVELTY: 0.0054249, AVERAGE_POPULARITY: 0.5416404, DIVERSITY_MEAN_INTER_LIST: 0.8270861, DIVERSITY_HERFINDAHL: 0.9827035, COVERAGE_ITEM: 0.3045147, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0827468, SHANNON_ENTROPY: 7.7842047, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0025922782909710844, 'item_asymmetric_alpha': 0.006519635824579597, 'user_topK': 708, 'user_shrink': 1204, 'item_topK': 13, 'item_shrink': 1048} - results: ROC_AUC: 0.0693910, PRECISION: 0.0117872, PRECISION_RECALL_MIN_DEN: 0.0392908, RECALL: 0.0392908, MAP: 0.0175687, MRR: 0.0489405, NDCG: 0.0311465, F1: 0.0181342, HIT_RATE: 0.1178724, ARHR: 0.0507954, RMSE: 0.9517936, NOVELTY: 0.0050346, AVERAGE_POPULARITY: 0.7545210, DIVERSITY_MEAN_INTER_LIST: 0.5685846, DIVERSITY_HERFINDAHL: 0.9568550, COVERAGE_ITEM: 0.0446067, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0544197, SHANNON_ENTROPY: 5.4789743, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.8426200878605865, 'item_asymmetric_alpha': 3.8270080830592197, 'user_topK': 788, 'user_shrink': 1103, 'item_topK': 44, 'item_shrink': 1072} - results: ROC_AUC: 0.0479517, PRECISION: 0.0071848, PRECISION_RECALL_MIN_DEN: 0.0239493, RECALL: 0.0239493, MAP: 0.0116852, MRR: 0.0336627, NDCG: 0.0202679, F1: 0.0110535, HIT_RATE: 0.0718478, ARHR: 0.0343591, RMSE: 0.9569134, NOVELTY: 0.0063336, AVERAGE_POPULARITY: 0.1690817, DIVERSITY_MEAN_INTER_LIST: 0.9787808, DIVERSITY_HERFINDAHL: 0.9978720, COVERAGE_ITEM: 0.5198702, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629252, SHANNON_ENTROPY: 10.4640813, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.1842133323051454, 'item_asymmetric_alpha': 0.13158612795785898, 'user_topK': 1973, 'user_shrink': 1074, 'item_topK': 42, 'item_shrink': 1700} - results: ROC_AUC: 0.0826981, PRECISION: 0.0135850, PRECISION_RECALL_MIN_DEN: 0.0452833, RECALL: 0.0452833, MAP: 0.0216407, MRR: 0.0601881, NDCG: 0.0373575, F1: 0.0209000, HIT_RATE: 0.1358498, ARHR: 0.0625263, RMSE: 0.9812423, NOVELTY: 0.0051662, AVERAGE_POPULARITY: 0.7020843, DIVERSITY_MEAN_INTER_LIST: 0.7349662, DIVERSITY_HERFINDAHL: 0.9734921, COVERAGE_ITEM: 0.2154636, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0580347, SHANNON_ENTROPY: 6.7367582, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.47377714773658497, 'item_asymmetric_alpha': 3.8909040536905843, 'user_topK': 1932, 'user_shrink': 1222, 'item_topK': 94, 'item_shrink': 1321} - results: ROC_AUC: 0.0739267, PRECISION: 0.0107432, PRECISION_RECALL_MIN_DEN: 0.0358106, RECALL: 0.0358106, MAP: 0.0199202, MRR: 0.0554458, NDCG: 0.0325681, F1: 0.0165280, HIT_RATE: 0.1074319, ARHR: 0.0575659, RMSE: 0.9201986, NOVELTY: 0.0081995, AVERAGE_POPULARITY: 0.0851172, DIVERSITY_MEAN_INTER_LIST: 0.9897794, DIVERSITY_HERFINDAHL: 0.9989718, COVERAGE_ITEM: 0.5682617, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2644578, SHANNON_ENTROPY: 11.5672516, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.2552082220690682, 'item_asymmetric_alpha': 0.13583779306345714, 'user_topK': 1987, 'user_shrink': 1942, 'item_topK': 70, 'item_shrink': 1094} - results: ROC_AUC: 0.0976274, PRECISION: 0.0150985, PRECISION_RECALL_MIN_DEN: 0.0503285, RECALL: 0.0503285, MAP: 0.0255544, MRR: 0.0699548, NDCG: 0.0430007, F1: 0.0232285, HIT_RATE: 0.1509854, ARHR: 0.0732459, RMSE: 0.9640936, NOVELTY: 0.0073133, AVERAGE_POPULARITY: 0.1330480, DIVERSITY_MEAN_INTER_LIST: 0.9862130, DIVERSITY_HERFINDAHL: 0.9986152, COVERAGE_ITEM: 0.7333333, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2842112, SHANNON_ENTROPY: 11.7653134, 
SearchBayesianSkopt: New best config found. Config 18: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.8665385823949645, 'item_asymmetric_alpha': 0.08913758367259252, 'user_topK': 1979, 'user_shrink': 1777, 'item_topK': 6, 'item_shrink': 1108} - results: ROC_AUC: 0.1138054, PRECISION: 0.0176561, PRECISION_RECALL_MIN_DEN: 0.0588538, RECALL: 0.0588538, MAP: 0.0302440, MRR: 0.0826417, NDCG: 0.0506046, F1: 0.0271633, HIT_RATE: 0.1765614, ARHR: 0.0866118, RMSE: 0.9600536, NOVELTY: 0.0054867, AVERAGE_POPULARITY: 0.5281443, DIVERSITY_MEAN_INTER_LIST: 0.7053967, DIVERSITY_HERFINDAHL: 0.9705353, COVERAGE_ITEM: 0.3200324, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0777851, SHANNON_ENTROPY: 7.3382236, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.7972819008811654, 'item_asymmetric_alpha': 3.8700994628083007, 'user_topK': 1986, 'user_shrink': 1242, 'item_topK': 28, 'item_shrink': 1905} - results: ROC_AUC: 0.0989226, PRECISION: 0.0147711, PRECISION_RECALL_MIN_DEN: 0.0492370, RECALL: 0.0492370, MAP: 0.0263398, MRR: 0.0723368, NDCG: 0.0435110, F1: 0.0227248, HIT_RATE: 0.1477111, ARHR: 0.0756279, RMSE: 0.9791179, NOVELTY: 0.0067083, AVERAGE_POPULARITY: 0.0960092, DIVERSITY_MEAN_INTER_LIST: 0.9926569, DIVERSITY_HERFINDAHL: 0.9992596, COVERAGE_ITEM: 0.7396053, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3461235, SHANNON_ENTROPY: 12.2786850, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 100, 'item_shrink': 2000} - results: ROC_AUC: 0.1068076, PRECISION: 0.0177550, PRECISION_RECALL_MIN_DEN: 0.0591833, RECALL: 0.0591833, MAP: 0.0274671, MRR: 0.0755557, NDCG: 0.0478353, F1: 0.0273154, HIT_RATE: 0.1775499, ARHR: 0.0789110, RMSE: 0.9501285, NOVELTY: 0.0052895, AVERAGE_POPULARITY: 0.6113175, DIVERSITY_MEAN_INTER_LIST: 0.8670411, DIVERSITY_HERFINDAHL: 0.9866988, COVERAGE_ITEM: 0.1762098, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0720205, SHANNON_ENTROPY: 7.5683354, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 100, 'item_shrink': 2000} - results: ROC_AUC: 0.1068076, PRECISION: 0.0177550, PRECISION_RECALL_MIN_DEN: 0.0591833, RECALL: 0.0591833, MAP: 0.0274671, MRR: 0.0755557, NDCG: 0.0478353, F1: 0.0273154, HIT_RATE: 0.1775499, ARHR: 0.0789110, RMSE: 0.9501285, NOVELTY: 0.0052895, AVERAGE_POPULARITY: 0.6113175, DIVERSITY_MEAN_INTER_LIST: 0.8670411, DIVERSITY_HERFINDAHL: 0.9866988, COVERAGE_ITEM: 0.1762098, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0720205, SHANNON_ENTROPY: 7.5683354, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 100, 'item_shrink': 2000} - results: ROC_AUC: 0.1068076, PRECISION: 0.0177550, PRECISION_RECALL_MIN_DEN: 0.0591833, RECALL: 0.0591833, MAP: 0.0274671, MRR: 0.0755557, NDCG: 0.0478353, F1: 0.0273154, HIT_RATE: 0.1775499, ARHR: 0.0789110, RMSE: 0.9501285, NOVELTY: 0.0052895, AVERAGE_POPULARITY: 0.6113175, DIVERSITY_MEAN_INTER_LIST: 0.8670411, DIVERSITY_HERFINDAHL: 0.9866988, COVERAGE_ITEM: 0.1762098, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0720205, SHANNON_ENTROPY: 7.5683354, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.7072222050277249, 'item_asymmetric_alpha': 0.1402583336633643, 'user_topK': 834, 'user_shrink': 1951, 'item_topK': 98, 'item_shrink': 1851} - results: ROC_AUC: 0.0842528, PRECISION: 0.0139680, PRECISION_RECALL_MIN_DEN: 0.0465600, RECALL: 0.0465600, MAP: 0.0211631, MRR: 0.0587834, NDCG: 0.0372683, F1: 0.0214892, HIT_RATE: 0.1396800, ARHR: 0.0610822, RMSE: 0.8786972, NOVELTY: 0.0050991, AVERAGE_POPULARITY: 0.7247031, DIVERSITY_MEAN_INTER_LIST: 0.6682967, DIVERSITY_HERFINDAHL: 0.9668255, COVERAGE_ITEM: 0.1264125, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0387362, SHANNON_ENTROPY: 6.0373203, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.4282475036344532, 'item_asymmetric_alpha': 0.014932527442466984, 'user_topK': 1990, 'user_shrink': 1058, 'item_topK': 88, 'item_shrink': 1176} - results: ROC_AUC: 0.0469556, PRECISION: 0.0085130, PRECISION_RECALL_MIN_DEN: 0.0283767, RECALL: 0.0283767, MAP: 0.0113169, MRR: 0.0322277, NDCG: 0.0211337, F1: 0.0130969, HIT_RATE: 0.0851300, ARHR: 0.0330688, RMSE: 0.8493881, NOVELTY: 0.0049095, AVERAGE_POPULARITY: 0.8558976, DIVERSITY_MEAN_INTER_LIST: 0.2853053, DIVERSITY_HERFINDAHL: 0.9285288, COVERAGE_ITEM: 0.0052447, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1434774, SHANNON_ENTROPY: 4.0640748, 
