SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.7251790592944842, 'user_topK': 1020, 'user_shrink': 1577, 'item_topK': 56, 'item_shrink': 1977} - results: ROC_AUC: 0.0851666, PRECISION: 0.0132267, PRECISION_RECALL_MIN_DEN: 0.0440889, RECALL: 0.0440889, MAP: 0.0223234, MRR: 0.0615572, NDCG: 0.0376609, F1: 0.0203487, HIT_RATE: 0.1322666, ARHR: 0.0642117, RMSE: 0.9754191, NOVELTY: 0.0070283, AVERAGE_POPULARITY: 0.0715452, DIVERSITY_MEAN_INTER_LIST: 0.9946460, DIVERSITY_HERFINDAHL: 0.9994585, COVERAGE_ITEM: 0.8741822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4140885, SHANNON_ENTROPY: 12.7762867, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.594010849040142, 'user_topK': 1117, 'user_shrink': 1059, 'item_topK': 1, 'item_shrink': 1337} - results: ROC_AUC: 0.0886971, PRECISION: 0.0136344, PRECISION_RECALL_MIN_DEN: 0.0454480, RECALL: 0.0454480, MAP: 0.0221058, MRR: 0.0618751, NDCG: 0.0380684, F1: 0.0209760, HIT_RATE: 0.1363440, ARHR: 0.0640751, RMSE: 0.9972190, NOVELTY: 0.0068095, AVERAGE_POPULARITY: 0.1402727, DIVERSITY_MEAN_INTER_LIST: 0.9740654, DIVERSITY_HERFINDAHL: 0.9974005, COVERAGE_ITEM: 0.4699649, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2103090, SHANNON_ENTROPY: 10.6042304, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.3051725642733603, 'user_topK': 1940, 'user_shrink': 1019, 'item_topK': 1, 'item_shrink': 1368} - results: ROC_AUC: 0.0940618, PRECISION: 0.0141101, PRECISION_RECALL_MIN_DEN: 0.0470336, RECALL: 0.0470336, MAP: 0.0255025, MRR: 0.0709562, NDCG: 0.0420354, F1: 0.0217078, HIT_RATE: 0.1411009, ARHR: 0.0736987, RMSE: 0.9568051, NOVELTY: 0.0056635, AVERAGE_POPULARITY: 0.4761309, DIVERSITY_MEAN_INTER_LIST: 0.6826124, DIVERSITY_HERFINDAHL: 0.9682570, COVERAGE_ITEM: 0.2707759, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1042527, SHANNON_ENTROPY: 7.5872627, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 4.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.0719412, PRECISION: 0.0110953, PRECISION_RECALL_MIN_DEN: 0.0369844, RECALL: 0.0369844, MAP: 0.0191829, MRR: 0.0543663, NDCG: 0.0322814, F1: 0.0170697, HIT_RATE: 0.1109532, ARHR: 0.0559531, RMSE: 1.0025364, NOVELTY: 0.0053435, AVERAGE_POPULARITY: 0.5902224, DIVERSITY_MEAN_INTER_LIST: 0.6257345, DIVERSITY_HERFINDAHL: 0.9625696, COVERAGE_ITEM: 0.1937280, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0734766, SHANNON_ENTROPY: 6.8042377, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.2735223319312064, 'user_topK': 929, 'user_shrink': 1988, 'item_topK': 19, 'item_shrink': 1023} - results: ROC_AUC: 0.0973190, PRECISION: 0.0152159, PRECISION_RECALL_MIN_DEN: 0.0507197, RECALL: 0.0507197, MAP: 0.0252666, MRR: 0.0692473, NDCG: 0.0428170, F1: 0.0234091, HIT_RATE: 0.1521591, ARHR: 0.0724479, RMSE: 0.9695795, NOVELTY: 0.0067198, AVERAGE_POPULARITY: 0.0845182, DIVERSITY_MEAN_INTER_LIST: 0.9935730, DIVERSITY_HERFINDAHL: 0.9993512, COVERAGE_ITEM: 0.7822655, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3516261, SHANNON_ENTROPY: 12.3648779, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.3737217642696163, 'user_topK': 1728, 'user_shrink': 1019, 'item_topK': 76, 'item_shrink': 1019} - results: ROC_AUC: 0.0908689, PRECISION: 0.0137765, PRECISION_RECALL_MIN_DEN: 0.0459216, RECALL: 0.0459216, MAP: 0.0237896, MRR: 0.0654598, NDCG: 0.0397903, F1: 0.0211946, HIT_RATE: 0.1377649, ARHR: 0.0683557, RMSE: 0.9259665, NOVELTY: 0.0077562, AVERAGE_POPULARITY: 0.0848169, DIVERSITY_MEAN_INTER_LIST: 0.9917325, DIVERSITY_HERFINDAHL: 0.9991671, COVERAGE_ITEM: 0.6431468, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2811315, SHANNON_ENTROPY: 11.8134116, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 100, 'item_shrink': 1000} - results: ROC_AUC: 0.0853012, PRECISION: 0.0128807, PRECISION_RECALL_MIN_DEN: 0.0429357, RECALL: 0.0429357, MAP: 0.0228985, MRR: 0.0628904, NDCG: 0.0378547, F1: 0.0198165, HIT_RATE: 0.1288071, ARHR: 0.0657475, RMSE: 0.9532976, NOVELTY: 0.0067446, AVERAGE_POPULARITY: 0.1127459, DIVERSITY_MEAN_INTER_LIST: 0.9878501, DIVERSITY_HERFINDAHL: 0.9987789, COVERAGE_ITEM: 0.8753177, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3903663, SHANNON_ENTROPY: 12.4231052, 
SearchBayesianSkopt: New best config found. Config 17: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.08341508504855712, 'user_topK': 1911, 'user_shrink': 1965, 'item_topK': 98, 'item_shrink': 1928} - results: ROC_AUC: 0.1091625, PRECISION: 0.0175017, PRECISION_RECALL_MIN_DEN: 0.0583390, RECALL: 0.0583390, MAP: 0.0290220, MRR: 0.0797168, NDCG: 0.0491771, F1: 0.0269257, HIT_RATE: 0.1750170, ARHR: 0.0833231, RMSE: 0.9095187, NOVELTY: 0.0053727, AVERAGE_POPULARITY: 0.5828342, DIVERSITY_MEAN_INTER_LIST: 0.8761255, DIVERSITY_HERFINDAHL: 0.9876071, COVERAGE_ITEM: 0.2554204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0787832, SHANNON_ENTROPY: 7.9178312, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.10972694395324736, 'user_topK': 1004, 'user_shrink': 1116, 'item_topK': 100, 'item_shrink': 1925} - results: ROC_AUC: 0.0454399, PRECISION: 0.0082844, PRECISION_RECALL_MIN_DEN: 0.0276148, RECALL: 0.0276148, MAP: 0.0108822, MRR: 0.0310410, NDCG: 0.0204332, F1: 0.0127453, HIT_RATE: 0.0828443, ARHR: 0.0318256, RMSE: 0.8789340, NOVELTY: 0.0049114, AVERAGE_POPULARITY: 0.8541950, DIVERSITY_MEAN_INTER_LIST: 0.2711536, DIVERSITY_HERFINDAHL: 0.9271137, COVERAGE_ITEM: 0.0089754, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0846066, SHANNON_ENTROPY: 4.0553920, 
SearchBayesianSkopt: New best config found. Config 19: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.2176939832106923, 'user_topK': 719, 'user_shrink': 1781, 'item_topK': 15, 'item_shrink': 1029} - results: ROC_AUC: 0.1270107, PRECISION: 0.0202014, PRECISION_RECALL_MIN_DEN: 0.0673380, RECALL: 0.0673380, MAP: 0.0336171, MRR: 0.0912431, NDCG: 0.0567447, F1: 0.0310791, HIT_RATE: 0.2020140, ARHR: 0.0959470, RMSE: 0.9684079, NOVELTY: 0.0061127, AVERAGE_POPULARITY: 0.2941249, DIVERSITY_MEAN_INTER_LIST: 0.9831665, DIVERSITY_HERFINDAHL: 0.9983106, COVERAGE_ITEM: 0.5945391, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1782415, SHANNON_ENTROPY: 10.7433629, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.580245531890837, 'user_topK': 1734, 'user_shrink': 1935, 'item_topK': 6, 'item_shrink': 1925} - results: ROC_AUC: 0.0880551, PRECISION: 0.0147526, PRECISION_RECALL_MIN_DEN: 0.0491753, RECALL: 0.0491753, MAP: 0.0226852, MRR: 0.0620499, NDCG: 0.0395308, F1: 0.0226963, HIT_RATE: 0.1475258, ARHR: 0.0649830, RMSE: 0.9960475, NOVELTY: 0.0066687, AVERAGE_POPULARITY: 0.0936241, DIVERSITY_MEAN_INTER_LIST: 0.9899482, DIVERSITY_HERFINDAHL: 0.9989887, COVERAGE_ITEM: 0.7451203, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3818851, SHANNON_ENTROPY: 12.3149653, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.683343424998089, 'user_topK': 718, 'user_shrink': 1853, 'item_topK': 96, 'item_shrink': 1042} - results: ROC_AUC: 0.0946723, PRECISION: 0.0151727, PRECISION_RECALL_MIN_DEN: 0.0505756, RECALL: 0.0505756, MAP: 0.0246962, MRR: 0.0686619, NDCG: 0.0422914, F1: 0.0233426, HIT_RATE: 0.1517267, ARHR: 0.0713263, RMSE: 1.5118287, NOVELTY: 0.0053187, AVERAGE_POPULARITY: 0.6316511, DIVERSITY_MEAN_INTER_LIST: 0.8420864, DIVERSITY_HERFINDAHL: 0.9842034, COVERAGE_ITEM: 0.3125169, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0811548, SHANNON_ENTROPY: 7.7200574, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.2240168580742417, 'user_topK': 751, 'user_shrink': 1242, 'item_topK': 11, 'item_shrink': 1029} - results: ROC_AUC: 0.1159367, PRECISION: 0.0185952, PRECISION_RECALL_MIN_DEN: 0.0619839, RECALL: 0.0619839, MAP: 0.0305566, MRR: 0.0833844, NDCG: 0.0518926, F1: 0.0286080, HIT_RATE: 0.1859517, ARHR: 0.0874504, RMSE: 0.9181807, NOVELTY: 0.0057448, AVERAGE_POPULARITY: 0.4193629, DIVERSITY_MEAN_INTER_LIST: 0.9383732, DIVERSITY_HERFINDAHL: 0.9938315, COVERAGE_ITEM: 0.4020546, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1098087, SHANNON_ENTROPY: 9.1559853, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.1102848, PRECISION: 0.0164206, PRECISION_RECALL_MIN_DEN: 0.0547353, RECALL: 0.0547353, MAP: 0.0292973, MRR: 0.0812368, NDCG: 0.0485172, F1: 0.0252624, HIT_RATE: 0.1642058, ARHR: 0.0845309, RMSE: 0.9894573, NOVELTY: 0.0063130, AVERAGE_POPULARITY: 0.2758180, DIVERSITY_MEAN_INTER_LIST: 0.9645481, DIVERSITY_HERFINDAHL: 0.9964488, COVERAGE_ITEM: 0.4638010, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2108154, SHANNON_ENTROPY: 10.5463615, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.1704251498749527, 'user_topK': 1772, 'user_shrink': 1059, 'item_topK': 99, 'item_shrink': 1006} - results: ROC_AUC: 0.0917854, PRECISION: 0.0146537, PRECISION_RECALL_MIN_DEN: 0.0488458, RECALL: 0.0488458, MAP: 0.0245857, MRR: 0.0675657, NDCG: 0.0414772, F1: 0.0225442, HIT_RATE: 0.1465373, ARHR: 0.0706168, RMSE: 1.2783275, NOVELTY: 0.0053342, AVERAGE_POPULARITY: 0.6266793, DIVERSITY_MEAN_INTER_LIST: 0.7995770, DIVERSITY_HERFINDAHL: 0.9799528, COVERAGE_ITEM: 0.3989727, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0785228, SHANNON_ENTROPY: 7.5039947, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.061482500147399324, 'user_topK': 921, 'user_shrink': 1920, 'item_topK': 92, 'item_shrink': 1026} - results: ROC_AUC: 0.0849644, PRECISION: 0.0128251, PRECISION_RECALL_MIN_DEN: 0.0427504, RECALL: 0.0427504, MAP: 0.0221539, MRR: 0.0611470, NDCG: 0.0370902, F1: 0.0197309, HIT_RATE: 0.1282511, ARHR: 0.0637518, RMSE: 0.9537811, NOVELTY: 0.0078197, AVERAGE_POPULARITY: 0.0607408, DIVERSITY_MEAN_INTER_LIST: 0.9962498, DIVERSITY_HERFINDAHL: 0.9996188, COVERAGE_ITEM: 0.7613409, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3547216, SHANNON_ENTROPY: 12.5450972, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0933237, PRECISION: 0.0148267, PRECISION_RECALL_MIN_DEN: 0.0494224, RECALL: 0.0494224, MAP: 0.0233163, MRR: 0.0644973, NDCG: 0.0404793, F1: 0.0228103, HIT_RATE: 0.1482671, ARHR: 0.0671933, RMSE: 0.9966428, NOVELTY: 0.0062815, AVERAGE_POPULARITY: 0.2492733, DIVERSITY_MEAN_INTER_LIST: 0.8893374, DIVERSITY_HERFINDAHL: 0.9889282, COVERAGE_ITEM: 0.4493106, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1655836, SHANNON_ENTROPY: 9.3246065, 
