SearchBayesianSkopt: New best config found. Config 0: {'topK': 1405, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.7774926731437998e-05, 'lambda_j': 9.201412058447423e-07, 'learning_rate': 2.7775637774492805e-05} - results: ROC_AUC: 0.0925107, PRECISION: 0.0149503, PRECISION_RECALL_MIN_DEN: 0.0498342, RECALL: 0.0498342, MAP: 0.0243160, MRR: 0.0672546, NDCG: 0.0415791, F1: 0.0230004, HIT_RATE: 0.1495027, ARHR: 0.0700548, RMSE: 0.9841994, NOVELTY: 0.0053389, AVERAGE_POPULARITY: 0.6437369, DIVERSITY_MEAN_INTER_LIST: 0.8319539, DIVERSITY_HERFINDAHL: 0.9831903, COVERAGE_ITEM: 0.3350095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0856013, SHANNON_ENTROPY: 7.6152547, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 970, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.000988402266083116, 'lambda_j': 1.8458269918754716e-06, 'learning_rate': 2.879394139007664e-06} - results: ROC_AUC: 0.0930588, PRECISION: 0.0151418, PRECISION_RECALL_MIN_DEN: 0.0504726, RECALL: 0.0504726, MAP: 0.0246158, MRR: 0.0678225, NDCG: 0.0420501, F1: 0.0232950, HIT_RATE: 0.1514178, ARHR: 0.0707859, RMSE: 0.9984297, NOVELTY: 0.0053566, AVERAGE_POPULARITY: 0.6337319, DIVERSITY_MEAN_INTER_LIST: 0.8441938, DIVERSITY_HERFINDAHL: 0.9844142, COVERAGE_ITEM: 0.3368478, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0878188, SHANNON_ENTROPY: 7.7237026, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1096, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 9.81233827018014e-07, 'lambda_j': 8.081657357497551e-05, 'learning_rate': 9.349633798866628e-05} - results: ROC_AUC: 0.0912848, PRECISION: 0.0148576, PRECISION_RECALL_MIN_DEN: 0.0495253, RECALL: 0.0495253, MAP: 0.0237128, MRR: 0.0655699, NDCG: 0.0408488, F1: 0.0228578, HIT_RATE: 0.1485760, ARHR: 0.0682975, RMSE: 0.9993611, NOVELTY: 0.0052718, AVERAGE_POPULARITY: 0.6510467, DIVERSITY_MEAN_INTER_LIST: 0.8438987, DIVERSITY_HERFINDAHL: 0.9843847, COVERAGE_ITEM: 0.2676399, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0730186, SHANNON_ENTROPY: 7.4916309, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 893, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 7.096942556216441e-05, 'lambda_j': 0.003027428751355974, 'learning_rate': 0.0003334207030316125} - results: ROC_AUC: 0.0975595, PRECISION: 0.0158090, PRECISION_RECALL_MIN_DEN: 0.0526966, RECALL: 0.0526966, MAP: 0.0257298, MRR: 0.0707347, NDCG: 0.0439183, F1: 0.0243215, HIT_RATE: 0.1580898, ARHR: 0.0738998, RMSE: 0.9956690, NOVELTY: 0.0055382, AVERAGE_POPULARITY: 0.5608594, DIVERSITY_MEAN_INTER_LIST: 0.8974020, DIVERSITY_HERFINDAHL: 0.9897347, COVERAGE_ITEM: 0.3765342, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1179053, SHANNON_ENTROPY: 8.5348009, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1897, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.002567247489876445, 'lambda_j': 0.0015445942637432107, 'learning_rate': 2.5795066800893582e-05} - results: ROC_AUC: 0.0926729, PRECISION: 0.0148329, PRECISION_RECALL_MIN_DEN: 0.0494430, RECALL: 0.0494430, MAP: 0.0242525, MRR: 0.0672506, NDCG: 0.0414276, F1: 0.0228198, HIT_RATE: 0.1483289, ARHR: 0.0699599, RMSE: 0.9847366, NOVELTY: 0.0053276, AVERAGE_POPULARITY: 0.6494551, DIVERSITY_MEAN_INTER_LIST: 0.8256662, DIVERSITY_HERFINDAHL: 0.9825615, COVERAGE_ITEM: 0.3309002, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0840693, SHANNON_ENTROPY: 7.5549053, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1817, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.00023825786226592104, 'lambda_j': 2.934204425079575e-05, 'learning_rate': 1.2007698789293358e-06} - results: ROC_AUC: 0.0922559, PRECISION: 0.0148144, PRECISION_RECALL_MIN_DEN: 0.0493812, RECALL: 0.0493812, MAP: 0.0241530, MRR: 0.0667209, NDCG: 0.0412605, F1: 0.0227913, HIT_RATE: 0.1481436, ARHR: 0.0695389, RMSE: 0.9992786, NOVELTY: 0.0053270, AVERAGE_POPULARITY: 0.6500077, DIVERSITY_MEAN_INTER_LIST: 0.8250197, DIVERSITY_HERFINDAHL: 0.9824969, COVERAGE_ITEM: 0.3314950, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0837981, SHANNON_ENTROPY: 7.5470324, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 173, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 7.846206723193338e-06, 'lambda_j': 8.17706315176128e-05, 'learning_rate': 3.0081393013914096e-05} - results: ROC_AUC: 0.1004778, PRECISION: 0.0162600, PRECISION_RECALL_MIN_DEN: 0.0541999, RECALL: 0.0541999, MAP: 0.0263037, MRR: 0.0725931, NDCG: 0.0450500, F1: 0.0250153, HIT_RATE: 0.1625996, ARHR: 0.0756932, RMSE: 0.9998943, NOVELTY: 0.0054806, AVERAGE_POPULARITY: 0.5410747, DIVERSITY_MEAN_INTER_LIST: 0.9235587, DIVERSITY_HERFINDAHL: 0.9923502, COVERAGE_ITEM: 0.3041903, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1023731, SHANNON_ENTROPY: 8.5801183, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1310, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.10972232626914974, 'lambda_j': 0.1563620254421648, 'learning_rate': 4.1719608322518604e-05} - results: ROC_AUC: 0.0967961, PRECISION: 0.0156484, PRECISION_RECALL_MIN_DEN: 0.0521612, RECALL: 0.0521612, MAP: 0.0252854, MRR: 0.0693742, NDCG: 0.0432782, F1: 0.0240744, HIT_RATE: 0.1564836, ARHR: 0.0725589, RMSE: 0.9994071, NOVELTY: 0.0055074, AVERAGE_POPULARITY: 0.5771764, DIVERSITY_MEAN_INTER_LIST: 0.8844585, DIVERSITY_HERFINDAHL: 0.9884404, COVERAGE_ITEM: 0.3743174, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1135495, SHANNON_ENTROPY: 8.3744804, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 655, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 3.719798294984219e-05, 'lambda_j': 0.0023952004203715745, 'learning_rate': 1.1842422174035808e-05} - results: ROC_AUC: 0.0941974, PRECISION: 0.0150985, PRECISION_RECALL_MIN_DEN: 0.0503285, RECALL: 0.0503285, MAP: 0.0247641, MRR: 0.0684145, NDCG: 0.0422074, F1: 0.0232285, HIT_RATE: 0.1509854, ARHR: 0.0713018, RMSE: 0.9941374, NOVELTY: 0.0053840, AVERAGE_POPULARITY: 0.6199318, DIVERSITY_MEAN_INTER_LIST: 0.8570216, DIVERSITY_HERFINDAHL: 0.9856969, COVERAGE_ITEM: 0.3406326, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0920152, SHANNON_ENTROPY: 7.8746178, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 241, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.1844159755981352e-05, 'lambda_j': 1.2238800309091213e-07, 'learning_rate': 0.0003372543640746284} - results: ROC_AUC: 0.0963039, PRECISION: 0.0159449, PRECISION_RECALL_MIN_DEN: 0.0531496, RECALL: 0.0531496, MAP: 0.0254314, MRR: 0.0698343, NDCG: 0.0437127, F1: 0.0245306, HIT_RATE: 0.1594489, ARHR: 0.0729891, RMSE: 0.9986400, NOVELTY: 0.0054296, AVERAGE_POPULARITY: 0.5656342, DIVERSITY_MEAN_INTER_LIST: 0.9100024, DIVERSITY_HERFINDAHL: 0.9909946, COVERAGE_ITEM: 0.2951609, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0949979, SHANNON_ENTROPY: 8.3467918, 
SearchBayesianSkopt: New best config found. Config 20: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1025204, PRECISION: 0.0158213, PRECISION_RECALL_MIN_DEN: 0.0527378, RECALL: 0.0527378, MAP: 0.0268994, MRR: 0.0738375, NDCG: 0.0452108, F1: 0.0243405, HIT_RATE: 0.1582134, ARHR: 0.0772189, RMSE: 0.9998941, NOVELTY: 0.0061818, AVERAGE_POPULARITY: 0.3234675, DIVERSITY_MEAN_INTER_LIST: 0.9665924, DIVERSITY_HERFINDAHL: 0.9966533, COVERAGE_ITEM: 0.3716139, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1602612, SHANNON_ENTROPY: 9.8483431, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 0.001} - results: ROC_AUC: 0.1016819, PRECISION: 0.0156545, PRECISION_RECALL_MIN_DEN: 0.0521818, RECALL: 0.0521818, MAP: 0.0266647, MRR: 0.0734064, NDCG: 0.0448196, F1: 0.0240839, HIT_RATE: 0.1565454, ARHR: 0.0766556, RMSE: 0.9902117, NOVELTY: 0.0061941, AVERAGE_POPULARITY: 0.3198177, DIVERSITY_MEAN_INTER_LIST: 0.9675011, DIVERSITY_HERFINDAHL: 0.9967441, COVERAGE_ITEM: 0.3666937, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1609703, SHANNON_ENTROPY: 9.8697832, 
SearchBayesianSkopt: New best config found. Config 22: {'topK': 5, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1025972, PRECISION: 0.0159387, PRECISION_RECALL_MIN_DEN: 0.0531291, RECALL: 0.0531291, MAP: 0.0269110, MRR: 0.0737869, NDCG: 0.0453255, F1: 0.0245211, HIT_RATE: 0.1593872, ARHR: 0.0772015, RMSE: 0.9999482, NOVELTY: 0.0060766, AVERAGE_POPULARITY: 0.3269310, DIVERSITY_MEAN_INTER_LIST: 0.9548103, DIVERSITY_HERFINDAHL: 0.9954751, COVERAGE_ITEM: 0.3155988, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1479261, SHANNON_ENTROPY: 9.4731668, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 13, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 9.306442004772885, 'lambda_j': 0.00016853000166703295, 'learning_rate': 0.0008723348157622409} - results: ROC_AUC: 0.0733732, PRECISION: 0.0123371, PRECISION_RECALL_MIN_DEN: 0.0411235, RECALL: 0.0411235, MAP: 0.0179685, MRR: 0.0500265, NDCG: 0.0321849, F1: 0.0189801, HIT_RATE: 0.1233706, ARHR: 0.0519366, RMSE: 0.9905436, NOVELTY: 0.0064836, AVERAGE_POPULARITY: 0.1964509, DIVERSITY_MEAN_INTER_LIST: 0.9900648, DIVERSITY_HERFINDAHL: 0.9990004, COVERAGE_ITEM: 0.4087591, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2572806, SHANNON_ENTROPY: 11.1657235, 
SearchBayesianSkopt: New best config found. Config 24: {'topK': 28, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.5192188967854848e-07, 'lambda_j': 2.197274617343824e-07, 'learning_rate': 1.6102918854576946e-06} - results: ROC_AUC: 0.1037567, PRECISION: 0.0163094, PRECISION_RECALL_MIN_DEN: 0.0543646, RECALL: 0.0543646, MAP: 0.0269933, MRR: 0.0746230, NDCG: 0.0458956, F1: 0.0250914, HIT_RATE: 0.1630938, ARHR: 0.0777445, RMSE: 0.9999937, NOVELTY: 0.0061027, AVERAGE_POPULARITY: 0.3571087, DIVERSITY_MEAN_INTER_LIST: 0.9730390, DIVERSITY_HERFINDAHL: 0.9972979, COVERAGE_ITEM: 0.4187078, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1889340, SHANNON_ENTROPY: 10.2618681, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1947, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.0115802493521935e-07, 'lambda_j': 0.10381435809481228, 'learning_rate': 1.1780677645856235e-06} - results: ROC_AUC: 0.0968319, PRECISION: 0.0155989, PRECISION_RECALL_MIN_DEN: 0.0519965, RECALL: 0.0519965, MAP: 0.0254326, MRR: 0.0700336, NDCG: 0.0434098, F1: 0.0239984, HIT_RATE: 0.1559894, ARHR: 0.0731048, RMSE: 0.9999822, NOVELTY: 0.0054839, AVERAGE_POPULARITY: 0.5881526, DIVERSITY_MEAN_INTER_LIST: 0.8742862, DIVERSITY_HERFINDAHL: 0.9874232, COVERAGE_ITEM: 0.3729116, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1096171, SHANNON_ENTROPY: 8.2545215, 
SearchBayesianSkopt: New best config found. Config 26: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1027233, PRECISION: 0.0154816, PRECISION_RECALL_MIN_DEN: 0.0516052, RECALL: 0.0516052, MAP: 0.0270727, MRR: 0.0747549, NDCG: 0.0451108, F1: 0.0238178, HIT_RATE: 0.1548156, ARHR: 0.0779235, RMSE: 0.9999975, NOVELTY: 0.0064818, AVERAGE_POPULARITY: 0.2527172, DIVERSITY_MEAN_INTER_LIST: 0.9774038, DIVERSITY_HERFINDAHL: 0.9977343, COVERAGE_ITEM: 0.3864828, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1965476, SHANNON_ENTROPY: 10.4027202, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-07, 'lambda_j': 10.0, 'learning_rate': 1e-06} - results: ROC_AUC: 0.1030837, PRECISION: 0.0155248, PRECISION_RECALL_MIN_DEN: 0.0517493, RECALL: 0.0517493, MAP: 0.0269998, MRR: 0.0744517, NDCG: 0.0450701, F1: 0.0238843, HIT_RATE: 0.1552480, ARHR: 0.0776690, RMSE: 0.9999975, NOVELTY: 0.0064917, AVERAGE_POPULARITY: 0.2504885, DIVERSITY_MEAN_INTER_LIST: 0.9771004, DIVERSITY_HERFINDAHL: 0.9977040, COVERAGE_ITEM: 0.3861584, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1967687, SHANNON_ENTROPY: 10.4011986, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 99, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.5927641483819196e-07, 'lambda_j': 2.0625282917732773e-07, 'learning_rate': 0.0006306929470864377} - results: ROC_AUC: 0.0982702, PRECISION: 0.0158584, PRECISION_RECALL_MIN_DEN: 0.0528613, RECALL: 0.0528613, MAP: 0.0258312, MRR: 0.0713695, NDCG: 0.0441280, F1: 0.0243975, HIT_RATE: 0.1585840, ARHR: 0.0743679, RMSE: 0.9330389, NOVELTY: 0.0056124, AVERAGE_POPULARITY: 0.5136589, DIVERSITY_MEAN_INTER_LIST: 0.9294673, DIVERSITY_HERFINDAHL: 0.9929410, COVERAGE_ITEM: 0.3683158, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1238918, SHANNON_ENTROPY: 8.9351781, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1914, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.5174067060196583e-07, 'lambda_j': 5.178871784801258, 'learning_rate': 0.0005839927798106262} - results: ROC_AUC: 0.0961119, PRECISION: 0.0155495, PRECISION_RECALL_MIN_DEN: 0.0518317, RECALL: 0.0518317, MAP: 0.0253216, MRR: 0.0697867, NDCG: 0.0432416, F1: 0.0239223, HIT_RATE: 0.1554952, ARHR: 0.0728234, RMSE: 0.9912279, NOVELTY: 0.0054788, AVERAGE_POPULARITY: 0.5899574, DIVERSITY_MEAN_INTER_LIST: 0.8746983, DIVERSITY_HERFINDAHL: 0.9874644, COVERAGE_ITEM: 0.3706948, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1091798, SHANNON_ENTROPY: 8.2392753, 
