SearchBayesianSkopt: New best config found. Config 0: {'epochs': 200, 'latent_factors': 42, 'regularization': 7.1280581010839265e-06, 'learning_rate': 0.1690846213292214} - results: ROC_AUC: 0.0451962, PRECISION: 0.0086366, PRECISION_RECALL_MIN_DEN: 0.0287885, RECALL: 0.0287885, MAP: 0.0093372, MRR: 0.0265073, NDCG: 0.0191878, F1: 0.0132870, HIT_RATE: 0.0863656, ARHR: 0.0272399, RMSE: 1.0000000, NOVELTY: 0.0060781, AVERAGE_POPULARITY: 0.2354668, DIVERSITY_MEAN_INTER_LIST: 0.9344885, DIVERSITY_HERFINDAHL: 0.9934431, COVERAGE_ITEM: 0.3431198, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1385661, SHANNON_ENTROPY: 9.3710592, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'epochs': 200, 'latent_factors': 24, 'regularization': 1.0548241585504551e-07, 'learning_rate': 0.9746119282920841} - results: ROC_AUC: 0.0497861, PRECISION: 0.0094644, PRECISION_RECALL_MIN_DEN: 0.0315480, RECALL: 0.0315480, MAP: 0.0105042, MRR: 0.0297474, NDCG: 0.0213071, F1: 0.0145606, HIT_RATE: 0.0946439, ARHR: 0.0306101, RMSE: 1.0000000, NOVELTY: 0.0058673, AVERAGE_POPULARITY: 0.2761744, DIVERSITY_MEAN_INTER_LIST: 0.9072311, DIVERSITY_HERFINDAHL: 0.9907175, COVERAGE_ITEM: 0.2858070, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1176992, SHANNON_ENTROPY: 8.7888404, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'epochs': 200, 'latent_factors': 195, 'regularization': 0.007921990910753005, 'learning_rate': 0.9366491436557184} - results: ROC_AUC: 0.0562021, PRECISION: 0.0108173, PRECISION_RECALL_MIN_DEN: 0.0360577, RECALL: 0.0360577, MAP: 0.0109843, MRR: 0.0305750, NDCG: 0.0232393, F1: 0.0166420, HIT_RATE: 0.1081732, ARHR: 0.0317485, RMSE: 1.0000000, NOVELTY: 0.0056933, AVERAGE_POPULARITY: 0.3197730, DIVERSITY_MEAN_INTER_LIST: 0.8837933, DIVERSITY_HERFINDAHL: 0.9883739, COVERAGE_ITEM: 0.2208705, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033449, SHANNON_ENTROPY: 8.2831747, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'epochs': 200, 'latent_factors': 20, 'regularization': 0.01, 'learning_rate': 1.0} - results: ROC_AUC: 0.0564196, PRECISION: 0.0108667, PRECISION_RECALL_MIN_DEN: 0.0362225, RECALL: 0.0362225, MAP: 0.0110086, MRR: 0.0306680, NDCG: 0.0233224, F1: 0.0167181, HIT_RATE: 0.1086674, ARHR: 0.0318314, RMSE: 1.0000000, NOVELTY: 0.0056918, AVERAGE_POPULARITY: 0.3201394, DIVERSITY_MEAN_INTER_LIST: 0.8842441, DIVERSITY_HERFINDAHL: 0.9884189, COVERAGE_ITEM: 0.2212490, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033807, SHANNON_ENTROPY: 8.2881904, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'epochs': 200, 'latent_factors': 199, 'regularization': 0.007562570709896516, 'learning_rate': 0.010220992640868358} - results: ROC_AUC: 0.0561111, PRECISION: 0.0107679, PRECISION_RECALL_MIN_DEN: 0.0358930, RECALL: 0.0358930, MAP: 0.0109232, MRR: 0.0303942, NDCG: 0.0231250, F1: 0.0165660, HIT_RATE: 0.1076790, ARHR: 0.0315664, RMSE: 1.0000000, NOVELTY: 0.0056937, AVERAGE_POPULARITY: 0.3195691, DIVERSITY_MEAN_INTER_LIST: 0.8835138, DIVERSITY_HERFINDAHL: 0.9883459, COVERAGE_ITEM: 0.2208164, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033452, SHANNON_ENTROPY: 8.2805762, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'epochs': 200, 'latent_factors': 189, 'regularization': 1.2128177343654237e-07, 'learning_rate': 0.9201723422249535} - results: ROC_AUC: 0.0297689, PRECISION: 0.0055600, PRECISION_RECALL_MIN_DEN: 0.0185334, RECALL: 0.0185334, MAP: 0.0064291, MRR: 0.0183989, NDCG: 0.0128135, F1: 0.0085539, HIT_RATE: 0.0556002, ARHR: 0.0188296, RMSE: 1.0000000, NOVELTY: 0.0064882, AVERAGE_POPULARITY: 0.1442029, DIVERSITY_MEAN_INTER_LIST: 0.9652575, DIVERSITY_HERFINDAHL: 0.9965198, COVERAGE_ITEM: 0.4173560, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1666095, SHANNON_ENTROPY: 10.1337886, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'epochs': 200, 'latent_factors': 20, 'regularization': 0.01, 'learning_rate': 0.01} - results: ROC_AUC: 0.0564144, PRECISION: 0.0108791, PRECISION_RECALL_MIN_DEN: 0.0362637, RECALL: 0.0362637, MAP: 0.0110128, MRR: 0.0306714, NDCG: 0.0233376, F1: 0.0167371, HIT_RATE: 0.1087910, ARHR: 0.0318395, RMSE: 1.0000000, NOVELTY: 0.0056916, AVERAGE_POPULARITY: 0.3200751, DIVERSITY_MEAN_INTER_LIST: 0.8841641, DIVERSITY_HERFINDAHL: 0.9884109, COVERAGE_ITEM: 0.2213031, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1032700, SHANNON_ENTROPY: 8.2865016, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'epochs': 200, 'latent_factors': 28, 'regularization': 1.3762554089171297e-07, 'learning_rate': 0.010936670595088734} - results: ROC_AUC: 0.0480688, PRECISION: 0.0092482, PRECISION_RECALL_MIN_DEN: 0.0308272, RECALL: 0.0308272, MAP: 0.0099559, MRR: 0.0281930, NDCG: 0.0204891, F1: 0.0142279, HIT_RATE: 0.0924816, ARHR: 0.0290053, RMSE: 1.0000000, NOVELTY: 0.0059403, AVERAGE_POPULARITY: 0.2643518, DIVERSITY_MEAN_INTER_LIST: 0.9140823, DIVERSITY_HERFINDAHL: 0.9914026, COVERAGE_ITEM: 0.3040281, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1214679, SHANNON_ENTROPY: 8.9319324, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'epochs': 200, 'latent_factors': 199, 'regularization': 0.007810542298025761, 'learning_rate': 0.011874782740756094} - results: ROC_AUC: 0.0561073, PRECISION: 0.0107926, PRECISION_RECALL_MIN_DEN: 0.0359754, RECALL: 0.0359754, MAP: 0.0109279, MRR: 0.0304095, NDCG: 0.0231549, F1: 0.0166040, HIT_RATE: 0.1079261, ARHR: 0.0315812, RMSE: 1.0000000, NOVELTY: 0.0056936, AVERAGE_POPULARITY: 0.3196408, DIVERSITY_MEAN_INTER_LIST: 0.8836848, DIVERSITY_HERFINDAHL: 0.9883630, COVERAGE_ITEM: 0.2210327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033931, SHANNON_ENTROPY: 8.2831127, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'epochs': 200, 'latent_factors': 20, 'regularization': 0.01, 'learning_rate': 0.01} - results: ROC_AUC: 0.0564655, PRECISION: 0.0108791, PRECISION_RECALL_MIN_DEN: 0.0362637, RECALL: 0.0362637, MAP: 0.0110152, MRR: 0.0306806, NDCG: 0.0233418, F1: 0.0167371, HIT_RATE: 0.1087910, ARHR: 0.0318477, RMSE: 1.0000000, NOVELTY: 0.0056920, AVERAGE_POPULARITY: 0.3201474, DIVERSITY_MEAN_INTER_LIST: 0.8842844, DIVERSITY_HERFINDAHL: 0.9884230, COVERAGE_ITEM: 0.2214653, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033301, SHANNON_ENTROPY: 8.2887967, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'epochs': 200, 'latent_factors': 199, 'regularization': 0.00977106814045137, 'learning_rate': 0.7335660424290921} - results: ROC_AUC: 0.0563153, PRECISION: 0.0108482, PRECISION_RECALL_MIN_DEN: 0.0361607, RECALL: 0.0361607, MAP: 0.0110032, MRR: 0.0306337, NDCG: 0.0232929, F1: 0.0166896, HIT_RATE: 0.1084821, ARHR: 0.0318062, RMSE: 1.0000000, NOVELTY: 0.0056919, AVERAGE_POPULARITY: 0.3201000, DIVERSITY_MEAN_INTER_LIST: 0.8842349, DIVERSITY_HERFINDAHL: 0.9884180, COVERAGE_ITEM: 0.2213031, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033783, SHANNON_ENTROPY: 8.2885517, 
