SearchBayesianSkopt: New best config found. Config 0: {'topK': 570, 'shrink': 983, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1542997415690985, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0369615, PRECISION: 0.0057300, PRECISION_RECALL_MIN_DEN: 0.0190999, RECALL: 0.0190999, MAP: 0.0087307, MRR: 0.0253794, NDCG: 0.0155587, F1: 0.0088153, HIT_RATE: 0.0572996, ARHR: 0.0257858, RMSE: 0.9995016, NOVELTY: 0.0061790, AVERAGE_POPULARITY: 0.2892954, DIVERSITY_MEAN_INTER_LIST: 0.9793338, DIVERSITY_HERFINDAHL: 0.9979035, COVERAGE_ITEM: 0.2470397, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2608651, SHANNON_ENTROPY: 10.2256952, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0883538, PRECISION: 0.0142944, PRECISION_RECALL_MIN_DEN: 0.0476481, RECALL: 0.0476481, MAP: 0.0234737, MRR: 0.0647624, NDCG: 0.0399636, F1: 0.0219914, HIT_RATE: 0.1429442, ARHR: 0.0675917, RMSE: 1.2940552, NOVELTY: 0.0053422, AVERAGE_POPULARITY: 0.5820594, DIVERSITY_MEAN_INTER_LIST: 0.8895093, DIVERSITY_HERFINDAHL: 0.9889238, COVERAGE_ITEM: 0.1273317, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1388122, SHANNON_ENTROPY: 7.9213511, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0824909, PRECISION: 0.0135325, PRECISION_RECALL_MIN_DEN: 0.0451082, RECALL: 0.0451082, MAP: 0.0220587, MRR: 0.0608275, NDCG: 0.0376475, F1: 0.0208192, HIT_RATE: 0.1353246, ARHR: 0.0635017, RMSE: 2.4951936, NOVELTY: 0.0052634, AVERAGE_POPULARITY: 0.6132012, DIVERSITY_MEAN_INTER_LIST: 0.8638134, DIVERSITY_HERFINDAHL: 0.9863550, COVERAGE_ITEM: 0.1011625, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1247769, SHANNON_ENTROPY: 7.5346475, 
SearchBayesianSkopt: New best config found. Config 13: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0906249, PRECISION: 0.0152088, PRECISION_RECALL_MIN_DEN: 0.0506959, RECALL: 0.0506959, MAP: 0.0237525, MRR: 0.0648501, NDCG: 0.0411241, F1: 0.0233981, HIT_RATE: 0.1520878, ARHR: 0.0680369, RMSE: 0.9379981, NOVELTY: 0.0052550, AVERAGE_POPULARITY: 0.6059024, DIVERSITY_MEAN_INTER_LIST: 0.8807362, DIVERSITY_HERFINDAHL: 0.9880468, COVERAGE_ITEM: 0.0863477, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1312170, SHANNON_ENTROPY: 7.5843919, 
SearchBayesianSkopt: New best config found. Config 14: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6216785102091432, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0924327, PRECISION: 0.0153307, PRECISION_RECALL_MIN_DEN: 0.0511023, RECALL: 0.0511023, MAP: 0.0237578, MRR: 0.0655931, NDCG: 0.0413883, F1: 0.0235857, HIT_RATE: 0.1533069, ARHR: 0.0684181, RMSE: 0.9408344, NOVELTY: 0.0052477, AVERAGE_POPULARITY: 0.6150767, DIVERSITY_MEAN_INTER_LIST: 0.8714018, DIVERSITY_HERFINDAHL: 0.9871136, COVERAGE_ITEM: 0.0925115, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1218210, SHANNON_ENTROPY: 7.4768124, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0906249, PRECISION: 0.0152088, PRECISION_RECALL_MIN_DEN: 0.0506959, RECALL: 0.0506959, MAP: 0.0237525, MRR: 0.0648501, NDCG: 0.0411241, F1: 0.0233981, HIT_RATE: 0.1520878, ARHR: 0.0680369, RMSE: 0.9379981, NOVELTY: 0.0052550, AVERAGE_POPULARITY: 0.6059024, DIVERSITY_MEAN_INTER_LIST: 0.8807362, DIVERSITY_HERFINDAHL: 0.9880468, COVERAGE_ITEM: 0.0863477, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1312170, SHANNON_ENTROPY: 7.5843919, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0824909, PRECISION: 0.0135325, PRECISION_RECALL_MIN_DEN: 0.0451082, RECALL: 0.0451082, MAP: 0.0220587, MRR: 0.0608275, NDCG: 0.0376475, F1: 0.0208192, HIT_RATE: 0.1353246, ARHR: 0.0635017, RMSE: 2.4951936, NOVELTY: 0.0052634, AVERAGE_POPULARITY: 0.6132012, DIVERSITY_MEAN_INTER_LIST: 0.8638134, DIVERSITY_HERFINDAHL: 0.9863550, COVERAGE_ITEM: 0.1011625, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1247769, SHANNON_ENTROPY: 7.5346475, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5441875384861756, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0896371, PRECISION: 0.0147516, PRECISION_RECALL_MIN_DEN: 0.0491720, RECALL: 0.0491720, MAP: 0.0228153, MRR: 0.0631434, NDCG: 0.0398202, F1: 0.0226948, HIT_RATE: 0.1475160, ARHR: 0.0657794, RMSE: 0.9345079, NOVELTY: 0.0052495, AVERAGE_POPULARITY: 0.6215706, DIVERSITY_MEAN_INTER_LIST: 0.8611749, DIVERSITY_HERFINDAHL: 0.9860912, COVERAGE_ITEM: 0.0993782, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1179119, SHANNON_ENTROPY: 7.4045197, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1000, 'shrink': 874, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0440372, PRECISION: 0.0069796, PRECISION_RECALL_MIN_DEN: 0.0232653, RECALL: 0.0232653, MAP: 0.0110308, MRR: 0.0319149, NDCG: 0.0193048, F1: 0.0107378, HIT_RATE: 0.0697958, ARHR: 0.0324782, RMSE: 0.9970626, NOVELTY: 0.0060776, AVERAGE_POPULARITY: 0.2980134, DIVERSITY_MEAN_INTER_LIST: 0.9840777, DIVERSITY_HERFINDAHL: 0.9983778, COVERAGE_ITEM: 0.2372533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3001449, SHANNON_ENTROPY: 10.5073155, 
SearchBayesianSkopt: New best config found. Config 19: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4600659458202249, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0917636, PRECISION: 0.0149649, PRECISION_RECALL_MIN_DEN: 0.0498832, RECALL: 0.0498832, MAP: 0.0243591, MRR: 0.0669053, NDCG: 0.0415850, F1: 0.0230230, HIT_RATE: 0.1496495, ARHR: 0.0699914, RMSE: 0.9500442, NOVELTY: 0.0052843, AVERAGE_POPULARITY: 0.5914738, DIVERSITY_MEAN_INTER_LIST: 0.8912252, DIVERSITY_HERFINDAHL: 0.9890954, COVERAGE_ITEM: 0.0934847, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1359959, SHANNON_ENTROPY: 7.7429961, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1000, 'shrink': 22, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6977663408407301, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0905278, PRECISION: 0.0147211, PRECISION_RECALL_MIN_DEN: 0.0490704, RECALL: 0.0490704, MAP: 0.0227766, MRR: 0.0630583, NDCG: 0.0397735, F1: 0.0226479, HIT_RATE: 0.1472112, ARHR: 0.0656789, RMSE: 0.8937291, NOVELTY: 0.0052289, AVERAGE_POPULARITY: 0.6271824, DIVERSITY_MEAN_INTER_LIST: 0.8587197, DIVERSITY_HERFINDAHL: 0.9858458, COVERAGE_ITEM: 0.0908894, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1159610, SHANNON_ENTROPY: 7.3294375, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 998, 'shrink': 814, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.030602502158473717, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0589823, PRECISION: 0.0096312, PRECISION_RECALL_MIN_DEN: 0.0321040, RECALL: 0.0321040, MAP: 0.0143337, MRR: 0.0409499, NDCG: 0.0256407, F1: 0.0148172, HIT_RATE: 0.0963121, ARHR: 0.0419756, RMSE: 0.9907827, NOVELTY: 0.0051191, AVERAGE_POPULARITY: 0.6721126, DIVERSITY_MEAN_INTER_LIST: 0.8161783, DIVERSITY_HERFINDAHL: 0.9815930, COVERAGE_ITEM: 0.0464450, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1035824, SHANNON_ENTROPY: 6.6068532, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 998, 'shrink': 8, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9689752638677605, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0738031, PRECISION: 0.0118866, PRECISION_RECALL_MIN_DEN: 0.0396221, RECALL: 0.0396221, MAP: 0.0184518, MRR: 0.0522524, NDCG: 0.0323435, F1: 0.0182871, HIT_RATE: 0.1188662, ARHR: 0.0537652, RMSE: 0.9380774, NOVELTY: 0.0054533, AVERAGE_POPULARITY: 0.5001202, DIVERSITY_MEAN_INTER_LIST: 0.9348688, DIVERSITY_HERFINDAHL: 0.9934584, COVERAGE_ITEM: 0.1137064, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1618788, SHANNON_ENTROPY: 8.3963736, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3046845892951624, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0914401, PRECISION: 0.0153307, PRECISION_RECALL_MIN_DEN: 0.0511023, RECALL: 0.0511023, MAP: 0.0236377, MRR: 0.0652596, NDCG: 0.0412432, F1: 0.0235857, HIT_RATE: 0.1533069, ARHR: 0.0680711, RMSE: 0.9356685, NOVELTY: 0.0052425, AVERAGE_POPULARITY: 0.6188457, DIVERSITY_MEAN_INTER_LIST: 0.8675641, DIVERSITY_HERFINDAHL: 0.9867300, COVERAGE_ITEM: 0.0927278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1203802, SHANNON_ENTROPY: 7.4435764, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2970101551263554, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0911435, PRECISION: 0.0151783, PRECISION_RECALL_MIN_DEN: 0.0505943, RECALL: 0.0505943, MAP: 0.0241131, MRR: 0.0660735, NDCG: 0.0415136, F1: 0.0233512, HIT_RATE: 0.1517830, ARHR: 0.0691895, RMSE: 0.9436113, NOVELTY: 0.0052679, AVERAGE_POPULARITY: 0.5998960, DIVERSITY_MEAN_INTER_LIST: 0.8848762, DIVERSITY_HERFINDAHL: 0.9884606, COVERAGE_ITEM: 0.0900243, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1328291, SHANNON_ENTROPY: 7.6518278, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 138, 'shrink': 951, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.007524995284864612, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0862838, PRECISION: 0.0140811, PRECISION_RECALL_MIN_DEN: 0.0469369, RECALL: 0.0469369, MAP: 0.0234891, MRR: 0.0640691, NDCG: 0.0396138, F1: 0.0216632, HIT_RATE: 0.1408107, ARHR: 0.0672529, RMSE: 0.9662954, NOVELTY: 0.0054773, AVERAGE_POPULARITY: 0.5107209, DIVERSITY_MEAN_INTER_LIST: 0.9351929, DIVERSITY_HERFINDAHL: 0.9934908, COVERAGE_ITEM: 0.1430116, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1702444, SHANNON_ENTROPY: 8.6254150, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 945, 'shrink': 18, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9841219990178558, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0232441, PRECISION: 0.0038708, PRECISION_RECALL_MIN_DEN: 0.0129026, RECALL: 0.0129026, MAP: 0.0052691, MRR: 0.0155423, NDCG: 0.0098589, F1: 0.0059550, HIT_RATE: 0.0387077, ARHR: 0.0156748, RMSE: 0.9897553, NOVELTY: 0.0063383, AVERAGE_POPULARITY: 0.2679116, DIVERSITY_MEAN_INTER_LIST: 0.9643330, DIVERSITY_HERFINDAHL: 0.9964039, COVERAGE_ITEM: 0.1460935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2109224, SHANNON_ENTROPY: 9.2755404, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0913261, PRECISION: 0.0153002, PRECISION_RECALL_MIN_DEN: 0.0510007, RECALL: 0.0510007, MAP: 0.0236406, MRR: 0.0653698, NDCG: 0.0412331, F1: 0.0235388, HIT_RATE: 0.1530021, ARHR: 0.0681305, RMSE: 0.9318011, NOVELTY: 0.0052372, AVERAGE_POPULARITY: 0.6224014, DIVERSITY_MEAN_INTER_LIST: 0.8637123, DIVERSITY_HERFINDAHL: 0.9863449, COVERAGE_ITEM: 0.0920249, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1194610, SHANNON_ENTROPY: 7.4091696, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0913261, PRECISION: 0.0153002, PRECISION_RECALL_MIN_DEN: 0.0510007, RECALL: 0.0510007, MAP: 0.0236406, MRR: 0.0653698, NDCG: 0.0412331, F1: 0.0235388, HIT_RATE: 0.1530021, ARHR: 0.0681305, RMSE: 0.9318011, NOVELTY: 0.0052372, AVERAGE_POPULARITY: 0.6224014, DIVERSITY_MEAN_INTER_LIST: 0.8637123, DIVERSITY_HERFINDAHL: 0.9863449, COVERAGE_ITEM: 0.0920249, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1194610, SHANNON_ENTROPY: 7.4091696, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 14, 'shrink': 76, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.00652626825763747, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0612216, PRECISION: 0.0099970, PRECISION_RECALL_MIN_DEN: 0.0333232, RECALL: 0.0333232, MAP: 0.0161308, MRR: 0.0438715, NDCG: 0.0275554, F1: 0.0153799, HIT_RATE: 0.0999695, ARHR: 0.0461101, RMSE: 0.9225242, NOVELTY: 0.0056775, AVERAGE_POPULARITY: 0.4348740, DIVERSITY_MEAN_INTER_LIST: 0.9611025, DIVERSITY_HERFINDAHL: 0.9960810, COVERAGE_ITEM: 0.1931873, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2135526, SHANNON_ENTROPY: 9.4391733, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 997, 'shrink': 978, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.850634243597618, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0936011, PRECISION: 0.0153002, PRECISION_RECALL_MIN_DEN: 0.0510007, RECALL: 0.0510007, MAP: 0.0239241, MRR: 0.0660267, NDCG: 0.0415471, F1: 0.0235388, HIT_RATE: 0.1530021, ARHR: 0.0688842, RMSE: 0.9446760, NOVELTY: 0.0052505, AVERAGE_POPULARITY: 0.6123195, DIVERSITY_MEAN_INTER_LIST: 0.8745460, DIVERSITY_HERFINDAHL: 0.9874279, COVERAGE_ITEM: 0.0910516, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1233599, SHANNON_ENTROPY: 7.4973962, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0913261, PRECISION: 0.0153002, PRECISION_RECALL_MIN_DEN: 0.0510007, RECALL: 0.0510007, MAP: 0.0236406, MRR: 0.0653698, NDCG: 0.0412331, F1: 0.0235388, HIT_RATE: 0.1530021, ARHR: 0.0681305, RMSE: 0.9318011, NOVELTY: 0.0052372, AVERAGE_POPULARITY: 0.6224014, DIVERSITY_MEAN_INTER_LIST: 0.8637123, DIVERSITY_HERFINDAHL: 0.9863449, COVERAGE_ITEM: 0.0920249, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1194610, SHANNON_ENTROPY: 7.4091696, 
