CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 98, 'alpha': 0.6338441960891578, 'beta': 1.9801657464591942, 'normalize_similarity': False} - results: ROC_AUC: 0.0003020, PRECISION: 0.0000524, PRECISION_RECALL_MIN_DEN: 0.0005240, RECALL: 0.0005240, MAP: 0.0001849, MRR: 0.0001849, NDCG: 0.0002635, F1: 0.0000953, HIT_RATE: 0.0005240, ARHR: 0.0001849, RMSE: 0.9999469, NOVELTY: 0.0099128, AVERAGE_POPULARITY: 0.0014380, DIVERSITY_MEAN_INTER_LIST: 0.9952042, DIVERSITY_HERFINDAHL: 0.9995160, COVERAGE_ITEM: 0.2981779, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3447061, SHANNON_ENTROPY: 11.2641492, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 901, 'alpha': 0.9052576562423353, 'beta': 0.8637728986379405, 'normalize_similarity': False} - results: ROC_AUC: 0.0020615, PRECISION: 0.0004023, PRECISION_RECALL_MIN_DEN: 0.0040233, RECALL: 0.0040233, MAP: 0.0011938, MRR: 0.0011938, NDCG: 0.0018417, F1: 0.0007315, HIT_RATE: 0.0040233, ARHR: 0.0011938, RMSE: 0.9998273, NOVELTY: 0.0094176, AVERAGE_POPULARITY: 0.0039720, DIVERSITY_MEAN_INTER_LIST: 0.9979575, DIVERSITY_HERFINDAHL: 0.9997913, COVERAGE_ITEM: 0.6318897, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4166839, SHANNON_ENTROPY: 12.6714410, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 887, 'alpha': 1.978068346174245, 'beta': 1.28616821909634, 'normalize_similarity': False} - results: ROC_AUC: 0.0013539, PRECISION: 0.0002522, PRECISION_RECALL_MIN_DEN: 0.0025223, RECALL: 0.0025223, MAP: 0.0008511, MRR: 0.0008511, NDCG: 0.0012337, F1: 0.0004586, HIT_RATE: 0.0025223, ARHR: 0.0008511, RMSE: 0.9999997, NOVELTY: 0.0090741, AVERAGE_POPULARITY: 0.0073853, DIVERSITY_MEAN_INTER_LIST: 0.9985270, DIVERSITY_HERFINDAHL: 0.9998483, COVERAGE_ITEM: 0.7401460, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4768799, SHANNON_ENTROPY: 13.0801544, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 857, 'alpha': 0.5030720650914707, 'beta': 0.7385122088098238, 'normalize_similarity': True} - results: ROC_AUC: 0.0058716, PRECISION: 0.0010098, PRECISION_RECALL_MIN_DEN: 0.0100981, RECALL: 0.0100981, MAP: 0.0037520, MRR: 0.0037520, NDCG: 0.0052183, F1: 0.0018360, HIT_RATE: 0.0100981, ARHR: 0.0037520, RMSE: 0.9979526, NOVELTY: 0.0094043, AVERAGE_POPULARITY: 0.0066972, DIVERSITY_MEAN_INTER_LIST: 0.9983337, DIVERSITY_HERFINDAHL: 0.9998289, COVERAGE_ITEM: 0.6927061, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4435068, SHANNON_ENTROPY: 12.8935101, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 654, 'alpha': 1.775294110473495, 'beta': 1.6937485258746567, 'normalize_similarity': True} - results: ROC_AUC: 0.0006503, PRECISION: 0.0001119, PRECISION_RECALL_MIN_DEN: 0.0011191, RECALL: 0.0011191, MAP: 0.0004090, MRR: 0.0004090, NDCG: 0.0005728, F1: 0.0002035, HIT_RATE: 0.0011191, ARHR: 0.0004090, RMSE: 0.9992056, NOVELTY: 0.0096037, AVERAGE_POPULARITY: 0.0026844, DIVERSITY_MEAN_INTER_LIST: 0.9949581, DIVERSITY_HERFINDAHL: 0.9994914, COVERAGE_ITEM: 0.5094134, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2805919, SHANNON_ENTROPY: 11.7294156, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 836, 'alpha': 1.90440001705181, 'beta': 1.3751026604198846, 'normalize_similarity': False} - results: ROC_AUC: 0.0012394, PRECISION: 0.0002256, PRECISION_RECALL_MIN_DEN: 0.0022559, RECALL: 0.0022559, MAP: 0.0007804, MRR: 0.0007804, NDCG: 0.0011188, F1: 0.0004102, HIT_RATE: 0.0022559, ARHR: 0.0007804, RMSE: 0.9999996, NOVELTY: 0.0091819, AVERAGE_POPULARITY: 0.0059947, DIVERSITY_MEAN_INTER_LIST: 0.9983834, DIVERSITY_HERFINDAHL: 0.9998339, COVERAGE_ITEM: 0.7125493, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4574511, SHANNON_ENTROPY: 12.9700755, 
CrossSearchBayesianSkopt: New best config found. Config 16: {'topK': 236, 'alpha': 0.12299681359392237, 'beta': 0.08691059866448093, 'normalize_similarity': True} - results: ROC_AUC: 0.0616329, PRECISION: 0.0086887, PRECISION_RECALL_MIN_DEN: 0.0868866, RECALL: 0.0868866, MAP: 0.0434024, MRR: 0.0434024, NDCG: 0.0536589, F1: 0.0157976, HIT_RATE: 0.0868866, ARHR: 0.0434024, RMSE: 0.9955830, NOVELTY: 0.0061641, AVERAGE_POPULARITY: 0.3018047, DIVERSITY_MEAN_INTER_LIST: 0.9823560, DIVERSITY_HERFINDAHL: 0.9982312, COVERAGE_ITEM: 0.6190538, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1661330, SHANNON_ENTROPY: 10.7029894, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 495, 'alpha': 1.0079027851843083, 'beta': 1.45185060087793, 'normalize_similarity': True} - results: ROC_AUC: 0.0006770, PRECISION: 0.0001217, PRECISION_RECALL_MIN_DEN: 0.0012168, RECALL: 0.0012168, MAP: 0.0004216, MRR: 0.0004216, NDCG: 0.0006047, F1: 0.0002212, HIT_RATE: 0.0012168, ARHR: 0.0004216, RMSE: 0.9992634, NOVELTY: 0.0097131, AVERAGE_POPULARITY: 0.0021931, DIVERSITY_MEAN_INTER_LIST: 0.9963272, DIVERSITY_HERFINDAHL: 0.9996283, COVERAGE_ITEM: 0.4969451, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3225132, SHANNON_ENTROPY: 11.9548529, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 429, 'alpha': 1.3510592398339791, 'beta': 1.1976353228259051, 'normalize_similarity': True} - results: ROC_AUC: 0.0009039, PRECISION: 0.0001661, PRECISION_RECALL_MIN_DEN: 0.0016608, RECALL: 0.0016608, MAP: 0.0005813, MRR: 0.0005813, NDCG: 0.0008284, F1: 0.0003020, HIT_RATE: 0.0016608, ARHR: 0.0005813, RMSE: 0.9988347, NOVELTY: 0.0095092, AVERAGE_POPULARITY: 0.0032672, DIVERSITY_MEAN_INTER_LIST: 0.9961646, DIVERSITY_HERFINDAHL: 0.9996120, COVERAGE_ITEM: 0.5753771, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3171396, SHANNON_ENTROPY: 12.0897582, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 463, 'alpha': 1.1380337123899518, 'beta': 1.732864834646995, 'normalize_similarity': False} - results: ROC_AUC: 0.0006444, PRECISION: 0.0001110, PRECISION_RECALL_MIN_DEN: 0.0011102, RECALL: 0.0011102, MAP: 0.0004046, MRR: 0.0004046, NDCG: 0.0005674, F1: 0.0002018, HIT_RATE: 0.0011102, ARHR: 0.0004046, RMSE: 0.9999943, NOVELTY: 0.0097311, AVERAGE_POPULARITY: 0.0020424, DIVERSITY_MEAN_INTER_LIST: 0.9966782, DIVERSITY_HERFINDAHL: 0.9996634, COVERAGE_ITEM: 0.4602758, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3514288, SHANNON_ENTROPY: 11.9818892, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 929, 'alpha': 1.5115278273758075, 'beta': 1.3669292863672902, 'normalize_similarity': True} - results: ROC_AUC: 0.0008082, PRECISION: 0.0001439, PRECISION_RECALL_MIN_DEN: 0.0014388, RECALL: 0.0014388, MAP: 0.0005092, MRR: 0.0005092, NDCG: 0.0007230, F1: 0.0002616, HIT_RATE: 0.0014388, ARHR: 0.0005092, RMSE: 0.9989307, NOVELTY: 0.0095361, AVERAGE_POPULARITY: 0.0030828, DIVERSITY_MEAN_INTER_LIST: 0.9959660, DIVERSITY_HERFINDAHL: 0.9995922, COVERAGE_ITEM: 0.5542363, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3096790, SHANNON_ENTROPY: 12.0058116, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 849, 'alpha': 0.3783345101368515, 'beta': 1.1220303926233726, 'normalize_similarity': False} - results: ROC_AUC: 0.0003967, PRECISION: 0.0000817, PRECISION_RECALL_MIN_DEN: 0.0008171, RECALL: 0.0008171, MAP: 0.0002622, MRR: 0.0002622, NDCG: 0.0003878, F1: 0.0001486, HIT_RATE: 0.0008171, ARHR: 0.0002622, RMSE: 0.9974184, NOVELTY: 0.0099024, AVERAGE_POPULARITY: 0.0014671, DIVERSITY_MEAN_INTER_LIST: 0.9948151, DIVERSITY_HERFINDAHL: 0.9994771, COVERAGE_ITEM: 0.3141822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3635612, SHANNON_ENTROPY: 11.3507030, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 236, 'alpha': 0.868333008375288, 'beta': 0.6721418416588466, 'normalize_similarity': True} - results: ROC_AUC: 0.0100498, PRECISION: 0.0017754, PRECISION_RECALL_MIN_DEN: 0.0177539, RECALL: 0.0177539, MAP: 0.0061412, MRR: 0.0061412, NDCG: 0.0088213, F1: 0.0032280, HIT_RATE: 0.0177539, ARHR: 0.0061412, RMSE: 0.9970500, NOVELTY: 0.0092120, AVERAGE_POPULARITY: 0.0122291, DIVERSITY_MEAN_INTER_LIST: 0.9975209, DIVERSITY_HERFINDAHL: 0.9997477, COVERAGE_ITEM: 0.7056502, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3819732, SHANNON_ENTROPY: 12.6550408, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 545, 'alpha': 1.4495325875776188, 'beta': 0.7037728680082057, 'normalize_similarity': True} - results: ROC_AUC: 0.0043341, PRECISION: 0.0008686, PRECISION_RECALL_MIN_DEN: 0.0086860, RECALL: 0.0086860, MAP: 0.0024577, MRR: 0.0024577, NDCG: 0.0038826, F1: 0.0015793, HIT_RATE: 0.0086860, ARHR: 0.0024577, RMSE: 0.9968741, NOVELTY: 0.0088979, AVERAGE_POPULARITY: 0.0118817, DIVERSITY_MEAN_INTER_LIST: 0.9975835, DIVERSITY_HERFINDAHL: 0.9997539, COVERAGE_ITEM: 0.7213193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3913245, SHANNON_ENTROPY: 12.7145826, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 80, 'alpha': 1.3817486988784338, 'beta': 0.17592954622538118, 'normalize_similarity': True} - results: ROC_AUC: 0.0384189, PRECISION: 0.0054931, PRECISION_RECALL_MIN_DEN: 0.0549314, RECALL: 0.0549314, MAP: 0.0267308, MRR: 0.0267308, NDCG: 0.0333718, F1: 0.0099875, HIT_RATE: 0.0549314, ARHR: 0.0267308, RMSE: 0.9914395, NOVELTY: 0.0070236, AVERAGE_POPULARITY: 0.1549287, DIVERSITY_MEAN_INTER_LIST: 0.9951482, DIVERSITY_HERFINDAHL: 0.9995104, COVERAGE_ITEM: 0.5595350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3526563, SHANNON_ENTROPY: 12.1163555, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 323, 'alpha': 0.12286884966861059, 'beta': 1.399486949963675, 'normalize_similarity': False} - results: ROC_AUC: 0.0001421, PRECISION: 0.0000293, PRECISION_RECALL_MIN_DEN: 0.0002931, RECALL: 0.0002931, MAP: 0.0000834, MRR: 0.0000834, NDCG: 0.0001313, F1: 0.0000533, HIT_RATE: 0.0002931, ARHR: 0.0000834, RMSE: 0.9950953, NOVELTY: 0.0099344, AVERAGE_POPULARITY: 0.0013810, DIVERSITY_MEAN_INTER_LIST: 0.9803699, DIVERSITY_HERFINDAHL: 0.9980326, COVERAGE_ITEM: 0.2514517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2570238, SHANNON_ENTROPY: 10.4089553, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 373, 'alpha': 0.05208072772454943, 'beta': 1.0917530749190099, 'normalize_similarity': True} - results: ROC_AUC: 0.0006345, PRECISION: 0.0001208, PRECISION_RECALL_MIN_DEN: 0.0012079, RECALL: 0.0012079, MAP: 0.0003513, MRR: 0.0003513, NDCG: 0.0005485, F1: 0.0002196, HIT_RATE: 0.0012079, ARHR: 0.0003513, RMSE: 0.9992875, NOVELTY: 0.0097270, AVERAGE_POPULARITY: 0.0022809, DIVERSITY_MEAN_INTER_LIST: 0.9927869, DIVERSITY_HERFINDAHL: 0.9992743, COVERAGE_ITEM: 0.5462774, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2879201, SHANNON_ENTROPY: 11.7629849, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 557, 'alpha': 1.6523200406552543, 'beta': 0.1627523950731309, 'normalize_similarity': False} - results: ROC_AUC: 0.0101317, PRECISION: 0.0016431, PRECISION_RECALL_MIN_DEN: 0.0164306, RECALL: 0.0164306, MAP: 0.0065596, MRR: 0.0065596, NDCG: 0.0088539, F1: 0.0029874, HIT_RATE: 0.0164306, ARHR: 0.0065596, RMSE: 0.9999735, NOVELTY: 0.0073331, AVERAGE_POPULARITY: 0.0983327, DIVERSITY_MEAN_INTER_LIST: 0.9982693, DIVERSITY_HERFINDAHL: 0.9998225, COVERAGE_ITEM: 0.7068721, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4683721, SHANNON_ENTROPY: 12.9648078, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 649, 'alpha': 1.5370656669744778, 'beta': 0.8830463698654782, 'normalize_similarity': True} - results: ROC_AUC: 0.0018019, PRECISION: 0.0003801, PRECISION_RECALL_MIN_DEN: 0.0038012, RECALL: 0.0038012, MAP: 0.0010630, MRR: 0.0010630, NDCG: 0.0016841, F1: 0.0006911, HIT_RATE: 0.0038012, ARHR: 0.0010630, RMSE: 0.9976896, NOVELTY: 0.0091270, AVERAGE_POPULARITY: 0.0070008, DIVERSITY_MEAN_INTER_LIST: 0.9970573, DIVERSITY_HERFINDAHL: 0.9997013, COVERAGE_ITEM: 0.6801190, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3559070, SHANNON_ENTROPY: 12.4864384, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 476, 'alpha': 0.13962782589343384, 'beta': 1.7543335889597262, 'normalize_similarity': True} - results: ROC_AUC: 0.0004283, PRECISION: 0.0000817, PRECISION_RECALL_MIN_DEN: 0.0008171, RECALL: 0.0008171, MAP: 0.0002656, MRR: 0.0002656, NDCG: 0.0003918, F1: 0.0001486, HIT_RATE: 0.0008171, ARHR: 0.0002656, RMSE: 0.9995633, NOVELTY: 0.0098290, AVERAGE_POPULARITY: 0.0017594, DIVERSITY_MEAN_INTER_LIST: 0.9929683, DIVERSITY_HERFINDAHL: 0.9992924, COVERAGE_ITEM: 0.4370046, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2773349, SHANNON_ENTROPY: 11.4633769, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 736, 'alpha': 0.09977964468599401, 'beta': 1.314682731019002, 'normalize_similarity': True} - results: ROC_AUC: 0.0005684, PRECISION: 0.0001075, PRECISION_RECALL_MIN_DEN: 0.0010746, RECALL: 0.0010746, MAP: 0.0003179, MRR: 0.0003179, NDCG: 0.0004923, F1: 0.0001954, HIT_RATE: 0.0010746, ARHR: 0.0003179, RMSE: 0.9993500, NOVELTY: 0.0097641, AVERAGE_POPULARITY: 0.0020646, DIVERSITY_MEAN_INTER_LIST: 0.9905073, DIVERSITY_HERFINDAHL: 0.9990463, COVERAGE_ITEM: 0.5077156, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2853564, SHANNON_ENTROPY: 11.6204367, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 68, 'alpha': 1.3163502445009843, 'beta': 0.6382019436687526, 'normalize_similarity': True} - results: ROC_AUC: 0.0081896, PRECISION: 0.0015685, PRECISION_RECALL_MIN_DEN: 0.0156845, RECALL: 0.0156845, MAP: 0.0046806, MRR: 0.0046806, NDCG: 0.0072069, F1: 0.0028517, HIT_RATE: 0.0156845, ARHR: 0.0046806, RMSE: 0.9954672, NOVELTY: 0.0089424, AVERAGE_POPULARITY: 0.0145257, DIVERSITY_MEAN_INTER_LIST: 0.9963277, DIVERSITY_HERFINDAHL: 0.9996283, COVERAGE_ITEM: 0.6604920, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3224636, SHANNON_ENTROPY: 12.2736857, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 981, 'alpha': 1.8231112459967813, 'beta': 0.6250339072172685, 'normalize_similarity': False} - results: ROC_AUC: 0.0041407, PRECISION: 0.0007984, PRECISION_RECALL_MIN_DEN: 0.0079844, RECALL: 0.0079844, MAP: 0.0024419, MRR: 0.0024419, NDCG: 0.0037107, F1: 0.0014517, HIT_RATE: 0.0079844, ARHR: 0.0024419, RMSE: 0.9999976, NOVELTY: 0.0083151, AVERAGE_POPULARITY: 0.0288233, DIVERSITY_MEAN_INTER_LIST: 0.9989621, DIVERSITY_HERFINDAHL: 0.9998918, COVERAGE_ITEM: 0.7790754, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5933393, SHANNON_ENTROPY: 13.4235738, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 899, 'alpha': 1.7996648701220346, 'beta': 1.9613380274155425, 'normalize_similarity': False} - results: ROC_AUC: 0.0008161, PRECISION: 0.0001519, PRECISION_RECALL_MIN_DEN: 0.0015187, RECALL: 0.0015187, MAP: 0.0005268, MRR: 0.0005268, NDCG: 0.0007535, F1: 0.0002761, HIT_RATE: 0.0015187, ARHR: 0.0005268, RMSE: 0.9999997, NOVELTY: 0.0095364, AVERAGE_POPULARITY: 0.0029977, DIVERSITY_MEAN_INTER_LIST: 0.9975709, DIVERSITY_HERFINDAHL: 0.9997527, COVERAGE_ITEM: 0.5745228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3901016, SHANNON_ENTROPY: 12.4437601, 
