CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 570, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8843630186261162, 'feature_weighting': 'none'} - results: ROC_AUC: 0.038454±0.0019, PRECISION: 0.005960±0.0002, PRECISION_RECALL_MIN_DEN: 0.059599±0.0016, RECALL: 0.059599±0.0016, MAP: 0.025244±0.0011, MRR: 0.025244±0.0011, NDCG: 0.033270±0.0011, F1: 0.010836±0.0003, HIT_RATE: 0.059599±0.0016, ARHR: 0.025244±0.0011, RMSE: 0.967433±0.0001, NOVELTY: 0.005433±0.0000, AVERAGE_POPULARITY: 0.496096±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.943376±0.0002, DIVERSITY_HERFINDAHL: 0.994314±0.0000, COVERAGE_ITEM: 0.055366±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.217335±0.0017, SHANNON_ENTROPY: 8.170850±0.0064, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 170, 'shrink': 646, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0035663931924057044, 'feature_weighting': 'none'} - results: ROC_AUC: 0.027661±0.0011, PRECISION: 0.004291±0.0002, PRECISION_RECALL_MIN_DEN: 0.042911±0.0022, RECALL: 0.042911±0.0022, MAP: 0.018752±0.0009, MRR: 0.018752±0.0009, NDCG: 0.024379±0.0010, F1: 0.007802±0.0004, HIT_RATE: 0.042911±0.0022, ARHR: 0.018752±0.0009, RMSE: 0.939634±0.0009, NOVELTY: 0.005010±0.0000, AVERAGE_POPULARITY: 0.759880±0.0064, DIVERSITY_MEAN_INTER_LIST: 0.742926±0.0006, DIVERSITY_HERFINDAHL: 0.974274±0.0001, COVERAGE_ITEM: 0.023260±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117460±0.0016, SHANNON_ENTROPY: 5.958964±0.0081, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 795, 'shrink': 712, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9956730684070725, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032553±0.0009, PRECISION: 0.004976±0.0001, PRECISION_RECALL_MIN_DEN: 0.049759±0.0012, RECALL: 0.049759±0.0012, MAP: 0.022078±0.0008, MRR: 0.022078±0.0008, NDCG: 0.028538±0.0007, F1: 0.009047±0.0002, HIT_RATE: 0.049759±0.0012, ARHR: 0.022078±0.0008, RMSE: 2.033820±0.0188, NOVELTY: 0.005056±0.0000, AVERAGE_POPULARITY: 0.735741±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.766003±0.0008, DIVERSITY_HERFINDAHL: 0.976581±0.0001, COVERAGE_ITEM: 0.029781±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116420±0.0009, SHANNON_ENTROPY: 6.229424±0.0039, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 684, 'shrink': 636, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.1508360796905426, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032750±0.0006, PRECISION: 0.004986±0.0001, PRECISION_RECALL_MIN_DEN: 0.049861±0.0009, RECALL: 0.049861±0.0009, MAP: 0.022337±0.0008, MRR: 0.022337±0.0008, NDCG: 0.028758±0.0005, F1: 0.009066±0.0002, HIT_RATE: 0.049861±0.0009, ARHR: 0.022337±0.0008, RMSE: 2.229457±0.0221, NOVELTY: 0.005069±0.0000, AVERAGE_POPULARITY: 0.727339±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.776771±0.0006, DIVERSITY_HERFINDAHL: 0.977657±0.0001, COVERAGE_ITEM: 0.031500±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117784±0.0009, SHANNON_ENTROPY: 6.316606±0.0048, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 495, 'shrink': 1505, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9067183595999786, 'feature_weighting': 'none'} - results: ROC_AUC: 0.023141±0.0013, PRECISION: 0.003596±0.0002, PRECISION_RECALL_MIN_DEN: 0.035962±0.0018, RECALL: 0.035962±0.0018, MAP: 0.016375±0.0012, MRR: 0.016375±0.0012, NDCG: 0.020910±0.0011, F1: 0.006539±0.0003, HIT_RATE: 0.035962±0.0018, ARHR: 0.016375±0.0012, RMSE: 0.940162±0.0008, NOVELTY: 0.004925±0.0000, AVERAGE_POPULARITY: 0.826382±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.562093±0.0018, DIVERSITY_HERFINDAHL: 0.956195±0.0002, COVERAGE_ITEM: 0.011019±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122224±0.0019, SHANNON_ENTROPY: 4.989182±0.0079, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 418, 'shrink': 119, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.030097929073095, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.011165±0.0014, PRECISION: 0.001689±0.0002, PRECISION_RECALL_MIN_DEN: 0.016891±0.0019, RECALL: 0.016891±0.0019, MAP: 0.007117±0.0009, MRR: 0.007117±0.0009, NDCG: 0.009415±0.0012, F1: 0.003071±0.0004, HIT_RATE: 0.016891±0.0019, ARHR: 0.007117±0.0009, RMSE: 0.533061±0.0019, NOVELTY: 0.008867±0.0000, AVERAGE_POPULARITY: 0.025284±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.997575±0.0000, DIVERSITY_HERFINDAHL: 0.999732±0.0000, COVERAGE_ITEM: 0.434636±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.548660±0.0023, SHANNON_ENTROPY: 12.444849±0.0073, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 521, 'shrink': 1127, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2602301576448558, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.038098±0.0016, PRECISION: 0.005782±0.0002, PRECISION_RECALL_MIN_DEN: 0.057824±0.0020, RECALL: 0.057824±0.0020, MAP: 0.025420±0.0012, MRR: 0.025420±0.0012, NDCG: 0.033008±0.0013, F1: 0.010513±0.0004, HIT_RATE: 0.057824±0.0020, ARHR: 0.025420±0.0012, RMSE: 0.884421±0.0099, NOVELTY: 0.006501±0.0000, AVERAGE_POPULARITY: 0.204354±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980007±0.0002, DIVERSITY_HERFINDAHL: 0.997976±0.0000, COVERAGE_ITEM: 0.200216±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.250618±0.0008, SHANNON_ENTROPY: 10.053608±0.0082, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 990, 'shrink': 497, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4887867074978075, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033516±0.0018, PRECISION: 0.005230±0.0002, PRECISION_RECALL_MIN_DEN: 0.052295±0.0016, RECALL: 0.052295±0.0016, MAP: 0.023419±0.0017, MRR: 0.023419±0.0017, NDCG: 0.030113±0.0016, F1: 0.009508±0.0003, HIT_RATE: 0.052295±0.0016, ARHR: 0.023419±0.0017, RMSE: 0.977049±0.0154, NOVELTY: 0.005470±0.0000, AVERAGE_POPULARITY: 0.605210±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.829704±0.0012, DIVERSITY_HERFINDAHL: 0.982949±0.0001, COVERAGE_ITEM: 0.124055±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116402±0.0003, SHANNON_ENTROPY: 7.442251±0.0083, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 802, 'shrink': 472, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8878074343570324, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.041362±0.0022, PRECISION: 0.006345±0.0003, PRECISION_RECALL_MIN_DEN: 0.063454±0.0028, RECALL: 0.063454±0.0028, MAP: 0.027924±0.0016, MRR: 0.027924±0.0016, NDCG: 0.036214±0.0019, F1: 0.011537±0.0005, HIT_RATE: 0.063454±0.0028, ARHR: 0.027924±0.0016, RMSE: 0.548094±0.0026, NOVELTY: 0.006631±0.0000, AVERAGE_POPULARITY: 0.234298±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.981283±0.0002, DIVERSITY_HERFINDAHL: 0.998103±0.0000, COVERAGE_ITEM: 0.374912±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.281092±0.0009, SHANNON_ENTROPY: 10.727278±0.0081, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 680, 'shrink': 858, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6413135081471215, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.027356±0.0012, PRECISION: 0.004286±0.0001, PRECISION_RECALL_MIN_DEN: 0.042861±0.0011, RECALL: 0.042861±0.0011, MAP: 0.018488±0.0011, MRR: 0.018488±0.0011, NDCG: 0.024154±0.0010, F1: 0.007793±0.0002, HIT_RATE: 0.042861±0.0011, ARHR: 0.018488±0.0011, RMSE: 8.767259±0.1112, NOVELTY: 0.004997±0.0000, AVERAGE_POPULARITY: 0.770566±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.681574±0.0011, DIVERSITY_HERFINDAHL: 0.968140±0.0001, COVERAGE_ITEM: 0.022147±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104104±0.0008, SHANNON_ENTROPY: 5.684646±0.0077, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 61, 'shrink': 1050, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5995833909685575, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033511±0.0020, PRECISION: 0.005194±0.0003, PRECISION_RECALL_MIN_DEN: 0.051940±0.0025, RECALL: 0.051940±0.0025, MAP: 0.022473±0.0013, MRR: 0.022473±0.0013, NDCG: 0.029343±0.0016, F1: 0.009444±0.0005, HIT_RATE: 0.051940±0.0025, ARHR: 0.022473±0.0013, RMSE: 0.653418±0.0078, NOVELTY: 0.006786±0.0000, AVERAGE_POPULARITY: 0.128157±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.987931±0.0001, DIVERSITY_HERFINDAHL: 0.998768±0.0000, COVERAGE_ITEM: 0.272787±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.297351±0.0011, SHANNON_ENTROPY: 10.759843±0.0080, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 299, 'shrink': 1522, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8517982903612882, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039603±0.0023, PRECISION: 0.005995±0.0003, PRECISION_RECALL_MIN_DEN: 0.059954±0.0033, RECALL: 0.059954±0.0033, MAP: 0.025772±0.0013, MRR: 0.025772±0.0013, NDCG: 0.033797±0.0017, F1: 0.010901±0.0006, HIT_RATE: 0.059954±0.0033, ARHR: 0.025772±0.0013, RMSE: 0.661790±0.0029, NOVELTY: 0.006375±0.0000, AVERAGE_POPULARITY: 0.185474±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980267±0.0003, DIVERSITY_HERFINDAHL: 0.998002±0.0000, COVERAGE_ITEM: 0.221162±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236239±0.0013, SHANNON_ENTROPY: 10.068378±0.0160, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 892, 'shrink': 1193, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5282244625137122, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030535±0.0012, PRECISION: 0.004575±0.0002, PRECISION_RECALL_MIN_DEN: 0.045752±0.0024, RECALL: 0.045752±0.0024, MAP: 0.020567±0.0011, MRR: 0.020567±0.0011, NDCG: 0.026470±0.0014, F1: 0.008319±0.0004, HIT_RATE: 0.045752±0.0024, ARHR: 0.020567±0.0011, RMSE: 1.137305±0.0129, NOVELTY: 0.006762±0.0000, AVERAGE_POPULARITY: 0.125180±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.975878±0.0008, DIVERSITY_HERFINDAHL: 0.997563±0.0001, COVERAGE_ITEM: 0.164531±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.262312±0.0006, SHANNON_ENTROPY: 9.859952±0.0135, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 939, 'shrink': 629, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.964625378764321, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.025277±0.0016, PRECISION: 0.003830±0.0002, PRECISION_RECALL_MIN_DEN: 0.038296±0.0021, RECALL: 0.038296±0.0021, MAP: 0.016687±0.0009, MRR: 0.016687±0.0009, NDCG: 0.021748±0.0011, F1: 0.006963±0.0004, HIT_RATE: 0.038296±0.0021, ARHR: 0.016687±0.0009, RMSE: 0.461675±0.0053, NOVELTY: 0.006886±0.0000, AVERAGE_POPULARITY: 0.097671±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.984170±0.0006, DIVERSITY_HERFINDAHL: 0.998392±0.0001, COVERAGE_ITEM: 0.282628±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.274504±0.0021, SHANNON_ENTROPY: 10.584857±0.0272, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 398, 'shrink': 1479, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.20339041934524432, 'feature_weighting': 'none'} - results: ROC_AUC: 0.024037±0.0013, PRECISION: 0.003804±0.0002, PRECISION_RECALL_MIN_DEN: 0.038042±0.0022, RECALL: 0.038042±0.0022, MAP: 0.017051±0.0012, MRR: 0.017051±0.0012, NDCG: 0.021894±0.0011, F1: 0.006917±0.0004, HIT_RATE: 0.038042±0.0022, ARHR: 0.017051±0.0012, RMSE: 0.954127±0.0006, NOVELTY: 0.004944±0.0000, AVERAGE_POPULARITY: 0.810089±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.617386±0.0015, DIVERSITY_HERFINDAHL: 0.961723±0.0001, COVERAGE_ITEM: 0.013896±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116475±0.0023, SHANNON_ENTROPY: 5.243754±0.0071, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 269, 'shrink': 606, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.451259196997827, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.031392±0.0010, PRECISION: 0.004844±0.0001, PRECISION_RECALL_MIN_DEN: 0.048440±0.0012, RECALL: 0.048440±0.0012, MAP: 0.021404±0.0011, MRR: 0.021404±0.0011, NDCG: 0.027702±0.0010, F1: 0.008807±0.0002, HIT_RATE: 0.048440±0.0012, ARHR: 0.021404±0.0011, RMSE: 9.258148±0.1273, NOVELTY: 0.005095±0.0000, AVERAGE_POPULARITY: 0.705509±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.795037±0.0010, DIVERSITY_HERFINDAHL: 0.979484±0.0001, COVERAGE_ITEM: 0.035891±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117120±0.0009, SHANNON_ENTROPY: 6.477922±0.0074, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 387, 'shrink': 298, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9827285964825374, 'feature_weighting': 'none'} - results: ROC_AUC: 0.034672±0.0016, PRECISION: 0.005321±0.0001, PRECISION_RECALL_MIN_DEN: 0.053208±0.0014, RECALL: 0.053208±0.0014, MAP: 0.023689±0.0012, MRR: 0.023689±0.0012, NDCG: 0.030571±0.0012, F1: 0.009674±0.0003, HIT_RATE: 0.053208±0.0014, ARHR: 0.023689±0.0012, RMSE: 0.855842±0.0010, NOVELTY: 0.005229±0.0000, AVERAGE_POPULARITY: 0.602615±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.863002±0.0007, DIVERSITY_HERFINDAHL: 0.986278±0.0001, COVERAGE_ITEM: 0.035350±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.166202±0.0007, SHANNON_ENTROPY: 7.067606±0.0067, 
