CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 570, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.8843630186261162, 'tversky_beta': 0.31487249295509706} - results: ROC_AUC: 0.039028±0.0016, PRECISION: 0.006061±0.0002, PRECISION_RECALL_MIN_DEN: 0.060614±0.0023, RECALL: 0.060614±0.0023, MAP: 0.025664±0.0010, MRR: 0.025664±0.0010, NDCG: 0.033829±0.0010, F1: 0.011021±0.0004, HIT_RATE: 0.060614±0.0023, ARHR: 0.025664±0.0010, RMSE: 0.971204±0.0001, NOVELTY: 0.005421±0.0000, AVERAGE_POPULARITY: 0.503474±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.941704±0.0003, DIVERSITY_HERFINDAHL: 0.994146±0.0000, COVERAGE_ITEM: 0.053712±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.217987±0.0007, SHANNON_ENTROPY: 8.130869±0.0044, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 170, 'shrink': 646, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.0035663931924057044, 'tversky_beta': 0.013704911044973848} - results: ROC_AUC: 0.025384±0.0014, PRECISION: 0.003982±0.0003, PRECISION_RECALL_MIN_DEN: 0.039817±0.0026, RECALL: 0.039817±0.0026, MAP: 0.017605±0.0010, MRR: 0.017605±0.0010, NDCG: 0.022754±0.0010, F1: 0.007240±0.0005, HIT_RATE: 0.039817±0.0026, ARHR: 0.017605±0.0010, RMSE: 0.903647±0.0012, NOVELTY: 0.004979±0.0000, AVERAGE_POPULARITY: 0.783485±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.692345±0.0014, DIVERSITY_HERFINDAHL: 0.969217±0.0001, COVERAGE_ITEM: 0.021217±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105131±0.0007, SHANNON_ENTROPY: 5.663373±0.0058, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 795, 'shrink': 712, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.9956730684070725, 'tversky_beta': 0.9200552575599334} - results: ROC_AUC: 0.027526±0.0004, PRECISION: 0.004215±0.0001, PRECISION_RECALL_MIN_DEN: 0.042151±0.0006, RECALL: 0.042151±0.0006, MAP: 0.019045±0.0012, MRR: 0.019045±0.0012, NDCG: 0.024425±0.0007, F1: 0.007664±0.0001, HIT_RATE: 0.042151±0.0006, ARHR: 0.019045±0.0012, RMSE: 0.926828±0.0008, NOVELTY: 0.004998±0.0000, AVERAGE_POPULARITY: 0.765707±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.671740±0.0013, DIVERSITY_HERFINDAHL: 0.967157±0.0001, COVERAGE_ITEM: 0.017432±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122512±0.0014, SHANNON_ENTROPY: 5.624091±0.0073, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 684, 'shrink': 636, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.1508360796905426, 'tversky_beta': 0.9613930179862016} - results: ROC_AUC: 0.029177±0.0006, PRECISION: 0.004443±0.0000, PRECISION_RECALL_MIN_DEN: 0.044433±0.0002, RECALL: 0.044433±0.0002, MAP: 0.020010±0.0009, MRR: 0.020010±0.0009, NDCG: 0.025705±0.0007, F1: 0.008079±0.0000, HIT_RATE: 0.044433±0.0002, ARHR: 0.020010±0.0009, RMSE: 0.927615±0.0008, NOVELTY: 0.005029±0.0000, AVERAGE_POPULARITY: 0.743164±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.711943±0.0009, DIVERSITY_HERFINDAHL: 0.971176±0.0001, COVERAGE_ITEM: 0.020514±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125161±0.0014, SHANNON_ENTROPY: 5.873025±0.0061, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 495, 'shrink': 1505, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.9067183595999786, 'tversky_beta': 0.4344295488491322} - results: ROC_AUC: 0.026179±0.0008, PRECISION: 0.004032±0.0002, PRECISION_RECALL_MIN_DEN: 0.040325±0.0016, RECALL: 0.040325±0.0016, MAP: 0.018356±0.0011, MRR: 0.018356±0.0011, NDCG: 0.023457±0.0009, F1: 0.007332±0.0003, HIT_RATE: 0.040325±0.0016, ARHR: 0.018356±0.0011, RMSE: 0.954753±0.0006, NOVELTY: 0.004973±0.0000, AVERAGE_POPULARITY: 0.785465±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.655677±0.0019, DIVERSITY_HERFINDAHL: 0.965551±0.0002, COVERAGE_ITEM: 0.015885±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120243±0.0019, SHANNON_ENTROPY: 5.479470±0.0105, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 418, 'shrink': 119, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.030097929073095, 'tversky_beta': 1.1956667568247148} - results: ROC_AUC: 0.036233±0.0010, PRECISION: 0.005473±0.0001, PRECISION_RECALL_MIN_DEN: 0.054730±0.0007, RECALL: 0.054730±0.0007, MAP: 0.024609±0.0010, MRR: 0.024609±0.0010, NDCG: 0.031651±0.0009, F1: 0.009951±0.0001, HIT_RATE: 0.054730±0.0007, ARHR: 0.024609±0.0010, RMSE: 0.899905±0.0010, NOVELTY: 0.005215±0.0000, AVERAGE_POPULARITY: 0.627145±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.849230±0.0011, DIVERSITY_HERFINDAHL: 0.984901±0.0001, COVERAGE_ITEM: 0.043785±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143406±0.0008, SHANNON_ENTROPY: 7.054336±0.0086, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 521, 'shrink': 1127, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.2602301576448558, 'tversky_beta': 1.904876078989055} - results: ROC_AUC: 0.027960±0.0004, PRECISION: 0.004327±0.0001, PRECISION_RECALL_MIN_DEN: 0.043267±0.0012, RECALL: 0.043267±0.0012, MAP: 0.019415±0.0008, MRR: 0.019415±0.0008, NDCG: 0.024957±0.0007, F1: 0.007867±0.0002, HIT_RATE: 0.043267±0.0012, ARHR: 0.019415±0.0008, RMSE: 0.958752±0.0005, NOVELTY: 0.005000±0.0000, AVERAGE_POPULARITY: 0.765912±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.690524±0.0009, DIVERSITY_HERFINDAHL: 0.969035±0.0001, COVERAGE_ITEM: 0.019184±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118558±0.0013, SHANNON_ENTROPY: 5.706382±0.0072, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 990, 'shrink': 497, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.4887867074978075, 'tversky_beta': 1.995195340901904} - results: ROC_AUC: 0.025440±0.0014, PRECISION: 0.003931±0.0002, PRECISION_RECALL_MIN_DEN: 0.039310±0.0015, RECALL: 0.039310±0.0015, MAP: 0.017483±0.0013, MRR: 0.017483±0.0013, NDCG: 0.022560±0.0012, F1: 0.007147±0.0003, HIT_RATE: 0.039310±0.0015, ARHR: 0.017483±0.0013, RMSE: 0.920441±0.0011, NOVELTY: 0.004953±0.0000, AVERAGE_POPULARITY: 0.802477±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.601387±0.0008, DIVERSITY_HERFINDAHL: 0.960123±0.0001, COVERAGE_ITEM: 0.014371±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113306±0.0020, SHANNON_ENTROPY: 5.237783±0.0059, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 802, 'shrink': 472, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.8878074343570324, 'tversky_beta': 0.7792973811086674} - results: ROC_AUC: 0.028703±0.0003, PRECISION: 0.004377±0.0001, PRECISION_RECALL_MIN_DEN: 0.043774±0.0011, RECALL: 0.043774±0.0011, MAP: 0.019768±0.0011, MRR: 0.019768±0.0011, NDCG: 0.025364±0.0008, F1: 0.007959±0.0002, HIT_RATE: 0.043774±0.0011, ARHR: 0.019768±0.0011, RMSE: 0.903014±0.0010, NOVELTY: 0.005022±0.0000, AVERAGE_POPULARITY: 0.747773±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.699273±0.0016, DIVERSITY_HERFINDAHL: 0.969910±0.0002, COVERAGE_ITEM: 0.019649±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124078±0.0014, SHANNON_ENTROPY: 5.801804±0.0082, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 680, 'shrink': 858, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.6413135081471215, 'tversky_beta': 1.5953189590648456} - results: ROC_AUC: 0.029414±0.0005, PRECISION: 0.004464±0.0000, PRECISION_RECALL_MIN_DEN: 0.044636±0.0004, RECALL: 0.044636±0.0004, MAP: 0.020213±0.0009, MRR: 0.020213±0.0009, NDCG: 0.025909±0.0007, F1: 0.008116±0.0001, HIT_RATE: 0.044636±0.0004, ARHR: 0.020213±0.0009, RMSE: 0.949502±0.0006, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.741342±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.715047±0.0009, DIVERSITY_HERFINDAHL: 0.971487±0.0001, COVERAGE_ITEM: 0.021022±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124675±0.0013, SHANNON_ENTROPY: 5.897380±0.0065, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 61, 'shrink': 1050, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.5995833909685575, 'tversky_beta': 1.5007750393324772} - results: ROC_AUC: 0.037112±0.0011, PRECISION: 0.005752±0.0001, PRECISION_RECALL_MIN_DEN: 0.057520±0.0011, RECALL: 0.057520±0.0011, MAP: 0.024575±0.0013, MRR: 0.024575±0.0013, NDCG: 0.032266±0.0011, F1: 0.010458±0.0002, HIT_RATE: 0.057520±0.0011, ARHR: 0.024575±0.0013, RMSE: 0.979904±0.0002, NOVELTY: 0.005278±0.0000, AVERAGE_POPULARITY: 0.585567±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.906451±0.0004, DIVERSITY_HERFINDAHL: 0.990622±0.0000, COVERAGE_ITEM: 0.044747±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.181009±0.0013, SHANNON_ENTROPY: 7.544029±0.0076, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 299, 'shrink': 1522, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.8517982903612882, 'tversky_beta': 0.9928248984132195} - results: ROC_AUC: 0.030163±0.0006, PRECISION: 0.004661±0.0001, PRECISION_RECALL_MIN_DEN: 0.046614±0.0011, RECALL: 0.046614±0.0011, MAP: 0.020708±0.0007, MRR: 0.020708±0.0007, NDCG: 0.026736±0.0005, F1: 0.008475±0.0002, HIT_RATE: 0.046614±0.0011, ARHR: 0.020708±0.0007, RMSE: 0.967976±0.0004, NOVELTY: 0.005057±0.0000, AVERAGE_POPULARITY: 0.723537±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.766068±0.0008, DIVERSITY_HERFINDAHL: 0.976587±0.0001, COVERAGE_ITEM: 0.024904±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127963±0.0010, SHANNON_ENTROPY: 6.180210±0.0079, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 892, 'shrink': 1193, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.5282244625137122, 'tversky_beta': 1.7413861089841045} - results: ROC_AUC: 0.027300±0.0006, PRECISION: 0.004159±0.0002, PRECISION_RECALL_MIN_DEN: 0.041593±0.0019, RECALL: 0.041593±0.0019, MAP: 0.019004±0.0010, MRR: 0.019004±0.0010, NDCG: 0.024262±0.0007, F1: 0.007562±0.0003, HIT_RATE: 0.041593±0.0019, ARHR: 0.019004±0.0010, RMSE: 0.955440±0.0006, NOVELTY: 0.004986±0.0000, AVERAGE_POPULARITY: 0.775628±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.649456±0.0013, DIVERSITY_HERFINDAHL: 0.964929±0.0001, COVERAGE_ITEM: 0.016394±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120257±0.0017, SHANNON_ENTROPY: 5.509958±0.0065, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 939, 'shrink': 629, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.964625378764321, 'tversky_beta': 0.8344513339895818} - results: ROC_AUC: 0.032536±0.0008, PRECISION: 0.004956±0.0001, PRECISION_RECALL_MIN_DEN: 0.049556±0.0010, RECALL: 0.049556±0.0010, MAP: 0.022557±0.0011, MRR: 0.022557±0.0011, NDCG: 0.028843±0.0009, F1: 0.009010±0.0002, HIT_RATE: 0.049556±0.0010, ARHR: 0.022557±0.0011, RMSE: 0.931126±0.0007, NOVELTY: 0.005100±0.0000, AVERAGE_POPULARITY: 0.690032±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.761934±0.0013, DIVERSITY_HERFINDAHL: 0.976174±0.0001, COVERAGE_ITEM: 0.024298±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140882±0.0016, SHANNON_ENTROPY: 6.266224±0.0048, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 398, 'shrink': 1479, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.20339041934524432, 'tversky_beta': 0.010176247797408557} - results: ROC_AUC: 0.023738±0.0010, PRECISION: 0.003723±0.0002, PRECISION_RECALL_MIN_DEN: 0.037231±0.0020, RECALL: 0.037231±0.0020, MAP: 0.016767±0.0011, MRR: 0.016767±0.0011, NDCG: 0.021498±0.0010, F1: 0.006769±0.0004, HIT_RATE: 0.037231±0.0020, ARHR: 0.016767±0.0011, RMSE: 0.946370±0.0007, NOVELTY: 0.004943±0.0000, AVERAGE_POPULARITY: 0.810383±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.612830±0.0020, DIVERSITY_HERFINDAHL: 0.961267±0.0002, COVERAGE_ITEM: 0.013496±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117976±0.0020, SHANNON_ENTROPY: 5.224686±0.0100, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 269, 'shrink': 606, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.451259196997827, 'tversky_beta': 1.4411837783175003} - results: ROC_AUC: 0.033759±0.0006, PRECISION: 0.005077±0.0001, PRECISION_RECALL_MIN_DEN: 0.050774±0.0011, RECALL: 0.050774±0.0011, MAP: 0.022982±0.0007, MRR: 0.022982±0.0007, NDCG: 0.029483±0.0006, F1: 0.009232±0.0002, HIT_RATE: 0.050774±0.0011, ARHR: 0.022982±0.0007, RMSE: 0.952113±0.0006, NOVELTY: 0.005130±0.0000, AVERAGE_POPULARITY: 0.675645±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.821017±0.0009, DIVERSITY_HERFINDAHL: 0.982081±0.0001, COVERAGE_ITEM: 0.032949±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138639±0.0012, SHANNON_ENTROPY: 6.663461±0.0067, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 387, 'shrink': 298, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.9827285964825374, 'tversky_beta': 0.1669882864158512} - results: ROC_AUC: 0.034452±0.0015, PRECISION: 0.005199±0.0002, PRECISION_RECALL_MIN_DEN: 0.051991±0.0016, RECALL: 0.051991±0.0016, MAP: 0.023316±0.0013, MRR: 0.023316±0.0013, NDCG: 0.030024±0.0012, F1: 0.009453±0.0003, HIT_RATE: 0.051991±0.0016, ARHR: 0.023316±0.0013, RMSE: 0.869672±0.0009, NOVELTY: 0.005201±0.0000, AVERAGE_POPULARITY: 0.622405±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.850542±0.0006, DIVERSITY_HERFINDAHL: 0.985033±0.0001, COVERAGE_ITEM: 0.034366±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158404±0.0006, SHANNON_ENTROPY: 6.946599±0.0065, 
