SearchBayesianSkopt: New best config found. Config 0: {'topK': 761, 'shrink': 952, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8599007512677317, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2364506, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037108, MRR: 0.0107538, NDCG: 0.0073731, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109431, RMSE: nan, NOVELTY: 0.0042410, AVERAGE_POPULARITY: 0.0494642, DIVERSITY_MEAN_INTER_LIST: 0.9984756, DIVERSITY_HERFINDAHL: 0.9997418, COVERAGE_ITEM: 0.8435793, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3798454, SHANNON_ENTROPY: 12.8362125, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 23, 'shrink': 994, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.893045538447383, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2335634, PRECISION: 0.0027238, PRECISION_RECALL_MIN_DEN: 0.0090794, RECALL: 0.0090794, MAP: 0.0029616, MRR: 0.0086513, NDCG: 0.0060981, F1: 0.0041905, HIT_RATE: 0.0272381, ARHR: 0.0087680, RMSE: nan, NOVELTY: 0.0043117, AVERAGE_POPULARITY: 0.0431109, DIVERSITY_MEAN_INTER_LIST: 0.9980236, DIVERSITY_HERFINDAHL: 0.9996675, COVERAGE_ITEM: 0.7914031, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3816267, SHANNON_ENTROPY: 12.7364881, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 38, 'shrink': 972, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0172837215516839, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2371031, PRECISION: 0.0032396, PRECISION_RECALL_MIN_DEN: 0.0107988, RECALL: 0.0107988, MAP: 0.0039432, MRR: 0.0114151, NDCG: 0.0076928, F1: 0.0049841, HIT_RATE: 0.0323965, ARHR: 0.0116223, RMSE: nan, NOVELTY: 0.0042610, AVERAGE_POPULARITY: 0.0498027, DIVERSITY_MEAN_INTER_LIST: 0.9980141, DIVERSITY_HERFINDAHL: 0.9996660, COVERAGE_ITEM: 0.7970803, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3610091, SHANNON_ENTROPY: 12.6348556, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 957, 'shrink': 984, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9530892705580507, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2364667, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037087, MRR: 0.0107473, NDCG: 0.0073711, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109366, RMSE: nan, NOVELTY: 0.0042420, AVERAGE_POPULARITY: 0.0494879, DIVERSITY_MEAN_INTER_LIST: 0.9984743, DIVERSITY_HERFINDAHL: 0.9997416, COVERAGE_ITEM: 0.8435253, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3799652, SHANNON_ENTROPY: 12.8361370, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2328048, PRECISION: 0.0023044, PRECISION_RECALL_MIN_DEN: 0.0076813, RECALL: 0.0076813, MAP: 0.0030135, MRR: 0.0086907, NDCG: 0.0056970, F1: 0.0035452, HIT_RATE: 0.0230439, ARHR: 0.0088657, RMSE: nan, NOVELTY: 0.0044046, AVERAGE_POPULARITY: 0.0395894, DIVERSITY_MEAN_INTER_LIST: 0.9843608, DIVERSITY_HERFINDAHL: 0.9974240, COVERAGE_ITEM: 0.7500406, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2996494, SHANNON_ENTROPY: 11.7371670, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 971, 'shrink': 47, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9123871356395479, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2358768, PRECISION: 0.0030902, PRECISION_RECALL_MIN_DEN: 0.0103007, RECALL: 0.0103007, MAP: 0.0035418, MRR: 0.0102073, NDCG: 0.0070977, F1: 0.0047542, HIT_RATE: 0.0309020, ARHR: 0.0104164, RMSE: nan, NOVELTY: 0.0042390, AVERAGE_POPULARITY: 0.0483153, DIVERSITY_MEAN_INTER_LIST: 0.9986212, DIVERSITY_HERFINDAHL: 0.9997657, COVERAGE_ITEM: 0.8480670, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3898340, SHANNON_ENTROPY: 12.9013982, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 991, 'shrink': 973, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.10572704526247015, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 49, 'shrink': 19, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8945795224451742, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2312176, PRECISION: 0.0023767, PRECISION_RECALL_MIN_DEN: 0.0079224, RECALL: 0.0079224, MAP: 0.0024136, MRR: 0.0069755, NDCG: 0.0051206, F1: 0.0036565, HIT_RATE: 0.0237671, ARHR: 0.0071082, RMSE: nan, NOVELTY: 0.0042878, AVERAGE_POPULARITY: 0.0430920, DIVERSITY_MEAN_INTER_LIST: 0.9985645, DIVERSITY_HERFINDAHL: 0.9997564, COVERAGE_ITEM: 0.7791295, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3900001, SHANNON_ENTROPY: 12.8061812, 
SearchBayesianSkopt: New best config found. Config 18: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2370170, PRECISION: 0.0027431, PRECISION_RECALL_MIN_DEN: 0.0091436, RECALL: 0.0091436, MAP: 0.0041202, MRR: 0.0120199, NDCG: 0.0073846, F1: 0.0042201, HIT_RATE: 0.0274309, ARHR: 0.0121902, RMSE: nan, NOVELTY: 0.0043977, AVERAGE_POPULARITY: 0.0469662, DIVERSITY_MEAN_INTER_LIST: 0.9831055, DIVERSITY_HERFINDAHL: 0.9972179, COVERAGE_ITEM: 0.6722357, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2616419, SHANNON_ENTROPY: 11.3304352, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 963, 'shrink': 35, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.036106677503130465, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2356679, PRECISION: 0.0030613, PRECISION_RECALL_MIN_DEN: 0.0102042, RECALL: 0.0102042, MAP: 0.0034935, MRR: 0.0100624, NDCG: 0.0070137, F1: 0.0047097, HIT_RATE: 0.0306127, ARHR: 0.0102715, RMSE: nan, NOVELTY: 0.0042385, AVERAGE_POPULARITY: 0.0482325, DIVERSITY_MEAN_INTER_LIST: 0.9986289, DIVERSITY_HERFINDAHL: 0.9997669, COVERAGE_ITEM: 0.8490403, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3899673, SHANNON_ENTROPY: 12.9051787, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 981, 'shrink': 999, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9336160856423295, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2364774, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037127, MRR: 0.0107594, NDCG: 0.0073756, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109487, RMSE: nan, NOVELTY: 0.0042417, AVERAGE_POPULARITY: 0.0495041, DIVERSITY_MEAN_INTER_LIST: 0.9984735, DIVERSITY_HERFINDAHL: 0.9997414, COVERAGE_ITEM: 0.8434712, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3797823, SHANNON_ENTROPY: 12.8353828, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 36, 'shrink': 7, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.040797799342005676, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2367261, PRECISION: 0.0031770, PRECISION_RECALL_MIN_DEN: 0.0105899, RECALL: 0.0105899, MAP: 0.0038485, MRR: 0.0111704, NDCG: 0.0075284, F1: 0.0048877, HIT_RATE: 0.0317698, ARHR: 0.0113579, RMSE: nan, NOVELTY: 0.0042591, AVERAGE_POPULARITY: 0.0493304, DIVERSITY_MEAN_INTER_LIST: 0.9980338, DIVERSITY_HERFINDAHL: 0.9996692, COVERAGE_ITEM: 0.8106515, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3599258, SHANNON_ENTROPY: 12.6570743, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 8, 'shrink': 31, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9982167886021995, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2365396, PRECISION: 0.0028009, PRECISION_RECALL_MIN_DEN: 0.0093365, RECALL: 0.0093365, MAP: 0.0038679, MRR: 0.0112115, NDCG: 0.0071652, F1: 0.0043091, HIT_RATE: 0.0280094, ARHR: 0.0114077, RMSE: nan, NOVELTY: 0.0043485, AVERAGE_POPULARITY: 0.0483040, DIVERSITY_MEAN_INTER_LIST: 0.9914681, DIVERSITY_HERFINDAHL: 0.9985911, COVERAGE_ITEM: 0.7121384, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2822872, SHANNON_ENTROPY: 11.7677126, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 6, 'shrink': 957, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.024547476375546225, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2322376, PRECISION: 0.0022273, PRECISION_RECALL_MIN_DEN: 0.0074242, RECALL: 0.0074242, MAP: 0.0029342, MRR: 0.0084744, NDCG: 0.0055262, F1: 0.0034265, HIT_RATE: 0.0222726, ARHR: 0.0086385, RMSE: nan, NOVELTY: 0.0043957, AVERAGE_POPULARITY: 0.0398332, DIVERSITY_MEAN_INTER_LIST: 0.9880050, DIVERSITY_HERFINDAHL: 0.9980224, COVERAGE_ITEM: 0.8044336, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3226579, SHANNON_ENTROPY: 12.0280052, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2370170, PRECISION: 0.0027431, PRECISION_RECALL_MIN_DEN: 0.0091436, RECALL: 0.0091436, MAP: 0.0041202, MRR: 0.0120199, NDCG: 0.0073846, F1: 0.0042201, HIT_RATE: 0.0274309, ARHR: 0.0121902, RMSE: nan, NOVELTY: 0.0043977, AVERAGE_POPULARITY: 0.0469662, DIVERSITY_MEAN_INTER_LIST: 0.9831055, DIVERSITY_HERFINDAHL: 0.9972179, COVERAGE_ITEM: 0.6722357, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2616419, SHANNON_ENTROPY: 11.3304352, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2370170, PRECISION: 0.0027431, PRECISION_RECALL_MIN_DEN: 0.0091436, RECALL: 0.0091436, MAP: 0.0041202, MRR: 0.0120199, NDCG: 0.0073846, F1: 0.0042201, HIT_RATE: 0.0274309, ARHR: 0.0121902, RMSE: nan, NOVELTY: 0.0043977, AVERAGE_POPULARITY: 0.0469662, DIVERSITY_MEAN_INTER_LIST: 0.9831055, DIVERSITY_HERFINDAHL: 0.9972179, COVERAGE_ITEM: 0.6722357, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2616419, SHANNON_ENTROPY: 11.3304352, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 977, 'shrink': 11, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.053327098314406754, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2356786, PRECISION: 0.0030565, PRECISION_RECALL_MIN_DEN: 0.0101882, RECALL: 0.0101882, MAP: 0.0034913, MRR: 0.0100556, NDCG: 0.0070066, F1: 0.0047022, HIT_RATE: 0.0305645, ARHR: 0.0102647, RMSE: nan, NOVELTY: 0.0042407, AVERAGE_POPULARITY: 0.0481576, DIVERSITY_MEAN_INTER_LIST: 0.9986445, DIVERSITY_HERFINDAHL: 0.9997695, COVERAGE_ITEM: 0.8487699, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3900475, SHANNON_ENTROPY: 12.9094485, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 989, 'shrink': 10, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8116788560394697, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2370170, PRECISION: 0.0027431, PRECISION_RECALL_MIN_DEN: 0.0091436, RECALL: 0.0091436, MAP: 0.0041202, MRR: 0.0120199, NDCG: 0.0073846, F1: 0.0042201, HIT_RATE: 0.0274309, ARHR: 0.0121902, RMSE: nan, NOVELTY: 0.0043977, AVERAGE_POPULARITY: 0.0469662, DIVERSITY_MEAN_INTER_LIST: 0.9831055, DIVERSITY_HERFINDAHL: 0.9972179, COVERAGE_ITEM: 0.6722357, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2616419, SHANNON_ENTROPY: 11.3304352, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 979, 'shrink': 993, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.12093401251515326, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2364667, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037087, MRR: 0.0107473, NDCG: 0.0073711, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109366, RMSE: nan, NOVELTY: 0.0042420, AVERAGE_POPULARITY: 0.0494879, DIVERSITY_MEAN_INTER_LIST: 0.9984743, DIVERSITY_HERFINDAHL: 0.9997416, COVERAGE_ITEM: 0.8435253, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3799652, SHANNON_ENTROPY: 12.8361370, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 975, 'shrink': 38, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.938090897852875, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2356464, PRECISION: 0.0030661, PRECISION_RECALL_MIN_DEN: 0.0102203, RECALL: 0.0102203, MAP: 0.0034916, MRR: 0.0100568, NDCG: 0.0070160, F1: 0.0047171, HIT_RATE: 0.0306609, ARHR: 0.0102658, RMSE: nan, NOVELTY: 0.0042379, AVERAGE_POPULARITY: 0.0482134, DIVERSITY_MEAN_INTER_LIST: 0.9986281, DIVERSITY_HERFINDAHL: 0.9997668, COVERAGE_ITEM: 0.8489321, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3898474, SHANNON_ENTROPY: 12.9044969, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 26, 'shrink': 10, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9165596253312274, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2370950, PRECISION: 0.0032059, PRECISION_RECALL_MIN_DEN: 0.0106863, RECALL: 0.0106863, MAP: 0.0039067, MRR: 0.0113040, NDCG: 0.0076213, F1: 0.0049322, HIT_RATE: 0.0320590, ARHR: 0.0115121, RMSE: nan, NOVELTY: 0.0042710, AVERAGE_POPULARITY: 0.0491994, DIVERSITY_MEAN_INTER_LIST: 0.9976713, DIVERSITY_HERFINDAHL: 0.9996097, COVERAGE_ITEM: 0.7883752, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3479202, SHANNON_ENTROPY: 12.5396428, 
