SearchBayesianSkopt: New best config found. Config 0: {'topK': 12, 'shrink': 1331, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4753285323857609, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0734838, PRECISION: 0.0099602, PRECISION_RECALL_MIN_DEN: 0.0332005, RECALL: 0.0332005, MAP: 0.0176274, MRR: 0.0528821, NDCG: 0.0300239, F1: 0.0153233, HIT_RATE: 0.0996016, ARHR: 0.0528821, RMSE: 0.9846135, NOVELTY: 0.0065149, AVERAGE_POPULARITY: 0.0611862, DIVERSITY_MEAN_INTER_LIST: 0.9920924, DIVERSITY_HERFINDAHL: 0.9988140, COVERAGE_ITEM: 0.0873209, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6949711, SHANNON_ENTROPY: 10.2886856, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 601, 'shrink': 1147, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.09320151643227904, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0283311, PRECISION: 0.0051793, PRECISION_RECALL_MIN_DEN: 0.0172643, RECALL: 0.0172643, MAP: 0.0049875, MRR: 0.0149624, NDCG: 0.0110312, F1: 0.0079681, HIT_RATE: 0.0517928, ARHR: 0.0149624, RMSE: 1.4267570, NOVELTY: 0.0050161, AVERAGE_POPULARITY: 0.7397936, DIVERSITY_MEAN_INTER_LIST: 0.6937625, DIVERSITY_HERFINDAHL: 0.9690999, COVERAGE_ITEM: 0.0073533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2731265, SHANNON_ENTROPY: 5.5858471, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 148, 'shrink': 73, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5453326670835908, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0230190, PRECISION: 0.0047809, PRECISION_RECALL_MIN_DEN: 0.0159363, RECALL: 0.0159363, MAP: 0.0033564, MRR: 0.0100692, NDCG: 0.0087981, F1: 0.0073552, HIT_RATE: 0.0478088, ARHR: 0.0100692, RMSE: 1.1181610, NOVELTY: 0.0040090, AVERAGE_POPULARITY: 0.1700022, DIVERSITY_MEAN_INTER_LIST: 0.9833402, DIVERSITY_HERFINDAHL: 0.9979423, COVERAGE_ITEM: 0.0844553, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6635977, SHANNON_ENTROPY: 10.0414902, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 496, 'shrink': 938, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9136249829009331, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0752545, PRECISION: 0.0131474, PRECISION_RECALL_MIN_DEN: 0.0438247, RECALL: 0.0438247, MAP: 0.0168469, MRR: 0.0505407, NDCG: 0.0324557, F1: 0.0202268, HIT_RATE: 0.1314741, ARHR: 0.0505407, RMSE: 2.5069365, NOVELTY: 0.0061067, AVERAGE_POPULARITY: 0.2422152, DIVERSITY_MEAN_INTER_LIST: 0.9542024, DIVERSITY_HERFINDAHL: 0.9950401, COVERAGE_ITEM: 0.0387132, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4431035, SHANNON_ENTROPY: 8.5581287, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 8, 'shrink': 1417, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3137312674978579, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0598993, PRECISION: 0.0131474, PRECISION_RECALL_MIN_DEN: 0.0438247, RECALL: 0.0438247, MAP: 0.0115064, MRR: 0.0323847, NDCG: 0.0262452, F1: 0.0202268, HIT_RATE: 0.1314741, ARHR: 0.0334519, RMSE: 0.9893267, NOVELTY: 0.0053741, AVERAGE_POPULARITY: 0.5141159, DIVERSITY_MEAN_INTER_LIST: 0.9178677, DIVERSITY_HERFINDAHL: 0.9914211, COVERAGE_ITEM: 0.0181671, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3919137, SHANNON_ENTROPY: 7.4330470, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 735, 'shrink': 1282, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.461845763529823, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0402833, PRECISION: 0.0087649, PRECISION_RECALL_MIN_DEN: 0.0292165, RECALL: 0.0292165, MAP: 0.0093452, MRR: 0.0280355, NDCG: 0.0194003, F1: 0.0134845, HIT_RATE: 0.0876494, ARHR: 0.0280355, RMSE: 0.8794099, NOVELTY: 0.0052231, AVERAGE_POPULARITY: 0.2577683, DIVERSITY_MEAN_INTER_LIST: 0.9669514, DIVERSITY_HERFINDAHL: 0.9963099, COVERAGE_ITEM: 0.0676940, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5547801, SHANNON_ENTROPY: 9.4180592, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 189, 'shrink': 153, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6630846511819024, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0026560, PRECISION: 0.0007968, PRECISION_RECALL_MIN_DEN: 0.0026560, RECALL: 0.0026560, MAP: 0.0003873, MRR: 0.0011620, NDCG: 0.0012558, F1: 0.0012259, HIT_RATE: 0.0079681, ARHR: 0.0011620, RMSE: 7.5495496, NOVELTY: 0.0073909, AVERAGE_POPULARITY: 0.0242677, DIVERSITY_MEAN_INTER_LIST: 0.9737625, DIVERSITY_HERFINDAHL: 0.9969883, COVERAGE_ITEM: 0.0570965, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5239869, SHANNON_ENTROPY: 9.2878568, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 898, 'shrink': 248, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.960871248643633, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0402833, PRECISION: 0.0079681, PRECISION_RECALL_MIN_DEN: 0.0265604, RECALL: 0.0265604, MAP: 0.0062981, MRR: 0.0188943, NDCG: 0.0154664, F1: 0.0122587, HIT_RATE: 0.0796813, ARHR: 0.0188943, RMSE: 0.7291432, NOVELTY: 0.0050559, AVERAGE_POPULARITY: 0.7024183, DIVERSITY_MEAN_INTER_LIST: 0.6783777, DIVERSITY_HERFINDAHL: 0.9675675, COVERAGE_ITEM: 0.0060016, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3071713, SHANNON_ENTROPY: 5.4837001, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 689, 'shrink': 544, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.754659254650115, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0283311, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0044894, MRR: 0.0134683, NDCG: 0.0113236, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0134683, RMSE: 0.8346129, NOVELTY: 0.0049584, AVERAGE_POPULARITY: 0.7805404, DIVERSITY_MEAN_INTER_LIST: 0.5374247, DIVERSITY_HERFINDAHL: 0.9535284, COVERAGE_ITEM: 0.0034604, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3436224, SHANNON_ENTROPY: 4.8367244, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 730, 'shrink': 1247, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.46524022244092567, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0256751, PRECISION: 0.0051793, PRECISION_RECALL_MIN_DEN: 0.0172643, RECALL: 0.0172643, MAP: 0.0046860, MRR: 0.0140581, NDCG: 0.0106479, F1: 0.0079681, HIT_RATE: 0.0517928, ARHR: 0.0140581, RMSE: 0.9024314, NOVELTY: 0.0049325, AVERAGE_POPULARITY: 0.8026311, DIVERSITY_MEAN_INTER_LIST: 0.4881307, DIVERSITY_HERFINDAHL: 0.9486186, COVERAGE_ITEM: 0.0027034, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3756269, SHANNON_ENTROPY: 4.5899032, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 105, 'shrink': 1454, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.00231127003809295, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0442674, PRECISION: 0.0103586, PRECISION_RECALL_MIN_DEN: 0.0345286, RECALL: 0.0345286, MAP: 0.0076172, MRR: 0.0228515, NDCG: 0.0193457, F1: 0.0159363, HIT_RATE: 0.1035857, ARHR: 0.0228515, RMSE: 0.9097079, NOVELTY: 0.0052847, AVERAGE_POPULARITY: 0.5749223, DIVERSITY_MEAN_INTER_LIST: 0.8756558, DIVERSITY_HERFINDAHL: 0.9872167, COVERAGE_ITEM: 0.0169776, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3307279, SHANNON_ENTROPY: 7.0355360, 
SearchBayesianSkopt: New best config found. Config 21: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0962539, PRECISION: 0.0179283, PRECISION_RECALL_MIN_DEN: 0.0597610, RECALL: 0.0597610, MAP: 0.0199641, MRR: 0.0577579, NDCG: 0.0406527, F1: 0.0275820, HIT_RATE: 0.1792829, ARHR: 0.0588250, RMSE: 0.9699004, NOVELTY: 0.0058579, AVERAGE_POPULARITY: 0.3232123, DIVERSITY_MEAN_INTER_LIST: 0.9567873, DIVERSITY_HERFINDAHL: 0.9952975, COVERAGE_ITEM: 0.0313598, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4580233, SHANNON_ENTROPY: 8.3933537, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0962539, PRECISION: 0.0179283, PRECISION_RECALL_MIN_DEN: 0.0597610, RECALL: 0.0597610, MAP: 0.0199641, MRR: 0.0577579, NDCG: 0.0406527, F1: 0.0275820, HIT_RATE: 0.1792829, ARHR: 0.0588250, RMSE: 0.9699004, NOVELTY: 0.0058579, AVERAGE_POPULARITY: 0.3232123, DIVERSITY_MEAN_INTER_LIST: 0.9567873, DIVERSITY_HERFINDAHL: 0.9952975, COVERAGE_ITEM: 0.0313598, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4580233, SHANNON_ENTROPY: 8.3933537, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 29, 'shrink': 1468, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.19319109687091945, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0478088, PRECISION: 0.0095618, PRECISION_RECALL_MIN_DEN: 0.0318725, RECALL: 0.0318725, MAP: 0.0086964, MRR: 0.0260893, NDCG: 0.0197588, F1: 0.0147104, HIT_RATE: 0.0956175, ARHR: 0.0260893, RMSE: 0.9165878, NOVELTY: 0.0051791, AVERAGE_POPULARITY: 0.6302259, DIVERSITY_MEAN_INTER_LIST: 0.8538454, DIVERSITY_HERFINDAHL: 0.9850444, COVERAGE_ITEM: 0.0130846, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3223058, SHANNON_ENTROPY: 6.6684305, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0669267, PRECISION: 0.0095618, PRECISION_RECALL_MIN_DEN: 0.0318725, RECALL: 0.0318725, MAP: 0.0179462, MRR: 0.0525106, NDCG: 0.0296313, F1: 0.0147104, HIT_RATE: 0.0956175, ARHR: 0.0531746, RMSE: 0.9882799, NOVELTY: 0.0068328, AVERAGE_POPULARITY: 0.0644172, DIVERSITY_MEAN_INTER_LIST: 0.9917801, DIVERSITY_HERFINDAHL: 0.9987829, COVERAGE_ITEM: 0.0843471, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6806098, SHANNON_ENTROPY: 10.2281784, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0962539, PRECISION: 0.0179283, PRECISION_RECALL_MIN_DEN: 0.0597610, RECALL: 0.0597610, MAP: 0.0199641, MRR: 0.0577579, NDCG: 0.0406527, F1: 0.0275820, HIT_RATE: 0.1792829, ARHR: 0.0588250, RMSE: 0.9699004, NOVELTY: 0.0058579, AVERAGE_POPULARITY: 0.3232123, DIVERSITY_MEAN_INTER_LIST: 0.9567873, DIVERSITY_HERFINDAHL: 0.9952975, COVERAGE_ITEM: 0.0313598, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4580233, SHANNON_ENTROPY: 8.3933537, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 11, 'shrink': 1431, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9139319094213258, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0681718, PRECISION: 0.0095618, PRECISION_RECALL_MIN_DEN: 0.0318725, RECALL: 0.0318725, MAP: 0.0134067, MRR: 0.0402201, NDCG: 0.0251134, F1: 0.0147104, HIT_RATE: 0.0956175, ARHR: 0.0402201, RMSE: 0.8268585, NOVELTY: 0.0063701, AVERAGE_POPULARITY: 0.1460925, DIVERSITY_MEAN_INTER_LIST: 0.9607745, DIVERSITY_HERFINDAHL: 0.9956947, COVERAGE_ITEM: 0.0421736, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4623799, SHANNON_ENTROPY: 8.7397217, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0669267, PRECISION: 0.0095618, PRECISION_RECALL_MIN_DEN: 0.0318725, RECALL: 0.0318725, MAP: 0.0179462, MRR: 0.0525106, NDCG: 0.0296313, F1: 0.0147104, HIT_RATE: 0.0956175, ARHR: 0.0531746, RMSE: 0.9882799, NOVELTY: 0.0068328, AVERAGE_POPULARITY: 0.0644172, DIVERSITY_MEAN_INTER_LIST: 0.9917801, DIVERSITY_HERFINDAHL: 0.9987829, COVERAGE_ITEM: 0.0843471, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6806098, SHANNON_ENTROPY: 10.2281784, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 985, 'shrink': 1481, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8292796534903548, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0460381, PRECISION: 0.0067729, PRECISION_RECALL_MIN_DEN: 0.0225764, RECALL: 0.0225764, MAP: 0.0108381, MRR: 0.0325144, NDCG: 0.0191284, F1: 0.0104199, HIT_RATE: 0.0677291, ARHR: 0.0325144, RMSE: 0.5906570, NOVELTY: 0.0064013, AVERAGE_POPULARITY: 0.1284161, DIVERSITY_MEAN_INTER_LIST: 0.8994454, DIVERSITY_HERFINDAHL: 0.9895862, COVERAGE_ITEM: 0.0212490, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3612312, SHANNON_ENTROPY: 7.4445661, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0962539, PRECISION: 0.0179283, PRECISION_RECALL_MIN_DEN: 0.0597610, RECALL: 0.0597610, MAP: 0.0199641, MRR: 0.0577579, NDCG: 0.0406527, F1: 0.0275820, HIT_RATE: 0.1792829, ARHR: 0.0588250, RMSE: 0.9699004, NOVELTY: 0.0058579, AVERAGE_POPULARITY: 0.3232123, DIVERSITY_MEAN_INTER_LIST: 0.9567873, DIVERSITY_HERFINDAHL: 0.9952975, COVERAGE_ITEM: 0.0313598, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4580233, SHANNON_ENTROPY: 8.3933537, 
