CrossSearchBayesianSkoptObject: New best config found. Config 0: {'ItemAvgLT23': 0, 'ItemAvgOld': 9} - results: ROC_AUC: 0.055435±0.0024, PRECISION: 0.008722±0.0004, PRECISION_RECALL_MIN_DEN: 0.087218±0.0038, RECALL: 0.087218±0.0038, MAP: 0.036811±0.0022, MRR: 0.036811±0.0022, NDCG: 0.048546±0.0025, F1: 0.015858±0.0007, HIT_RATE: 0.087218±0.0038, ARHR: 0.036811±0.0022, RMSE: 0.929899±0.0053, NOVELTY: 0.006038±0.0000, AVERAGE_POPULARITY: 0.301215±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.975381±0.0001, DIVERSITY_HERFINDAHL: 0.997516±0.0000, COVERAGE_ITEM: 0.157859±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.229344±0.0012, SHANNON_ENTROPY: 9.642087±0.0016, 
CrossSearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'ItemAvgLT23': 1, 'ItemAvgOld': 20} - results: ROC_AUC: 0.055581±0.0024, PRECISION: 0.008780±0.0004, PRECISION_RECALL_MIN_DEN: 0.087805±0.0039, RECALL: 0.087805±0.0039, MAP: 0.036925±0.0022, MRR: 0.036925±0.0022, NDCG: 0.048763±0.0025, F1: 0.015965±0.0007, HIT_RATE: 0.087805±0.0039, ARHR: 0.036925±0.0022, RMSE: 1.222791±0.0154, NOVELTY: 0.006043±0.0000, AVERAGE_POPULARITY: 0.299409±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.975619±0.0001, DIVERSITY_HERFINDAHL: 0.997540±0.0000, COVERAGE_ITEM: 0.157124±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.231353±0.0014, SHANNON_ENTROPY: 9.651897±0.0014, 
CrossSearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'ItemAvgLT23': 13, 'ItemAvgOld': 11} - results: ROC_AUC: 0.056504±0.0023, PRECISION: 0.008803±0.0004, PRECISION_RECALL_MIN_DEN: 0.088031±0.0044, RECALL: 0.088031±0.0044, MAP: 0.037794±0.0018, MRR: 0.037794±0.0018, NDCG: 0.049499±0.0023, F1: 0.016006±0.0008, HIT_RATE: 0.088031±0.0044, ARHR: 0.037794±0.0018, RMSE: 1.266364±0.0182, NOVELTY: 0.006108±0.0000, AVERAGE_POPULARITY: 0.279122±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.978259±0.0001, DIVERSITY_HERFINDAHL: 0.997804±0.0000, COVERAGE_ITEM: 0.156788±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.247629±0.0016, SHANNON_ENTROPY: 9.776313±0.0027, 
CrossSearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'ItemAvgLT23': 17, 'ItemAvgOld': 13} - results: ROC_AUC: 0.056554±0.0024, PRECISION: 0.008785±0.0004, PRECISION_RECALL_MIN_DEN: 0.087850±0.0045, RECALL: 0.087850±0.0045, MAP: 0.037739±0.0018, MRR: 0.037739±0.0018, NDCG: 0.049422±0.0024, F1: 0.015973±0.0008, HIT_RATE: 0.087850±0.0045, ARHR: 0.037739±0.0018, RMSE: 1.427947±0.0232, NOVELTY: 0.006112±0.0000, AVERAGE_POPULARITY: 0.278049±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.978395±0.0001, DIVERSITY_HERFINDAHL: 0.997817±0.0000, COVERAGE_ITEM: 0.156994±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.248246±0.0017, SHANNON_ENTROPY: 9.783092±0.0029, 
CrossSearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'ItemAvgLT23': 10, 'ItemAvgOld': 14} - results: ROC_AUC: 0.056359±0.0025, PRECISION: 0.008790±0.0005, PRECISION_RECALL_MIN_DEN: 0.087895±0.0045, RECALL: 0.087895±0.0045, MAP: 0.037586±0.0021, MRR: 0.037586±0.0021, NDCG: 0.049307±0.0026, F1: 0.015981±0.0008, HIT_RATE: 0.087895±0.0045, ARHR: 0.037586±0.0021, RMSE: 1.276179±0.0181, NOVELTY: 0.006089±0.0000, AVERAGE_POPULARITY: 0.284506±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.977583±0.0001, DIVERSITY_HERFINDAHL: 0.997736±0.0000, COVERAGE_ITEM: 0.155383±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244322±0.0017, SHANNON_ENTROPY: 9.739279±0.0026, 
CrossSearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'ItemAvgLT23': 21, 'ItemAvgOld': 2} - results: ROC_AUC: 0.056564±0.0026, PRECISION: 0.008785±0.0005, PRECISION_RECALL_MIN_DEN: 0.087850±0.0047, RECALL: 0.087850±0.0047, MAP: 0.037813±0.0022, MRR: 0.037813±0.0022, NDCG: 0.049481±0.0027, F1: 0.015973±0.0009, HIT_RATE: 0.087850±0.0047, ARHR: 0.037813±0.0022, RMSE: 1.220411±0.0171, NOVELTY: 0.006171±0.0000, AVERAGE_POPULARITY: 0.263497±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.980247±0.0001, DIVERSITY_HERFINDAHL: 0.998003±0.0000, COVERAGE_ITEM: 0.167007±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.252028±0.0011, SHANNON_ENTROPY: 9.899400±0.0042, 
CrossSearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'ItemAvgLT23': 5, 'ItemAvgOld': 21} - results: ROC_AUC: 0.055922±0.0025, PRECISION: 0.008839±0.0004, PRECISION_RECALL_MIN_DEN: 0.088392±0.0038, RECALL: 0.088392±0.0038, MAP: 0.037268±0.0022, MRR: 0.037268±0.0022, NDCG: 0.049158±0.0025, F1: 0.016071±0.0007, HIT_RATE: 0.088392±0.0038, ARHR: 0.037268±0.0022, RMSE: 1.354812±0.0196, NOVELTY: 0.006059±0.0000, AVERAGE_POPULARITY: 0.293709±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.976362±0.0001, DIVERSITY_HERFINDAHL: 0.997614±0.0000, COVERAGE_ITEM: 0.155696±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236659±0.0012, SHANNON_ENTROPY: 9.682665±0.0023, 
CrossSearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'ItemAvgLT23': 19, 'ItemAvgOld': 15} - results: ROC_AUC: 0.056559±0.0024, PRECISION: 0.008794±0.0004, PRECISION_RECALL_MIN_DEN: 0.087940±0.0045, RECALL: 0.087940±0.0045, MAP: 0.037774±0.0018, MRR: 0.037774±0.0018, NDCG: 0.049467±0.0024, F1: 0.015989±0.0008, HIT_RATE: 0.087940±0.0045, ARHR: 0.037774±0.0018, RMSE: 1.542290±0.0264, NOVELTY: 0.006111±0.0000, AVERAGE_POPULARITY: 0.278351±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.978353±0.0001, DIVERSITY_HERFINDAHL: 0.997813±0.0000, COVERAGE_ITEM: 0.156940±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.248073±0.0017, SHANNON_ENTROPY: 9.781149±0.0027, 
CrossSearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'ItemAvgLT23': 18, 'ItemAvgOld': 19} - results: ROC_AUC: 0.056444±0.0025, PRECISION: 0.008790±0.0005, PRECISION_RECALL_MIN_DEN: 0.087895±0.0049, RECALL: 0.087895±0.0049, MAP: 0.037761±0.0019, MRR: 0.037761±0.0019, NDCG: 0.049441±0.0025, F1: 0.015981±0.0009, HIT_RATE: 0.087895±0.0049, ARHR: 0.037761±0.0019, RMSE: 1.640274±0.0288, NOVELTY: 0.006100±0.0000, AVERAGE_POPULARITY: 0.281532±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.977971±0.0001, DIVERSITY_HERFINDAHL: 0.997775±0.0000, COVERAGE_ITEM: 0.156096±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246246±0.0014, SHANNON_ENTROPY: 9.760051±0.0029, 
CrossSearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'ItemAvgLT23': 8, 'ItemAvgOld': 16} - results: ROC_AUC: 0.056133±0.0025, PRECISION: 0.008821±0.0004, PRECISION_RECALL_MIN_DEN: 0.088211±0.0040, RECALL: 0.088211±0.0040, MAP: 0.037461±0.0020, MRR: 0.037461±0.0020, NDCG: 0.049272±0.0024, F1: 0.016038±0.0007, HIT_RATE: 0.088211±0.0040, ARHR: 0.037461±0.0020, RMSE: 1.283345±0.0180, NOVELTY: 0.006077±0.0000, AVERAGE_POPULARITY: 0.288010±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.977107±0.0001, DIVERSITY_HERFINDAHL: 0.997689±0.0000, COVERAGE_ITEM: 0.154982±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.241789±0.0011, SHANNON_ENTROPY: 9.716142±0.0011, 
CrossSearchBayesianSkoptObject: New best config found. Config 20: {'ItemAvgLT23': 19, 'ItemAvgOld': 17} - results: ROC_AUC: 0.056524±0.0024, PRECISION: 0.008812±0.0004, PRECISION_RECALL_MIN_DEN: 0.088121±0.0044, RECALL: 0.088121±0.0044, MAP: 0.037820±0.0018, MRR: 0.037820±0.0018, NDCG: 0.049537±0.0024, F1: 0.016022±0.0008, HIT_RATE: 0.088121±0.0044, ARHR: 0.037820±0.0018, RMSE: 1.604539±0.0280, NOVELTY: 0.006107±0.0000, AVERAGE_POPULARITY: 0.279625±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.978196±0.0001, DIVERSITY_HERFINDAHL: 0.997798±0.0000, COVERAGE_ITEM: 0.156486±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.247525±0.0016, SHANNON_ENTROPY: 9.772635±0.0032, 
CrossSearchBayesianSkoptObject: New best config found. Config 21: {'ItemAvgLT23': 7, 'ItemAvgOld': 4} - results: ROC_AUC: 0.056594±0.0024, PRECISION: 0.008803±0.0004, PRECISION_RECALL_MIN_DEN: 0.088031±0.0039, RECALL: 0.088031±0.0039, MAP: 0.037826±0.0019, MRR: 0.037826±0.0019, NDCG: 0.049528±0.0023, F1: 0.016006±0.0007, HIT_RATE: 0.088031±0.0039, ARHR: 0.037826±0.0019, RMSE: 0.962096±0.0070, NOVELTY: 0.006124±0.0000, AVERAGE_POPULARITY: 0.275059±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.978763±0.0001, DIVERSITY_HERFINDAHL: 0.997854±0.0000, COVERAGE_ITEM: 0.158237±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.249628±0.0016, SHANNON_ENTROPY: 9.804523±0.0046, 
CrossSearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'ItemAvgLT23': 9, 'ItemAvgOld': 13} - results: ROC_AUC: 0.056318±0.0025, PRECISION: 0.008790±0.0004, PRECISION_RECALL_MIN_DEN: 0.087895±0.0044, RECALL: 0.087895±0.0044, MAP: 0.037564±0.0021, MRR: 0.037564±0.0021, NDCG: 0.049288±0.0025, F1: 0.015981±0.0008, HIT_RATE: 0.087895±0.0044, ARHR: 0.037564±0.0021, RMSE: 1.222617±0.0165, NOVELTY: 0.006088±0.0000, AVERAGE_POPULARITY: 0.284827±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.977541±0.0001, DIVERSITY_HERFINDAHL: 0.997732±0.0000, COVERAGE_ITEM: 0.155437±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.243969±0.0016, SHANNON_ENTROPY: 9.737219±0.0023, 
CrossSearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'ItemAvgLT23': 12, 'ItemAvgOld': 4} - results: ROC_AUC: 0.056504±0.0024, PRECISION: 0.008780±0.0004, PRECISION_RECALL_MIN_DEN: 0.087805±0.0042, RECALL: 0.087805±0.0042, MAP: 0.037693±0.0019, MRR: 0.037693±0.0019, NDCG: 0.049380±0.0024, F1: 0.015965±0.0008, HIT_RATE: 0.087805±0.0042, ARHR: 0.037693±0.0019, RMSE: 1.061758±0.0114, NOVELTY: 0.006143±0.0000, AVERAGE_POPULARITY: 0.270178±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.979383±0.0001, DIVERSITY_HERFINDAHL: 0.997916±0.0000, COVERAGE_ITEM: 0.161016±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.251219±0.0017, SHANNON_ENTROPY: 9.841458±0.0038, 
CrossSearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'ItemAvgLT23': 11, 'ItemAvgOld': 8} - results: ROC_AUC: 0.056554±0.0024, PRECISION: 0.008799±0.0004, PRECISION_RECALL_MIN_DEN: 0.087986±0.0045, RECALL: 0.087986±0.0045, MAP: 0.037724±0.0019, MRR: 0.037724±0.0019, NDCG: 0.049441±0.0024, F1: 0.015997±0.0008, HIT_RATE: 0.087986±0.0045, ARHR: 0.037724±0.0019, RMSE: 1.136420±0.0139, NOVELTY: 0.006114±0.0000, AVERAGE_POPULARITY: 0.277506±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.978462±0.0001, DIVERSITY_HERFINDAHL: 0.997824±0.0000, COVERAGE_ITEM: 0.157156±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.248520±0.0018, SHANNON_ENTROPY: 9.786685±0.0030, 
CrossSearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'ItemAvgLT23': 5, 'ItemAvgOld': 2} - results: ROC_AUC: 0.056574±0.0024, PRECISION: 0.008812±0.0004, PRECISION_RECALL_MIN_DEN: 0.088121±0.0042, RECALL: 0.088121±0.0042, MAP: 0.037781±0.0019, MRR: 0.037781±0.0019, NDCG: 0.049516±0.0024, F1: 0.016022±0.0008, HIT_RATE: 0.088121±0.0042, ARHR: 0.037781±0.0019, RMSE: 0.907523±0.0030, NOVELTY: 0.006137±0.0000, AVERAGE_POPULARITY: 0.271698±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.979184±0.0001, DIVERSITY_HERFINDAHL: 0.997896±0.0000, COVERAGE_ITEM: 0.160076±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.250794±0.0018, SHANNON_ENTROPY: 9.829654±0.0034, 
CrossSearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'ItemAvgLT23': 16, 'ItemAvgOld': 17} - results: ROC_AUC: 0.056464±0.0025, PRECISION: 0.008790±0.0005, PRECISION_RECALL_MIN_DEN: 0.087895±0.0049, RECALL: 0.087895±0.0049, MAP: 0.037767±0.0019, MRR: 0.037767±0.0019, NDCG: 0.049446±0.0025, F1: 0.015981±0.0009, HIT_RATE: 0.087895±0.0049, ARHR: 0.037767±0.0019, RMSE: 1.523504±0.0256, NOVELTY: 0.006099±0.0000, AVERAGE_POPULARITY: 0.281614±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.977958±0.0001, DIVERSITY_HERFINDAHL: 0.997774±0.0000, COVERAGE_ITEM: 0.156107±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246168±0.0014, SHANNON_ENTROPY: 9.759521±0.0029, 
CrossSearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'ItemAvgLT23': 6, 'ItemAvgOld': 16} - results: ROC_AUC: 0.056067±0.0025, PRECISION: 0.008835±0.0004, PRECISION_RECALL_MIN_DEN: 0.088347±0.0040, RECALL: 0.088347±0.0040, MAP: 0.037276±0.0022, MRR: 0.037276±0.0022, NDCG: 0.049160±0.0025, F1: 0.016063±0.0007, HIT_RATE: 0.088347±0.0040, ARHR: 0.037276±0.0022, RMSE: 1.232841±0.0163, NOVELTY: 0.006069±0.0000, AVERAGE_POPULARITY: 0.290573±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.976791±0.0001, DIVERSITY_HERFINDAHL: 0.997657±0.0000, COVERAGE_ITEM: 0.154993±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239778±0.0009, SHANNON_ENTROPY: 9.700868±0.0008, 
CrossSearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'ItemAvgLT23': 2, 'ItemAvgOld': 16} - results: ROC_AUC: 0.055741±0.0025, PRECISION: 0.008812±0.0004, PRECISION_RECALL_MIN_DEN: 0.088121±0.0038, RECALL: 0.088121±0.0038, MAP: 0.037135±0.0022, MRR: 0.037135±0.0022, NDCG: 0.048992±0.0025, F1: 0.016022±0.0007, HIT_RATE: 0.088121±0.0038, ARHR: 0.037135±0.0022, RMSE: 1.134897±0.0130, NOVELTY: 0.006050±0.0000, AVERAGE_POPULARITY: 0.296815±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.975952±0.0001, DIVERSITY_HERFINDAHL: 0.997573±0.0000, COVERAGE_ITEM: 0.156313±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.233833±0.0014, SHANNON_ENTROPY: 9.665236±0.0020, 
