SearchBayesianSkopt: New best config found. Config 0: {'topK': 688, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 4.3314817961803276e-05, 'lambda_j': 0.029607912764029538, 'learning_rate': 0.00040137805663606214} - results: ROC_AUC: 0.0913174, PRECISION: 0.0149688, PRECISION_RECALL_MIN_DEN: 0.0498960, RECALL: 0.0498960, MAP: 0.0242401, MRR: 0.0670605, NDCG: 0.0414953, F1: 0.0230289, HIT_RATE: 0.1496880, ARHR: 0.0698437, RMSE: 0.9224656, NOVELTY: 0.0052720, AVERAGE_POPULARITY: 0.6488170, DIVERSITY_MEAN_INTER_LIST: 0.8454034, DIVERSITY_HERFINDAHL: 0.9845351, COVERAGE_ITEM: 0.2658016, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0723801, SHANNON_ENTROPY: 7.4905966, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 6, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.4184210327003768, 'lambda_j': 0.963539838102486, 'learning_rate': 0.0001813914844399668} - results: ROC_AUC: 0.1019579, PRECISION: 0.0158028, PRECISION_RECALL_MIN_DEN: 0.0526760, RECALL: 0.0526760, MAP: 0.0269492, MRR: 0.0741431, NDCG: 0.0452535, F1: 0.0243120, HIT_RATE: 0.1580280, ARHR: 0.0774402, RMSE: 0.9847982, NOVELTY: 0.0061279, AVERAGE_POPULARITY: 0.3427577, DIVERSITY_MEAN_INTER_LIST: 0.9686176, DIVERSITY_HERFINDAHL: 0.9968558, COVERAGE_ITEM: 0.3917275, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1595445, SHANNON_ENTROPY: 9.8998520, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 121, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 2.94646469870301e-06, 'lambda_j': 4.6781549558205595e-06, 'learning_rate': 6.91932517251311e-05} - results: ROC_AUC: 0.1014432, PRECISION: 0.0161858, PRECISION_RECALL_MIN_DEN: 0.0539528, RECALL: 0.0539528, MAP: 0.0266465, MRR: 0.0730675, NDCG: 0.0452730, F1: 0.0249013, HIT_RATE: 0.1618583, ARHR: 0.0764277, RMSE: 0.9995467, NOVELTY: 0.0058031, AVERAGE_POPULARITY: 0.4502669, DIVERSITY_MEAN_INTER_LIST: 0.9522765, DIVERSITY_HERFINDAHL: 0.9952218, COVERAGE_ITEM: 0.3949175, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1548176, SHANNON_ENTROPY: 9.5458741, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1561, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.4204415709366513, 'lambda_j': 1.6715880040274315e-06, 'learning_rate': 1.097898777841507e-05} - results: ROC_AUC: 0.0909929, PRECISION: 0.0148082, PRECISION_RECALL_MIN_DEN: 0.0493606, RECALL: 0.0493606, MAP: 0.0237418, MRR: 0.0656578, NDCG: 0.0408224, F1: 0.0227818, HIT_RATE: 0.1480818, ARHR: 0.0683872, RMSE: 0.9967646, NOVELTY: 0.0052283, AVERAGE_POPULARITY: 0.6755583, DIVERSITY_MEAN_INTER_LIST: 0.8146110, DIVERSITY_HERFINDAHL: 0.9814561, COVERAGE_ITEM: 0.2579616, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0661097, SHANNON_ENTROPY: 7.2046252, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1958, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.809229675752487e-06, 'lambda_j': 0.1524209613481971, 'learning_rate': 1.0422458479586813e-05} - results: ROC_AUC: 0.0967656, PRECISION: 0.0155248, PRECISION_RECALL_MIN_DEN: 0.0517493, RECALL: 0.0517493, MAP: 0.0253060, MRR: 0.0699321, NDCG: 0.0432405, F1: 0.0238843, HIT_RATE: 0.1552480, ARHR: 0.0728671, RMSE: 0.9998424, NOVELTY: 0.0054842, AVERAGE_POPULARITY: 0.5869882, DIVERSITY_MEAN_INTER_LIST: 0.8774762, DIVERSITY_HERFINDAHL: 0.9877422, COVERAGE_ITEM: 0.3705326, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1099562, SHANNON_ENTROPY: 8.2711632, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.0, 'lambda_j': 1.0, 'learning_rate': 5.621795751810889e-05} - results: ROC_AUC: 0.1029343, PRECISION: 0.0154507, PRECISION_RECALL_MIN_DEN: 0.0515022, RECALL: 0.0515022, MAP: 0.0269877, MRR: 0.0744477, NDCG: 0.0449841, F1: 0.0237703, HIT_RATE: 0.1545067, ARHR: 0.0776425, RMSE: 0.9998663, NOVELTY: 0.0065196, AVERAGE_POPULARITY: 0.2446697, DIVERSITY_MEAN_INTER_LIST: 0.9778003, DIVERSITY_HERFINDAHL: 0.9977740, COVERAGE_ITEM: 0.3868072, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1998117, SHANNON_ENTROPY: 10.4439539, 
SearchBayesianSkopt: New best config found. Config 16: {'topK': 10, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.6893323214774385, 'lambda_j': 3.7453749998335963e-06, 'learning_rate': 4.354924742068877e-05} - results: ROC_AUC: 0.1077907, PRECISION: 0.0166183, PRECISION_RECALL_MIN_DEN: 0.0553942, RECALL: 0.0553942, MAP: 0.0281632, MRR: 0.0774872, NDCG: 0.0474139, F1: 0.0255666, HIT_RATE: 0.1661827, ARHR: 0.0809136, RMSE: 0.9999423, NOVELTY: 0.0061367, AVERAGE_POPULARITY: 0.3100781, DIVERSITY_MEAN_INTER_LIST: 0.9760588, DIVERSITY_HERFINDAHL: 0.9975999, COVERAGE_ITEM: 0.3891322, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1813631, SHANNON_ENTROPY: 10.2292610, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 45, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 3.4821744718848078e-06, 'lambda_j': 2.50754847675024e-06, 'learning_rate': 0.0003934827581387055} - results: ROC_AUC: 0.0986168, PRECISION: 0.0158522, PRECISION_RECALL_MIN_DEN: 0.0528408, RECALL: 0.0528408, MAP: 0.0259054, MRR: 0.0713022, NDCG: 0.0441800, F1: 0.0243880, HIT_RATE: 0.1585223, ARHR: 0.0744525, RMSE: 0.9540682, NOVELTY: 0.0057140, AVERAGE_POPULARITY: 0.4754960, DIVERSITY_MEAN_INTER_LIST: 0.9447377, DIVERSITY_HERFINDAHL: 0.9944679, COVERAGE_ITEM: 0.3817248, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1366853, SHANNON_ENTROPY: 9.2679332, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 1.0, 'learning_rate': 4.6961879928853095e-05} - results: ROC_AUC: 0.1021106, PRECISION: 0.0157287, PRECISION_RECALL_MIN_DEN: 0.0524289, RECALL: 0.0524289, MAP: 0.0269119, MRR: 0.0740988, NDCG: 0.0451559, F1: 0.0241980, HIT_RATE: 0.1572867, ARHR: 0.0773698, RMSE: 0.9976267, NOVELTY: 0.0060837, AVERAGE_POPULARITY: 0.3238270, DIVERSITY_MEAN_INTER_LIST: 0.9547928, DIVERSITY_HERFINDAHL: 0.9954734, COVERAGE_ITEM: 0.3148418, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1477889, SHANNON_ENTROPY: 9.4739019, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1961, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.1476534610853334, 'lambda_j': 0.9726930279760135, 'learning_rate': 0.0001688085377601678} - results: ROC_AUC: 0.0922856, PRECISION: 0.0150306, PRECISION_RECALL_MIN_DEN: 0.0501019, RECALL: 0.0501019, MAP: 0.0243635, MRR: 0.0672372, NDCG: 0.0416826, F1: 0.0231240, HIT_RATE: 0.1503058, ARHR: 0.0701143, RMSE: 0.9166411, NOVELTY: 0.0053281, AVERAGE_POPULARITY: 0.6489530, DIVERSITY_MEAN_INTER_LIST: 0.8261852, DIVERSITY_HERFINDAHL: 0.9826134, COVERAGE_ITEM: 0.3309002, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0842177, SHANNON_ENTROPY: 7.5617739, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 16, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.9555869990825972e-06, 'lambda_j': 1.4296068094826856e-06, 'learning_rate': 0.00011286705826512526} - results: ROC_AUC: 0.1071893, PRECISION: 0.0169519, PRECISION_RECALL_MIN_DEN: 0.0565062, RECALL: 0.0565062, MAP: 0.0280264, MRR: 0.0771214, NDCG: 0.0475971, F1: 0.0260798, HIT_RATE: 0.1695187, ARHR: 0.0805237, RMSE: 0.9998316, NOVELTY: 0.0059858, AVERAGE_POPULARITY: 0.3559928, DIVERSITY_MEAN_INTER_LIST: 0.9741555, DIVERSITY_HERFINDAHL: 0.9974095, COVERAGE_ITEM: 0.3858340, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1674251, SHANNON_ENTROPY: 10.0759011, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 21, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.27959274026663167, 'lambda_j': 0.5424092934483012, 'learning_rate': 0.0007304902516525035} - results: ROC_AUC: 0.1032136, PRECISION: 0.0161920, PRECISION_RECALL_MIN_DEN: 0.0539734, RECALL: 0.0539734, MAP: 0.0268858, MRR: 0.0741854, NDCG: 0.0456389, F1: 0.0249108, HIT_RATE: 0.1619201, ARHR: 0.0773598, RMSE: 0.9977747, NOVELTY: 0.0062216, AVERAGE_POPULARITY: 0.3213844, DIVERSITY_MEAN_INTER_LIST: 0.9789611, DIVERSITY_HERFINDAHL: 0.9978901, COVERAGE_ITEM: 0.4239524, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2038298, SHANNON_ENTROPY: 10.5159116, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 37, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.0290350829779565e-06, 'lambda_j': 0.17567212561984297, 'learning_rate': 7.367367849600329e-05} - results: ROC_AUC: 0.1035615, PRECISION: 0.0164577, PRECISION_RECALL_MIN_DEN: 0.0548588, RECALL: 0.0548588, MAP: 0.0273503, MRR: 0.0752411, NDCG: 0.0463400, F1: 0.0253195, HIT_RATE: 0.1645765, ARHR: 0.0785819, RMSE: 0.9996869, NOVELTY: 0.0060272, AVERAGE_POPULARITY: 0.3776180, DIVERSITY_MEAN_INTER_LIST: 0.9696341, DIVERSITY_HERFINDAHL: 0.9969574, COVERAGE_ITEM: 0.4126521, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1822808, SHANNON_ENTROPY: 10.1152263, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.0, 'lambda_j': 1.0, 'learning_rate': 6.102725405703397e-05} - results: ROC_AUC: 0.1039093, PRECISION: 0.0156484, PRECISION_RECALL_MIN_DEN: 0.0521612, RECALL: 0.0521612, MAP: 0.0274017, MRR: 0.0751715, NDCG: 0.0455603, F1: 0.0240744, HIT_RATE: 0.1564836, ARHR: 0.0786183, RMSE: 0.9999308, NOVELTY: 0.0063356, AVERAGE_POPULARITY: 0.2395261, DIVERSITY_MEAN_INTER_LIST: 0.9557807, DIVERSITY_HERFINDAHL: 0.9955722, COVERAGE_ITEM: 0.3354420, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1905386, SHANNON_ENTROPY: 9.9479240, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 64, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 2.0611757818131597e-06, 'lambda_j': 6.432128954453242e-05, 'learning_rate': 1.0043701750725282e-05} - results: ROC_AUC: 0.1026340, PRECISION: 0.0161488, PRECISION_RECALL_MIN_DEN: 0.0538292, RECALL: 0.0538292, MAP: 0.0268438, MRR: 0.0742505, NDCG: 0.0455548, F1: 0.0248442, HIT_RATE: 0.1614876, ARHR: 0.0773305, RMSE: 0.9999483, NOVELTY: 0.0059193, AVERAGE_POPULARITY: 0.4126876, DIVERSITY_MEAN_INTER_LIST: 0.9619369, DIVERSITY_HERFINDAHL: 0.9961877, COVERAGE_ITEM: 0.4049743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1695023, SHANNON_ENTROPY: 9.8510631, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 13, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.8094353678491898, 'lambda_j': 2.813324897166859e-06, 'learning_rate': 0.0003494514186419965} - results: ROC_AUC: 0.1068329, PRECISION: 0.0167418, PRECISION_RECALL_MIN_DEN: 0.0558061, RECALL: 0.0558061, MAP: 0.0279969, MRR: 0.0769652, NDCG: 0.0473417, F1: 0.0257567, HIT_RATE: 0.1674183, ARHR: 0.0803985, RMSE: 0.9995633, NOVELTY: 0.0060838, AVERAGE_POPULARITY: 0.3255478, DIVERSITY_MEAN_INTER_LIST: 0.9773900, DIVERSITY_HERFINDAHL: 0.9977330, COVERAGE_ITEM: 0.3917816, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1797247, SHANNON_ENTROPY: 10.2493368, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 21, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.00017539299684342857, 'lambda_j': 0.9676170691907149, 'learning_rate': 0.0029572781021854227} - results: ROC_AUC: 0.1014779, PRECISION: 0.0163712, PRECISION_RECALL_MIN_DEN: 0.0545705, RECALL: 0.0545705, MAP: 0.0265569, MRR: 0.0731473, NDCG: 0.0454208, F1: 0.0251864, HIT_RATE: 0.1637116, ARHR: 0.0763527, RMSE: 0.9987257, NOVELTY: 0.0056974, AVERAGE_POPULARITY: 0.4560868, DIVERSITY_MEAN_INTER_LIST: 0.9539490, DIVERSITY_HERFINDAHL: 0.9953890, COVERAGE_ITEM: 0.3549608, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1298951, SHANNON_ENTROPY: 9.3344556, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.0, 'lambda_j': 1.0, 'learning_rate': 7.901943815689293e-05} - results: ROC_AUC: 0.1029241, PRECISION: 0.0160067, PRECISION_RECALL_MIN_DEN: 0.0533556, RECALL: 0.0533556, MAP: 0.0270156, MRR: 0.0744289, NDCG: 0.0455550, F1: 0.0246256, HIT_RATE: 0.1600667, ARHR: 0.0776766, RMSE: 0.9962327, NOVELTY: 0.0060849, AVERAGE_POPULARITY: 0.3246881, DIVERSITY_MEAN_INTER_LIST: 0.9544095, DIVERSITY_HERFINDAHL: 0.9954351, COVERAGE_ITEM: 0.3157069, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1494550, SHANNON_ENTROPY: 9.4786457, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 1929, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.9129696130749199, 'lambda_j': 1.3033394952102862e-06, 'learning_rate': 0.004560229548454912} - results: ROC_AUC: 0.0519729, PRECISION: 0.0094335, PRECISION_RECALL_MIN_DEN: 0.0314450, RECALL: 0.0314450, MAP: 0.0115287, MRR: 0.0327146, NDCG: 0.0223747, F1: 0.0145131, HIT_RATE: 0.0943350, ARHR: 0.0336375, RMSE: 0.9593661, NOVELTY: 0.0056828, AVERAGE_POPULARITY: 0.5093134, DIVERSITY_MEAN_INTER_LIST: 0.9296903, DIVERSITY_HERFINDAHL: 0.9929633, COVERAGE_ITEM: 0.4178427, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1514264, SHANNON_ENTROPY: 9.1777201, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 22, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.8799959615893332, 'lambda_j': 0.7370207865691921, 'learning_rate': 1.0154429244857176e-05} - results: ROC_AUC: 0.1070956, PRECISION: 0.0168963, PRECISION_RECALL_MIN_DEN: 0.0563209, RECALL: 0.0563209, MAP: 0.0280949, MRR: 0.0770335, NDCG: 0.0475738, F1: 0.0259943, HIT_RATE: 0.1689627, ARHR: 0.0805892, RMSE: 0.9999836, NOVELTY: 0.0058972, AVERAGE_POPULARITY: 0.3827823, DIVERSITY_MEAN_INTER_LIST: 0.9708351, DIVERSITY_HERFINDAHL: 0.9970775, COVERAGE_ITEM: 0.3795080, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1604132, SHANNON_ENTROPY: 9.9445893, 
