CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2129, 'shrink': 1102, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.5006135572348298, 'tversky_beta': 0.37331649326443045} - results: ROC_AUC: 0.023582±0.0008, PRECISION: 0.003871±0.0001, PRECISION_RECALL_MIN_DEN: 0.038708±0.0010, RECALL: 0.038708±0.0010, MAP: 0.014798±0.0005, MRR: 0.014798±0.0005, NDCG: 0.020359±0.0006, F1: 0.007038±0.0002, HIT_RATE: 0.038708±0.0010, ARHR: 0.014798±0.0005, RMSE: 2.344024±0.0324, NOVELTY: 0.005094±0.0000, AVERAGE_POPULARITY: 0.693366±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.843306±0.0003, DIVERSITY_HERFINDAHL: 0.984312±0.0000, COVERAGE_ITEM: 0.037935±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128898±0.0007, SHANNON_ENTROPY: 6.769834±0.0025, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 2535, 'shrink': 104, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.9566769815525122, 'tversky_beta': 1.2542579651528578} - results: ROC_AUC: 0.023663±0.0011, PRECISION: 0.003853±0.0001, PRECISION_RECALL_MIN_DEN: 0.038528±0.0007, RECALL: 0.038528±0.0007, MAP: 0.015089±0.0005, MRR: 0.015089±0.0005, NDCG: 0.020538±0.0004, F1: 0.007005±0.0001, HIT_RATE: 0.038528±0.0007, ARHR: 0.015089±0.0005, RMSE: 9.911248±0.1063, NOVELTY: 0.005077±0.0000, AVERAGE_POPULARITY: 0.698699±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.841745±0.0005, DIVERSITY_HERFINDAHL: 0.984156±0.0000, COVERAGE_ITEM: 0.029770±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.141438±0.0014, SHANNON_ENTROPY: 6.633836±0.0032, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 2476, 'shrink': 76, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.45459712121814577, 'tversky_beta': 0.9093650542371827} - results: ROC_AUC: 0.023753±0.0012, PRECISION: 0.003875±0.0001, PRECISION_RECALL_MIN_DEN: 0.038753±0.0006, RECALL: 0.038753±0.0006, MAP: 0.015070±0.0005, MRR: 0.015070±0.0005, NDCG: 0.020577±0.0005, F1: 0.007046±0.0001, HIT_RATE: 0.038753±0.0006, ARHR: 0.015070±0.0005, RMSE: 13.984556±0.1452, NOVELTY: 0.005082±0.0000, AVERAGE_POPULARITY: 0.695306±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.844578±0.0005, DIVERSITY_HERFINDAHL: 0.984439±0.0000, COVERAGE_ITEM: 0.030160±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142220±0.0014, SHANNON_ENTROPY: 6.662433±0.0028, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1329, 'shrink': 1725, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.0110902412173137, 'tversky_beta': 0.7827327312321055} - results: ROC_AUC: 0.025319±0.0010, PRECISION: 0.004187±0.0001, PRECISION_RECALL_MIN_DEN: 0.041870±0.0010, RECALL: 0.041870±0.0010, MAP: 0.015652±0.0006, MRR: 0.015652±0.0006, NDCG: 0.021752±0.0005, F1: 0.007613±0.0002, HIT_RATE: 0.041870±0.0010, ARHR: 0.015652±0.0006, RMSE: 1.271923±0.0200, NOVELTY: 0.005200±0.0000, AVERAGE_POPULARITY: 0.627430±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.893974±0.0002, DIVERSITY_HERFINDAHL: 0.989377±0.0000, COVERAGE_ITEM: 0.055907±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139619±0.0013, SHANNON_ENTROPY: 7.416806±0.0046, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1487, 'shrink': 1605, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.2956231268372754, 'tversky_beta': 0.9920830700623884} - results: ROC_AUC: 0.024611±0.0005, PRECISION: 0.004011±0.0001, PRECISION_RECALL_MIN_DEN: 0.040108±0.0007, RECALL: 0.040108±0.0007, MAP: 0.015803±0.0004, MRR: 0.015803±0.0004, NDCG: 0.021450±0.0004, F1: 0.007292±0.0001, HIT_RATE: 0.040108±0.0007, ARHR: 0.015803±0.0004, RMSE: 2.202404±0.0332, NOVELTY: 0.005156±0.0000, AVERAGE_POPULARITY: 0.657800±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.863349±0.0003, DIVERSITY_HERFINDAHL: 0.986315±0.0000, COVERAGE_ITEM: 0.053831±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123826±0.0011, SHANNON_ENTROPY: 7.129663±0.0017, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1407, 'shrink': 215, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.9494422906777942, 'tversky_beta': 1.0427924527526173} - results: ROC_AUC: 0.025379±0.0008, PRECISION: 0.004232±0.0001, PRECISION_RECALL_MIN_DEN: 0.042322±0.0010, RECALL: 0.042322±0.0010, MAP: 0.015776±0.0006, MRR: 0.015776±0.0006, NDCG: 0.021945±0.0006, F1: 0.007695±0.0002, HIT_RATE: 0.042322±0.0010, ARHR: 0.015776±0.0006, RMSE: 5.389674±0.0650, NOVELTY: 0.005173±0.0000, AVERAGE_POPULARITY: 0.636933±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.890672±0.0003, DIVERSITY_HERFINDAHL: 0.989047±0.0000, COVERAGE_ITEM: 0.044715±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.147973±0.0023, SHANNON_ENTROPY: 7.254890±0.0023, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 2667, 'shrink': 672, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.7015449088437267, 'tversky_beta': 0.10105028464423496} - results: ROC_AUC: 0.020044±0.0005, PRECISION: 0.003279±0.0001, PRECISION_RECALL_MIN_DEN: 0.032791±0.0015, RECALL: 0.032791±0.0015, MAP: 0.013046±0.0004, MRR: 0.013046±0.0004, NDCG: 0.017627±0.0004, F1: 0.005962±0.0003, HIT_RATE: 0.032791±0.0015, ARHR: 0.013046±0.0004, RMSE: 1.460943±0.0213, NOVELTY: 0.004961±0.0000, AVERAGE_POPULARITY: 0.792783±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.677719±0.0010, DIVERSITY_HERFINDAHL: 0.967757±0.0001, COVERAGE_ITEM: 0.021076±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105102±0.0016, SHANNON_ENTROPY: 5.642263±0.0033, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1076, 'shrink': 1261, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.2482475623777216, 'tversky_beta': 0.059895855892335495} - results: ROC_AUC: 0.024124±0.0002, PRECISION: 0.004020±0.0001, PRECISION_RECALL_MIN_DEN: 0.040199±0.0014, RECALL: 0.040199±0.0014, MAP: 0.015484±0.0004, MRR: 0.015484±0.0004, NDCG: 0.021213±0.0002, F1: 0.007309±0.0003, HIT_RATE: 0.040199±0.0014, ARHR: 0.015484±0.0004, RMSE: 0.936117±0.0086, NOVELTY: 0.005112±0.0000, AVERAGE_POPULARITY: 0.684207±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.849864±0.0003, DIVERSITY_HERFINDAHL: 0.984967±0.0000, COVERAGE_ITEM: 0.043266±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126561±0.0007, SHANNON_ENTROPY: 6.900180±0.0020, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 156, 'shrink': 1288, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.1608649320045576, 'tversky_beta': 1.7989966437680114} - results: ROC_AUC: 0.023356±0.0009, PRECISION: 0.003884±0.0001, PRECISION_RECALL_MIN_DEN: 0.038844±0.0015, RECALL: 0.038844±0.0015, MAP: 0.014583±0.0010, MRR: 0.014583±0.0010, NDCG: 0.020220±0.0008, F1: 0.007062±0.0003, HIT_RATE: 0.038844±0.0015, ARHR: 0.014583±0.0010, RMSE: 0.947019±0.0018, NOVELTY: 0.005528±0.0000, AVERAGE_POPULARITY: 0.476552±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.956965±0.0002, DIVERSITY_HERFINDAHL: 0.995675±0.0000, COVERAGE_ITEM: 0.150657±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.172977±0.0010, SHANNON_ENTROPY: 8.969573±0.0065, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 856, 'shrink': 261, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.6628272623670092, 'tversky_beta': 0.5982280824721958} - results: ROC_AUC: 0.024621±0.0003, PRECISION: 0.004070±0.0002, PRECISION_RECALL_MIN_DEN: 0.040696±0.0016, RECALL: 0.040696±0.0016, MAP: 0.015650±0.0004, MRR: 0.015650±0.0004, NDCG: 0.021467±0.0003, F1: 0.007399±0.0003, HIT_RATE: 0.040696±0.0016, ARHR: 0.015650±0.0004, RMSE: 1.515654±0.0285, NOVELTY: 0.005130±0.0000, AVERAGE_POPULARITY: 0.669611±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.866037±0.0003, DIVERSITY_HERFINDAHL: 0.986584±0.0000, COVERAGE_ITEM: 0.043687±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133418±0.0004, SHANNON_ENTROPY: 7.022620±0.0042, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 3194, 'shrink': 733, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.8312822117246061, 'tversky_beta': 0.7716303947724887} - results: ROC_AUC: 0.020380±0.0007, PRECISION: 0.003383±0.0001, PRECISION_RECALL_MIN_DEN: 0.033830±0.0015, RECALL: 0.033830±0.0015, MAP: 0.013236±0.0006, MRR: 0.013236±0.0006, NDCG: 0.018008±0.0007, F1: 0.006151±0.0003, HIT_RATE: 0.033830±0.0015, ARHR: 0.013236±0.0006, RMSE: 7.141582±0.0884, NOVELTY: 0.004992±0.0000, AVERAGE_POPULARITY: 0.767943±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.707375±0.0008, DIVERSITY_HERFINDAHL: 0.970722±0.0001, COVERAGE_ITEM: 0.025564±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104700±0.0007, SHANNON_ENTROPY: 5.869073±0.0046, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 181, 'shrink': 831, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.4008003432865883, 'tversky_beta': 1.6342447969402532} - results: ROC_AUC: 0.023959±0.0004, PRECISION: 0.003907±0.0001, PRECISION_RECALL_MIN_DEN: 0.039070±0.0009, RECALL: 0.039070±0.0009, MAP: 0.015032±0.0006, MRR: 0.015032±0.0006, NDCG: 0.020627±0.0006, F1: 0.007104±0.0002, HIT_RATE: 0.039070±0.0009, ARHR: 0.015032±0.0006, RMSE: 1.083939±0.0147, NOVELTY: 0.005800±0.0000, AVERAGE_POPULARITY: 0.397017±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.973081±0.0002, DIVERSITY_HERFINDAHL: 0.997286±0.0000, COVERAGE_ITEM: 0.251246±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.200616±0.0008, SHANNON_ENTROPY: 9.779828±0.0121, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 921, 'shrink': 799, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.3528044755177535, 'tversky_beta': 0.8541108116686196} - results: ROC_AUC: 0.026262±0.0007, PRECISION: 0.004381±0.0001, PRECISION_RECALL_MIN_DEN: 0.043812±0.0011, RECALL: 0.043812±0.0011, MAP: 0.016502±0.0006, MRR: 0.016502±0.0006, NDCG: 0.022844±0.0006, F1: 0.007966±0.0002, HIT_RATE: 0.043812±0.0011, ARHR: 0.016502±0.0006, RMSE: 2.667007±0.0434, NOVELTY: 0.005277±0.0000, AVERAGE_POPULARITY: 0.589516±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.913155±0.0002, DIVERSITY_HERFINDAHL: 0.991295±0.0000, COVERAGE_ITEM: 0.078140±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137130±0.0008, SHANNON_ENTROPY: 7.802011±0.0067, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1320, 'shrink': 68, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.6156142781341044, 'tversky_beta': 0.5910491840931239} - results: ROC_AUC: 0.026006±0.0007, PRECISION: 0.004332±0.0001, PRECISION_RECALL_MIN_DEN: 0.043315±0.0006, RECALL: 0.043315±0.0006, MAP: 0.016261±0.0005, MRR: 0.016261±0.0005, NDCG: 0.022543±0.0005, F1: 0.007876±0.0001, HIT_RATE: 0.043315±0.0006, ARHR: 0.016261±0.0005, RMSE: 10.889887±0.1131, NOVELTY: 0.005186±0.0000, AVERAGE_POPULARITY: 0.628435±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.896306±0.0001, DIVERSITY_HERFINDAHL: 0.989610±0.0000, COVERAGE_ITEM: 0.046348±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148733±0.0024, SHANNON_ENTROPY: 7.321095±0.0016, 
CrossSearchBayesianSkopt: New best config found. Config 24: {'topK': 637, 'shrink': 665, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.5818342496973352, 'tversky_beta': 1.2200598744919626} - results: ROC_AUC: 0.027181±0.0006, PRECISION: 0.004539±0.0001, PRECISION_RECALL_MIN_DEN: 0.045393±0.0012, RECALL: 0.045393±0.0012, MAP: 0.017206±0.0005, MRR: 0.017206±0.0005, NDCG: 0.023741±0.0005, F1: 0.008253±0.0002, HIT_RATE: 0.045393±0.0012, ARHR: 0.017206±0.0005, RMSE: 2.169268±0.0384, NOVELTY: 0.005356±0.0000, AVERAGE_POPULARITY: 0.547970±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.933413±0.0001, DIVERSITY_HERFINDAHL: 0.993320±0.0000, COVERAGE_ITEM: 0.096015±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145385±0.0005, SHANNON_ENTROPY: 8.178999±0.0035, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 409, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.3040424729346012, 'tversky_beta': 0.15959090152709735} - results: ROC_AUC: 0.025223±0.0013, PRECISION: 0.004169±0.0002, PRECISION_RECALL_MIN_DEN: 0.041689±0.0016, RECALL: 0.041689±0.0016, MAP: 0.015915±0.0009, MRR: 0.015915±0.0009, NDCG: 0.021903±0.0010, F1: 0.007580±0.0003, HIT_RATE: 0.041689±0.0016, ARHR: 0.015915±0.0009, RMSE: 2.435700±0.0619, NOVELTY: 0.005560±0.0000, AVERAGE_POPULARITY: 0.460460±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.959973±0.0001, DIVERSITY_HERFINDAHL: 0.995976±0.0000, COVERAGE_ITEM: 0.145499±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.174547±0.0006, SHANNON_ENTROPY: 8.995684±0.0088, 
