CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 3198, 'shrink': 53, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.018656094487600642, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029971±0.0018, PRECISION: 0.004738±0.0002, PRECISION_RECALL_MIN_DEN: 0.047380±0.0023, RECALL: 0.047380±0.0023, MAP: 0.020033±0.0011, MRR: 0.020033±0.0011, NDCG: 0.026387±0.0014, F1: 0.008615±0.0004, HIT_RATE: 0.047380±0.0023, ARHR: 0.020033±0.0011, RMSE: 4.723311±0.0604, NOVELTY: 0.005351±0.0000, AVERAGE_POPULARITY: 0.596967±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.877332±0.0006, DIVERSITY_HERFINDAHL: 0.987713±0.0001, COVERAGE_ITEM: 0.141098±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113211±0.0006, SHANNON_ENTROPY: 7.775230±0.0102, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 3549, 'shrink': 1694, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7571354305663174, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.024757±0.0009, PRECISION: 0.004006±0.0001, PRECISION_RECALL_MIN_DEN: 0.040063±0.0013, RECALL: 0.040063±0.0013, MAP: 0.016583±0.0007, MRR: 0.016583±0.0007, NDCG: 0.022019±0.0006, F1: 0.007284±0.0002, HIT_RATE: 0.040063±0.0013, ARHR: 0.016583±0.0007, RMSE: 3.510588±0.0320, NOVELTY: 0.004988±0.0000, AVERAGE_POPULARITY: 0.768055±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.732807±0.0013, DIVERSITY_HERFINDAHL: 0.973264±0.0001, COVERAGE_ITEM: 0.016188±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.147950±0.0009, SHANNON_ENTROPY: 5.843423±0.0042, 
CrossSearchBayesianSkopt: New best config found. Config 12: {'topK': 1188, 'shrink': 649, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.46866267137014417, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034568±0.0020, PRECISION: 0.005456±0.0003, PRECISION_RECALL_MIN_DEN: 0.054562±0.0028, RECALL: 0.054562±0.0028, MAP: 0.023120±0.0011, MRR: 0.023120±0.0011, NDCG: 0.030427±0.0015, F1: 0.009920±0.0005, HIT_RATE: 0.054562±0.0028, ARHR: 0.023120±0.0011, RMSE: 1.472399±0.0147, NOVELTY: 0.005185±0.0000, AVERAGE_POPULARITY: 0.646590±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.875693±0.0010, DIVERSITY_HERFINDAHL: 0.987550±0.0001, COVERAGE_ITEM: 0.046531±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142762±0.0010, SHANNON_ENTROPY: 7.193411±0.0078, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 3778, 'shrink': 970, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.7583916858906152, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.022995±0.0008, PRECISION: 0.003722±0.0001, PRECISION_RECALL_MIN_DEN: 0.037218±0.0010, RECALL: 0.037218±0.0010, MAP: 0.015405±0.0007, MRR: 0.015405±0.0007, NDCG: 0.020457±0.0006, F1: 0.006767±0.0002, HIT_RATE: 0.037218±0.0010, ARHR: 0.015405±0.0007, RMSE: 4.446326±0.0389, NOVELTY: 0.004982±0.0000, AVERAGE_POPULARITY: 0.771453±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.727429±0.0012, DIVERSITY_HERFINDAHL: 0.972726±0.0001, COVERAGE_ITEM: 0.014036±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.161936±0.0008, SHANNON_ENTROPY: 5.779246±0.0053, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 2423, 'shrink': 909, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.07529284861649545, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.027968±0.0014, PRECISION: 0.004535±0.0003, PRECISION_RECALL_MIN_DEN: 0.045348±0.0026, RECALL: 0.045348±0.0026, MAP: 0.018982±0.0006, MRR: 0.018982±0.0006, NDCG: 0.025084±0.0010, F1: 0.008245±0.0005, HIT_RATE: 0.045348±0.0026, ARHR: 0.018982±0.0006, RMSE: 5.456691±0.0467, NOVELTY: 0.005015±0.0000, AVERAGE_POPULARITY: 0.750480±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.759072±0.0006, DIVERSITY_HERFINDAHL: 0.975890±0.0001, COVERAGE_ITEM: 0.020806±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136531±0.0010, SHANNON_ENTROPY: 6.058689±0.0039, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 2073, 'shrink': 1449, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.5075091064661653, 'feature_weighting': 'none'} - results: ROC_AUC: 0.013319±0.0009, PRECISION: 0.002367±0.0002, PRECISION_RECALL_MIN_DEN: 0.023668±0.0022, RECALL: 0.023668±0.0022, MAP: 0.008379±0.0004, MRR: 0.008379±0.0004, NDCG: 0.011894±0.0007, F1: 0.004303±0.0004, HIT_RATE: 0.023668±0.0022, ARHR: 0.008379±0.0004, RMSE: 9.092206±0.0833, NOVELTY: 0.005061±0.0000, AVERAGE_POPULARITY: 0.735321±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.720773±0.0024, DIVERSITY_HERFINDAHL: 0.972061±0.0002, COVERAGE_ITEM: 0.042325±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100387±0.0008, SHANNON_ENTROPY: 6.225663±0.0085, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1972, 'shrink': 316, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.408037087632748, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.024737±0.0013, PRECISION: 0.003957±0.0002, PRECISION_RECALL_MIN_DEN: 0.039566±0.0023, RECALL: 0.039566±0.0023, MAP: 0.016536±0.0011, MRR: 0.016536±0.0011, NDCG: 0.021881±0.0012, F1: 0.007194±0.0004, HIT_RATE: 0.039566±0.0023, ARHR: 0.016536±0.0011, RMSE: 2.885658±0.0341, NOVELTY: 0.004947±0.0000, AVERAGE_POPULARITY: 0.803062±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.668727±0.0015, DIVERSITY_HERFINDAHL: 0.966858±0.0002, COVERAGE_ITEM: 0.012803±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144013±0.0013, SHANNON_ENTROPY: 5.461454±0.0048, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 142, 'shrink': 283, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2248579977531922, 'feature_weighting': 'none'} - results: ROC_AUC: 0.004913±0.0004, PRECISION: 0.000790±0.0001, PRECISION_RECALL_MIN_DEN: 0.007904±0.0009, RECALL: 0.007904±0.0009, MAP: 0.003338±0.0003, MRR: 0.003338±0.0003, NDCG: 0.004395±0.0004, F1: 0.001437±0.0002, HIT_RATE: 0.007904±0.0009, ARHR: 0.003338±0.0003, RMSE: 19.262754±0.6399, NOVELTY: 0.006596±0.0001, AVERAGE_POPULARITY: 0.206164±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.888221±0.0021, DIVERSITY_HERFINDAHL: 0.988802±0.0002, COVERAGE_ITEM: 0.158151±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.182598±0.0010, SHANNON_ENTROPY: 8.629568±0.0207, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1067, 'shrink': 719, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3108390592537886, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.024902±0.0011, PRECISION: 0.003884±0.0002, PRECISION_RECALL_MIN_DEN: 0.038844±0.0024, RECALL: 0.038844±0.0024, MAP: 0.016785±0.0005, MRR: 0.016785±0.0005, NDCG: 0.021922±0.0009, F1: 0.007062±0.0004, HIT_RATE: 0.038844±0.0024, ARHR: 0.016785±0.0005, RMSE: 3.550399±0.0798, NOVELTY: 0.004966±0.0000, AVERAGE_POPULARITY: 0.789374±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.693298±0.0014, DIVERSITY_HERFINDAHL: 0.969314±0.0001, COVERAGE_ITEM: 0.018297±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119245±0.0016, SHANNON_ENTROPY: 5.653826±0.0020, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 2382, 'shrink': 1418, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.086520526169351, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.028089±0.0014, PRECISION: 0.004544±0.0003, PRECISION_RECALL_MIN_DEN: 0.045438±0.0028, RECALL: 0.045438±0.0028, MAP: 0.019020±0.0008, MRR: 0.019020±0.0008, NDCG: 0.025135±0.0012, F1: 0.008261±0.0005, HIT_RATE: 0.045438±0.0028, ARHR: 0.019020±0.0008, RMSE: 3.269596±0.0293, NOVELTY: 0.005017±0.0000, AVERAGE_POPULARITY: 0.749243±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.760831±0.0009, DIVERSITY_HERFINDAHL: 0.976066±0.0001, COVERAGE_ITEM: 0.021119±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136091±0.0008, SHANNON_ENTROPY: 6.073650±0.0051, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 265, 'shrink': 1212, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8184738568964127, 'feature_weighting': 'none'} - results: ROC_AUC: 0.006429±0.0006, PRECISION: 0.001107±0.0001, PRECISION_RECALL_MIN_DEN: 0.011066±0.0009, RECALL: 0.011066±0.0009, MAP: 0.004139±0.0004, MRR: 0.004139±0.0004, NDCG: 0.005738±0.0004, F1: 0.002012±0.0002, HIT_RATE: 0.011066±0.0009, ARHR: 0.004139±0.0004, RMSE: 3.418370±0.0627, NOVELTY: 0.006224±0.0000, AVERAGE_POPULARITY: 0.290263±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.970785±0.0006, DIVERSITY_HERFINDAHL: 0.997057±0.0001, COVERAGE_ITEM: 0.194171±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.233549±0.0017, SHANNON_ENTROPY: 9.797908±0.0150, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 816, 'shrink': 141, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4079364369507742, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030944±0.0019, PRECISION: 0.004883±0.0003, PRECISION_RECALL_MIN_DEN: 0.048826±0.0026, RECALL: 0.048826±0.0026, MAP: 0.020975±0.0007, MRR: 0.020975±0.0007, NDCG: 0.027443±0.0011, F1: 0.008877±0.0005, HIT_RATE: 0.048826±0.0026, ARHR: 0.020975±0.0007, RMSE: 77.594992±1.4942, NOVELTY: 0.005121±0.0000, AVERAGE_POPULARITY: 0.688642±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.828086±0.0003, DIVERSITY_HERFINDAHL: 0.982790±0.0000, COVERAGE_ITEM: 0.048413±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114578±0.0011, SHANNON_ENTROPY: 6.814714±0.0009, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 118, 'shrink': 85, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.70064239051841, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.017264±0.0013, PRECISION: 0.002913±0.0001, PRECISION_RECALL_MIN_DEN: 0.029133±0.0012, RECALL: 0.029133±0.0012, MAP: 0.011066±0.0009, MRR: 0.011066±0.0009, NDCG: 0.015242±0.0009, F1: 0.005297±0.0002, HIT_RATE: 0.029133±0.0012, ARHR: 0.011066±0.0009, RMSE: 1.587367±0.0621, NOVELTY: 0.005539±0.0000, AVERAGE_POPULARITY: 0.495051±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.940429±0.0009, DIVERSITY_HERFINDAHL: 0.994022±0.0001, COVERAGE_ITEM: 0.162293±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.180291±0.0014, SHANNON_ENTROPY: 8.897646±0.0235, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 45, 'shrink': 290, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.2760120409402092, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.009460±0.0011, PRECISION: 0.001472±0.0002, PRECISION_RECALL_MIN_DEN: 0.014724±0.0017, RECALL: 0.014724±0.0017, MAP: 0.005902±0.0007, MRR: 0.005902±0.0007, NDCG: 0.007971±0.0009, F1: 0.002677±0.0003, HIT_RATE: 0.014724±0.0017, ARHR: 0.005902±0.0007, RMSE: 0.941672±0.0023, NOVELTY: 0.007409±0.0000, AVERAGE_POPULARITY: 0.107574±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.996363±0.0001, DIVERSITY_HERFINDAHL: 0.999614±0.0000, COVERAGE_ITEM: 0.625272±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.516542±0.0009, SHANNON_ENTROPY: 12.724425±0.0109, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 2579, 'shrink': 473, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6500953522474212, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.019783±0.0011, PRECISION: 0.003189±0.0001, PRECISION_RECALL_MIN_DEN: 0.031888±0.0008, RECALL: 0.031888±0.0008, MAP: 0.013179±0.0009, MRR: 0.013179±0.0009, NDCG: 0.017517±0.0007, F1: 0.005798±0.0002, HIT_RATE: 0.031888±0.0008, ARHR: 0.013179±0.0009, RMSE: 9.097655±0.1428, NOVELTY: 0.004918±0.0000, AVERAGE_POPULARITY: 0.826254±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.570594±0.0027, DIVERSITY_HERFINDAHL: 0.957047±0.0003, COVERAGE_ITEM: 0.009224±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148097±0.0017, SHANNON_ENTROPY: 5.024381±0.0073, 
