SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'ITEM_CF': 46, 'USER_CF': 50, 'ITEM_CBF_NUM': 35, 'ITEM_CBF_CAT': 14} - results: ROC_AUC: 0.0916234, PRECISION: 0.0156053, PRECISION_RECALL_MIN_DEN: 0.0520175, RECALL: 0.0520175, MAP: 0.0236814, MRR: 0.0646571, NDCG: 0.0414605, F1: 0.0240081, HIT_RATE: 0.1560526, ARHR: 0.0677950, RMSE: nan, NOVELTY: 0.0062926, AVERAGE_POPULARITY: 0.3991313, DIVERSITY_MEAN_INTER_LIST: 0.9057669, DIVERSITY_HERFINDAHL: 0.9905723, COVERAGE_ITEM: 0.3768045, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0876312, SHANNON_ENTROPY: 8.4302315, 
SearchBayesianSkoptObject: New best config found. Config 11: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 65, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0994969, PRECISION: 0.0162705, PRECISION_RECALL_MIN_DEN: 0.0542352, RECALL: 0.0542352, MAP: 0.0258090, MRR: 0.0699684, NDCG: 0.0443665, F1: 0.0250316, HIT_RATE: 0.1627055, ARHR: 0.0736152, RMSE: nan, NOVELTY: 0.0065097, AVERAGE_POPULARITY: 0.3297007, DIVERSITY_MEAN_INTER_LIST: 0.9203452, DIVERSITY_HERFINDAHL: 0.9920301, COVERAGE_ITEM: 0.4425520, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1111045, SHANNON_ENTROPY: 9.0254995, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 64, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0829652, PRECISION: 0.0130695, PRECISION_RECALL_MIN_DEN: 0.0435649, RECALL: 0.0435649, MAP: 0.0220978, MRR: 0.0612786, NDCG: 0.0372750, F1: 0.0201069, HIT_RATE: 0.1306947, ARHR: 0.0637452, RMSE: nan, NOVELTY: 0.0066403, AVERAGE_POPULARITY: 0.2496267, DIVERSITY_MEAN_INTER_LIST: 0.9393972, DIVERSITY_HERFINDAHL: 0.9939352, COVERAGE_ITEM: 0.5131657, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1397153, SHANNON_ENTROPY: 9.7145404, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0968577, PRECISION: 0.0159861, PRECISION_RECALL_MIN_DEN: 0.0532871, RECALL: 0.0532871, MAP: 0.0250901, MRR: 0.0684262, NDCG: 0.0433645, F1: 0.0245940, HIT_RATE: 0.1598612, ARHR: 0.0717824, RMSE: nan, NOVELTY: 0.0063823, AVERAGE_POPULARITY: 0.3733495, DIVERSITY_MEAN_INTER_LIST: 0.9095105, DIVERSITY_HERFINDAHL: 0.9909467, COVERAGE_ITEM: 0.3987024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0966990, SHANNON_ENTROPY: 8.6457390, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 92, 'USER_CF': 92, 'ITEM_CBF_NUM': 1, 'ITEM_CBF_CAT': 95} - results: ROC_AUC: 0.0873101, PRECISION: 0.0144724, PRECISION_RECALL_MIN_DEN: 0.0482412, RECALL: 0.0482412, MAP: 0.0219856, MRR: 0.0597658, NDCG: 0.0385038, F1: 0.0222652, HIT_RATE: 0.1447235, ARHR: 0.0628103, RMSE: nan, NOVELTY: 0.0062501, AVERAGE_POPULARITY: 0.3009570, DIVERSITY_MEAN_INTER_LIST: 0.9326097, DIVERSITY_HERFINDAHL: 0.9932565, COVERAGE_ITEM: 0.5392268, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1143547, SHANNON_ENTROPY: 9.3240313, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 65, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0994969, PRECISION: 0.0162705, PRECISION_RECALL_MIN_DEN: 0.0542352, RECALL: 0.0542352, MAP: 0.0258090, MRR: 0.0699684, NDCG: 0.0443665, F1: 0.0250316, HIT_RATE: 0.1627055, ARHR: 0.0736152, RMSE: nan, NOVELTY: 0.0065097, AVERAGE_POPULARITY: 0.3297007, DIVERSITY_MEAN_INTER_LIST: 0.9203452, DIVERSITY_HERFINDAHL: 0.9920301, COVERAGE_ITEM: 0.4425520, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1111045, SHANNON_ENTROPY: 9.0254995, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 99, 'USER_CF': 62, 'ITEM_CBF_NUM': 96, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0758460, PRECISION: 0.0134744, PRECISION_RECALL_MIN_DEN: 0.0449148, RECALL: 0.0449148, MAP: 0.0181800, MRR: 0.0495843, NDCG: 0.0334531, F1: 0.0207299, HIT_RATE: 0.1347443, ARHR: 0.0520210, RMSE: nan, NOVELTY: 0.0062688, AVERAGE_POPULARITY: 0.3139847, DIVERSITY_MEAN_INTER_LIST: 0.9311795, DIVERSITY_HERFINDAHL: 0.9931135, COVERAGE_ITEM: 0.4929440, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1166425, SHANNON_ENTROPY: 9.2613059, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0968577, PRECISION: 0.0159861, PRECISION_RECALL_MIN_DEN: 0.0532871, RECALL: 0.0532871, MAP: 0.0250901, MRR: 0.0684262, NDCG: 0.0433645, F1: 0.0245940, HIT_RATE: 0.1598612, ARHR: 0.0717824, RMSE: nan, NOVELTY: 0.0063823, AVERAGE_POPULARITY: 0.3733495, DIVERSITY_MEAN_INTER_LIST: 0.9095105, DIVERSITY_HERFINDAHL: 0.9909467, COVERAGE_ITEM: 0.3987024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0966990, SHANNON_ENTROPY: 8.6457390, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 18, 'USER_CF': 98, 'ITEM_CBF_NUM': 93, 'ITEM_CBF_CAT': 86} - results: ROC_AUC: 0.0647956, PRECISION: 0.0095984, PRECISION_RECALL_MIN_DEN: 0.0319947, RECALL: 0.0319947, MAP: 0.0175052, MRR: 0.0494045, NDCG: 0.0288763, F1: 0.0147668, HIT_RATE: 0.0959842, ARHR: 0.0509465, RMSE: nan, NOVELTY: 0.0061982, AVERAGE_POPULARITY: 0.3014022, DIVERSITY_MEAN_INTER_LIST: 0.9271676, DIVERSITY_HERFINDAHL: 0.9927123, COVERAGE_ITEM: 0.6021087, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1381226, SHANNON_ENTROPY: 9.4205948, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 99, 'USER_CF': 67, 'ITEM_CBF_NUM': 4, 'ITEM_CBF_CAT': 88} - results: ROC_AUC: 0.0871939, PRECISION: 0.0146652, PRECISION_RECALL_MIN_DEN: 0.0488840, RECALL: 0.0488840, MAP: 0.0217191, MRR: 0.0587547, NDCG: 0.0383791, F1: 0.0225618, HIT_RATE: 0.1466519, ARHR: 0.0618980, RMSE: nan, NOVELTY: 0.0064389, AVERAGE_POPULARITY: 0.2838108, DIVERSITY_MEAN_INTER_LIST: 0.9301635, DIVERSITY_HERFINDAHL: 0.9930119, COVERAGE_ITEM: 0.5184644, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1330087, SHANNON_ENTROPY: 9.5187134, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 13, 'USER_CF': 64, 'ITEM_CBF_NUM': 7, 'ITEM_CBF_CAT': 98} - results: ROC_AUC: 0.0468132, PRECISION: 0.0095599, PRECISION_RECALL_MIN_DEN: 0.0318662, RECALL: 0.0318662, MAP: 0.0091859, MRR: 0.0256198, NDCG: 0.0199142, F1: 0.0147075, HIT_RATE: 0.0955985, ARHR: 0.0265778, RMSE: nan, NOVELTY: 0.0061546, AVERAGE_POPULARITY: 0.2420429, DIVERSITY_MEAN_INTER_LIST: 0.9262096, DIVERSITY_HERFINDAHL: 0.9926165, COVERAGE_ITEM: 0.5965396, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1505598, SHANNON_ENTROPY: 9.5509019, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 65, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0875761, PRECISION: 0.0154703, PRECISION_RECALL_MIN_DEN: 0.0515676, RECALL: 0.0515676, MAP: 0.0228339, MRR: 0.0625343, NDCG: 0.0404033, F1: 0.0238004, HIT_RATE: 0.1547028, ARHR: 0.0654660, RMSE: nan, NOVELTY: 0.0062661, AVERAGE_POPULARITY: 0.4151378, DIVERSITY_MEAN_INTER_LIST: 0.8965001, DIVERSITY_HERFINDAHL: 0.9896457, COVERAGE_ITEM: 0.3535009, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0839055, SHANNON_ENTROPY: 8.2578118, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'ITEM_CF': 99, 'USER_CF': 4, 'ITEM_CBF_NUM': 23, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0959787, PRECISION: 0.0156728, PRECISION_RECALL_MIN_DEN: 0.0522425, RECALL: 0.0522425, MAP: 0.0243831, MRR: 0.0658328, NDCG: 0.0422268, F1: 0.0241119, HIT_RATE: 0.1567276, ARHR: 0.0694059, RMSE: nan, NOVELTY: 0.0069367, AVERAGE_POPULARITY: 0.1959887, DIVERSITY_MEAN_INTER_LIST: 0.9401198, DIVERSITY_HERFINDAHL: 0.9940074, COVERAGE_ITEM: 0.5340903, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1565984, SHANNON_ENTROPY: 9.9935491, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 4, 'ITEM_CF': 99, 'USER_CF': 0, 'ITEM_CBF_NUM': 28, 'ITEM_CBF_CAT': 7} - results: ROC_AUC: 0.0966730, PRECISION: 0.0156487, PRECISION_RECALL_MIN_DEN: 0.0521622, RECALL: 0.0521622, MAP: 0.0246917, MRR: 0.0667595, NDCG: 0.0425384, F1: 0.0240749, HIT_RATE: 0.1564865, ARHR: 0.0703317, RMSE: nan, NOVELTY: 0.0069821, AVERAGE_POPULARITY: 0.1904876, DIVERSITY_MEAN_INTER_LIST: 0.9432837, DIVERSITY_HERFINDAHL: 0.9943238, COVERAGE_ITEM: 0.5346851, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1580650, SHANNON_ENTROPY: 10.0446653, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'ITEM_CF': 24, 'USER_CF': 100, 'ITEM_CBF_NUM': 88, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0747516, PRECISION: 0.0108952, PRECISION_RECALL_MIN_DEN: 0.0363175, RECALL: 0.0363175, MAP: 0.0195273, MRR: 0.0543842, NDCG: 0.0323570, F1: 0.0167619, HIT_RATE: 0.1089524, ARHR: 0.0564561, RMSE: nan, NOVELTY: 0.0061950, AVERAGE_POPULARITY: 0.4201259, DIVERSITY_MEAN_INTER_LIST: 0.9049332, DIVERSITY_HERFINDAHL: 0.9904890, COVERAGE_ITEM: 0.3797783, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0841074, SHANNON_ENTROPY: 8.2921537, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CF': 79, 'USER_CF': 100, 'ITEM_CBF_NUM': 2, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0876682, PRECISION: 0.0142072, PRECISION_RECALL_MIN_DEN: 0.0473573, RECALL: 0.0473573, MAP: 0.0231014, MRR: 0.0632754, NDCG: 0.0394187, F1: 0.0218572, HIT_RATE: 0.1420720, ARHR: 0.0662380, RMSE: nan, NOVELTY: 0.0061538, AVERAGE_POPULARITY: 0.4144782, DIVERSITY_MEAN_INTER_LIST: 0.9134157, DIVERSITY_HERFINDAHL: 0.9913372, COVERAGE_ITEM: 0.2785077, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0696564, SHANNON_ENTROPY: 8.1479419, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 99, 'USER_CF': 1, 'ITEM_CBF_NUM': 36, 'ITEM_CBF_CAT': 3} - results: ROC_AUC: 0.0976869, PRECISION: 0.0147664, PRECISION_RECALL_MIN_DEN: 0.0492214, RECALL: 0.0492214, MAP: 0.0256473, MRR: 0.0699123, NDCG: 0.0427094, F1: 0.0227176, HIT_RATE: 0.1476643, ARHR: 0.0733474, RMSE: nan, NOVELTY: 0.0068276, AVERAGE_POPULARITY: 0.2023495, DIVERSITY_MEAN_INTER_LIST: 0.9394437, DIVERSITY_HERFINDAHL: 0.9939398, COVERAGE_ITEM: 0.5414436, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1534251, SHANNON_ENTROPY: 9.9607243, 
SearchBayesianSkoptObject: New best config found. Config 27: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 97, 'USER_CF': 4, 'ITEM_CBF_NUM': 2, 'ITEM_CBF_CAT': 2} - results: ROC_AUC: 0.0987954, PRECISION: 0.0157161, PRECISION_RECALL_MIN_DEN: 0.0523872, RECALL: 0.0523872, MAP: 0.0262219, MRR: 0.0711278, NDCG: 0.0442074, F1: 0.0241787, HIT_RATE: 0.1571615, ARHR: 0.0748072, RMSE: nan, NOVELTY: 0.0069226, AVERAGE_POPULARITY: 0.1884411, DIVERSITY_MEAN_INTER_LIST: 0.9375602, DIVERSITY_HERFINDAHL: 0.9937515, COVERAGE_ITEM: 0.5350095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1579526, SHANNON_ENTROPY: 9.9937536, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0987365, PRECISION: 0.0157065, PRECISION_RECALL_MIN_DEN: 0.0523550, RECALL: 0.0523550, MAP: 0.0262081, MRR: 0.0710862, NDCG: 0.0441818, F1: 0.0241639, HIT_RATE: 0.1570650, ARHR: 0.0747657, RMSE: nan, NOVELTY: 0.0069652, AVERAGE_POPULARITY: 0.1880239, DIVERSITY_MEAN_INTER_LIST: 0.9381362, DIVERSITY_HERFINDAHL: 0.9938091, COVERAGE_ITEM: 0.5350095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1579874, SHANNON_ENTROPY: 9.9993776, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'ITEM_CF': 99, 'USER_CF': 36, 'ITEM_CBF_NUM': 96, 'ITEM_CBF_CAT': 2} - results: ROC_AUC: 0.0850466, PRECISION: 0.0132334, PRECISION_RECALL_MIN_DEN: 0.0441113, RECALL: 0.0441113, MAP: 0.0220321, MRR: 0.0606525, NDCG: 0.0373618, F1: 0.0203590, HIT_RATE: 0.1323338, ARHR: 0.0633277, RMSE: nan, NOVELTY: 0.0066744, AVERAGE_POPULARITY: 0.2353406, DIVERSITY_MEAN_INTER_LIST: 0.9404395, DIVERSITY_HERFINDAHL: 0.9940394, COVERAGE_ITEM: 0.5250608, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1439950, SHANNON_ENTROPY: 9.8000294, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 39, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0995116, PRECISION: 0.0162850, PRECISION_RECALL_MIN_DEN: 0.0542834, RECALL: 0.0542834, MAP: 0.0260799, MRR: 0.0707094, NDCG: 0.0446489, F1: 0.0250539, HIT_RATE: 0.1628501, ARHR: 0.0743835, RMSE: nan, NOVELTY: 0.0066239, AVERAGE_POPULARITY: 0.2896297, DIVERSITY_MEAN_INTER_LIST: 0.9284758, DIVERSITY_HERFINDAHL: 0.9928431, COVERAGE_ITEM: 0.4726142, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1242053, SHANNON_ENTROPY: 9.3442845, 
