SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 46, 'USER_CF': 50, 'ITEM_CBF_NUM': 35, 'ITEM_CBF_CAT': 14} - results: ROC_AUC: 0.0834990, PRECISION: 0.0123271, PRECISION_RECALL_MIN_DEN: 0.0410902, RECALL: 0.0410902, MAP: 0.0218180, MRR: 0.0608785, NDCG: 0.0363262, F1: 0.0189647, HIT_RATE: 0.1232705, ARHR: 0.0631392, RMSE: nan, NOVELTY: 0.0064536, AVERAGE_POPULARITY: 0.3203779, DIVERSITY_MEAN_INTER_LIST: 0.9313065, DIVERSITY_HERFINDAHL: 0.9931262, COVERAGE_ITEM: 0.5151122, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1179389, SHANNON_ENTROPY: 9.2554494, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0954636, PRECISION: 0.0156149, PRECISION_RECALL_MIN_DEN: 0.0520497, RECALL: 0.0520497, MAP: 0.0249182, MRR: 0.0678498, NDCG: 0.0427677, F1: 0.0240229, HIT_RATE: 0.1561491, ARHR: 0.0712321, RMSE: nan, NOVELTY: 0.0063701, AVERAGE_POPULARITY: 0.3860968, DIVERSITY_MEAN_INTER_LIST: 0.9128690, DIVERSITY_HERFINDAHL: 0.9912825, COVERAGE_ITEM: 0.4269803, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0921319, SHANNON_ENTROPY: 8.6069889, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0993833, PRECISION: 0.0153883, PRECISION_RECALL_MIN_DEN: 0.0512944, RECALL: 0.0512944, MAP: 0.0260918, MRR: 0.0709100, NDCG: 0.0437757, F1: 0.0236743, HIT_RATE: 0.1538832, ARHR: 0.0745032, RMSE: nan, NOVELTY: 0.0068328, AVERAGE_POPULARITY: 0.2071851, DIVERSITY_MEAN_INTER_LIST: 0.9439169, DIVERSITY_HERFINDAHL: 0.9943871, COVERAGE_ITEM: 0.5889159, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1553940, SHANNON_ENTROPY: 10.0831941, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0993833, PRECISION: 0.0153883, PRECISION_RECALL_MIN_DEN: 0.0512944, RECALL: 0.0512944, MAP: 0.0260918, MRR: 0.0709100, NDCG: 0.0437757, F1: 0.0236743, HIT_RATE: 0.1538832, ARHR: 0.0745032, RMSE: nan, NOVELTY: 0.0068328, AVERAGE_POPULARITY: 0.2071851, DIVERSITY_MEAN_INTER_LIST: 0.9439169, DIVERSITY_HERFINDAHL: 0.9943871, COVERAGE_ITEM: 0.5889159, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1553940, SHANNON_ENTROPY: 10.0831941, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CF': 9, 'USER_CF': 94, 'ITEM_CBF_NUM': 1, 'ITEM_CBF_CAT': 3} - results: ROC_AUC: 0.0780584, PRECISION: 0.0125681, PRECISION_RECALL_MIN_DEN: 0.0418937, RECALL: 0.0418937, MAP: 0.0203430, MRR: 0.0563680, NDCG: 0.0348831, F1: 0.0193355, HIT_RATE: 0.1256810, ARHR: 0.0586608, RMSE: nan, NOVELTY: 0.0060071, AVERAGE_POPULARITY: 0.5320288, DIVERSITY_MEAN_INTER_LIST: 0.8519852, DIVERSITY_HERFINDAHL: 0.9851944, COVERAGE_ITEM: 0.1764261, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0464889, SHANNON_ENTROPY: 6.9765653, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0964476, PRECISION: 0.0159958, PRECISION_RECALL_MIN_DEN: 0.0533192, RECALL: 0.0533192, MAP: 0.0246766, MRR: 0.0670846, NDCG: 0.0429251, F1: 0.0246089, HIT_RATE: 0.1599576, ARHR: 0.0704807, RMSE: nan, NOVELTY: 0.0064077, AVERAGE_POPULARITY: 0.3795812, DIVERSITY_MEAN_INTER_LIST: 0.9086843, DIVERSITY_HERFINDAHL: 0.9908640, COVERAGE_ITEM: 0.4193566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0942809, SHANNON_ENTROPY: 8.6208754, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'ITEM_CF': 94, 'USER_CF': 83, 'ITEM_CBF_NUM': 2, 'ITEM_CBF_CAT': 95} - results: ROC_AUC: 0.0820339, PRECISION: 0.0121824, PRECISION_RECALL_MIN_DEN: 0.0406081, RECALL: 0.0406081, MAP: 0.0217937, MRR: 0.0604726, NDCG: 0.0360656, F1: 0.0187422, HIT_RATE: 0.1218242, ARHR: 0.0629009, RMSE: nan, NOVELTY: 0.0064084, AVERAGE_POPULARITY: 0.1966677, DIVERSITY_MEAN_INTER_LIST: 0.9433234, DIVERSITY_HERFINDAHL: 0.9943278, COVERAGE_ITEM: 0.7152203, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1909815, SHANNON_ENTROPY: 10.4269813, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 100, 'USER_CF': 96, 'ITEM_CBF_NUM': 96, 'ITEM_CBF_CAT': 93} - results: ROC_AUC: 0.0779667, PRECISION: 0.0107458, PRECISION_RECALL_MIN_DEN: 0.0358193, RECALL: 0.0358193, MAP: 0.0209377, MRR: 0.0591375, NDCG: 0.0338292, F1: 0.0165320, HIT_RATE: 0.1074579, ARHR: 0.0609624, RMSE: nan, NOVELTY: 0.0064268, AVERAGE_POPULARITY: 0.2256342, DIVERSITY_MEAN_INTER_LIST: 0.9421938, DIVERSITY_HERFINDAHL: 0.9942148, COVERAGE_ITEM: 0.6630441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1753585, SHANNON_ENTROPY: 10.1971891, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 0, 'USER_CF': 97, 'ITEM_CBF_NUM': 1, 'ITEM_CBF_CAT': 79} - results: ROC_AUC: 0.0663541, PRECISION: 0.0099889, PRECISION_RECALL_MIN_DEN: 0.0332964, RECALL: 0.0332964, MAP: 0.0175212, MRR: 0.0496104, NDCG: 0.0293423, F1: 0.0153676, HIT_RATE: 0.0998891, ARHR: 0.0510758, RMSE: nan, NOVELTY: 0.0059324, AVERAGE_POPULARITY: 0.2981853, DIVERSITY_MEAN_INTER_LIST: 0.9263845, DIVERSITY_HERFINDAHL: 0.9926340, COVERAGE_ITEM: 0.6337388, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1556804, SHANNON_ENTROPY: 9.6561764, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'ITEM_CF': 100, 'USER_CF': 73, 'ITEM_CBF_NUM': 98, 'ITEM_CBF_CAT': 3} - results: ROC_AUC: 0.0729691, PRECISION: 0.0103408, PRECISION_RECALL_MIN_DEN: 0.0344695, RECALL: 0.0344695, MAP: 0.0201401, MRR: 0.0570114, NDCG: 0.0325018, F1: 0.0159090, HIT_RATE: 0.1034084, ARHR: 0.0586949, RMSE: nan, NOVELTY: 0.0066593, AVERAGE_POPULARITY: 0.2628726, DIVERSITY_MEAN_INTER_LIST: 0.9382809, DIVERSITY_HERFINDAHL: 0.9938236, COVERAGE_ITEM: 0.5222493, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1366905, SHANNON_ENTROPY: 9.6121542, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 5, 'USER_CF': 9, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 4} - results: ROC_AUC: 0.0854991, PRECISION: 0.0138938, PRECISION_RECALL_MIN_DEN: 0.0463128, RECALL: 0.0463128, MAP: 0.0221454, MRR: 0.0608005, NDCG: 0.0381220, F1: 0.0213751, HIT_RATE: 0.1389384, ARHR: 0.0635663, RMSE: nan, NOVELTY: 0.0063181, AVERAGE_POPULARITY: 0.3185442, DIVERSITY_MEAN_INTER_LIST: 0.9201926, DIVERSITY_HERFINDAHL: 0.9920148, COVERAGE_ITEM: 0.5435523, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1334917, SHANNON_ENTROPY: 9.2923743, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0964476, PRECISION: 0.0159958, PRECISION_RECALL_MIN_DEN: 0.0533192, RECALL: 0.0533192, MAP: 0.0246766, MRR: 0.0670846, NDCG: 0.0429251, F1: 0.0246089, HIT_RATE: 0.1599576, ARHR: 0.0704807, RMSE: nan, NOVELTY: 0.0064077, AVERAGE_POPULARITY: 0.3795812, DIVERSITY_MEAN_INTER_LIST: 0.9086843, DIVERSITY_HERFINDAHL: 0.9908640, COVERAGE_ITEM: 0.4193566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0942809, SHANNON_ENTROPY: 8.6208754, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 88, 'USER_CF': 94, 'ITEM_CBF_NUM': 1, 'ITEM_CBF_CAT': 100} - results: ROC_AUC: 0.0820523, PRECISION: 0.0122355, PRECISION_RECALL_MIN_DEN: 0.0407848, RECALL: 0.0407848, MAP: 0.0217546, MRR: 0.0603278, NDCG: 0.0360743, F1: 0.0188238, HIT_RATE: 0.1223545, ARHR: 0.0627713, RMSE: nan, NOVELTY: 0.0063897, AVERAGE_POPULARITY: 0.2145609, DIVERSITY_MEAN_INTER_LIST: 0.9415936, DIVERSITY_HERFINDAHL: 0.9941548, COVERAGE_ITEM: 0.6948905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1802511, SHANNON_ENTROPY: 10.2697519, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 66, 'ITEM_CBF_NUM': 39, 'ITEM_CBF_CAT': 4} - results: ROC_AUC: 0.0943214, PRECISION: 0.0149111, PRECISION_RECALL_MIN_DEN: 0.0497035, RECALL: 0.0497035, MAP: 0.0246872, MRR: 0.0675552, NDCG: 0.0418576, F1: 0.0229401, HIT_RATE: 0.1491105, ARHR: 0.0707504, RMSE: nan, NOVELTY: 0.0065552, AVERAGE_POPULARITY: 0.3105343, DIVERSITY_MEAN_INTER_LIST: 0.9339871, DIVERSITY_HERFINDAHL: 0.9933942, COVERAGE_ITEM: 0.5170587, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1199096, SHANNON_ENTROPY: 9.3259844, 
SearchBayesianSkoptObject: New best config found. Config 24: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 25, 'ITEM_CBF_NUM': 3, 'ITEM_CBF_CAT': 2} - results: ROC_AUC: 0.0994700, PRECISION: 0.0159813, PRECISION_RECALL_MIN_DEN: 0.0532710, RECALL: 0.0532710, MAP: 0.0263878, MRR: 0.0714985, NDCG: 0.0446486, F1: 0.0245866, HIT_RATE: 0.1598129, ARHR: 0.0752477, RMSE: nan, NOVELTY: 0.0068055, AVERAGE_POPULARITY: 0.2309666, DIVERSITY_MEAN_INTER_LIST: 0.9425336, DIVERSITY_HERFINDAHL: 0.9942488, COVERAGE_ITEM: 0.5354420, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1484648, SHANNON_ENTROPY: 9.8977952, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 79, 'USER_CF': 100, 'ITEM_CBF_NUM': 2, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0930287, PRECISION: 0.0154414, PRECISION_RECALL_MIN_DEN: 0.0514712, RECALL: 0.0514712, MAP: 0.0243541, MRR: 0.0664648, NDCG: 0.0420001, F1: 0.0237559, HIT_RATE: 0.1544135, ARHR: 0.0697040, RMSE: nan, NOVELTY: 0.0060386, AVERAGE_POPULARITY: 0.4418685, DIVERSITY_MEAN_INTER_LIST: 0.8990539, DIVERSITY_HERFINDAHL: 0.9899011, COVERAGE_ITEM: 0.3789673, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0775452, SHANNON_ENTROPY: 8.1946059, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 99, 'USER_CF': 99, 'ITEM_CBF_NUM': 94, 'ITEM_CBF_CAT': 10} - results: ROC_AUC: 0.0777868, PRECISION: 0.0120860, PRECISION_RECALL_MIN_DEN: 0.0402867, RECALL: 0.0402867, MAP: 0.0208641, MRR: 0.0587886, NDCG: 0.0350676, F1: 0.0185939, HIT_RATE: 0.1208600, ARHR: 0.0606629, RMSE: nan, NOVELTY: 0.0065278, AVERAGE_POPULARITY: 0.3080799, DIVERSITY_MEAN_INTER_LIST: 0.9332323, DIVERSITY_HERFINDAHL: 0.9933187, COVERAGE_ITEM: 0.5052717, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1208059, SHANNON_ENTROPY: 9.3281414, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 4, 'USER_CF': 18, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0846062, PRECISION: 0.0149448, PRECISION_RECALL_MIN_DEN: 0.0498160, RECALL: 0.0498160, MAP: 0.0218801, MRR: 0.0599697, NDCG: 0.0388589, F1: 0.0229920, HIT_RATE: 0.1494480, ARHR: 0.0627493, RMSE: nan, NOVELTY: 0.0062259, AVERAGE_POPULARITY: 0.4274042, DIVERSITY_MEAN_INTER_LIST: 0.8912547, DIVERSITY_HERFINDAHL: 0.9891212, COVERAGE_ITEM: 0.4298459, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0838450, SHANNON_ENTROPY: 8.2238697, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0964476, PRECISION: 0.0159958, PRECISION_RECALL_MIN_DEN: 0.0533192, RECALL: 0.0533192, MAP: 0.0246766, MRR: 0.0670846, NDCG: 0.0429251, F1: 0.0246089, HIT_RATE: 0.1599576, ARHR: 0.0704807, RMSE: nan, NOVELTY: 0.0064077, AVERAGE_POPULARITY: 0.3795812, DIVERSITY_MEAN_INTER_LIST: 0.9086843, DIVERSITY_HERFINDAHL: 0.9908640, COVERAGE_ITEM: 0.4193566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0942809, SHANNON_ENTROPY: 8.6208754, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 49, 'USER_CF': 96, 'ITEM_CBF_NUM': 3, 'ITEM_CBF_CAT': 3} - results: ROC_AUC: 0.0874494, PRECISION: 0.0142265, PRECISION_RECALL_MIN_DEN: 0.0474216, RECALL: 0.0474216, MAP: 0.0228032, MRR: 0.0623967, NDCG: 0.0391259, F1: 0.0218869, HIT_RATE: 0.1422649, ARHR: 0.0653512, RMSE: nan, NOVELTY: 0.0061150, AVERAGE_POPULARITY: 0.4754926, DIVERSITY_MEAN_INTER_LIST: 0.8821372, DIVERSITY_HERFINDAHL: 0.9882095, COVERAGE_ITEM: 0.2758043, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0590752, SHANNON_ENTROPY: 7.6285616, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0964476, PRECISION: 0.0159958, PRECISION_RECALL_MIN_DEN: 0.0533192, RECALL: 0.0533192, MAP: 0.0246766, MRR: 0.0670846, NDCG: 0.0429251, F1: 0.0246089, HIT_RATE: 0.1599576, ARHR: 0.0704807, RMSE: nan, NOVELTY: 0.0064077, AVERAGE_POPULARITY: 0.3795812, DIVERSITY_MEAN_INTER_LIST: 0.9086843, DIVERSITY_HERFINDAHL: 0.9908640, COVERAGE_ITEM: 0.4193566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0942809, SHANNON_ENTROPY: 8.6208754, 
