SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 46, 'USER_CF': 50, 'ITEM_CBF_NUM': 35, 'ITEM_CBF_CAT': 14} - results: ROC_AUC: 0.0768568, PRECISION: 0.0122644, PRECISION_RECALL_MIN_DEN: 0.0408813, RECALL: 0.0408813, MAP: 0.0201544, MRR: 0.0558496, NDCG: 0.0343600, F1: 0.0188683, HIT_RATE: 0.1226438, ARHR: 0.0581150, RMSE: nan, NOVELTY: 0.0059987, AVERAGE_POPULARITY: 0.5048963, DIVERSITY_MEAN_INTER_LIST: 0.8694638, DIVERSITY_HERFINDAHL: 0.9869422, COVERAGE_ITEM: 0.2122736, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0533088, SHANNON_ENTROPY: 7.3170954, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 94, 'USER_CF': 95, 'ITEM_CBF_NUM': 13, 'ITEM_CBF_CAT': 100} - results: ROC_AUC: 0.0782646, PRECISION: 0.0123222, PRECISION_RECALL_MIN_DEN: 0.0410741, RECALL: 0.0410741, MAP: 0.0204860, MRR: 0.0568647, NDCG: 0.0348010, F1: 0.0189573, HIT_RATE: 0.1232223, ARHR: 0.0591221, RMSE: nan, NOVELTY: 0.0059366, AVERAGE_POPULARITY: 0.5400349, DIVERSITY_MEAN_INTER_LIST: 0.8477129, DIVERSITY_HERFINDAHL: 0.9847672, COVERAGE_ITEM: 0.1575020, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0467095, SHANNON_ENTROPY: 6.8943499, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 7, 'USER_CF': 94, 'ITEM_CBF_NUM': 99, 'ITEM_CBF_CAT': 94} - results: ROC_AUC: 0.0716190, PRECISION: 0.0114111, PRECISION_RECALL_MIN_DEN: 0.0380369, RECALL: 0.0380369, MAP: 0.0187745, MRR: 0.0520949, NDCG: 0.0320052, F1: 0.0175555, HIT_RATE: 0.1141108, ARHR: 0.0541726, RMSE: nan, NOVELTY: 0.0060401, AVERAGE_POPULARITY: 0.4878527, DIVERSITY_MEAN_INTER_LIST: 0.8777663, DIVERSITY_HERFINDAHL: 0.9877724, COVERAGE_ITEM: 0.2466613, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0583857, SHANNON_ENTROPY: 7.5362253, 
SearchBayesianSkoptObject: New best config found. Config 13: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 80, 'USER_CF': 100, 'ITEM_CBF_NUM': 6, 'ITEM_CBF_CAT': 70} - results: ROC_AUC: 0.0787338, PRECISION: 0.0127175, PRECISION_RECALL_MIN_DEN: 0.0423918, RECALL: 0.0423918, MAP: 0.0206114, MRR: 0.0571009, NDCG: 0.0353166, F1: 0.0195655, HIT_RATE: 0.1271754, ARHR: 0.0594230, RMSE: nan, NOVELTY: 0.0060066, AVERAGE_POPULARITY: 0.5267449, DIVERSITY_MEAN_INTER_LIST: 0.8567775, DIVERSITY_HERFINDAHL: 0.9856736, COVERAGE_ITEM: 0.1808597, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0474228, SHANNON_ENTROPY: 7.0395162, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 0, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0758002, PRECISION: 0.0123126, PRECISION_RECALL_MIN_DEN: 0.0410420, RECALL: 0.0410420, MAP: 0.0197704, MRR: 0.0548809, NDCG: 0.0340144, F1: 0.0189424, HIT_RATE: 0.1231259, ARHR: 0.0570598, RMSE: nan, NOVELTY: 0.0059673, AVERAGE_POPULARITY: 0.5396689, DIVERSITY_MEAN_INTER_LIST: 0.8475565, DIVERSITY_HERFINDAHL: 0.9847516, COVERAGE_ITEM: 0.1511219, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476015, SHANNON_ENTROPY: 6.8885373, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 98, 'USER_CF': 94, 'ITEM_CBF_NUM': 98, 'ITEM_CBF_CAT': 9} - results: ROC_AUC: 0.0743525, PRECISION: 0.0118353, PRECISION_RECALL_MIN_DEN: 0.0394511, RECALL: 0.0394511, MAP: 0.0195973, MRR: 0.0542364, NDCG: 0.0333032, F1: 0.0182082, HIT_RATE: 0.1183532, ARHR: 0.0564725, RMSE: nan, NOVELTY: 0.0060520, AVERAGE_POPULARITY: 0.4787202, DIVERSITY_MEAN_INTER_LIST: 0.8833306, DIVERSITY_HERFINDAHL: 0.9883288, COVERAGE_ITEM: 0.2559611, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0597036, SHANNON_ENTROPY: 7.6207641, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 20, 'USER_CF': 97, 'ITEM_CBF_NUM': 6, 'ITEM_CBF_CAT': 83} - results: ROC_AUC: 0.0767204, PRECISION: 0.0124138, PRECISION_RECALL_MIN_DEN: 0.0413794, RECALL: 0.0413794, MAP: 0.0199937, MRR: 0.0554805, NDCG: 0.0343583, F1: 0.0190982, HIT_RATE: 0.1241383, ARHR: 0.0576939, RMSE: nan, NOVELTY: 0.0059919, AVERAGE_POPULARITY: 0.5334690, DIVERSITY_MEAN_INTER_LIST: 0.8529922, DIVERSITY_HERFINDAHL: 0.9852951, COVERAGE_ITEM: 0.1676129, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0467519, SHANNON_ENTROPY: 6.9626861, 
SearchBayesianSkoptObject: New best config found. Config 17: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 98, 'USER_CF': 100, 'ITEM_CBF_NUM': 2, 'ITEM_CBF_CAT': 83} - results: ROC_AUC: 0.0800274, PRECISION: 0.0129972, PRECISION_RECALL_MIN_DEN: 0.0433239, RECALL: 0.0433239, MAP: 0.0209430, MRR: 0.0579894, NDCG: 0.0359576, F1: 0.0199956, HIT_RATE: 0.1299716, ARHR: 0.0603645, RMSE: nan, NOVELTY: 0.0057722, AVERAGE_POPULARITY: 0.5449814, DIVERSITY_MEAN_INTER_LIST: 0.8539340, DIVERSITY_HERFINDAHL: 0.9853893, COVERAGE_ITEM: 0.1852393, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0469746, SHANNON_ENTROPY: 7.0211091, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 98, 'USER_CF': 98, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 42} - results: ROC_AUC: 0.0739459, PRECISION: 0.0115316, PRECISION_RECALL_MIN_DEN: 0.0384387, RECALL: 0.0384387, MAP: 0.0195118, MRR: 0.0540866, NDCG: 0.0329144, F1: 0.0177409, HIT_RATE: 0.1153160, ARHR: 0.0562717, RMSE: nan, NOVELTY: 0.0060338, AVERAGE_POPULARITY: 0.4909342, DIVERSITY_MEAN_INTER_LIST: 0.8761211, DIVERSITY_HERFINDAHL: 0.9876079, COVERAGE_ITEM: 0.2407678, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0577220, SHANNON_ENTROPY: 7.5002839, 
SearchBayesianSkoptObject: New best config found. Config 19: {'strategy': 'weighted_avg', 'multiplier_cutoff': 5, 'ITEM_CF': 3, 'USER_CF': 2, 'ITEM_CBF_NUM': 1, 'ITEM_CBF_CAT': 96} - results: ROC_AUC: 0.0798080, PRECISION: 0.0128332, PRECISION_RECALL_MIN_DEN: 0.0427775, RECALL: 0.0427775, MAP: 0.0209991, MRR: 0.0577950, NDCG: 0.0357859, F1: 0.0197435, HIT_RATE: 0.1283324, ARHR: 0.0603428, RMSE: nan, NOVELTY: 0.0060751, AVERAGE_POPULARITY: 0.4867074, DIVERSITY_MEAN_INTER_LIST: 0.8842054, DIVERSITY_HERFINDAHL: 0.9884163, COVERAGE_ITEM: 0.2458502, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0520709, SHANNON_ENTROPY: 7.4633035, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 7, 'USER_CF': 97, 'ITEM_CBF_NUM': 7, 'ITEM_CBF_CAT': 92} - results: ROC_AUC: 0.0761055, PRECISION: 0.0123222, PRECISION_RECALL_MIN_DEN: 0.0410741, RECALL: 0.0410741, MAP: 0.0198276, MRR: 0.0550301, NDCG: 0.0340862, F1: 0.0189573, HIT_RATE: 0.1232223, ARHR: 0.0572198, RMSE: nan, NOVELTY: 0.0059365, AVERAGE_POPULARITY: 0.5400435, DIVERSITY_MEAN_INTER_LIST: 0.8477115, DIVERSITY_HERFINDAHL: 0.9847671, COVERAGE_ITEM: 0.1573939, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0467180, SHANNON_ENTROPY: 6.8941912, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 0, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0758002, PRECISION: 0.0123126, PRECISION_RECALL_MIN_DEN: 0.0410420, RECALL: 0.0410420, MAP: 0.0197704, MRR: 0.0548809, NDCG: 0.0340144, F1: 0.0189424, HIT_RATE: 0.1231259, ARHR: 0.0570598, RMSE: nan, NOVELTY: 0.0059673, AVERAGE_POPULARITY: 0.5396689, DIVERSITY_MEAN_INTER_LIST: 0.8475565, DIVERSITY_HERFINDAHL: 0.9847516, COVERAGE_ITEM: 0.1511219, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476015, SHANNON_ENTROPY: 6.8885373, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 1, 'USER_CF': 0, 'ITEM_CBF_NUM': 94, 'ITEM_CBF_CAT': 91} - results: ROC_AUC: 0.0110894, PRECISION: 0.0021405, PRECISION_RECALL_MIN_DEN: 0.0071349, RECALL: 0.0071349, MAP: 0.0023870, MRR: 0.0070508, NDCG: 0.0048659, F1: 0.0032930, HIT_RATE: 0.0214048, ARHR: 0.0071059, RMSE: nan, NOVELTY: 0.0066362, AVERAGE_POPULARITY: 0.2358499, DIVERSITY_MEAN_INTER_LIST: 0.9357752, DIVERSITY_HERFINDAHL: 0.9935730, COVERAGE_ITEM: 0.5128954, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1462411, SHANNON_ENTROPY: 9.6296365, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 96, 'USER_CF': 99, 'ITEM_CBF_NUM': 8, 'ITEM_CBF_CAT': 78} - results: ROC_AUC: 0.0798102, PRECISION: 0.0130020, PRECISION_RECALL_MIN_DEN: 0.0433399, RECALL: 0.0433399, MAP: 0.0208749, MRR: 0.0577827, NDCG: 0.0358866, F1: 0.0200030, HIT_RATE: 0.1300198, ARHR: 0.0601591, RMSE: nan, NOVELTY: 0.0057768, AVERAGE_POPULARITY: 0.5412462, DIVERSITY_MEAN_INTER_LIST: 0.8576108, DIVERSITY_HERFINDAHL: 0.9857569, COVERAGE_ITEM: 0.1850770, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0475787, SHANNON_ENTROPY: 7.0587628, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 4, 'ITEM_CBF_CAT': 7} - results: ROC_AUC: 0.0794268, PRECISION: 0.0128236, PRECISION_RECALL_MIN_DEN: 0.0427453, RECALL: 0.0427453, MAP: 0.0208170, MRR: 0.0576319, NDCG: 0.0356413, F1: 0.0197286, HIT_RATE: 0.1282360, ARHR: 0.0599967, RMSE: nan, NOVELTY: 0.0059929, AVERAGE_POPULARITY: 0.5255864, DIVERSITY_MEAN_INTER_LIST: 0.8565920, DIVERSITY_HERFINDAHL: 0.9856551, COVERAGE_ITEM: 0.1850230, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0475903, SHANNON_ENTROPY: 7.0510065, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 79, 'USER_CF': 100, 'ITEM_CBF_NUM': 2, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0793302, PRECISION: 0.0128766, PRECISION_RECALL_MIN_DEN: 0.0429221, RECALL: 0.0429221, MAP: 0.0207549, MRR: 0.0574943, NDCG: 0.0356345, F1: 0.0198102, HIT_RATE: 0.1287663, ARHR: 0.0598362, RMSE: nan, NOVELTY: 0.0057667, AVERAGE_POPULARITY: 0.5474759, DIVERSITY_MEAN_INTER_LIST: 0.8525069, DIVERSITY_HERFINDAHL: 0.9852466, COVERAGE_ITEM: 0.1806975, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0465872, SHANNON_ENTROPY: 6.9926890, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 6, 'USER_CF': 98, 'ITEM_CBF_NUM': 2, 'ITEM_CBF_CAT': 3} - results: ROC_AUC: 0.0765795, PRECISION: 0.0125151, PRECISION_RECALL_MIN_DEN: 0.0417169, RECALL: 0.0417169, MAP: 0.0199435, MRR: 0.0553378, NDCG: 0.0344064, F1: 0.0192539, HIT_RATE: 0.1251507, ARHR: 0.0575477, RMSE: nan, NOVELTY: 0.0057489, AVERAGE_POPULARITY: 0.5557454, DIVERSITY_MEAN_INTER_LIST: 0.8477190, DIVERSITY_HERFINDAHL: 0.9847678, COVERAGE_ITEM: 0.1658286, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0455712, SHANNON_ENTROPY: 6.8980381, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 87, 'USER_CF': 100, 'ITEM_CBF_NUM': 3, 'ITEM_CBF_CAT': 95} - results: ROC_AUC: 0.0789994, PRECISION: 0.0126501, PRECISION_RECALL_MIN_DEN: 0.0421668, RECALL: 0.0421668, MAP: 0.0206328, MRR: 0.0572008, NDCG: 0.0352835, F1: 0.0194616, HIT_RATE: 0.1265005, ARHR: 0.0595081, RMSE: nan, NOVELTY: 0.0059518, AVERAGE_POPULARITY: 0.5303352, DIVERSITY_MEAN_INTER_LIST: 0.8533004, DIVERSITY_HERFINDAHL: 0.9853259, COVERAGE_ITEM: 0.1766423, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0472586, SHANNON_ENTROPY: 7.0015170, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0782254, PRECISION: 0.0123126, PRECISION_RECALL_MIN_DEN: 0.0410420, RECALL: 0.0410420, MAP: 0.0204949, MRR: 0.0568861, NDCG: 0.0347978, F1: 0.0189424, HIT_RATE: 0.1231259, ARHR: 0.0591462, RMSE: nan, NOVELTY: 0.0059673, AVERAGE_POPULARITY: 0.5396689, DIVERSITY_MEAN_INTER_LIST: 0.8475565, DIVERSITY_HERFINDAHL: 0.9847516, COVERAGE_ITEM: 0.1511219, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476015, SHANNON_ENTROPY: 6.8885373, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 57, 'USER_CF': 99, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0719295, PRECISION: 0.0113050, PRECISION_RECALL_MIN_DEN: 0.0376834, RECALL: 0.0376834, MAP: 0.0188383, MRR: 0.0523194, NDCG: 0.0319759, F1: 0.0173923, HIT_RATE: 0.1130502, ARHR: 0.0543779, RMSE: nan, NOVELTY: 0.0061241, AVERAGE_POPULARITY: 0.4556471, DIVERSITY_MEAN_INTER_LIST: 0.9015107, DIVERSITY_HERFINDAHL: 0.9901467, COVERAGE_ITEM: 0.2523925, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0609612, SHANNON_ENTROPY: 7.7882217, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0782254, PRECISION: 0.0123126, PRECISION_RECALL_MIN_DEN: 0.0410420, RECALL: 0.0410420, MAP: 0.0204949, MRR: 0.0568861, NDCG: 0.0347978, F1: 0.0189424, HIT_RATE: 0.1231259, ARHR: 0.0591462, RMSE: nan, NOVELTY: 0.0059673, AVERAGE_POPULARITY: 0.5396689, DIVERSITY_MEAN_INTER_LIST: 0.8475565, DIVERSITY_HERFINDAHL: 0.9847516, COVERAGE_ITEM: 0.1511219, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476015, SHANNON_ENTROPY: 6.8885373, 
