CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 101, 'shrink': 950, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.047707±0.0022, PRECISION: 0.007416±0.0003, PRECISION_RECALL_MIN_DEN: 0.074164±0.0030, RECALL: 0.074164±0.0030, MAP: 0.032853±0.0020, MRR: 0.032853±0.0020, NDCG: 0.042449±0.0022, F1: 0.013484±0.0005, HIT_RATE: 0.074164±0.0030, ARHR: 0.032853±0.0020, RMSE: 0.972989±0.0004, NOVELTY: 0.005891±0.0000, AVERAGE_POPULARITY: 0.388002±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.963276±0.0002, DIVERSITY_HERFINDAHL: 0.996306±0.0000, COVERAGE_ITEM: 0.211960±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.184693±0.0003, SHANNON_ENTROPY: 9.432566±0.0057, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 76, 'shrink': 836, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.036636±0.0014, PRECISION: 0.005547±0.0002, PRECISION_RECALL_MIN_DEN: 0.055465±0.0015, RECALL: 0.055465±0.0015, MAP: 0.025206±0.0014, MRR: 0.025206±0.0014, NDCG: 0.032269±0.0014, F1: 0.010085±0.0003, HIT_RATE: 0.055465±0.0015, ARHR: 0.025206±0.0014, RMSE: 0.846611±0.0014, NOVELTY: 0.005237±0.0000, AVERAGE_POPULARITY: 0.608934±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.891292±0.0006, DIVERSITY_HERFINDAHL: 0.989109±0.0001, COVERAGE_ITEM: 0.047083±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.156616±0.0017, SHANNON_ENTROPY: 7.368293±0.0058, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 8, 'shrink': 764, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.043335±0.0009, PRECISION: 0.006816±0.0002, PRECISION_RECALL_MIN_DEN: 0.068157±0.0020, RECALL: 0.068157±0.0020, MAP: 0.029149±0.0011, MRR: 0.029149±0.0011, NDCG: 0.038214±0.0013, F1: 0.012392±0.0004, HIT_RATE: 0.068157±0.0020, ARHR: 0.029149±0.0011, RMSE: 0.937128±0.0011, NOVELTY: 0.005553±0.0000, AVERAGE_POPULARITY: 0.439930±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.957384±0.0001, DIVERSITY_HERFINDAHL: 0.995717±0.0000, COVERAGE_ITEM: 0.065347±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238546±0.0007, SHANNON_ENTROPY: 8.559175±0.0026, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 2, 'shrink': 1871, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.042758±0.0021, PRECISION: 0.006879±0.0003, PRECISION_RECALL_MIN_DEN: 0.068790±0.0031, RECALL: 0.068790±0.0031, MAP: 0.028798±0.0017, MRR: 0.028798±0.0017, NDCG: 0.038061±0.0019, F1: 0.012507±0.0006, HIT_RATE: 0.068790±0.0031, ARHR: 0.028798±0.0017, RMSE: 0.996270±0.0001, NOVELTY: 0.005604±0.0000, AVERAGE_POPULARITY: 0.415732±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.963986±0.0002, DIVERSITY_HERFINDAHL: 0.996377±0.0000, COVERAGE_ITEM: 0.076258±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.237416±0.0007, SHANNON_ENTROPY: 8.778507±0.0081, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 61, 'shrink': 528, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.039461±0.0018, PRECISION: 0.005998±0.0002, PRECISION_RECALL_MIN_DEN: 0.059982±0.0017, RECALL: 0.059982±0.0017, MAP: 0.026850±0.0017, MRR: 0.026850±0.0017, NDCG: 0.034586±0.0016, F1: 0.010906±0.0003, HIT_RATE: 0.059982±0.0017, ARHR: 0.026850±0.0017, RMSE: 0.968595±0.0005, NOVELTY: 0.005325±0.0000, AVERAGE_POPULARITY: 0.559581±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.918356±0.0003, DIVERSITY_HERFINDAHL: 0.991815±0.0000, COVERAGE_ITEM: 0.055193±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.175433±0.0012, SHANNON_ENTROPY: 7.778330±0.0057, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 159, 'shrink': 868, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.034653±0.0022, PRECISION: 0.005276±0.0002, PRECISION_RECALL_MIN_DEN: 0.052755±0.0024, RECALL: 0.052755±0.0024, MAP: 0.023718±0.0016, MRR: 0.023718±0.0016, NDCG: 0.030494±0.0017, F1: 0.009592±0.0004, HIT_RATE: 0.052755±0.0024, ARHR: 0.023718±0.0016, RMSE: 0.962425±0.0005, NOVELTY: 0.005127±0.0000, AVERAGE_POPULARITY: 0.675678±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.832696±0.0007, DIVERSITY_HERFINDAHL: 0.983251±0.0001, COVERAGE_ITEM: 0.037935±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127737±0.0006, SHANNON_ENTROPY: 6.734666±0.0050, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 112, 'shrink': 1685, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.046873±0.0024, PRECISION: 0.007154±0.0004, PRECISION_RECALL_MIN_DEN: 0.071545±0.0038, RECALL: 0.071545±0.0038, MAP: 0.032091±0.0021, MRR: 0.032091±0.0021, NDCG: 0.041289±0.0024, F1: 0.013008±0.0007, HIT_RATE: 0.071545±0.0038, ARHR: 0.032091±0.0021, RMSE: 0.981225±0.0003, NOVELTY: 0.005652±0.0000, AVERAGE_POPULARITY: 0.471522±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.940504±0.0002, DIVERSITY_HERFINDAHL: 0.994029±0.0000, COVERAGE_ITEM: 0.162660±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.154986±0.0003, SHANNON_ENTROPY: 8.744464±0.0052, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 68, 'shrink': 1932, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.034407±0.0012, PRECISION: 0.005230±0.0001, PRECISION_RECALL_MIN_DEN: 0.052304±0.0005, RECALL: 0.052304±0.0005, MAP: 0.023718±0.0010, MRR: 0.023718±0.0010, NDCG: 0.030384±0.0008, F1: 0.009510±0.0001, HIT_RATE: 0.052304±0.0005, ARHR: 0.023718±0.0010, RMSE: 0.904082±0.0010, NOVELTY: 0.005175±0.0000, AVERAGE_POPULARITY: 0.646314±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.865773±0.0009, DIVERSITY_HERFINDAHL: 0.986558±0.0001, COVERAGE_ITEM: 0.042379±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.141078±0.0005, SHANNON_ENTROPY: 7.053747±0.0083, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 177, 'shrink': 1352, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.032530±0.0017, PRECISION: 0.004977±0.0002, PRECISION_RECALL_MIN_DEN: 0.049774±0.0021, RECALL: 0.049774±0.0021, MAP: 0.022355±0.0010, MRR: 0.022355±0.0010, NDCG: 0.028743±0.0012, F1: 0.009050±0.0004, HIT_RATE: 0.049774±0.0021, ARHR: 0.022355±0.0010, RMSE: 0.969788±0.0004, NOVELTY: 0.005075±0.0000, AVERAGE_POPULARITY: 0.710006±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.794257±0.0014, DIVERSITY_HERFINDAHL: 0.979408±0.0001, COVERAGE_ITEM: 0.032387±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117481±0.0009, SHANNON_ENTROPY: 6.393399±0.0060, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 57, 'shrink': 1871, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.034934±0.0016, PRECISION: 0.005361±0.0002, PRECISION_RECALL_MIN_DEN: 0.053613±0.0017, RECALL: 0.053613±0.0017, MAP: 0.023973±0.0014, MRR: 0.023973±0.0014, NDCG: 0.030881±0.0015, F1: 0.009748±0.0003, HIT_RATE: 0.053613±0.0017, ARHR: 0.023973±0.0014, RMSE: 0.984547±0.0002, NOVELTY: 0.005203±0.0000, AVERAGE_POPULARITY: 0.629433±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.879467±0.0008, DIVERSITY_HERFINDAHL: 0.987927±0.0001, COVERAGE_ITEM: 0.044325±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148964±0.0002, SHANNON_ENTROPY: 7.206847±0.0074, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 179, 'shrink': 1889, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.031562±0.0015, PRECISION: 0.004855±0.0002, PRECISION_RECALL_MIN_DEN: 0.048555±0.0025, RECALL: 0.048555±0.0025, MAP: 0.021661±0.0011, MRR: 0.021661±0.0011, NDCG: 0.027922±0.0013, F1: 0.008828±0.0005, HIT_RATE: 0.048555±0.0025, ARHR: 0.021661±0.0011, RMSE: 0.975815±0.0003, NOVELTY: 0.005051±0.0000, AVERAGE_POPULARITY: 0.726599±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.773531±0.0017, DIVERSITY_HERFINDAHL: 0.977336±0.0002, COVERAGE_ITEM: 0.029965±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112694±0.0008, SHANNON_ENTROPY: 6.227357±0.0060, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 183, 'shrink': 923, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.033604±0.0022, PRECISION: 0.005172±0.0003, PRECISION_RECALL_MIN_DEN: 0.051716±0.0025, RECALL: 0.051716±0.0025, MAP: 0.023095±0.0013, MRR: 0.023095±0.0013, NDCG: 0.029757±0.0015, F1: 0.009403±0.0005, HIT_RATE: 0.051716±0.0025, ARHR: 0.023095±0.0013, RMSE: 0.961678±0.0005, NOVELTY: 0.005104±0.0000, AVERAGE_POPULARITY: 0.691048±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.814379±0.0012, DIVERSITY_HERFINDAHL: 0.981420±0.0001, COVERAGE_ITEM: 0.035296±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122579±0.0009, SHANNON_ENTROPY: 6.572179±0.0049, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 19, 'shrink': 1410, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.039687±0.0017, PRECISION: 0.006107±0.0002, PRECISION_RECALL_MIN_DEN: 0.061066±0.0024, RECALL: 0.061066±0.0024, MAP: 0.027178±0.0015, MRR: 0.027178±0.0015, NDCG: 0.035070±0.0016, F1: 0.011103±0.0004, HIT_RATE: 0.061066±0.0024, ARHR: 0.027178±0.0015, RMSE: 0.933851±0.0009, NOVELTY: 0.005380±0.0000, AVERAGE_POPULARITY: 0.525601±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.935274±0.0001, DIVERSITY_HERFINDAHL: 0.993506±0.0000, COVERAGE_ITEM: 0.055204±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.197594±0.0019, SHANNON_ENTROPY: 8.009730±0.0031, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 74, 'shrink': 1794, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.034347±0.0013, PRECISION: 0.005266±0.0001, PRECISION_RECALL_MIN_DEN: 0.052665±0.0014, RECALL: 0.052665±0.0014, MAP: 0.023488±0.0013, MRR: 0.023488±0.0013, NDCG: 0.030288±0.0012, F1: 0.009575±0.0003, HIT_RATE: 0.052665±0.0014, ARHR: 0.023488±0.0013, RMSE: 0.896040±0.0010, NOVELTY: 0.005168±0.0000, AVERAGE_POPULARITY: 0.650695±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.861488±0.0008, DIVERSITY_HERFINDAHL: 0.986129±0.0001, COVERAGE_ITEM: 0.041892±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138832±0.0011, SHANNON_ENTROPY: 7.010982±0.0059, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 192, 'shrink': 869, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.033660±0.0023, PRECISION: 0.005126±0.0004, PRECISION_RECALL_MIN_DEN: 0.051265±0.0036, RECALL: 0.051265±0.0036, MAP: 0.023248±0.0013, MRR: 0.023248±0.0013, NDCG: 0.029773±0.0017, F1: 0.009321±0.0007, HIT_RATE: 0.051265±0.0036, ARHR: 0.023248±0.0013, RMSE: 0.959715±0.0005, NOVELTY: 0.005103±0.0000, AVERAGE_POPULARITY: 0.691403±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.813025±0.0013, DIVERSITY_HERFINDAHL: 0.981284±0.0001, COVERAGE_ITEM: 0.035177±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122251±0.0007, SHANNON_ENTROPY: 6.563010±0.0086, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'shrink': 3, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.013645±0.0010, PRECISION: 0.002529±0.0002, PRECISION_RECALL_MIN_DEN: 0.025294±0.0020, RECALL: 0.025294±0.0020, MAP: 0.008883±0.0007, MRR: 0.008883±0.0007, NDCG: 0.012632±0.0009, F1: 0.004599±0.0004, HIT_RATE: 0.025294±0.0020, ARHR: 0.008883±0.0007, RMSE: 0.956770±0.0011, NOVELTY: 0.007846±0.0000, AVERAGE_POPULARITY: 0.023237±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.998981±0.0000, DIVERSITY_HERFINDAHL: 0.999876±0.0000, COVERAGE_ITEM: 0.707294±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.616664±0.0006, SHANNON_ENTROPY: 13.314554±0.0036, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 200, 'shrink': 2000, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.041669±0.0019, PRECISION: 0.006251±0.0002, PRECISION_RECALL_MIN_DEN: 0.062511±0.0025, RECALL: 0.062511±0.0025, MAP: 0.028777±0.0018, MRR: 0.028777±0.0018, NDCG: 0.036651±0.0019, F1: 0.011366±0.0004, HIT_RATE: 0.062511±0.0025, ARHR: 0.028777±0.0018, RMSE: 0.978265±0.0003, NOVELTY: 0.005394±0.0000, AVERAGE_POPULARITY: 0.580082±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.889329±0.0006, DIVERSITY_HERFINDAHL: 0.988913±0.0001, COVERAGE_ITEM: 0.121557±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118792±0.0002, SHANNON_ENTROPY: 7.814860±0.0098, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 1, 'shrink': 767, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.045067±0.0036, PRECISION: 0.006924±0.0005, PRECISION_RECALL_MIN_DEN: 0.069241±0.0050, RECALL: 0.069241±0.0050, MAP: 0.029991±0.0025, MRR: 0.029991±0.0025, NDCG: 0.039159±0.0031, F1: 0.012589±0.0009, HIT_RATE: 0.069241±0.0050, ARHR: 0.029991±0.0025, RMSE: 0.995450±0.0002, NOVELTY: 0.005807±0.0000, AVERAGE_POPULARITY: 0.338223±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.977947±0.0002, DIVERSITY_HERFINDAHL: 0.997773±0.0000, COVERAGE_ITEM: 0.102795±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.276253±0.0011, SHANNON_ENTROPY: 9.441572±0.0114, 
