CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 127, 'shrink': 714, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.13858164166184, 'feature_weighting': 'none'} - results: ROC_AUC: 0.036726±0.0018, PRECISION: 0.005614±0.0002, PRECISION_RECALL_MIN_DEN: 0.056143±0.0018, RECALL: 0.056143±0.0018, MAP: 0.025299±0.0017, MRR: 0.025299±0.0017, NDCG: 0.032487±0.0017, F1: 0.010208±0.0003, HIT_RATE: 0.056143±0.0018, ARHR: 0.025299±0.0017, RMSE: 0.746858±0.0019, NOVELTY: 0.005250±0.0000, AVERAGE_POPULARITY: 0.596303±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.887682±0.0012, DIVERSITY_HERFINDAHL: 0.988748±0.0001, COVERAGE_ITEM: 0.050435±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143855±0.0007, SHANNON_ENTROPY: 7.335971±0.0085, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 29, 'shrink': 348, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6464044178591262, 'feature_weighting': 'none'} - results: ROC_AUC: 0.036440±0.0025, PRECISION: 0.005470±0.0004, PRECISION_RECALL_MIN_DEN: 0.054697±0.0039, RECALL: 0.054697±0.0039, MAP: 0.024131±0.0016, MRR: 0.024131±0.0016, NDCG: 0.031303±0.0021, F1: 0.009945±0.0007, HIT_RATE: 0.054697±0.0039, ARHR: 0.024131±0.0016, RMSE: 0.954113±0.0012, NOVELTY: 0.006986±0.0000, AVERAGE_POPULARITY: 0.098593±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.994132±0.0001, DIVERSITY_HERFINDAHL: 0.999391±0.0000, COVERAGE_ITEM: 0.543131±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.403237±0.0007, SHANNON_ENTROPY: 12.075917±0.0076, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 161, 'shrink': 262, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0062771181311798, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.018488±0.0013, PRECISION: 0.002891±0.0002, PRECISION_RECALL_MIN_DEN: 0.028907±0.0017, RECALL: 0.028907±0.0017, MAP: 0.012190±0.0010, MRR: 0.012190±0.0010, NDCG: 0.016090±0.0011, F1: 0.005256±0.0003, HIT_RATE: 0.028907±0.0017, ARHR: 0.012190±0.0010, RMSE: 0.717975±0.0011, NOVELTY: 0.004739±0.0000, AVERAGE_POPULARITY: 0.055599±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.991164±0.0001, DIVERSITY_HERFINDAHL: 0.999094±0.0000, COVERAGE_ITEM: 0.396172±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.341945±0.0010, SHANNON_ENTROPY: 11.438282±0.0089, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 175, 'shrink': 700, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9164195216359747, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.012456±0.0010, PRECISION: 0.001992±0.0001, PRECISION_RECALL_MIN_DEN: 0.019919±0.0014, RECALL: 0.019919±0.0014, MAP: 0.008564±0.0007, MRR: 0.008564±0.0007, NDCG: 0.011193±0.0008, F1: 0.003622±0.0003, HIT_RATE: 0.019919±0.0014, ARHR: 0.008564±0.0007, RMSE: 2.495540±0.0194, NOVELTY: 0.006768±0.0000, AVERAGE_POPULARITY: 0.084652±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.972650±0.0010, DIVERSITY_HERFINDAHL: 0.997243±0.0001, COVERAGE_ITEM: 0.168002±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.234413±0.0032, SHANNON_ENTROPY: 9.695440±0.0299, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 105, 'shrink': 900, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9190867048217626, 'feature_weighting': 'none'} - results: ROC_AUC: 0.035456±0.0014, PRECISION: 0.005370±0.0001, PRECISION_RECALL_MIN_DEN: 0.053704±0.0012, RECALL: 0.053704±0.0012, MAP: 0.023892±0.0012, MRR: 0.023892±0.0012, NDCG: 0.030862±0.0011, F1: 0.009764±0.0002, HIT_RATE: 0.053704±0.0012, ARHR: 0.023892±0.0012, RMSE: 0.789561±0.0017, NOVELTY: 0.005195±0.0000, AVERAGE_POPULARITY: 0.633773±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.869137±0.0007, DIVERSITY_HERFINDAHL: 0.986894±0.0001, COVERAGE_ITEM: 0.046650±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134772±0.0004, SHANNON_ENTROPY: 7.111147±0.0039, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 171, 'shrink': 1397, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.012657220483448087, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033825±0.0012, PRECISION: 0.005384±0.0002, PRECISION_RECALL_MIN_DEN: 0.053839±0.0015, RECALL: 0.053839±0.0015, MAP: 0.022681±0.0011, MRR: 0.022681±0.0011, NDCG: 0.029911±0.0009, F1: 0.009789±0.0003, HIT_RATE: 0.053839±0.0015, ARHR: 0.022681±0.0011, RMSE: 0.800399±0.0022, NOVELTY: 0.006765±0.0000, AVERAGE_POPULARITY: 0.068857±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.995597±0.0000, DIVERSITY_HERFINDAHL: 0.999537±0.0000, COVERAGE_ITEM: 0.544363±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.400209±0.0005, SHANNON_ENTROPY: 12.171606±0.0057, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 156, 'shrink': 1821, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5025950247391189, 'feature_weighting': 'none'} - results: ROC_AUC: 0.028390±0.0009, PRECISION: 0.004354±0.0002, PRECISION_RECALL_MIN_DEN: 0.043541±0.0016, RECALL: 0.043541±0.0016, MAP: 0.019654±0.0010, MRR: 0.019654±0.0010, NDCG: 0.025206±0.0009, F1: 0.007917±0.0003, HIT_RATE: 0.043541±0.0016, ARHR: 0.019654±0.0010, RMSE: 0.828038±0.0019, NOVELTY: 0.005002±0.0000, AVERAGE_POPULARITY: 0.764966±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.714889±0.0019, DIVERSITY_HERFINDAHL: 0.971473±0.0002, COVERAGE_ITEM: 0.027672±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.094474±0.0010, SHANNON_ENTROPY: 5.839663±0.0066, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 50, 'shrink': 1044, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9688576400719313, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.025414±0.0017, PRECISION: 0.003911±0.0002, PRECISION_RECALL_MIN_DEN: 0.039115±0.0018, RECALL: 0.039115±0.0018, MAP: 0.017630±0.0015, MRR: 0.017630±0.0015, NDCG: 0.022624±0.0016, F1: 0.007112±0.0003, HIT_RATE: 0.039115±0.0018, ARHR: 0.017630±0.0015, RMSE: 0.970067±0.0009, NOVELTY: 0.005159±0.0000, AVERAGE_POPULARITY: 0.047838±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997121±0.0000, DIVERSITY_HERFINDAHL: 0.999690±0.0000, COVERAGE_ITEM: 0.529062±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.470540±0.0013, SHANNON_ENTROPY: 12.474553±0.0046, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 34, 'shrink': 1109, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8631731868129437, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.034939±0.0018, PRECISION: 0.005456±0.0003, PRECISION_RECALL_MIN_DEN: 0.054562±0.0026, RECALL: 0.054562±0.0026, MAP: 0.024053±0.0013, MRR: 0.024053±0.0013, NDCG: 0.031134±0.0015, F1: 0.009920±0.0005, HIT_RATE: 0.054562±0.0026, ARHR: 0.024053±0.0013, RMSE: 1.213592±0.0202, NOVELTY: 0.005194±0.0000, AVERAGE_POPULARITY: 0.636339±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.877220±0.0006, DIVERSITY_HERFINDAHL: 0.987702±0.0001, COVERAGE_ITEM: 0.044261±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144711±0.0011, SHANNON_ENTROPY: 7.164783±0.0046, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 82, 'shrink': 314, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0140768790800097, 'feature_weighting': 'none'} - results: ROC_AUC: 0.040941±0.0012, PRECISION: 0.006242±0.0001, PRECISION_RECALL_MIN_DEN: 0.062421±0.0006, RECALL: 0.062421±0.0006, MAP: 0.027964±0.0014, MRR: 0.027964±0.0014, NDCG: 0.036002±0.0012, F1: 0.011349±0.0001, HIT_RATE: 0.062421±0.0006, ARHR: 0.027964±0.0014, RMSE: 0.916877±0.0008, NOVELTY: 0.005483±0.0000, AVERAGE_POPULARITY: 0.472032±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.942173±0.0005, DIVERSITY_HERFINDAHL: 0.994196±0.0001, COVERAGE_ITEM: 0.073717±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.182370±0.0007, SHANNON_ENTROPY: 8.270502±0.0049, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 128, 'shrink': 953, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.2864840610936255, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033529±0.0012, PRECISION: 0.005303±0.0002, PRECISION_RECALL_MIN_DEN: 0.053026±0.0019, RECALL: 0.053026±0.0019, MAP: 0.022495±0.0013, MRR: 0.022495±0.0013, NDCG: 0.029587±0.0010, F1: 0.009641±0.0003, HIT_RATE: 0.053026±0.0019, ARHR: 0.022495±0.0013, RMSE: 0.934972±0.0012, NOVELTY: 0.006766±0.0000, AVERAGE_POPULARITY: 0.066504±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.995657±0.0000, DIVERSITY_HERFINDAHL: 0.999543±0.0000, COVERAGE_ITEM: 0.544763±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.401960±0.0007, SHANNON_ENTROPY: 12.182249±0.0064, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 147, 'shrink': 1623, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6557379028396453, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.010138±0.0011, PRECISION: 0.001554±0.0000, PRECISION_RECALL_MIN_DEN: 0.015537±0.0004, RECALL: 0.015537±0.0004, MAP: 0.007178±0.0007, MRR: 0.007178±0.0007, NDCG: 0.009120±0.0006, F1: 0.002825±0.0001, HIT_RATE: 0.015537±0.0004, ARHR: 0.007178±0.0007, RMSE: 0.911745±0.0018, NOVELTY: 0.005549±0.0000, AVERAGE_POPULARITY: 0.006812±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.998747±0.0000, DIVERSITY_HERFINDAHL: 0.999852±0.0000, COVERAGE_ITEM: 0.629770±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.581039±0.0014, SHANNON_ENTROPY: 13.083013±0.0027, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 156, 'shrink': 389, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4845881846203366, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.004763±0.0010, PRECISION: 0.000759±0.0001, PRECISION_RECALL_MIN_DEN: 0.007588±0.0010, RECALL: 0.007588±0.0010, MAP: 0.003233±0.0008, MRR: 0.003233±0.0008, NDCG: 0.004242±0.0008, F1: 0.001380±0.0002, HIT_RATE: 0.007588±0.0010, ARHR: 0.003233±0.0008, RMSE: 0.856273±0.0057, NOVELTY: 0.003419±0.0000, AVERAGE_POPULARITY: 0.002020±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.997905±0.0000, DIVERSITY_HERFINDAHL: 0.999768±0.0000, COVERAGE_ITEM: 0.458362±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.518372±0.0008, SHANNON_ENTROPY: 12.487657±0.0022, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 15, 'shrink': 114, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.172607817196113, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035070±0.0013, PRECISION: 0.005551±0.0001, PRECISION_RECALL_MIN_DEN: 0.055510±0.0011, RECALL: 0.055510±0.0011, MAP: 0.022921±0.0015, MRR: 0.022921±0.0015, NDCG: 0.030513±0.0013, F1: 0.010093±0.0002, HIT_RATE: 0.055510±0.0011, ARHR: 0.022921±0.0015, RMSE: 2.630089±0.0759, NOVELTY: 0.006900±0.0000, AVERAGE_POPULARITY: 0.064460±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.995358±0.0000, DIVERSITY_HERFINDAHL: 0.999513±0.0000, COVERAGE_ITEM: 0.495356±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.392311±0.0007, SHANNON_ENTROPY: 12.037863±0.0087, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 179, 'shrink': 976, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.43207836456654836, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029283±0.0009, PRECISION: 0.004530±0.0002, PRECISION_RECALL_MIN_DEN: 0.045303±0.0017, RECALL: 0.045303±0.0017, MAP: 0.020361±0.0008, MRR: 0.020361±0.0008, NDCG: 0.026152±0.0008, F1: 0.008237±0.0003, HIT_RATE: 0.045303±0.0017, ARHR: 0.020361±0.0008, RMSE: 2.084589±0.0342, NOVELTY: 0.004998±0.0000, AVERAGE_POPULARITY: 0.767152±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.720166±0.0016, DIVERSITY_HERFINDAHL: 0.972000±0.0002, COVERAGE_ITEM: 0.025023±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102762±0.0012, SHANNON_ENTROPY: 5.847864±0.0066, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1, 'shrink': 0, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.003498±0.0004, PRECISION: 0.000384±0.0001, PRECISION_RECALL_MIN_DEN: 0.003839±0.0005, RECALL: 0.003839±0.0005, MAP: 0.003145±0.0004, MRR: 0.003145±0.0004, NDCG: 0.003313±0.0004, F1: 0.000698±0.0001, HIT_RATE: 0.003839±0.0005, ARHR: 0.003145±0.0004, RMSE: 1.006113±0.0009, NOVELTY: 0.007451±0.0003, AVERAGE_POPULARITY: 0.009787±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.463072±0.0006, DIVERSITY_HERFINDAHL: 0.946297±0.0001, COVERAGE_ITEM: 0.113717±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.060082±0.0004, SHANNON_ENTROPY: 5.067808±0.0078, 
