CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 34, 'shrink': 1621, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.9413394924324887, 'tversky_beta': 0.36623648343388276} - results: ROC_AUC: 0.036681±0.0015, PRECISION: 0.005596±0.0002, PRECISION_RECALL_MIN_DEN: 0.055962±0.0023, RECALL: 0.055962±0.0023, MAP: 0.025661±0.0014, MRR: 0.025661±0.0014, NDCG: 0.032710±0.0014, F1: 0.010175±0.0004, HIT_RATE: 0.055962±0.0023, ARHR: 0.025661±0.0014, RMSE: 0.984122±0.0002, NOVELTY: 0.005277±0.0000, AVERAGE_POPULARITY: 0.583759±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.908603±0.0002, DIVERSITY_HERFINDAHL: 0.990840±0.0000, COVERAGE_ITEM: 0.049689±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.166749±0.0007, SHANNON_ENTROPY: 7.568835±0.0023, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 76, 'shrink': 708, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.1954857154113397, 'tversky_beta': 1.125995072254562} - results: ROC_AUC: 0.034643±0.0011, PRECISION: 0.005343±0.0001, PRECISION_RECALL_MIN_DEN: 0.053433±0.0006, RECALL: 0.053433±0.0006, MAP: 0.023584±0.0011, MRR: 0.023584±0.0011, NDCG: 0.030538±0.0008, F1: 0.009715±0.0001, HIT_RATE: 0.053433±0.0006, ARHR: 0.023584±0.0011, RMSE: 0.833362±0.0018, NOVELTY: 0.005152±0.0000, AVERAGE_POPULARITY: 0.661417±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.856701±0.0005, DIVERSITY_HERFINDAHL: 0.985651±0.0000, COVERAGE_ITEM: 0.039622±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139828±0.0002, SHANNON_ENTROPY: 6.946040±0.0056, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 37, 'shrink': 464, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.4183279054124679, 'tversky_beta': 1.7454895382826974} - results: ROC_AUC: 0.041760±0.0019, PRECISION: 0.006423±0.0002, PRECISION_RECALL_MIN_DEN: 0.064228±0.0016, RECALL: 0.064228±0.0016, MAP: 0.028503±0.0016, MRR: 0.028503±0.0016, NDCG: 0.036828±0.0014, F1: 0.011678±0.0003, HIT_RATE: 0.064228±0.0016, ARHR: 0.028503±0.0016, RMSE: 0.976635±0.0006, NOVELTY: 0.005352±0.0000, AVERAGE_POPULARITY: 0.547131±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.926456±0.0004, DIVERSITY_HERFINDAHL: 0.992625±0.0000, COVERAGE_ITEM: 0.055431±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.186385±0.0015, SHANNON_ENTROPY: 7.895195±0.0048, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 89, 'shrink': 763, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.7318173792519826, 'tversky_beta': 1.3486854222070013} - results: ROC_AUC: 0.038864±0.0013, PRECISION: 0.005894±0.0002, PRECISION_RECALL_MIN_DEN: 0.058943±0.0016, RECALL: 0.058943±0.0016, MAP: 0.026590±0.0014, MRR: 0.026590±0.0014, NDCG: 0.034141±0.0012, F1: 0.010717±0.0003, HIT_RATE: 0.058943±0.0016, ARHR: 0.026590±0.0014, RMSE: 0.973646±0.0004, NOVELTY: 0.005301±0.0000, AVERAGE_POPULARITY: 0.572607±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.907952±0.0007, DIVERSITY_HERFINDAHL: 0.990775±0.0001, COVERAGE_ITEM: 0.052371±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.168561±0.0009, SHANNON_ENTROPY: 7.631406±0.0055, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 62, 'shrink': 1488, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.6057419181504827, 'tversky_beta': 0.3019101865831611} - results: ROC_AUC: 0.033670±0.0012, PRECISION: 0.005063±0.0002, PRECISION_RECALL_MIN_DEN: 0.050632±0.0015, RECALL: 0.050632±0.0015, MAP: 0.023291±0.0010, MRR: 0.023291±0.0010, NDCG: 0.029675±0.0011, F1: 0.009206±0.0003, HIT_RATE: 0.050632±0.0015, ARHR: 0.023291±0.0010, RMSE: 0.976368±0.0003, NOVELTY: 0.005167±0.0000, AVERAGE_POPULARITY: 0.651337±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.861588±0.0010, DIVERSITY_HERFINDAHL: 0.986139±0.0001, COVERAGE_ITEM: 0.042584±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136836±0.0010, SHANNON_ENTROPY: 7.010490±0.0092, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 103, 'shrink': 189, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.7188035903635458, 'tversky_beta': 1.280933339691101} - results: ROC_AUC: 0.041072±0.0013, PRECISION: 0.006256±0.0001, PRECISION_RECALL_MIN_DEN: 0.062556±0.0014, RECALL: 0.062556±0.0014, MAP: 0.028245±0.0016, MRR: 0.028245±0.0016, NDCG: 0.036244±0.0015, F1: 0.011374±0.0003, HIT_RATE: 0.062556±0.0014, ARHR: 0.028245±0.0016, RMSE: 0.948598±0.0009, NOVELTY: 0.005321±0.0000, AVERAGE_POPULARITY: 0.570836±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.909001±0.0004, DIVERSITY_HERFINDAHL: 0.990880±0.0000, COVERAGE_ITEM: 0.061974±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.157994±0.0013, SHANNON_ENTROPY: 7.724948±0.0052, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 70, 'shrink': 1549, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.6366984793395457, 'tversky_beta': 1.939789102083513} - results: ROC_AUC: 0.035050±0.0014, PRECISION: 0.005325±0.0001, PRECISION_RECALL_MIN_DEN: 0.053252±0.0009, RECALL: 0.053252±0.0009, MAP: 0.023973±0.0014, MRR: 0.023973±0.0014, NDCG: 0.030804±0.0012, F1: 0.009682±0.0002, HIT_RATE: 0.053252±0.0009, ARHR: 0.023973±0.0014, RMSE: 0.983128±0.0003, NOVELTY: 0.005172±0.0000, AVERAGE_POPULARITY: 0.649320±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.865306±0.0007, DIVERSITY_HERFINDAHL: 0.986511±0.0001, COVERAGE_ITEM: 0.041503±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142947±0.0006, SHANNON_ENTROPY: 7.044598±0.0057, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 13, 'shrink': 1065, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.6263200932135524, 'tversky_beta': 0.9472651404509684} - results: ROC_AUC: 0.052098±0.0025, PRECISION: 0.008117±0.0003, PRECISION_RECALL_MIN_DEN: 0.081165±0.0031, RECALL: 0.081165±0.0031, MAP: 0.035109±0.0018, MRR: 0.035109±0.0018, NDCG: 0.045823±0.0021, F1: 0.014757±0.0006, HIT_RATE: 0.081165±0.0031, ARHR: 0.035109±0.0018, RMSE: 0.988964±0.0003, NOVELTY: 0.006489±0.0000, AVERAGE_POPULARITY: 0.206410±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.985824±0.0001, DIVERSITY_HERFINDAHL: 0.998560±0.0000, COVERAGE_ITEM: 0.292630±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.254000±0.0006, SHANNON_ENTROPY: 10.558315±0.0079, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 31, 'shrink': 1219, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.49740255735192684, 'tversky_beta': 0.7155431683669914} - results: ROC_AUC: 0.036997±0.0014, PRECISION: 0.005718±0.0002, PRECISION_RECALL_MIN_DEN: 0.057182±0.0019, RECALL: 0.057182±0.0019, MAP: 0.025546±0.0012, MRR: 0.025546±0.0012, NDCG: 0.032899±0.0013, F1: 0.010397±0.0003, HIT_RATE: 0.057182±0.0019, ARHR: 0.025546±0.0012, RMSE: 0.981763±0.0003, NOVELTY: 0.005276±0.0000, AVERAGE_POPULARITY: 0.584877±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.909499±0.0004, DIVERSITY_HERFINDAHL: 0.990929±0.0000, COVERAGE_ITEM: 0.049029±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.169438±0.0009, SHANNON_ENTROPY: 7.576967±0.0035, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 62, 'shrink': 1050, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.4150682970847273, 'tversky_beta': 0.7671944111471174} - results: ROC_AUC: 0.037679±0.0015, PRECISION: 0.005741±0.0001, PRECISION_RECALL_MIN_DEN: 0.057407±0.0008, RECALL: 0.057407±0.0008, MAP: 0.026178±0.0014, MRR: 0.026178±0.0014, NDCG: 0.033451±0.0013, F1: 0.010438±0.0001, HIT_RATE: 0.057407±0.0008, ARHR: 0.026178±0.0014, RMSE: 0.868531±0.0014, NOVELTY: 0.005282±0.0000, AVERAGE_POPULARITY: 0.581576±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.905999±0.0007, DIVERSITY_HERFINDAHL: 0.990579±0.0001, COVERAGE_ITEM: 0.050381±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.165587±0.0013, SHANNON_ENTROPY: 7.564928±0.0086, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 90, 'shrink': 72, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.7014723236165846, 'tversky_beta': 1.2757779433657583} - results: ROC_AUC: 0.044625±0.0013, PRECISION: 0.006703±0.0001, PRECISION_RECALL_MIN_DEN: 0.067028±0.0007, RECALL: 0.067028±0.0007, MAP: 0.031045±0.0016, MRR: 0.031045±0.0016, NDCG: 0.039437±0.0014, F1: 0.012187±0.0001, HIT_RATE: 0.067028±0.0007, ARHR: 0.031045±0.0016, RMSE: 0.943931±0.0011, NOVELTY: 0.005473±0.0000, AVERAGE_POPULARITY: 0.514173±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.931448±0.0005, DIVERSITY_HERFINDAHL: 0.993124±0.0000, COVERAGE_ITEM: 0.096880±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.154477±0.0006, SHANNON_ENTROPY: 8.248918±0.0071, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 196, 'shrink': 1448, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.2852351263896966, 'tversky_beta': 1.9986783476899626} - results: ROC_AUC: 0.032957±0.0022, PRECISION: 0.005023±0.0004, PRECISION_RECALL_MIN_DEN: 0.050226±0.0036, RECALL: 0.050226±0.0036, MAP: 0.022681±0.0012, MRR: 0.022681±0.0012, NDCG: 0.029099±0.0017, F1: 0.009132±0.0006, HIT_RATE: 0.050226±0.0036, ARHR: 0.022681±0.0012, RMSE: 0.975359±0.0003, NOVELTY: 0.005081±0.0000, AVERAGE_POPULARITY: 0.707019±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.795835±0.0015, DIVERSITY_HERFINDAHL: 0.979565±0.0001, COVERAGE_ITEM: 0.032809±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118456±0.0010, SHANNON_ENTROPY: 6.417771±0.0082, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 129, 'shrink': 1498, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.7092325837155635, 'tversky_beta': 1.3050287150685282} - results: ROC_AUC: 0.035712±0.0019, PRECISION: 0.005307±0.0002, PRECISION_RECALL_MIN_DEN: 0.053071±0.0019, RECALL: 0.053071±0.0019, MAP: 0.024408±0.0014, MRR: 0.024408±0.0014, NDCG: 0.031118±0.0015, F1: 0.009649±0.0003, HIT_RATE: 0.053071±0.0019, ARHR: 0.024408±0.0014, RMSE: 0.977776±0.0003, NOVELTY: 0.005158±0.0000, AVERAGE_POPULARITY: 0.655945±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.851321±0.0011, DIVERSITY_HERFINDAHL: 0.985113±0.0001, COVERAGE_ITEM: 0.040195±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135721±0.0004, SHANNON_ENTROPY: 6.914088±0.0064, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 59, 'shrink': 608, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.4152146919955618, 'tversky_beta': 1.5286439533394864} - results: ROC_AUC: 0.048821±0.0021, PRECISION: 0.007737±0.0002, PRECISION_RECALL_MIN_DEN: 0.077371±0.0022, RECALL: 0.077371±0.0022, MAP: 0.033211±0.0020, MRR: 0.033211±0.0020, NDCG: 0.043453±0.0020, F1: 0.014068±0.0004, HIT_RATE: 0.077371±0.0022, ARHR: 0.033211±0.0020, RMSE: 0.970542±0.0006, NOVELTY: 0.006125±0.0000, AVERAGE_POPULARITY: 0.316664±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.976342±0.0001, DIVERSITY_HERFINDAHL: 0.997612±0.0000, COVERAGE_ITEM: 0.258448±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.216077±0.0005, SHANNON_ENTROPY: 10.013830±0.0055, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 30, 'shrink': 130, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.8038664679898564, 'tversky_beta': 1.7717408028824975} - results: ROC_AUC: 0.048294±0.0017, PRECISION: 0.007353±0.0001, PRECISION_RECALL_MIN_DEN: 0.073532±0.0010, RECALL: 0.073532±0.0010, MAP: 0.032592±0.0019, MRR: 0.032592±0.0019, NDCG: 0.042158±0.0016, F1: 0.013369±0.0002, HIT_RATE: 0.073532±0.0010, ARHR: 0.032592±0.0019, RMSE: 0.973090±0.0007, NOVELTY: 0.005635±0.0000, AVERAGE_POPULARITY: 0.433487±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.957540±0.0001, DIVERSITY_HERFINDAHL: 0.995732±0.0000, COVERAGE_ITEM: 0.100211±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.194270±0.0018, SHANNON_ENTROPY: 8.772342±0.0015, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 4, 'shrink': 3, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.7745719315583606, 'tversky_beta': 1.2454002350641462} - results: ROC_AUC: 0.014539±0.0013, PRECISION: 0.002701±0.0001, PRECISION_RECALL_MIN_DEN: 0.027010±0.0010, RECALL: 0.027010±0.0010, MAP: 0.009392±0.0009, MRR: 0.009392±0.0009, NDCG: 0.013416±0.0009, F1: 0.004911±0.0002, HIT_RATE: 0.027010±0.0010, ARHR: 0.009392±0.0009, RMSE: 0.966433±0.0009, NOVELTY: 0.007842±0.0000, AVERAGE_POPULARITY: 0.024560±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.998896±0.0000, DIVERSITY_HERFINDAHL: 0.999867±0.0000, COVERAGE_ITEM: 0.696491±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.604185±0.0009, SHANNON_ENTROPY: 13.262695±0.0040, 
