CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 414, 'n_oversamples': 14, 'n_iter': 27, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066891±0.0011, PRECISION: 0.009143±0.0001, PRECISION_RECALL_MIN_DEN: 0.091434±0.0013, RECALL: 0.091434±0.0013, MAP: 0.048182±0.0009, MRR: 0.048182±0.0009, NDCG: 0.058418±0.0009, F1: 0.016624±0.0002, HIT_RATE: 0.091434±0.0013, ARHR: 0.048182±0.0009, RMSE: 0.902859±0.0019, NOVELTY: 0.006104±0.0000, AVERAGE_POPULARITY: 0.342888±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.981682±0.0001, DIVERSITY_HERFINDAHL: 0.998163±0.0000, COVERAGE_ITEM: 0.489224±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135801±0.0003, SHANNON_ENTROPY: 10.171918±0.0077, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 28, 'n_oversamples': 25, 'n_iter': 9, 'feature_weighting': 'none'} - results: ROC_AUC: 0.010790±0.0003, PRECISION: 0.002122±0.0001, PRECISION_RECALL_MIN_DEN: 0.021221±0.0008, RECALL: 0.021221±0.0008, MAP: 0.006567±0.0002, MRR: 0.006567±0.0002, NDCG: 0.009906±0.0003, F1: 0.003858±0.0001, HIT_RATE: 0.021221±0.0008, ARHR: 0.006567±0.0002, RMSE: 0.982826±0.0001, NOVELTY: 0.005793±0.0000, AVERAGE_POPULARITY: 0.653781±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.614608±0.0051, DIVERSITY_HERFINDAHL: 0.961457±0.0005, COVERAGE_ITEM: 0.123947±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.097616±0.0009, SHANNON_ENTROPY: 6.399075±0.0201, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_factors': 526, 'n_oversamples': 15, 'n_iter': 13, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063092±0.0007, PRECISION: 0.008294±0.0001, PRECISION_RECALL_MIN_DEN: 0.082937±0.0010, RECALL: 0.082937±0.0010, MAP: 0.046525±0.0007, MRR: 0.046525±0.0007, NDCG: 0.055195±0.0007, F1: 0.015079±0.0002, HIT_RATE: 0.082937±0.0010, ARHR: 0.046525±0.0007, RMSE: 0.930607±0.0009, NOVELTY: 0.006123±0.0000, AVERAGE_POPULARITY: 0.271471±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.986379±0.0000, DIVERSITY_HERFINDAHL: 0.998632±0.0000, COVERAGE_ITEM: 0.383260±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138355±0.0006, SHANNON_ENTROPY: 10.172630±0.0047, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'num_factors': 333, 'n_oversamples': 28, 'n_iter': 25, 'feature_weighting': 'none'} - results: ROC_AUC: 0.058580±0.0010, PRECISION: 0.008020±0.0001, PRECISION_RECALL_MIN_DEN: 0.080203±0.0013, RECALL: 0.080203±0.0013, MAP: 0.042640±0.0007, MRR: 0.042640±0.0007, NDCG: 0.051517±0.0008, F1: 0.014582±0.0002, HIT_RATE: 0.080203±0.0013, ARHR: 0.042640±0.0007, RMSE: 0.934603±0.0010, NOVELTY: 0.005898±0.0000, AVERAGE_POPULARITY: 0.379702±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.973893±0.0000, DIVERSITY_HERFINDAHL: 0.997384±0.0000, COVERAGE_ITEM: 0.384006±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.103489±0.0004, SHANNON_ENTROPY: 9.450501±0.0047, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'num_factors': 218, 'n_oversamples': 17, 'n_iter': 21, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.049169±0.0012, PRECISION: 0.007006±0.0002, PRECISION_RECALL_MIN_DEN: 0.070065±0.0016, RECALL: 0.070065±0.0016, MAP: 0.034853±0.0010, MRR: 0.034853±0.0010, NDCG: 0.043131±0.0011, F1: 0.012739±0.0003, HIT_RATE: 0.070065±0.0016, ARHR: 0.034853±0.0010, RMSE: 0.910973±0.0011, NOVELTY: 0.006380±0.0000, AVERAGE_POPULARITY: 0.344726±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.972801±0.0002, DIVERSITY_HERFINDAHL: 0.997275±0.0000, COVERAGE_ITEM: 0.553198±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.170915±0.0008, SHANNON_ENTROPY: 10.151824±0.0064, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_factors': 230, 'n_oversamples': 22, 'n_iter': 15, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.060028±0.0005, PRECISION: 0.007982±0.0000, PRECISION_RECALL_MIN_DEN: 0.079815±0.0005, RECALL: 0.079815±0.0005, MAP: 0.044180±0.0007, MRR: 0.044180±0.0007, NDCG: 0.052642±0.0006, F1: 0.014512±0.0001, HIT_RATE: 0.079815±0.0005, ARHR: 0.044180±0.0007, RMSE: 0.943323±0.0017, NOVELTY: 0.005895±0.0000, AVERAGE_POPULARITY: 0.312133±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.980806±0.0000, DIVERSITY_HERFINDAHL: 0.998075±0.0000, COVERAGE_ITEM: 0.067878±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.390485±0.0008, SHANNON_ENTROPY: 9.358208±0.0014, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_factors': 131, 'n_oversamples': 29, 'n_iter': 23, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029674±0.0011, PRECISION: 0.004539±0.0002, PRECISION_RECALL_MIN_DEN: 0.045392±0.0018, RECALL: 0.045392±0.0018, MAP: 0.020271±0.0007, MRR: 0.020271±0.0007, NDCG: 0.026125±0.0009, F1: 0.008253±0.0003, HIT_RATE: 0.045392±0.0018, ARHR: 0.020271±0.0007, RMSE: 0.933030±0.0007, NOVELTY: 0.006689±0.0000, AVERAGE_POPULARITY: 0.342197±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.956011±0.0003, DIVERSITY_HERFINDAHL: 0.995596±0.0000, COVERAGE_ITEM: 0.468245±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.207665±0.0013, SHANNON_ENTROPY: 9.964366±0.0087, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'num_factors': 375, 'n_oversamples': 27, 'n_iter': 27, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.065944±0.0008, PRECISION: 0.009041±0.0001, PRECISION_RECALL_MIN_DEN: 0.090409±0.0010, RECALL: 0.090409±0.0010, MAP: 0.047257±0.0007, MRR: 0.047257±0.0007, NDCG: 0.057470±0.0008, F1: 0.016438±0.0002, HIT_RATE: 0.090409±0.0010, ARHR: 0.047257±0.0007, RMSE: 0.900984±0.0020, NOVELTY: 0.006116±0.0000, AVERAGE_POPULARITY: 0.349637±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.980361±0.0001, DIVERSITY_HERFINDAHL: 0.998031±0.0000, COVERAGE_ITEM: 0.504277±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136611±0.0006, SHANNON_ENTROPY: 10.138755±0.0084, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'num_factors': 228, 'n_oversamples': 3, 'n_iter': 29, 'feature_weighting': 'none'} - results: ROC_AUC: 0.053543±0.0013, PRECISION: 0.007581±0.0001, PRECISION_RECALL_MIN_DEN: 0.075806±0.0009, RECALL: 0.075806±0.0009, MAP: 0.038276±0.0009, MRR: 0.038276±0.0009, NDCG: 0.047104±0.0009, F1: 0.013783±0.0002, HIT_RATE: 0.075806±0.0009, ARHR: 0.038276±0.0009, RMSE: 0.940349±0.0012, NOVELTY: 0.005805±0.0000, AVERAGE_POPULARITY: 0.459978±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.956808±0.0001, DIVERSITY_HERFINDAHL: 0.995675±0.0000, COVERAGE_ITEM: 0.402974±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.093987±0.0005, SHANNON_ENTROPY: 8.958076±0.0052, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'num_factors': 24, 'n_oversamples': 11, 'n_iter': 21, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.045710±0.0011, PRECISION: 0.006662±0.0001, PRECISION_RECALL_MIN_DEN: 0.066625±0.0013, RECALL: 0.066625±0.0013, MAP: 0.032171±0.0007, MRR: 0.032171±0.0007, NDCG: 0.040246±0.0008, F1: 0.012114±0.0002, HIT_RATE: 0.066625±0.0013, ARHR: 0.032171±0.0007, RMSE: 0.939818±0.0012, NOVELTY: 0.005406±0.0000, AVERAGE_POPULARITY: 0.565332±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.915785±0.0005, DIVERSITY_HERFINDAHL: 0.991573±0.0001, COVERAGE_ITEM: 0.017518±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.359281±0.0028, SHANNON_ENTROPY: 7.278806±0.0087, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'num_factors': 54, 'n_oversamples': 14, 'n_iter': 15, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.051269±0.0008, PRECISION: 0.007332±0.0001, PRECISION_RECALL_MIN_DEN: 0.073323±0.0008, RECALL: 0.073323±0.0008, MAP: 0.036379±0.0006, MRR: 0.036379±0.0006, NDCG: 0.045058±0.0006, F1: 0.013331±0.0001, HIT_RATE: 0.073323±0.0008, ARHR: 0.036379±0.0006, RMSE: 0.939335±0.0009, NOVELTY: 0.005476±0.0000, AVERAGE_POPULARITY: 0.526560±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.937384±0.0003, DIVERSITY_HERFINDAHL: 0.993733±0.0000, COVERAGE_ITEM: 0.027532±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.323168±0.0052, SHANNON_ENTROPY: 7.785710±0.0081, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'num_factors': 78, 'n_oversamples': 19, 'n_iter': 26, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.014103±0.0001, PRECISION: 0.002431±0.0001, PRECISION_RECALL_MIN_DEN: 0.024308±0.0006, RECALL: 0.024308±0.0006, MAP: 0.008980±0.0001, MRR: 0.008980±0.0001, NDCG: 0.012515±0.0002, F1: 0.004420±0.0001, HIT_RATE: 0.024308±0.0006, ARHR: 0.008980±0.0001, RMSE: 0.954683±0.0003, NOVELTY: 0.006788±0.0000, AVERAGE_POPULARITY: 0.379422±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.915301±0.0008, DIVERSITY_HERFINDAHL: 0.991525±0.0001, COVERAGE_ITEM: 0.352539±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.217669±0.0010, SHANNON_ENTROPY: 9.488265±0.0145, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'num_factors': 633, 'n_oversamples': 12, 'n_iter': 18, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.060826±0.0004, PRECISION: 0.007806±0.0001, PRECISION_RECALL_MIN_DEN: 0.078061±0.0008, RECALL: 0.078061±0.0008, MAP: 0.045392±0.0002, MRR: 0.045392±0.0002, NDCG: 0.053206±0.0002, F1: 0.014193±0.0001, HIT_RATE: 0.078061±0.0008, ARHR: 0.045392±0.0002, RMSE: 0.944834±0.0029, NOVELTY: 0.006345±0.0000, AVERAGE_POPULARITY: 0.178287±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.991721±0.0000, DIVERSITY_HERFINDAHL: 0.999166±0.0000, COVERAGE_ITEM: 0.149738±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.402745±0.0025, SHANNON_ENTROPY: 10.539302±0.0032, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'num_factors': 491, 'n_oversamples': 11, 'n_iter': 5, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063209±0.0006, PRECISION: 0.008388±0.0001, PRECISION_RECALL_MIN_DEN: 0.083882±0.0011, RECALL: 0.083882±0.0011, MAP: 0.046530±0.0007, MRR: 0.046530±0.0007, NDCG: 0.055407±0.0007, F1: 0.015251±0.0002, HIT_RATE: 0.083882±0.0011, ARHR: 0.046530±0.0007, RMSE: 0.930613±0.0009, NOVELTY: 0.006051±0.0000, AVERAGE_POPULARITY: 0.299600±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.984496±0.0000, DIVERSITY_HERFINDAHL: 0.998444±0.0000, COVERAGE_ITEM: 0.379886±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128617±0.0004, SHANNON_ENTROPY: 10.012957±0.0044, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'num_factors': 474, 'n_oversamples': 26, 'n_iter': 15, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.068341±0.0012, PRECISION: 0.009266±0.0001, PRECISION_RECALL_MIN_DEN: 0.092664±0.0013, RECALL: 0.092664±0.0013, MAP: 0.049375±0.0010, MRR: 0.049375±0.0010, NDCG: 0.059637±0.0010, F1: 0.016848±0.0002, HIT_RATE: 0.092664±0.0013, ARHR: 0.049375±0.0010, RMSE: 0.906192±0.0020, NOVELTY: 0.006116±0.0000, AVERAGE_POPULARITY: 0.326472±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.984058±0.0001, DIVERSITY_HERFINDAHL: 0.998400±0.0000, COVERAGE_ITEM: 0.471846±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139519±0.0003, SHANNON_ENTROPY: 10.275110±0.0066, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'num_factors': 328, 'n_oversamples': 4, 'n_iter': 6, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.062719±0.0008, PRECISION: 0.008652±0.0001, PRECISION_RECALL_MIN_DEN: 0.086525±0.0008, RECALL: 0.086525±0.0008, MAP: 0.044958±0.0007, MRR: 0.044958±0.0007, NDCG: 0.054785±0.0007, F1: 0.015732±0.0001, HIT_RATE: 0.086525±0.0008, ARHR: 0.044958±0.0007, RMSE: 0.899192±0.0021, NOVELTY: 0.006125±0.0000, AVERAGE_POPULARITY: 0.358066±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.978734±0.0001, DIVERSITY_HERFINDAHL: 0.997868±0.0000, COVERAGE_ITEM: 0.525147±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137962±0.0004, SHANNON_ENTROPY: 10.096589±0.0048, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'num_factors': 577, 'n_oversamples': 14, 'n_iter': 8, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070047±0.0012, PRECISION: 0.009311±0.0001, PRECISION_RECALL_MIN_DEN: 0.093109±0.0013, RECALL: 0.093109±0.0013, MAP: 0.051121±0.0012, MRR: 0.051121±0.0012, NDCG: 0.061109±0.0011, F1: 0.016929±0.0002, HIT_RATE: 0.093109±0.0013, ARHR: 0.051121±0.0012, RMSE: 0.910159±0.0026, NOVELTY: 0.006167±0.0000, AVERAGE_POPULARITY: 0.295730±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.987493±0.0001, DIVERSITY_HERFINDAHL: 0.998744±0.0000, COVERAGE_ITEM: 0.458848±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151539±0.0005, SHANNON_ENTROPY: 10.491994±0.0041, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'num_factors': 91, 'n_oversamples': 25, 'n_iter': 7, 'feature_weighting': 'none'} - results: ROC_AUC: 0.033940±0.0011, PRECISION: 0.005235±0.0002, PRECISION_RECALL_MIN_DEN: 0.052352±0.0020, RECALL: 0.052352±0.0020, MAP: 0.022837±0.0007, MRR: 0.022837±0.0007, NDCG: 0.029720±0.0009, F1: 0.009519±0.0004, HIT_RATE: 0.052352±0.0020, ARHR: 0.022837±0.0007, RMSE: 0.963285±0.0007, NOVELTY: 0.005906±0.0000, AVERAGE_POPULARITY: 0.510025±0.0067, DIVERSITY_MEAN_INTER_LIST: 0.916657±0.0012, DIVERSITY_HERFINDAHL: 0.991661±0.0001, COVERAGE_ITEM: 0.340622±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113166±0.0009, SHANNON_ENTROPY: 8.407796±0.0149, 
