CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 393, 'regularization': 10.941195511447303, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 1.109454314053172} - results: ROC_AUC: 0.039110±0.0027, PRECISION: 0.005822±0.0003, PRECISION_RECALL_MIN_DEN: 0.058220±0.0033, RECALL: 0.058220±0.0033, MAP: 0.025845±0.0020, MRR: 0.025845±0.0020, NDCG: 0.033454±0.0023, F1: 0.010586±0.0006, HIT_RATE: 0.058220±0.0033, ARHR: 0.025845±0.0020, RMSE: 0.978296±0.0002, NOVELTY: 0.005954±0.0000, AVERAGE_POPULARITY: 0.279889±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.977922±0.0001, DIVERSITY_HERFINDAHL: 0.997770±0.0000, COVERAGE_ITEM: 0.050511±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.445151±0.0028, SHANNON_ENTROPY: 9.101458±0.0053, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 432, 'regularization': 0.011094197746231379, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 3.4983715415306547} - results: ROC_AUC: 0.036555±0.0011, PRECISION: 0.005470±0.0001, PRECISION_RECALL_MIN_DEN: 0.054697±0.0014, RECALL: 0.054697±0.0014, MAP: 0.024949±0.0010, MRR: 0.024949±0.0010, NDCG: 0.031910±0.0009, F1: 0.009945±0.0003, HIT_RATE: 0.054697±0.0014, ARHR: 0.024949±0.0010, RMSE: 0.942395±0.0013, NOVELTY: 0.006080±0.0000, AVERAGE_POPULARITY: 0.254212±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.988570±0.0000, DIVERSITY_HERFINDAHL: 0.998835±0.0000, COVERAGE_ITEM: 0.100341±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.432740±0.0019, SHANNON_ENTROPY: 10.064315±0.0037, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_factors': 362, 'regularization': 1.765646621194466, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 1.8932118125893946} - results: ROC_AUC: 0.035516±0.0013, PRECISION: 0.005330±0.0002, PRECISION_RECALL_MIN_DEN: 0.053297±0.0016, RECALL: 0.053297±0.0016, MAP: 0.023771±0.0013, MRR: 0.023771±0.0013, NDCG: 0.030688±0.0011, F1: 0.009690±0.0003, HIT_RATE: 0.053297±0.0016, ARHR: 0.023771±0.0013, RMSE: 0.959665±0.0010, NOVELTY: 0.006025±0.0000, AVERAGE_POPULARITY: 0.256443±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.984627±0.0000, DIVERSITY_HERFINDAHL: 0.998440±0.0000, COVERAGE_ITEM: 0.069543±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.454588±0.0020, SHANNON_ENTROPY: 9.586583±0.0013, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'num_factors': 413, 'regularization': 0.032415102622911106, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 80.37147549715343} - results: ROC_AUC: 0.027592±0.0018, PRECISION: 0.004372±0.0003, PRECISION_RECALL_MIN_DEN: 0.043722±0.0027, RECALL: 0.043722±0.0027, MAP: 0.017983±0.0013, MRR: 0.017983±0.0013, NDCG: 0.023975±0.0015, F1: 0.007949±0.0005, HIT_RATE: 0.043722±0.0027, ARHR: 0.017983±0.0013, RMSE: 0.878153±0.0018, NOVELTY: 0.006106±0.0000, AVERAGE_POPULARITY: 0.281749±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.989821±0.0001, DIVERSITY_HERFINDAHL: 0.998960±0.0000, COVERAGE_ITEM: 0.182071±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.327021±0.0023, SHANNON_ENTROPY: 10.510885±0.0079, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'num_factors': 470, 'regularization': 35.92767683226672, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.2378517479119472} - results: ROC_AUC: 0.010398±0.0013, PRECISION: 0.002023±0.0001, PRECISION_RECALL_MIN_DEN: 0.020235±0.0012, RECALL: 0.020235±0.0012, MAP: 0.006246±0.0013, MRR: 0.006246±0.0013, NDCG: 0.009442±0.0013, F1: 0.003679±0.0002, HIT_RATE: 0.020235±0.0012, ARHR: 0.006246±0.0013, RMSE: 1.000000±0.0000, NOVELTY: 0.004982±0.0000, AVERAGE_POPULARITY: 0.889974±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.124913±0.0002, DIVERSITY_HERFINDAHL: 0.912489±0.0000, COVERAGE_ITEM: 0.001676±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.373056±0.0002, SHANNON_ENTROPY: 3.589006±0.0006, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_factors': 543, 'regularization': 0.017278570496980436, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 22.150602797401422} - results: ROC_AUC: 0.032325±0.0013, PRECISION: 0.004950±0.0002, PRECISION_RECALL_MIN_DEN: 0.049503±0.0016, RECALL: 0.049503±0.0016, MAP: 0.021888±0.0011, MRR: 0.021888±0.0011, NDCG: 0.028332±0.0010, F1: 0.009001±0.0003, HIT_RATE: 0.049503±0.0016, ARHR: 0.021888±0.0011, RMSE: 0.908648±0.0020, NOVELTY: 0.006179±0.0000, AVERAGE_POPULARITY: 0.253736±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.991218±0.0001, DIVERSITY_HERFINDAHL: 0.999099±0.0000, COVERAGE_ITEM: 0.178665±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.359321±0.0010, SHANNON_ENTROPY: 10.635396±0.0075, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_factors': 316, 'regularization': 0.03566991885137747, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.019573970750732864} - results: ROC_AUC: 0.016195±0.0005, PRECISION: 0.002439±0.0001, PRECISION_RECALL_MIN_DEN: 0.024390±0.0010, RECALL: 0.024390±0.0010, MAP: 0.011967±0.0005, MRR: 0.011967±0.0005, NDCG: 0.014843±0.0005, F1: 0.004435±0.0002, HIT_RATE: 0.024390±0.0010, ARHR: 0.011967±0.0005, RMSE: 0.999599±0.0000, NOVELTY: 0.005826±0.0000, AVERAGE_POPULARITY: 0.318883±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.923194±0.0032, DIVERSITY_HERFINDAHL: 0.992299±0.0003, COVERAGE_ITEM: 0.036194±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.232311±0.0093, SHANNON_ENTROPY: 7.670356±0.0544, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'num_factors': 321, 'regularization': 143.1852055374874, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.9654665863538182} - results: ROC_AUC: 0.010363±0.0012, PRECISION: 0.001987±0.0001, PRECISION_RECALL_MIN_DEN: 0.019874±0.0011, RECALL: 0.019874±0.0011, MAP: 0.006210±0.0013, MRR: 0.006210±0.0013, NDCG: 0.009337±0.0012, F1: 0.003613±0.0002, HIT_RATE: 0.019874±0.0011, ARHR: 0.006210±0.0013, RMSE: 1.000000±0.0000, NOVELTY: 0.004984±0.0000, AVERAGE_POPULARITY: 0.887916±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.124762±0.0003, DIVERSITY_HERFINDAHL: 0.912473±0.0000, COVERAGE_ITEM: 0.001676±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.373047±0.0002, SHANNON_ENTROPY: 3.591105±0.0009, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'num_factors': 498, 'regularization': 0.015900798330278514, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.6139080005093256} - results: ROC_AUC: 0.026694±0.0016, PRECISION: 0.003740±0.0001, PRECISION_RECALL_MIN_DEN: 0.037398±0.0014, RECALL: 0.037398±0.0014, MAP: 0.018530±0.0013, MRR: 0.018530±0.0013, NDCG: 0.022997±0.0013, F1: 0.006800±0.0003, HIT_RATE: 0.037398±0.0014, ARHR: 0.018530±0.0013, RMSE: 0.988584±0.0004, NOVELTY: 0.006286±0.0000, AVERAGE_POPULARITY: 0.176050±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.977753±0.0002, DIVERSITY_HERFINDAHL: 0.997753±0.0000, COVERAGE_ITEM: 0.076626±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.329153±0.0025, SHANNON_ENTROPY: 9.291864±0.0103, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'num_factors': 361, 'regularization': 0.029513827177846185, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.10539019977447538} - results: ROC_AUC: 0.016526±0.0017, PRECISION: 0.002412±0.0002, PRECISION_RECALL_MIN_DEN: 0.024119±0.0019, RECALL: 0.024119±0.0019, MAP: 0.011611±0.0013, MRR: 0.011611±0.0013, NDCG: 0.014542±0.0014, F1: 0.004385±0.0003, HIT_RATE: 0.024119±0.0019, ARHR: 0.011611±0.0013, RMSE: 0.998549±0.0001, NOVELTY: 0.006202±0.0000, AVERAGE_POPULARITY: 0.198881±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.966647±0.0048, DIVERSITY_HERFINDAHL: 0.996643±0.0005, COVERAGE_ITEM: 0.081287±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246240±0.0080, SHANNON_ENTROPY: 8.921863±0.1073, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'num_factors': 408, 'regularization': 11.689884964362877, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 44.94038674142377} - results: ROC_AUC: 0.031155±0.0018, PRECISION: 0.005014±0.0003, PRECISION_RECALL_MIN_DEN: 0.050136±0.0026, RECALL: 0.050136±0.0026, MAP: 0.020132±0.0014, MRR: 0.020132±0.0014, NDCG: 0.027107±0.0016, F1: 0.009116±0.0005, HIT_RATE: 0.050136±0.0026, ARHR: 0.020132±0.0014, RMSE: 0.877169±0.0021, NOVELTY: 0.006020±0.0000, AVERAGE_POPULARITY: 0.307117±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.987680±0.0000, DIVERSITY_HERFINDAHL: 0.998746±0.0000, COVERAGE_ITEM: 0.156799±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.320139±0.0020, SHANNON_ENTROPY: 10.261586±0.0055, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'num_factors': 471, 'regularization': 1.7711989188209658, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 11.166400852342509} - results: ROC_AUC: 0.034678±0.0013, PRECISION: 0.005425±0.0002, PRECISION_RECALL_MIN_DEN: 0.054246±0.0020, RECALL: 0.054246±0.0020, MAP: 0.023174±0.0011, MRR: 0.023174±0.0011, NDCG: 0.030409±0.0010, F1: 0.009863±0.0004, HIT_RATE: 0.054246±0.0020, ARHR: 0.023174±0.0011, RMSE: 0.913799±0.0017, NOVELTY: 0.006090±0.0000, AVERAGE_POPULARITY: 0.272635±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.989612±0.0000, DIVERSITY_HERFINDAHL: 0.998939±0.0000, COVERAGE_ITEM: 0.141281±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.370279±0.0027, SHANNON_ENTROPY: 10.346838±0.0049, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'num_factors': 330, 'regularization': 41.67140447109225, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 1.4913049576601654} - results: ROC_AUC: 0.020059±0.0011, PRECISION: 0.003252±0.0003, PRECISION_RECALL_MIN_DEN: 0.032520±0.0028, RECALL: 0.032520±0.0028, MAP: 0.013938±0.0007, MRR: 0.013938±0.0007, NDCG: 0.018220±0.0010, F1: 0.005913±0.0005, HIT_RATE: 0.032520±0.0028, ARHR: 0.013938±0.0007, RMSE: 0.982764±0.0002, NOVELTY: 0.005035±0.0000, AVERAGE_POPULARITY: 0.837551±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.567243±0.0027, DIVERSITY_HERFINDAHL: 0.956712±0.0003, COVERAGE_ITEM: 0.003439±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.343568±0.0051, SHANNON_ENTROPY: 4.799357±0.0089, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'num_factors': 537, 'regularization': 24.776018586257383, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.8474654445468864} - results: ROC_AUC: 0.019788±0.0012, PRECISION: 0.003171±0.0003, PRECISION_RECALL_MIN_DEN: 0.031707±0.0025, RECALL: 0.031707±0.0025, MAP: 0.013847±0.0008, MRR: 0.013847±0.0008, NDCG: 0.017969±0.0010, F1: 0.005765±0.0005, HIT_RATE: 0.031707±0.0025, ARHR: 0.013847±0.0008, RMSE: 0.989998±0.0001, NOVELTY: 0.005033±0.0000, AVERAGE_POPULARITY: 0.839992±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.547779±0.0028, DIVERSITY_HERFINDAHL: 0.954766±0.0003, COVERAGE_ITEM: 0.003450±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.327349±0.0036, SHANNON_ENTROPY: 4.729432±0.0084, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'num_factors': 359, 'regularization': 0.017748950687730972, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 10.156833615219446} - results: ROC_AUC: 0.034969±0.0017, PRECISION: 0.005556±0.0002, PRECISION_RECALL_MIN_DEN: 0.055556±0.0024, RECALL: 0.055556±0.0024, MAP: 0.022934±0.0009, MRR: 0.022934±0.0009, NDCG: 0.030527±0.0012, F1: 0.010101±0.0004, HIT_RATE: 0.055556±0.0024, ARHR: 0.022934±0.0009, RMSE: 0.906082±0.0011, NOVELTY: 0.005993±0.0000, AVERAGE_POPULARITY: 0.302359±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.987453±0.0000, DIVERSITY_HERFINDAHL: 0.998723±0.0000, COVERAGE_ITEM: 0.120660±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.360989±0.0011, SHANNON_ENTROPY: 10.083922±0.0045, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'num_factors': 333, 'regularization': 0.01401247619579682, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.833045944781976} - results: ROC_AUC: 0.028014±0.0013, PRECISION: 0.004056±0.0001, PRECISION_RECALL_MIN_DEN: 0.040560±0.0013, RECALL: 0.040560±0.0013, MAP: 0.019294±0.0009, MRR: 0.019294±0.0009, NDCG: 0.024294±0.0009, F1: 0.007375±0.0002, HIT_RATE: 0.040560±0.0013, ARHR: 0.019294±0.0009, RMSE: 0.981445±0.0003, NOVELTY: 0.006040±0.0000, AVERAGE_POPULARITY: 0.238397±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.970862±0.0002, DIVERSITY_HERFINDAHL: 0.997064±0.0000, COVERAGE_ITEM: 0.047905±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.366597±0.0040, SHANNON_ENTROPY: 8.767890±0.0096, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'num_factors': 328, 'regularization': 8.77936206159578, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 18.16855702618237} - results: ROC_AUC: 0.032852±0.0014, PRECISION: 0.005294±0.0002, PRECISION_RECALL_MIN_DEN: 0.052936±0.0024, RECALL: 0.052936±0.0024, MAP: 0.021261±0.0008, MRR: 0.021261±0.0008, NDCG: 0.028627±0.0011, F1: 0.009625±0.0004, HIT_RATE: 0.052936±0.0024, ARHR: 0.021261±0.0008, RMSE: 0.884893±0.0010, NOVELTY: 0.005944±0.0000, AVERAGE_POPULARITY: 0.325084±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.985838±0.0000, DIVERSITY_HERFINDAHL: 0.998562±0.0000, COVERAGE_ITEM: 0.123925±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.332527±0.0016, SHANNON_ENTROPY: 9.994163±0.0034, 
