CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 619, 'shrink': 41, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.2721348494079827, 'tversky_beta': 0.9384403818559839} - results: ROC_AUC: 0.009134±0.0006, PRECISION: 0.001468±0.0001, PRECISION_RECALL_MIN_DEN: 0.014679±0.0009, RECALL: 0.014679±0.0009, MAP: 0.005853±0.0007, MRR: 0.005853±0.0007, NDCG: 0.007908±0.0007, F1: 0.002669±0.0002, HIT_RATE: 0.014679±0.0009, ARHR: 0.005853±0.0007, RMSE: 0.946563±0.0005, NOVELTY: 0.006151±0.0000, AVERAGE_POPULARITY: 0.084197±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992650±0.0000, DIVERSITY_HERFINDAHL: 0.999243±0.0000, COVERAGE_ITEM: 0.395631±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.344057±0.0004, SHANNON_ENTROPY: 11.513472±0.0029, 
CrossSearchBayesianSkopt: New best config found. Config 11: {'topK': 31, 'shrink': 1812, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.47144859263106065, 'tversky_beta': 0.5905109897652675} - results: ROC_AUC: 0.010368±0.0009, PRECISION: 0.001658±0.0002, PRECISION_RECALL_MIN_DEN: 0.016576±0.0017, RECALL: 0.016576±0.0017, MAP: 0.006540±0.0006, MRR: 0.006540±0.0006, NDCG: 0.008878±0.0008, F1: 0.003014±0.0003, HIT_RATE: 0.016576±0.0017, ARHR: 0.006540±0.0006, RMSE: 0.999733±0.0000, NOVELTY: 0.004960±0.0000, AVERAGE_POPULARITY: 0.058753±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.993389±0.0000, DIVERSITY_HERFINDAHL: 0.999316±0.0000, COVERAGE_ITEM: 0.499108±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.391696±0.0007, SHANNON_ENTROPY: 11.951694±0.0026, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 528, 'shrink': 1255, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.751575617488665, 'tversky_beta': 0.35554827057906496} - results: ROC_AUC: 0.009189±0.0005, PRECISION: 0.001495±0.0001, PRECISION_RECALL_MIN_DEN: 0.014950±0.0007, RECALL: 0.014950±0.0007, MAP: 0.006003±0.0006, MRR: 0.006003±0.0006, NDCG: 0.008079±0.0006, F1: 0.002718±0.0001, HIT_RATE: 0.014950±0.0007, ARHR: 0.006003±0.0006, RMSE: 0.998079±0.0000, NOVELTY: 0.005938±0.0000, AVERAGE_POPULARITY: 0.085231±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992560±0.0000, DIVERSITY_HERFINDAHL: 0.999234±0.0000, COVERAGE_ITEM: 0.414209±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.351232±0.0010, SHANNON_ENTROPY: 11.581736±0.0039, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 951, 'shrink': 1759, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.5130041767569857, 'tversky_beta': 0.4870172279909094} - results: ROC_AUC: 0.007879±0.0005, PRECISION: 0.001269±0.0001, PRECISION_RECALL_MIN_DEN: 0.012692±0.0013, RECALL: 0.012692±0.0013, MAP: 0.005016±0.0004, MRR: 0.005016±0.0004, NDCG: 0.006806±0.0005, F1: 0.002308±0.0002, HIT_RATE: 0.012692±0.0013, ARHR: 0.005016±0.0004, RMSE: 0.998349±0.0000, NOVELTY: 0.006600±0.0000, AVERAGE_POPULARITY: 0.072652±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992773±0.0000, DIVERSITY_HERFINDAHL: 0.999255±0.0000, COVERAGE_ITEM: 0.359643±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.341623±0.0006, SHANNON_ENTROPY: 11.412400±0.0027, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 786, 'shrink': 1575, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.588091165167763, 'tversky_beta': 0.5949156581144676} - results: ROC_AUC: 0.008657±0.0004, PRECISION: 0.001350±0.0001, PRECISION_RECALL_MIN_DEN: 0.013505±0.0008, RECALL: 0.013505±0.0008, MAP: 0.005673±0.0003, MRR: 0.005673±0.0003, NDCG: 0.007501±0.0004, F1: 0.002455±0.0001, HIT_RATE: 0.013505±0.0008, ARHR: 0.005673±0.0003, RMSE: 0.998253±0.0000, NOVELTY: 0.006389±0.0000, AVERAGE_POPULARITY: 0.078816±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992627±0.0000, DIVERSITY_HERFINDAHL: 0.999240±0.0000, COVERAGE_ITEM: 0.375410±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339462±0.0010, SHANNON_ENTROPY: 11.444657±0.0027, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 503, 'shrink': 1018, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.6816877144362, 'tversky_beta': 1.3814039182200732} - results: ROC_AUC: 0.009721±0.0006, PRECISION: 0.001585±0.0001, PRECISION_RECALL_MIN_DEN: 0.015854±0.0010, RECALL: 0.015854±0.0010, MAP: 0.006241±0.0008, MRR: 0.006241±0.0008, NDCG: 0.008475±0.0008, F1: 0.002882±0.0002, HIT_RATE: 0.015854±0.0010, ARHR: 0.006241±0.0008, RMSE: 0.997688±0.0000, NOVELTY: 0.006082±0.0000, AVERAGE_POPULARITY: 0.088418±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.992430±0.0000, DIVERSITY_HERFINDAHL: 0.999221±0.0000, COVERAGE_ITEM: 0.418286±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.349317±0.0005, SHANNON_ENTROPY: 11.578229±0.0044, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 247, 'shrink': 776, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.3312992954503882, 'tversky_beta': 0.10533585906629075} - results: ROC_AUC: 0.008597±0.0008, PRECISION: 0.001454±0.0001, PRECISION_RECALL_MIN_DEN: 0.014544±0.0009, RECALL: 0.014544±0.0009, MAP: 0.005247±0.0005, MRR: 0.005247±0.0005, NDCG: 0.007408±0.0006, F1: 0.002644±0.0002, HIT_RATE: 0.014544±0.0009, ARHR: 0.005247±0.0005, RMSE: 0.998061±0.0000, NOVELTY: 0.005561±0.0000, AVERAGE_POPULARITY: 0.092510±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.993686±0.0000, DIVERSITY_HERFINDAHL: 0.999346±0.0000, COVERAGE_ITEM: 0.467229±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.368400±0.0009, SHANNON_ENTROPY: 11.801386±0.0034, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 630, 'shrink': 801, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.5551807126082868, 'tversky_beta': 1.0662151721305893} - results: ROC_AUC: 0.009164±0.0007, PRECISION: 0.001459±0.0001, PRECISION_RECALL_MIN_DEN: 0.014589±0.0009, RECALL: 0.014589±0.0009, MAP: 0.005902±0.0006, MRR: 0.005902±0.0006, NDCG: 0.007928±0.0006, F1: 0.002653±0.0002, HIT_RATE: 0.014589±0.0009, ARHR: 0.005902±0.0006, RMSE: 0.996805±0.0000, NOVELTY: 0.006187±0.0000, AVERAGE_POPULARITY: 0.084087±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992669±0.0000, DIVERSITY_HERFINDAHL: 0.999244±0.0000, COVERAGE_ITEM: 0.393274±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.343405±0.0006, SHANNON_ENTROPY: 11.505941±0.0033, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 238, 'shrink': 1285, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.637784326109312, 'tversky_beta': 0.45185110094640824} - results: ROC_AUC: 0.009043±0.0006, PRECISION: 0.001491±0.0001, PRECISION_RECALL_MIN_DEN: 0.014905±0.0010, RECALL: 0.014905±0.0010, MAP: 0.005854±0.0006, MRR: 0.005854±0.0006, NDCG: 0.007952±0.0006, F1: 0.002710±0.0002, HIT_RATE: 0.014905±0.0010, ARHR: 0.005854±0.0006, RMSE: 0.998862±0.0000, NOVELTY: 0.005514±0.0000, AVERAGE_POPULARITY: 0.079096±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.993665±0.0000, DIVERSITY_HERFINDAHL: 0.999344±0.0000, COVERAGE_ITEM: 0.494934±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.383706±0.0007, SHANNON_ENTROPY: 11.920674±0.0046, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 458, 'shrink': 857, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.153493514356744, 'tversky_beta': 1.209229230157755} - results: ROC_AUC: 0.009887±0.0006, PRECISION: 0.001608±0.0001, PRECISION_RECALL_MIN_DEN: 0.016079±0.0009, RECALL: 0.016079±0.0009, MAP: 0.006359±0.0007, MRR: 0.006359±0.0007, NDCG: 0.008617±0.0008, F1: 0.002924±0.0002, HIT_RATE: 0.016079±0.0009, ARHR: 0.006359±0.0007, RMSE: 0.997367±0.0000, NOVELTY: 0.006094±0.0000, AVERAGE_POPULARITY: 0.090168±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992571±0.0000, DIVERSITY_HERFINDAHL: 0.999235±0.0000, COVERAGE_ITEM: 0.428083±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.352024±0.0009, SHANNON_ENTROPY: 11.616800±0.0035, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 170, 'shrink': 1733, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.6411372243355239, 'tversky_beta': 1.9358005120684525} - results: ROC_AUC: 0.010298±0.0011, PRECISION: 0.001712±0.0002, PRECISION_RECALL_MIN_DEN: 0.017118±0.0017, RECALL: 0.017118±0.0017, MAP: 0.006371±0.0008, MRR: 0.006371±0.0008, NDCG: 0.008868±0.0010, F1: 0.003112±0.0003, HIT_RATE: 0.017118±0.0017, ARHR: 0.006371±0.0008, RMSE: 0.999371±0.0000, NOVELTY: 0.006023±0.0000, AVERAGE_POPULARITY: 0.073932±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.993633±0.0000, DIVERSITY_HERFINDAHL: 0.999341±0.0000, COVERAGE_ITEM: 0.500968±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.396667±0.0008, SHANNON_ENTROPY: 11.980831±0.0044, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 78, 'shrink': 1367, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.2677228887054803, 'tversky_beta': 0.18235190911634616} - results: ROC_AUC: 0.009445±0.0008, PRECISION: 0.001585±0.0002, PRECISION_RECALL_MIN_DEN: 0.015854±0.0017, RECALL: 0.015854±0.0017, MAP: 0.006094±0.0004, MRR: 0.006094±0.0004, NDCG: 0.008350±0.0006, F1: 0.002882±0.0003, HIT_RATE: 0.015854±0.0017, ARHR: 0.006094±0.0004, RMSE: 0.999526±0.0000, NOVELTY: 0.005728±0.0000, AVERAGE_POPULARITY: 0.058506±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.993646±0.0000, DIVERSITY_HERFINDAHL: 0.999342±0.0000, COVERAGE_ITEM: 0.511403±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.401394±0.0016, SHANNON_ENTROPY: 12.032226±0.0065, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 167, 'shrink': 766, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.4461769669195836, 'tversky_beta': 1.5788803875322541} - results: ROC_AUC: 0.010092±0.0009, PRECISION: 0.001680±0.0001, PRECISION_RECALL_MIN_DEN: 0.016802±0.0014, RECALL: 0.016802±0.0014, MAP: 0.006396±0.0007, MRR: 0.006396±0.0007, NDCG: 0.008807±0.0008, F1: 0.003055±0.0002, HIT_RATE: 0.016802±0.0014, ARHR: 0.006396±0.0007, RMSE: 0.998607±0.0000, NOVELTY: 0.005891±0.0000, AVERAGE_POPULARITY: 0.071871±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993612±0.0000, DIVERSITY_HERFINDAHL: 0.999339±0.0000, COVERAGE_ITEM: 0.503671±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.395998±0.0010, SHANNON_ENTROPY: 11.980877±0.0045, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 776, 'shrink': 1557, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.8071828106253429, 'tversky_beta': 0.3818955507802845} - results: ROC_AUC: 0.008411±0.0004, PRECISION: 0.001305±0.0001, PRECISION_RECALL_MIN_DEN: 0.013053±0.0009, RECALL: 0.013053±0.0009, MAP: 0.005498±0.0003, MRR: 0.005498±0.0003, NDCG: 0.007265±0.0003, F1: 0.002373±0.0002, HIT_RATE: 0.013053±0.0009, ARHR: 0.005498±0.0003, RMSE: 0.998237±0.0000, NOVELTY: 0.006364±0.0000, AVERAGE_POPULARITY: 0.078748±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992743±0.0000, DIVERSITY_HERFINDAHL: 0.999252±0.0000, COVERAGE_ITEM: 0.377388±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.341559±0.0010, SHANNON_ENTROPY: 11.462712±0.0043, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 872, 'shrink': 1225, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.1153747132654415, 'tversky_beta': 1.1074900901781142} - results: ROC_AUC: 0.008215±0.0005, PRECISION: 0.001332±0.0001, PRECISION_RECALL_MIN_DEN: 0.013324±0.0009, RECALL: 0.013324±0.0009, MAP: 0.005461±0.0004, MRR: 0.005461±0.0004, NDCG: 0.007284±0.0005, F1: 0.002423±0.0002, HIT_RATE: 0.013324±0.0009, ARHR: 0.005461±0.0004, RMSE: 0.997686±0.0000, NOVELTY: 0.006539±0.0000, AVERAGE_POPULARITY: 0.075682±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992683±0.0000, DIVERSITY_HERFINDAHL: 0.999246±0.0000, COVERAGE_ITEM: 0.367364±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.338845±0.0004, SHANNON_ENTROPY: 11.420975±0.0032, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 249, 'shrink': 1659, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.6484616467971727, 'tversky_beta': 1.8902277258692772} - results: ROC_AUC: 0.009706±0.0009, PRECISION: 0.001644±0.0002, PRECISION_RECALL_MIN_DEN: 0.016441±0.0016, RECALL: 0.016441±0.0016, MAP: 0.006339±0.0007, MRR: 0.006339±0.0007, NDCG: 0.008668±0.0008, F1: 0.002989±0.0003, HIT_RATE: 0.016441±0.0016, ARHR: 0.006339±0.0007, RMSE: 0.999089±0.0000, NOVELTY: 0.005849±0.0000, AVERAGE_POPULARITY: 0.083110±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993475±0.0000, DIVERSITY_HERFINDAHL: 0.999325±0.0000, COVERAGE_ITEM: 0.488197±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.383293±0.0009, SHANNON_ENTROPY: 11.895636±0.0035, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 500, 'shrink': 647, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.9007448224315395, 'tversky_beta': 0.489546590333234} - results: ROC_AUC: 0.009515±0.0004, PRECISION: 0.001554±0.0001, PRECISION_RECALL_MIN_DEN: 0.015537±0.0007, RECALL: 0.015537±0.0007, MAP: 0.006213±0.0007, MRR: 0.006213±0.0007, NDCG: 0.008374±0.0007, F1: 0.002825±0.0001, HIT_RATE: 0.015537±0.0007, ARHR: 0.006213±0.0007, RMSE: 0.996376±0.0000, NOVELTY: 0.005880±0.0000, AVERAGE_POPULARITY: 0.086425±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.992548±0.0000, DIVERSITY_HERFINDAHL: 0.999232±0.0000, COVERAGE_ITEM: 0.421454±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.351742±0.0008, SHANNON_ENTROPY: 11.600678±0.0051, 
