CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 739, 'shrink': 1451, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007628±0.0005, PRECISION: 0.001256±0.0001, PRECISION_RECALL_MIN_DEN: 0.012556±0.0011, RECALL: 0.012556±0.0011, MAP: 0.005063±0.0003, MRR: 0.005063±0.0003, NDCG: 0.006796±0.0004, F1: 0.002283±0.0002, HIT_RATE: 0.012556±0.0011, ARHR: 0.005063±0.0003, RMSE: 0.998140±0.0000, NOVELTY: 0.006298±0.0000, AVERAGE_POPULARITY: 0.080080±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992840±0.0000, DIVERSITY_HERFINDAHL: 0.999262±0.0000, COVERAGE_ITEM: 0.376621±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340619±0.0009, SHANNON_ENTROPY: 11.460739±0.0031, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 116, 'shrink': 1082, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.009154±0.0008, PRECISION: 0.001463±0.0001, PRECISION_RECALL_MIN_DEN: 0.014634±0.0013, RECALL: 0.014634±0.0013, MAP: 0.005708±0.0006, MRR: 0.005708±0.0006, NDCG: 0.007791±0.0007, F1: 0.002661±0.0002, HIT_RATE: 0.014634±0.0013, ARHR: 0.005708±0.0006, RMSE: 0.999262±0.0000, NOVELTY: 0.005757±0.0000, AVERAGE_POPULARITY: 0.061953±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.993806±0.0000, DIVERSITY_HERFINDAHL: 0.999358±0.0000, COVERAGE_ITEM: 0.519092±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.402436±0.0009, SHANNON_ENTROPY: 12.054346±0.0059, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 963, 'shrink': 672, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.006665±0.0006, PRECISION: 0.001066±0.0001, PRECISION_RECALL_MIN_DEN: 0.010659±0.0010, RECALL: 0.010659±0.0010, MAP: 0.004452±0.0004, MRR: 0.004452±0.0004, NDCG: 0.005892±0.0005, F1: 0.001938±0.0002, HIT_RATE: 0.010659±0.0010, ARHR: 0.004452±0.0004, RMSE: 0.995700±0.0000, NOVELTY: 0.006599±0.0000, AVERAGE_POPULARITY: 0.071507±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.993002±0.0000, DIVERSITY_HERFINDAHL: 0.999278±0.0000, COVERAGE_ITEM: 0.356356±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.343000±0.0001, SHANNON_ENTROPY: 11.417847±0.0013, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 753, 'shrink': 1247, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007508±0.0006, PRECISION: 0.001220±0.0001, PRECISION_RECALL_MIN_DEN: 0.012195±0.0011, RECALL: 0.012195±0.0011, MAP: 0.005059±0.0003, MRR: 0.005059±0.0003, NDCG: 0.006712±0.0005, F1: 0.002217±0.0002, HIT_RATE: 0.012195±0.0011, ARHR: 0.005059±0.0003, RMSE: 0.997826±0.0000, NOVELTY: 0.006317±0.0000, AVERAGE_POPULARITY: 0.079599±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992839±0.0000, DIVERSITY_HERFINDAHL: 0.999261±0.0000, COVERAGE_ITEM: 0.374209±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340010±0.0007, SHANNON_ENTROPY: 11.451891±0.0035, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 192, 'shrink': 1743, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.008321±0.0008, PRECISION: 0.001427±0.0002, PRECISION_RECALL_MIN_DEN: 0.014273±0.0016, RECALL: 0.014273±0.0016, MAP: 0.005333±0.0007, MRR: 0.005333±0.0007, NDCG: 0.007396±0.0009, F1: 0.002595±0.0003, HIT_RATE: 0.014273±0.0016, ARHR: 0.005333±0.0007, RMSE: 0.999303±0.0000, NOVELTY: 0.005479±0.0000, AVERAGE_POPULARITY: 0.077408±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993773±0.0001, DIVERSITY_HERFINDAHL: 0.999355±0.0000, COVERAGE_ITEM: 0.497129±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.384313±0.0010, SHANNON_ENTROPY: 11.931235±0.0069, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 210, 'shrink': 504, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.008767±0.0011, PRECISION: 0.001441±0.0001, PRECISION_RECALL_MIN_DEN: 0.014408±0.0014, RECALL: 0.014408±0.0014, MAP: 0.005690±0.0006, MRR: 0.005690±0.0006, NDCG: 0.007711±0.0008, F1: 0.002620±0.0002, HIT_RATE: 0.014408±0.0014, ARHR: 0.005690±0.0006, RMSE: 0.997426±0.0001, NOVELTY: 0.005498±0.0000, AVERAGE_POPULARITY: 0.077993±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993813±0.0000, DIVERSITY_HERFINDAHL: 0.999359±0.0000, COVERAGE_ITEM: 0.499065±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.384800±0.0007, SHANNON_ENTROPY: 11.938429±0.0070, 
CrossSearchBayesianSkopt: New best config found. Config 17: {'topK': 70, 'shrink': 209, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.008968±0.0009, PRECISION: 0.001518±0.0001, PRECISION_RECALL_MIN_DEN: 0.015176±0.0013, RECALL: 0.015176±0.0013, MAP: 0.005757±0.0003, MRR: 0.005757±0.0003, NDCG: 0.007933±0.0005, F1: 0.002759±0.0002, HIT_RATE: 0.015176±0.0013, ARHR: 0.005757±0.0003, RMSE: 0.997126±0.0001, NOVELTY: 0.005667±0.0000, AVERAGE_POPULARITY: 0.058454±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.993799±0.0000, DIVERSITY_HERFINDAHL: 0.999357±0.0000, COVERAGE_ITEM: 0.514928±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.403952±0.0011, SHANNON_ENTROPY: 12.056844±0.0022, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 948, 'shrink': 737, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.006609±0.0006, PRECISION: 0.001057±0.0001, PRECISION_RECALL_MIN_DEN: 0.010569±0.0011, RECALL: 0.010569±0.0011, MAP: 0.004318±0.0004, MRR: 0.004318±0.0004, NDCG: 0.005774±0.0005, F1: 0.001922±0.0002, HIT_RATE: 0.010569±0.0011, ARHR: 0.004318±0.0004, RMSE: 0.996089±0.0000, NOVELTY: 0.006588±0.0000, AVERAGE_POPULARITY: 0.071709±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992986±0.0000, DIVERSITY_HERFINDAHL: 0.999276±0.0000, COVERAGE_ITEM: 0.357675±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.342630±0.0007, SHANNON_ENTROPY: 11.419722±0.0011, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 796, 'shrink': 157, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007337±0.0004, PRECISION: 0.001220±0.0001, PRECISION_RECALL_MIN_DEN: 0.012195±0.0010, RECALL: 0.012195±0.0010, MAP: 0.004760±0.0004, MRR: 0.004760±0.0004, NDCG: 0.006482±0.0005, F1: 0.002217±0.0002, HIT_RATE: 0.012195±0.0010, ARHR: 0.004760±0.0004, RMSE: 0.983168±0.0002, NOVELTY: 0.006372±0.0000, AVERAGE_POPULARITY: 0.078318±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992806±0.0000, DIVERSITY_HERFINDAHL: 0.999258±0.0000, COVERAGE_ITEM: 0.369116±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339622±0.0007, SHANNON_ENTROPY: 11.435507±0.0048, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 755, 'shrink': 1835, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007473±0.0004, PRECISION: 0.001215±0.0001, PRECISION_RECALL_MIN_DEN: 0.012150±0.0011, RECALL: 0.012150±0.0011, MAP: 0.004938±0.0003, MRR: 0.004938±0.0003, NDCG: 0.006609±0.0004, F1: 0.002209±0.0002, HIT_RATE: 0.012150±0.0011, ARHR: 0.004938±0.0003, RMSE: 0.998518±0.0000, NOVELTY: 0.006308±0.0000, AVERAGE_POPULARITY: 0.080122±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992743±0.0001, DIVERSITY_HERFINDAHL: 0.999252±0.0000, COVERAGE_ITEM: 0.369440±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.338255±0.0012, SHANNON_ENTROPY: 11.427826±0.0085, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 585, 'shrink': 1405, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.008256±0.0009, PRECISION: 0.001350±0.0001, PRECISION_RECALL_MIN_DEN: 0.013505±0.0008, RECALL: 0.013505±0.0008, MAP: 0.005267±0.0008, MRR: 0.005267±0.0008, NDCG: 0.007179±0.0008, F1: 0.002455±0.0002, HIT_RATE: 0.013505±0.0008, ARHR: 0.005267±0.0008, RMSE: 0.998218±0.0000, NOVELTY: 0.006013±0.0000, AVERAGE_POPULARITY: 0.084931±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992798±0.0000, DIVERSITY_HERFINDAHL: 0.999257±0.0000, COVERAGE_ITEM: 0.396269±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.346929±0.0008, SHANNON_ENTROPY: 11.532174±0.0035, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 602, 'shrink': 64, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007769±0.0006, PRECISION: 0.001292±0.0000, PRECISION_RECALL_MIN_DEN: 0.012918±0.0004, RECALL: 0.012918±0.0004, MAP: 0.004959±0.0006, MRR: 0.004959±0.0006, NDCG: 0.006803±0.0005, F1: 0.002349±0.0001, HIT_RATE: 0.012918±0.0004, ARHR: 0.004959±0.0006, RMSE: 0.964598±0.0003, NOVELTY: 0.006043±0.0000, AVERAGE_POPULARITY: 0.084724±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992778±0.0000, DIVERSITY_HERFINDAHL: 0.999255±0.0000, COVERAGE_ITEM: 0.388938±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.344967±0.0006, SHANNON_ENTROPY: 11.504272±0.0008, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 497, 'shrink': 983, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.008517±0.0006, PRECISION: 0.001450±0.0001, PRECISION_RECALL_MIN_DEN: 0.014499±0.0009, RECALL: 0.014499±0.0009, MAP: 0.005506±0.0007, MRR: 0.005506±0.0007, NDCG: 0.007583±0.0007, F1: 0.002636±0.0002, HIT_RATE: 0.014499±0.0009, ARHR: 0.005506±0.0007, RMSE: 0.997622±0.0000, NOVELTY: 0.005858±0.0000, AVERAGE_POPULARITY: 0.086542±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.992772±0.0000, DIVERSITY_HERFINDAHL: 0.999255±0.0000, COVERAGE_ITEM: 0.419984±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.352660±0.0007, SHANNON_ENTROPY: 11.611271±0.0048, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 923, 'shrink': 1584, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.006885±0.0003, PRECISION: 0.001102±0.0001, PRECISION_RECALL_MIN_DEN: 0.011021±0.0005, RECALL: 0.011021±0.0005, MAP: 0.004462±0.0002, MRR: 0.004462±0.0002, NDCG: 0.005989±0.0002, F1: 0.002004±0.0001, HIT_RATE: 0.011021±0.0005, ARHR: 0.004462±0.0002, RMSE: 0.998182±0.0000, NOVELTY: 0.006550±0.0000, AVERAGE_POPULARITY: 0.072966±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.992932±0.0000, DIVERSITY_HERFINDAHL: 0.999271±0.0000, COVERAGE_ITEM: 0.358118±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.341574±0.0005, SHANNON_ENTROPY: 11.415377±0.0029, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 690, 'shrink': 188, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.007799±0.0005, PRECISION: 0.001274±0.0000, PRECISION_RECALL_MIN_DEN: 0.012737±0.0004, RECALL: 0.012737±0.0004, MAP: 0.005020±0.0004, MRR: 0.005020±0.0004, NDCG: 0.006811±0.0004, F1: 0.002316±0.0001, HIT_RATE: 0.012737±0.0004, ARHR: 0.005020±0.0004, RMSE: 0.986415±0.0001, NOVELTY: 0.006211±0.0000, AVERAGE_POPULARITY: 0.081821±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992983±0.0000, DIVERSITY_HERFINDAHL: 0.999276±0.0000, COVERAGE_ITEM: 0.379984±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.342028±0.0005, SHANNON_ENTROPY: 11.479172±0.0046, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 566, 'shrink': 376, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.008085±0.0008, PRECISION: 0.001350±0.0001, PRECISION_RECALL_MIN_DEN: 0.013505±0.0009, RECALL: 0.013505±0.0009, MAP: 0.004996±0.0007, MRR: 0.004996±0.0007, NDCG: 0.006972±0.0008, F1: 0.002455±0.0002, HIT_RATE: 0.013505±0.0009, ARHR: 0.004996±0.0007, RMSE: 0.993529±0.0001, NOVELTY: 0.005983±0.0000, AVERAGE_POPULARITY: 0.084931±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992795±0.0000, DIVERSITY_HERFINDAHL: 0.999257±0.0000, COVERAGE_ITEM: 0.400130±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.348322±0.0011, SHANNON_ENTROPY: 11.547241±0.0052, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 1000, 'shrink': 963, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.006635±0.0008, PRECISION: 0.001057±0.0001, PRECISION_RECALL_MIN_DEN: 0.010569±0.0008, RECALL: 0.010569±0.0008, MAP: 0.004448±0.0007, MRR: 0.004448±0.0007, NDCG: 0.005868±0.0007, F1: 0.001922±0.0001, HIT_RATE: 0.010569±0.0008, ARHR: 0.004448±0.0007, RMSE: 0.996962±0.0000, NOVELTY: 0.006638±0.0000, AVERAGE_POPULARITY: 0.069893±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992941±0.0000, DIVERSITY_HERFINDAHL: 0.999272±0.0000, COVERAGE_ITEM: 0.351890±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.342370±0.0007, SHANNON_ENTROPY: 11.398542±0.0027, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 136, 'shrink': 1071, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.008988±0.0012, PRECISION: 0.001436±0.0002, PRECISION_RECALL_MIN_DEN: 0.014363±0.0016, RECALL: 0.014363±0.0016, MAP: 0.005697±0.0004, MRR: 0.005697±0.0004, NDCG: 0.007718±0.0007, F1: 0.002611±0.0003, HIT_RATE: 0.014363±0.0016, ARHR: 0.005697±0.0004, RMSE: 0.999158±0.0000, NOVELTY: 0.005682±0.0000, AVERAGE_POPULARITY: 0.066728±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.993659±0.0000, DIVERSITY_HERFINDAHL: 0.999343±0.0000, COVERAGE_ITEM: 0.518281±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.397286±0.0011, SHANNON_ENTROPY: 12.022187±0.0059, 
