CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 547, 'shrink': 603, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4283654890234154, 'feature_weighting': 'none'} - results: ROC_AUC: 0.053363±0.0012, PRECISION: 0.007358±0.0002, PRECISION_RECALL_MIN_DEN: 0.073585±0.0015, RECALL: 0.073585±0.0015, MAP: 0.039614±0.0010, MRR: 0.039614±0.0010, NDCG: 0.047604±0.0011, F1: 0.013379±0.0003, HIT_RATE: 0.073585±0.0015, ARHR: 0.039614±0.0010, RMSE: 0.957146±0.0003, NOVELTY: 0.005198±0.0000, AVERAGE_POPULARITY: 0.686627±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.800476±0.0005, DIVERSITY_HERFINDAHL: 0.980043±0.0000, COVERAGE_ITEM: 0.269889±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.062608±0.0005, SHANNON_ENTROPY: 7.121471±0.0073, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 435, 'shrink': 1500, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6140904254259762, 'feature_weighting': 'none'} - results: ROC_AUC: 0.062266±0.0015, PRECISION: 0.008369±0.0002, PRECISION_RECALL_MIN_DEN: 0.083688±0.0016, RECALL: 0.083688±0.0016, MAP: 0.046216±0.0014, MRR: 0.046216±0.0014, NDCG: 0.055083±0.0014, F1: 0.015216±0.0003, HIT_RATE: 0.083688±0.0016, ARHR: 0.046216±0.0014, RMSE: 0.986398±0.0001, NOVELTY: 0.005511±0.0000, AVERAGE_POPULARITY: 0.519853±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.927963±0.0004, DIVERSITY_HERFINDAHL: 0.992791±0.0000, COVERAGE_ITEM: 0.375799±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.089898±0.0004, SHANNON_ENTROPY: 8.661864±0.0088, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 390, 'shrink': 909, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.5443101311238839, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.071944±0.0011, PRECISION: 0.009565±0.0001, PRECISION_RECALL_MIN_DEN: 0.095649±0.0012, RECALL: 0.095649±0.0012, MAP: 0.053105±0.0008, MRR: 0.053105±0.0008, NDCG: 0.063202±0.0009, F1: 0.017391±0.0002, HIT_RATE: 0.095649±0.0012, ARHR: 0.053105±0.0008, RMSE: 0.804934±0.0025, NOVELTY: 0.006721±0.0000, AVERAGE_POPULARITY: 0.285719±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.982226±0.0001, DIVERSITY_HERFINDAHL: 0.998217±0.0000, COVERAGE_ITEM: 0.726932±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.266118±0.0012, SHANNON_ENTROPY: 11.374300±0.0070, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 70, 'shrink': 794, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.622800206521824, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.073116±0.0011, PRECISION: 0.009843±0.0001, PRECISION_RECALL_MIN_DEN: 0.098428±0.0009, RECALL: 0.098428±0.0009, MAP: 0.053620±0.0010, MRR: 0.053620±0.0010, NDCG: 0.064235±0.0010, F1: 0.017896±0.0002, HIT_RATE: 0.098428±0.0009, ARHR: 0.053620±0.0010, RMSE: 1.798422±0.0142, NOVELTY: 0.005827±0.0000, AVERAGE_POPULARITY: 0.413695±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.965511±0.0003, DIVERSITY_HERFINDAHL: 0.996546±0.0000, COVERAGE_ITEM: 0.484466±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134861±0.0006, SHANNON_ENTROPY: 9.850932±0.0083, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 217, 'shrink': 427, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.303213685147206, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.074158±0.0011, PRECISION: 0.010099±0.0002, PRECISION_RECALL_MIN_DEN: 0.100991±0.0017, RECALL: 0.100991±0.0017, MAP: 0.053868±0.0009, MRR: 0.053868±0.0009, NDCG: 0.065018±0.0010, F1: 0.018362±0.0003, HIT_RATE: 0.100991±0.0017, ARHR: 0.053868±0.0009, RMSE: 2.370553±0.0115, NOVELTY: 0.005759±0.0000, AVERAGE_POPULARITY: 0.454897±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.951701±0.0003, DIVERSITY_HERFINDAHL: 0.995165±0.0000, COVERAGE_ITEM: 0.483536±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133848±0.0007, SHANNON_ENTROPY: 9.536602±0.0101, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 621, 'shrink': 618, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6882709958184452, 'feature_weighting': 'none'} - results: ROC_AUC: 0.053129±0.0011, PRECISION: 0.007304±0.0002, PRECISION_RECALL_MIN_DEN: 0.073038±0.0018, RECALL: 0.073038±0.0018, MAP: 0.039332±0.0010, MRR: 0.039332±0.0010, NDCG: 0.047266±0.0011, F1: 0.013280±0.0003, HIT_RATE: 0.073038±0.0018, ARHR: 0.039332±0.0010, RMSE: 0.957486±0.0004, NOVELTY: 0.005180±0.0000, AVERAGE_POPULARITY: 0.694540±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.791292±0.0004, DIVERSITY_HERFINDAHL: 0.979125±0.0000, COVERAGE_ITEM: 0.256004±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.060323±0.0004, SHANNON_ENTROPY: 7.020037±0.0077, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 638, 'shrink': 1981, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9370882375773688, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066179±0.0012, PRECISION: 0.009011±0.0002, PRECISION_RECALL_MIN_DEN: 0.090113±0.0018, RECALL: 0.090113±0.0018, MAP: 0.048755±0.0011, MRR: 0.048755±0.0011, NDCG: 0.058521±0.0012, F1: 0.016384±0.0003, HIT_RATE: 0.090113±0.0018, ARHR: 0.048755±0.0011, RMSE: 1.114026±0.0071, NOVELTY: 0.005402±0.0000, AVERAGE_POPULARITY: 0.584868±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.891362±0.0005, DIVERSITY_HERFINDAHL: 0.989131±0.0000, COVERAGE_ITEM: 0.344342±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.082976±0.0005, SHANNON_ENTROPY: 8.177648±0.0084, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 134, 'shrink': 151, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.1739867223906149, 'feature_weighting': 'none'} - results: ROC_AUC: 0.066457±0.0009, PRECISION: 0.008848±0.0001, PRECISION_RECALL_MIN_DEN: 0.088484±0.0007, RECALL: 0.088484±0.0007, MAP: 0.048824±0.0006, MRR: 0.048824±0.0006, NDCG: 0.058246±0.0005, F1: 0.016088±0.0001, HIT_RATE: 0.088484±0.0007, ARHR: 0.048824±0.0006, RMSE: 0.950308±0.0003, NOVELTY: 0.006216±0.0000, AVERAGE_POPULARITY: 0.238996±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.987295±0.0001, DIVERSITY_HERFINDAHL: 0.998724±0.0000, COVERAGE_ITEM: 0.483925±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.170690±0.0005, SHANNON_ENTROPY: 10.701935±0.0036, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 617, 'shrink': 1052, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.504939861394298, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.059751±0.0007, PRECISION: 0.007741±0.0001, PRECISION_RECALL_MIN_DEN: 0.077412±0.0012, RECALL: 0.077412±0.0012, MAP: 0.043700±0.0003, MRR: 0.043700±0.0003, NDCG: 0.051767±0.0004, F1: 0.014075±0.0002, HIT_RATE: 0.077412±0.0012, ARHR: 0.043700±0.0003, RMSE: 0.791565±0.0028, NOVELTY: 0.007524±0.0000, AVERAGE_POPULARITY: 0.088090±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.996652±0.0000, DIVERSITY_HERFINDAHL: 0.999660±0.0000, COVERAGE_ITEM: 0.686002±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.454246±0.0006, SHANNON_ENTROPY: 12.689535±0.0070, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 821, 'shrink': 901, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.735774728493365, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.072442±0.0016, PRECISION: 0.009849±0.0002, PRECISION_RECALL_MIN_DEN: 0.098485±0.0020, RECALL: 0.098485±0.0020, MAP: 0.052750±0.0012, MRR: 0.052750±0.0012, NDCG: 0.063574±0.0013, F1: 0.017906±0.0004, HIT_RATE: 0.098485±0.0020, ARHR: 0.052750±0.0012, RMSE: 1.348697±0.0072, NOVELTY: 0.005574±0.0000, AVERAGE_POPULARITY: 0.529166±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.921866±0.0003, DIVERSITY_HERFINDAHL: 0.992181±0.0000, COVERAGE_ITEM: 0.440703±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107466±0.0003, SHANNON_ENTROPY: 8.835634±0.0061, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 791, 'shrink': 1411, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3945881696824154, 'feature_weighting': 'none'} - results: ROC_AUC: 0.061199±0.0014, PRECISION: 0.008249±0.0002, PRECISION_RECALL_MIN_DEN: 0.082492±0.0016, RECALL: 0.082492±0.0016, MAP: 0.045359±0.0012, MRR: 0.045359±0.0012, NDCG: 0.054139±0.0013, F1: 0.014999±0.0003, HIT_RATE: 0.082492±0.0016, ARHR: 0.045359±0.0012, RMSE: 0.984583±0.0001, NOVELTY: 0.005394±0.0000, AVERAGE_POPULARITY: 0.571753±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.900321±0.0004, DIVERSITY_HERFINDAHL: 0.990027±0.0000, COVERAGE_ITEM: 0.325223±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.076777±0.0004, SHANNON_ENTROPY: 8.158382±0.0074, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 183, 'shrink': 169, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.10304834133329746, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.065159±0.0005, PRECISION: 0.008327±0.0001, PRECISION_RECALL_MIN_DEN: 0.083267±0.0011, RECALL: 0.083267±0.0011, MAP: 0.048667±0.0006, MRR: 0.048667±0.0006, NDCG: 0.056943±0.0006, F1: 0.015139±0.0002, HIT_RATE: 0.083267±0.0011, ARHR: 0.048667±0.0006, RMSE: 0.945312±0.0039, NOVELTY: 0.007595±0.0000, AVERAGE_POPULARITY: 0.110581±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.997121±0.0000, DIVERSITY_HERFINDAHL: 0.999706±0.0000, COVERAGE_ITEM: 0.789586±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.506479±0.0010, SHANNON_ENTROPY: 13.027444±0.0052, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 758, 'shrink': 1841, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.848142858268638, 'feature_weighting': 'none'} - results: ROC_AUC: 0.052541±0.0009, PRECISION: 0.007243±0.0002, PRECISION_RECALL_MIN_DEN: 0.072434±0.0017, RECALL: 0.072434±0.0017, MAP: 0.038805±0.0010, MRR: 0.038805±0.0010, NDCG: 0.046720±0.0011, F1: 0.013170±0.0003, HIT_RATE: 0.072434±0.0017, ARHR: 0.038805±0.0010, RMSE: 0.985363±0.0001, NOVELTY: 0.005155±0.0000, AVERAGE_POPULARITY: 0.706049±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.777747±0.0006, DIVERSITY_HERFINDAHL: 0.977770±0.0001, COVERAGE_ITEM: 0.238756±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.056555±0.0003, SHANNON_ENTROPY: 6.870127±0.0093, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 431, 'shrink': 1118, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7011400000679916, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.071981±0.0011, PRECISION: 0.009559±0.0001, PRECISION_RECALL_MIN_DEN: 0.095592±0.0011, RECALL: 0.095592±0.0011, MAP: 0.053061±0.0009, MRR: 0.053061±0.0009, NDCG: 0.063162±0.0010, F1: 0.017380±0.0002, HIT_RATE: 0.095592±0.0011, ARHR: 0.053061±0.0009, RMSE: 0.779987±0.0026, NOVELTY: 0.006803±0.0000, AVERAGE_POPULARITY: 0.253943±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.986266±0.0001, DIVERSITY_HERFINDAHL: 0.998621±0.0000, COVERAGE_ITEM: 0.720649±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.274240±0.0006, SHANNON_ENTROPY: 11.569174±0.0046, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 195, 'shrink': 293, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.5360312352380906, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.074152±0.0012, PRECISION: 0.010096±0.0002, PRECISION_RECALL_MIN_DEN: 0.100957±0.0018, RECALL: 0.100957±0.0018, MAP: 0.053916±0.0009, MRR: 0.053916±0.0009, NDCG: 0.065046±0.0010, F1: 0.018356±0.0003, HIT_RATE: 0.100957±0.0018, ARHR: 0.053916±0.0009, RMSE: 3.374356±0.0165, NOVELTY: 0.005777±0.0000, AVERAGE_POPULARITY: 0.448281±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.953812±0.0003, DIVERSITY_HERFINDAHL: 0.995376±0.0000, COVERAGE_ITEM: 0.487126±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136388±0.0007, SHANNON_ENTROPY: 9.596838±0.0093, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 940, 'shrink': 632, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.44265552073965864, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.072142±0.0018, PRECISION: 0.009831±0.0002, PRECISION_RECALL_MIN_DEN: 0.098314±0.0017, RECALL: 0.098314±0.0017, MAP: 0.052537±0.0013, MRR: 0.052537±0.0013, NDCG: 0.063365±0.0014, F1: 0.017875±0.0003, HIT_RATE: 0.098314±0.0017, ARHR: 0.052537±0.0013, RMSE: 1.847227±0.0099, NOVELTY: 0.005559±0.0000, AVERAGE_POPULARITY: 0.535249±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.918943±0.0003, DIVERSITY_HERFINDAHL: 0.991889±0.0000, COVERAGE_ITEM: 0.436961±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105410±0.0003, SHANNON_ENTROPY: 8.775202±0.0058, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 162, 'shrink': 1531, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4674228289244843, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070809±0.0009, PRECISION: 0.009567±0.0001, PRECISION_RECALL_MIN_DEN: 0.095671±0.0008, RECALL: 0.095671±0.0008, MAP: 0.051975±0.0009, MRR: 0.051975±0.0009, NDCG: 0.062316±0.0008, F1: 0.017395±0.0001, HIT_RATE: 0.095671±0.0008, ARHR: 0.051975±0.0009, RMSE: 1.199709±0.0075, NOVELTY: 0.005654±0.0000, AVERAGE_POPULARITY: 0.478408±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.946279±0.0003, DIVERSITY_HERFINDAHL: 0.994623±0.0000, COVERAGE_ITEM: 0.434485±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113002±0.0005, SHANNON_ENTROPY: 9.252453±0.0053, 
