SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CF': 35, 'USER_CF': 7, 'SLIM_BPR': 74, 'P3ALPHA': 76, 'RP3BETA': 54} - results: ROC_AUC: 0.0979754, PRECISION: 0.0154703, PRECISION_RECALL_MIN_DEN: 0.0515676, RECALL: 0.0515676, MAP: 0.0258746, MRR: 0.0703464, NDCG: 0.0436242, F1: 0.0238004, HIT_RATE: 0.1547028, ARHR: 0.0739119, RMSE: nan, NOVELTY: 0.0067973, AVERAGE_POPULARITY: 0.2305988, DIVERSITY_MEAN_INTER_LIST: 0.9422509, DIVERSITY_HERFINDAHL: 0.9942205, COVERAGE_ITEM: 0.4974858, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1606937, SHANNON_ENTROPY: 9.9261998, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 3, 'USER_CF': 5, 'SLIM_BPR': 4, 'P3ALPHA': 7, 'RP3BETA': 99} - results: ROC_AUC: 0.0963903, PRECISION: 0.0158029, PRECISION_RECALL_MIN_DEN: 0.0526764, RECALL: 0.0526764, MAP: 0.0252573, MRR: 0.0687308, NDCG: 0.0433215, F1: 0.0243122, HIT_RATE: 0.1580292, ARHR: 0.0721956, RMSE: nan, NOVELTY: 0.0064660, AVERAGE_POPULARITY: 0.3152919, DIVERSITY_MEAN_INTER_LIST: 0.9316390, DIVERSITY_HERFINDAHL: 0.9931594, COVERAGE_ITEM: 0.4265477, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1199746, SHANNON_ENTROPY: 9.1980766, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 100, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.0997750, PRECISION: 0.0159475, PRECISION_RECALL_MIN_DEN: 0.0531585, RECALL: 0.0531585, MAP: 0.0261201, MRR: 0.0711060, NDCG: 0.0444040, F1: 0.0245347, HIT_RATE: 0.1594755, ARHR: 0.0746628, RMSE: nan, NOVELTY: 0.0065191, AVERAGE_POPULARITY: 0.3277294, DIVERSITY_MEAN_INTER_LIST: 0.9264086, DIVERSITY_HERFINDAHL: 0.9926364, COVERAGE_ITEM: 0.4473101, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1183850, SHANNON_ENTROPY: 9.1447351, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 4, 'USER_CF': 10, 'SLIM_BPR': 1, 'P3ALPHA': 98, 'RP3BETA': 100} - results: ROC_AUC: 0.1007870, PRECISION: 0.0161934, PRECISION_RECALL_MIN_DEN: 0.0539780, RECALL: 0.0539780, MAP: 0.0266164, MRR: 0.0722310, NDCG: 0.0451367, F1: 0.0249129, HIT_RATE: 0.1619341, ARHR: 0.0759607, RMSE: nan, NOVELTY: 0.0063982, AVERAGE_POPULARITY: 0.2873298, DIVERSITY_MEAN_INTER_LIST: 0.9364261, DIVERSITY_HERFINDAHL: 0.9936381, COVERAGE_ITEM: 0.4320087, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1368769, SHANNON_ENTROPY: 9.5246268, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 1, 'USER_CF': 20, 'SLIM_BPR': 91, 'P3ALPHA': 5, 'RP3BETA': 2} - results: ROC_AUC: 0.0886753, PRECISION: 0.0145157, PRECISION_RECALL_MIN_DEN: 0.0483858, RECALL: 0.0483858, MAP: 0.0232988, MRR: 0.0637710, NDCG: 0.0399456, F1: 0.0223319, HIT_RATE: 0.1451574, ARHR: 0.0667764, RMSE: nan, NOVELTY: 0.0064719, AVERAGE_POPULARITY: 0.3487111, DIVERSITY_MEAN_INTER_LIST: 0.9202573, DIVERSITY_HERFINDAHL: 0.9920213, COVERAGE_ITEM: 0.3666937, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1192200, SHANNON_ENTROPY: 8.9282917, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 2, 'USER_CF': 95, 'SLIM_BPR': 12, 'P3ALPHA': 89, 'RP3BETA': 12} - results: ROC_AUC: 0.0945139, PRECISION: 0.0152582, PRECISION_RECALL_MIN_DEN: 0.0508605, RECALL: 0.0508605, MAP: 0.0247508, MRR: 0.0676861, NDCG: 0.0422666, F1: 0.0234741, HIT_RATE: 0.1525816, ARHR: 0.0709081, RMSE: nan, NOVELTY: 0.0063113, AVERAGE_POPULARITY: 0.3956588, DIVERSITY_MEAN_INTER_LIST: 0.9104888, DIVERSITY_HERFINDAHL: 0.9910445, COVERAGE_ITEM: 0.3536091, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0913928, SHANNON_ENTROPY: 8.4739565, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 10, 'USER_CF': 94, 'SLIM_BPR': 97, 'P3ALPHA': 10, 'RP3BETA': 98} - results: ROC_AUC: 0.0946051, PRECISION: 0.0156487, PRECISION_RECALL_MIN_DEN: 0.0521622, RECALL: 0.0521622, MAP: 0.0248491, MRR: 0.0676779, NDCG: 0.0427155, F1: 0.0240749, HIT_RATE: 0.1564865, ARHR: 0.0710514, RMSE: nan, NOVELTY: 0.0063481, AVERAGE_POPULARITY: 0.3790925, DIVERSITY_MEAN_INTER_LIST: 0.9171547, DIVERSITY_HERFINDAHL: 0.9917111, COVERAGE_ITEM: 0.3267910, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0985423, SHANNON_ENTROPY: 8.5796847, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 14, 'SLIM_BPR': 19, 'P3ALPHA': 0, 'RP3BETA': 14} - results: ROC_AUC: 0.1003478, PRECISION: 0.0160584, PRECISION_RECALL_MIN_DEN: 0.0535281, RECALL: 0.0535281, MAP: 0.0265737, MRR: 0.0720137, NDCG: 0.0449284, F1: 0.0247053, HIT_RATE: 0.1605843, ARHR: 0.0757767, RMSE: nan, NOVELTY: 0.0068459, AVERAGE_POPULARITY: 0.2202748, DIVERSITY_MEAN_INTER_LIST: 0.9430294, DIVERSITY_HERFINDAHL: 0.9942984, COVERAGE_ITEM: 0.5503650, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1568404, SHANNON_ENTROPY: 9.9871690, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 91, 'USER_CF': 100, 'SLIM_BPR': 9, 'P3ALPHA': 99, 'RP3BETA': 3} - results: ROC_AUC: 0.1012598, PRECISION: 0.0165791, PRECISION_RECALL_MIN_DEN: 0.0552636, RECALL: 0.0552636, MAP: 0.0266396, MRR: 0.0722698, NDCG: 0.0455591, F1: 0.0255063, HIT_RATE: 0.1657909, ARHR: 0.0760179, RMSE: nan, NOVELTY: 0.0063294, AVERAGE_POPULARITY: 0.3337405, DIVERSITY_MEAN_INTER_LIST: 0.9282635, DIVERSITY_HERFINDAHL: 0.9928219, COVERAGE_ITEM: 0.4912138, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1203293, SHANNON_ENTROPY: 9.2412488, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 96, 'USER_CF': 97, 'SLIM_BPR': 9, 'P3ALPHA': 92, 'RP3BETA': 2} - results: ROC_AUC: 0.1002484, PRECISION: 0.0160777, PRECISION_RECALL_MIN_DEN: 0.0535924, RECALL: 0.0535924, MAP: 0.0264786, MRR: 0.0721745, NDCG: 0.0449176, F1: 0.0247349, HIT_RATE: 0.1607771, ARHR: 0.0757333, RMSE: nan, NOVELTY: 0.0064752, AVERAGE_POPULARITY: 0.3470143, DIVERSITY_MEAN_INTER_LIST: 0.9198866, DIVERSITY_HERFINDAHL: 0.9919842, COVERAGE_ITEM: 0.4432549, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1083256, SHANNON_ENTROPY: 8.9557647, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 93, 'USER_CF': 18, 'SLIM_BPR': 95, 'P3ALPHA': 98, 'RP3BETA': 90} - results: ROC_AUC: 0.0994118, PRECISION: 0.0158656, PRECISION_RECALL_MIN_DEN: 0.0528853, RECALL: 0.0528853, MAP: 0.0262584, MRR: 0.0711949, NDCG: 0.0444122, F1: 0.0244086, HIT_RATE: 0.1586559, ARHR: 0.0749091, RMSE: nan, NOVELTY: 0.0068162, AVERAGE_POPULARITY: 0.2265853, DIVERSITY_MEAN_INTER_LIST: 0.9424701, DIVERSITY_HERFINDAHL: 0.9942425, COVERAGE_ITEM: 0.5442011, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1632368, SHANNON_ENTROPY: 9.9997282, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 97, 'USER_CF': 100, 'SLIM_BPR': 16, 'P3ALPHA': 8, 'RP3BETA': 100} - results: ROC_AUC: 0.0991953, PRECISION: 0.0164778, PRECISION_RECALL_MIN_DEN: 0.0549262, RECALL: 0.0549262, MAP: 0.0258461, MRR: 0.0701709, NDCG: 0.0446279, F1: 0.0253505, HIT_RATE: 0.1647785, ARHR: 0.0737936, RMSE: nan, NOVELTY: 0.0062193, AVERAGE_POPULARITY: 0.3693791, DIVERSITY_MEAN_INTER_LIST: 0.9219264, DIVERSITY_HERFINDAHL: 0.9921882, COVERAGE_ITEM: 0.4441741, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1012129, SHANNON_ENTROPY: 8.8713741, 
SearchBayesianSkoptObject: New best config found. Config 22: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 87, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 97, 'RP3BETA': 88} - results: ROC_AUC: 0.1018220, PRECISION: 0.0160825, PRECISION_RECALL_MIN_DEN: 0.0536084, RECALL: 0.0536084, MAP: 0.0269021, MRR: 0.0730449, NDCG: 0.0453392, F1: 0.0247424, HIT_RATE: 0.1608253, ARHR: 0.0767940, RMSE: nan, NOVELTY: 0.0066786, AVERAGE_POPULARITY: 0.2462153, DIVERSITY_MEAN_INTER_LIST: 0.9407834, DIVERSITY_HERFINDAHL: 0.9940738, COVERAGE_ITEM: 0.5167343, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1443578, SHANNON_ENTROPY: 9.7812184, 
SearchBayesianSkoptObject: New best config found. Config 23: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1021422, PRECISION: 0.0162368, PRECISION_RECALL_MIN_DEN: 0.0541227, RECALL: 0.0541227, MAP: 0.0269607, MRR: 0.0730543, NDCG: 0.0455363, F1: 0.0249797, HIT_RATE: 0.1623680, ARHR: 0.0768788, RMSE: nan, NOVELTY: 0.0068344, AVERAGE_POPULARITY: 0.2231868, DIVERSITY_MEAN_INTER_LIST: 0.9426981, DIVERSITY_HERFINDAHL: 0.9942653, COVERAGE_ITEM: 0.5723168, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1622658, SHANNON_ENTROPY: 10.0267390, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 0} - results: ROC_AUC: 0.1012815, PRECISION: 0.0157885, PRECISION_RECALL_MIN_DEN: 0.0526282, RECALL: 0.0526282, MAP: 0.0269004, MRR: 0.0729403, NDCG: 0.0450111, F1: 0.0242899, HIT_RATE: 0.1578846, ARHR: 0.0767367, RMSE: nan, NOVELTY: 0.0069438, AVERAGE_POPULARITY: 0.1900963, DIVERSITY_MEAN_INTER_LIST: 0.9448369, DIVERSITY_HERFINDAHL: 0.9944791, COVERAGE_ITEM: 0.5875642, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1792945, SHANNON_ENTROPY: 10.2657410, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1010599, PRECISION: 0.0157885, PRECISION_RECALL_MIN_DEN: 0.0526282, RECALL: 0.0526282, MAP: 0.0266806, MRR: 0.0724584, NDCG: 0.0448070, F1: 0.0242899, HIT_RATE: 0.1578846, ARHR: 0.0761686, RMSE: nan, NOVELTY: 0.0067053, AVERAGE_POPULARITY: 0.2535879, DIVERSITY_MEAN_INTER_LIST: 0.9389329, DIVERSITY_HERFINDAHL: 0.9938888, COVERAGE_ITEM: 0.4952690, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1399993, SHANNON_ENTROPY: 9.6949852, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 93, 'USER_CF': 8, 'SLIM_BPR': 98, 'P3ALPHA': 0, 'RP3BETA': 96} - results: ROC_AUC: 0.0978338, PRECISION: 0.0155860, PRECISION_RECALL_MIN_DEN: 0.0519533, RECALL: 0.0519533, MAP: 0.0257394, MRR: 0.0698245, NDCG: 0.0435841, F1: 0.0239784, HIT_RATE: 0.1558598, ARHR: 0.0734541, RMSE: nan, NOVELTY: 0.0066971, AVERAGE_POPULARITY: 0.2483696, DIVERSITY_MEAN_INTER_LIST: 0.9405515, DIVERSITY_HERFINDAHL: 0.9940506, COVERAGE_ITEM: 0.5207353, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1501659, SHANNON_ENTROPY: 9.8130211, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 0} - results: ROC_AUC: 0.1001075, PRECISION: 0.0156342, PRECISION_RECALL_MIN_DEN: 0.0521140, RECALL: 0.0521140, MAP: 0.0266981, MRR: 0.0725018, NDCG: 0.0446427, F1: 0.0240526, HIT_RATE: 0.1563419, ARHR: 0.0762144, RMSE: nan, NOVELTY: 0.0068107, AVERAGE_POPULARITY: 0.2151353, DIVERSITY_MEAN_INTER_LIST: 0.9419018, DIVERSITY_HERFINDAHL: 0.9941856, COVERAGE_ITEM: 0.5050014, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1528990, SHANNON_ENTROPY: 9.9322211, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1021422, PRECISION: 0.0162368, PRECISION_RECALL_MIN_DEN: 0.0541227, RECALL: 0.0541227, MAP: 0.0269607, MRR: 0.0730543, NDCG: 0.0455363, F1: 0.0249797, HIT_RATE: 0.1623680, ARHR: 0.0768788, RMSE: nan, NOVELTY: 0.0068344, AVERAGE_POPULARITY: 0.2231868, DIVERSITY_MEAN_INTER_LIST: 0.9426981, DIVERSITY_HERFINDAHL: 0.9942653, COVERAGE_ITEM: 0.5723168, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1622658, SHANNON_ENTROPY: 10.0267390, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1012255, PRECISION: 0.0162898, PRECISION_RECALL_MIN_DEN: 0.0542994, RECALL: 0.0542994, MAP: 0.0264815, MRR: 0.0720336, NDCG: 0.0451336, F1: 0.0250613, HIT_RATE: 0.1628983, ARHR: 0.0756662, RMSE: nan, NOVELTY: 0.0064611, AVERAGE_POPULARITY: 0.3478975, DIVERSITY_MEAN_INTER_LIST: 0.9213460, DIVERSITY_HERFINDAHL: 0.9921302, COVERAGE_ITEM: 0.4363882, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1059037, SHANNON_ENTROPY: 8.9326757, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 14, 'USER_CF': 11, 'SLIM_BPR': 97, 'P3ALPHA': 97, 'RP3BETA': 92} - results: ROC_AUC: 0.0961970, PRECISION: 0.0153208, PRECISION_RECALL_MIN_DEN: 0.0510694, RECALL: 0.0510694, MAP: 0.0254282, MRR: 0.0693017, NDCG: 0.0430098, F1: 0.0235705, HIT_RATE: 0.1532083, ARHR: 0.0727213, RMSE: nan, NOVELTY: 0.0066239, AVERAGE_POPULARITY: 0.2792198, DIVERSITY_MEAN_INTER_LIST: 0.9369128, DIVERSITY_HERFINDAHL: 0.9936868, COVERAGE_ITEM: 0.4495269, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1368274, SHANNON_ENTROPY: 9.5275603, 
