SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'ITEM_CF': 49, 'USER_CF': 22, 'SLIM_BPR': 46, 'P3ALPHA': 29, 'RP3BETA': 13} - results: ROC_AUC: 0.0852182, PRECISION: 0.0131803, PRECISION_RECALL_MIN_DEN: 0.0439345, RECALL: 0.0439345, MAP: 0.0228428, MRR: 0.0628647, NDCG: 0.0381107, F1: 0.0202775, HIT_RATE: 0.1318035, ARHR: 0.0656472, RMSE: nan, NOVELTY: 0.0074592, AVERAGE_POPULARITY: 0.1577533, DIVERSITY_MEAN_INTER_LIST: 0.9312427, DIVERSITY_HERFINDAHL: 0.9931198, COVERAGE_ITEM: 0.3711273, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1282180, SHANNON_ENTROPY: 9.2090074, 
SearchBayesianSkoptObject: New best config found. Config 11: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.0991154, PRECISION: 0.0155426, PRECISION_RECALL_MIN_DEN: 0.0518086, RECALL: 0.0518086, MAP: 0.0259646, MRR: 0.0705512, NDCG: 0.0438051, F1: 0.0239117, HIT_RATE: 0.1554259, ARHR: 0.0741453, RMSE: nan, NOVELTY: 0.0069378, AVERAGE_POPULARITY: 0.2063984, DIVERSITY_MEAN_INTER_LIST: 0.9232548, DIVERSITY_HERFINDAHL: 0.9923210, COVERAGE_ITEM: 0.5060827, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1432045, SHANNON_ENTROPY: 9.6456361, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'ITEM_CF': 87, 'USER_CF': 7, 'SLIM_BPR': 96, 'P3ALPHA': 96, 'RP3BETA': 97} - results: ROC_AUC: 0.0914655, PRECISION: 0.0142554, PRECISION_RECALL_MIN_DEN: 0.0475180, RECALL: 0.0475180, MAP: 0.0239342, MRR: 0.0653036, NDCG: 0.0403488, F1: 0.0219314, HIT_RATE: 0.1425541, ARHR: 0.0684901, RMSE: nan, NOVELTY: 0.0072169, AVERAGE_POPULARITY: 0.1745284, DIVERSITY_MEAN_INTER_LIST: 0.8711502, DIVERSITY_HERFINDAHL: 0.9871108, COVERAGE_ITEM: 0.3400919, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1124681, SHANNON_ENTROPY: 8.5674199, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 0, 'RP3BETA': 0} - results: ROC_AUC: 0.0930416, PRECISION: 0.0157065, PRECISION_RECALL_MIN_DEN: 0.0523550, RECALL: 0.0523550, MAP: 0.0247340, MRR: 0.0672820, NDCG: 0.0426093, F1: 0.0241639, HIT_RATE: 0.1570650, ARHR: 0.0706662, RMSE: nan, NOVELTY: 0.0069652, AVERAGE_POPULARITY: 0.1880239, DIVERSITY_MEAN_INTER_LIST: 0.9381362, DIVERSITY_HERFINDAHL: 0.9938091, COVERAGE_ITEM: 0.5350095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1579874, SHANNON_ENTROPY: 9.9993776, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'ITEM_CF': 97, 'USER_CF': 2, 'SLIM_BPR': 3, 'P3ALPHA': 100, 'RP3BETA': 97} - results: ROC_AUC: 0.0857010, PRECISION: 0.0135757, PRECISION_RECALL_MIN_DEN: 0.0452522, RECALL: 0.0452522, MAP: 0.0229714, MRR: 0.0631207, NDCG: 0.0386336, F1: 0.0208856, HIT_RATE: 0.1357566, ARHR: 0.0659623, RMSE: nan, NOVELTY: 0.0072303, AVERAGE_POPULARITY: 0.1681472, DIVERSITY_MEAN_INTER_LIST: 0.9333842, DIVERSITY_HERFINDAHL: 0.9933339, COVERAGE_ITEM: 0.4049202, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1290320, SHANNON_ENTROPY: 9.3079365, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'ITEM_CF': 5, 'USER_CF': 2, 'SLIM_BPR': 100, 'P3ALPHA': 97, 'RP3BETA': 25} - results: ROC_AUC: 0.0832276, PRECISION: 0.0125633, PRECISION_RECALL_MIN_DEN: 0.0418776, RECALL: 0.0418776, MAP: 0.0223944, MRR: 0.0617609, NDCG: 0.0370180, F1: 0.0193281, HIT_RATE: 0.1256327, ARHR: 0.0644263, RMSE: nan, NOVELTY: 0.0072970, AVERAGE_POPULARITY: 0.1589697, DIVERSITY_MEAN_INTER_LIST: 0.9330544, DIVERSITY_HERFINDAHL: 0.9933009, COVERAGE_ITEM: 0.4003785, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1436602, SHANNON_ENTROPY: 9.3642868, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 0, 'RP3BETA': 0} - results: ROC_AUC: 0.0875040, PRECISION: 0.0148869, PRECISION_RECALL_MIN_DEN: 0.0496232, RECALL: 0.0496232, MAP: 0.0227126, MRR: 0.0619877, NDCG: 0.0396492, F1: 0.0229030, HIT_RATE: 0.1488695, ARHR: 0.0649831, RMSE: nan, NOVELTY: 0.0066332, AVERAGE_POPULARITY: 0.2980498, DIVERSITY_MEAN_INTER_LIST: 0.9271326, DIVERSITY_HERFINDAHL: 0.9927088, COVERAGE_ITEM: 0.4657475, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1142236, SHANNON_ENTROPY: 9.2160906, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CF': 99, 'USER_CF': 3, 'SLIM_BPR': 95, 'P3ALPHA': 1, 'RP3BETA': 99} - results: ROC_AUC: 0.0833849, PRECISION: 0.0128911, PRECISION_RECALL_MIN_DEN: 0.0429703, RECALL: 0.0429703, MAP: 0.0226245, MRR: 0.0621572, NDCG: 0.0375486, F1: 0.0198325, HIT_RATE: 0.1289110, ARHR: 0.0649793, RMSE: nan, NOVELTY: 0.0074563, AVERAGE_POPULARITY: 0.1761504, DIVERSITY_MEAN_INTER_LIST: 0.9260072, DIVERSITY_HERFINDAHL: 0.9925963, COVERAGE_ITEM: 0.2736415, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0994233, SHANNON_ENTROPY: 8.6850515, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 0, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.0955316, PRECISION: 0.0158801, PRECISION_RECALL_MIN_DEN: 0.0529335, RECALL: 0.0529335, MAP: 0.0249089, MRR: 0.0674516, NDCG: 0.0429716, F1: 0.0244309, HIT_RATE: 0.1588006, ARHR: 0.0710117, RMSE: nan, NOVELTY: 0.0065213, AVERAGE_POPULARITY: 0.3422464, DIVERSITY_MEAN_INTER_LIST: 0.9061698, DIVERSITY_HERFINDAHL: 0.9906126, COVERAGE_ITEM: 0.3264666, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0967086, SHANNON_ENTROPY: 8.5441342, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 0, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.0940212, PRECISION: 0.0151184, PRECISION_RECALL_MIN_DEN: 0.0503945, RECALL: 0.0503945, MAP: 0.0245345, MRR: 0.0668313, NDCG: 0.0418552, F1: 0.0232590, HIT_RATE: 0.1511835, ARHR: 0.0701496, RMSE: nan, NOVELTY: 0.0069051, AVERAGE_POPULARITY: 0.2378423, DIVERSITY_MEAN_INTER_LIST: 0.8914447, DIVERSITY_HERFINDAHL: 0.9891402, COVERAGE_ITEM: 0.3617735, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1152018, SHANNON_ENTROPY: 8.8257539, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CF': 23, 'USER_CF': 100, 'SLIM_BPR': 6, 'P3ALPHA': 7, 'RP3BETA': 13} - results: ROC_AUC: 0.0904966, PRECISION: 0.0140915, PRECISION_RECALL_MIN_DEN: 0.0469717, RECALL: 0.0469717, MAP: 0.0240379, MRR: 0.0659984, NDCG: 0.0403294, F1: 0.0216792, HIT_RATE: 0.1409150, ARHR: 0.0690033, RMSE: nan, NOVELTY: 0.0064396, AVERAGE_POPULARITY: 0.3048102, DIVERSITY_MEAN_INTER_LIST: 0.9350846, DIVERSITY_HERFINDAHL: 0.9935040, COVERAGE_ITEM: 0.3682617, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0981751, SHANNON_ENTROPY: 9.0126780, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 0, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 0} - results: ROC_AUC: 0.0748066, PRECISION: 0.0143615, PRECISION_RECALL_MIN_DEN: 0.0478716, RECALL: 0.0478716, MAP: 0.0198655, MRR: 0.0546340, NDCG: 0.0360419, F1: 0.0220946, HIT_RATE: 0.1436147, ARHR: 0.0570623, RMSE: nan, NOVELTY: 0.0068438, AVERAGE_POPULARITY: 0.2069453, DIVERSITY_MEAN_INTER_LIST: 0.9333939, DIVERSITY_HERFINDAHL: 0.9933349, COVERAGE_ITEM: 0.4264936, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1654446, SHANNON_ENTROPY: 9.8103298, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 100, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.0973880, PRECISION: 0.0156004, PRECISION_RECALL_MIN_DEN: 0.0520015, RECALL: 0.0520015, MAP: 0.0255181, MRR: 0.0691938, NDCG: 0.0433632, F1: 0.0240007, HIT_RATE: 0.1560044, ARHR: 0.0728018, RMSE: nan, NOVELTY: 0.0068271, AVERAGE_POPULARITY: 0.2548072, DIVERSITY_MEAN_INTER_LIST: 0.8960612, DIVERSITY_HERFINDAHL: 0.9896018, COVERAGE_ITEM: 0.3751825, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1163094, SHANNON_ENTROPY: 8.8784382, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 0, 'RP3BETA': 100} - results: ROC_AUC: 0.0961269, PRECISION: 0.0159958, PRECISION_RECALL_MIN_DEN: 0.0533192, RECALL: 0.0533192, MAP: 0.0248459, MRR: 0.0672074, NDCG: 0.0430275, F1: 0.0246089, HIT_RATE: 0.1599576, ARHR: 0.0708002, RMSE: nan, NOVELTY: 0.0066087, AVERAGE_POPULARITY: 0.3117174, DIVERSITY_MEAN_INTER_LIST: 0.9199957, DIVERSITY_HERFINDAHL: 0.9919951, COVERAGE_ITEM: 0.4414707, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1045643, SHANNON_ENTROPY: 8.9865385, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CF': 97, 'USER_CF': 76, 'SLIM_BPR': 93, 'P3ALPHA': 3, 'RP3BETA': 1} - results: ROC_AUC: 0.0837739, PRECISION: 0.0125922, PRECISION_RECALL_MIN_DEN: 0.0419740, RECALL: 0.0419740, MAP: 0.0225924, MRR: 0.0624381, NDCG: 0.0372797, F1: 0.0193726, HIT_RATE: 0.1259220, ARHR: 0.0650676, RMSE: nan, NOVELTY: 0.0074459, AVERAGE_POPULARITY: 0.1710225, DIVERSITY_MEAN_INTER_LIST: 0.9309930, DIVERSITY_HERFINDAHL: 0.9930948, COVERAGE_ITEM: 0.3456610, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1204143, SHANNON_ENTROPY: 9.0695240, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 93, 'USER_CF': 100, 'SLIM_BPR': 99, 'P3ALPHA': 31, 'RP3BETA': 93} - results: ROC_AUC: 0.0955216, PRECISION: 0.0154992, PRECISION_RECALL_MIN_DEN: 0.0516640, RECALL: 0.0516640, MAP: 0.0248429, MRR: 0.0672599, NDCG: 0.0425268, F1: 0.0238449, HIT_RATE: 0.1549920, ARHR: 0.0708211, RMSE: nan, NOVELTY: 0.0067831, AVERAGE_POPULARITY: 0.2752783, DIVERSITY_MEAN_INTER_LIST: 0.8888614, DIVERSITY_HERFINDAHL: 0.9888819, COVERAGE_ITEM: 0.3412274, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1050876, SHANNON_ENTROPY: 8.6159282, 
SearchBayesianSkoptObject: New best config found. Config 26: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1000326, PRECISION: 0.0162513, PRECISION_RECALL_MIN_DEN: 0.0541709, RECALL: 0.0541709, MAP: 0.0260628, MRR: 0.0704205, NDCG: 0.0445798, F1: 0.0250019, HIT_RATE: 0.1625127, ARHR: 0.0742277, RMSE: nan, NOVELTY: 0.0066287, AVERAGE_POPULARITY: 0.3007849, DIVERSITY_MEAN_INTER_LIST: 0.9170695, DIVERSITY_HERFINDAHL: 0.9917025, COVERAGE_ITEM: 0.4056772, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1076438, SHANNON_ENTROPY: 8.9648011, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CF': 92, 'USER_CF': 96, 'SLIM_BPR': 94, 'P3ALPHA': 92, 'RP3BETA': 5} - results: ROC_AUC: 0.0865249, PRECISION: 0.0134359, PRECISION_RECALL_MIN_DEN: 0.0447862, RECALL: 0.0447862, MAP: 0.0233089, MRR: 0.0637772, NDCG: 0.0388090, F1: 0.0206706, HIT_RATE: 0.1343586, ARHR: 0.0667995, RMSE: nan, NOVELTY: 0.0072472, AVERAGE_POPULARITY: 0.1954455, DIVERSITY_MEAN_INTER_LIST: 0.9331323, DIVERSITY_HERFINDAHL: 0.9933087, COVERAGE_ITEM: 0.3563666, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1148986, SHANNON_ENTROPY: 9.0990647, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 15, 'USER_CF': 19, 'SLIM_BPR': 99, 'P3ALPHA': 9, 'RP3BETA': 90} - results: ROC_AUC: 0.0917874, PRECISION: 0.0146845, PRECISION_RECALL_MIN_DEN: 0.0489482, RECALL: 0.0489482, MAP: 0.0239045, MRR: 0.0650219, NDCG: 0.0407271, F1: 0.0225915, HIT_RATE: 0.1468447, ARHR: 0.0683021, RMSE: nan, NOVELTY: 0.0069426, AVERAGE_POPULARITY: 0.2329094, DIVERSITY_MEAN_INTER_LIST: 0.8871638, DIVERSITY_HERFINDAHL: 0.9887121, COVERAGE_ITEM: 0.3569073, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1266555, SHANNON_ENTROPY: 8.8685541, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CF': 1, 'USER_CF': 91, 'SLIM_BPR': 5, 'P3ALPHA': 3, 'RP3BETA': 74} - results: ROC_AUC: 0.0888779, PRECISION: 0.0140722, PRECISION_RECALL_MIN_DEN: 0.0469074, RECALL: 0.0469074, MAP: 0.0237551, MRR: 0.0652451, NDCG: 0.0399965, F1: 0.0216496, HIT_RATE: 0.1407222, ARHR: 0.0682116, RMSE: nan, NOVELTY: 0.0064132, AVERAGE_POPULARITY: 0.3166231, DIVERSITY_MEAN_INTER_LIST: 0.9317345, DIVERSITY_HERFINDAHL: 0.9931690, COVERAGE_ITEM: 0.3589078, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0953266, SHANNON_ENTROPY: 8.8962179, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1000326, PRECISION: 0.0162513, PRECISION_RECALL_MIN_DEN: 0.0541709, RECALL: 0.0541709, MAP: 0.0260628, MRR: 0.0704205, NDCG: 0.0445798, F1: 0.0250019, HIT_RATE: 0.1625127, ARHR: 0.0742277, RMSE: nan, NOVELTY: 0.0066287, AVERAGE_POPULARITY: 0.3007849, DIVERSITY_MEAN_INTER_LIST: 0.9170695, DIVERSITY_HERFINDAHL: 0.9917025, COVERAGE_ITEM: 0.4056772, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1076438, SHANNON_ENTROPY: 8.9648011, 
