SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 4, 'ITEM_CF': 73, 'USER_CF': 13, 'SLIM_BPR': 2, 'P3ALPHA': 44, 'RP3BETA': 99} - results: ROC_AUC: 0.0990025, PRECISION: 0.0155571, PRECISION_RECALL_MIN_DEN: 0.0518569, RECALL: 0.0518569, MAP: 0.0259495, MRR: 0.0702170, NDCG: 0.0437661, F1: 0.0239339, HIT_RATE: 0.1555706, ARHR: 0.0739537, RMSE: nan, NOVELTY: 0.0071242, AVERAGE_POPULARITY: 0.2107433, DIVERSITY_MEAN_INTER_LIST: 0.8697895, DIVERSITY_HERFINDAHL: 0.9869748, COVERAGE_ITEM: 0.3399838, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1113092, SHANNON_ENTROPY: 8.6469015, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 89, 'USER_CF': 83, 'SLIM_BPR': 97, 'P3ALPHA': 9, 'RP3BETA': 5} - results: ROC_AUC: 0.0961907, PRECISION: 0.0155474, PRECISION_RECALL_MIN_DEN: 0.0518247, RECALL: 0.0518247, MAP: 0.0251515, MRR: 0.0684408, NDCG: 0.0429457, F1: 0.0239191, HIT_RATE: 0.1554741, ARHR: 0.0718771, RMSE: nan, NOVELTY: 0.0065833, AVERAGE_POPULARITY: 0.3106322, DIVERSITY_MEAN_INTER_LIST: 0.9131725, DIVERSITY_HERFINDAHL: 0.9913129, COVERAGE_ITEM: 0.4134631, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1176893, SHANNON_ENTROPY: 8.9934772, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 4, 'USER_CF': 84, 'SLIM_BPR': 6, 'P3ALPHA': 13, 'RP3BETA': 98} - results: ROC_AUC: 0.0885499, PRECISION: 0.0142265, PRECISION_RECALL_MIN_DEN: 0.0474216, RECALL: 0.0474216, MAP: 0.0233279, MRR: 0.0637032, NDCG: 0.0396589, F1: 0.0218869, HIT_RATE: 0.1422649, ARHR: 0.0667913, RMSE: nan, NOVELTY: 0.0065112, AVERAGE_POPULARITY: 0.3001766, DIVERSITY_MEAN_INTER_LIST: 0.8510933, DIVERSITY_HERFINDAHL: 0.9851052, COVERAGE_ITEM: 0.2723439, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0868129, SHANNON_ENTROPY: 8.0432426, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 93, 'USER_CF': 19, 'SLIM_BPR': 5, 'P3ALPHA': 4, 'RP3BETA': 96} - results: ROC_AUC: 0.0981693, PRECISION: 0.0155763, PRECISION_RECALL_MIN_DEN: 0.0519211, RECALL: 0.0519211, MAP: 0.0257241, MRR: 0.0697867, NDCG: 0.0435680, F1: 0.0239636, HIT_RATE: 0.1557634, ARHR: 0.0734052, RMSE: nan, NOVELTY: 0.0068403, AVERAGE_POPULARITY: 0.2369600, DIVERSITY_MEAN_INTER_LIST: 0.8978742, DIVERSITY_HERFINDAHL: 0.9897831, COVERAGE_ITEM: 0.4314680, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1158002, SHANNON_ENTROPY: 9.0359269, 
SearchBayesianSkoptObject: New best config found. Config 14: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1012831, PRECISION: 0.0156631, PRECISION_RECALL_MIN_DEN: 0.0522104, RECALL: 0.0522104, MAP: 0.0266769, MRR: 0.0724624, NDCG: 0.0446812, F1: 0.0240971, HIT_RATE: 0.1566312, ARHR: 0.0761714, RMSE: nan, NOVELTY: 0.0067980, AVERAGE_POPULARITY: 0.2421955, DIVERSITY_MEAN_INTER_LIST: 0.9174334, DIVERSITY_HERFINDAHL: 0.9917389, COVERAGE_ITEM: 0.4263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1257928, SHANNON_ENTROPY: 9.2771685, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 100, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.0952817, PRECISION: 0.0146845, PRECISION_RECALL_MIN_DEN: 0.0489482, RECALL: 0.0489482, MAP: 0.0252992, MRR: 0.0688715, NDCG: 0.0422167, F1: 0.0225915, HIT_RATE: 0.1468447, ARHR: 0.0723229, RMSE: nan, NOVELTY: 0.0072172, AVERAGE_POPULARITY: 0.1732366, DIVERSITY_MEAN_INTER_LIST: 0.9253020, DIVERSITY_HERFINDAHL: 0.9925257, COVERAGE_ITEM: 0.3740470, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1318696, SHANNON_ENTROPY: 9.1653565, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'ITEM_CF': 95, 'USER_CF': 95, 'SLIM_BPR': 99, 'P3ALPHA': 88, 'RP3BETA': 0} - results: ROC_AUC: 0.0976725, PRECISION: 0.0156679, PRECISION_RECALL_MIN_DEN: 0.0522265, RECALL: 0.0522265, MAP: 0.0254953, MRR: 0.0691863, NDCG: 0.0434215, F1: 0.0241045, HIT_RATE: 0.1566794, ARHR: 0.0727651, RMSE: nan, NOVELTY: 0.0067223, AVERAGE_POPULARITY: 0.2536868, DIVERSITY_MEAN_INTER_LIST: 0.9224117, DIVERSITY_HERFINDAHL: 0.9922367, COVERAGE_ITEM: 0.4194647, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1381596, SHANNON_ENTROPY: 9.3822646, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 7, 'USER_CF': 76, 'SLIM_BPR': 96, 'P3ALPHA': 96, 'RP3BETA': 100} - results: ROC_AUC: 0.0925302, PRECISION: 0.0146170, PRECISION_RECALL_MIN_DEN: 0.0487233, RECALL: 0.0487233, MAP: 0.0242133, MRR: 0.0659316, NDCG: 0.0410082, F1: 0.0224877, HIT_RATE: 0.1461698, ARHR: 0.0692309, RMSE: nan, NOVELTY: 0.0067733, AVERAGE_POPULARITY: 0.2218690, DIVERSITY_MEAN_INTER_LIST: 0.8908689, DIVERSITY_HERFINDAHL: 0.9890826, COVERAGE_ITEM: 0.3612868, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1250803, SHANNON_ENTROPY: 8.8858025, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'ITEM_CF': 2, 'USER_CF': 3, 'SLIM_BPR': 59, 'P3ALPHA': 5, 'RP3BETA': 3} - results: ROC_AUC: 0.0843645, PRECISION: 0.0125488, PRECISION_RECALL_MIN_DEN: 0.0418294, RECALL: 0.0418294, MAP: 0.0224603, MRR: 0.0617323, NDCG: 0.0370671, F1: 0.0193059, HIT_RATE: 0.1254881, ARHR: 0.0645048, RMSE: nan, NOVELTY: 0.0070870, AVERAGE_POPULARITY: 0.1881830, DIVERSITY_MEAN_INTER_LIST: 0.8826427, DIVERSITY_HERFINDAHL: 0.9882600, COVERAGE_ITEM: 0.3562044, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1447039, SHANNON_ENTROPY: 9.0623801, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1016255, PRECISION: 0.0161934, PRECISION_RECALL_MIN_DEN: 0.0539780, RECALL: 0.0539780, MAP: 0.0264210, MRR: 0.0717845, NDCG: 0.0449752, F1: 0.0249129, HIT_RATE: 0.1619341, ARHR: 0.0754527, RMSE: nan, NOVELTY: 0.0065255, AVERAGE_POPULARITY: 0.3227583, DIVERSITY_MEAN_INTER_LIST: 0.9091174, DIVERSITY_HERFINDAHL: 0.9909074, COVERAGE_ITEM: 0.3759935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1046247, SHANNON_ENTROPY: 8.7758197, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1012831, PRECISION: 0.0156631, PRECISION_RECALL_MIN_DEN: 0.0522104, RECALL: 0.0522104, MAP: 0.0266769, MRR: 0.0724624, NDCG: 0.0446812, F1: 0.0240971, HIT_RATE: 0.1566312, ARHR: 0.0761714, RMSE: nan, NOVELTY: 0.0067980, AVERAGE_POPULARITY: 0.2421955, DIVERSITY_MEAN_INTER_LIST: 0.9174334, DIVERSITY_HERFINDAHL: 0.9917389, COVERAGE_ITEM: 0.4263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1257928, SHANNON_ENTROPY: 9.2771685, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 95, 'USER_CF': 81, 'SLIM_BPR': 3, 'P3ALPHA': 90, 'RP3BETA': 1} - results: ROC_AUC: 0.0984283, PRECISION: 0.0162705, PRECISION_RECALL_MIN_DEN: 0.0542352, RECALL: 0.0542352, MAP: 0.0255965, MRR: 0.0694304, NDCG: 0.0441326, F1: 0.0250316, HIT_RATE: 0.1627055, ARHR: 0.0730373, RMSE: nan, NOVELTY: 0.0065255, AVERAGE_POPULARITY: 0.2568604, DIVERSITY_MEAN_INTER_LIST: 0.9327598, DIVERSITY_HERFINDAHL: 0.9932715, COVERAGE_ITEM: 0.5012706, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1395126, SHANNON_ENTROPY: 9.6404143, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 93, 'USER_CF': 1, 'SLIM_BPR': 74, 'P3ALPHA': 1, 'RP3BETA': 5} - results: ROC_AUC: 0.0929844, PRECISION: 0.0143036, PRECISION_RECALL_MIN_DEN: 0.0476787, RECALL: 0.0476787, MAP: 0.0245949, MRR: 0.0670974, NDCG: 0.0410925, F1: 0.0220056, HIT_RATE: 0.1430362, ARHR: 0.0703736, RMSE: nan, NOVELTY: 0.0069688, AVERAGE_POPULARITY: 0.1957022, DIVERSITY_MEAN_INTER_LIST: 0.9078850, DIVERSITY_HERFINDAHL: 0.9907841, COVERAGE_ITEM: 0.3702622, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1266674, SHANNON_ENTROPY: 9.0318752, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 3, 'ITEM_CF': 4, 'USER_CF': 97, 'SLIM_BPR': 1, 'P3ALPHA': 87, 'RP3BETA': 1} - results: ROC_AUC: 0.0895852, PRECISION: 0.0150219, PRECISION_RECALL_MIN_DEN: 0.0500731, RECALL: 0.0500731, MAP: 0.0232983, MRR: 0.0638447, NDCG: 0.0404808, F1: 0.0231107, HIT_RATE: 0.1502194, ARHR: 0.0668198, RMSE: nan, NOVELTY: 0.0063125, AVERAGE_POPULARITY: 0.4184367, DIVERSITY_MEAN_INTER_LIST: 0.8995955, DIVERSITY_HERFINDAHL: 0.9899552, COVERAGE_ITEM: 0.3024061, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0856490, SHANNON_ENTROPY: 8.2040195, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 9, 'USER_CF': 5, 'SLIM_BPR': 100, 'P3ALPHA': 8, 'RP3BETA': 97} - results: ROC_AUC: 0.0888625, PRECISION: 0.0131707, PRECISION_RECALL_MIN_DEN: 0.0439024, RECALL: 0.0439024, MAP: 0.0234227, MRR: 0.0643146, NDCG: 0.0387527, F1: 0.0202626, HIT_RATE: 0.1317071, ARHR: 0.0672421, RMSE: nan, NOVELTY: 0.0070531, AVERAGE_POPULARITY: 0.1909872, DIVERSITY_MEAN_INTER_LIST: 0.8328784, DIVERSITY_HERFINDAHL: 0.9832838, COVERAGE_ITEM: 0.2500676, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0901220, SHANNON_ENTROPY: 7.8965323, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1012831, PRECISION: 0.0156631, PRECISION_RECALL_MIN_DEN: 0.0522104, RECALL: 0.0522104, MAP: 0.0266769, MRR: 0.0724624, NDCG: 0.0446812, F1: 0.0240971, HIT_RATE: 0.1566312, ARHR: 0.0761714, RMSE: nan, NOVELTY: 0.0067980, AVERAGE_POPULARITY: 0.2421955, DIVERSITY_MEAN_INTER_LIST: 0.9174334, DIVERSITY_HERFINDAHL: 0.9917389, COVERAGE_ITEM: 0.4263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1257928, SHANNON_ENTROPY: 9.2771685, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 95, 'USER_CF': 95, 'SLIM_BPR': 5, 'P3ALPHA': 21, 'RP3BETA': 96} - results: ROC_AUC: 0.0937087, PRECISION: 0.0153594, PRECISION_RECALL_MIN_DEN: 0.0511980, RECALL: 0.0511980, MAP: 0.0247043, MRR: 0.0670294, NDCG: 0.0422318, F1: 0.0236298, HIT_RATE: 0.1535940, ARHR: 0.0705183, RMSE: nan, NOVELTY: 0.0065195, AVERAGE_POPULARITY: 0.2869115, DIVERSITY_MEAN_INTER_LIST: 0.9068507, DIVERSITY_HERFINDAHL: 0.9906807, COVERAGE_ITEM: 0.3172749, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0990852, SHANNON_ENTROPY: 8.6650001, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1012831, PRECISION: 0.0156631, PRECISION_RECALL_MIN_DEN: 0.0522104, RECALL: 0.0522104, MAP: 0.0266769, MRR: 0.0724624, NDCG: 0.0446812, F1: 0.0240971, HIT_RATE: 0.1566312, ARHR: 0.0761714, RMSE: nan, NOVELTY: 0.0067980, AVERAGE_POPULARITY: 0.2421955, DIVERSITY_MEAN_INTER_LIST: 0.9174334, DIVERSITY_HERFINDAHL: 0.9917389, COVERAGE_ITEM: 0.4263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1257928, SHANNON_ENTROPY: 9.2771685, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 100, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.0988074, PRECISION: 0.0158656, PRECISION_RECALL_MIN_DEN: 0.0528853, RECALL: 0.0528853, MAP: 0.0259253, MRR: 0.0704371, NDCG: 0.0440865, F1: 0.0244086, HIT_RATE: 0.1586559, ARHR: 0.0740364, RMSE: nan, NOVELTY: 0.0066340, AVERAGE_POPULARITY: 0.2933626, DIVERSITY_MEAN_INTER_LIST: 0.9034070, DIVERSITY_HERFINDAHL: 0.9903363, COVERAGE_ITEM: 0.3698838, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1142470, SHANNON_ENTROPY: 8.8469915, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 100} - results: ROC_AUC: 0.1012831, PRECISION: 0.0156631, PRECISION_RECALL_MIN_DEN: 0.0522104, RECALL: 0.0522104, MAP: 0.0266769, MRR: 0.0724624, NDCG: 0.0446812, F1: 0.0240971, HIT_RATE: 0.1566312, ARHR: 0.0761714, RMSE: nan, NOVELTY: 0.0067980, AVERAGE_POPULARITY: 0.2421955, DIVERSITY_MEAN_INTER_LIST: 0.9174334, DIVERSITY_HERFINDAHL: 0.9917389, COVERAGE_ITEM: 0.4263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1257928, SHANNON_ENTROPY: 9.2771685, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 0} - results: ROC_AUC: 0.1001670, PRECISION: 0.0154703, PRECISION_RECALL_MIN_DEN: 0.0515676, RECALL: 0.0515676, MAP: 0.0266316, MRR: 0.0723299, NDCG: 0.0444149, F1: 0.0238004, HIT_RATE: 0.1547028, ARHR: 0.0760319, RMSE: nan, NOVELTY: 0.0068340, AVERAGE_POPULARITY: 0.2110085, DIVERSITY_MEAN_INTER_LIST: 0.9377069, DIVERSITY_HERFINDAHL: 0.9937662, COVERAGE_ITEM: 0.4913220, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1519984, SHANNON_ENTROPY: 9.8658530, 
