SearchBayesianSkoptObject: New best config found. Config 0: {'ITEM_CBF_CF': 0.012601075148680144, 'ITEM_CF': 0.7521018211553344, 'ITEM_CBF_ALL': 0.9672196165314887} - results: ROC_AUC: 0.1117350, PRECISION: 0.0178662, PRECISION_RECALL_MIN_DEN: 0.0595540, RECALL: 0.0595540, MAP: 0.0286499, MRR: 0.0784185, NDCG: 0.0492021, F1: 0.0274864, HIT_RATE: 0.1786619, ARHR: 0.0821289, RMSE: 0.9601088, NOVELTY: 0.0064099, AVERAGE_POPULARITY: 0.2065863, DIVERSITY_MEAN_INTER_LIST: 0.9917442, DIVERSITY_HERFINDAHL: 0.9991683, COVERAGE_ITEM: 0.8103271, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2604692, SHANNON_ENTROPY: 11.7953577, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'ITEM_CBF_CF': 0.03843316684562426, 'ITEM_CF': 0.9772857859451659, 'ITEM_CBF_ALL': 0.003977965051537581} - results: ROC_AUC: 0.1289349, PRECISION: 0.0201334, PRECISION_RECALL_MIN_DEN: 0.0671115, RECALL: 0.0671115, MAP: 0.0335174, MRR: 0.0920734, NDCG: 0.0568030, F1: 0.0309745, HIT_RATE: 0.2013344, ARHR: 0.0962540, RMSE: 0.9553833, NOVELTY: 0.0063969, AVERAGE_POPULARITY: 0.2297977, DIVERSITY_MEAN_INTER_LIST: 0.9890763, DIVERSITY_HERFINDAHL: 0.9989015, COVERAGE_ITEM: 0.5799946, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2036685, SHANNON_ENTROPY: 11.1119006, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 1.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1333624, PRECISION: 0.0210230, PRECISION_RECALL_MIN_DEN: 0.0700768, RECALL: 0.0700768, MAP: 0.0349410, MRR: 0.0957177, NDCG: 0.0591833, F1: 0.0323431, HIT_RATE: 0.2102304, ARHR: 0.1001952, RMSE: 0.9547371, NOVELTY: 0.0064320, AVERAGE_POPULARITY: 0.2169621, DIVERSITY_MEAN_INTER_LIST: 0.9900124, DIVERSITY_HERFINDAHL: 0.9989951, COVERAGE_ITEM: 0.6184915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2206706, SHANNON_ENTROPY: 11.3151399, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 1.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1333624, PRECISION: 0.0210230, PRECISION_RECALL_MIN_DEN: 0.0700768, RECALL: 0.0700768, MAP: 0.0349410, MRR: 0.0957177, NDCG: 0.0591833, F1: 0.0323431, HIT_RATE: 0.2102304, ARHR: 0.1001952, RMSE: 0.9547371, NOVELTY: 0.0064320, AVERAGE_POPULARITY: 0.2169621, DIVERSITY_MEAN_INTER_LIST: 0.9900124, DIVERSITY_HERFINDAHL: 0.9989951, COVERAGE_ITEM: 0.6184915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2206706, SHANNON_ENTROPY: 11.3151399, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 0.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1320711, PRECISION: 0.0208068, PRECISION_RECALL_MIN_DEN: 0.0693561, RECALL: 0.0693561, MAP: 0.0347559, MRR: 0.0952608, NDCG: 0.0587513, F1: 0.0320105, HIT_RATE: 0.2080682, ARHR: 0.0996843, RMSE: 0.9602984, NOVELTY: 0.0063132, AVERAGE_POPULARITY: 0.2213420, DIVERSITY_MEAN_INTER_LIST: 0.9840071, DIVERSITY_HERFINDAHL: 0.9983946, COVERAGE_ITEM: 0.5818870, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1916195, SHANNON_ENTROPY: 10.9015370, 
SearchBayesianSkoptObject: New best config found. Config 15: {'ITEM_CBF_CF': 0.03265679035028347, 'ITEM_CF': 0.02175013799455328, 'ITEM_CBF_ALL': 0.0037263395264116603} - results: ROC_AUC: 0.1339938, PRECISION: 0.0210416, PRECISION_RECALL_MIN_DEN: 0.0701386, RECALL: 0.0701386, MAP: 0.0350059, MRR: 0.0958126, NDCG: 0.0592673, F1: 0.0323717, HIT_RATE: 0.2104158, ARHR: 0.1003374, RMSE: 0.9969036, NOVELTY: 0.0064114, AVERAGE_POPULARITY: 0.2179451, DIVERSITY_MEAN_INTER_LIST: 0.9899839, DIVERSITY_HERFINDAHL: 0.9989923, COVERAGE_ITEM: 0.6423898, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2196863, SHANNON_ENTROPY: 11.3421090, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'ITEM_CBF_CF': 0.00613107855960471, 'ITEM_CF': 0.9204993562912588, 'ITEM_CBF_ALL': 0.011329690609640066} - results: ROC_AUC: 0.1282229, PRECISION: 0.0200531, PRECISION_RECALL_MIN_DEN: 0.0668438, RECALL: 0.0668438, MAP: 0.0333091, MRR: 0.0915472, NDCG: 0.0565055, F1: 0.0308510, HIT_RATE: 0.2005313, ARHR: 0.0956814, RMSE: 0.9575950, NOVELTY: 0.0063950, AVERAGE_POPULARITY: 0.2306426, DIVERSITY_MEAN_INTER_LIST: 0.9890191, DIVERSITY_HERFINDAHL: 0.9988958, COVERAGE_ITEM: 0.5763720, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2031682, SHANNON_ENTROPY: 11.1002314, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'ITEM_CBF_CF': 0.9920272012227531, 'ITEM_CF': 0.9963537828754275, 'ITEM_CBF_ALL': 0.9976575565345317} - results: ROC_AUC: 0.1294233, PRECISION: 0.0201952, PRECISION_RECALL_MIN_DEN: 0.0673174, RECALL: 0.0673174, MAP: 0.0341285, MRR: 0.0937642, NDCG: 0.0574852, F1: 0.0310696, HIT_RATE: 0.2019522, ARHR: 0.0980070, RMSE: 0.9552490, NOVELTY: 0.0064149, AVERAGE_POPULARITY: 0.2081357, DIVERSITY_MEAN_INTER_LIST: 0.9910637, DIVERSITY_HERFINDAHL: 0.9991003, COVERAGE_ITEM: 0.7776156, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2420280, SHANNON_ENTROPY: 11.6561411, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'ITEM_CBF_CF': 0.985239349220409, 'ITEM_CF': 0.0024107826887107557, 'ITEM_CBF_ALL': 0.990194321050221} - results: ROC_AUC: 0.1162001, PRECISION: 0.0186013, PRECISION_RECALL_MIN_DEN: 0.0620045, RECALL: 0.0620045, MAP: 0.0301106, MRR: 0.0823484, NDCG: 0.0514844, F1: 0.0286175, HIT_RATE: 0.1860135, ARHR: 0.0862693, RMSE: 0.9589824, NOVELTY: 0.0062947, AVERAGE_POPULARITY: 0.2042256, DIVERSITY_MEAN_INTER_LIST: 0.9919737, DIVERSITY_HERFINDAHL: 0.9991912, COVERAGE_ITEM: 0.8452555, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2749495, SHANNON_ENTROPY: 11.9275274, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'ITEM_CBF_CF': 0.05552826600001849, 'ITEM_CF': 0.9913629610334579, 'ITEM_CBF_ALL': 0.01625142375956024} - results: ROC_AUC: 0.1291690, PRECISION: 0.0202199, PRECISION_RECALL_MIN_DEN: 0.0673998, RECALL: 0.0673998, MAP: 0.0335832, MRR: 0.0922186, NDCG: 0.0569559, F1: 0.0311076, HIT_RATE: 0.2021993, ARHR: 0.0964221, RMSE: 0.9546265, NOVELTY: 0.0063986, AVERAGE_POPULARITY: 0.2292485, DIVERSITY_MEAN_INTER_LIST: 0.9891222, DIVERSITY_HERFINDAHL: 0.9989061, COVERAGE_ITEM: 0.5823736, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2042358, SHANNON_ENTROPY: 11.1209391, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 1.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1333624, PRECISION: 0.0210230, PRECISION_RECALL_MIN_DEN: 0.0700768, RECALL: 0.0700768, MAP: 0.0349410, MRR: 0.0957177, NDCG: 0.0591833, F1: 0.0323431, HIT_RATE: 0.2102304, ARHR: 0.1001952, RMSE: 0.9547371, NOVELTY: 0.0064320, AVERAGE_POPULARITY: 0.2169621, DIVERSITY_MEAN_INTER_LIST: 0.9900124, DIVERSITY_HERFINDAHL: 0.9989951, COVERAGE_ITEM: 0.6184915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2206706, SHANNON_ENTROPY: 11.3151399, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 1.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1333624, PRECISION: 0.0210230, PRECISION_RECALL_MIN_DEN: 0.0700768, RECALL: 0.0700768, MAP: 0.0349410, MRR: 0.0957177, NDCG: 0.0591833, F1: 0.0323431, HIT_RATE: 0.2102304, ARHR: 0.1001952, RMSE: 0.9547371, NOVELTY: 0.0064320, AVERAGE_POPULARITY: 0.2169621, DIVERSITY_MEAN_INTER_LIST: 0.9900124, DIVERSITY_HERFINDAHL: 0.9989951, COVERAGE_ITEM: 0.6184915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2206706, SHANNON_ENTROPY: 11.3151399, 
SearchBayesianSkoptObject: New best config found. Config 22: {'ITEM_CBF_CF': 0.09095731575438316, 'ITEM_CF': 0.012943479714417009, 'ITEM_CBF_ALL': 0.0024173339166811973} - results: ROC_AUC: 0.1341157, PRECISION: 0.0211898, PRECISION_RECALL_MIN_DEN: 0.0706328, RECALL: 0.0706328, MAP: 0.0350374, MRR: 0.0959797, NDCG: 0.0594605, F1: 0.0325998, HIT_RATE: 0.2118984, ARHR: 0.1004673, RMSE: 0.9943279, NOVELTY: 0.0063022, AVERAGE_POPULARITY: 0.2285409, DIVERSITY_MEAN_INTER_LIST: 0.9893598, DIVERSITY_HERFINDAHL: 0.9989299, COVERAGE_ITEM: 0.6459043, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2134105, SHANNON_ENTROPY: 11.2800070, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'ITEM_CBF_CF': 0.012183757963350476, 'ITEM_CF': 0.9745411302748997, 'ITEM_CBF_ALL': 0.974815203187242} - results: ROC_AUC: 0.1172371, PRECISION: 0.0184469, PRECISION_RECALL_MIN_DEN: 0.0614897, RECALL: 0.0614897, MAP: 0.0302678, MRR: 0.0831925, NDCG: 0.0515844, F1: 0.0283798, HIT_RATE: 0.1844690, ARHR: 0.0869434, RMSE: 0.9541268, NOVELTY: 0.0064014, AVERAGE_POPULARITY: 0.2108988, DIVERSITY_MEAN_INTER_LIST: 0.9912842, DIVERSITY_HERFINDAHL: 0.9991223, COVERAGE_ITEM: 0.7964855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2489956, SHANNON_ENTROPY: 11.7003981, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 0.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1320711, PRECISION: 0.0208068, PRECISION_RECALL_MIN_DEN: 0.0693561, RECALL: 0.0693561, MAP: 0.0347559, MRR: 0.0952608, NDCG: 0.0587513, F1: 0.0320105, HIT_RATE: 0.2080682, ARHR: 0.0996843, RMSE: 0.9602984, NOVELTY: 0.0063132, AVERAGE_POPULARITY: 0.2213420, DIVERSITY_MEAN_INTER_LIST: 0.9840071, DIVERSITY_HERFINDAHL: 0.9983946, COVERAGE_ITEM: 0.5818870, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1916195, SHANNON_ENTROPY: 10.9015370, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'ITEM_CBF_CF': 0.016022998196698283, 'ITEM_CF': 0.03445860269223334, 'ITEM_CBF_ALL': 0.0023788169769538574} - results: ROC_AUC: 0.1321781, PRECISION: 0.0207821, PRECISION_RECALL_MIN_DEN: 0.0692737, RECALL: 0.0692737, MAP: 0.0346561, MRR: 0.0950432, NDCG: 0.0586482, F1: 0.0319725, HIT_RATE: 0.2078211, ARHR: 0.0994382, RMSE: 0.9970616, NOVELTY: 0.0064489, AVERAGE_POPULARITY: 0.2171555, DIVERSITY_MEAN_INTER_LIST: 0.9900276, DIVERSITY_HERFINDAHL: 0.9989966, COVERAGE_ITEM: 0.6150311, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2191248, SHANNON_ENTROPY: 11.2996325, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'ITEM_CBF_CF': 0.02454662312089074, 'ITEM_CF': 0.9806897510963096, 'ITEM_CBF_ALL': 0.006636208870450357} - results: ROC_AUC: 0.1286554, PRECISION: 0.0200778, PRECISION_RECALL_MIN_DEN: 0.0669261, RECALL: 0.0669261, MAP: 0.0334134, MRR: 0.0918342, NDCG: 0.0566458, F1: 0.0308890, HIT_RATE: 0.2007784, ARHR: 0.0959814, RMSE: 0.9556032, NOVELTY: 0.0063962, AVERAGE_POPULARITY: 0.2301489, DIVERSITY_MEAN_INTER_LIST: 0.9890531, DIVERSITY_HERFINDAHL: 0.9988992, COVERAGE_ITEM: 0.5793458, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2032561, SHANNON_ENTROPY: 11.1070219, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 0.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1320711, PRECISION: 0.0208068, PRECISION_RECALL_MIN_DEN: 0.0693561, RECALL: 0.0693561, MAP: 0.0347559, MRR: 0.0952608, NDCG: 0.0587513, F1: 0.0320105, HIT_RATE: 0.2080682, ARHR: 0.0996843, RMSE: 0.9602984, NOVELTY: 0.0063132, AVERAGE_POPULARITY: 0.2213420, DIVERSITY_MEAN_INTER_LIST: 0.9840071, DIVERSITY_HERFINDAHL: 0.9983946, COVERAGE_ITEM: 0.5818870, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1916195, SHANNON_ENTROPY: 10.9015370, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'ITEM_CBF_CF': 0.9831188998670051, 'ITEM_CF': 0.04526628870432215, 'ITEM_CBF_ALL': 0.9870831932235817} - results: ROC_AUC: 0.1197891, PRECISION: 0.0190214, PRECISION_RECALL_MIN_DEN: 0.0634048, RECALL: 0.0634048, MAP: 0.0310560, MRR: 0.0850943, NDCG: 0.0529617, F1: 0.0292637, HIT_RATE: 0.1902144, ARHR: 0.0890604, RMSE: 0.9579434, NOVELTY: 0.0063008, AVERAGE_POPULARITY: 0.2053052, DIVERSITY_MEAN_INTER_LIST: 0.9918192, DIVERSITY_HERFINDAHL: 0.9991758, COVERAGE_ITEM: 0.8401190, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2712765, SHANNON_ENTROPY: 11.8966923, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 1.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1333624, PRECISION: 0.0210230, PRECISION_RECALL_MIN_DEN: 0.0700768, RECALL: 0.0700768, MAP: 0.0349410, MRR: 0.0957177, NDCG: 0.0591833, F1: 0.0323431, HIT_RATE: 0.2102304, ARHR: 0.1001952, RMSE: 0.9547371, NOVELTY: 0.0064320, AVERAGE_POPULARITY: 0.2169621, DIVERSITY_MEAN_INTER_LIST: 0.9900124, DIVERSITY_HERFINDAHL: 0.9989951, COVERAGE_ITEM: 0.6184915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2206706, SHANNON_ENTROPY: 11.3151399, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'ITEM_CBF_CF': 0.012866038558387308, 'ITEM_CF': 0.10943921600694642, 'ITEM_CBF_ALL': 0.0031552226675054537} - results: ROC_AUC: 0.1299609, PRECISION: 0.0204794, PRECISION_RECALL_MIN_DEN: 0.0682647, RECALL: 0.0682647, MAP: 0.0338982, MRR: 0.0930395, NDCG: 0.0575457, F1: 0.0315068, HIT_RATE: 0.2047940, ARHR: 0.0973043, RMSE: 0.9928792, NOVELTY: 0.0064051, AVERAGE_POPULARITY: 0.2272659, DIVERSITY_MEAN_INTER_LIST: 0.9892800, DIVERSITY_HERFINDAHL: 0.9989219, COVERAGE_ITEM: 0.5878345, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2067999, SHANNON_ENTROPY: 11.1512025, 
SearchBayesianSkoptObject: Config 31 is suboptimal. Config: {'ITEM_CBF_CF': 0.05943230486009367, 'ITEM_CF': 0.9819717988075475, 'ITEM_CBF_ALL': 0.9979239157356546} - results: ROC_AUC: 0.1183029, PRECISION: 0.0186631, PRECISION_RECALL_MIN_DEN: 0.0622104, RECALL: 0.0622104, MAP: 0.0305707, MRR: 0.0839668, NDCG: 0.0521202, F1: 0.0287125, HIT_RATE: 0.1866312, ARHR: 0.0877787, RMSE: 0.9531027, NOVELTY: 0.0064030, AVERAGE_POPULARITY: 0.2101058, DIVERSITY_MEAN_INTER_LIST: 0.9913340, DIVERSITY_HERFINDAHL: 0.9991273, COVERAGE_ITEM: 0.7969181, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2497789, SHANNON_ENTROPY: 11.7087939, 
SearchBayesianSkoptObject: Config 32 is suboptimal. Config: {'ITEM_CBF_CF': 0.00272926296585474, 'ITEM_CF': 0.9858032591556614, 'ITEM_CBF_ALL': 0.0005880270582390158} - results: ROC_AUC: 0.1281814, PRECISION: 0.0200222, PRECISION_RECALL_MIN_DEN: 0.0667408, RECALL: 0.0667408, MAP: 0.0332875, MRR: 0.0915066, NDCG: 0.0564543, F1: 0.0308034, HIT_RATE: 0.2002224, ARHR: 0.0956288, RMSE: 0.9560176, NOVELTY: 0.0063953, AVERAGE_POPULARITY: 0.2307181, DIVERSITY_MEAN_INTER_LIST: 0.9890108, DIVERSITY_HERFINDAHL: 0.9988950, COVERAGE_ITEM: 0.5770749, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2029241, SHANNON_ENTROPY: 11.0992928, 
