SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 31, 'USER_CBF_CF': 0.16846477975408072, 'ITEM_CBF_CF': 0.8914940503512917, 'RP3BETA_SIDE': 0.7270686266661155, 'ITEM_CBF_FW': 0.14068526745594015, 'PURE_SVD_SIDE': 0.21433366376899637, 'IALS_SIDE': 0.4045180459390272} - results: ROC_AUC: 0.0772221, PRECISION: 0.0108584, PRECISION_RECALL_MIN_DEN: 0.1085838, RECALL: 0.1085838, MAP: 0.0548695, MRR: 0.0548695, NDCG: 0.0675236, F1: 0.0197425, HIT_RATE: 0.1085838, ARHR: 0.0548695, RMSE: 0.0000000, NOVELTY: 0.0061610, AVERAGE_POPULARITY: 0.2634015, DIVERSITY_MEAN_INTER_LIST: 0.9876359, DIVERSITY_HERFINDAHL: 0.9987592, COVERAGE_ITEM: 0.7093809, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1720063, SHANNON_ENTROPY: 11.0265824, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 40, 'USER_CBF_CF': 0.1471762085095261, 'ITEM_CBF_CF': 0.9385500841661721, 'RP3BETA_SIDE': 0.31644282396491724, 'ITEM_CBF_FW': 0.757725152324285, 'PURE_SVD_SIDE': 0.6297096655290781, 'IALS_SIDE': 0.17524732485533415} - results: ROC_AUC: 0.0750643, PRECISION: 0.0106810, PRECISION_RECALL_MIN_DEN: 0.1068103, RECALL: 0.1068103, MAP: 0.0530804, MRR: 0.0530804, NDCG: 0.0657240, F1: 0.0194201, HIT_RATE: 0.1068103, ARHR: 0.0530804, RMSE: 0.0000000, NOVELTY: 0.0061436, AVERAGE_POPULARITY: 0.2549919, DIVERSITY_MEAN_INTER_LIST: 0.9881951, DIVERSITY_HERFINDAHL: 0.9988151, COVERAGE_ITEM: 0.7446337, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1787934, SHANNON_ENTROPY: 11.1192093, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 5, 'USER_CBF_CF': 0.6284438612233798, 'ITEM_CBF_CF': 0.9572620061359227, 'RP3BETA_SIDE': 0.4338563343957711, 'ITEM_CBF_FW': 0.6139826016639404, 'PURE_SVD_SIDE': 0.026627033104933424, 'IALS_SIDE': 0.9866276234898002} - results: ROC_AUC: 0.0767147, PRECISION: 0.0108007, PRECISION_RECALL_MIN_DEN: 0.1080074, RECALL: 0.1080074, MAP: 0.0540040, MRR: 0.0540040, NDCG: 0.0667451, F1: 0.0196377, HIT_RATE: 0.1080074, ARHR: 0.0540040, RMSE: 0.0000000, NOVELTY: 0.0061626, AVERAGE_POPULARITY: 0.2625094, DIVERSITY_MEAN_INTER_LIST: 0.9876476, DIVERSITY_HERFINDAHL: 0.9987604, COVERAGE_ITEM: 0.7537713, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1866910, SHANNON_ENTROPY: 11.1771324, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 35, 'USER_CBF_CF': 0.11617194882008611, 'ITEM_CBF_CF': 0.016790156941202342, 'RP3BETA_SIDE': 0.22437367575725392, 'ITEM_CBF_FW': 0.3863482811518656, 'PURE_SVD_SIDE': 0.3740177855484848, 'IALS_SIDE': 0.4503376154779354} - results: ROC_AUC: 0.0747145, PRECISION: 0.0106633, PRECISION_RECALL_MIN_DEN: 0.1066330, RECALL: 0.1066330, MAP: 0.0525502, MRR: 0.0525502, NDCG: 0.0652740, F1: 0.0193878, HIT_RATE: 0.1066330, ARHR: 0.0525502, RMSE: 0.0000000, NOVELTY: 0.0061377, AVERAGE_POPULARITY: 0.2549497, DIVERSITY_MEAN_INTER_LIST: 0.9885186, DIVERSITY_HERFINDAHL: 0.9988475, COVERAGE_ITEM: 0.7156529, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1700908, SHANNON_ENTROPY: 11.0588237, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 24, 'USER_CBF_CF': 0.5574941337504207, 'ITEM_CBF_CF': 0.805560854374217, 'RP3BETA_SIDE': 0.277697794339912, 'ITEM_CBF_FW': 0.6052858828877149, 'PURE_SVD_SIDE': 0.2113835287859243, 'IALS_SIDE': 0.4854656640905277} - results: ROC_AUC: 0.0763058, PRECISION: 0.0107342, PRECISION_RECALL_MIN_DEN: 0.1073424, RECALL: 0.1073424, MAP: 0.0534864, MRR: 0.0534864, NDCG: 0.0661975, F1: 0.0195168, HIT_RATE: 0.1073424, ARHR: 0.0534864, RMSE: 0.0000000, NOVELTY: 0.0061300, AVERAGE_POPULARITY: 0.2687872, DIVERSITY_MEAN_INTER_LIST: 0.9872743, DIVERSITY_HERFINDAHL: 0.9987230, COVERAGE_ITEM: 0.7160314, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1735289, SHANNON_ENTROPY: 11.0335509, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 50, 'USER_CBF_CF': 0.23679855431118896, 'ITEM_CBF_CF': 0.9399443994567341, 'RP3BETA_SIDE': 0.08409315123223694, 'ITEM_CBF_FW': 0.5965086639121905, 'PURE_SVD_SIDE': 0.8230334401564869, 'IALS_SIDE': 0.03813356226955356} - results: ROC_AUC: 0.0736652, PRECISION: 0.0104460, PRECISION_RECALL_MIN_DEN: 0.1044604, RECALL: 0.1044604, MAP: 0.0520403, MRR: 0.0520403, NDCG: 0.0643809, F1: 0.0189928, HIT_RATE: 0.1044604, ARHR: 0.0520403, RMSE: 0.0000000, NOVELTY: 0.0061136, AVERAGE_POPULARITY: 0.2606819, DIVERSITY_MEAN_INTER_LIST: 0.9876570, DIVERSITY_HERFINDAHL: 0.9987613, COVERAGE_ITEM: 0.7387943, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1726050, SHANNON_ENTROPY: 11.0298892, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 20, 'USER_CBF_CF': 0.5187777529000305, 'ITEM_CBF_CF': 0.3708563530765982, 'RP3BETA_SIDE': 0.4893515298062914, 'ITEM_CBF_FW': 0.32309689208450837, 'PURE_SVD_SIDE': 0.26533821148480835, 'IALS_SIDE': 0.9273984518796078} - results: ROC_AUC: 0.0755569, PRECISION: 0.0106633, PRECISION_RECALL_MIN_DEN: 0.1066330, RECALL: 0.1066330, MAP: 0.0534488, MRR: 0.0534488, NDCG: 0.0659739, F1: 0.0193878, HIT_RATE: 0.1066330, ARHR: 0.0534488, RMSE: 0.0000000, NOVELTY: 0.0061415, AVERAGE_POPULARITY: 0.2667593, DIVERSITY_MEAN_INTER_LIST: 0.9875399, DIVERSITY_HERFINDAHL: 0.9987496, COVERAGE_ITEM: 0.6967829, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1672514, SHANNON_ENTROPY: 10.9754708, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 31, 'USER_CBF_CF': 0.6380318305573551, 'ITEM_CBF_CF': 0.5630714465417643, 'RP3BETA_SIDE': 0.9683181787053341, 'ITEM_CBF_FW': 0.23311896331805398, 'PURE_SVD_SIDE': 0.697428449188475, 'IALS_SIDE': 0.01839340088283337} - results: ROC_AUC: 0.0751776, PRECISION: 0.0106722, PRECISION_RECALL_MIN_DEN: 0.1067216, RECALL: 0.1067216, MAP: 0.0536507, MRR: 0.0536507, NDCG: 0.0661210, F1: 0.0194039, HIT_RATE: 0.1067216, ARHR: 0.0536507, RMSE: 0.0000000, NOVELTY: 0.0061041, AVERAGE_POPULARITY: 0.2796740, DIVERSITY_MEAN_INTER_LIST: 0.9859565, DIVERSITY_HERFINDAHL: 0.9985913, COVERAGE_ITEM: 0.7208975, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1667510, SHANNON_ENTROPY: 10.9034476, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 7, 'USER_CBF_CF': 0.7123946500720486, 'ITEM_CBF_CF': 0.06955891911915625, 'RP3BETA_SIDE': 0.5787565545444677, 'ITEM_CBF_FW': 0.8283523727628579, 'PURE_SVD_SIDE': 0.6597120476666954, 'IALS_SIDE': 0.29932376878778094} - results: ROC_AUC: 0.0742169, PRECISION: 0.0105791, PRECISION_RECALL_MIN_DEN: 0.1057905, RECALL: 0.1057905, MAP: 0.0521316, MRR: 0.0521316, NDCG: 0.0647644, F1: 0.0192346, HIT_RATE: 0.1057905, ARHR: 0.0521316, RMSE: 0.0000000, NOVELTY: 0.0061449, AVERAGE_POPULARITY: 0.2675938, DIVERSITY_MEAN_INTER_LIST: 0.9869367, DIVERSITY_HERFINDAHL: 0.9986893, COVERAGE_ITEM: 0.7648013, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1803069, SHANNON_ENTROPY: 11.0927412, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 32, 'USER_CBF_CF': 0.22444975613781343, 'ITEM_CBF_CF': 0.4214328380237212, 'RP3BETA_SIDE': 0.6063774069702951, 'ITEM_CBF_FW': 0.3100375410609742, 'PURE_SVD_SIDE': 0.5080464822466857, 'IALS_SIDE': 0.8560105384776622} - results: ROC_AUC: 0.0760841, PRECISION: 0.0107520, PRECISION_RECALL_MIN_DEN: 0.1075197, RECALL: 0.1075197, MAP: 0.0540180, MRR: 0.0540180, NDCG: 0.0666094, F1: 0.0195490, HIT_RATE: 0.1075197, ARHR: 0.0540180, RMSE: 0.0000000, NOVELTY: 0.0061448, AVERAGE_POPULARITY: 0.2596632, DIVERSITY_MEAN_INTER_LIST: 0.9881772, DIVERSITY_HERFINDAHL: 0.9988133, COVERAGE_ITEM: 0.7011084, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1669763, SHANNON_ENTROPY: 11.0073908, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 25, 'USER_CBF_CF': 0.4900764829171095, 'ITEM_CBF_CF': 0.9417988093774347, 'RP3BETA_SIDE': 0.16187912749398184, 'ITEM_CBF_FW': 0.41758495703752196, 'PURE_SVD_SIDE': 0.06126899504607598, 'IALS_SIDE': 0.13440935219287023} - results: ROC_AUC: 0.0763994, PRECISION: 0.0107387, PRECISION_RECALL_MIN_DEN: 0.1073867, RECALL: 0.1073867, MAP: 0.0541370, MRR: 0.0541370, NDCG: 0.0666963, F1: 0.0195249, HIT_RATE: 0.1073867, ARHR: 0.0541370, RMSE: 0.0000000, NOVELTY: 0.0061323, AVERAGE_POPULARITY: 0.2738382, DIVERSITY_MEAN_INTER_LIST: 0.9865971, DIVERSITY_HERFINDAHL: 0.9986553, COVERAGE_ITEM: 0.7293323, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1778001, SHANNON_ENTROPY: 11.0479091, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 11, 'USER_CBF_CF': 0.7610393614144846, 'ITEM_CBF_CF': 0.3572520785625047, 'RP3BETA_SIDE': 0.8983682079052429, 'ITEM_CBF_FW': 0.8843733227287868, 'PURE_SVD_SIDE': 0.10777885099107468, 'IALS_SIDE': 0.10927488655044396} - results: ROC_AUC: 0.0756456, PRECISION: 0.0107032, PRECISION_RECALL_MIN_DEN: 0.1070320, RECALL: 0.1070320, MAP: 0.0530478, MRR: 0.0530478, NDCG: 0.0657725, F1: 0.0194604, HIT_RATE: 0.1070320, ARHR: 0.0530478, RMSE: 0.0000000, NOVELTY: 0.0061522, AVERAGE_POPULARITY: 0.2705150, DIVERSITY_MEAN_INTER_LIST: 0.9866321, DIVERSITY_HERFINDAHL: 0.9986588, COVERAGE_ITEM: 0.7524736, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1853266, SHANNON_ENTROPY: 11.1158778, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 38, 'USER_CBF_CF': 0.8335311100305851, 'ITEM_CBF_CF': 0.2433061124538713, 'RP3BETA_SIDE': 0.4731850147627057, 'ITEM_CBF_FW': 0.8240089393836273, 'PURE_SVD_SIDE': 0.7021737247502661, 'IALS_SIDE': 0.8145489456417545} - results: ROC_AUC: 0.0749116, PRECISION: 0.0106278, PRECISION_RECALL_MIN_DEN: 0.1062783, RECALL: 0.1062783, MAP: 0.0525755, MRR: 0.0525755, NDCG: 0.0652294, F1: 0.0193233, HIT_RATE: 0.1062783, ARHR: 0.0525755, RMSE: 0.0000000, NOVELTY: 0.0061081, AVERAGE_POPULARITY: 0.2695722, DIVERSITY_MEAN_INTER_LIST: 0.9872655, DIVERSITY_HERFINDAHL: 0.9987222, COVERAGE_ITEM: 0.6915923, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1638071, SHANNON_ENTROPY: 10.9328171, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 39, 'USER_CBF_CF': 0.9640232898719231, 'ITEM_CBF_CF': 0.5700985633699551, 'RP3BETA_SIDE': 0.3180749861259254, 'ITEM_CBF_FW': 0.12018222479546084, 'PURE_SVD_SIDE': 0.8408880973224665, 'IALS_SIDE': 0.3773325591867155} - results: ROC_AUC: 0.0750643, PRECISION: 0.0106544, PRECISION_RECALL_MIN_DEN: 0.1065443, RECALL: 0.1065443, MAP: 0.0535421, MRR: 0.0535421, NDCG: 0.0659977, F1: 0.0193717, HIT_RATE: 0.1065443, ARHR: 0.0535421, RMSE: 0.0000000, NOVELTY: 0.0060762, AVERAGE_POPULARITY: 0.2838056, DIVERSITY_MEAN_INTER_LIST: 0.9859874, DIVERSITY_HERFINDAHL: 0.9985944, COVERAGE_ITEM: 0.6849959, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1584314, SHANNON_ENTROPY: 10.8257541, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 46, 'USER_CBF_CF': 0.3616714687406128, 'ITEM_CBF_CF': 0.5189370404451847, 'RP3BETA_SIDE': 0.7178287707442054, 'ITEM_CBF_FW': 0.5645477988119325, 'PURE_SVD_SIDE': 0.8723679817999794, 'IALS_SIDE': 0.5452916007411284} - results: ROC_AUC: 0.0755274, PRECISION: 0.0106456, PRECISION_RECALL_MIN_DEN: 0.1064556, RECALL: 0.1064556, MAP: 0.0535057, MRR: 0.0535057, NDCG: 0.0659794, F1: 0.0193556, HIT_RATE: 0.1064556, ARHR: 0.0535057, RMSE: 0.0000000, NOVELTY: 0.0061194, AVERAGE_POPULARITY: 0.2635748, DIVERSITY_MEAN_INTER_LIST: 0.9876660, DIVERSITY_HERFINDAHL: 0.9987622, COVERAGE_ITEM: 0.7129494, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1663436, SHANNON_ENTROPY: 10.9812530, 
