CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 26, 'shrink': 1826, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3541614777281572, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066402±0.0014, PRECISION: 0.009077±0.0002, PRECISION_RECALL_MIN_DEN: 0.090773±0.0017, RECALL: 0.090773±0.0017, MAP: 0.048690±0.0013, MRR: 0.048690±0.0013, NDCG: 0.058625±0.0014, F1: 0.016504±0.0003, HIT_RATE: 0.090773±0.0017, ARHR: 0.048690±0.0013, RMSE: 2.542900±0.0245, NOVELTY: 0.005779±0.0000, AVERAGE_POPULARITY: 0.414377±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.963089±0.0003, DIVERSITY_HERFINDAHL: 0.996303±0.0000, COVERAGE_ITEM: 0.596659±0.0047, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146136±0.0007, SHANNON_ENTROPY: 10.021466±0.0054, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 83, 'shrink': 1156, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.029435627359878, 'feature_weighting': 'none'} - results: ROC_AUC: 0.071829±0.0011, PRECISION: 0.009407±0.0001, PRECISION_RECALL_MIN_DEN: 0.094065±0.0009, RECALL: 0.094065±0.0009, MAP: 0.052927±0.0010, MRR: 0.052927±0.0010, NDCG: 0.062727±0.0010, F1: 0.017103±0.0002, HIT_RATE: 0.094065±0.0009, ARHR: 0.052927±0.0010, RMSE: 0.985520±0.0001, NOVELTY: 0.006644±0.0000, AVERAGE_POPULARITY: 0.184747±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.993403±0.0000, DIVERSITY_HERFINDAHL: 0.999335±0.0000, COVERAGE_ITEM: 0.880260±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.369680±0.0006, SHANNON_ENTROPY: 12.491819±0.0026, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 75, 'shrink': 438, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.446625273002388, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.026028±0.0008, PRECISION: 0.003660±0.0001, PRECISION_RECALL_MIN_DEN: 0.036599±0.0006, RECALL: 0.036599±0.0006, MAP: 0.018594±0.0007, MRR: 0.018594±0.0007, NDCG: 0.022836±0.0007, F1: 0.006654±0.0001, HIT_RATE: 0.036599±0.0006, ARHR: 0.018594±0.0007, RMSE: 0.904463±0.0034, NOVELTY: 0.006437±0.0000, AVERAGE_POPULARITY: 0.036329±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.996378±0.0000, DIVERSITY_HERFINDAHL: 0.999632±0.0000, COVERAGE_ITEM: 0.807991±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339302±0.0006, SHANNON_ENTROPY: 12.543933±0.0033, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 16, 'shrink': 1603, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7177733004017984, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039611±0.0008, PRECISION: 0.005887±0.0001, PRECISION_RECALL_MIN_DEN: 0.058868±0.0010, RECALL: 0.058868±0.0010, MAP: 0.028060±0.0007, MRR: 0.028060±0.0007, NDCG: 0.035244±0.0007, F1: 0.010703±0.0002, HIT_RATE: 0.058868±0.0010, ARHR: 0.028060±0.0007, RMSE: 0.966414±0.0007, NOVELTY: 0.006488±0.0000, AVERAGE_POPULARITY: 0.053382±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.994128±0.0001, DIVERSITY_HERFINDAHL: 0.999407±0.0000, COVERAGE_ITEM: 0.943509±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.526425±0.0009, SHANNON_ENTROPY: 13.261984±0.0036, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 79, 'shrink': 904, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.185861188705697, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.053014±0.0005, PRECISION: 0.007005±0.0001, PRECISION_RECALL_MIN_DEN: 0.070054±0.0011, RECALL: 0.070054±0.0011, MAP: 0.038566±0.0004, MRR: 0.038566±0.0004, NDCG: 0.046069±0.0004, F1: 0.012737±0.0002, HIT_RATE: 0.070054±0.0011, ARHR: 0.038566±0.0004, RMSE: 0.821245±0.0033, NOVELTY: 0.006453±0.0000, AVERAGE_POPULARITY: 0.075822±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.995806±0.0000, DIVERSITY_HERFINDAHL: 0.999575±0.0000, COVERAGE_ITEM: 0.814642±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.310523±0.0008, SHANNON_ENTROPY: 12.388297±0.0027, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 180, 'shrink': 1888, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2058365495029244, 'feature_weighting': 'none'} - results: ROC_AUC: 0.064582±0.0010, PRECISION: 0.008755±0.0001, PRECISION_RECALL_MIN_DEN: 0.087550±0.0010, RECALL: 0.087550±0.0010, MAP: 0.047285±0.0009, MRR: 0.047285±0.0009, NDCG: 0.056809±0.0009, F1: 0.015918±0.0002, HIT_RATE: 0.087550±0.0010, ARHR: 0.047285±0.0009, RMSE: 0.930031±0.0007, NOVELTY: 0.005523±0.0000, AVERAGE_POPULARITY: 0.514391±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.927490±0.0005, DIVERSITY_HERFINDAHL: 0.992744±0.0001, COVERAGE_ITEM: 0.545704±0.0070, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110793±0.0007, SHANNON_ENTROPY: 9.015095±0.0121, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 87, 'shrink': 106, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.31267914191630514, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.064542±0.0011, PRECISION: 0.008878±0.0001, PRECISION_RECALL_MIN_DEN: 0.088780±0.0013, RECALL: 0.088780±0.0013, MAP: 0.047242±0.0009, MRR: 0.047242±0.0009, NDCG: 0.057038±0.0009, F1: 0.016142±0.0002, HIT_RATE: 0.088780±0.0013, ARHR: 0.047242±0.0009, RMSE: 6.669462±0.0577, NOVELTY: 0.005554±0.0000, AVERAGE_POPULARITY: 0.517744±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.926606±0.0002, DIVERSITY_HERFINDAHL: 0.992655±0.0000, COVERAGE_ITEM: 0.488921±0.0047, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111062±0.0003, SHANNON_ENTROPY: 9.026440±0.0082, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 141, 'shrink': 1643, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.10672734982020507, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.062823±0.0006, PRECISION: 0.008577±0.0001, PRECISION_RECALL_MIN_DEN: 0.085773±0.0008, RECALL: 0.085773±0.0008, MAP: 0.045291±0.0006, MRR: 0.045291±0.0006, NDCG: 0.054872±0.0006, F1: 0.015595±0.0001, HIT_RATE: 0.085773±0.0008, ARHR: 0.045291±0.0006, RMSE: 0.914524±0.0011, NOVELTY: 0.006219±0.0000, AVERAGE_POPULARITY: 0.073960±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.998071±0.0000, DIVERSITY_HERFINDAHL: 0.999801±0.0000, COVERAGE_ITEM: 0.942449±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.471697±0.0007, SHANNON_ENTROPY: 13.266088±0.0012, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 109, 'shrink': 176, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7419592086995518, 'feature_weighting': 'none'} - results: ROC_AUC: 0.071946±0.0011, PRECISION: 0.009736±0.0001, PRECISION_RECALL_MIN_DEN: 0.097357±0.0009, RECALL: 0.097357±0.0009, MAP: 0.052132±0.0011, MRR: 0.052132±0.0011, NDCG: 0.062857±0.0009, F1: 0.017701±0.0002, HIT_RATE: 0.097357±0.0009, ARHR: 0.052132±0.0011, RMSE: 0.961162±0.0003, NOVELTY: 0.005864±0.0000, AVERAGE_POPULARITY: 0.331560±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.979146±0.0001, DIVERSITY_HERFINDAHL: 0.997909±0.0000, COVERAGE_ITEM: 0.676507±0.0053, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.173070±0.0006, SHANNON_ENTROPY: 10.637444±0.0044, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 78, 'shrink': 853, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9249580178851204, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.047810±0.0008, PRECISION: 0.006418±0.0001, PRECISION_RECALL_MIN_DEN: 0.064176±0.0009, RECALL: 0.064176±0.0009, MAP: 0.034867±0.0007, MRR: 0.034867±0.0007, NDCG: 0.041819±0.0007, F1: 0.011668±0.0002, HIT_RATE: 0.064176±0.0009, ARHR: 0.034867±0.0007, RMSE: 0.908793±0.0021, NOVELTY: 0.004695±0.0000, AVERAGE_POPULARITY: 0.050981±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998323±0.0000, DIVERSITY_HERFINDAHL: 0.999827±0.0000, COVERAGE_ITEM: 0.816945±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.456291±0.0008, SHANNON_ENTROPY: 13.121324±0.0027, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 13, 'shrink': 647, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9977253171542435, 'feature_weighting': 'none'} - results: ROC_AUC: 0.067730±0.0013, PRECISION: 0.009123±0.0001, PRECISION_RECALL_MIN_DEN: 0.091229±0.0011, RECALL: 0.091229±0.0011, MAP: 0.049372±0.0012, MRR: 0.049372±0.0012, NDCG: 0.059294±0.0012, F1: 0.016587±0.0002, HIT_RATE: 0.091229±0.0011, ARHR: 0.049372±0.0012, RMSE: 0.988507±0.0001, NOVELTY: 0.006002±0.0000, AVERAGE_POPULARITY: 0.302796±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.983627±0.0001, DIVERSITY_HERFINDAHL: 0.998357±0.0000, COVERAGE_ITEM: 0.615334±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.177552±0.0006, SHANNON_ENTROPY: 10.772166±0.0049, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 194, 'shrink': 1920, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5186058496994201, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032290±0.0005, PRECISION: 0.004322±0.0001, PRECISION_RECALL_MIN_DEN: 0.043217±0.0006, RECALL: 0.043217±0.0006, MAP: 0.023736±0.0005, MRR: 0.023736±0.0005, NDCG: 0.028354±0.0005, F1: 0.007858±0.0001, HIT_RATE: 0.043217±0.0006, ARHR: 0.023736±0.0005, RMSE: 0.952549±0.0006, NOVELTY: 0.005212±0.0000, AVERAGE_POPULARITY: 0.030100±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998977±0.0000, DIVERSITY_HERFINDAHL: 0.999892±0.0000, COVERAGE_ITEM: 0.926521±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.546406±0.0011, SHANNON_ENTROPY: 13.565797±0.0030, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 12, 'shrink': 1790, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0380638564539602, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.065683±0.0010, PRECISION: 0.008616±0.0002, PRECISION_RECALL_MIN_DEN: 0.086160±0.0016, RECALL: 0.086160±0.0016, MAP: 0.047674±0.0004, MRR: 0.047674±0.0004, NDCG: 0.056866±0.0007, F1: 0.015665±0.0003, HIT_RATE: 0.086160±0.0016, ARHR: 0.047674±0.0004, RMSE: 0.964242±0.0003, NOVELTY: 0.006415±0.0000, AVERAGE_POPULARITY: 0.125346±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.994342±0.0000, DIVERSITY_HERFINDAHL: 0.999429±0.0000, COVERAGE_ITEM: 0.754950±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.258472±0.0010, SHANNON_ENTROPY: 11.969810±0.0050, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 57, 'shrink': 1437, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9192961434418208, 'feature_weighting': 'none'} - results: ROC_AUC: 0.065540±0.0013, PRECISION: 0.008829±0.0001, PRECISION_RECALL_MIN_DEN: 0.088290±0.0014, RECALL: 0.088290±0.0014, MAP: 0.048139±0.0011, MRR: 0.048139±0.0011, NDCG: 0.057647±0.0012, F1: 0.016053±0.0003, HIT_RATE: 0.088290±0.0014, ARHR: 0.048139±0.0011, RMSE: 0.935117±0.0008, NOVELTY: 0.005792±0.0000, AVERAGE_POPULARITY: 0.377169±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.971467±0.0002, DIVERSITY_HERFINDAHL: 0.997141±0.0000, COVERAGE_ITEM: 0.602530±0.0052, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148097±0.0009, SHANNON_ENTROPY: 10.179513±0.0079, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 183, 'shrink': 437, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.838687343405594, 'feature_weighting': 'none'} - results: ROC_AUC: 0.070748±0.0012, PRECISION: 0.009553±0.0001, PRECISION_RECALL_MIN_DEN: 0.095535±0.0012, RECALL: 0.095535±0.0012, MAP: 0.051633±0.0009, MRR: 0.051633±0.0009, NDCG: 0.062029±0.0009, F1: 0.017370±0.0002, HIT_RATE: 0.095535±0.0012, ARHR: 0.051633±0.0009, RMSE: 0.942126±0.0004, NOVELTY: 0.006199±0.0000, AVERAGE_POPULARITY: 0.363369±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.964783±0.0002, DIVERSITY_HERFINDAHL: 0.996473±0.0000, COVERAGE_ITEM: 0.815366±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.250941±0.0006, SHANNON_ENTROPY: 10.940004±0.0057, 
