SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.1146048766330747, 'user_topK': 275, 'user_shrink': 1419, 'item_topK': 1186, 'item_shrink': 1460} - results: ROC_AUC: 0.0793111, PRECISION: 0.0128436, PRECISION_RECALL_MIN_DEN: 0.0428121, RECALL: 0.0428121, MAP: 0.0204469, MRR: 0.0572844, NDCG: 0.0353800, F1: 0.0197594, HIT_RATE: 0.1284364, ARHR: 0.0592744, RMSE: 0.9698640, NOVELTY: 0.0050358, AVERAGE_POPULARITY: 0.7729002, DIVERSITY_MEAN_INTER_LIST: 0.6111220, DIVERSITY_HERFINDAHL: 0.9611084, COVERAGE_ITEM: 0.1253312, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0334257, SHANNON_ENTROPY: 5.6503488, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.5564232296634701, 'user_topK': 832, 'user_shrink': 603, 'item_topK': 1112, 'item_shrink': 429} - results: ROC_AUC: 0.0218286, PRECISION: 0.0035461, PRECISION_RECALL_MIN_DEN: 0.0118202, RECALL: 0.0118202, MAP: 0.0052850, MRR: 0.0152718, NDCG: 0.0094710, F1: 0.0054555, HIT_RATE: 0.0354606, ARHR: 0.0155634, RMSE: 0.9130282, NOVELTY: 0.0069790, AVERAGE_POPULARITY: 0.0640691, DIVERSITY_MEAN_INTER_LIST: 0.8730842, DIVERSITY_HERFINDAHL: 0.9873030, COVERAGE_ITEM: 0.3231684, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1005878, SHANNON_ENTROPY: 8.4148700, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.9097977552709418, 'user_topK': 1499, 'user_shrink': 1303, 'item_topK': 1895, 'item_shrink': 559} - results: ROC_AUC: 0.0892126, PRECISION: 0.0145364, PRECISION_RECALL_MIN_DEN: 0.0484545, RECALL: 0.0484545, MAP: 0.0233242, MRR: 0.0641367, NDCG: 0.0400490, F1: 0.0223636, HIT_RATE: 0.1453636, ARHR: 0.0670160, RMSE: 0.8198113, NOVELTY: 0.0050633, AVERAGE_POPULARITY: 0.5267997, DIVERSITY_MEAN_INTER_LIST: 0.7991668, DIVERSITY_HERFINDAHL: 0.9799117, COVERAGE_ITEM: 0.6842931, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629471, SHANNON_ENTROPY: 8.6048809, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.5256369661710375, 'user_topK': 405, 'user_shrink': 616, 'item_topK': 804, 'item_shrink': 276} - results: ROC_AUC: 0.0974907, PRECISION: 0.0155928, PRECISION_RECALL_MIN_DEN: 0.0519759, RECALL: 0.0519759, MAP: 0.0256921, MRR: 0.0706125, NDCG: 0.0436569, F1: 0.0239889, HIT_RATE: 0.1559276, ARHR: 0.0737867, RMSE: 0.8456900, NOVELTY: 0.0051939, AVERAGE_POPULARITY: 0.6026365, DIVERSITY_MEAN_INTER_LIST: 0.7799190, DIVERSITY_HERFINDAHL: 0.9779871, COVERAGE_ITEM: 0.6204380, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1152254, SHANNON_ENTROPY: 7.9094127, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.278554280049054, 'user_topK': 1517, 'user_shrink': 467, 'item_topK': 1661, 'item_shrink': 498} - results: ROC_AUC: 0.0556620, PRECISION: 0.0096250, PRECISION_RECALL_MIN_DEN: 0.0320834, RECALL: 0.0320834, MAP: 0.0137293, MRR: 0.0388172, NDCG: 0.0248580, F1: 0.0148077, HIT_RATE: 0.0962501, ARHR: 0.0399809, RMSE: 0.7513741, NOVELTY: 0.0048985, AVERAGE_POPULARITY: 0.7224224, DIVERSITY_MEAN_INTER_LIST: 0.5130378, DIVERSITY_HERFINDAHL: 0.9513006, COVERAGE_ITEM: 0.4096242, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0755199, SHANNON_ENTROPY: 5.9537780, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.158367603621957, 'user_topK': 958, 'user_shrink': 277, 'item_topK': 468, 'item_shrink': 1455} - results: ROC_AUC: 0.0592834, PRECISION: 0.0090011, PRECISION_RECALL_MIN_DEN: 0.0300035, RECALL: 0.0300035, MAP: 0.0153496, MRR: 0.0433159, NDCG: 0.0259535, F1: 0.0138478, HIT_RATE: 0.0900105, ARHR: 0.0446599, RMSE: 0.9013911, NOVELTY: 0.0052321, AVERAGE_POPULARITY: 0.5805137, DIVERSITY_MEAN_INTER_LIST: 0.5181331, DIVERSITY_HERFINDAHL: 0.9518101, COVERAGE_ITEM: 0.0415247, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0402031, SHANNON_ENTROPY: 5.0504368, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.5643321055675328, 'user_topK': 391, 'user_shrink': 1704, 'item_topK': 145, 'item_shrink': 455} - results: ROC_AUC: 0.0454023, PRECISION: 0.0070427, PRECISION_RECALL_MIN_DEN: 0.0234756, RECALL: 0.0234756, MAP: 0.0119324, MRR: 0.0332203, NDCG: 0.0201368, F1: 0.0108349, HIT_RATE: 0.0704269, ARHR: 0.0344760, RMSE: 0.9665843, NOVELTY: 0.0042208, AVERAGE_POPULARITY: 0.0495134, DIVERSITY_MEAN_INTER_LIST: 0.9977090, DIVERSITY_HERFINDAHL: 0.9997647, COVERAGE_ITEM: 0.7248446, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4638333, SHANNON_ENTROPY: 12.9270212, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.32373465840460774, 'user_topK': 1365, 'user_shrink': 946, 'item_topK': 308, 'item_shrink': 1695} - results: ROC_AUC: 0.1021751, PRECISION: 0.0163217, PRECISION_RECALL_MIN_DEN: 0.0544058, RECALL: 0.0544058, MAP: 0.0265017, MRR: 0.0725459, NDCG: 0.0452816, F1: 0.0251104, HIT_RATE: 0.1632174, ARHR: 0.0759755, RMSE: 0.9667369, NOVELTY: 0.0058631, AVERAGE_POPULARITY: 0.2373496, DIVERSITY_MEAN_INTER_LIST: 0.9702127, DIVERSITY_HERFINDAHL: 0.9970153, COVERAGE_ITEM: 0.9013247, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3165989, SHANNON_ENTROPY: 11.6378513, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 2.877444371445373, 'user_topK': 234, 'user_shrink': 1612, 'item_topK': 1395, 'item_shrink': 41} - results: ROC_AUC: 0.0055193, PRECISION: 0.0010070, PRECISION_RECALL_MIN_DEN: 0.0033566, RECALL: 0.0033566, MAP: 0.0011652, MRR: 0.0034373, NDCG: 0.0023409, F1: 0.0015492, HIT_RATE: 0.0100698, ARHR: 0.0034665, RMSE: 2.7552583, NOVELTY: 0.0071119, AVERAGE_POPULARITY: 0.0371381, DIVERSITY_MEAN_INTER_LIST: 0.9866775, DIVERSITY_HERFINDAHL: 0.9986617, COVERAGE_ITEM: 0.6436875, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2163561, SHANNON_ENTROPY: 11.2243400, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.2958614535944264, 'user_topK': 523, 'user_shrink': 665, 'item_topK': 5, 'item_shrink': 1441} - results: ROC_AUC: 0.0476129, PRECISION: 0.0073083, PRECISION_RECALL_MIN_DEN: 0.0243611, RECALL: 0.0243611, MAP: 0.0117472, MRR: 0.0338839, NDCG: 0.0204541, F1: 0.0112436, HIT_RATE: 0.0730833, ARHR: 0.0345597, RMSE: 0.9257331, NOVELTY: 0.0063287, AVERAGE_POPULARITY: 0.1681628, DIVERSITY_MEAN_INTER_LIST: 0.9820905, DIVERSITY_HERFINDAHL: 0.9982030, COVERAGE_ITEM: 0.5217626, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1730930, SHANNON_ENTROPY: 10.6392501, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.0131385, PRECISION: 0.0015074, PRECISION_RECALL_MIN_DEN: 0.0050246, RECALL: 0.0050246, MAP: 0.0038101, MRR: 0.0113098, NDCG: 0.0057563, F1: 0.0023190, HIT_RATE: 0.0150738, ARHR: 0.0113701, RMSE: 0.9978751, NOVELTY: 0.0066826, AVERAGE_POPULARITY: 0.0135677, DIVERSITY_MEAN_INTER_LIST: 0.6670145, DIVERSITY_HERFINDAHL: 0.9666973, COVERAGE_ITEM: 0.5212220, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1935888, SHANNON_ENTROPY: 7.8824320, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 0, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0917248, PRECISION: 0.0143325, PRECISION_RECALL_MIN_DEN: 0.0477750, RECALL: 0.0477750, MAP: 0.0237180, MRR: 0.0646934, NDCG: 0.0402105, F1: 0.0220500, HIT_RATE: 0.1433249, ARHR: 0.0678531, RMSE: 0.9656944, NOVELTY: 0.0060065, AVERAGE_POPULARITY: 0.2682466, DIVERSITY_MEAN_INTER_LIST: 0.7479037, DIVERSITY_HERFINDAHL: 0.9747857, COVERAGE_ITEM: 0.3333333, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0758067, SHANNON_ENTROPY: 7.3977214, 
SearchBayesianSkopt: New best config found. Config 22: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 489, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1182637, PRECISION: 0.0189535, PRECISION_RECALL_MIN_DEN: 0.0631783, RECALL: 0.0631783, MAP: 0.0314652, MRR: 0.0854974, NDCG: 0.0531637, F1: 0.0291592, HIT_RATE: 0.1895348, ARHR: 0.0898657, RMSE: 0.9718450, NOVELTY: 0.0055549, AVERAGE_POPULARITY: 0.5011031, DIVERSITY_MEAN_INTER_LIST: 0.7804024, DIVERSITY_HERFINDAHL: 0.9780354, COVERAGE_ITEM: 0.3153825, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0979833, SHANNON_ENTROPY: 8.0159853, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 2.033692612816624, 'user_topK': 2000, 'user_shrink': 1205, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0928288, PRECISION: 0.0152344, PRECISION_RECALL_MIN_DEN: 0.0507815, RECALL: 0.0507815, MAP: 0.0241243, MRR: 0.0661834, NDCG: 0.0416086, F1: 0.0234376, HIT_RATE: 0.1523445, ARHR: 0.0692106, RMSE: 0.9941060, NOVELTY: 0.0064569, AVERAGE_POPULARITY: 0.1040377, DIVERSITY_MEAN_INTER_LIST: 0.9852238, DIVERSITY_HERFINDAHL: 0.9985163, COVERAGE_ITEM: 0.8948905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3985948, SHANNON_ENTROPY: 12.4792074, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 2000, 'item_shrink': 2000} - results: ROC_AUC: 0.0875583, PRECISION: 0.0145611, PRECISION_RECALL_MIN_DEN: 0.0485369, RECALL: 0.0485369, MAP: 0.0228255, MRR: 0.0638253, NDCG: 0.0396805, F1: 0.0224016, HIT_RATE: 0.1456107, ARHR: 0.0661114, RMSE: 0.9050859, NOVELTY: 0.0051037, AVERAGE_POPULARITY: 0.7363041, DIVERSITY_MEAN_INTER_LIST: 0.7395425, DIVERSITY_HERFINDAHL: 0.9739497, COVERAGE_ITEM: 0.1947013, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0449437, SHANNON_ENTROPY: 6.4157608, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1031871, PRECISION: 0.0163959, PRECISION_RECALL_MIN_DEN: 0.0546529, RECALL: 0.0546529, MAP: 0.0269588, MRR: 0.0738062, NDCG: 0.0458326, F1: 0.0252244, HIT_RATE: 0.1639587, ARHR: 0.0772699, RMSE: 0.9780270, NOVELTY: 0.0056664, AVERAGE_POPULARITY: 0.4173362, DIVERSITY_MEAN_INTER_LIST: 0.8618590, DIVERSITY_HERFINDAHL: 0.9861806, COVERAGE_ITEM: 0.4097324, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0948475, SHANNON_ENTROPY: 8.3898860, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1010794, PRECISION: 0.0156113, PRECISION_RECALL_MIN_DEN: 0.0520376, RECALL: 0.0520376, MAP: 0.0263750, MRR: 0.0722096, NDCG: 0.0444032, F1: 0.0240174, HIT_RATE: 0.1561129, ARHR: 0.0755965, RMSE: 0.9842499, NOVELTY: 0.0060996, AVERAGE_POPULARITY: 0.2200494, DIVERSITY_MEAN_INTER_LIST: 0.9405492, DIVERSITY_HERFINDAHL: 0.9940491, COVERAGE_ITEM: 0.4333063, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1238440, SHANNON_ENTROPY: 9.3771990, 
