SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.1146048766330747, 'user_topK': 275, 'user_shrink': 1419, 'item_topK': 1186, 'item_shrink': 1460} - results: ROC_AUC: 0.0556751, PRECISION: 0.0094088, PRECISION_RECALL_MIN_DEN: 0.0313626, RECALL: 0.0313626, MAP: 0.0137920, MRR: 0.0389423, NDCG: 0.0247058, F1: 0.0144751, HIT_RATE: 0.0940878, ARHR: 0.0401273, RMSE: 0.9979041, NOVELTY: 0.0049391, AVERAGE_POPULARITY: 0.8334921, DIVERSITY_MEAN_INTER_LIST: 0.3534783, DIVERSITY_HERFINDAHL: 0.9353456, COVERAGE_ITEM: 0.0382265, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0311594, SHANNON_ENTROPY: 4.4706619, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.5564232296634701, 'user_topK': 832, 'user_shrink': 603, 'item_topK': 1112, 'item_shrink': 429} - results: ROC_AUC: 0.0110089, PRECISION: 0.0018348, PRECISION_RECALL_MIN_DEN: 0.0061160, RECALL: 0.0061160, MAP: 0.0026136, MRR: 0.0075637, NDCG: 0.0047722, F1: 0.0028228, HIT_RATE: 0.0183481, ARHR: 0.0077023, RMSE: 6.8947203, NOVELTY: 0.0068651, AVERAGE_POPULARITY: 0.0719296, DIVERSITY_MEAN_INTER_LIST: 0.5546191, DIVERSITY_HERFINDAHL: 0.9554585, COVERAGE_ITEM: 0.0713166, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0434722, SHANNON_ENTROPY: 5.5044208, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.9097977552709418, 'user_topK': 1499, 'user_shrink': 1303, 'item_topK': 1895, 'item_shrink': 559} - results: ROC_AUC: 0.0630979, PRECISION: 0.0111386, PRECISION_RECALL_MIN_DEN: 0.0371286, RECALL: 0.0371286, MAP: 0.0155670, MRR: 0.0432449, NDCG: 0.0283127, F1: 0.0171363, HIT_RATE: 0.1113857, ARHR: 0.0449454, RMSE: 0.5910196, NOVELTY: 0.0050134, AVERAGE_POPULARITY: 0.7777384, DIVERSITY_MEAN_INTER_LIST: 0.4088672, DIVERSITY_HERFINDAHL: 0.9408842, COVERAGE_ITEM: 0.1498243, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0263263, SHANNON_ENTROPY: 4.8914767, 
SearchBayesianSkopt: New best config found. Config 13: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.5256369661710375, 'user_topK': 405, 'user_shrink': 616, 'item_topK': 804, 'item_shrink': 276} - results: ROC_AUC: 0.0967879, PRECISION: 0.0155372, PRECISION_RECALL_MIN_DEN: 0.0517905, RECALL: 0.0517905, MAP: 0.0255984, MRR: 0.0702980, NDCG: 0.0434825, F1: 0.0239033, HIT_RATE: 0.1553716, ARHR: 0.0734889, RMSE: 0.8529107, NOVELTY: 0.0051905, AVERAGE_POPULARITY: 0.6068195, DIVERSITY_MEAN_INTER_LIST: 0.7742203, DIVERSITY_HERFINDAHL: 0.9774172, COVERAGE_ITEM: 0.6153014, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1136029, SHANNON_ENTROPY: 7.8543806, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.278554280049054, 'user_topK': 1517, 'user_shrink': 467, 'item_topK': 1661, 'item_shrink': 498} - results: ROC_AUC: 0.0550949, PRECISION: 0.0095262, PRECISION_RECALL_MIN_DEN: 0.0317539, RECALL: 0.0317539, MAP: 0.0135929, MRR: 0.0384738, NDCG: 0.0246161, F1: 0.0146556, HIT_RATE: 0.0952616, ARHR: 0.0396056, RMSE: 0.7588388, NOVELTY: 0.0049031, AVERAGE_POPULARITY: 0.7295007, DIVERSITY_MEAN_INTER_LIST: 0.4978958, DIVERSITY_HERFINDAHL: 0.9497865, COVERAGE_ITEM: 0.3995134, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0716723, SHANNON_ENTROPY: 5.8421526, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.158367603621957, 'user_topK': 958, 'user_shrink': 277, 'item_topK': 468, 'item_shrink': 1455} - results: ROC_AUC: 0.0580080, PRECISION: 0.0089084, PRECISION_RECALL_MIN_DEN: 0.0296946, RECALL: 0.0296946, MAP: 0.0151988, MRR: 0.0427698, NDCG: 0.0256629, F1: 0.0137052, HIT_RATE: 0.0890838, ARHR: 0.0441612, RMSE: 0.8957114, NOVELTY: 0.0052425, AVERAGE_POPULARITY: 0.5756601, DIVERSITY_MEAN_INTER_LIST: 0.5119532, DIVERSITY_HERFINDAHL: 0.9511922, COVERAGE_ITEM: 0.0612598, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0328487, SHANNON_ENTROPY: 5.0891436, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.5643321055675328, 'user_topK': 391, 'user_shrink': 1704, 'item_topK': 145, 'item_shrink': 455} - results: ROC_AUC: 0.0709039, PRECISION: 0.0111077, PRECISION_RECALL_MIN_DEN: 0.0370256, RECALL: 0.0370256, MAP: 0.0185126, MRR: 0.0513861, NDCG: 0.0314160, F1: 0.0170887, HIT_RATE: 0.1110768, ARHR: 0.0534215, RMSE: 0.9002759, NOVELTY: 0.0050721, AVERAGE_POPULARITY: 0.1231307, DIVERSITY_MEAN_INTER_LIST: 0.9914075, DIVERSITY_HERFINDAHL: 0.9991346, COVERAGE_ITEM: 0.6908894, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3669028, SHANNON_ENTROPY: 12.2315787, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.32373465840460774, 'user_topK': 1365, 'user_shrink': 946, 'item_topK': 308, 'item_shrink': 1695} - results: ROC_AUC: 0.0921148, PRECISION: 0.0148205, PRECISION_RECALL_MIN_DEN: 0.0494018, RECALL: 0.0494018, MAP: 0.0241234, MRR: 0.0662759, NDCG: 0.0411902, F1: 0.0228008, HIT_RATE: 0.1482053, ARHR: 0.0692804, RMSE: 0.8219465, NOVELTY: 0.0054834, AVERAGE_POPULARITY: 0.5450795, DIVERSITY_MEAN_INTER_LIST: 0.7481415, DIVERSITY_HERFINDAHL: 0.9748095, COVERAGE_ITEM: 0.4055150, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0771662, SHANNON_ENTROPY: 7.3311627, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 2.877444371445373, 'user_topK': 234, 'user_shrink': 1612, 'item_topK': 1395, 'item_shrink': 41} - results: ROC_AUC: 0.0057316, PRECISION: 0.0009946, PRECISION_RECALL_MIN_DEN: 0.0033154, RECALL: 0.0033154, MAP: 0.0011108, MRR: 0.0033323, NDCG: 0.0022851, F1: 0.0015302, HIT_RATE: 0.0099463, ARHR: 0.0033323, RMSE: 12.2398067, NOVELTY: 0.0071953, AVERAGE_POPULARITY: 0.0478822, DIVERSITY_MEAN_INTER_LIST: 0.8674354, DIVERSITY_HERFINDAHL: 0.9867382, COVERAGE_ITEM: 0.3087321, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0896113, SHANNON_ENTROPY: 8.1138993, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.2958614535944264, 'user_topK': 523, 'user_shrink': 665, 'item_topK': 5, 'item_shrink': 1441} - results: ROC_AUC: 0.0474910, PRECISION: 0.0072157, PRECISION_RECALL_MIN_DEN: 0.0240522, RECALL: 0.0240522, MAP: 0.0116784, MRR: 0.0337333, NDCG: 0.0202960, F1: 0.0111010, HIT_RATE: 0.0721567, ARHR: 0.0343843, RMSE: 0.9251544, NOVELTY: 0.0063387, AVERAGE_POPULARITY: 0.1643358, DIVERSITY_MEAN_INTER_LIST: 0.9836769, DIVERSITY_HERFINDAHL: 0.9983616, COVERAGE_ITEM: 0.5609624, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1783438, SHANNON_ENTROPY: 10.7639671, 
SearchBayesianSkopt: New best config found. Config 20: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1010657, PRECISION: 0.0156051, PRECISION_RECALL_MIN_DEN: 0.0520171, RECALL: 0.0520171, MAP: 0.0263713, MRR: 0.0721986, NDCG: 0.0443928, F1: 0.0240079, HIT_RATE: 0.1560512, ARHR: 0.0755854, RMSE: 0.9842543, NOVELTY: 0.0061006, AVERAGE_POPULARITY: 0.2198607, DIVERSITY_MEAN_INTER_LIST: 0.9399428, DIVERSITY_HERFINDAHL: 0.9939885, COVERAGE_ITEM: 0.4331982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1232318, SHANNON_ENTROPY: 9.3669505, 
SearchBayesianSkopt: New best config found. Config 21: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 886, 'user_shrink': 1997, 'item_topK': 5, 'item_shrink': 1024} - results: ROC_AUC: 0.1338855, PRECISION: 0.0211528, PRECISION_RECALL_MIN_DEN: 0.0705093, RECALL: 0.0705093, MAP: 0.0353600, MRR: 0.0957199, NDCG: 0.0595689, F1: 0.0325427, HIT_RATE: 0.2115278, ARHR: 0.1007967, RMSE: 0.9826219, NOVELTY: 0.0060560, AVERAGE_POPULARITY: 0.3181523, DIVERSITY_MEAN_INTER_LIST: 0.9493674, DIVERSITY_HERFINDAHL: 0.9949309, COVERAGE_ITEM: 0.6094620, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1789419, SHANNON_ENTROPY: 10.3307037, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.0061507469659720666, 'user_topK': 84, 'user_shrink': 1348, 'item_topK': 214, 'item_shrink': 295} - results: ROC_AUC: 0.1236075, PRECISION: 0.0197690, PRECISION_RECALL_MIN_DEN: 0.0658965, RECALL: 0.0658965, MAP: 0.0325390, MRR: 0.0887923, NDCG: 0.0552213, F1: 0.0304138, HIT_RATE: 0.1976895, ARHR: 0.0931052, RMSE: 0.9678723, NOVELTY: 0.0061846, AVERAGE_POPULARITY: 0.2953475, DIVERSITY_MEAN_INTER_LIST: 0.9825645, DIVERSITY_HERFINDAHL: 0.9982504, COVERAGE_ITEM: 0.7306299, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2145499, SHANNON_ENTROPY: 11.1284176, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.08153636659048315, 'user_topK': 1332, 'user_shrink': 1864, 'item_topK': 1812, 'item_shrink': 1778} - results: ROC_AUC: 0.0630861, PRECISION: 0.0107803, PRECISION_RECALL_MIN_DEN: 0.0359342, RECALL: 0.0359342, MAP: 0.0158995, MRR: 0.0452036, NDCG: 0.0284281, F1: 0.0165850, HIT_RATE: 0.1078026, ARHR: 0.0464170, RMSE: 0.8619328, NOVELTY: 0.0049481, AVERAGE_POPULARITY: 0.8322926, DIVERSITY_MEAN_INTER_LIST: 0.4652507, DIVERSITY_HERFINDAHL: 0.9465222, COVERAGE_ITEM: 0.0672074, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0274226, SHANNON_ENTROPY: 4.8493864, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1010657, PRECISION: 0.0156051, PRECISION_RECALL_MIN_DEN: 0.0520171, RECALL: 0.0520171, MAP: 0.0263713, MRR: 0.0721986, NDCG: 0.0443928, F1: 0.0240079, HIT_RATE: 0.1560512, ARHR: 0.0755854, RMSE: 0.9842543, NOVELTY: 0.0061006, AVERAGE_POPULARITY: 0.2198607, DIVERSITY_MEAN_INTER_LIST: 0.9399428, DIVERSITY_HERFINDAHL: 0.9939885, COVERAGE_ITEM: 0.4331982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1232318, SHANNON_ENTROPY: 9.3669505, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1010657, PRECISION: 0.0156051, PRECISION_RECALL_MIN_DEN: 0.0520171, RECALL: 0.0520171, MAP: 0.0263713, MRR: 0.0721986, NDCG: 0.0443928, F1: 0.0240079, HIT_RATE: 0.1560512, ARHR: 0.0755854, RMSE: 0.9842543, NOVELTY: 0.0061006, AVERAGE_POPULARITY: 0.2198607, DIVERSITY_MEAN_INTER_LIST: 0.9399428, DIVERSITY_HERFINDAHL: 0.9939885, COVERAGE_ITEM: 0.4331982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1232318, SHANNON_ENTROPY: 9.3669505, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1010657, PRECISION: 0.0156051, PRECISION_RECALL_MIN_DEN: 0.0520171, RECALL: 0.0520171, MAP: 0.0263713, MRR: 0.0721986, NDCG: 0.0443928, F1: 0.0240079, HIT_RATE: 0.1560512, ARHR: 0.0755854, RMSE: 0.9842543, NOVELTY: 0.0061006, AVERAGE_POPULARITY: 0.2198607, DIVERSITY_MEAN_INTER_LIST: 0.9399428, DIVERSITY_HERFINDAHL: 0.9939885, COVERAGE_ITEM: 0.4331982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1232318, SHANNON_ENTROPY: 9.3669505, 
