SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.1146048766330747, 'user_topK': 275, 'user_shrink': 1419, 'item_topK': 1186, 'item_shrink': 1460} - results: ROC_AUC: 0.0563570, PRECISION: 0.0095138, PRECISION_RECALL_MIN_DEN: 0.0317127, RECALL: 0.0317127, MAP: 0.0141631, MRR: 0.0400861, NDCG: 0.0252124, F1: 0.0146366, HIT_RATE: 0.0951381, ARHR: 0.0412586, RMSE: 0.9572201, NOVELTY: 0.0049340, AVERAGE_POPULARITY: 0.8416099, DIVERSITY_MEAN_INTER_LIST: 0.3687274, DIVERSITY_HERFINDAHL: 0.9368705, COVERAGE_ITEM: 0.0477967, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0269068, SHANNON_ENTROPY: 4.5085989, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.5564232296634701, 'user_topK': 832, 'user_shrink': 603, 'item_topK': 1112, 'item_shrink': 429} - results: ROC_AUC: 0.0541911, PRECISION: 0.0095571, PRECISION_RECALL_MIN_DEN: 0.0318568, RECALL: 0.0318568, MAP: 0.0131249, MRR: 0.0370211, NDCG: 0.0241376, F1: 0.0147032, HIT_RATE: 0.0955705, ARHR: 0.0381726, RMSE: 1.5878551, NOVELTY: 0.0049378, AVERAGE_POPULARITY: 0.8354145, DIVERSITY_MEAN_INTER_LIST: 0.2853142, DIVERSITY_HERFINDAHL: 0.9285297, COVERAGE_ITEM: 0.0370370, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0278802, SHANNON_ENTROPY: 4.2526771, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.9097977552709418, 'user_topK': 1499, 'user_shrink': 1303, 'item_topK': 1895, 'item_shrink': 559} - results: ROC_AUC: 0.0887483, PRECISION: 0.0139680, PRECISION_RECALL_MIN_DEN: 0.0465600, RECALL: 0.0465600, MAP: 0.0235312, MRR: 0.0647848, NDCG: 0.0396816, F1: 0.0214892, HIT_RATE: 0.1396800, ARHR: 0.0676370, RMSE: 1.0343384, NOVELTY: 0.0058811, AVERAGE_POPULARITY: 0.3710674, DIVERSITY_MEAN_INTER_LIST: 0.8233569, DIVERSITY_HERFINDAHL: 0.9823306, COVERAGE_ITEM: 0.2617464, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0808818, SHANNON_ENTROPY: 7.7810324, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.5256369661710375, 'user_topK': 405, 'user_shrink': 616, 'item_topK': 804, 'item_shrink': 276} - results: ROC_AUC: 0.0635403, PRECISION: 0.0104899, PRECISION_RECALL_MIN_DEN: 0.0349663, RECALL: 0.0349663, MAP: 0.0160943, MRR: 0.0457931, NDCG: 0.0283533, F1: 0.0161383, HIT_RATE: 0.1048990, ARHR: 0.0470086, RMSE: 12.6814576, NOVELTY: 0.0049314, AVERAGE_POPULARITY: 0.8423111, DIVERSITY_MEAN_INTER_LIST: 0.4287231, DIVERSITY_HERFINDAHL: 0.9428697, COVERAGE_ITEM: 0.0402812, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0328055, SHANNON_ENTROPY: 4.6646667, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.278554280049054, 'user_topK': 1517, 'user_shrink': 467, 'item_topK': 1661, 'item_shrink': 498} - results: ROC_AUC: 0.0961847, PRECISION: 0.0152839, PRECISION_RECALL_MIN_DEN: 0.0509462, RECALL: 0.0509462, MAP: 0.0252738, MRR: 0.0693873, NDCG: 0.0429015, F1: 0.0235136, HIT_RATE: 0.1528387, ARHR: 0.0725562, RMSE: 1.0153550, NOVELTY: 0.0062394, AVERAGE_POPULARITY: 0.2517561, DIVERSITY_MEAN_INTER_LIST: 0.9541958, DIVERSITY_HERFINDAHL: 0.9954137, COVERAGE_ITEM: 0.8121114, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2367817, SHANNON_ENTROPY: 10.9555293, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.158367603621957, 'user_topK': 958, 'user_shrink': 277, 'item_topK': 468, 'item_shrink': 1455} - results: ROC_AUC: 0.0591254, PRECISION: 0.0098783, PRECISION_RECALL_MIN_DEN: 0.0329277, RECALL: 0.0329277, MAP: 0.0147341, MRR: 0.0419126, NDCG: 0.0262543, F1: 0.0151974, HIT_RATE: 0.0987830, ARHR: 0.0430326, RMSE: 0.9449904, NOVELTY: 0.0049602, AVERAGE_POPULARITY: 0.8283532, DIVERSITY_MEAN_INTER_LIST: 0.4014415, DIVERSITY_HERFINDAHL: 0.9401417, COVERAGE_ITEM: 0.1010543, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0242211, SHANNON_ENTROPY: 4.7396455, 
SearchBayesianSkopt: New best config found. Config 16: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.5643321055675328, 'user_topK': 391, 'user_shrink': 1704, 'item_topK': 145, 'item_shrink': 455} - results: ROC_AUC: 0.1050837, PRECISION: 0.0167727, PRECISION_RECALL_MIN_DEN: 0.0559091, RECALL: 0.0559091, MAP: 0.0272924, MRR: 0.0748841, NDCG: 0.0466096, F1: 0.0258042, HIT_RATE: 0.1677272, ARHR: 0.0783112, RMSE: 0.8807465, NOVELTY: 0.0063773, AVERAGE_POPULARITY: 0.1200766, DIVERSITY_MEAN_INTER_LIST: 0.9930938, DIVERSITY_HERFINDAHL: 0.9993032, COVERAGE_ITEM: 0.8687213, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3294954, SHANNON_ENTROPY: 12.3404417, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.32373465840460774, 'user_topK': 1365, 'user_shrink': 946, 'item_topK': 308, 'item_shrink': 1695} - results: ROC_AUC: 0.0973745, PRECISION: 0.0157040, PRECISION_RECALL_MIN_DEN: 0.0523465, RECALL: 0.0523465, MAP: 0.0255771, MRR: 0.0702872, NDCG: 0.0436533, F1: 0.0241599, HIT_RATE: 0.1570396, ARHR: 0.0734685, RMSE: 0.8697192, NOVELTY: 0.0055620, AVERAGE_POPULARITY: 0.5072739, DIVERSITY_MEAN_INTER_LIST: 0.7984240, DIVERSITY_HERFINDAHL: 0.9798375, COVERAGE_ITEM: 0.4825088, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0936892, SHANNON_ENTROPY: 7.8726580, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 2.877444371445373, 'user_topK': 234, 'user_shrink': 1612, 'item_topK': 1395, 'item_shrink': 41} - results: ROC_AUC: 0.0726895, PRECISION: 0.0119417, PRECISION_RECALL_MIN_DEN: 0.0398056, RECALL: 0.0398056, MAP: 0.0185251, MRR: 0.0521142, NDCG: 0.0324060, F1: 0.0183718, HIT_RATE: 0.1194168, ARHR: 0.0538119, RMSE: 233.1223868, NOVELTY: 0.0050153, AVERAGE_POPULARITY: 0.7950501, DIVERSITY_MEAN_INTER_LIST: 0.5671896, DIVERSITY_HERFINDAHL: 0.9567155, COVERAGE_ITEM: 0.1575020, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0337932, SHANNON_ENTROPY: 5.5278736, 
SearchBayesianSkopt: New best config found. Config 19: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.2958614535944264, 'user_topK': 523, 'user_shrink': 665, 'item_topK': 5, 'item_shrink': 1441} - results: ROC_AUC: 0.1271931, PRECISION: 0.0207080, PRECISION_RECALL_MIN_DEN: 0.0690266, RECALL: 0.0690266, MAP: 0.0338838, MRR: 0.0914145, NDCG: 0.0574362, F1: 0.0318584, HIT_RATE: 0.2070798, ARHR: 0.0964058, RMSE: 0.9753490, NOVELTY: 0.0060757, AVERAGE_POPULARITY: 0.2764259, DIVERSITY_MEAN_INTER_LIST: 0.9839715, DIVERSITY_HERFINDAHL: 0.9983911, COVERAGE_ITEM: 0.5572858, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1787278, SHANNON_ENTROPY: 10.7508233, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'user_topK': 2000, 'user_shrink': 0, 'item_topK': 2000, 'item_shrink': 0} - results: ROC_AUC: 0.0642794, PRECISION: 0.0104405, PRECISION_RECALL_MIN_DEN: 0.0348016, RECALL: 0.0348016, MAP: 0.0166412, MRR: 0.0465857, NDCG: 0.0287669, F1: 0.0160623, HIT_RATE: 0.1044048, ARHR: 0.0482332, RMSE: 156.2425244, NOVELTY: 0.0049029, AVERAGE_POPULARITY: 0.6931211, DIVERSITY_MEAN_INTER_LIST: 0.6332378, DIVERSITY_HERFINDAHL: 0.9633199, COVERAGE_ITEM: 0.3629630, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0706994, SHANNON_ENTROPY: 6.4572346, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.010936433644433754, 'user_topK': 46, 'user_shrink': 1765, 'item_topK': 1961, 'item_shrink': 1342} - results: ROC_AUC: 0.0894883, PRECISION: 0.0140792, PRECISION_RECALL_MIN_DEN: 0.0469307, RECALL: 0.0469307, MAP: 0.0228601, MRR: 0.0631618, NDCG: 0.0391634, F1: 0.0216603, HIT_RATE: 0.1407920, ARHR: 0.0658122, RMSE: 0.9416910, NOVELTY: 0.0066642, AVERAGE_POPULARITY: 0.0753115, DIVERSITY_MEAN_INTER_LIST: 0.9973863, DIVERSITY_HERFINDAHL: 0.9997325, COVERAGE_ITEM: 0.9276021, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4074178, SHANNON_ENTROPY: 12.9963721, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.04236226363065621, 'user_topK': 1948, 'user_shrink': 578, 'item_topK': 20, 'item_shrink': 176} - results: ROC_AUC: 0.1013628, PRECISION: 0.0162909, PRECISION_RECALL_MIN_DEN: 0.0543028, RECALL: 0.0543028, MAP: 0.0263383, MRR: 0.0719380, NDCG: 0.0450317, F1: 0.0250628, HIT_RATE: 0.1629085, ARHR: 0.0753998, RMSE: 0.9088405, NOVELTY: 0.0062962, AVERAGE_POPULARITY: 0.1035962, DIVERSITY_MEAN_INTER_LIST: 0.9904107, DIVERSITY_HERFINDAHL: 0.9990349, COVERAGE_ITEM: 0.8781292, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3653622, SHANNON_ENTROPY: 12.3893078, 
SearchBayesianSkopt: New best config found. Config 23: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'user_topK': 145, 'user_shrink': 1693, 'item_topK': 5, 'item_shrink': 1813} - results: ROC_AUC: 0.1292331, PRECISION: 0.0207883, PRECISION_RECALL_MIN_DEN: 0.0692943, RECALL: 0.0692943, MAP: 0.0342102, MRR: 0.0925036, NDCG: 0.0579200, F1: 0.0319820, HIT_RATE: 0.2078829, ARHR: 0.0974431, RMSE: 0.9821276, NOVELTY: 0.0061486, AVERAGE_POPULARITY: 0.2539700, DIVERSITY_MEAN_INTER_LIST: 0.9877088, DIVERSITY_HERFINDAHL: 0.9987648, COVERAGE_ITEM: 0.5404163, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1858325, SHANNON_ENTROPY: 10.9047030, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.711721116660249, 'user_topK': 1891, 'user_shrink': 1440, 'item_topK': 176, 'item_shrink': 1823} - results: ROC_AUC: 0.0855557, PRECISION: 0.0138259, PRECISION_RECALL_MIN_DEN: 0.0460864, RECALL: 0.0460864, MAP: 0.0227953, MRR: 0.0627502, NDCG: 0.0387196, F1: 0.0212706, HIT_RATE: 0.1382591, ARHR: 0.0655265, RMSE: 1.3665996, NOVELTY: 0.0051932, AVERAGE_POPULARITY: 0.6844264, DIVERSITY_MEAN_INTER_LIST: 0.7130259, DIVERSITY_HERFINDAHL: 0.9712982, COVERAGE_ITEM: 0.2912679, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0596765, SHANNON_ENTROPY: 6.7610116, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.26455576498480143, 'user_topK': 38, 'user_shrink': 871, 'item_topK': 110, 'item_shrink': 433} - results: ROC_AUC: 0.0840034, PRECISION: 0.0134305, PRECISION_RECALL_MIN_DEN: 0.0447684, RECALL: 0.0447684, MAP: 0.0219161, MRR: 0.0606161, NDCG: 0.0374486, F1: 0.0206624, HIT_RATE: 0.1343053, ARHR: 0.0631293, RMSE: 0.9617517, NOVELTY: 0.0053425, AVERAGE_POPULARITY: 0.1034218, DIVERSITY_MEAN_INTER_LIST: 0.9960417, DIVERSITY_HERFINDAHL: 0.9995980, COVERAGE_ITEM: 0.8947283, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4272540, SHANNON_ENTROPY: 12.9152421, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.2621932203844822, 'user_topK': 1985, 'user_shrink': 1898, 'item_topK': 1952, 'item_shrink': 538} - results: ROC_AUC: 0.0784708, PRECISION: 0.0131525, PRECISION_RECALL_MIN_DEN: 0.0438418, RECALL: 0.0438418, MAP: 0.0204496, MRR: 0.0567278, NDCG: 0.0355886, F1: 0.0202347, HIT_RATE: 0.1315253, ARHR: 0.0590001, RMSE: 0.7506410, NOVELTY: 0.0050412, AVERAGE_POPULARITY: 0.7756550, DIVERSITY_MEAN_INTER_LIST: 0.5013206, DIVERSITY_HERFINDAHL: 0.9501290, COVERAGE_ITEM: 0.1843742, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0349838, SHANNON_ENTROPY: 5.4317930, 
