SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.1146048766330747, 'item_asymmetric_alpha': 0.5414812195003017, 'user_topK': 1420, 'user_shrink': 1184, 'item_topK': 1461, 'item_shrink': 1626} - results: ROC_AUC: 0.0418850, PRECISION: 0.0076481, PRECISION_RECALL_MIN_DEN: 0.0254937, RECALL: 0.0254937, MAP: 0.0102022, MRR: 0.0292908, NDCG: 0.0190477, F1: 0.0117663, HIT_RATE: 0.0764811, ARHR: 0.0299341, RMSE: 0.9377548, NOVELTY: 0.0049027, AVERAGE_POPULARITY: 0.8628356, DIVERSITY_MEAN_INTER_LIST: 0.1608496, DIVERSITY_HERFINDAHL: 0.9160840, COVERAGE_ITEM: 0.0069749, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0953283, SHANNON_ENTROPY: 3.7627147, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.9097977552709418, 'item_asymmetric_alpha': 2.996025338381658, 'user_topK': 1304, 'user_shrink': 1894, 'item_topK': 563, 'item_shrink': 1019} - results: ROC_AUC: 0.0841597, PRECISION: 0.0141410, PRECISION_RECALL_MIN_DEN: 0.0471366, RECALL: 0.0471366, MAP: 0.0218407, MRR: 0.0604195, NDCG: 0.0380905, F1: 0.0217553, HIT_RATE: 0.1414098, ARHR: 0.0629297, RMSE: 0.8116044, NOVELTY: 0.0052796, AVERAGE_POPULARITY: 0.5959627, DIVERSITY_MEAN_INTER_LIST: 0.7095243, DIVERSITY_HERFINDAHL: 0.9709480, COVERAGE_ITEM: 0.5341444, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1016736, SHANNON_ENTROPY: 7.4074863, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.8012951066227003, 'item_asymmetric_alpha': 1.2314586899765347, 'user_topK': 804, 'user_shrink': 276, 'item_topK': 1927, 'item_shrink': 460} - results: ROC_AUC: 0.0508810, PRECISION: 0.0090011, PRECISION_RECALL_MIN_DEN: 0.0300035, RECALL: 0.0300035, MAP: 0.0119328, MRR: 0.0334756, NDCG: 0.0222673, F1: 0.0138478, HIT_RATE: 0.0900105, ARHR: 0.0346129, RMSE: 1.3892440, NOVELTY: 0.0049606, AVERAGE_POPULARITY: 0.8079594, DIVERSITY_MEAN_INTER_LIST: 0.3234684, DIVERSITY_HERFINDAHL: 0.9323448, COVERAGE_ITEM: 0.0098946, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0858939, SHANNON_ENTROPY: 4.2598435, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.9335347005591312, 'item_asymmetric_alpha': 3.32127119301186, 'user_topK': 502, 'user_shrink': 884, 'item_topK': 898, 'item_shrink': 338} - results: ROC_AUC: 0.0242234, PRECISION: 0.0038426, PRECISION_RECALL_MIN_DEN: 0.0128086, RECALL: 0.0128086, MAP: 0.0056964, MRR: 0.0165850, NDCG: 0.0102631, F1: 0.0059117, HIT_RATE: 0.0384259, ARHR: 0.0168371, RMSE: 1.5866073, NOVELTY: 0.0065889, AVERAGE_POPULARITY: 0.1054590, DIVERSITY_MEAN_INTER_LIST: 0.9354954, DIVERSITY_HERFINDAHL: 0.9935438, COVERAGE_ITEM: 0.3186267, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1145152, SHANNON_ENTROPY: 9.0669575, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.9280417149594233, 'item_asymmetric_alpha': 2.91040030687264, 'user_topK': 1908, 'user_shrink': 1434, 'item_topK': 1107, 'item_shrink': 954} - results: ROC_AUC: 0.0181181, PRECISION: 0.0029530, PRECISION_RECALL_MIN_DEN: 0.0098433, RECALL: 0.0098433, MAP: 0.0040984, MRR: 0.0119271, NDCG: 0.0075882, F1: 0.0045431, HIT_RATE: 0.0295299, ARHR: 0.0121112, RMSE: 4.3700608, NOVELTY: 0.0062769, AVERAGE_POPULARITY: 0.1512887, DIVERSITY_MEAN_INTER_LIST: 0.5496033, DIVERSITY_HERFINDAHL: 0.9549569, COVERAGE_ITEM: 0.0257367, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0773925, SHANNON_ENTROPY: 5.3266366, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.9107901575056634, 'item_asymmetric_alpha': 0.6378815664207821, 'user_topK': 1708, 'user_shrink': 1028, 'item_topK': 955, 'item_shrink': 1823} - results: ROC_AUC: 0.0399649, PRECISION: 0.0073639, PRECISION_RECALL_MIN_DEN: 0.0245464, RECALL: 0.0245464, MAP: 0.0094292, MRR: 0.0270756, NDCG: 0.0179364, F1: 0.0113291, HIT_RATE: 0.0736393, ARHR: 0.0276703, RMSE: 0.8964362, NOVELTY: 0.0049017, AVERAGE_POPULARITY: 0.8631743, DIVERSITY_MEAN_INTER_LIST: 0.1457589, DIVERSITY_HERFINDAHL: 0.9145750, COVERAGE_ITEM: 0.0036767, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1736754, SHANNON_ENTROPY: 3.6984108, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.105963237821051, 'item_asymmetric_alpha': 2.63244363936634, 'user_topK': 1505, 'user_shrink': 1624, 'item_topK': 574, 'item_shrink': 1534} - results: ROC_AUC: 0.0861737, PRECISION: 0.0142213, PRECISION_RECALL_MIN_DEN: 0.0474043, RECALL: 0.0474043, MAP: 0.0228265, MRR: 0.0626400, NDCG: 0.0391392, F1: 0.0218789, HIT_RATE: 0.1422129, ARHR: 0.0655213, RMSE: 0.8274681, NOVELTY: 0.0054279, AVERAGE_POPULARITY: 0.5255206, DIVERSITY_MEAN_INTER_LIST: 0.7748442, DIVERSITY_HERFINDAHL: 0.9774796, COVERAGE_ITEM: 0.6864558, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1467867, SHANNON_ENTROPY: 8.3411325, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.7092424328444281, 'item_asymmetric_alpha': 0.5993578734311088, 'user_topK': 1387, 'user_shrink': 1906, 'item_topK': 914, 'item_shrink': 1648} - results: ROC_AUC: 0.0550595, PRECISION: 0.0098783, PRECISION_RECALL_MIN_DEN: 0.0329277, RECALL: 0.0329277, MAP: 0.0133235, MRR: 0.0374998, NDCG: 0.0246633, F1: 0.0151974, HIT_RATE: 0.0987830, ARHR: 0.0387021, RMSE: 1.5882252, NOVELTY: 0.0049454, AVERAGE_POPULARITY: 0.8281131, DIVERSITY_MEAN_INTER_LIST: 0.3024822, DIVERSITY_HERFINDAHL: 0.9302464, COVERAGE_ITEM: 0.0317924, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0325306, SHANNON_ENTROPY: 4.3259094, 
SearchBayesianSkopt: New best config found. Config 18: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.934425674329798, 'item_asymmetric_alpha': 0.7887733705880502, 'user_topK': 306, 'user_shrink': 1454, 'item_topK': 226, 'item_shrink': 657} - results: ROC_AUC: 0.1097290, PRECISION: 0.0168839, PRECISION_RECALL_MIN_DEN: 0.0562797, RECALL: 0.0562797, MAP: 0.0290329, MRR: 0.0795095, NDCG: 0.0485494, F1: 0.0259753, HIT_RATE: 0.1688392, ARHR: 0.0832381, RMSE: 0.8894920, NOVELTY: 0.0061384, AVERAGE_POPULARITY: 0.2101767, DIVERSITY_MEAN_INTER_LIST: 0.9875634, DIVERSITY_HERFINDAHL: 0.9987502, COVERAGE_ITEM: 0.8074074, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2599420, SHANNON_ENTROPY: 11.6776910, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.5251673107132886, 'item_asymmetric_alpha': 2.4940244601300936, 'user_topK': 658, 'user_shrink': 510, 'item_topK': 1112, 'item_shrink': 601} - results: ROC_AUC: 0.0718926, PRECISION: 0.0116143, PRECISION_RECALL_MIN_DEN: 0.0387142, RECALL: 0.0387142, MAP: 0.0190302, MRR: 0.0525036, NDCG: 0.0324279, F1: 0.0178681, HIT_RATE: 0.1161426, ARHR: 0.0547678, RMSE: 1.2198344, NOVELTY: 0.0048153, AVERAGE_POPULARITY: 0.5070124, DIVERSITY_MEAN_INTER_LIST: 0.8109653, DIVERSITY_HERFINDAHL: 0.9810915, COVERAGE_ITEM: 0.6453095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1849970, SHANNON_ENTROPY: 8.8420282, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'item_asymmetric_alpha': 4.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 2000, 'item_shrink': 0} - results: ROC_AUC: 0.0110076, PRECISION: 0.0019707, PRECISION_RECALL_MIN_DEN: 0.0065691, RECALL: 0.0065691, MAP: 0.0024047, MRR: 0.0070534, NDCG: 0.0047078, F1: 0.0030319, HIT_RATE: 0.0197072, ARHR: 0.0071337, RMSE: 4.9932522, NOVELTY: 0.0012388, AVERAGE_POPULARITY: 0.2270729, DIVERSITY_MEAN_INTER_LIST: 0.8908447, DIVERSITY_HERFINDAHL: 0.9890790, COVERAGE_ITEM: 0.1605839, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1728637, SHANNON_ENTROPY: 8.6777961, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.0206613, PRECISION: 0.0026317, PRECISION_RECALL_MIN_DEN: 0.0087725, RECALL: 0.0087725, MAP: 0.0054955, MRR: 0.0163023, NDCG: 0.0088017, F1: 0.0040488, HIT_RATE: 0.0263174, ARHR: 0.0163945, RMSE: 0.9977117, NOVELTY: 0.0069032, AVERAGE_POPULARITY: 0.1974813, DIVERSITY_MEAN_INTER_LIST: 0.7508560, DIVERSITY_HERFINDAHL: 0.9750810, COVERAGE_ITEM: 0.4884023, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1396292, SHANNON_ENTROPY: 8.3828087, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 2000, 'user_shrink': 0, 'item_topK': 2000, 'item_shrink': 2000} - results: ROC_AUC: 0.0702048, PRECISION: 0.0112868, PRECISION_RECALL_MIN_DEN: 0.0376228, RECALL: 0.0376228, MAP: 0.0178073, MRR: 0.0492584, NDCG: 0.0308474, F1: 0.0173644, HIT_RATE: 0.1128684, ARHR: 0.0513004, RMSE: 2.3167302, NOVELTY: 0.0063833, AVERAGE_POPULARITY: 0.2440552, DIVERSITY_MEAN_INTER_LIST: 0.9025531, DIVERSITY_HERFINDAHL: 0.9902497, COVERAGE_ITEM: 0.4483374, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1450163, SHANNON_ENTROPY: 9.3431175, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0782427, PRECISION: 0.0125039, PRECISION_RECALL_MIN_DEN: 0.0416795, RECALL: 0.0416795, MAP: 0.0201768, MRR: 0.0558059, NDCG: 0.0346274, F1: 0.0192367, HIT_RATE: 0.1250386, ARHR: 0.0581090, RMSE: 0.9955359, NOVELTY: 0.0066852, AVERAGE_POPULARITY: 0.0513447, DIVERSITY_MEAN_INTER_LIST: 0.9959393, DIVERSITY_HERFINDAHL: 0.9995878, COVERAGE_ITEM: 0.9284672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4842534, SHANNON_ENTROPY: 13.1830863, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0982248, PRECISION: 0.0162476, PRECISION_RECALL_MIN_DEN: 0.0541587, RECALL: 0.0541587, MAP: 0.0250689, MRR: 0.0684429, NDCG: 0.0436365, F1: 0.0249963, HIT_RATE: 0.1624761, ARHR: 0.0717470, RMSE: 0.9955756, NOVELTY: 0.0066582, AVERAGE_POPULARITY: 0.1008878, DIVERSITY_MEAN_INTER_LIST: 0.9963638, DIVERSITY_HERFINDAHL: 0.9996302, COVERAGE_ITEM: 0.7849148, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3783048, SHANNON_ENTROPY: 12.6133134, 
