CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 685, 'shrink': 1042, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.12158226231975136, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032265±0.0022, PRECISION: 0.005032±0.0003, PRECISION_RECALL_MIN_DEN: 0.050317±0.0034, RECALL: 0.050317±0.0034, MAP: 0.021688±0.0015, MRR: 0.021688±0.0015, NDCG: 0.028355±0.0017, F1: 0.009149±0.0006, HIT_RATE: 0.050317±0.0034, ARHR: 0.021688±0.0015, RMSE: 4.353474±0.0992, NOVELTY: 0.005074±0.0000, AVERAGE_POPULARITY: 0.721472±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.780618±0.0007, DIVERSITY_HERFINDAHL: 0.978042±0.0001, COVERAGE_ITEM: 0.035491±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116648±0.0009, SHANNON_ENTROPY: 6.414548±0.0036, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 142, 'shrink': 723, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8986507234802894, 'feature_weighting': 'none'} - results: ROC_AUC: 0.027948±0.0024, PRECISION: 0.004251±0.0004, PRECISION_RECALL_MIN_DEN: 0.042506±0.0035, RECALL: 0.042506±0.0035, MAP: 0.019056±0.0016, MRR: 0.019056±0.0016, NDCG: 0.024523±0.0020, F1: 0.007728±0.0006, HIT_RATE: 0.042506±0.0035, ARHR: 0.019056±0.0016, RMSE: 0.978931±0.0008, NOVELTY: 0.005396±0.0000, AVERAGE_POPULARITY: 0.543800±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.929764±0.0002, DIVERSITY_HERFINDAHL: 0.992953±0.0000, COVERAGE_ITEM: 0.118573±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.161117±0.0006, SHANNON_ENTROPY: 8.428878±0.0076, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1956, 'shrink': 924, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.1955113216530093, 'feature_weighting': 'none'} - results: ROC_AUC: 0.025423±0.0008, PRECISION: 0.003794±0.0002, PRECISION_RECALL_MIN_DEN: 0.037941±0.0017, RECALL: 0.037941±0.0017, MAP: 0.017665±0.0008, MRR: 0.017665±0.0008, NDCG: 0.022397±0.0009, F1: 0.006898±0.0003, HIT_RATE: 0.037941±0.0017, ARHR: 0.017665±0.0008, RMSE: 0.909844±0.0017, NOVELTY: 0.004923±0.0000, AVERAGE_POPULARITY: 0.824564±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.580025±0.0009, DIVERSITY_HERFINDAHL: 0.957988±0.0001, COVERAGE_ITEM: 0.010251±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139997±0.0030, SHANNON_ENTROPY: 5.084153±0.0054, 
CrossSearchBayesianSkopt: New best config found. Config 13: {'topK': 920, 'shrink': 974, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2174503027696864, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038121±0.0026, PRECISION: 0.005945±0.0003, PRECISION_RECALL_MIN_DEN: 0.059447±0.0027, RECALL: 0.059447±0.0027, MAP: 0.025785±0.0018, MRR: 0.025785±0.0018, NDCG: 0.033614±0.0019, F1: 0.010809±0.0005, HIT_RATE: 0.059447±0.0027, ARHR: 0.025785±0.0018, RMSE: 0.805449±0.0043, NOVELTY: 0.005219±0.0000, AVERAGE_POPULARITY: 0.644946±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.859304±0.0016, DIVERSITY_HERFINDAHL: 0.985909±0.0002, COVERAGE_ITEM: 0.049127±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151744±0.0012, SHANNON_ENTROPY: 7.226754±0.0119, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 635, 'shrink': 697, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.3643084794220222, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036892±0.0021, PRECISION: 0.005727±0.0003, PRECISION_RECALL_MIN_DEN: 0.057266±0.0033, RECALL: 0.057266±0.0033, MAP: 0.025057±0.0013, MRR: 0.025057±0.0013, NDCG: 0.032553±0.0017, F1: 0.010412±0.0006, HIT_RATE: 0.057266±0.0033, ARHR: 0.025057±0.0013, RMSE: 0.850084±0.0051, NOVELTY: 0.005329±0.0000, AVERAGE_POPULARITY: 0.596868±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.891701±0.0012, DIVERSITY_HERFINDAHL: 0.989148±0.0001, COVERAGE_ITEM: 0.078324±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151130±0.0013, SHANNON_ENTROPY: 7.770528±0.0110, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 172, 'shrink': 1716, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.255617941124273, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.023518±0.0015, PRECISION: 0.003652±0.0002, PRECISION_RECALL_MIN_DEN: 0.036520±0.0017, RECALL: 0.036520±0.0017, MAP: 0.016179±0.0010, MRR: 0.016179±0.0010, NDCG: 0.020906±0.0011, F1: 0.006640±0.0003, HIT_RATE: 0.036520±0.0017, ARHR: 0.016179±0.0010, RMSE: 0.902085±0.0020, NOVELTY: 0.006317±0.0000, AVERAGE_POPULARITY: 0.320943±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.980950±0.0002, DIVERSITY_HERFINDAHL: 0.998070±0.0000, COVERAGE_ITEM: 0.371419±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.312371±0.0007, SHANNON_ENTROPY: 10.878552±0.0062, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 106, 'shrink': 1658, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4026291313738959, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.027531±0.0011, PRECISION: 0.004240±0.0001, PRECISION_RECALL_MIN_DEN: 0.042404±0.0010, RECALL: 0.042404±0.0010, MAP: 0.018787±0.0007, MRR: 0.018787±0.0007, NDCG: 0.024287±0.0007, F1: 0.007710±0.0002, HIT_RATE: 0.042404±0.0010, ARHR: 0.018787±0.0007, RMSE: 1.149097±0.0307, NOVELTY: 0.005662±0.0000, AVERAGE_POPULARITY: 0.468843±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.951598±0.0003, DIVERSITY_HERFINDAHL: 0.995136±0.0000, COVERAGE_ITEM: 0.215161±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.194840±0.0004, SHANNON_ENTROPY: 9.304912±0.0088, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2525, 'shrink': 192, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.235577171853578, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035213±0.0020, PRECISION: 0.005432±0.0002, PRECISION_RECALL_MIN_DEN: 0.054324±0.0019, RECALL: 0.054324±0.0019, MAP: 0.023669±0.0013, MRR: 0.023669±0.0013, NDCG: 0.030814±0.0014, F1: 0.009877±0.0003, HIT_RATE: 0.054324±0.0019, ARHR: 0.023669±0.0013, RMSE: 8.333948±0.1183, NOVELTY: 0.005036±0.0000, AVERAGE_POPULARITY: 0.746847±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.749758±0.0016, DIVERSITY_HERFINDAHL: 0.974957±0.0002, COVERAGE_ITEM: 0.023077±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.131989±0.0009, SHANNON_ENTROPY: 6.093289±0.0083, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 2970, 'shrink': 955, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8554870347481196, 'feature_weighting': 'none'} - results: ROC_AUC: 0.025835±0.0007, PRECISION: 0.003911±0.0001, PRECISION_RECALL_MIN_DEN: 0.039107±0.0013, RECALL: 0.039107±0.0013, MAP: 0.017875±0.0009, MRR: 0.017875±0.0009, NDCG: 0.022822±0.0009, F1: 0.007110±0.0002, HIT_RATE: 0.039107±0.0013, ARHR: 0.017875±0.0009, RMSE: 0.919525±0.0015, NOVELTY: 0.004935±0.0000, AVERAGE_POPULARITY: 0.813412±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.604723±0.0012, DIVERSITY_HERFINDAHL: 0.960457±0.0001, COVERAGE_ITEM: 0.010954±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139694±0.0018, SHANNON_ENTROPY: 5.182082±0.0029, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 2150, 'shrink': 722, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.06718915477134126, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036205±0.0019, PRECISION: 0.005585±0.0002, PRECISION_RECALL_MIN_DEN: 0.055846±0.0016, RECALL: 0.055846±0.0016, MAP: 0.024195±0.0012, MRR: 0.024195±0.0012, NDCG: 0.031577±0.0013, F1: 0.010154±0.0003, HIT_RATE: 0.055846±0.0016, ARHR: 0.024195±0.0012, RMSE: 1.714623±0.0236, NOVELTY: 0.005057±0.0000, AVERAGE_POPULARITY: 0.734275±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.767459±0.0018, DIVERSITY_HERFINDAHL: 0.976726±0.0002, COVERAGE_ITEM: 0.025293±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134704±0.0010, SHANNON_ENTROPY: 6.238161±0.0074, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 790, 'shrink': 1258, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.149215823343804, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037924±0.0026, PRECISION: 0.005904±0.0003, PRECISION_RECALL_MIN_DEN: 0.059041±0.0030, RECALL: 0.059041±0.0030, MAP: 0.025251±0.0014, MRR: 0.025251±0.0014, NDCG: 0.033127±0.0017, F1: 0.010735±0.0005, HIT_RATE: 0.059041±0.0030, ARHR: 0.025251±0.0014, RMSE: 0.714537±0.0044, NOVELTY: 0.005247±0.0000, AVERAGE_POPULARITY: 0.630202±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.871373±0.0015, DIVERSITY_HERFINDAHL: 0.987115±0.0002, COVERAGE_ITEM: 0.055875±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150946±0.0008, SHANNON_ENTROPY: 7.385068±0.0133, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 2053, 'shrink': 249, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.126394062803486, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035557±0.0016, PRECISION: 0.005503±0.0002, PRECISION_RECALL_MIN_DEN: 0.055034±0.0021, RECALL: 0.055034±0.0021, MAP: 0.023758±0.0009, MRR: 0.023758±0.0009, NDCG: 0.031049±0.0011, F1: 0.010006±0.0004, HIT_RATE: 0.055034±0.0021, ARHR: 0.023758±0.0009, RMSE: 1.847908±0.0242, NOVELTY: 0.005061±0.0000, AVERAGE_POPULARITY: 0.728634±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.773611±0.0012, DIVERSITY_HERFINDAHL: 0.977341±0.0001, COVERAGE_ITEM: 0.023747±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.141845±0.0014, SHANNON_ENTROPY: 6.246341±0.0053, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 2283, 'shrink': 1384, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2607695444003288, 'feature_weighting': 'none'} - results: ROC_AUC: 0.025102±0.0007, PRECISION: 0.003824±0.0001, PRECISION_RECALL_MIN_DEN: 0.038245±0.0014, RECALL: 0.038245±0.0014, MAP: 0.017585±0.0010, MRR: 0.017585±0.0010, NDCG: 0.022390±0.0010, F1: 0.006954±0.0003, HIT_RATE: 0.038245±0.0014, ARHR: 0.017585±0.0010, RMSE: 0.938848±0.0012, NOVELTY: 0.004931±0.0000, AVERAGE_POPULARITY: 0.817169±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.594781±0.0012, DIVERSITY_HERFINDAHL: 0.959463±0.0001, COVERAGE_ITEM: 0.010749±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136844±0.0011, SHANNON_ENTROPY: 5.125877±0.0031, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 563, 'shrink': 929, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7072618996237902, 'feature_weighting': 'none'} - results: ROC_AUC: 0.030603±0.0023, PRECISION: 0.004732±0.0004, PRECISION_RECALL_MIN_DEN: 0.047324±0.0035, RECALL: 0.047324±0.0035, MAP: 0.020857±0.0014, MRR: 0.020857±0.0014, NDCG: 0.027019±0.0018, F1: 0.008604±0.0006, HIT_RATE: 0.047324±0.0035, ARHR: 0.020857±0.0014, RMSE: 0.962842±0.0010, NOVELTY: 0.005073±0.0000, AVERAGE_POPULARITY: 0.713602±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.802261±0.0008, DIVERSITY_HERFINDAHL: 0.980206±0.0001, COVERAGE_ITEM: 0.034269±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122364±0.0013, SHANNON_ENTROPY: 6.512821±0.0046, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 2211, 'shrink': 735, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6050690599958978, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036137±0.0019, PRECISION: 0.005549±0.0001, PRECISION_RECALL_MIN_DEN: 0.055491±0.0015, RECALL: 0.055491±0.0015, MAP: 0.024131±0.0012, MRR: 0.024131±0.0012, NDCG: 0.031451±0.0012, F1: 0.010089±0.0003, HIT_RATE: 0.055491±0.0015, ARHR: 0.024131±0.0012, RMSE: 1.059929±0.0122, NOVELTY: 0.005056±0.0000, AVERAGE_POPULARITY: 0.733850±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.768388±0.0017, DIVERSITY_HERFINDAHL: 0.976819±0.0002, COVERAGE_ITEM: 0.024980±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135018±0.0007, SHANNON_ENTROPY: 6.230540±0.0066, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 2519, 'shrink': 1601, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.7062740445604703, 'feature_weighting': 'none'} - results: ROC_AUC: 0.024099±0.0004, PRECISION: 0.003571±0.0001, PRECISION_RECALL_MIN_DEN: 0.035709±0.0014, RECALL: 0.035709±0.0014, MAP: 0.016944±0.0007, MRR: 0.016944±0.0007, NDCG: 0.021321±0.0007, F1: 0.006493±0.0003, HIT_RATE: 0.035709±0.0014, ARHR: 0.016944±0.0007, RMSE: 0.942634±0.0011, NOVELTY: 0.004912±0.0000, AVERAGE_POPULARITY: 0.833671±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.537171±0.0014, DIVERSITY_HERFINDAHL: 0.953704±0.0001, COVERAGE_ITEM: 0.008521±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.147177±0.0037, SHANNON_ENTROPY: 4.891401±0.0027, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 611, 'shrink': 545, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9251332897042364, 'feature_weighting': 'none'} - results: ROC_AUC: 0.030823±0.0016, PRECISION: 0.004697±0.0003, PRECISION_RECALL_MIN_DEN: 0.046969±0.0028, RECALL: 0.046969±0.0028, MAP: 0.021332±0.0013, MRR: 0.021332±0.0013, NDCG: 0.027300±0.0015, F1: 0.008540±0.0005, HIT_RATE: 0.046969±0.0028, ARHR: 0.021332±0.0013, RMSE: 0.939162±0.0016, NOVELTY: 0.005065±0.0000, AVERAGE_POPULARITY: 0.719300±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.794616±0.0007, DIVERSITY_HERFINDAHL: 0.979441±0.0001, COVERAGE_ITEM: 0.032603±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122031±0.0007, SHANNON_ENTROPY: 6.444988±0.0057, 
