CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 1007, 'shrink': 1247, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.1891582647451386, 'tversky_beta': 1.2389045039445277} - results: ROC_AUC: 0.029352±0.0018, PRECISION: 0.004519±0.0002, PRECISION_RECALL_MIN_DEN: 0.045194±0.0020, RECALL: 0.045194±0.0020, MAP: 0.020165±0.0013, MRR: 0.020165±0.0013, NDCG: 0.025990±0.0014, F1: 0.008217±0.0004, HIT_RATE: 0.045194±0.0020, ARHR: 0.020165±0.0013, RMSE: 0.963422±0.0009, NOVELTY: 0.005015±0.0000, AVERAGE_POPULARITY: 0.753128±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.739858±0.0015, DIVERSITY_HERFINDAHL: 0.973967±0.0002, COVERAGE_ITEM: 0.023996±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120053±0.0018, SHANNON_ENTROPY: 6.017624±0.0053, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1554, 'shrink': 1098, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.2266930502370235, 'tversky_beta': 1.6509755481507886} - results: ROC_AUC: 0.028010±0.0015, PRECISION: 0.004332±0.0002, PRECISION_RECALL_MIN_DEN: 0.043317±0.0021, RECALL: 0.043317±0.0021, MAP: 0.019714±0.0012, MRR: 0.019714±0.0012, NDCG: 0.025186±0.0014, F1: 0.007876±0.0004, HIT_RATE: 0.043317±0.0021, ARHR: 0.019714±0.0012, RMSE: 0.950876±0.0011, NOVELTY: 0.004981±0.0000, AVERAGE_POPULARITY: 0.777770±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.689262±0.0008, DIVERSITY_HERFINDAHL: 0.968909±0.0001, COVERAGE_ITEM: 0.017962±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124259±0.0012, SHANNON_ENTROPY: 5.684027±0.0027, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1458, 'shrink': 669, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.1436045349816504, 'tversky_beta': 1.8285974118779715} - results: ROC_AUC: 0.027999±0.0015, PRECISION: 0.004256±0.0002, PRECISION_RECALL_MIN_DEN: 0.042556±0.0022, RECALL: 0.042556±0.0022, MAP: 0.019565±0.0012, MRR: 0.019565±0.0012, NDCG: 0.024916±0.0014, F1: 0.007738±0.0004, HIT_RATE: 0.042556±0.0022, ARHR: 0.019565±0.0012, RMSE: 0.922916±0.0015, NOVELTY: 0.004985±0.0000, AVERAGE_POPULARITY: 0.774600±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.694788±0.0010, DIVERSITY_HERFINDAHL: 0.969461±0.0001, COVERAGE_ITEM: 0.018794±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122558±0.0011, SHANNON_ENTROPY: 5.722571±0.0059, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 2639, 'shrink': 81, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.631167762336065, 'tversky_beta': 1.1988683389651384} - results: ROC_AUC: 0.027909±0.0012, PRECISION: 0.004164±0.0002, PRECISION_RECALL_MIN_DEN: 0.041643±0.0019, RECALL: 0.041643±0.0019, MAP: 0.019306±0.0010, MRR: 0.019306±0.0010, NDCG: 0.024522±0.0012, F1: 0.007572±0.0003, HIT_RATE: 0.041643±0.0019, ARHR: 0.019306±0.0010, RMSE: 0.770172±0.0037, NOVELTY: 0.004949±0.0000, AVERAGE_POPULARITY: 0.803837±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.644851±0.0010, DIVERSITY_HERFINDAHL: 0.964469±0.0001, COVERAGE_ITEM: 0.012847±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138017±0.0014, SHANNON_ENTROPY: 5.391146±0.0035, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1793, 'shrink': 612, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.20896955951998258, 'tversky_beta': 1.9088506928064923} - results: ROC_AUC: 0.027486±0.0015, PRECISION: 0.004266±0.0003, PRECISION_RECALL_MIN_DEN: 0.042658±0.0026, RECALL: 0.042658±0.0026, MAP: 0.019183±0.0010, MRR: 0.019183±0.0010, NDCG: 0.024626±0.0013, F1: 0.007756±0.0005, HIT_RATE: 0.042658±0.0026, ARHR: 0.019183±0.0010, RMSE: 0.910131±0.0017, NOVELTY: 0.004969±0.0000, AVERAGE_POPULARITY: 0.786688±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.668855±0.0012, DIVERSITY_HERFINDAHL: 0.966869±0.0001, COVERAGE_ITEM: 0.016221±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124937±0.0011, SHANNON_ENTROPY: 5.555775±0.0049, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1120, 'shrink': 763, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.06771177037936572, 'tversky_beta': 1.1796718056857258} - results: ROC_AUC: 0.029042±0.0014, PRECISION: 0.004438±0.0002, PRECISION_RECALL_MIN_DEN: 0.044382±0.0016, RECALL: 0.044382±0.0016, MAP: 0.020158±0.0011, MRR: 0.020158±0.0011, NDCG: 0.025793±0.0012, F1: 0.008070±0.0003, HIT_RATE: 0.044382±0.0016, ARHR: 0.020158±0.0011, RMSE: 0.936195±0.0013, NOVELTY: 0.005005±0.0000, AVERAGE_POPULARITY: 0.760007±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.725874±0.0010, DIVERSITY_HERFINDAHL: 0.972569±0.0001, COVERAGE_ITEM: 0.022525±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119224±0.0016, SHANNON_ENTROPY: 5.923015±0.0057, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 2921, 'shrink': 1182, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.3204085905938325, 'tversky_beta': 1.121847161360378} - results: ROC_AUC: 0.025874±0.0006, PRECISION: 0.003885±0.0001, PRECISION_RECALL_MIN_DEN: 0.038854±0.0014, RECALL: 0.038854±0.0014, MAP: 0.017904±0.0008, MRR: 0.017904±0.0008, NDCG: 0.022790±0.0008, F1: 0.007064±0.0002, HIT_RATE: 0.038854±0.0014, ARHR: 0.017904±0.0008, RMSE: 0.938275±0.0012, NOVELTY: 0.004937±0.0000, AVERAGE_POPULARITY: 0.812470±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.607600±0.0013, DIVERSITY_HERFINDAHL: 0.960745±0.0001, COVERAGE_ITEM: 0.011235±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137969±0.0026, SHANNON_ENTROPY: 5.199627±0.0031, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1980, 'shrink': 1265, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.21811575952244772, 'tversky_beta': 0.7528056680949873} - results: ROC_AUC: 0.026979±0.0012, PRECISION: 0.004205±0.0002, PRECISION_RECALL_MIN_DEN: 0.042049±0.0019, RECALL: 0.042049±0.0019, MAP: 0.018826±0.0010, MRR: 0.018826±0.0010, NDCG: 0.024209±0.0012, F1: 0.007645±0.0003, HIT_RATE: 0.042049±0.0019, ARHR: 0.018826±0.0010, RMSE: 0.947034±0.0011, NOVELTY: 0.004961±0.0000, AVERAGE_POPULARITY: 0.792763±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.655291±0.0008, DIVERSITY_HERFINDAHL: 0.965512±0.0001, COVERAGE_ITEM: 0.015085±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126655±0.0016, SHANNON_ENTROPY: 5.477328±0.0058, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 618, 'shrink': 918, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.7931105508772751, 'tversky_beta': 1.0649740154372527} - results: ROC_AUC: 0.030529±0.0018, PRECISION: 0.004666±0.0003, PRECISION_RECALL_MIN_DEN: 0.046665±0.0032, RECALL: 0.046665±0.0032, MAP: 0.021018±0.0010, MRR: 0.021018±0.0010, NDCG: 0.026992±0.0015, F1: 0.008485±0.0006, HIT_RATE: 0.046665±0.0032, ARHR: 0.021018±0.0010, RMSE: 0.962410±0.0010, NOVELTY: 0.005063±0.0000, AVERAGE_POPULARITY: 0.720399±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.793218±0.0009, DIVERSITY_HERFINDAHL: 0.979302±0.0001, COVERAGE_ITEM: 0.032355±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121585±0.0009, SHANNON_ENTROPY: 6.429683±0.0061, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 651, 'shrink': 1950, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.9558695675788145, 'tversky_beta': 1.495231508090576} - results: ROC_AUC: 0.030034±0.0018, PRECISION: 0.004636±0.0003, PRECISION_RECALL_MIN_DEN: 0.046361±0.0027, RECALL: 0.046361±0.0027, MAP: 0.020933±0.0011, MRR: 0.020933±0.0011, NDCG: 0.026836±0.0014, F1: 0.008429±0.0005, HIT_RATE: 0.046361±0.0027, ARHR: 0.020933±0.0011, RMSE: 0.981321±0.0005, NOVELTY: 0.005057±0.0000, AVERAGE_POPULARITY: 0.724135±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.788232±0.0008, DIVERSITY_HERFINDAHL: 0.978803±0.0001, COVERAGE_ITEM: 0.031241±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121711±0.0009, SHANNON_ENTROPY: 6.385211±0.0030, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 232, 'shrink': 354, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.47784565985887395, 'tversky_beta': 1.4693729425998199} - results: ROC_AUC: 0.030062±0.0021, PRECISION: 0.004641±0.0003, PRECISION_RECALL_MIN_DEN: 0.046411±0.0026, RECALL: 0.046411±0.0026, MAP: 0.020393±0.0011, MRR: 0.020393±0.0011, NDCG: 0.026452±0.0014, F1: 0.008438±0.0005, HIT_RATE: 0.046411±0.0026, ARHR: 0.020393±0.0011, RMSE: 0.956520±0.0011, NOVELTY: 0.005190±0.0000, AVERAGE_POPULARITY: 0.641073±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.876355±0.0004, DIVERSITY_HERFINDAHL: 0.987613±0.0000, COVERAGE_ITEM: 0.058459±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134756±0.0009, SHANNON_ENTROPY: 7.338108±0.0073, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 163, 'shrink': 806, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.012911371586451, 'tversky_beta': 0.9183031688608294} - results: ROC_AUC: 0.027982±0.0023, PRECISION: 0.004357±0.0003, PRECISION_RECALL_MIN_DEN: 0.043571±0.0029, RECALL: 0.043571±0.0029, MAP: 0.019173±0.0017, MRR: 0.019173±0.0017, NDCG: 0.024841±0.0019, F1: 0.007922±0.0005, HIT_RATE: 0.043571±0.0029, ARHR: 0.019173±0.0017, RMSE: 0.982216±0.0007, NOVELTY: 0.005267±0.0000, AVERAGE_POPULARITY: 0.597940±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.905878±0.0006, DIVERSITY_HERFINDAHL: 0.990565±0.0001, COVERAGE_ITEM: 0.076821±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144892±0.0011, SHANNON_ENTROPY: 7.797405±0.0079, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 2700, 'shrink': 378, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.3237139291511564, 'tversky_beta': 0.19944200499422854} - results: ROC_AUC: 0.026923±0.0008, PRECISION: 0.004083±0.0002, PRECISION_RECALL_MIN_DEN: 0.040832±0.0018, RECALL: 0.040832±0.0018, MAP: 0.018816±0.0010, MRR: 0.018816±0.0010, NDCG: 0.023939±0.0011, F1: 0.007424±0.0003, HIT_RATE: 0.040832±0.0018, ARHR: 0.018816±0.0010, RMSE: 0.850129±0.0020, NOVELTY: 0.004942±0.0000, AVERAGE_POPULARITY: 0.808174±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.623731±0.0005, DIVERSITY_HERFINDAHL: 0.962357±0.0001, COVERAGE_ITEM: 0.012133±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136205±0.0020, SHANNON_ENTROPY: 5.288983±0.0032, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1302, 'shrink': 1206, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.6700657326084603, 'tversky_beta': 0.6784193906194055} - results: ROC_AUC: 0.028906±0.0014, PRECISION: 0.004453±0.0002, PRECISION_RECALL_MIN_DEN: 0.044535±0.0021, RECALL: 0.044535±0.0021, MAP: 0.020085±0.0014, MRR: 0.020085±0.0014, NDCG: 0.025764±0.0015, F1: 0.008097±0.0004, HIT_RATE: 0.044535±0.0021, ARHR: 0.020085±0.0014, RMSE: 0.957481±0.0010, NOVELTY: 0.004995±0.0000, AVERAGE_POPULARITY: 0.768005±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.710032±0.0010, DIVERSITY_HERFINDAHL: 0.970985±0.0001, COVERAGE_ITEM: 0.020211±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122842±0.0012, SHANNON_ENTROPY: 5.821999±0.0032, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1786, 'shrink': 1188, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.1671050212767113, 'tversky_beta': 1.6034645428875183} - results: ROC_AUC: 0.027627±0.0014, PRECISION: 0.004271±0.0002, PRECISION_RECALL_MIN_DEN: 0.042709±0.0021, RECALL: 0.042709±0.0021, MAP: 0.019282±0.0009, MRR: 0.019282±0.0009, NDCG: 0.024717±0.0012, F1: 0.007765±0.0004, HIT_RATE: 0.042709±0.0021, ARHR: 0.019282±0.0009, RMSE: 0.950827±0.0011, NOVELTY: 0.004970±0.0000, AVERAGE_POPULARITY: 0.786132±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.671233±0.0010, DIVERSITY_HERFINDAHL: 0.967106±0.0001, COVERAGE_ITEM: 0.016275±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125792±0.0011, SHANNON_ENTROPY: 5.570259±0.0042, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 2008, 'shrink': 1115, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.9442732615781391, 'tversky_beta': 0.6849649891186179} - results: ROC_AUC: 0.027221±0.0012, PRECISION: 0.004245±0.0002, PRECISION_RECALL_MIN_DEN: 0.042455±0.0020, RECALL: 0.042455±0.0020, MAP: 0.019122±0.0011, MRR: 0.019122±0.0011, NDCG: 0.024525±0.0013, F1: 0.007719±0.0004, HIT_RATE: 0.042455±0.0020, ARHR: 0.019122±0.0011, RMSE: 0.942619±0.0012, NOVELTY: 0.004961±0.0000, AVERAGE_POPULARITY: 0.793470±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.654914±0.0008, DIVERSITY_HERFINDAHL: 0.965475±0.0001, COVERAGE_ITEM: 0.014912±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127878±0.0018, SHANNON_ENTROPY: 5.475393±0.0047, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1461, 'shrink': 529, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.9888710488996613, 'tversky_beta': 0.12673844830457484} - results: ROC_AUC: 0.028444±0.0015, PRECISION: 0.004327±0.0002, PRECISION_RECALL_MIN_DEN: 0.043267±0.0017, RECALL: 0.043267±0.0017, MAP: 0.019814±0.0012, MRR: 0.019814±0.0012, NDCG: 0.025273±0.0013, F1: 0.007867±0.0003, HIT_RATE: 0.043267±0.0017, ARHR: 0.019814±0.0012, RMSE: 0.904898±0.0018, NOVELTY: 0.004987±0.0000, AVERAGE_POPULARITY: 0.773853±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.698659±0.0008, DIVERSITY_HERFINDAHL: 0.969848±0.0001, COVERAGE_ITEM: 0.018805±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124439±0.0014, SHANNON_ENTROPY: 5.745611±0.0038, 
