SearchBayesianSkopt: New best config found. Config 0: {'topK': 1773, 'shrink': 1414, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8351832718696455, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0370754, PRECISION: 0.0071724, PRECISION_RECALL_MIN_DEN: 0.0239081, RECALL: 0.0239081, MAP: 0.0078656, MRR: 0.0230082, NDCG: 0.0161411, F1: 0.0110345, HIT_RATE: 0.0717242, ARHR: 0.0233025, RMSE: 0.8545295, NOVELTY: 0.0050006, AVERAGE_POPULARITY: 0.7746772, DIVERSITY_MEAN_INTER_LIST: 0.7185908, DIVERSITY_HERFINDAHL: 0.9718546, COVERAGE_ITEM: 0.0056772, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3331253, SHANNON_ENTROPY: 5.5274329, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 460, 'shrink': 1270, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.556496281558774, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0284672, PRECISION: 0.0054118, PRECISION_RECALL_MIN_DEN: 0.0180392, RECALL: 0.0180392, MAP: 0.0060810, MRR: 0.0178501, NDCG: 0.0123489, F1: 0.0083258, HIT_RATE: 0.0541175, ARHR: 0.0180465, RMSE: 0.9866016, NOVELTY: 0.0052826, AVERAGE_POPULARITY: 0.5685405, DIVERSITY_MEAN_INTER_LIST: 0.8377606, DIVERSITY_HERFINDAHL: 0.9837709, COVERAGE_ITEM: 0.0356853, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1028442, SHANNON_ENTROPY: 6.4684270, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 93, 'shrink': 1750, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.95592598985744, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0078960, PRECISION: 0.0013776, PRECISION_RECALL_MIN_DEN: 0.0045922, RECALL: 0.0045922, MAP: 0.0016799, MRR: 0.0049821, NDCG: 0.0033020, F1: 0.0021195, HIT_RATE: 0.0137765, ARHR: 0.0050110, RMSE: 0.9903697, NOVELTY: 0.0059494, AVERAGE_POPULARITY: 0.1620777, DIVERSITY_MEAN_INTER_LIST: 0.7067252, DIVERSITY_HERFINDAHL: 0.9706682, COVERAGE_ITEM: 0.1188429, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0821939, SHANNON_ENTROPY: 6.7165692, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1701, 'shrink': 77, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.007692720165142887, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0373375, PRECISION: 0.0072033, PRECISION_RECALL_MIN_DEN: 0.0240110, RECALL: 0.0240110, MAP: 0.0080097, MRR: 0.0233666, NDCG: 0.0163165, F1: 0.0110820, HIT_RATE: 0.0720331, ARHR: 0.0236978, RMSE: 0.8597577, NOVELTY: 0.0049681, AVERAGE_POPULARITY: 0.8023257, DIVERSITY_MEAN_INTER_LIST: 0.6664619, DIVERSITY_HERFINDAHL: 0.9666421, COVERAGE_ITEM: 0.0064882, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2494862, SHANNON_ENTROPY: 5.3015058, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1903, 'shrink': 1802, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3547181833185092, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0376159, PRECISION: 0.0072095, PRECISION_RECALL_MIN_DEN: 0.0240316, RECALL: 0.0240316, MAP: 0.0078109, MRR: 0.0228752, NDCG: 0.0161394, F1: 0.0110915, HIT_RATE: 0.0720949, ARHR: 0.0231540, RMSE: 0.9090442, NOVELTY: 0.0050093, AVERAGE_POPULARITY: 0.7670583, DIVERSITY_MEAN_INTER_LIST: 0.7219264, DIVERSITY_HERFINDAHL: 0.9721882, COVERAGE_ITEM: 0.0055691, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3435182, SHANNON_ENTROPY: 5.5423841, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 529, 'shrink': 704, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.216817032524007, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0249459, PRECISION: 0.0046272, PRECISION_RECALL_MIN_DEN: 0.0154239, RECALL: 0.0154239, MAP: 0.0053251, MRR: 0.0156206, NDCG: 0.0106983, F1: 0.0071187, HIT_RATE: 0.0462717, ARHR: 0.0157980, RMSE: 0.9658022, NOVELTY: 0.0054219, AVERAGE_POPULARITY: 0.4895676, DIVERSITY_MEAN_INTER_LIST: 0.8720136, DIVERSITY_HERFINDAHL: 0.9871960, COVERAGE_ITEM: 0.0636388, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0902778, SHANNON_ENTROPY: 7.0012609, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 658, 'shrink': 533, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0375970936663692, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0275388, PRECISION: 0.0051337, PRECISION_RECALL_MIN_DEN: 0.0171125, RECALL: 0.0171125, MAP: 0.0058087, MRR: 0.0170137, NDCG: 0.0117617, F1: 0.0078981, HIT_RATE: 0.0513375, ARHR: 0.0172200, RMSE: 0.9460998, NOVELTY: 0.0053421, AVERAGE_POPULARITY: 0.5387155, DIVERSITY_MEAN_INTER_LIST: 0.8630309, DIVERSITY_HERFINDAHL: 0.9862978, COVERAGE_ITEM: 0.0420654, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1145185, SHANNON_ENTROPY: 6.8208256, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 208, 'shrink': 157, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8049310978538868, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0157431, PRECISION: 0.0028912, PRECISION_RECALL_MIN_DEN: 0.0096374, RECALL: 0.0096374, MAP: 0.0033702, MRR: 0.0099280, NDCG: 0.0067383, F1: 0.0044480, HIT_RATE: 0.0289121, ARHR: 0.0100193, RMSE: 0.9456953, NOVELTY: 0.0057538, AVERAGE_POPULARITY: 0.3169882, DIVERSITY_MEAN_INTER_LIST: 0.8608750, DIVERSITY_HERFINDAHL: 0.9860822, COVERAGE_ITEM: 0.1162476, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0897566, SHANNON_ENTROPY: 7.4846552, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1849, 'shrink': 620, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.13168832795608723, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0370200, PRECISION: 0.0071662, PRECISION_RECALL_MIN_DEN: 0.0238875, RECALL: 0.0238875, MAP: 0.0078480, MRR: 0.0229776, NDCG: 0.0161198, F1: 0.0110250, HIT_RATE: 0.0716624, ARHR: 0.0232608, RMSE: 0.7307873, NOVELTY: 0.0049975, AVERAGE_POPULARITY: 0.7776021, DIVERSITY_MEAN_INTER_LIST: 0.7114193, DIVERSITY_HERFINDAHL: 0.9711375, COVERAGE_ITEM: 0.0054069, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3405915, SHANNON_ENTROPY: 5.4863542, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 761, 'shrink': 1562, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9411082807632536, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0307852, PRECISION: 0.0056280, PRECISION_RECALL_MIN_DEN: 0.0187599, RECALL: 0.0187599, MAP: 0.0065143, MRR: 0.0191109, NDCG: 0.0130624, F1: 0.0086584, HIT_RATE: 0.0562797, ARHR: 0.0193270, RMSE: 0.9249174, NOVELTY: 0.0052667, AVERAGE_POPULARITY: 0.5784405, DIVERSITY_MEAN_INTER_LIST: 0.8467349, DIVERSITY_HERFINDAHL: 0.9846683, COVERAGE_ITEM: 0.0277913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1333029, SHANNON_ENTROPY: 6.5079825, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0294711, PRECISION: 0.0058257, PRECISION_RECALL_MIN_DEN: 0.0194189, RECALL: 0.0194189, MAP: 0.0060686, MRR: 0.0177165, NDCG: 0.0127602, F1: 0.0089626, HIT_RATE: 0.0582566, ARHR: 0.0179612, RMSE: 13.9722343, NOVELTY: 0.0051424, AVERAGE_POPULARITY: 0.6760565, DIVERSITY_MEAN_INTER_LIST: 0.7105900, DIVERSITY_HERFINDAHL: 0.9710546, COVERAGE_ITEM: 0.0196269, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1024178, SHANNON_ENTROPY: 5.6039367, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 2000, 'shrink': 2000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0356716, PRECISION: 0.0067832, PRECISION_RECALL_MIN_DEN: 0.0226107, RECALL: 0.0226107, MAP: 0.0074639, MRR: 0.0218110, NDCG: 0.0153045, F1: 0.0104357, HIT_RATE: 0.0678322, ARHR: 0.0221014, RMSE: 0.9747595, NOVELTY: 0.0050518, AVERAGE_POPULARITY: 0.7374493, DIVERSITY_MEAN_INTER_LIST: 0.6872895, DIVERSITY_HERFINDAHL: 0.9687247, COVERAGE_ITEM: 0.0059476, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2932907, SHANNON_ENTROPY: 5.4083993, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1984, 'shrink': 1939, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.009251130062165382, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0376528, PRECISION: 0.0071292, PRECISION_RECALL_MIN_DEN: 0.0237639, RECALL: 0.0237639, MAP: 0.0079433, MRR: 0.0231532, NDCG: 0.0161795, F1: 0.0109680, HIT_RATE: 0.0712918, ARHR: 0.0234916, RMSE: 0.9924307, NOVELTY: 0.0049613, AVERAGE_POPULARITY: 0.8082396, DIVERSITY_MEAN_INTER_LIST: 0.6508014, DIVERSITY_HERFINDAHL: 0.9650761, COVERAGE_ITEM: 0.0060016, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2557757, SHANNON_ENTROPY: 5.2221804, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1928, 'shrink': 188, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9904405679720094, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0361234, PRECISION: 0.0067956, PRECISION_RECALL_MIN_DEN: 0.0226519, RECALL: 0.0226519, MAP: 0.0076158, MRR: 0.0222905, NDCG: 0.0154883, F1: 0.0104547, HIT_RATE: 0.0679558, ARHR: 0.0225689, RMSE: 0.9752082, NOVELTY: 0.0051076, AVERAGE_POPULARITY: 0.6875858, DIVERSITY_MEAN_INTER_LIST: 0.7761396, DIVERSITY_HERFINDAHL: 0.9776092, COVERAGE_ITEM: 0.0072993, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3309255, SHANNON_ENTROPY: 5.8763263, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1990, 'shrink': 1861, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.05702296697965005, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0369836, PRECISION: 0.0072095, PRECISION_RECALL_MIN_DEN: 0.0240316, RECALL: 0.0240316, MAP: 0.0077735, MRR: 0.0227692, NDCG: 0.0160861, F1: 0.0110915, HIT_RATE: 0.0720949, ARHR: 0.0230449, RMSE: 0.8786690, NOVELTY: 0.0049924, AVERAGE_POPULARITY: 0.7817904, DIVERSITY_MEAN_INTER_LIST: 0.7043378, DIVERSITY_HERFINDAHL: 0.9704294, COVERAGE_ITEM: 0.0054069, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3327544, SHANNON_ENTROPY: 5.4515832, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1972, 'shrink': 97, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.981897244993064, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0329744, PRECISION: 0.0062149, PRECISION_RECALL_MIN_DEN: 0.0207162, RECALL: 0.0207162, MAP: 0.0067883, MRR: 0.0199770, NDCG: 0.0139974, F1: 0.0095613, HIT_RATE: 0.0621486, ARHR: 0.0201709, RMSE: 0.8361142, NOVELTY: 0.0051324, AVERAGE_POPULARITY: 0.6780540, DIVERSITY_MEAN_INTER_LIST: 0.7875134, DIVERSITY_HERFINDAHL: 0.9787465, COVERAGE_ITEM: 0.0132468, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2123558, SHANNON_ENTROPY: 6.1052399, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1952, 'shrink': 1988, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.04130732261168824, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0373220, PRECISION: 0.0072527, PRECISION_RECALL_MIN_DEN: 0.0241758, RECALL: 0.0241758, MAP: 0.0078250, MRR: 0.0228801, NDCG: 0.0161838, F1: 0.0111581, HIT_RATE: 0.0725273, ARHR: 0.0231775, RMSE: 0.9749426, NOVELTY: 0.0049573, AVERAGE_POPULARITY: 0.8122126, DIVERSITY_MEAN_INTER_LIST: 0.6296037, DIVERSITY_HERFINDAHL: 0.9629565, COVERAGE_ITEM: 0.0037848, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3759005, SHANNON_ENTROPY: 5.1032051, 
