SearchBayesianSkopt: New best config found. Config 0: {'topK': 2891, 'shrink': 1, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5217546579681989, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0206282, PRECISION: 0.0037975, PRECISION_RECALL_MIN_DEN: 0.0379747, RECALL: 0.0379747, MAP: 0.0123730, MRR: 0.0123730, NDCG: 0.0182662, F1: 0.0069045, HIT_RATE: 0.0379747, ARHR: 0.0123730, RMSE: 26.4486835, NOVELTY: 0.0053212, AVERAGE_POPULARITY: 0.6916731, DIVERSITY_MEAN_INTER_LIST: 0.7661590, DIVERSITY_HERFINDAHL: 0.9765755, COVERAGE_ITEM: 0.0072452, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3214409, SHANNON_ENTROPY: 5.8378799, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 3300, 'shrink': 1620, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.06829603346430725, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0239100, PRECISION: 0.0044831, PRECISION_RECALL_MIN_DEN: 0.0448312, RECALL: 0.0448312, MAP: 0.0158257, MRR: 0.0158257, NDCG: 0.0224474, F1: 0.0081511, HIT_RATE: 0.0448312, ARHR: 0.0158257, RMSE: 0.9449211, NOVELTY: 0.0049672, AVERAGE_POPULARITY: 0.7968769, DIVERSITY_MEAN_INTER_LIST: 0.6941079, DIVERSITY_HERFINDAHL: 0.9693742, COVERAGE_ITEM: 0.0053528, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3278629, SHANNON_ENTROPY: 5.4217588, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1124, 'shrink': 788, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.717873808591696, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0205696, PRECISION: 0.0036392, PRECISION_RECALL_MIN_DEN: 0.0363924, RECALL: 0.0363924, MAP: 0.0138698, MRR: 0.0138698, NDCG: 0.0190113, F1: 0.0066168, HIT_RATE: 0.0363924, ARHR: 0.0138698, RMSE: 0.9341191, NOVELTY: 0.0054525, AVERAGE_POPULARITY: 0.6737118, DIVERSITY_MEAN_INTER_LIST: 0.7505461, DIVERSITY_HERFINDAHL: 0.9750150, COVERAGE_ITEM: 0.0062179, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3295077, SHANNON_ENTROPY: 5.6153679, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 3228, 'shrink': 829, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.1960647701367862, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0250234, PRECISION: 0.0047468, PRECISION_RECALL_MIN_DEN: 0.0474684, RECALL: 0.0474684, MAP: 0.0158192, MRR: 0.0158192, NDCG: 0.0230558, F1: 0.0086306, HIT_RATE: 0.0474684, ARHR: 0.0158192, RMSE: 0.6746399, NOVELTY: 0.0049533, AVERAGE_POPULARITY: 0.8091646, DIVERSITY_MEAN_INTER_LIST: 0.6778446, DIVERSITY_HERFINDAHL: 0.9677487, COVERAGE_ITEM: 0.0034063, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4739451, SHANNON_ENTROPY: 5.2820291, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 2118, 'shrink': 1273, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7295102677757169, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0261955, PRECISION: 0.0048523, PRECISION_RECALL_MIN_DEN: 0.0485232, RECALL: 0.0485232, MAP: 0.0155645, MRR: 0.0155645, NDCG: 0.0231584, F1: 0.0088224, HIT_RATE: 0.0485232, ARHR: 0.0155645, RMSE: 0.7913241, NOVELTY: 0.0049852, AVERAGE_POPULARITY: 0.7821526, DIVERSITY_MEAN_INTER_LIST: 0.7206486, DIVERSITY_HERFINDAHL: 0.9720269, COVERAGE_ITEM: 0.0044336, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4263777, SHANNON_ENTROPY: 5.5228165, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 2071, 'shrink': 1256, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9233583914846459, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0256095, PRECISION: 0.0047468, PRECISION_RECALL_MIN_DEN: 0.0474684, RECALL: 0.0474684, MAP: 0.0152627, MRR: 0.0152627, NDCG: 0.0226793, F1: 0.0086306, HIT_RATE: 0.0474684, ARHR: 0.0152627, RMSE: 0.7920538, NOVELTY: 0.0049870, AVERAGE_POPULARITY: 0.7804588, DIVERSITY_MEAN_INTER_LIST: 0.7243413, DIVERSITY_HERFINDAHL: 0.9723959, COVERAGE_ITEM: 0.0045958, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4171855, SHANNON_ENTROPY: 5.5427160, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 863, 'shrink': 2763, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6554800375015591, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0171707, PRECISION: 0.0032173, PRECISION_RECALL_MIN_DEN: 0.0321730, RECALL: 0.0321730, MAP: 0.0104190, MRR: 0.0104190, NDCG: 0.0154131, F1: 0.0058496, HIT_RATE: 0.0321730, ARHR: 0.0104190, RMSE: 0.9490786, NOVELTY: 0.0052829, AVERAGE_POPULARITY: 0.6596774, DIVERSITY_MEAN_INTER_LIST: 0.8366605, DIVERSITY_HERFINDAHL: 0.9836219, COVERAGE_ITEM: 0.0186537, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2122595, SHANNON_ENTROPY: 6.5796677, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1008, 'shrink': 1353, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.21798376963696736, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0183427, PRECISION: 0.0033755, PRECISION_RECALL_MIN_DEN: 0.0337553, RECALL: 0.0337553, MAP: 0.0122991, MRR: 0.0122991, NDCG: 0.0171979, F1: 0.0061373, HIT_RATE: 0.0337553, ARHR: 0.0122991, RMSE: 0.9925098, NOVELTY: 0.0051027, AVERAGE_POPULARITY: 0.7579831, DIVERSITY_MEAN_INTER_LIST: 0.7475786, DIVERSITY_HERFINDAHL: 0.9747184, COVERAGE_ITEM: 0.0100027, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2267762, SHANNON_ENTROPY: 5.7952288, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 2975, 'shrink': 2114, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1770421368766433, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0201594, PRECISION: 0.0039030, PRECISION_RECALL_MIN_DEN: 0.0390295, RECALL: 0.0390295, MAP: 0.0122409, MRR: 0.0122409, NDCG: 0.0183772, F1: 0.0070963, HIT_RATE: 0.0390295, ARHR: 0.0122409, RMSE: 0.9636523, NOVELTY: 0.0053003, AVERAGE_POPULARITY: 0.6993611, DIVERSITY_MEAN_INTER_LIST: 0.7581267, DIVERSITY_HERFINDAHL: 0.9757727, COVERAGE_ITEM: 0.0072452, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3136951, SHANNON_ENTROPY: 5.8017204, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1103, 'shrink': 271, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.324444909672982, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0208626, PRECISION: 0.0038502, PRECISION_RECALL_MIN_DEN: 0.0385021, RECALL: 0.0385021, MAP: 0.0132742, MRR: 0.0132742, NDCG: 0.0190421, F1: 0.0070004, HIT_RATE: 0.0385021, ARHR: 0.0132742, RMSE: 0.8445969, NOVELTY: 0.0050539, AVERAGE_POPULARITY: 0.7782966, DIVERSITY_MEAN_INTER_LIST: 0.7220877, DIVERSITY_HERFINDAHL: 0.9721707, COVERAGE_ITEM: 0.0075155, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2611219, SHANNON_ENTROPY: 5.5884804, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1563, 'shrink': 813, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9574725015660182, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0236170, PRECISION: 0.0041139, PRECISION_RECALL_MIN_DEN: 0.0411392, RECALL: 0.0411392, MAP: 0.0153125, MRR: 0.0153125, NDCG: 0.0212355, F1: 0.0074799, HIT_RATE: 0.0411392, ARHR: 0.0153125, RMSE: 0.9192353, NOVELTY: 0.0049289, AVERAGE_POPULARITY: 0.8276505, DIVERSITY_MEAN_INTER_LIST: 0.6609135, DIVERSITY_HERFINDAHL: 0.9660565, COVERAGE_ITEM: 0.0035685, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4210057, SHANNON_ENTROPY: 5.1731727, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 2046, 'shrink': 2504, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7754981055961181, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0227965, PRECISION: 0.0041139, PRECISION_RECALL_MIN_DEN: 0.0411392, RECALL: 0.0411392, MAP: 0.0134866, MRR: 0.0134866, NDCG: 0.0198628, F1: 0.0074799, HIT_RATE: 0.0411392, ARHR: 0.0134866, RMSE: 0.9699693, NOVELTY: 0.0049277, AVERAGE_POPULARITY: 0.8295738, DIVERSITY_MEAN_INTER_LIST: 0.6455296, DIVERSITY_HERFINDAHL: 0.9645189, COVERAGE_ITEM: 0.0031901, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4511515, SHANNON_ENTROPY: 5.1035539, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 2444, 'shrink': 2484, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6802104502656796, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0234998, PRECISION: 0.0041139, PRECISION_RECALL_MIN_DEN: 0.0411392, RECALL: 0.0411392, MAP: 0.0142357, MRR: 0.0142357, NDCG: 0.0204573, F1: 0.0074799, HIT_RATE: 0.0411392, ARHR: 0.0142357, RMSE: 0.8713248, NOVELTY: 0.0053510, AVERAGE_POPULARITY: 0.6832546, DIVERSITY_MEAN_INTER_LIST: 0.7605413, DIVERSITY_HERFINDAHL: 0.9760140, COVERAGE_ITEM: 0.0047580, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4602807, SHANNON_ENTROPY: 5.7194168, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 427, 'shrink': 1357, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.908038469187775, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0108415, PRECISION: 0.0022152, PRECISION_RECALL_MIN_DEN: 0.0221519, RECALL: 0.0221519, MAP: 0.0063955, MRR: 0.0063955, NDCG: 0.0099843, F1: 0.0040276, HIT_RATE: 0.0221519, ARHR: 0.0063955, RMSE: 0.9335062, NOVELTY: 0.0058076, AVERAGE_POPULARITY: 0.5097026, DIVERSITY_MEAN_INTER_LIST: 0.8845651, DIVERSITY_HERFINDAHL: 0.9884099, COVERAGE_ITEM: 0.0364423, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1810077, SHANNON_ENTROPY: 7.2022206, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 3273, 'shrink': 39, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6074339163581669, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0247890, PRECISION: 0.0045886, PRECISION_RECALL_MIN_DEN: 0.0458861, RECALL: 0.0458861, MAP: 0.0158117, MRR: 0.0158117, NDCG: 0.0226777, F1: 0.0083429, HIT_RATE: 0.0458861, ARHR: 0.0158117, RMSE: 1.7631165, NOVELTY: 0.0049121, AVERAGE_POPULARITY: 0.8447313, DIVERSITY_MEAN_INTER_LIST: 0.5910458, DIVERSITY_HERFINDAHL: 0.9590734, COVERAGE_ITEM: 0.0025953, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4851330, SHANNON_ENTROPY: 4.9073978, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 989, 'shrink': 500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.687524141452575, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0193976, PRECISION: 0.0032700, PRECISION_RECALL_MIN_DEN: 0.0327004, RECALL: 0.0327004, MAP: 0.0123453, MRR: 0.0123453, NDCG: 0.0170450, F1: 0.0059455, HIT_RATE: 0.0327004, ARHR: 0.0123453, RMSE: 0.7734814, NOVELTY: 0.0052260, AVERAGE_POPULARITY: 0.6903868, DIVERSITY_MEAN_INTER_LIST: 0.8178735, DIVERSITY_HERFINDAHL: 0.9817442, COVERAGE_ITEM: 0.0131928, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2392612, SHANNON_ENTROPY: 6.2767312, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 730, 'shrink': 545, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.899863404278634, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0164088, PRECISION: 0.0029008, PRECISION_RECALL_MIN_DEN: 0.0290084, RECALL: 0.0290084, MAP: 0.0097295, MRR: 0.0097295, NDCG: 0.0141967, F1: 0.0052743, HIT_RATE: 0.0290084, ARHR: 0.0097295, RMSE: 0.8187178, NOVELTY: 0.0054352, AVERAGE_POPULARITY: 0.6186589, DIVERSITY_MEAN_INTER_LIST: 0.8433193, DIVERSITY_HERFINDAHL: 0.9842874, COVERAGE_ITEM: 0.0153555, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2419420, SHANNON_ENTROPY: 6.5157922, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 3960, 'shrink': 1132, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8104322399753419, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0212729, PRECISION: 0.0040084, PRECISION_RECALL_MIN_DEN: 0.0400844, RECALL: 0.0400844, MAP: 0.0133962, MRR: 0.0133962, NDCG: 0.0195000, F1: 0.0072881, HIT_RATE: 0.0400844, ARHR: 0.0133962, RMSE: 0.9158001, NOVELTY: 0.0052107, AVERAGE_POPULARITY: 0.7356496, DIVERSITY_MEAN_INTER_LIST: 0.7216122, DIVERSITY_HERFINDAHL: 0.9721232, COVERAGE_ITEM: 0.0064882, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3049325, SHANNON_ENTROPY: 5.5969353, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 2384, 'shrink': 1351, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5937496943021653, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0247304, PRECISION: 0.0045886, PRECISION_RECALL_MIN_DEN: 0.0458861, RECALL: 0.0458861, MAP: 0.0146120, MRR: 0.0146120, NDCG: 0.0218013, F1: 0.0083429, HIT_RATE: 0.0458861, ARHR: 0.0146120, RMSE: 0.7499920, NOVELTY: 0.0049666, AVERAGE_POPULARITY: 0.7969330, DIVERSITY_MEAN_INTER_LIST: 0.7078974, DIVERSITY_HERFINDAHL: 0.9707524, COVERAGE_ITEM: 0.0041092, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4317113, SHANNON_ENTROPY: 5.4252750, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1828, 'shrink': 633, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3492426273651628, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0229137, PRECISION: 0.0040084, PRECISION_RECALL_MIN_DEN: 0.0400844, RECALL: 0.0400844, MAP: 0.0136708, MRR: 0.0136708, NDCG: 0.0197864, F1: 0.0072881, HIT_RATE: 0.0400844, ARHR: 0.0136708, RMSE: 0.8913282, NOVELTY: 0.0049309, AVERAGE_POPULARITY: 0.8264053, DIVERSITY_MEAN_INTER_LIST: 0.6572718, DIVERSITY_HERFINDAHL: 0.9656925, COVERAGE_ITEM: 0.0032441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4585114, SHANNON_ENTROPY: 5.1544741, 
