SearchBayesianSkopt: New best config found. Config 0: {'topK': 2065, 'shrink': 736, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7095567431542407, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0419337, PRECISION: 0.0077686, PRECISION_RECALL_MIN_DEN: 0.0293388, RECALL: 0.0293388, MAP: 0.0109033, MRR: 0.0271460, NDCG: 0.0200413, F1: 0.0122844, HIT_RATE: 0.0776860, ARHR: 0.0277856, RMSE: 0.8001754, NOVELTY: 0.0050177, AVERAGE_POPULARITY: 0.7643450, DIVERSITY_MEAN_INTER_LIST: 0.7595630, DIVERSITY_HERFINDAHL: 0.9759406, COVERAGE_ITEM: 0.0060557, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3701711, SHANNON_ENTROPY: 5.7802861, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 88, 'shrink': 2178, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2999389800657651, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0165103, PRECISION: 0.0029959, PRECISION_RECALL_MIN_DEN: 0.0115702, RECALL: 0.0115702, MAP: 0.0043468, MRR: 0.0109439, NDCG: 0.0079371, F1: 0.0047594, HIT_RATE: 0.0299587, ARHR: 0.0110747, RMSE: 0.9997526, NOVELTY: 0.0061553, AVERAGE_POPULARITY: 0.3518514, DIVERSITY_MEAN_INTER_LIST: 0.9304272, DIVERSITY_HERFINDAHL: 0.9930235, COVERAGE_ITEM: 0.1434982, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1806416, SHANNON_ENTROPY: 8.7409379, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 2140, 'shrink': 2216, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3887388684729671, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0409776, PRECISION: 0.0075000, PRECISION_RECALL_MIN_DEN: 0.0283058, RECALL: 0.0283058, MAP: 0.0105347, MRR: 0.0260074, NDCG: 0.0193345, F1: 0.0118580, HIT_RATE: 0.0750000, ARHR: 0.0267692, RMSE: 0.9282691, NOVELTY: 0.0051882, AVERAGE_POPULARITY: 0.7023611, DIVERSITY_MEAN_INTER_LIST: 0.7869363, DIVERSITY_HERFINDAHL: 0.9786774, COVERAGE_ITEM: 0.0171398, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1792449, SHANNON_ENTROPY: 6.2045351, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 553, 'shrink': 786, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7006173267449624, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0400869, PRECISION: 0.0075207, PRECISION_RECALL_MIN_DEN: 0.0285124, RECALL: 0.0285124, MAP: 0.0099311, MRR: 0.0249205, NDCG: 0.0188354, F1: 0.0119020, HIT_RATE: 0.0752066, ARHR: 0.0255770, RMSE: 0.9798354, NOVELTY: 0.0050684, AVERAGE_POPULARITY: 0.7299811, DIVERSITY_MEAN_INTER_LIST: 0.8128012, DIVERSITY_HERFINDAHL: 0.9812633, COVERAGE_ITEM: 0.0136794, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2274614, SHANNON_ENTROPY: 6.2607446, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 2398, 'shrink': 59, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6090900546757623, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0378659, PRECISION: 0.0073967, PRECISION_RECALL_MIN_DEN: 0.0283402, RECALL: 0.0283402, MAP: 0.0098236, MRR: 0.0250560, NDCG: 0.0186643, F1: 0.0117315, HIT_RATE: 0.0739669, ARHR: 0.0255636, RMSE: 1.1549591, NOVELTY: 0.0051627, AVERAGE_POPULARITY: 0.7109336, DIVERSITY_MEAN_INTER_LIST: 0.7525875, DIVERSITY_HERFINDAHL: 0.9752432, COVERAGE_ITEM: 0.0122195, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2230624, SHANNON_ENTROPY: 6.0022053, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 3578, 'shrink': 2068, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9801406143206768, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0440111, PRECISION: 0.0083264, PRECISION_RECALL_MIN_DEN: 0.0317837, RECALL: 0.0317837, MAP: 0.0113698, MRR: 0.0282327, NDCG: 0.0212149, F1: 0.0131959, HIT_RATE: 0.0832645, ARHR: 0.0289997, RMSE: 0.8886071, NOVELTY: 0.0049893, AVERAGE_POPULARITY: 0.7854583, DIVERSITY_MEAN_INTER_LIST: 0.6977827, DIVERSITY_HERFINDAHL: 0.9697638, COVERAGE_ITEM: 0.0039470, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4486671, SHANNON_ENTROPY: 5.4224681, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 2352, 'shrink': 1035, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.1797785500524978, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0422521, PRECISION: 0.0079545, PRECISION_RECALL_MIN_DEN: 0.0304063, RECALL: 0.0304063, MAP: 0.0103705, MRR: 0.0260818, NDCG: 0.0198393, F1: 0.0126102, HIT_RATE: 0.0795455, ARHR: 0.0267365, RMSE: 0.9843890, NOVELTY: 0.0049423, AVERAGE_POPULARITY: 0.8271097, DIVERSITY_MEAN_INTER_LIST: 0.6342361, DIVERSITY_HERFINDAHL: 0.9634105, COVERAGE_ITEM: 0.0051365, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2846556, SHANNON_ENTROPY: 5.1464310, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 2114, 'shrink': 316, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9640538177374953, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0415431, PRECISION: 0.0077686, PRECISION_RECALL_MIN_DEN: 0.0293733, RECALL: 0.0293733, MAP: 0.0106176, MRR: 0.0267014, NDCG: 0.0198052, F1: 0.0122874, HIT_RATE: 0.0776860, ARHR: 0.0272956, RMSE: 0.8548659, NOVELTY: 0.0049460, AVERAGE_POPULARITY: 0.8233694, DIVERSITY_MEAN_INTER_LIST: 0.6536187, DIVERSITY_HERFINDAHL: 0.9653484, COVERAGE_ITEM: 0.0030819, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4760808, SHANNON_ENTROPY: 5.1290796, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 995, 'shrink': 1898, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9147216047931568, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0358549, PRECISION: 0.0067355, PRECISION_RECALL_MIN_DEN: 0.0256198, RECALL: 0.0256198, MAP: 0.0089539, MRR: 0.0222954, NDCG: 0.0169106, F1: 0.0106668, HIT_RATE: 0.0673554, ARHR: 0.0228929, RMSE: 0.9846583, NOVELTY: 0.0052063, AVERAGE_POPULARITY: 0.6651393, DIVERSITY_MEAN_INTER_LIST: 0.8295594, DIVERSITY_HERFINDAHL: 0.9829388, COVERAGE_ITEM: 0.0274669, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1665811, SHANNON_ENTROPY: 6.6891319, 
SearchBayesianSkopt: New best config found. Config 21: {'topK': 3372, 'shrink': 1086, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5033071260303803, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0452481, PRECISION: 0.0083678, PRECISION_RECALL_MIN_DEN: 0.0319559, RECALL: 0.0319559, MAP: 0.0117277, MRR: 0.0294087, NDCG: 0.0216764, F1: 0.0132627, HIT_RATE: 0.0836777, ARHR: 0.0300658, RMSE: 0.8141911, NOVELTY: 0.0049937, AVERAGE_POPULARITY: 0.7815144, DIVERSITY_MEAN_INTER_LIST: 0.7029619, DIVERSITY_HERFINDAHL: 0.9702817, COVERAGE_ITEM: 0.0041633, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4342981, SHANNON_ENTROPY: 5.4555296, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 3597, 'shrink': 930, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4433991544003286, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0424003, PRECISION: 0.0079959, PRECISION_RECALL_MIN_DEN: 0.0304408, RECALL: 0.0304408, MAP: 0.0105695, MRR: 0.0261955, NDCG: 0.0200072, F1: 0.0126650, HIT_RATE: 0.0799587, ARHR: 0.0268566, RMSE: 0.9313595, NOVELTY: 0.0049373, AVERAGE_POPULARITY: 0.8321236, DIVERSITY_MEAN_INTER_LIST: 0.6203682, DIVERSITY_HERFINDAHL: 0.9620240, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4608597, SHANNON_ENTROPY: 5.0401862, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 2788, 'shrink': 993, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9738309015352011, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0440878, PRECISION: 0.0080992, PRECISION_RECALL_MIN_DEN: 0.0307163, RECALL: 0.0307163, MAP: 0.0112111, MRR: 0.0281579, NDCG: 0.0208206, F1: 0.0128184, HIT_RATE: 0.0809917, ARHR: 0.0288841, RMSE: 0.8235504, NOVELTY: 0.0050044, AVERAGE_POPULARITY: 0.7728692, DIVERSITY_MEAN_INTER_LIST: 0.7202361, DIVERSITY_HERFINDAHL: 0.9720087, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4304545, SHANNON_ENTROPY: 5.5547604, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 2508, 'shrink': 1941, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4299485558674099, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0421100, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0298554, RECALL: 0.0298554, MAP: 0.0103303, MRR: 0.0261828, NDCG: 0.0196846, F1: 0.0124070, HIT_RATE: 0.0783058, ARHR: 0.0266941, RMSE: 0.9914481, NOVELTY: 0.0049868, AVERAGE_POPULARITY: 0.7977312, DIVERSITY_MEAN_INTER_LIST: 0.6784764, DIVERSITY_HERFINDAHL: 0.9678336, COVERAGE_ITEM: 0.0072452, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2487922, SHANNON_ENTROPY: 5.4562596, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1779, 'shrink': 2425, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8966028645650217, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0395676, PRECISION: 0.0071694, PRECISION_RECALL_MIN_DEN: 0.0272039, RECALL: 0.0272039, MAP: 0.0101614, MRR: 0.0256608, NDCG: 0.0186879, F1: 0.0113481, HIT_RATE: 0.0716942, ARHR: 0.0261856, RMSE: 0.9949054, NOVELTY: 0.0052016, AVERAGE_POPULARITY: 0.7323832, DIVERSITY_MEAN_INTER_LIST: 0.7366223, DIVERSITY_HERFINDAHL: 0.9736470, COVERAGE_ITEM: 0.0132468, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1742434, SHANNON_ENTROPY: 5.8054237, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 3988, 'shrink': 1153, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3121974455092951, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0411341, PRECISION: 0.0079752, PRECISION_RECALL_MIN_DEN: 0.0300275, RECALL: 0.0300275, MAP: 0.0104845, MRR: 0.0263376, NDCG: 0.0198466, F1: 0.0126031, HIT_RATE: 0.0797521, ARHR: 0.0269555, RMSE: 0.7306300, NOVELTY: 0.0049610, AVERAGE_POPULARITY: 0.8128568, DIVERSITY_MEAN_INTER_LIST: 0.6502865, DIVERSITY_HERFINDAHL: 0.9650152, COVERAGE_ITEM: 0.0034063, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4486034, SHANNON_ENTROPY: 5.2060812, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 3487, 'shrink': 742, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.12680344519219802, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0400783, PRECISION: 0.0078512, PRECISION_RECALL_MIN_DEN: 0.0296143, RECALL: 0.0296143, MAP: 0.0102362, MRR: 0.0254914, NDCG: 0.0194265, F1: 0.0124119, HIT_RATE: 0.0785124, ARHR: 0.0261849, RMSE: 0.6990426, NOVELTY: 0.0049675, AVERAGE_POPULARITY: 0.8062631, DIVERSITY_MEAN_INTER_LIST: 0.6767309, DIVERSITY_HERFINDAHL: 0.9676591, COVERAGE_ITEM: 0.0034604, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4730324, SHANNON_ENTROPY: 5.3045415, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 1733, 'shrink': 1006, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.374403614205473, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0409858, PRECISION: 0.0081198, PRECISION_RECALL_MIN_DEN: 0.0306818, RECALL: 0.0306818, MAP: 0.0103820, MRR: 0.0262857, NDCG: 0.0199567, F1: 0.0128413, HIT_RATE: 0.0811983, ARHR: 0.0269838, RMSE: 0.8785479, NOVELTY: 0.0050699, AVERAGE_POPULARITY: 0.7261386, DIVERSITY_MEAN_INTER_LIST: 0.7837113, DIVERSITY_HERFINDAHL: 0.9783549, COVERAGE_ITEM: 0.0085969, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3067446, SHANNON_ENTROPY: 6.0171804, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 2848, 'shrink': 2851, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4606323826345011, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0426596, PRECISION: 0.0077893, PRECISION_RECALL_MIN_DEN: 0.0295799, RECALL: 0.0295799, MAP: 0.0104733, MRR: 0.0262867, NDCG: 0.0197333, F1: 0.0123313, HIT_RATE: 0.0778926, ARHR: 0.0268227, RMSE: 0.9801871, NOVELTY: 0.0049410, AVERAGE_POPULARITY: 0.8287501, DIVERSITY_MEAN_INTER_LIST: 0.6334719, DIVERSITY_HERFINDAHL: 0.9633341, COVERAGE_ITEM: 0.0032982, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4304479, SHANNON_ENTROPY: 5.0948559, 
