SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 377, 'regularization': 0.024969122281077442, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 77.53165645311009} - results: ROC_AUC: 0.0248662, PRECISION: 0.0038716, PRECISION_RECALL_MIN_DEN: 0.0387158, RECALL: 0.0387158, MAP: 0.0153567, MRR: 0.0153567, NDCG: 0.0208394, F1: 0.0070392, HIT_RATE: 0.0387158, ARHR: 0.0153567, RMSE: 0.8777848, NOVELTY: 0.0059935, AVERAGE_POPULARITY: 0.2748989, DIVERSITY_MEAN_INTER_LIST: 0.9899894, DIVERSITY_HERFINDAHL: 0.9989756, COVERAGE_ITEM: 0.1690187, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3469226, SHANNON_ENTROPY: 10.4966685, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 468, 'regularization': 32.68189568879789, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.04363840687475775} - results: ROC_AUC: 0.0034362, PRECISION: 0.0007082, PRECISION_RECALL_MIN_DEN: 0.0070822, RECALL: 0.0070822, MAP: 0.0019035, MRR: 0.0019035, NDCG: 0.0030871, F1: 0.0012877, HIT_RATE: 0.0070822, ARHR: 0.0019035, RMSE: 1.0000000, NOVELTY: 0.0056988, AVERAGE_POPULARITY: 0.3004317, DIVERSITY_MEAN_INTER_LIST: 0.0535765, DIVERSITY_HERFINDAHL: 0.9053564, COVERAGE_ITEM: 0.0009192, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6298316, SHANNON_ENTROPY: 3.4432417, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_factors': 312, 'regularization': 18.863283133299337, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.0187622552987668} - results: ROC_AUC: 0.0007607, PRECISION: 0.0001416, PRECISION_RECALL_MIN_DEN: 0.0014164, RECALL: 0.0014164, MAP: 0.0003312, MRR: 0.0003312, NDCG: 0.0005849, F1: 0.0002575, HIT_RATE: 0.0014164, ARHR: 0.0003312, RMSE: 1.0000000, NOVELTY: 0.0067501, AVERAGE_POPULARITY: 0.0827293, DIVERSITY_MEAN_INTER_LIST: 0.0158521, DIVERSITY_HERFINDAHL: 0.9015848, COVERAGE_ITEM: 0.0007029, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7916667, SHANNON_ENTROPY: 3.3664497, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'num_factors': 310, 'regularization': 0.45781843623758756, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 78.00542474275659} - results: ROC_AUC: 0.0241580, PRECISION: 0.0038480, PRECISION_RECALL_MIN_DEN: 0.0384797, RECALL: 0.0384797, MAP: 0.0150578, MRR: 0.0150578, NDCG: 0.0205284, F1: 0.0069963, HIT_RATE: 0.0384797, ARHR: 0.0150578, RMSE: 0.8625064, NOVELTY: 0.0059271, AVERAGE_POPULARITY: 0.2928986, DIVERSITY_MEAN_INTER_LIST: 0.9886329, DIVERSITY_HERFINDAHL: 0.9988399, COVERAGE_ITEM: 0.1524196, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3421087, SHANNON_ENTROPY: 10.3265055, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'num_factors': 522, 'regularization': 87.0515695462072, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.882005543664246} - results: ROC_AUC: 0.0103609, PRECISION: 0.0019358, PRECISION_RECALL_MIN_DEN: 0.0193579, RECALL: 0.0193579, MAP: 0.0061618, MRR: 0.0061618, NDCG: 0.0091925, F1: 0.0035196, HIT_RATE: 0.0193579, ARHR: 0.0061618, RMSE: 1.0000000, NOVELTY: 0.0048660, AVERAGE_POPULARITY: 0.8739535, DIVERSITY_MEAN_INTER_LIST: 0.1328688, DIVERSITY_HERFINDAHL: 0.9132837, COVERAGE_ITEM: 0.0017843, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3536855, SHANNON_ENTROPY: 3.6099307, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_factors': 537, 'regularization': 0.02270634116638857, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.11772696193939834} - results: ROC_AUC: 0.0145053, PRECISION: 0.0021483, PRECISION_RECALL_MIN_DEN: 0.0214825, RECALL: 0.0214825, MAP: 0.0098242, MRR: 0.0098242, NDCG: 0.0125589, F1: 0.0039059, HIT_RATE: 0.0214825, ARHR: 0.0098242, RMSE: 0.9987488, NOVELTY: 0.0063949, AVERAGE_POPULARITY: 0.1279822, DIVERSITY_MEAN_INTER_LIST: 0.9798986, DIVERSITY_HERFINDAHL: 0.9979667, COVERAGE_ITEM: 0.0882941, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3152669, SHANNON_ENTROPY: 9.4375418, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_factors': 457, 'regularization': 0.11084323232817157, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 5.597131343335867} - results: ROC_AUC: 0.0344665, PRECISION: 0.0051700, PRECISION_RECALL_MIN_DEN: 0.0516997, RECALL: 0.0516997, MAP: 0.0232279, MRR: 0.0232279, NDCG: 0.0299024, F1: 0.0093999, HIT_RATE: 0.0516997, ARHR: 0.0232279, RMSE: 0.9344727, NOVELTY: 0.0060562, AVERAGE_POPULARITY: 0.2300927, DIVERSITY_MEAN_INTER_LIST: 0.9908205, DIVERSITY_HERFINDAHL: 0.9990587, COVERAGE_ITEM: 0.1213842, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4458756, SHANNON_ENTROPY: 10.3828457, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'num_factors': 507, 'regularization': 2.223745813231235, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 4.88307857473943} - results: ROC_AUC: 0.0356993, PRECISION: 0.0051936, PRECISION_RECALL_MIN_DEN: 0.0519358, RECALL: 0.0519358, MAP: 0.0245447, MRR: 0.0245447, NDCG: 0.0309880, F1: 0.0094429, HIT_RATE: 0.0519358, ARHR: 0.0245447, RMSE: 0.9427598, NOVELTY: 0.0061112, AVERAGE_POPULARITY: 0.2114708, DIVERSITY_MEAN_INTER_LIST: 0.9913050, DIVERSITY_HERFINDAHL: 0.9991071, COVERAGE_ITEM: 0.1237091, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4589658, SHANNON_ENTROPY: 10.4476522, 
SearchBayesianSkopt: New best config found. Config 18: {'num_factors': 498, 'regularization': 22.214299296360707, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 2.7277435299298536} - results: ROC_AUC: 0.0425191, PRECISION: 0.0063503, PRECISION_RECALL_MIN_DEN: 0.0635033, RECALL: 0.0635033, MAP: 0.0286048, MRR: 0.0286048, NDCG: 0.0367671, F1: 0.0115461, HIT_RATE: 0.0635033, ARHR: 0.0286048, RMSE: 0.9595512, NOVELTY: 0.0058988, AVERAGE_POPULARITY: 0.2719079, DIVERSITY_MEAN_INTER_LIST: 0.9839751, DIVERSITY_HERFINDAHL: 0.9983743, COVERAGE_ITEM: 0.0711544, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4606726, SHANNON_ENTROPY: 9.6398034, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'num_factors': 446, 'regularization': 0.024933830486480534, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.272030833993535} - results: ROC_AUC: 0.0171545, PRECISION: 0.0024551, PRECISION_RECALL_MIN_DEN: 0.0245515, RECALL: 0.0245515, MAP: 0.0118781, MRR: 0.0118781, NDCG: 0.0148706, F1: 0.0044639, HIT_RATE: 0.0245515, ARHR: 0.0118781, RMSE: 0.9966078, NOVELTY: 0.0063062, AVERAGE_POPULARITY: 0.1429798, DIVERSITY_MEAN_INTER_LIST: 0.9784441, DIVERSITY_HERFINDAHL: 0.9978213, COVERAGE_ITEM: 0.0768856, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3309841, SHANNON_ENTROPY: 9.3089705, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'num_factors': 550, 'regularization': 200.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 100.0} - results: ROC_AUC: 0.0356993, PRECISION: 0.0058310, PRECISION_RECALL_MIN_DEN: 0.0583097, RECALL: 0.0583097, MAP: 0.0227921, MRR: 0.0227921, NDCG: 0.0310423, F1: 0.0106018, HIT_RATE: 0.0583097, ARHR: 0.0227921, RMSE: 0.8111157, NOVELTY: 0.0056373, AVERAGE_POPULARITY: 0.4065702, DIVERSITY_MEAN_INTER_LIST: 0.9739612, DIVERSITY_HERFINDAHL: 0.9973731, COVERAGE_ITEM: 0.1065693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2620849, SHANNON_ENTROPY: 9.3618918, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'num_factors': 550, 'regularization': 20.84811220903913, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 100.0} - results: ROC_AUC: 0.0305057, PRECISION: 0.0049103, PRECISION_RECALL_MIN_DEN: 0.0491029, RECALL: 0.0491029, MAP: 0.0211840, MRR: 0.0211840, NDCG: 0.0276334, F1: 0.0089278, HIT_RATE: 0.0491029, ARHR: 0.0211840, RMSE: 0.8919834, NOVELTY: 0.0060963, AVERAGE_POPULARITY: 0.2531013, DIVERSITY_MEAN_INTER_LIST: 0.9913006, DIVERSITY_HERFINDAHL: 0.9991067, COVERAGE_ITEM: 0.2081644, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3349911, SHANNON_ENTROPY: 10.7344042, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'num_factors': 550, 'regularization': 3.790028979620702, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 10.626145611184713} - results: ROC_AUC: 0.0344402, PRECISION: 0.0052408, PRECISION_RECALL_MIN_DEN: 0.0524079, RECALL: 0.0524079, MAP: 0.0235344, MRR: 0.0235344, NDCG: 0.0302647, F1: 0.0095287, HIT_RATE: 0.0524079, ARHR: 0.0235344, RMSE: 0.9280167, NOVELTY: 0.0061237, AVERAGE_POPULARITY: 0.2227238, DIVERSITY_MEAN_INTER_LIST: 0.9920327, DIVERSITY_HERFINDAHL: 0.9991798, COVERAGE_ITEM: 0.1530684, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4223177, SHANNON_ENTROPY: 10.6470776, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'num_factors': 423, 'regularization': 0.013655167066549408, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.01066282405166548} - results: ROC_AUC: 0.0117249, PRECISION: 0.0018886, PRECISION_RECALL_MIN_DEN: 0.0188857, RECALL: 0.0188857, MAP: 0.0076583, MRR: 0.0076583, NDCG: 0.0102635, F1: 0.0034338, HIT_RATE: 0.0188857, ARHR: 0.0076583, RMSE: 0.9998200, NOVELTY: 0.0058973, AVERAGE_POPULARITY: 0.2612234, DIVERSITY_MEAN_INTER_LIST: 0.9421684, DIVERSITY_HERFINDAHL: 0.9941946, COVERAGE_ITEM: 0.0394701, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2815539, SHANNON_ENTROPY: 8.0840376, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'num_factors': 522, 'regularization': 0.010249377692472101, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 7.27584922088598} - results: ROC_AUC: 0.0354632, PRECISION: 0.0053352, PRECISION_RECALL_MIN_DEN: 0.0533522, RECALL: 0.0533522, MAP: 0.0242867, MRR: 0.0242867, NDCG: 0.0310705, F1: 0.0097004, HIT_RATE: 0.0533522, ARHR: 0.0242867, RMSE: 0.9333757, NOVELTY: 0.0061174, AVERAGE_POPULARITY: 0.2179972, DIVERSITY_MEAN_INTER_LIST: 0.9918609, DIVERSITY_HERFINDAHL: 0.9991627, COVERAGE_ITEM: 0.1411192, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4369131, SHANNON_ENTROPY: 10.5752031, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'num_factors': 326, 'regularization': 199.78732215787676, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 95.84878859817475} - results: ROC_AUC: 0.0310828, PRECISION: 0.0050519, PRECISION_RECALL_MIN_DEN: 0.0505194, RECALL: 0.0505194, MAP: 0.0190328, MRR: 0.0190328, NDCG: 0.0263751, F1: 0.0091853, HIT_RATE: 0.0505194, ARHR: 0.0190328, RMSE: 0.7910955, NOVELTY: 0.0056027, AVERAGE_POPULARITY: 0.4138854, DIVERSITY_MEAN_INTER_LIST: 0.9737185, DIVERSITY_HERFINDAHL: 0.9973489, COVERAGE_ITEM: 0.0979184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2672624, SHANNON_ENTROPY: 9.2914446, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'num_factors': 550, 'regularization': 0.7982232322318594, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 10.872634570035293} - results: ROC_AUC: 0.0343353, PRECISION: 0.0053352, PRECISION_RECALL_MIN_DEN: 0.0533522, RECALL: 0.0533522, MAP: 0.0225835, MRR: 0.0225835, NDCG: 0.0297695, F1: 0.0097004, HIT_RATE: 0.0533522, ARHR: 0.0225835, RMSE: 0.9279961, NOVELTY: 0.0061437, AVERAGE_POPULARITY: 0.2168761, DIVERSITY_MEAN_INTER_LIST: 0.9923269, DIVERSITY_HERFINDAHL: 0.9992093, COVERAGE_ITEM: 0.1577183, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4235203, SHANNON_ENTROPY: 10.6945207, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'num_factors': 520, 'regularization': 0.010634323573064635, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 4.931230493279083} - results: ROC_AUC: 0.0344402, PRECISION: 0.0050047, PRECISION_RECALL_MIN_DEN: 0.0500472, RECALL: 0.0500472, MAP: 0.0237894, MRR: 0.0237894, NDCG: 0.0299600, F1: 0.0090995, HIT_RATE: 0.0500472, ARHR: 0.0237894, RMSE: 0.9431431, NOVELTY: 0.0061331, AVERAGE_POPULARITY: 0.2063364, DIVERSITY_MEAN_INTER_LIST: 0.9916923, DIVERSITY_HERFINDAHL: 0.9991458, COVERAGE_ITEM: 0.1287916, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4603275, SHANNON_ENTROPY: 10.5092682, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'num_factors': 550, 'regularization': 0.01, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 5.1388138742599745} - results: ROC_AUC: 0.0343091, PRECISION: 0.0050519, PRECISION_RECALL_MIN_DEN: 0.0505194, RECALL: 0.0505194, MAP: 0.0234321, MRR: 0.0234321, NDCG: 0.0297802, F1: 0.0091853, HIT_RATE: 0.0505194, ARHR: 0.0234321, RMSE: 0.9440174, NOVELTY: 0.0061641, AVERAGE_POPULARITY: 0.1989615, DIVERSITY_MEAN_INTER_LIST: 0.9920760, DIVERSITY_HERFINDAHL: 0.9991842, COVERAGE_ITEM: 0.1345769, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4627324, SHANNON_ENTROPY: 10.5808831, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'num_factors': 550, 'regularization': 0.5230579290954845, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 9.921944616029878} - results: ROC_AUC: 0.0340730, PRECISION: 0.0052644, PRECISION_RECALL_MIN_DEN: 0.0526440, RECALL: 0.0526440, MAP: 0.0230911, MRR: 0.0230911, NDCG: 0.0299716, F1: 0.0095716, HIT_RATE: 0.0526440, ARHR: 0.0230911, RMSE: 0.9307357, NOVELTY: 0.0061483, AVERAGE_POPULARITY: 0.2143964, DIVERSITY_MEAN_INTER_LIST: 0.9923502, DIVERSITY_HERFINDAHL: 0.9992116, COVERAGE_ITEM: 0.1562044, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4275143, SHANNON_ENTROPY: 10.6934429, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'num_factors': 515, 'regularization': 0.010026282774478477, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 91.83463597298005} - results: ROC_AUC: 0.0296139, PRECISION: 0.0044618, PRECISION_RECALL_MIN_DEN: 0.0446176, RECALL: 0.0446176, MAP: 0.0187728, MRR: 0.0187728, NDCG: 0.0248670, F1: 0.0081123, HIT_RATE: 0.0446176, ARHR: 0.0187728, RMSE: 0.9010461, NOVELTY: 0.0061742, AVERAGE_POPULARITY: 0.2311079, DIVERSITY_MEAN_INTER_LIST: 0.9926530, DIVERSITY_HERFINDAHL: 0.9992419, COVERAGE_ITEM: 0.2201676, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3573401, SHANNON_ENTROPY: 10.9190908, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'num_factors': 355, 'regularization': 162.0126351215882, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 99.03804154800555} - results: ROC_AUC: 0.0304795, PRECISION: 0.0048159, PRECISION_RECALL_MIN_DEN: 0.0481586, RECALL: 0.0481586, MAP: 0.0193021, MRR: 0.0193021, NDCG: 0.0260420, F1: 0.0087561, HIT_RATE: 0.0481586, ARHR: 0.0193021, RMSE: 0.8070788, NOVELTY: 0.0056614, AVERAGE_POPULARITY: 0.3912952, DIVERSITY_MEAN_INTER_LIST: 0.9773380, DIVERSITY_HERFINDAHL: 0.9977107, COVERAGE_ITEM: 0.1090024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2769960, SHANNON_ENTROPY: 9.4984125, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'num_factors': 308, 'regularization': 0.011187224286950515, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 17.213467413464905} - results: ROC_AUC: 0.0285647, PRECISION: 0.0045326, PRECISION_RECALL_MIN_DEN: 0.0453258, RECALL: 0.0453258, MAP: 0.0188906, MRR: 0.0188906, NDCG: 0.0250467, F1: 0.0082411, HIT_RATE: 0.0453258, ARHR: 0.0188906, RMSE: 0.8862472, NOVELTY: 0.0058451, AVERAGE_POPULARITY: 0.3124344, DIVERSITY_MEAN_INTER_LIST: 0.9866946, DIVERSITY_HERFINDAHL: 0.9986462, COVERAGE_ITEM: 0.1201406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3517265, SHANNON_ENTROPY: 10.0365097, 
