SearchBayesianSkopt: New best config found. Config 0: {'topK': 147, 'shrink': 290, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8726812031091364, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.1095841, PRECISION: 0.0173843, PRECISION_RECALL_MIN_DEN: 0.0579477, RECALL: 0.0579477, MAP: 0.0289440, MRR: 0.0795703, NDCG: 0.0490002, F1: 0.0267451, HIT_RATE: 0.1738432, ARHR: 0.0831182, RMSE: 0.9622719, NOVELTY: 0.0055772, AVERAGE_POPULARITY: 0.4720734, DIVERSITY_MEAN_INTER_LIST: 0.9454864, DIVERSITY_HERFINDAHL: 0.9945428, COVERAGE_ITEM: 0.4240606, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1056284, SHANNON_ENTROPY: 9.1215374, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 582, 'shrink': 1101, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3891195364348754, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1030117, PRECISION: 0.0162414, PRECISION_RECALL_MIN_DEN: 0.0541381, RECALL: 0.0541381, MAP: 0.0274914, MRR: 0.0757555, NDCG: 0.0462720, F1: 0.0249868, HIT_RATE: 0.1624143, ARHR: 0.0790481, RMSE: 0.9249449, NOVELTY: 0.0053883, AVERAGE_POPULARITY: 0.5886924, DIVERSITY_MEAN_INTER_LIST: 0.8734643, DIVERSITY_HERFINDAHL: 0.9873410, COVERAGE_ITEM: 0.4284401, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0826298, SHANNON_ENTROPY: 8.0250540, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 389, 'shrink': 240, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.11218364352391011, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1063273, PRECISION: 0.0169951, PRECISION_RECALL_MIN_DEN: 0.0566504, RECALL: 0.0566504, MAP: 0.0278154, MRR: 0.0765496, NDCG: 0.0474106, F1: 0.0261463, HIT_RATE: 0.1699512, ARHR: 0.0799293, RMSE: 0.9226735, NOVELTY: 0.0062123, AVERAGE_POPULARITY: 0.2298341, DIVERSITY_MEAN_INTER_LIST: 0.9895113, DIVERSITY_HERFINDAHL: 0.9989450, COVERAGE_ITEM: 0.8794809, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3142096, SHANNON_ENTROPY: 12.0520868, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 834, 'shrink': 1419, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0221418010144554, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0925631, PRECISION: 0.0146414, PRECISION_RECALL_MIN_DEN: 0.0488046, RECALL: 0.0488046, MAP: 0.0240512, MRR: 0.0662560, NDCG: 0.0409710, F1: 0.0225252, HIT_RATE: 0.1464138, ARHR: 0.0691450, RMSE: 0.9750994, NOVELTY: 0.0063958, AVERAGE_POPULARITY: 0.0897397, DIVERSITY_MEAN_INTER_LIST: 0.9973311, DIVERSITY_HERFINDAHL: 0.9997269, COVERAGE_ITEM: 0.9561503, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4468209, SHANNON_ENTROPY: 13.1199328, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 826, 'shrink': 173, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9834484424186902, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0323003, PRECISION: 0.0052944, PRECISION_RECALL_MIN_DEN: 0.0176479, RECALL: 0.0176479, MAP: 0.0081665, MRR: 0.0226400, NDCG: 0.0142692, F1: 0.0081452, HIT_RATE: 0.0529437, ARHR: 0.0235442, RMSE: 0.9269433, NOVELTY: 0.0022069, AVERAGE_POPULARITY: 0.0702499, DIVERSITY_MEAN_INTER_LIST: 0.9951092, DIVERSITY_HERFINDAHL: 0.9995048, COVERAGE_ITEM: 0.5342525, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3580346, SHANNON_ENTROPY: 12.1004524, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 595, 'shrink': 468, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4436709437984743, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0416395, PRECISION: 0.0064126, PRECISION_RECALL_MIN_DEN: 0.0213752, RECALL: 0.0213752, MAP: 0.0101901, MRR: 0.0291675, NDCG: 0.0177861, F1: 0.0098655, HIT_RATE: 0.0641255, ARHR: 0.0298619, RMSE: 0.9713304, NOVELTY: 0.0069712, AVERAGE_POPULARITY: 0.0428832, DIVERSITY_MEAN_INTER_LIST: 0.9946154, DIVERSITY_HERFINDAHL: 0.9994554, COVERAGE_ITEM: 0.8083806, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3024641, SHANNON_ENTROPY: 12.2590369, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 205, 'shrink': 258, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.006734166298254076, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0978664, PRECISION: 0.0159325, PRECISION_RECALL_MIN_DEN: 0.0531085, RECALL: 0.0531085, MAP: 0.0252919, MRR: 0.0698093, NDCG: 0.0436497, F1: 0.0245116, HIT_RATE: 0.1593254, ARHR: 0.0727837, RMSE: 0.9640261, NOVELTY: 0.0053056, AVERAGE_POPULARITY: 0.6234729, DIVERSITY_MEAN_INTER_LIST: 0.8666611, DIVERSITY_HERFINDAHL: 0.9866608, COVERAGE_ITEM: 0.3717221, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0737951, SHANNON_ENTROPY: 7.7748424, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 730, 'shrink': 1289, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2320810784542598, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1083783, PRECISION: 0.0177241, PRECISION_RECALL_MIN_DEN: 0.0590803, RECALL: 0.0590803, MAP: 0.0282803, MRR: 0.0777694, NDCG: 0.0486501, F1: 0.0272678, HIT_RATE: 0.1772410, ARHR: 0.0812382, RMSE: 0.8048715, NOVELTY: 0.0054602, AVERAGE_POPULARITY: 0.5526776, DIVERSITY_MEAN_INTER_LIST: 0.9081449, DIVERSITY_HERFINDAHL: 0.9908089, COVERAGE_ITEM: 0.4729386, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0981233, SHANNON_ENTROPY: 8.5925191, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 570, 'shrink': 645, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.20846912653310073, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0887331, PRECISION: 0.0145364, PRECISION_RECALL_MIN_DEN: 0.0484545, RECALL: 0.0484545, MAP: 0.0230809, MRR: 0.0643465, NDCG: 0.0399178, F1: 0.0223636, HIT_RATE: 0.1453636, ARHR: 0.0667476, RMSE: 0.9690872, NOVELTY: 0.0051912, AVERAGE_POPULARITY: 0.6963031, DIVERSITY_MEAN_INTER_LIST: 0.7711510, DIVERSITY_HERFINDAHL: 0.9771103, COVERAGE_ITEM: 0.3411192, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0596655, SHANNON_ENTROPY: 6.9037744, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 784, 'shrink': 110, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.22586143329237257, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0962220, PRECISION: 0.0155063, PRECISION_RECALL_MIN_DEN: 0.0516876, RECALL: 0.0516876, MAP: 0.0250767, MRR: 0.0686353, NDCG: 0.0428861, F1: 0.0238558, HIT_RATE: 0.1550627, ARHR: 0.0718786, RMSE: 0.8752859, NOVELTY: 0.0058047, AVERAGE_POPULARITY: 0.2459460, DIVERSITY_MEAN_INTER_LIST: 0.9838649, DIVERSITY_HERFINDAHL: 0.9983804, COVERAGE_ITEM: 0.9373885, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3744299, SHANNON_ENTROPY: 12.1507647, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0005697, PRECISION: 0.0000927, PRECISION_RECALL_MIN_DEN: 0.0003089, RECALL: 0.0003089, MAP: 0.0001451, MRR: 0.0004354, NDCG: 0.0002567, F1: 0.0001426, HIT_RATE: 0.0009267, ARHR: 0.0004354, RMSE: 1.1754986, NOVELTY: 0.0009781, AVERAGE_POPULARITY: 0.0014115, DIVERSITY_MEAN_INTER_LIST: 0.9720988, DIVERSITY_HERFINDAHL: 0.9972039, COVERAGE_ITEM: 0.1779941, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2551831, SHANNON_ENTROPY: 9.8922376, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 461, 'shrink': 1201, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0007162614362854481, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1061556, PRECISION: 0.0178044, PRECISION_RECALL_MIN_DEN: 0.0593480, RECALL: 0.0593480, MAP: 0.0269136, MRR: 0.0741219, NDCG: 0.0473349, F1: 0.0273914, HIT_RATE: 0.1780441, ARHR: 0.0773856, RMSE: 0.8892533, NOVELTY: 0.0054654, AVERAGE_POPULARITY: 0.5491716, DIVERSITY_MEAN_INTER_LIST: 0.9196877, DIVERSITY_HERFINDAHL: 0.9919631, COVERAGE_ITEM: 0.4071911, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0904325, SHANNON_ENTROPY: 8.5459170, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9677671928167292, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0923857, PRECISION: 0.0147835, PRECISION_RECALL_MIN_DEN: 0.0492782, RECALL: 0.0492782, MAP: 0.0241568, MRR: 0.0672957, NDCG: 0.0413253, F1: 0.0227438, HIT_RATE: 0.1478347, ARHR: 0.0698439, RMSE: 0.9392599, NOVELTY: 0.0052086, AVERAGE_POPULARITY: 0.6889064, DIVERSITY_MEAN_INTER_LIST: 0.7722473, DIVERSITY_HERFINDAHL: 0.9772200, COVERAGE_ITEM: 0.3486348, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0602480, SHANNON_ENTROPY: 6.9492334, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0291828593608812, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0070903, PRECISION: 0.0015444, PRECISION_RECALL_MIN_DEN: 0.0051482, RECALL: 0.0051482, MAP: 0.0014509, MRR: 0.0040681, NDCG: 0.0031775, F1: 0.0023761, HIT_RATE: 0.0154445, ARHR: 0.0042065, RMSE: 0.9764384, NOVELTY: 0.0018498, AVERAGE_POPULARITY: 0.0023339, DIVERSITY_MEAN_INTER_LIST: 0.9953900, DIVERSITY_HERFINDAHL: 0.9995328, COVERAGE_ITEM: 0.6997026, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2990168, SHANNON_ENTROPY: 12.1840498, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2579963444916056, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0939216, PRECISION: 0.0148329, PRECISION_RECALL_MIN_DEN: 0.0494430, RECALL: 0.0494430, MAP: 0.0246199, MRR: 0.0685019, NDCG: 0.0418707, F1: 0.0228198, HIT_RATE: 0.1483289, ARHR: 0.0711419, RMSE: 0.9812026, NOVELTY: 0.0052319, AVERAGE_POPULARITY: 0.6689444, DIVERSITY_MEAN_INTER_LIST: 0.7930669, DIVERSITY_HERFINDAHL: 0.9793018, COVERAGE_ITEM: 0.3556637, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0634414, SHANNON_ENTROPY: 7.1473220, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7394604317622704, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1031854, PRECISION: 0.0159943, PRECISION_RECALL_MIN_DEN: 0.0533144, RECALL: 0.0533144, MAP: 0.0271356, MRR: 0.0750720, NDCG: 0.0457135, F1: 0.0246066, HIT_RATE: 0.1599432, ARHR: 0.0781726, RMSE: 0.9211858, NOVELTY: 0.0053983, AVERAGE_POPULARITY: 0.5807245, DIVERSITY_MEAN_INTER_LIST: 0.8740206, DIVERSITY_HERFINDAHL: 0.9873967, COVERAGE_ITEM: 0.4274669, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0821832, SHANNON_ENTROPY: 8.0295820, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1052345, PRECISION: 0.0162723, PRECISION_RECALL_MIN_DEN: 0.0542411, RECALL: 0.0542411, MAP: 0.0279940, MRR: 0.0771679, NDCG: 0.0468589, F1: 0.0250343, HIT_RATE: 0.1627232, ARHR: 0.0805039, RMSE: 0.9376202, NOVELTY: 0.0054798, AVERAGE_POPULARITY: 0.5306950, DIVERSITY_MEAN_INTER_LIST: 0.9049009, DIVERSITY_HERFINDAHL: 0.9904845, COVERAGE_ITEM: 0.4434712, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0897242, SHANNON_ENTROPY: 8.4203241, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 345, 'shrink': 1494, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.1031851, PRECISION: 0.0160128, PRECISION_RECALL_MIN_DEN: 0.0533762, RECALL: 0.0533762, MAP: 0.0272829, MRR: 0.0752640, NDCG: 0.0458500, F1: 0.0246352, HIT_RATE: 0.1601285, ARHR: 0.0784965, RMSE: 0.9848662, NOVELTY: 0.0054518, AVERAGE_POPULARITY: 0.5377525, DIVERSITY_MEAN_INTER_LIST: 0.9075836, DIVERSITY_HERFINDAHL: 0.9907527, COVERAGE_ITEM: 0.4148148, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0893646, SHANNON_ENTROPY: 8.4412200, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0842947, PRECISION: 0.0126027, PRECISION_RECALL_MIN_DEN: 0.0420090, RECALL: 0.0420090, MAP: 0.0222334, MRR: 0.0613516, NDCG: 0.0369155, F1: 0.0193888, HIT_RATE: 0.1260271, ARHR: 0.0639702, RMSE: 0.9421363, NOVELTY: 0.0067961, AVERAGE_POPULARITY: 0.1485538, DIVERSITY_MEAN_INTER_LIST: 0.9949276, DIVERSITY_HERFINDAHL: 0.9994866, COVERAGE_ITEM: 0.9000811, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4633453, SHANNON_ENTROPY: 12.9142708, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1000, 'shrink': 393, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0843744, PRECISION: 0.0136468, PRECISION_RECALL_MIN_DEN: 0.0454892, RECALL: 0.0454892, MAP: 0.0219029, MRR: 0.0612945, NDCG: 0.0377658, F1: 0.0209950, HIT_RATE: 0.1364675, ARHR: 0.0634619, RMSE: 0.9537174, NOVELTY: 0.0051409, AVERAGE_POPULARITY: 0.7342608, DIVERSITY_MEAN_INTER_LIST: 0.7090751, DIVERSITY_HERFINDAHL: 0.9709031, COVERAGE_ITEM: 0.2972155, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0498347, SHANNON_ENTROPY: 6.4066369, 
