SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8231119707341297, 'USER_CF': 0.7776933436581236, 'SLIM_BPR': 0.5336779598431284, 'P3ALPHA': 0.9509557077657007, 'RP3BETA': 0.24180630651460971, 'IALS': 0.16186784219781028, 'USER_ITEM_ALL': 0.26784003853788924} - results: ROC_AUC: 0.1248695, PRECISION: 0.0201273, PRECISION_RECALL_MIN_DEN: 0.0670909, RECALL: 0.0670909, MAP: 0.0326564, MRR: 0.0885498, NDCG: 0.0556582, F1: 0.0309650, HIT_RATE: 0.2012726, ARHR: 0.0931655, RMSE: 0.9818791, NOVELTY: 0.0064219, AVERAGE_POPULARITY: 0.2545893, DIVERSITY_MEAN_INTER_LIST: 0.9762030, DIVERSITY_HERFINDAHL: 0.9976143, COVERAGE_ITEM: 0.4554745, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1764946, SHANNON_ENTROPY: 10.3576391, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.06828954768581509, 'USER_CF': 0.14947007542409776, 'SLIM_BPR': 0.9225398054865114, 'P3ALPHA': 0.045779815629970806, 'RP3BETA': 0.9850646072376797, 'IALS': 0.9589236093175612, 'USER_ITEM_ALL': 0.02853735316319162} - results: ROC_AUC: 0.1217947, PRECISION: 0.0187002, PRECISION_RECALL_MIN_DEN: 0.0623340, RECALL: 0.0623340, MAP: 0.0319682, MRR: 0.0869522, NDCG: 0.0535130, F1: 0.0287695, HIT_RATE: 0.1870019, ARHR: 0.0913505, RMSE: 0.9818791, NOVELTY: 0.0065414, AVERAGE_POPULARITY: 0.2608181, DIVERSITY_MEAN_INTER_LIST: 0.9205699, DIVERSITY_HERFINDAHL: 0.9920513, COVERAGE_ITEM: 0.2381725, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1243282, SHANNON_ENTROPY: 8.8527405, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1303130, PRECISION: 0.0204979, PRECISION_RECALL_MIN_DEN: 0.0683264, RECALL: 0.0683264, MAP: 0.0345159, MRR: 0.0934819, NDCG: 0.0579911, F1: 0.0315353, HIT_RATE: 0.2049793, ARHR: 0.0984078, RMSE: 0.9818791, NOVELTY: 0.0061608, AVERAGE_POPULARITY: 0.2736106, DIVERSITY_MEAN_INTER_LIST: 0.9829692, DIVERSITY_HERFINDAHL: 0.9982908, COVERAGE_ITEM: 0.5044607, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1870428, SHANNON_ENTROPY: 10.6889522, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1341824, PRECISION: 0.0216285, PRECISION_RECALL_MIN_DEN: 0.0720949, RECALL: 0.0720949, MAP: 0.0349813, MRR: 0.0945678, NDCG: 0.0596530, F1: 0.0332746, HIT_RATE: 0.2162847, ARHR: 0.0996445, RMSE: 0.9818791, NOVELTY: 0.0058453, AVERAGE_POPULARITY: 0.3841100, DIVERSITY_MEAN_INTER_LIST: 0.9680504, DIVERSITY_HERFINDAHL: 0.9967991, COVERAGE_ITEM: 0.4207624, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1380116, SHANNON_ENTROPY: 9.8233206, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.9114218468233454, 'USER_CF': 0.9710390938224313, 'SLIM_BPR': 0.7910531091702749, 'P3ALPHA': 0.029973677472308953, 'RP3BETA': 0.010741924556658013, 'IALS': 0.07113057708286975, 'USER_ITEM_ALL': 0.2702698835650315} - results: ROC_AUC: 0.1304165, PRECISION: 0.0208130, PRECISION_RECALL_MIN_DEN: 0.0693767, RECALL: 0.0693767, MAP: 0.0337815, MRR: 0.0916894, NDCG: 0.0576052, F1: 0.0320200, HIT_RATE: 0.2081300, ARHR: 0.0964243, RMSE: 0.9818791, NOVELTY: 0.0057657, AVERAGE_POPULARITY: 0.4320605, DIVERSITY_MEAN_INTER_LIST: 0.9484824, DIVERSITY_HERFINDAHL: 0.9948424, COVERAGE_ITEM: 0.4218978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1325727, SHANNON_ENTROPY: 9.4936519, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.9528196842447098, 'USER_CF': 0.24568114208177066, 'SLIM_BPR': 0.006875135667305911, 'P3ALPHA': 0.032572564210414996, 'RP3BETA': 0.6799593152550553, 'IALS': 0.02667212390547303, 'USER_ITEM_ALL': 0.06512348551885484} - results: ROC_AUC: 0.1315515, PRECISION: 0.0208686, PRECISION_RECALL_MIN_DEN: 0.0695620, RECALL: 0.0695620, MAP: 0.0342491, MRR: 0.0928945, NDCG: 0.0581537, F1: 0.0321055, HIT_RATE: 0.2086860, ARHR: 0.0977208, RMSE: 0.9818791, NOVELTY: 0.0059912, AVERAGE_POPULARITY: 0.3120902, DIVERSITY_MEAN_INTER_LIST: 0.9699325, DIVERSITY_HERFINDAHL: 0.9969873, COVERAGE_ITEM: 0.4670992, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1486609, SHANNON_ENTROPY: 10.0289655, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8993808373175449, 'USER_CF': 0.0305607202432533, 'SLIM_BPR': 0.14320541125223554, 'P3ALPHA': 0.013259190206633357, 'RP3BETA': 0.8771579212040232, 'IALS': 0.9226240465066902, 'USER_ITEM_ALL': 0.9260894129215426} - results: ROC_AUC: 0.1310532, PRECISION: 0.0208933, PRECISION_RECALL_MIN_DEN: 0.0696444, RECALL: 0.0696444, MAP: 0.0342516, MRR: 0.0925384, NDCG: 0.0581066, F1: 0.0321436, HIT_RATE: 0.2089331, ARHR: 0.0975373, RMSE: 0.9818791, NOVELTY: 0.0063598, AVERAGE_POPULARITY: 0.2515110, DIVERSITY_MEAN_INTER_LIST: 0.9770358, DIVERSITY_HERFINDAHL: 0.9976975, COVERAGE_ITEM: 0.4999730, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1698681, SHANNON_ENTROPY: 10.4590109, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 7, 'ITEM_CBF_CF': 0.011362639837766865, 'USER_CF': 0.9329964500752802, 'SLIM_BPR': 0.99020667627577, 'P3ALPHA': 0.9697700114529579, 'RP3BETA': 0.15809498101891842, 'IALS': 0.9533947787115323, 'USER_ITEM_ALL': 0.9727551609004618} - results: ROC_AUC: 0.1273207, PRECISION: 0.0209180, PRECISION_RECALL_MIN_DEN: 0.0697267, RECALL: 0.0697267, MAP: 0.0330615, MRR: 0.0894647, NDCG: 0.0568935, F1: 0.0321816, HIT_RATE: 0.2091802, ARHR: 0.0942398, RMSE: 0.9818791, NOVELTY: 0.0060003, AVERAGE_POPULARITY: 0.3495401, DIVERSITY_MEAN_INTER_LIST: 0.9745452, DIVERSITY_HERFINDAHL: 0.9974485, COVERAGE_ITEM: 0.3797242, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1600796, SHANNON_ENTROPY: 10.0533931, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.08602332910481715, 'USER_CF': 0.9171808197126485, 'SLIM_BPR': 0.03512297592769776, 'P3ALPHA': 0.9790496224417656, 'RP3BETA': 0.030796261681016242, 'IALS': 0.7689818948022467, 'USER_ITEM_ALL': 0.06351873800357512} - results: ROC_AUC: 0.1217757, PRECISION: 0.0204362, PRECISION_RECALL_MIN_DEN: 0.0681205, RECALL: 0.0681205, MAP: 0.0317611, MRR: 0.0863944, NDCG: 0.0550441, F1: 0.0314402, HIT_RATE: 0.2043615, ARHR: 0.0907641, RMSE: 0.9818791, NOVELTY: 0.0056017, AVERAGE_POPULARITY: 0.4476224, DIVERSITY_MEAN_INTER_LIST: 0.9622519, DIVERSITY_HERFINDAHL: 0.9962192, COVERAGE_ITEM: 0.2021627, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1356049, SHANNON_ENTROPY: 9.1256225, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.13455878403899327, 'USER_CF': 0.0012930024959929567, 'SLIM_BPR': 0.8794401171187518, 'P3ALPHA': 0.9921283249963853, 'RP3BETA': 0.9051026031191948, 'IALS': 0.13714206827135336, 'USER_ITEM_ALL': 0.9926359496650886} - results: ROC_AUC: 0.1276601, PRECISION: 0.0202446, PRECISION_RECALL_MIN_DEN: 0.0674821, RECALL: 0.0674821, MAP: 0.0338004, MRR: 0.0915750, NDCG: 0.0569683, F1: 0.0311456, HIT_RATE: 0.2024464, ARHR: 0.0963908, RMSE: 0.9818791, NOVELTY: 0.0060660, AVERAGE_POPULARITY: 0.3047929, DIVERSITY_MEAN_INTER_LIST: 0.9744824, DIVERSITY_HERFINDAHL: 0.9974422, COVERAGE_ITEM: 0.4302785, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1644802, SHANNON_ENTROPY: 10.1866436, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.6323836193710609, 'USER_CF': 0.9903488270042722, 'SLIM_BPR': 0.11553024277987148, 'P3ALPHA': 0.10768164341419698, 'RP3BETA': 0.9398102171801246, 'IALS': 0.02081623215088924, 'USER_ITEM_ALL': 0.9336094893960678} - results: ROC_AUC: 0.1316339, PRECISION: 0.0214740, PRECISION_RECALL_MIN_DEN: 0.0715801, RECALL: 0.0715801, MAP: 0.0342393, MRR: 0.0926325, NDCG: 0.0587128, F1: 0.0330370, HIT_RATE: 0.2147402, ARHR: 0.0975750, RMSE: 0.9818791, NOVELTY: 0.0057477, AVERAGE_POPULARITY: 0.4250964, DIVERSITY_MEAN_INTER_LIST: 0.9498068, DIVERSITY_HERFINDAHL: 0.9949748, COVERAGE_ITEM: 0.4082184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1250493, SHANNON_ENTROPY: 9.3962091, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.9672569401812624, 'USER_CF': 0.03645029749176921, 'SLIM_BPR': 0.9367727388662752, 'P3ALPHA': 0.10858163443283866, 'RP3BETA': 0.7893821837520504, 'IALS': 0.07550049215517497, 'USER_ITEM_ALL': 0.06556909911614707} - results: ROC_AUC: 0.1157476, PRECISION: 0.0175388, PRECISION_RECALL_MIN_DEN: 0.0584626, RECALL: 0.0584626, MAP: 0.0308498, MRR: 0.0842687, NDCG: 0.0511420, F1: 0.0269827, HIT_RATE: 0.1753877, ARHR: 0.0883350, RMSE: 0.9818791, NOVELTY: 0.0067476, AVERAGE_POPULARITY: 0.1869222, DIVERSITY_MEAN_INTER_LIST: 0.9129760, DIVERSITY_HERFINDAHL: 0.9912920, COVERAGE_ITEM: 0.2930522, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1276666, SHANNON_ENTROPY: 8.8870320, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.9958674050478113, 'USER_CF': 0.8046016405671957, 'SLIM_BPR': 0.9606393362079857, 'P3ALPHA': 0.044185917385043634, 'RP3BETA': 0.517258444315582, 'IALS': 0.9852852916446283, 'USER_ITEM_ALL': 0.9999590824896571} - results: ROC_AUC: 0.1280898, PRECISION: 0.0208995, PRECISION_RECALL_MIN_DEN: 0.0696650, RECALL: 0.0696650, MAP: 0.0332910, MRR: 0.0898778, NDCG: 0.0570879, F1: 0.0321531, HIT_RATE: 0.2089949, ARHR: 0.0947787, RMSE: 0.9818791, NOVELTY: 0.0061235, AVERAGE_POPULARITY: 0.3042641, DIVERSITY_MEAN_INTER_LIST: 0.9696206, DIVERSITY_HERFINDAHL: 0.9969561, COVERAGE_ITEM: 0.3599351, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1509057, SHANNON_ENTROPY: 9.8653258, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1345029, PRECISION: 0.0213505, PRECISION_RECALL_MIN_DEN: 0.0711682, RECALL: 0.0711682, MAP: 0.0352268, MRR: 0.0951714, NDCG: 0.0596120, F1: 0.0328469, HIT_RATE: 0.2135047, ARHR: 0.1003115, RMSE: 0.9818791, NOVELTY: 0.0059946, AVERAGE_POPULARITY: 0.3145936, DIVERSITY_MEAN_INTER_LIST: 0.9823416, DIVERSITY_HERFINDAHL: 0.9982281, COVERAGE_ITEM: 0.4712084, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1646222, SHANNON_ENTROPY: 10.4549319, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.016713228668617245, 'USER_CF': 0.989113162001481, 'SLIM_BPR': 0.06567431058843289, 'P3ALPHA': 0.9228956200541499, 'RP3BETA': 0.9674638175868567, 'IALS': 0.9463389717437528, 'USER_ITEM_ALL': 0.9013276317075765} - results: ROC_AUC: 0.1290916, PRECISION: 0.0214061, PRECISION_RECALL_MIN_DEN: 0.0713536, RECALL: 0.0713536, MAP: 0.0334678, MRR: 0.0905401, NDCG: 0.0578198, F1: 0.0329324, HIT_RATE: 0.2140607, ARHR: 0.0953827, RMSE: 0.9818791, NOVELTY: 0.0058180, AVERAGE_POPULARITY: 0.3905000, DIVERSITY_MEAN_INTER_LIST: 0.9687273, DIVERSITY_HERFINDAHL: 0.9968667, COVERAGE_ITEM: 0.3040822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1432057, SHANNON_ENTROPY: 9.6403652, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1341824, PRECISION: 0.0216285, PRECISION_RECALL_MIN_DEN: 0.0720949, RECALL: 0.0720949, MAP: 0.0349813, MRR: 0.0945678, NDCG: 0.0596530, F1: 0.0332746, HIT_RATE: 0.2162847, ARHR: 0.0996445, RMSE: 0.9818791, NOVELTY: 0.0058453, AVERAGE_POPULARITY: 0.3841100, DIVERSITY_MEAN_INTER_LIST: 0.9680504, DIVERSITY_HERFINDAHL: 0.9967991, COVERAGE_ITEM: 0.4207624, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1380116, SHANNON_ENTROPY: 9.8233206, 
