SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8231119707341297, 'USER_CF': 0.7776933436581236, 'SLIM_BPR': 0.5336779598431284, 'P3ALPHA': 0.9509557077657007, 'RP3BETA': 0.24180630651460971, 'IALS': 0.16186784219781028, 'USER_ITEM_ALL': 0.26784003853788924} - results: ROC_AUC: 0.1179503, PRECISION: 0.0184840, PRECISION_RECALL_MIN_DEN: 0.0616132, RECALL: 0.0616132, MAP: 0.0314193, MRR: 0.0857933, NDCG: 0.0526936, F1: 0.0284369, HIT_RATE: 0.1848397, ARHR: 0.0899414, RMSE: 0.9818791, NOVELTY: 0.0064119, AVERAGE_POPULARITY: 0.2323368, DIVERSITY_MEAN_INTER_LIST: 0.9799040, DIVERSITY_HERFINDAHL: 0.9979843, COVERAGE_ITEM: 0.4362260, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1642952, SHANNON_ENTROPY: 10.2607207, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.06828954768581509, 'USER_CF': 0.14947007542409776, 'SLIM_BPR': 0.9225398054865114, 'P3ALPHA': 0.045779815629970806, 'RP3BETA': 0.9850646072376797, 'IALS': 0.9589236093175612, 'USER_ITEM_ALL': 0.02853735316319162} - results: ROC_AUC: 0.1186963, PRECISION: 0.0187558, PRECISION_RECALL_MIN_DEN: 0.0625193, RECALL: 0.0625193, MAP: 0.0315823, MRR: 0.0862065, NDCG: 0.0531541, F1: 0.0288551, HIT_RATE: 0.1875579, ARHR: 0.0904100, RMSE: 0.9818791, NOVELTY: 0.0062001, AVERAGE_POPULARITY: 0.2699010, DIVERSITY_MEAN_INTER_LIST: 0.9747251, DIVERSITY_HERFINDAHL: 0.9974665, COVERAGE_ITEM: 0.2376318, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1418470, SHANNON_ENTROPY: 9.5036462, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1313050, PRECISION: 0.0212702, PRECISION_RECALL_MIN_DEN: 0.0709005, RECALL: 0.0709005, MAP: 0.0347174, MRR: 0.0938004, NDCG: 0.0589587, F1: 0.0327233, HIT_RATE: 0.2127016, ARHR: 0.0988721, RMSE: 0.9818791, NOVELTY: 0.0061788, AVERAGE_POPULARITY: 0.2686973, DIVERSITY_MEAN_INTER_LIST: 0.9800833, DIVERSITY_HERFINDAHL: 0.9980023, COVERAGE_ITEM: 0.5133820, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1720452, SHANNON_ENTROPY: 10.5307462, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 2.7755575615628914e-17, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1323823, PRECISION: 0.0213381, PRECISION_RECALL_MIN_DEN: 0.0711270, RECALL: 0.0711270, MAP: 0.0346811, MRR: 0.0937741, NDCG: 0.0590202, F1: 0.0328279, HIT_RATE: 0.2133811, ARHR: 0.0987972, RMSE: 0.9818791, NOVELTY: 0.0061698, AVERAGE_POPULARITY: 0.2584155, DIVERSITY_MEAN_INTER_LIST: 0.9837416, DIVERSITY_HERFINDAHL: 0.9983681, COVERAGE_ITEM: 0.5571235, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1839584, SHANNON_ENTROPY: 10.7844398, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'ITEM_CBF_CF': 0.5405783702363843, 'USER_CF': 0.9616161643988943, 'SLIM_BPR': 0.8429712829754382, 'P3ALPHA': 0.9862026230843365, 'RP3BETA': 0.09158630355820109, 'IALS': 0.9622056756470072, 'USER_ITEM_ALL': 0.9459102336621666} - results: ROC_AUC: 0.1259440, PRECISION: 0.0207883, PRECISION_RECALL_MIN_DEN: 0.0692943, RECALL: 0.0692943, MAP: 0.0327857, MRR: 0.0888706, NDCG: 0.0564642, F1: 0.0319820, HIT_RATE: 0.2078829, ARHR: 0.0935172, RMSE: 0.9818791, NOVELTY: 0.0059602, AVERAGE_POPULARITY: 0.3233105, DIVERSITY_MEAN_INTER_LIST: 0.9791193, DIVERSITY_HERFINDAHL: 0.9979059, COVERAGE_ITEM: 0.3992971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1620219, SHANNON_ENTROPY: 10.2020127, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 4, 'ITEM_CBF_CF': 0.9759290981030204, 'USER_CF': 0.07971326019956661, 'SLIM_BPR': 0.9791966503599604, 'P3ALPHA': 0.04481077910099263, 'RP3BETA': 0.961603561081598, 'IALS': 0.09246932526888042, 'USER_ITEM_ALL': 0.04055786839411014} - results: ROC_AUC: 0.1126800, PRECISION: 0.0173040, PRECISION_RECALL_MIN_DEN: 0.0576800, RECALL: 0.0576800, MAP: 0.0300643, MRR: 0.0822260, NDCG: 0.0500619, F1: 0.0266216, HIT_RATE: 0.1730401, ARHR: 0.0861465, RMSE: 0.9818791, NOVELTY: 0.0065921, AVERAGE_POPULARITY: 0.1892622, DIVERSITY_MEAN_INTER_LIST: 0.9473199, DIVERSITY_HERFINDAHL: 0.9947261, COVERAGE_ITEM: 0.3206813, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1333222, SHANNON_ENTROPY: 9.2659504, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 6, 'ITEM_CBF_CF': 0.0562938953385337, 'USER_CF': 0.9064079908340802, 'SLIM_BPR': 0.011040590610000402, 'P3ALPHA': 0.7808913107911662, 'RP3BETA': 0.010782639577372135, 'IALS': 0.022260829645559314, 'USER_ITEM_ALL': 0.05244466807737437} - results: ROC_AUC: 0.1140311, PRECISION: 0.0174523, PRECISION_RECALL_MIN_DEN: 0.0581743, RECALL: 0.0581743, MAP: 0.0304560, MRR: 0.0836690, NDCG: 0.0506864, F1: 0.0268497, HIT_RATE: 0.1745228, ARHR: 0.0874511, RMSE: 0.9818791, NOVELTY: 0.0055011, AVERAGE_POPULARITY: 0.4940366, DIVERSITY_MEAN_INTER_LIST: 0.9309393, DIVERSITY_HERFINDAHL: 0.9930882, COVERAGE_ITEM: 0.2563936, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0910551, SHANNON_ENTROPY: 8.5069190, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.0634668524551434, 'USER_CF': 0.03785148648887316, 'SLIM_BPR': 0.9241713793614185, 'P3ALPHA': 0.8568651275022895, 'RP3BETA': 0.2495313425492059, 'IALS': 0.9938622581655374, 'USER_ITEM_ALL': 0.9440222940421558} - results: ROC_AUC: 0.1228466, PRECISION: 0.0197566, PRECISION_RECALL_MIN_DEN: 0.0658553, RECALL: 0.0658553, MAP: 0.0326634, MRR: 0.0885951, NDCG: 0.0552537, F1: 0.0303948, HIT_RATE: 0.1975659, ARHR: 0.0932131, RMSE: 0.9818791, NOVELTY: 0.0062203, AVERAGE_POPULARITY: 0.2527764, DIVERSITY_MEAN_INTER_LIST: 0.9828668, DIVERSITY_HERFINDAHL: 0.9982806, COVERAGE_ITEM: 0.3446878, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1747624, SHANNON_ENTROPY: 10.2623312, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'ITEM_CBF_CF': 0.9561888954818869, 'USER_CF': 0.9707715596653846, 'SLIM_BPR': 0.23135574362561656, 'P3ALPHA': 0.03741076113096376, 'RP3BETA': 0.9811565967744511, 'IALS': 0.8435683709359958, 'USER_ITEM_ALL': 0.9913913094758398} - results: ROC_AUC: 0.1257159, PRECISION: 0.0205165, PRECISION_RECALL_MIN_DEN: 0.0683882, RECALL: 0.0683882, MAP: 0.0330092, MRR: 0.0894678, NDCG: 0.0564117, F1: 0.0315638, HIT_RATE: 0.2051646, ARHR: 0.0941598, RMSE: 0.9818791, NOVELTY: 0.0060654, AVERAGE_POPULARITY: 0.3278795, DIVERSITY_MEAN_INTER_LIST: 0.9718522, DIVERSITY_HERFINDAHL: 0.9971792, COVERAGE_ITEM: 0.3378751, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1509290, SHANNON_ENTROPY: 9.8264172, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.13455878403899327, 'USER_CF': 0.0012930024959929567, 'SLIM_BPR': 0.8794401171187518, 'P3ALPHA': 0.9921283249963853, 'RP3BETA': 0.9051026031191948, 'IALS': 0.13714206827135336, 'USER_ITEM_ALL': 0.9926359496650886} - results: ROC_AUC: 0.1258522, PRECISION: 0.0201643, PRECISION_RECALL_MIN_DEN: 0.0672144, RECALL: 0.0672144, MAP: 0.0333099, MRR: 0.0901377, NDCG: 0.0563478, F1: 0.0310220, HIT_RATE: 0.2016433, ARHR: 0.0949314, RMSE: 0.9818791, NOVELTY: 0.0062202, AVERAGE_POPULARITY: 0.2630748, DIVERSITY_MEAN_INTER_LIST: 0.9663249, DIVERSITY_HERFINDAHL: 0.9966265, COVERAGE_ITEM: 0.4317383, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1636024, SHANNON_ENTROPY: 10.1197311, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.9940235626022336, 'USER_CF': 0.9277362267400548, 'SLIM_BPR': 0.9697877921523361, 'P3ALPHA': 0.7071629471336737, 'RP3BETA': 0.023298966488813803, 'IALS': 0.23586475047534844, 'USER_ITEM_ALL': 0.01269658268227392} - results: ROC_AUC: 0.1258980, PRECISION: 0.0205103, PRECISION_RECALL_MIN_DEN: 0.0683676, RECALL: 0.0683676, MAP: 0.0330583, MRR: 0.0897490, NDCG: 0.0564791, F1: 0.0315543, HIT_RATE: 0.2051029, ARHR: 0.0943696, RMSE: 0.9818791, NOVELTY: 0.0060437, AVERAGE_POPULARITY: 0.3228599, DIVERSITY_MEAN_INTER_LIST: 0.9753936, DIVERSITY_HERFINDAHL: 0.9975333, COVERAGE_ITEM: 0.4513112, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1566371, SHANNON_ENTROPY: 10.1746172, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.5324169648041264, 'USER_CF': 0.9914373843753354, 'SLIM_BPR': 0.03993411485123611, 'P3ALPHA': 0.0050321907722000745, 'RP3BETA': 0.040718744312862494, 'IALS': 0.9596934933025175, 'USER_ITEM_ALL': 0.02267547083954458} - results: ROC_AUC: 0.1179053, PRECISION: 0.0193365, PRECISION_RECALL_MIN_DEN: 0.0644550, RECALL: 0.0644550, MAP: 0.0305119, MRR: 0.0832129, NDCG: 0.0526193, F1: 0.0297485, HIT_RATE: 0.1933650, ARHR: 0.0872947, RMSE: 0.9818791, NOVELTY: 0.0053189, AVERAGE_POPULARITY: 0.6000471, DIVERSITY_MEAN_INTER_LIST: 0.8913836, DIVERSITY_HERFINDAHL: 0.9891329, COVERAGE_ITEM: 0.1497161, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0900326, SHANNON_ENTROPY: 7.8299468, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.9958674050478113, 'USER_CF': 0.8046016405671957, 'SLIM_BPR': 0.9606393362079857, 'P3ALPHA': 0.044185917385043634, 'RP3BETA': 0.517258444315582, 'IALS': 0.9852852916446283, 'USER_ITEM_ALL': 0.9999590824896571} - results: ROC_AUC: 0.1258659, PRECISION: 0.0206833, PRECISION_RECALL_MIN_DEN: 0.0689442, RECALL: 0.0689442, MAP: 0.0332097, MRR: 0.0902769, NDCG: 0.0568212, F1: 0.0318204, HIT_RATE: 0.2068326, ARHR: 0.0948670, RMSE: 0.9818791, NOVELTY: 0.0059110, AVERAGE_POPULARITY: 0.3523562, DIVERSITY_MEAN_INTER_LIST: 0.9731189, DIVERSITY_HERFINDAHL: 0.9973059, COVERAGE_ITEM: 0.3509057, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1529365, SHANNON_ENTROPY: 9.8986376, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1319033, PRECISION: 0.0214308, PRECISION_RECALL_MIN_DEN: 0.0714359, RECALL: 0.0714359, MAP: 0.0346933, MRR: 0.0938479, NDCG: 0.0591231, F1: 0.0329704, HIT_RATE: 0.2143078, ARHR: 0.0988577, RMSE: 0.9818791, NOVELTY: 0.0061614, AVERAGE_POPULARITY: 0.2693121, DIVERSITY_MEAN_INTER_LIST: 0.9844983, DIVERSITY_HERFINDAHL: 0.9984437, COVERAGE_ITEM: 0.5309002, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1834589, SHANNON_ENTROPY: 10.7538418, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.016713228668617245, 'USER_CF': 0.989113162001481, 'SLIM_BPR': 0.06567431058843289, 'P3ALPHA': 0.9228956200541499, 'RP3BETA': 0.9674638175868567, 'IALS': 0.9463389717437528, 'USER_ITEM_ALL': 0.9013276317075765} - results: ROC_AUC: 0.1231161, PRECISION: 0.0201087, PRECISION_RECALL_MIN_DEN: 0.0670291, RECALL: 0.0670291, MAP: 0.0325194, MRR: 0.0885360, NDCG: 0.0555084, F1: 0.0309365, HIT_RATE: 0.2010873, ARHR: 0.0929634, RMSE: 0.9818791, NOVELTY: 0.0057471, AVERAGE_POPULARITY: 0.3937664, DIVERSITY_MEAN_INTER_LIST: 0.9685537, DIVERSITY_HERFINDAHL: 0.9968494, COVERAGE_ITEM: 0.2706137, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1416023, SHANNON_ENTROPY: 9.5049395, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1288931, PRECISION: 0.0208748, PRECISION_RECALL_MIN_DEN: 0.0695826, RECALL: 0.0695826, MAP: 0.0342814, MRR: 0.0925797, NDCG: 0.0580721, F1: 0.0321150, HIT_RATE: 0.2087478, ARHR: 0.0976113, RMSE: 0.9818791, NOVELTY: 0.0062020, AVERAGE_POPULARITY: 0.2653874, DIVERSITY_MEAN_INTER_LIST: 0.9736428, DIVERSITY_HERFINDAHL: 0.9973583, COVERAGE_ITEM: 0.4846715, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1649173, SHANNON_ENTROPY: 10.3202659, 
