SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8231119707341297, 'USER_CF': 0.7776933436581236, 'SLIM_BPR': 0.5336779598431284, 'P3ALPHA': 0.9509557077657007, 'RP3BETA': 0.24180630651460971, 'IALS': 0.16186784219781028, 'USER_ITEM_ALL': 0.26784003853788924} - results: ROC_AUC: 0.1317878, PRECISION: 0.0213937, PRECISION_RECALL_MIN_DEN: 0.0713124, RECALL: 0.0713124, MAP: 0.0346428, MRR: 0.0938292, NDCG: 0.0590525, F1: 0.0329134, HIT_RATE: 0.2139371, ARHR: 0.0987780, RMSE: 0.9818791, NOVELTY: 0.0059744, AVERAGE_POPULARITY: 0.3552927, DIVERSITY_MEAN_INTER_LIST: 0.9758543, DIVERSITY_HERFINDAHL: 0.9975794, COVERAGE_ITEM: 0.4632603, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1686121, SHANNON_ENTROPY: 10.2909688, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.6407660207688808, 'USER_CF': 0.03671398795523329, 'SLIM_BPR': 0.015010568939476058, 'P3ALPHA': 0.05805910512582392, 'RP3BETA': 0.7802713910457894, 'IALS': 0.15853442634508866, 'USER_ITEM_ALL': 0.9963571370397273} - results: ROC_AUC: 0.1343698, PRECISION: 0.0219374, PRECISION_RECALL_MIN_DEN: 0.0731245, RECALL: 0.0731245, MAP: 0.0354081, MRR: 0.0952819, NDCG: 0.0603236, F1: 0.0337498, HIT_RATE: 0.2193736, ARHR: 0.1006253, RMSE: 0.9818791, NOVELTY: 0.0060848, AVERAGE_POPULARITY: 0.3028080, DIVERSITY_MEAN_INTER_LIST: 0.9811902, DIVERSITY_HERFINDAHL: 0.9981130, COVERAGE_ITEM: 0.5685861, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1832949, SHANNON_ENTROPY: 10.7129481, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1347228, PRECISION: 0.0219621, PRECISION_RECALL_MIN_DEN: 0.0732069, RECALL: 0.0732069, MAP: 0.0353816, MRR: 0.0958177, NDCG: 0.0604304, F1: 0.0337878, HIT_RATE: 0.2196207, ARHR: 0.1008756, RMSE: 0.9818791, NOVELTY: 0.0058562, AVERAGE_POPULARITY: 0.3826979, DIVERSITY_MEAN_INTER_LIST: 0.9726575, DIVERSITY_HERFINDAHL: 0.9972597, COVERAGE_ITEM: 0.4290349, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1431799, SHANNON_ENTROPY: 9.9761315, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1306175, PRECISION: 0.0206771, PRECISION_RECALL_MIN_DEN: 0.0689236, RECALL: 0.0689236, MAP: 0.0344391, MRR: 0.0933142, NDCG: 0.0581065, F1: 0.0318109, HIT_RATE: 0.2067709, ARHR: 0.0982107, RMSE: 0.9818791, NOVELTY: 0.0062496, AVERAGE_POPULARITY: 0.2629697, DIVERSITY_MEAN_INTER_LIST: 0.9854254, DIVERSITY_HERFINDAHL: 0.9985365, COVERAGE_ITEM: 0.5473371, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2133578, SHANNON_ENTROPY: 11.0211964, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.02308628137075053, 'USER_CF': 0.0028825099403135828, 'SLIM_BPR': 0.47912747524321886, 'P3ALPHA': 0.13268792565080748, 'RP3BETA': 0.024123394805835592, 'IALS': 0.2937754875118737, 'USER_ITEM_ALL': 0.0026002491517008734} - results: ROC_AUC: 0.1194920, PRECISION: 0.0191697, PRECISION_RECALL_MIN_DEN: 0.0638990, RECALL: 0.0638990, MAP: 0.0315648, MRR: 0.0857469, NDCG: 0.0534987, F1: 0.0294919, HIT_RATE: 0.1916970, ARHR: 0.0901152, RMSE: 0.9818791, NOVELTY: 0.0059138, AVERAGE_POPULARITY: 0.3531313, DIVERSITY_MEAN_INTER_LIST: 0.9797038, DIVERSITY_HERFINDAHL: 0.9979643, COVERAGE_ITEM: 0.3535550, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1697943, SHANNON_ENTROPY: 10.1703208, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CBF_CF': 0.9634975546702234, 'USER_CF': 0.09387431158289974, 'SLIM_BPR': 0.8889442557642642, 'P3ALPHA': 0.9551343261476866, 'RP3BETA': 0.9645895668297013, 'IALS': 0.9268104467937968, 'USER_ITEM_ALL': 0.09398996213303881} - results: ROC_AUC: 0.1322188, PRECISION: 0.0213319, PRECISION_RECALL_MIN_DEN: 0.0711064, RECALL: 0.0711064, MAP: 0.0347547, MRR: 0.0940005, NDCG: 0.0590850, F1: 0.0328184, HIT_RATE: 0.2133193, ARHR: 0.0990186, RMSE: 0.9818791, NOVELTY: 0.0060091, AVERAGE_POPULARITY: 0.3257697, DIVERSITY_MEAN_INTER_LIST: 0.9818292, DIVERSITY_HERFINDAHL: 0.9981769, COVERAGE_ITEM: 0.4486077, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1730554, SHANNON_ENTROPY: 10.4472626, 
SearchBayesianSkoptObject: New best config found. Config 16: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8993808373175449, 'USER_CF': 0.0305607202432533, 'SLIM_BPR': 0.14320541125223554, 'P3ALPHA': 0.013259190206633357, 'RP3BETA': 0.8771579212040232, 'IALS': 0.9226240465066902, 'USER_ITEM_ALL': 0.9260894129215426} - results: ROC_AUC: 0.1361257, PRECISION: 0.0224130, PRECISION_RECALL_MIN_DEN: 0.0747102, RECALL: 0.0747102, MAP: 0.0355664, MRR: 0.0958839, NDCG: 0.0610250, F1: 0.0344816, HIT_RATE: 0.2241305, ARHR: 0.1011681, RMSE: 0.9818791, NOVELTY: 0.0059846, AVERAGE_POPULARITY: 0.3234928, DIVERSITY_MEAN_INTER_LIST: 0.9819515, DIVERSITY_HERFINDAHL: 0.9981891, COVERAGE_ITEM: 0.4907272, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1614119, SHANNON_ENTROPY: 10.4474314, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.008433843803420717, 'USER_CF': 0.9944861015545146, 'SLIM_BPR': 0.07141727533237997, 'P3ALPHA': 0.9876495870172128, 'RP3BETA': 0.9693992607762734, 'IALS': 0.14899477820313725, 'USER_ITEM_ALL': 0.6471669035938352} - results: ROC_AUC: 0.1309646, PRECISION: 0.0214184, PRECISION_RECALL_MIN_DEN: 0.0713947, RECALL: 0.0713947, MAP: 0.0342384, MRR: 0.0926537, NDCG: 0.0586488, F1: 0.0329514, HIT_RATE: 0.2141842, ARHR: 0.0975892, RMSE: 0.9818791, NOVELTY: 0.0057466, AVERAGE_POPULARITY: 0.4356178, DIVERSITY_MEAN_INTER_LIST: 0.9586698, DIVERSITY_HERFINDAHL: 0.9958611, COVERAGE_ITEM: 0.3802649, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1322409, SHANNON_ENTROPY: 9.5275187, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.23474536806817964, 'USER_CF': 0.94605970009152, 'SLIM_BPR': 0.31468945396980924, 'P3ALPHA': 0.0350631853172041, 'RP3BETA': 0.9670099248615426, 'IALS': 0.9735288722704193, 'USER_ITEM_ALL': 0.0021216679161056855} - results: ROC_AUC: 0.1246311, PRECISION: 0.0203620, PRECISION_RECALL_MIN_DEN: 0.0678734, RECALL: 0.0678734, MAP: 0.0325030, MRR: 0.0883511, NDCG: 0.0557580, F1: 0.0313262, HIT_RATE: 0.2036202, ARHR: 0.0928363, RMSE: 0.9818791, NOVELTY: 0.0055485, AVERAGE_POPULARITY: 0.4977634, DIVERSITY_MEAN_INTER_LIST: 0.9408761, DIVERSITY_HERFINDAHL: 0.9940818, COVERAGE_ITEM: 0.2847256, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1090562, SHANNON_ENTROPY: 8.9264759, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CBF_CF': 0.983013436344807, 'USER_CF': 0.9671291461825305, 'SLIM_BPR': 0.28760453577657424, 'P3ALPHA': 0.9740856621218043, 'RP3BETA': 0.007737562153346313, 'IALS': 0.005169909207285995, 'USER_ITEM_ALL': 0.17658331309759315} - results: ROC_AUC: 0.1315300, PRECISION: 0.0212578, PRECISION_RECALL_MIN_DEN: 0.0708593, RECALL: 0.0708593, MAP: 0.0346780, MRR: 0.0942751, NDCG: 0.0589982, F1: 0.0327043, HIT_RATE: 0.2125780, ARHR: 0.0990619, RMSE: 0.9818791, NOVELTY: 0.0058189, AVERAGE_POPULARITY: 0.4182071, DIVERSITY_MEAN_INTER_LIST: 0.9578741, DIVERSITY_HERFINDAHL: 0.9957815, COVERAGE_ITEM: 0.4565018, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1467284, SHANNON_ENTROPY: 9.8161046, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.979816180815139, 'USER_CF': 0.9278282708806643, 'SLIM_BPR': 0.7800781849318756, 'P3ALPHA': 0.05330117834660865, 'RP3BETA': 0.7891811448559248, 'IALS': 0.9336900896000043, 'USER_ITEM_ALL': 0.11951084825941818} - results: ROC_AUC: 0.1315638, PRECISION: 0.0216964, PRECISION_RECALL_MIN_DEN: 0.0723214, RECALL: 0.0723214, MAP: 0.0344980, MRR: 0.0932054, NDCG: 0.0591731, F1: 0.0333791, HIT_RATE: 0.2169642, ARHR: 0.0982451, RMSE: 0.9818791, NOVELTY: 0.0056706, AVERAGE_POPULARITY: 0.4419546, DIVERSITY_MEAN_INTER_LIST: 0.9611758, DIVERSITY_HERFINDAHL: 0.9961116, COVERAGE_ITEM: 0.3274939, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1196422, SHANNON_ENTROPY: 9.3582951, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.015252819441839541, 'USER_CF': 0.9095535373795164, 'SLIM_BPR': 0.8873641496284473, 'P3ALPHA': 0.10890876634945826, 'RP3BETA': 0.12718612911239516, 'IALS': 0.26191774724853006, 'USER_ITEM_ALL': 0.993627440175691} - results: ROC_AUC: 0.1290292, PRECISION: 0.0215234, PRECISION_RECALL_MIN_DEN: 0.0717448, RECALL: 0.0717448, MAP: 0.0339601, MRR: 0.0918120, NDCG: 0.0584147, F1: 0.0331130, HIT_RATE: 0.2152344, ARHR: 0.0967502, RMSE: 0.9818791, NOVELTY: 0.0057376, AVERAGE_POPULARITY: 0.4434044, DIVERSITY_MEAN_INTER_LIST: 0.9556634, DIVERSITY_HERFINDAHL: 0.9955604, COVERAGE_ITEM: 0.3868613, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1307000, SHANNON_ENTROPY: 9.4734340, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'ITEM_CBF_CF': 0.020617622418529494, 'USER_CF': 0.8988976683348673, 'SLIM_BPR': 0.9796405795693461, 'P3ALPHA': 0.931619919700274, 'RP3BETA': 0.9981372430048426, 'IALS': 0.8650177945358012, 'USER_ITEM_ALL': 0.9757885622279661} - results: ROC_AUC: 0.1314203, PRECISION: 0.0214926, PRECISION_RECALL_MIN_DEN: 0.0716419, RECALL: 0.0716419, MAP: 0.0343954, MRR: 0.0928977, NDCG: 0.0588596, F1: 0.0330655, HIT_RATE: 0.2149256, ARHR: 0.0979401, RMSE: 0.9818791, NOVELTY: 0.0058388, AVERAGE_POPULARITY: 0.3948861, DIVERSITY_MEAN_INTER_LIST: 0.9701761, DIVERSITY_HERFINDAHL: 0.9970116, COVERAGE_ITEM: 0.3870235, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1478505, SHANNON_ENTROPY: 9.8617214, 
SearchBayesianSkoptObject: New best config found. Config 23: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1358208, PRECISION: 0.0219065, PRECISION_RECALL_MIN_DEN: 0.0730216, RECALL: 0.0730216, MAP: 0.0355893, MRR: 0.0960036, NDCG: 0.0605437, F1: 0.0337023, HIT_RATE: 0.2190647, ARHR: 0.1012667, RMSE: 0.9818791, NOVELTY: 0.0060739, AVERAGE_POPULARITY: 0.3016541, DIVERSITY_MEAN_INTER_LIST: 0.9840932, DIVERSITY_HERFINDAHL: 0.9984032, COVERAGE_ITEM: 0.4955934, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1763405, SHANNON_ENTROPY: 10.6309699, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'ITEM_CBF_CF': 0.8514014166221753, 'USER_CF': 0.010889786117978974, 'SLIM_BPR': 0.1368305995960515, 'P3ALPHA': 0.04147990130236524, 'RP3BETA': 0.9494451573462144, 'IALS': 0.046935443363358434, 'USER_ITEM_ALL': 0.970511053161599} - results: ROC_AUC: 0.1336837, PRECISION: 0.0217520, PRECISION_RECALL_MIN_DEN: 0.0725067, RECALL: 0.0725067, MAP: 0.0352910, MRR: 0.0951305, NDCG: 0.0600306, F1: 0.0334647, HIT_RATE: 0.2175202, ARHR: 0.1003837, RMSE: 0.9818791, NOVELTY: 0.0060603, AVERAGE_POPULARITY: 0.3105221, DIVERSITY_MEAN_INTER_LIST: 0.9798489, DIVERSITY_HERFINDAHL: 0.9979788, COVERAGE_ITEM: 0.5788592, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1830684, SHANNON_ENTROPY: 10.6818457, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1347228, PRECISION: 0.0219621, PRECISION_RECALL_MIN_DEN: 0.0732069, RECALL: 0.0732069, MAP: 0.0353816, MRR: 0.0958177, NDCG: 0.0604304, F1: 0.0337878, HIT_RATE: 0.2196207, ARHR: 0.1008756, RMSE: 0.9818791, NOVELTY: 0.0058562, AVERAGE_POPULARITY: 0.3826979, DIVERSITY_MEAN_INTER_LIST: 0.9726575, DIVERSITY_HERFINDAHL: 0.9972597, COVERAGE_ITEM: 0.4290349, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1431799, SHANNON_ENTROPY: 9.9761315, 
