CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2223, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.3744324151892557, 'tversky_beta': 1.0722360123440144} - results: ROC_AUC: 0.038819±0.0007, PRECISION: 0.005841±0.0001, PRECISION_RECALL_MIN_DEN: 0.058412±0.0012, RECALL: 0.058412±0.0012, MAP: 0.026449±0.0003, MRR: 0.026449±0.0003, NDCG: 0.033925±0.0005, F1: 0.010620±0.0002, HIT_RATE: 0.058412±0.0012, ARHR: 0.026449±0.0003, RMSE: 0.991455±0.0066, NOVELTY: 0.005569±0.0000, AVERAGE_POPULARITY: 0.464651±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.951332±0.0003, DIVERSITY_HERFINDAHL: 0.995128±0.0000, COVERAGE_ITEM: 0.177529±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118466±0.0017, SHANNON_ENTROPY: 8.755393±0.0066, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 2567, 'shrink': 1953, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.9474632385670383, 'tversky_beta': 0.43146272111740147} - results: ROC_AUC: 0.038310±0.0006, PRECISION: 0.005799±0.0001, PRECISION_RECALL_MIN_DEN: 0.057991±0.0012, RECALL: 0.057991±0.0012, MAP: 0.025940±0.0005, MRR: 0.025940±0.0005, NDCG: 0.033437±0.0006, F1: 0.010544±0.0002, HIT_RATE: 0.057991±0.0012, ARHR: 0.025940±0.0005, RMSE: 0.929872±0.0009, NOVELTY: 0.005553±0.0000, AVERAGE_POPULARITY: 0.472068±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.947320±0.0003, DIVERSITY_HERFINDAHL: 0.994727±0.0000, COVERAGE_ITEM: 0.178448±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114746±0.0018, SHANNON_ENTROPY: 8.686376±0.0078, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 153, 'shrink': 568, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.895951213908471, 'tversky_beta': 0.8629223697551511} - results: ROC_AUC: 0.020922±0.0006, PRECISION: 0.003015±0.0001, PRECISION_RECALL_MIN_DEN: 0.030151±0.0008, RECALL: 0.030151±0.0008, MAP: 0.014708±0.0007, MRR: 0.014708±0.0007, NDCG: 0.018333±0.0007, F1: 0.005482±0.0001, HIT_RATE: 0.030151±0.0008, ARHR: 0.014708±0.0007, RMSE: 0.997566±0.0001, NOVELTY: 0.006548±0.0000, AVERAGE_POPULARITY: 0.204093±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.994167±0.0000, DIVERSITY_HERFINDAHL: 0.999411±0.0000, COVERAGE_ITEM: 0.538102±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.293126±0.0010, SHANNON_ENTROPY: 11.777486±0.0076, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1065, 'shrink': 1926, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.9956992991827067, 'tversky_beta': 1.7328006891401486} - results: ROC_AUC: 0.034765±0.0004, PRECISION: 0.005182±0.0000, PRECISION_RECALL_MIN_DEN: 0.051817±0.0004, RECALL: 0.051817±0.0004, MAP: 0.023982±0.0006, MRR: 0.023982±0.0006, NDCG: 0.030496±0.0005, F1: 0.009421±0.0001, HIT_RATE: 0.051817±0.0004, ARHR: 0.023982±0.0006, RMSE: 0.969700±0.0004, NOVELTY: 0.006079±0.0000, AVERAGE_POPULARITY: 0.310851±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.981539±0.0003, DIVERSITY_HERFINDAHL: 0.998148±0.0000, COVERAGE_ITEM: 0.348462±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.171578±0.0014, SHANNON_ENTROPY: 10.248616±0.0147, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1102, 'shrink': 1519, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.29613949507545284, 'tversky_beta': 1.3935416892340693} - results: ROC_AUC: 0.035448±0.0005, PRECISION: 0.005194±0.0000, PRECISION_RECALL_MIN_DEN: 0.051942±0.0004, RECALL: 0.051942±0.0004, MAP: 0.024534±0.0007, MRR: 0.024534±0.0007, NDCG: 0.030964±0.0006, F1: 0.009444±0.0001, HIT_RATE: 0.051942±0.0004, ARHR: 0.024534±0.0007, RMSE: 0.965099±0.0005, NOVELTY: 0.006084±0.0000, AVERAGE_POPULARITY: 0.314079±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.981423±0.0003, DIVERSITY_HERFINDAHL: 0.998137±0.0000, COVERAGE_ITEM: 0.387402±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.167168±0.0012, SHANNON_ENTROPY: 10.304656±0.0146, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 3803, 'shrink': 1759, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.8657988677927237, 'tversky_beta': 1.519796454071102} - results: ROC_AUC: 0.038467±0.0007, PRECISION: 0.005931±0.0000, PRECISION_RECALL_MIN_DEN: 0.059312±0.0005, RECALL: 0.059312±0.0005, MAP: 0.025736±0.0005, MRR: 0.025736±0.0005, NDCG: 0.033571±0.0005, F1: 0.010784±0.0001, HIT_RATE: 0.059312±0.0005, ARHR: 0.025736±0.0005, RMSE: 0.913959±0.0017, NOVELTY: 0.005360±0.0000, AVERAGE_POPULARITY: 0.548789±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.918693±0.0011, DIVERSITY_HERFINDAHL: 0.991864±0.0001, COVERAGE_ITEM: 0.109738±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.108084±0.0019, SHANNON_ENTROPY: 7.963250±0.0173, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 2923, 'shrink': 1527, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.03178263889547784, 'tversky_beta': 0.4552613405976461} - results: ROC_AUC: 0.037439±0.0007, PRECISION: 0.005725±0.0001, PRECISION_RECALL_MIN_DEN: 0.057250±0.0010, RECALL: 0.057250±0.0010, MAP: 0.025128±0.0005, MRR: 0.025128±0.0005, NDCG: 0.032633±0.0006, F1: 0.010409±0.0002, HIT_RATE: 0.057250±0.0010, ARHR: 0.025128±0.0005, RMSE: 0.900804±0.0009, NOVELTY: 0.005478±0.0000, AVERAGE_POPULARITY: 0.497891±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.937660±0.0007, DIVERSITY_HERFINDAHL: 0.993761±0.0001, COVERAGE_ITEM: 0.134090±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119482±0.0021, SHANNON_ENTROPY: 8.388428±0.0099, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2425, 'shrink': 9, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.2812260686433254, 'tversky_beta': 0.8128093328305022} - results: ROC_AUC: 0.036699±0.0007, PRECISION: 0.005725±0.0001, PRECISION_RECALL_MIN_DEN: 0.057250±0.0011, RECALL: 0.057250±0.0011, MAP: 0.024561±0.0004, MRR: 0.024561±0.0004, NDCG: 0.032176±0.0005, F1: 0.010409±0.0002, HIT_RATE: 0.057250±0.0011, ARHR: 0.024561±0.0004, RMSE: 4.820747±0.0450, NOVELTY: 0.005346±0.0000, AVERAGE_POPULARITY: 0.549712±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.919440±0.0015, DIVERSITY_HERFINDAHL: 0.991939±0.0001, COVERAGE_ITEM: 0.082768±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127115±0.0018, SHANNON_ENTROPY: 7.877992±0.0172, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 2040, 'shrink': 1284, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.4042858651877429, 'tversky_beta': 1.340124898696151} - results: ROC_AUC: 0.037666±0.0006, PRECISION: 0.005717±0.0001, PRECISION_RECALL_MIN_DEN: 0.057171±0.0014, RECALL: 0.057171±0.0014, MAP: 0.025517±0.0006, MRR: 0.025517±0.0006, NDCG: 0.032918±0.0008, F1: 0.010395±0.0003, HIT_RATE: 0.057171±0.0014, ARHR: 0.025517±0.0006, RMSE: 0.926564±0.0008, NOVELTY: 0.005668±0.0000, AVERAGE_POPULARITY: 0.431650±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.959094±0.0004, DIVERSITY_HERFINDAHL: 0.995904±0.0000, COVERAGE_ITEM: 0.221563±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122884±0.0010, SHANNON_ENTROPY: 9.079026±0.0081, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1802, 'shrink': 534, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.6299006915501135, 'tversky_beta': 0.36108200114352235} - results: ROC_AUC: 0.037192±0.0007, PRECISION: 0.005651±0.0001, PRECISION_RECALL_MIN_DEN: 0.056510±0.0015, RECALL: 0.056510±0.0015, MAP: 0.024892±0.0006, MRR: 0.024892±0.0006, NDCG: 0.032292±0.0007, F1: 0.010275±0.0003, HIT_RATE: 0.056510±0.0015, ARHR: 0.024892±0.0006, RMSE: 0.963038±0.0007, NOVELTY: 0.005374±0.0000, AVERAGE_POPULARITY: 0.540557±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.926122±0.0007, DIVERSITY_HERFINDAHL: 0.992607±0.0001, COVERAGE_ITEM: 0.113414±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116516±0.0027, SHANNON_ENTROPY: 8.112214±0.0138, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1612, 'shrink': 1760, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.4597645494878413, 'tversky_beta': 1.7606176113497396} - results: ROC_AUC: 0.036591±0.0004, PRECISION: 0.005537±0.0001, PRECISION_RECALL_MIN_DEN: 0.055371±0.0009, RECALL: 0.055371±0.0009, MAP: 0.024630±0.0006, MRR: 0.024630±0.0006, NDCG: 0.031825±0.0005, F1: 0.010067±0.0002, HIT_RATE: 0.055371±0.0009, ARHR: 0.024630±0.0006, RMSE: 0.947393±0.0008, NOVELTY: 0.005786±0.0000, AVERAGE_POPULARITY: 0.390202±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.968260±0.0006, DIVERSITY_HERFINDAHL: 0.996821±0.0001, COVERAGE_ITEM: 0.240281±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140357±0.0014, SHANNON_ENTROPY: 9.426234±0.0089, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 3126, 'shrink': 669, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.8462216553648911, 'tversky_beta': 0.554408262387683} - results: ROC_AUC: 0.037316±0.0008, PRECISION: 0.005776±0.0001, PRECISION_RECALL_MIN_DEN: 0.057763±0.0011, RECALL: 0.057763±0.0011, MAP: 0.024990±0.0004, MRR: 0.024990±0.0004, NDCG: 0.032634±0.0005, F1: 0.010502±0.0002, HIT_RATE: 0.057763±0.0011, ARHR: 0.024990±0.0004, RMSE: 0.895834±0.0037, NOVELTY: 0.005446±0.0000, AVERAGE_POPULARITY: 0.510637±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.932681±0.0009, DIVERSITY_HERFINDAHL: 0.993263±0.0001, COVERAGE_ITEM: 0.121763±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119656±0.0023, SHANNON_ENTROPY: 8.262434±0.0125, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 3195, 'shrink': 112, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.453465617586081, 'tversky_beta': 0.13524236503677692} - results: ROC_AUC: 0.036375±0.0008, PRECISION: 0.005667±0.0001, PRECISION_RECALL_MIN_DEN: 0.056669±0.0009, RECALL: 0.056669±0.0009, MAP: 0.024129±0.0005, MRR: 0.024129±0.0005, NDCG: 0.031717±0.0006, F1: 0.010304±0.0002, HIT_RATE: 0.056669±0.0009, ARHR: 0.024129±0.0005, RMSE: 0.937228±0.0044, NOVELTY: 0.005201±0.0000, AVERAGE_POPULARITY: 0.628784±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.873925±0.0009, DIVERSITY_HERFINDAHL: 0.987387±0.0001, COVERAGE_ITEM: 0.064180±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107474±0.0022, SHANNON_ENTROPY: 7.239494±0.0105, 
CrossSearchBayesianSkopt: New best config found. Config 23: {'topK': 691, 'shrink': 210, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.3245857054003582, 'tversky_beta': 1.9216235439945415} - results: ROC_AUC: 0.039511±0.0008, PRECISION: 0.005918±0.0000, PRECISION_RECALL_MIN_DEN: 0.059175±0.0005, RECALL: 0.059175±0.0005, MAP: 0.026821±0.0007, MRR: 0.026821±0.0007, NDCG: 0.034399±0.0006, F1: 0.010759±0.0001, HIT_RATE: 0.059175±0.0005, ARHR: 0.026821±0.0007, RMSE: 0.936786±0.0009, NOVELTY: 0.005500±0.0000, AVERAGE_POPULARITY: 0.482690±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.952850±0.0003, DIVERSITY_HERFINDAHL: 0.995280±0.0000, COVERAGE_ITEM: 0.146742±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132285±0.0018, SHANNON_ENTROPY: 8.709032±0.0079, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 893, 'shrink': 1868, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.935108695395805, 'tversky_beta': 1.9046618857172437} - results: ROC_AUC: 0.035766±0.0005, PRECISION: 0.005362±0.0001, PRECISION_RECALL_MIN_DEN: 0.053617±0.0008, RECALL: 0.053617±0.0008, MAP: 0.024395±0.0007, MRR: 0.024395±0.0007, NDCG: 0.031232±0.0006, F1: 0.009748±0.0001, HIT_RATE: 0.053617±0.0008, ARHR: 0.024395±0.0007, RMSE: 0.994978±0.0001, NOVELTY: 0.005689±0.0000, AVERAGE_POPULARITY: 0.412119±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.966934±0.0004, DIVERSITY_HERFINDAHL: 0.996688±0.0000, COVERAGE_ITEM: 0.219811±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142341±0.0010, SHANNON_ENTROPY: 9.337455±0.0117, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 3624, 'shrink': 936, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.5016769647326729, 'tversky_beta': 1.073688972854203} - results: ROC_AUC: 0.038571±0.0007, PRECISION: 0.005936±0.0001, PRECISION_RECALL_MIN_DEN: 0.059358±0.0010, RECALL: 0.059358±0.0010, MAP: 0.025828±0.0005, MRR: 0.025828±0.0005, NDCG: 0.033655±0.0006, F1: 0.010792±0.0002, HIT_RATE: 0.059358±0.0010, ARHR: 0.025828±0.0005, RMSE: 0.936417±0.0041, NOVELTY: 0.005380±0.0000, AVERAGE_POPULARITY: 0.540003±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.922422±0.0010, DIVERSITY_HERFINDAHL: 0.992237±0.0001, COVERAGE_ITEM: 0.115328±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.109198±0.0021, SHANNON_ENTROPY: 8.043080±0.0166, 
