CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2223, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3744324151892557, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.065190±0.0012, PRECISION: 0.009181±0.0001, PRECISION_RECALL_MIN_DEN: 0.091810±0.0013, RECALL: 0.091810±0.0013, MAP: 0.046564±0.0008, MRR: 0.046564±0.0008, NDCG: 0.057218±0.0009, F1: 0.016693±0.0002, HIT_RATE: 0.091810±0.0013, ARHR: 0.046564±0.0008, RMSE: 7.230871±0.0343, NOVELTY: 0.005299±0.0000, AVERAGE_POPULARITY: 0.609649±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.895579±0.0005, DIVERSITY_HERFINDAHL: 0.989553±0.0001, COVERAGE_ITEM: 0.221584±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.069701±0.0005, SHANNON_ENTROPY: 7.795620±0.0087, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 2567, 'shrink': 1953, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9474632385670383, 'feature_weighting': 'none'} - results: ROC_AUC: 0.021291±0.0003, PRECISION: 0.003350±0.0001, PRECISION_RECALL_MIN_DEN: 0.033500±0.0007, RECALL: 0.033500±0.0007, MAP: 0.014235±0.0003, MRR: 0.014235±0.0003, NDCG: 0.018717±0.0003, F1: 0.006091±0.0001, HIT_RATE: 0.033500±0.0007, ARHR: 0.014235±0.0003, RMSE: 0.994810±0.0018, NOVELTY: 0.005900±0.0000, AVERAGE_POPULARITY: 0.386261±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.962137±0.0015, DIVERSITY_HERFINDAHL: 0.996208±0.0001, COVERAGE_ITEM: 0.338113±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142426±0.0010, SHANNON_ENTROPY: 9.586178±0.0243, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 153, 'shrink': 568, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.895951213908471, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.045644±0.0011, PRECISION: 0.006585±0.0001, PRECISION_RECALL_MIN_DEN: 0.065850±0.0008, RECALL: 0.065850±0.0008, MAP: 0.032479±0.0010, MRR: 0.032479±0.0010, NDCG: 0.040301±0.0008, F1: 0.011973±0.0001, HIT_RATE: 0.065850±0.0008, ARHR: 0.032479±0.0010, RMSE: 0.941241±0.0004, NOVELTY: 0.005580±0.0000, AVERAGE_POPULARITY: 0.485857±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.949354±0.0006, DIVERSITY_HERFINDAHL: 0.994930±0.0001, COVERAGE_ITEM: 0.286921±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129832±0.0011, SHANNON_ENTROPY: 9.167290±0.0158, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1065, 'shrink': 1926, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9956992991827067, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.055878±0.0009, PRECISION: 0.007579±0.0001, PRECISION_RECALL_MIN_DEN: 0.075795±0.0010, RECALL: 0.075795±0.0010, MAP: 0.040813±0.0008, MRR: 0.040813±0.0008, NDCG: 0.049090±0.0008, F1: 0.013781±0.0002, HIT_RATE: 0.075795±0.0010, ARHR: 0.040813±0.0008, RMSE: 0.894151±0.0019, NOVELTY: 0.006154±0.0000, AVERAGE_POPULARITY: 0.326274±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.978666±0.0005, DIVERSITY_HERFINDAHL: 0.997861±0.0001, COVERAGE_ITEM: 0.477329±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.208728±0.0008, SHANNON_ENTROPY: 10.630798±0.0129, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1102, 'shrink': 1519, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.29613949507545284, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.062091±0.0013, PRECISION: 0.008340±0.0001, PRECISION_RECALL_MIN_DEN: 0.083404±0.0011, RECALL: 0.083404±0.0011, MAP: 0.045365±0.0011, MRR: 0.045365±0.0011, NDCG: 0.054386±0.0010, F1: 0.015164±0.0002, HIT_RATE: 0.083404±0.0011, ARHR: 0.045365±0.0011, RMSE: 0.916910±0.0046, NOVELTY: 0.006167±0.0000, AVERAGE_POPULARITY: 0.345187±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.977796±0.0002, DIVERSITY_HERFINDAHL: 0.997774±0.0000, COVERAGE_ITEM: 0.677340±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.196061±0.0008, SHANNON_ENTROPY: 10.805562±0.0095, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 3803, 'shrink': 1759, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8657988677927237, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.057100±0.0012, PRECISION: 0.008222±0.0002, PRECISION_RECALL_MIN_DEN: 0.082219±0.0018, RECALL: 0.082219±0.0018, MAP: 0.040080±0.0007, MRR: 0.040080±0.0007, NDCG: 0.049980±0.0010, F1: 0.014949±0.0003, HIT_RATE: 0.082219±0.0018, ARHR: 0.040080±0.0007, RMSE: 0.927609±0.0063, NOVELTY: 0.005297±0.0000, AVERAGE_POPULARITY: 0.603577±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.885520±0.0018, DIVERSITY_HERFINDAHL: 0.988547±0.0002, COVERAGE_ITEM: 0.201222±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.067185±0.0005, SHANNON_ENTROPY: 7.652519±0.0274, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 2923, 'shrink': 1527, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.03178263889547784, 'feature_weighting': 'none'} - results: ROC_AUC: 0.018853±0.0005, PRECISION: 0.003153±0.0000, PRECISION_RECALL_MIN_DEN: 0.031530±0.0004, RECALL: 0.031530±0.0004, MAP: 0.012043±0.0003, MRR: 0.012043±0.0003, NDCG: 0.016558±0.0003, F1: 0.005733±0.0001, HIT_RATE: 0.031530±0.0004, ARHR: 0.012043±0.0003, RMSE: 0.975800±0.0019, NOVELTY: 0.005704±0.0000, AVERAGE_POPULARITY: 0.439186±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.944082±0.0027, DIVERSITY_HERFINDAHL: 0.994403±0.0003, COVERAGE_ITEM: 0.263228±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.109006±0.0011, SHANNON_ENTROPY: 8.889919±0.0368, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2425, 'shrink': 9, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2812260686433254, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.049902±0.0013, PRECISION: 0.007390±0.0002, PRECISION_RECALL_MIN_DEN: 0.073904±0.0021, RECALL: 0.073904±0.0021, MAP: 0.034114±0.0009, MRR: 0.034114±0.0009, NDCG: 0.043441±0.0012, F1: 0.013437±0.0004, HIT_RATE: 0.073904±0.0021, ARHR: 0.034114±0.0009, RMSE: 3.966247±0.0340, NOVELTY: 0.005229±0.0000, AVERAGE_POPULARITY: 0.615800±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.875521±0.0028, DIVERSITY_HERFINDAHL: 0.987547±0.0003, COVERAGE_ITEM: 0.083071±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.089442±0.0024, SHANNON_ENTROPY: 7.276204±0.0239, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 2040, 'shrink': 1284, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4042858651877429, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.068201±0.0010, PRECISION: 0.009461±0.0002, PRECISION_RECALL_MIN_DEN: 0.094612±0.0015, RECALL: 0.094612±0.0015, MAP: 0.049142±0.0007, MRR: 0.049142±0.0007, NDCG: 0.059871±0.0008, F1: 0.017202±0.0003, HIT_RATE: 0.094612±0.0015, ARHR: 0.049142±0.0007, RMSE: 1.154334±0.0049, NOVELTY: 0.005439±0.0000, AVERAGE_POPULARITY: 0.551027±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.924682±0.0002, DIVERSITY_HERFINDAHL: 0.992463±0.0000, COVERAGE_ITEM: 0.304580±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.088667±0.0002, SHANNON_ENTROPY: 8.492813±0.0021, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1802, 'shrink': 534, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6299006915501135, 'feature_weighting': 'none'} - results: ROC_AUC: 0.021665±0.0006, PRECISION: 0.003423±0.0001, PRECISION_RECALL_MIN_DEN: 0.034229±0.0007, RECALL: 0.034229±0.0007, MAP: 0.014227±0.0004, MRR: 0.014227±0.0004, NDCG: 0.018887±0.0004, F1: 0.006224±0.0001, HIT_RATE: 0.034229±0.0007, ARHR: 0.014227±0.0004, RMSE: 0.995632±0.0004, NOVELTY: 0.005591±0.0000, AVERAGE_POPULARITY: 0.465181±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.946427±0.0015, DIVERSITY_HERFINDAHL: 0.994637±0.0001, COVERAGE_ITEM: 0.231208±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114513±0.0012, SHANNON_ENTROPY: 8.849985±0.0302, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1612, 'shrink': 1760, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4597645494878413, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.062381±0.0008, PRECISION: 0.008561±0.0001, PRECISION_RECALL_MIN_DEN: 0.085613±0.0010, RECALL: 0.085613±0.0010, MAP: 0.044736±0.0006, MRR: 0.044736±0.0006, NDCG: 0.054410±0.0007, F1: 0.015566±0.0002, HIT_RATE: 0.085613±0.0010, ARHR: 0.044736±0.0006, RMSE: 0.870691±0.0024, NOVELTY: 0.005794±0.0000, AVERAGE_POPULARITY: 0.424125±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.959692±0.0007, DIVERSITY_HERFINDAHL: 0.995964±0.0001, COVERAGE_ITEM: 0.420989±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136485±0.0007, SHANNON_ENTROPY: 9.629483±0.0159, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 3126, 'shrink': 669, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8462216553648911, 'feature_weighting': 'none'} - results: ROC_AUC: 0.021821±0.0003, PRECISION: 0.003442±0.0001, PRECISION_RECALL_MIN_DEN: 0.034423±0.0007, RECALL: 0.034423±0.0007, MAP: 0.014187±0.0001, MRR: 0.014187±0.0001, NDCG: 0.018907±0.0002, F1: 0.006259±0.0001, HIT_RATE: 0.034423±0.0007, ARHR: 0.014187±0.0001, RMSE: 0.978997±0.0030, NOVELTY: 0.005811±0.0000, AVERAGE_POPULARITY: 0.410585±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.957191±0.0016, DIVERSITY_HERFINDAHL: 0.995714±0.0002, COVERAGE_ITEM: 0.288197±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129169±0.0014, SHANNON_ENTROPY: 9.274190±0.0260, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 3195, 'shrink': 112, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.453465617586081, 'feature_weighting': 'none'} - results: ROC_AUC: 0.024118±0.0003, PRECISION: 0.003897±0.0001, PRECISION_RECALL_MIN_DEN: 0.038968±0.0005, RECALL: 0.038968±0.0005, MAP: 0.015584±0.0002, MRR: 0.015584±0.0002, NDCG: 0.021021±0.0002, F1: 0.007085±0.0001, HIT_RATE: 0.038968±0.0005, ARHR: 0.015584±0.0002, RMSE: 1.112015±0.0149, NOVELTY: 0.005344±0.0000, AVERAGE_POPULARITY: 0.563808±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.906371±0.0024, DIVERSITY_HERFINDAHL: 0.990632±0.0002, COVERAGE_ITEM: 0.153858±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.080707±0.0009, SHANNON_ENTROPY: 7.847573±0.0280, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 691, 'shrink': 210, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3245857054003582, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.044930±0.0007, PRECISION: 0.006361±0.0001, PRECISION_RECALL_MIN_DEN: 0.063606±0.0008, RECALL: 0.063606±0.0008, MAP: 0.032290±0.0007, MRR: 0.032290±0.0007, NDCG: 0.039651±0.0006, F1: 0.011565±0.0001, HIT_RATE: 0.063606±0.0008, ARHR: 0.032290±0.0007, RMSE: 0.941323±0.0006, NOVELTY: 0.005765±0.0000, AVERAGE_POPULARITY: 0.401999±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.968323±0.0006, DIVERSITY_HERFINDAHL: 0.996827±0.0001, COVERAGE_ITEM: 0.308743±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.153978±0.0009, SHANNON_ENTROPY: 9.738910±0.0142, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 893, 'shrink': 1868, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.935108695395805, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.057302±0.0011, PRECISION: 0.007927±0.0002, PRECISION_RECALL_MIN_DEN: 0.079269±0.0015, RECALL: 0.079269±0.0015, MAP: 0.041727±0.0008, MRR: 0.041727±0.0008, NDCG: 0.050580±0.0008, F1: 0.014412±0.0003, HIT_RATE: 0.079269±0.0015, ARHR: 0.041727±0.0008, RMSE: 0.944684±0.0003, NOVELTY: 0.005520±0.0000, AVERAGE_POPULARITY: 0.503614±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.942808±0.0006, DIVERSITY_HERFINDAHL: 0.994275±0.0001, COVERAGE_ITEM: 0.265866±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117921±0.0009, SHANNON_ENTROPY: 8.938200±0.0119, 
