CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2223, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038716±0.0009, PRECISION: 0.005816±0.0001, PRECISION_RECALL_MIN_DEN: 0.058162±0.0013, RECALL: 0.058162±0.0013, MAP: 0.026453±0.0005, MRR: 0.026453±0.0005, NDCG: 0.033869±0.0006, F1: 0.010575±0.0002, HIT_RATE: 0.058162±0.0013, ARHR: 0.026453±0.0005, RMSE: 0.997723±0.0067, NOVELTY: 0.005571±0.0000, AVERAGE_POPULARITY: 0.464140±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.951442±0.0003, DIVERSITY_HERFINDAHL: 0.995139±0.0000, COVERAGE_ITEM: 0.179216±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118160±0.0015, SHANNON_ENTROPY: 8.762408±0.0060, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1871, 'shrink': 1221, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.037139±0.0007, PRECISION: 0.005677±0.0001, PRECISION_RECALL_MIN_DEN: 0.056772±0.0013, RECALL: 0.056772±0.0013, MAP: 0.024916±0.0006, MRR: 0.024916±0.0006, NDCG: 0.032363±0.0007, F1: 0.010322±0.0002, HIT_RATE: 0.056772±0.0013, ARHR: 0.024916±0.0006, RMSE: 0.980257±0.0003, NOVELTY: 0.005356±0.0000, AVERAGE_POPULARITY: 0.548841±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.922397±0.0006, DIVERSITY_HERFINDAHL: 0.992234±0.0001, COVERAGE_ITEM: 0.108851±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114387±0.0026, SHANNON_ENTROPY: 8.031351±0.0133, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 836, 'shrink': 1624, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.035224±0.0006, PRECISION: 0.005217±0.0001, PRECISION_RECALL_MIN_DEN: 0.052170±0.0005, RECALL: 0.052170±0.0005, MAP: 0.024030±0.0007, MRR: 0.024030±0.0007, NDCG: 0.030628±0.0006, F1: 0.009485±0.0001, HIT_RATE: 0.052170±0.0005, ARHR: 0.024030±0.0007, RMSE: 0.995069±0.0001, NOVELTY: 0.005735±0.0000, AVERAGE_POPULARITY: 0.395701±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.970117±0.0004, DIVERSITY_HERFINDAHL: 0.997006±0.0000, COVERAGE_ITEM: 0.235945±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146503±0.0010, SHANNON_ENTROPY: 9.485223±0.0140, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 3864, 'shrink': 1216, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.037218±0.0008, PRECISION: 0.005791±0.0001, PRECISION_RECALL_MIN_DEN: 0.057911±0.0013, RECALL: 0.057911±0.0013, MAP: 0.024748±0.0005, MRR: 0.024748±0.0005, NDCG: 0.032480±0.0006, F1: 0.010529±0.0002, HIT_RATE: 0.057911±0.0013, ARHR: 0.024748±0.0005, RMSE: 0.888518±0.0026, NOVELTY: 0.005349±0.0000, AVERAGE_POPULARITY: 0.552449±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.914905±0.0012, DIVERSITY_HERFINDAHL: 0.991485±0.0001, COVERAGE_ITEM: 0.096859±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113314±0.0018, SHANNON_ENTROPY: 7.877524±0.0183, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1444, 'shrink': 588, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.037424±0.0005, PRECISION: 0.005608±0.0001, PRECISION_RECALL_MIN_DEN: 0.056077±0.0009, RECALL: 0.056077±0.0009, MAP: 0.025326±0.0005, MRR: 0.025326±0.0005, NDCG: 0.032531±0.0005, F1: 0.010196±0.0002, HIT_RATE: 0.056077±0.0009, ARHR: 0.025326±0.0005, RMSE: 0.913710±0.0011, NOVELTY: 0.005842±0.0000, AVERAGE_POPULARITY: 0.376097±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.971838±0.0006, DIVERSITY_HERFINDAHL: 0.997178±0.0001, COVERAGE_ITEM: 0.286694±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140783±0.0009, SHANNON_ENTROPY: 9.640487±0.0123, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 3213, 'shrink': 1258, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038476±0.0008, PRECISION: 0.005898±0.0001, PRECISION_RECALL_MIN_DEN: 0.058982±0.0009, RECALL: 0.058982±0.0009, MAP: 0.025891±0.0006, MRR: 0.025891±0.0006, NDCG: 0.033616±0.0006, F1: 0.010724±0.0002, HIT_RATE: 0.058982±0.0009, ARHR: 0.025891±0.0006, RMSE: 0.913693±0.0017, NOVELTY: 0.005437±0.0000, AVERAGE_POPULARITY: 0.516333±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.931921±0.0008, DIVERSITY_HERFINDAHL: 0.993187±0.0001, COVERAGE_ITEM: 0.135604±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110098±0.0023, SHANNON_ENTROPY: 8.265785±0.0117, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 3172, 'shrink': 1394, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.036776±0.0008, PRECISION: 0.005730±0.0001, PRECISION_RECALL_MIN_DEN: 0.057296±0.0006, RECALL: 0.057296±0.0006, MAP: 0.024459±0.0005, MRR: 0.024459±0.0005, NDCG: 0.032114±0.0005, F1: 0.010417±0.0001, HIT_RATE: 0.057296±0.0006, ARHR: 0.024459±0.0005, RMSE: 0.962681±0.0007, NOVELTY: 0.005198±0.0000, AVERAGE_POPULARITY: 0.630333±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.873653±0.0011, DIVERSITY_HERFINDAHL: 0.987360±0.0001, COVERAGE_ITEM: 0.064612±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107067±0.0016, SHANNON_ENTROPY: 7.239877±0.0109, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1141, 'shrink': 455, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.036756±0.0005, PRECISION: 0.005468±0.0000, PRECISION_RECALL_MIN_DEN: 0.054676±0.0005, RECALL: 0.054676±0.0005, MAP: 0.025156±0.0005, MRR: 0.025156±0.0005, NDCG: 0.032072±0.0004, F1: 0.009941±0.0001, HIT_RATE: 0.054676±0.0005, ARHR: 0.025156±0.0005, RMSE: 0.912328±0.0014, NOVELTY: 0.005962±0.0000, AVERAGE_POPULARITY: 0.341917±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.978008±0.0004, DIVERSITY_HERFINDAHL: 0.997795±0.0000, COVERAGE_ITEM: 0.329949±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.155716±0.0013, SHANNON_ENTROPY: 9.997537±0.0153, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1729, 'shrink': 531, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.037461±0.0006, PRECISION: 0.005763±0.0001, PRECISION_RECALL_MIN_DEN: 0.057626±0.0009, RECALL: 0.057626±0.0009, MAP: 0.025260±0.0005, MRR: 0.025260±0.0005, NDCG: 0.032814±0.0006, F1: 0.010477±0.0002, HIT_RATE: 0.057626±0.0009, ARHR: 0.025260±0.0005, RMSE: 0.959682±0.0008, NOVELTY: 0.005368±0.0000, AVERAGE_POPULARITY: 0.543082±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.925866±0.0006, DIVERSITY_HERFINDAHL: 0.992581±0.0001, COVERAGE_ITEM: 0.111252±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116769±0.0032, SHANNON_ENTROPY: 8.095585±0.0128, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 353, 'shrink': 1996, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.027356±0.0007, PRECISION: 0.004030±0.0001, PRECISION_RECALL_MIN_DEN: 0.040301±0.0010, RECALL: 0.040301±0.0010, MAP: 0.018938±0.0006, MRR: 0.018938±0.0006, NDCG: 0.023945±0.0006, F1: 0.007327±0.0002, HIT_RATE: 0.040301±0.0010, ARHR: 0.018938±0.0006, RMSE: 0.998699±0.0000, NOVELTY: 0.006242±0.0000, AVERAGE_POPULARITY: 0.264428±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.989054±0.0001, DIVERSITY_HERFINDAHL: 0.998900±0.0000, COVERAGE_ITEM: 0.446142±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.218015±0.0002, SHANNON_ENTROPY: 10.997710±0.0058, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 2054, 'shrink': 1903, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.036977±0.0006, PRECISION: 0.005728±0.0001, PRECISION_RECALL_MIN_DEN: 0.057284±0.0013, RECALL: 0.057284±0.0013, MAP: 0.024922±0.0006, MRR: 0.024922±0.0006, NDCG: 0.032467±0.0007, F1: 0.010415±0.0002, HIT_RATE: 0.057284±0.0013, ARHR: 0.024922±0.0006, RMSE: 0.985169±0.0002, NOVELTY: 0.005326±0.0000, AVERAGE_POPULARITY: 0.563150±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.915357±0.0003, DIVERSITY_HERFINDAHL: 0.991530±0.0000, COVERAGE_ITEM: 0.099367±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112952±0.0026, SHANNON_ENTROPY: 7.890242±0.0085, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 3803, 'shrink': 1759, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038486±0.0007, PRECISION: 0.005947±0.0001, PRECISION_RECALL_MIN_DEN: 0.059471±0.0007, RECALL: 0.059471±0.0007, MAP: 0.025795±0.0006, MRR: 0.025795±0.0006, NDCG: 0.033650±0.0006, F1: 0.010813±0.0001, HIT_RATE: 0.059471±0.0007, ARHR: 0.025795±0.0006, RMSE: 0.915593±0.0018, NOVELTY: 0.005360±0.0000, AVERAGE_POPULARITY: 0.548895±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.918730±0.0011, DIVERSITY_HERFINDAHL: 0.991868±0.0001, COVERAGE_ITEM: 0.109911±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107927±0.0018, SHANNON_ENTROPY: 7.963405±0.0174, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 3732, 'shrink': 1520, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038492±0.0007, PRECISION: 0.005939±0.0001, PRECISION_RECALL_MIN_DEN: 0.059392±0.0010, RECALL: 0.059392±0.0010, MAP: 0.025854±0.0005, MRR: 0.025854±0.0005, NDCG: 0.033676±0.0006, F1: 0.010798±0.0002, HIT_RATE: 0.059392±0.0010, ARHR: 0.025854±0.0005, RMSE: 0.917474±0.0021, NOVELTY: 0.005368±0.0000, AVERAGE_POPULARITY: 0.545429±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.920181±0.0010, DIVERSITY_HERFINDAHL: 0.992013±0.0001, COVERAGE_ITEM: 0.112376±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.108191±0.0016, SHANNON_ENTROPY: 7.995518±0.0171, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 2272, 'shrink': 1922, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.037109±0.0005, PRECISION: 0.005722±0.0001, PRECISION_RECALL_MIN_DEN: 0.057216±0.0011, RECALL: 0.057216±0.0011, MAP: 0.024959±0.0005, MRR: 0.024959±0.0005, NDCG: 0.032485±0.0005, F1: 0.010403±0.0002, HIT_RATE: 0.057216±0.0011, ARHR: 0.024959±0.0005, RMSE: 0.982939±0.0003, NOVELTY: 0.005293±0.0000, AVERAGE_POPULARITY: 0.579123±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.906668±0.0007, DIVERSITY_HERFINDAHL: 0.990662±0.0001, COVERAGE_ITEM: 0.090014±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111031±0.0021, SHANNON_ENTROPY: 7.733379±0.0099, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 22, 'shrink': 803, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.004945±0.0003, PRECISION: 0.000843±0.0000, PRECISION_RECALL_MIN_DEN: 0.008429±0.0004, RECALL: 0.008429±0.0004, MAP: 0.003273±0.0002, MRR: 0.003273±0.0002, NDCG: 0.004460±0.0002, F1: 0.001533±0.0001, HIT_RATE: 0.008429±0.0004, ARHR: 0.003273±0.0002, RMSE: 0.998771±0.0000, NOVELTY: 0.007756±0.0000, AVERAGE_POPULARITY: 0.053177±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.942750±0.0006, DIVERSITY_HERFINDAHL: 0.994270±0.0001, COVERAGE_ITEM: 0.631306±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.414965±0.0021, SHANNON_ENTROPY: 11.493386±0.0101, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1629, 'shrink': 1019, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.036554±0.0004, PRECISION: 0.005555±0.0001, PRECISION_RECALL_MIN_DEN: 0.055553±0.0012, RECALL: 0.055553±0.0012, MAP: 0.024639±0.0005, MRR: 0.024639±0.0005, NDCG: 0.031868±0.0005, F1: 0.010101±0.0002, HIT_RATE: 0.055553±0.0012, ARHR: 0.024639±0.0005, RMSE: 0.922283±0.0010, NOVELTY: 0.005780±0.0000, AVERAGE_POPULARITY: 0.392001±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.967851±0.0006, DIVERSITY_HERFINDAHL: 0.996780±0.0001, COVERAGE_ITEM: 0.237416±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139891±0.0014, SHANNON_ENTROPY: 9.405781±0.0096, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1323, 'shrink': 404, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.036944±0.0006, PRECISION: 0.005579±0.0001, PRECISION_RECALL_MIN_DEN: 0.055792±0.0012, RECALL: 0.055792±0.0012, MAP: 0.025090±0.0004, MRR: 0.025090±0.0004, NDCG: 0.032273±0.0005, F1: 0.010144±0.0002, HIT_RATE: 0.055792±0.0012, ARHR: 0.025090±0.0004, RMSE: 0.891703±0.0016, NOVELTY: 0.005836±0.0000, AVERAGE_POPULARITY: 0.373451±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.972338±0.0006, DIVERSITY_HERFINDAHL: 0.997228±0.0001, COVERAGE_ITEM: 0.252587±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148028±0.0011, SHANNON_ENTROPY: 9.596210±0.0164, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 3609, 'shrink': 449, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038647±0.0007, PRECISION: 0.005965±0.0001, PRECISION_RECALL_MIN_DEN: 0.059654±0.0010, RECALL: 0.059654±0.0010, MAP: 0.025931±0.0006, MRR: 0.025931±0.0006, NDCG: 0.033796±0.0007, F1: 0.010846±0.0002, HIT_RATE: 0.059654±0.0010, ARHR: 0.025931±0.0006, RMSE: 1.079264±0.0094, NOVELTY: 0.005375±0.0000, AVERAGE_POPULARITY: 0.542431±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.921710±0.0010, DIVERSITY_HERFINDAHL: 0.992166±0.0001, COVERAGE_ITEM: 0.112917±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.109541±0.0017, SHANNON_ENTROPY: 8.022441±0.0180, 
