SearchBayesianSkopt: New best config found. Config 0: {'topK': 170, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.7083630790715017e-09, 'lambda_j': 1.0521949487957268e-06, 'learning_rate': 1.3965839976164699e-08, 'alpha': 0.256935703633527} - results: ROC_AUC: 0.0624533, PRECISION: 0.0086285, PRECISION_RECALL_MIN_DEN: 0.0862855, RECALL: 0.0862855, MAP: 0.0459691, MRR: 0.0459691, NDCG: 0.0554538, F1: 0.0156883, HIT_RATE: 0.0862855, ARHR: 0.0459691, RMSE: 0.9999794, NOVELTY: 0.0055084, AVERAGE_POPULARITY: 0.5393332, DIVERSITY_MEAN_INTER_LIST: 0.9164710, DIVERSITY_HERFINDAHL: 0.9916419, COVERAGE_ITEM: 0.4189781, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033716, SHANNON_ENTROPY: 8.7011510, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 846, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.686540997141061e-06, 'lambda_j': 0.0013013519477473544, 'learning_rate': 2.860621135449397e-07, 'alpha': 0.21985405363633387} - results: ROC_AUC: 0.0609409, PRECISION: 0.0084520, PRECISION_RECALL_MIN_DEN: 0.0845199, RECALL: 0.0845199, MAP: 0.0443665, MRR: 0.0443665, NDCG: 0.0538224, F1: 0.0153673, HIT_RATE: 0.0845199, ARHR: 0.0443665, RMSE: 0.9994477, NOVELTY: 0.0053553, AVERAGE_POPULARITY: 0.6127933, DIVERSITY_MEAN_INTER_LIST: 0.8676291, DIVERSITY_HERFINDAHL: 0.9867580, COVERAGE_ITEM: 0.3799946, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0828376, SHANNON_ENTROPY: 7.9563859, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 640, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 5.699546244122559e-10, 'lambda_j': 2.267865510221742e-07, 'learning_rate': 1.3189446595697528e-06, 'alpha': 0.11797340322688354} - results: ROC_AUC: 0.0610042, PRECISION: 0.0083324, PRECISION_RECALL_MIN_DEN: 0.0833238, RECALL: 0.0833238, MAP: 0.0441955, MRR: 0.0441955, NDCG: 0.0534472, F1: 0.0151498, HIT_RATE: 0.0833238, ARHR: 0.0441955, RMSE: 0.9987717, NOVELTY: 0.0053503, AVERAGE_POPULARITY: 0.6069582, DIVERSITY_MEAN_INTER_LIST: 0.8753372, DIVERSITY_HERFINDAHL: 0.9875287, COVERAGE_ITEM: 0.3522033, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0815285, SHANNON_ENTROPY: 7.9891100, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 742, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.8636417779296518e-10, 'lambda_j': 0.0001086541914588442, 'learning_rate': 9.4576438013049e-06, 'alpha': 0.5156433772640449} - results: ROC_AUC: 0.0608649, PRECISION: 0.0083723, PRECISION_RECALL_MIN_DEN: 0.0837225, RECALL: 0.0837225, MAP: 0.0443102, MRR: 0.0443102, NDCG: 0.0536073, F1: 0.0152223, HIT_RATE: 0.0837225, ARHR: 0.0443102, RMSE: 0.9821051, NOVELTY: 0.0053650, AVERAGE_POPULARITY: 0.6081998, DIVERSITY_MEAN_INTER_LIST: 0.8714759, DIVERSITY_HERFINDAHL: 0.9871426, COVERAGE_ITEM: 0.3820492, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0844107, SHANNON_ENTROPY: 8.0057769, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 802, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.9707923887120927e-12, 'lambda_j': 1.6848244190653377e-06, 'learning_rate': 7.48991764115734e-07, 'alpha': 0.22921228838824825} - results: ROC_AUC: 0.0607700, PRECISION: 0.0083779, PRECISION_RECALL_MIN_DEN: 0.0837795, RECALL: 0.0837795, MAP: 0.0444225, MRR: 0.0444225, NDCG: 0.0536967, F1: 0.0152326, HIT_RATE: 0.0837795, ARHR: 0.0444225, RMSE: 0.9992812, NOVELTY: 0.0053371, AVERAGE_POPULARITY: 0.6142165, DIVERSITY_MEAN_INTER_LIST: 0.8699733, DIVERSITY_HERFINDAHL: 0.9869924, COVERAGE_ITEM: 0.3481481, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0797549, SHANNON_ENTROPY: 7.9151013, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 813, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 3.748736555449092e-05, 'lambda_j': 5.421659287685069e-06, 'learning_rate': 8.50618346216763e-07, 'alpha': 0.0284622823621626} - results: ROC_AUC: 0.0606371, PRECISION: 0.0084064, PRECISION_RECALL_MIN_DEN: 0.0840642, RECALL: 0.0840642, MAP: 0.0442078, MRR: 0.0442078, NDCG: 0.0535924, F1: 0.0152844, HIT_RATE: 0.0840642, ARHR: 0.0442078, RMSE: 0.9991834, NOVELTY: 0.0053355, AVERAGE_POPULARITY: 0.6148275, DIVERSITY_MEAN_INTER_LIST: 0.8690394, DIVERSITY_HERFINDAHL: 0.9868990, COVERAGE_ITEM: 0.3485266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0794543, SHANNON_ENTROPY: 7.9076421, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 707, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 3.151683499389065e-05, 'lambda_j': 9.513045522404312e-11, 'learning_rate': 2.366923006585629e-05, 'alpha': 0.7291470646055456} - results: ROC_AUC: 0.0607574, PRECISION: 0.0083552, PRECISION_RECALL_MIN_DEN: 0.0835517, RECALL: 0.0835517, MAP: 0.0441633, MRR: 0.0441633, NDCG: 0.0534568, F1: 0.0151912, HIT_RATE: 0.0835517, ARHR: 0.0441633, RMSE: 0.9777951, NOVELTY: 0.0053445, AVERAGE_POPULARITY: 0.6106742, DIVERSITY_MEAN_INTER_LIST: 0.8721727, DIVERSITY_HERFINDAHL: 0.9872123, COVERAGE_ITEM: 0.3492295, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0810688, SHANNON_ENTROPY: 7.9531738, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 521, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 2.2579356226146875e-10, 'lambda_j': 0.0010670077792370722, 'learning_rate': 8.141786117061108e-07, 'alpha': 0.17292403170367188} - results: ROC_AUC: 0.0614725, PRECISION: 0.0084520, PRECISION_RECALL_MIN_DEN: 0.0845199, RECALL: 0.0845199, MAP: 0.0445442, MRR: 0.0445442, NDCG: 0.0539827, F1: 0.0153673, HIT_RATE: 0.0845199, ARHR: 0.0445442, RMSE: 0.9992626, NOVELTY: 0.0053668, AVERAGE_POPULARITY: 0.5992282, DIVERSITY_MEAN_INTER_LIST: 0.8808816, DIVERSITY_HERFINDAHL: 0.9880831, COVERAGE_ITEM: 0.3594485, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0835545, SHANNON_ENTROPY: 8.0705323, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 852, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.1387678981853266e-05, 'lambda_j': 7.1502350026886695e-09, 'learning_rate': 2.920359300164394e-06, 'alpha': 0.05952174262205097} - results: ROC_AUC: 0.0608966, PRECISION: 0.0083381, PRECISION_RECALL_MIN_DEN: 0.0833808, RECALL: 0.0833808, MAP: 0.0443535, MRR: 0.0443535, NDCG: 0.0535647, F1: 0.0151601, HIT_RATE: 0.0833808, ARHR: 0.0443535, RMSE: 0.9943631, NOVELTY: 0.0053545, AVERAGE_POPULARITY: 0.6138432, DIVERSITY_MEAN_INTER_LIST: 0.8661978, DIVERSITY_HERFINDAHL: 0.9866148, COVERAGE_ITEM: 0.3793458, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0832190, SHANNON_ENTROPY: 7.9491869, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 258, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 2.3442239599067445e-12, 'lambda_j': 8.460159941202855e-11, 'learning_rate': 2.7063180227527462e-08, 'alpha': 0.1288646551092779} - results: ROC_AUC: 0.0621432, PRECISION: 0.0086399, PRECISION_RECALL_MIN_DEN: 0.0863994, RECALL: 0.0863994, MAP: 0.0454757, MRR: 0.0454757, NDCG: 0.0551018, F1: 0.0157090, HIT_RATE: 0.0863994, ARHR: 0.0454757, RMSE: 0.9999783, NOVELTY: 0.0054316, AVERAGE_POPULARITY: 0.5667682, DIVERSITY_MEAN_INTER_LIST: 0.9029607, DIVERSITY_HERFINDAHL: 0.9902909, COVERAGE_ITEM: 0.3748040, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0923843, SHANNON_ENTROPY: 8.4000360, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 361, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.00729332908548063, 'lambda_j': 2.556239983714441e-11, 'learning_rate': 1.4345125595665974e-05, 'alpha': 0.15465920229007316} - results: ROC_AUC: 0.0619154, PRECISION: 0.0084349, PRECISION_RECALL_MIN_DEN: 0.0843490, RECALL: 0.0843490, MAP: 0.0452998, MRR: 0.0452998, NDCG: 0.0545202, F1: 0.0153362, HIT_RATE: 0.0843490, ARHR: 0.0452998, RMSE: 0.9757449, NOVELTY: 0.0054249, AVERAGE_POPULARITY: 0.5788717, DIVERSITY_MEAN_INTER_LIST: 0.8923172, DIVERSITY_HERFINDAHL: 0.9892266, COVERAGE_ITEM: 0.3970803, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0925571, SHANNON_ENTROPY: 8.3072630, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 270, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.0009710704788095523, 'lambda_j': 4.225875627749277e-05, 'learning_rate': 7.499256701063232e-05, 'alpha': 0.08240463187403282} - results: ROC_AUC: 0.0620293, PRECISION: 0.0086228, PRECISION_RECALL_MIN_DEN: 0.0862285, RECALL: 0.0862285, MAP: 0.0455541, MRR: 0.0455541, NDCG: 0.0551166, F1: 0.0156779, HIT_RATE: 0.0862285, ARHR: 0.0455541, RMSE: 0.9472220, NOVELTY: 0.0054295, AVERAGE_POPULARITY: 0.5684247, DIVERSITY_MEAN_INTER_LIST: 0.9021295, DIVERSITY_HERFINDAHL: 0.9902078, COVERAGE_ITEM: 0.3732901, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0919014, SHANNON_ENTROPY: 8.3823835, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 350, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 3.6828879580249277e-07, 'lambda_j': 2.066092901860685e-11, 'learning_rate': 2.2496351009535145e-07, 'alpha': 0.37389089321991664} - results: ROC_AUC: 0.0618648, PRECISION: 0.0084976, PRECISION_RECALL_MIN_DEN: 0.0849755, RECALL: 0.0849755, MAP: 0.0451814, MRR: 0.0451814, NDCG: 0.0545671, F1: 0.0154501, HIT_RATE: 0.0849755, ARHR: 0.0451814, RMSE: 0.9996184, NOVELTY: 0.0054285, AVERAGE_POPULARITY: 0.5776094, DIVERSITY_MEAN_INTER_LIST: 0.8934871, DIVERSITY_HERFINDAHL: 0.9893436, COVERAGE_ITEM: 0.3993512, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0928721, SHANNON_ENTROPY: 8.3224734, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 272, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.00048329361625533407, 'lambda_j': 1.799371871340427e-08, 'learning_rate': 1.1711772554769684e-06, 'alpha': 0.035318915288103145} - results: ROC_AUC: 0.0619091, PRECISION: 0.0085488, PRECISION_RECALL_MIN_DEN: 0.0854881, RECALL: 0.0854881, MAP: 0.0455373, MRR: 0.0455373, NDCG: 0.0549413, F1: 0.0155433, HIT_RATE: 0.0854881, ARHR: 0.0455373, RMSE: 0.9981042, NOVELTY: 0.0054539, AVERAGE_POPULARITY: 0.5651098, DIVERSITY_MEAN_INTER_LIST: 0.9014749, DIVERSITY_HERFINDAHL: 0.9901424, COVERAGE_ITEM: 0.4056231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0963744, SHANNON_ENTROPY: 8.4498466, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 682, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 7.547857143119982e-11, 'lambda_j': 1.915063108536183e-12, 'learning_rate': 7.040861014642829e-08, 'alpha': 0.10066393155101705} - results: ROC_AUC: 0.0612320, PRECISION: 0.0083950, PRECISION_RECALL_MIN_DEN: 0.0839503, RECALL: 0.0839503, MAP: 0.0445998, MRR: 0.0445998, NDCG: 0.0538854, F1: 0.0152637, HIT_RATE: 0.0839503, ARHR: 0.0445998, RMSE: 0.9999339, NOVELTY: 0.0053472, AVERAGE_POPULARITY: 0.6092227, DIVERSITY_MEAN_INTER_LIST: 0.8732988, DIVERSITY_HERFINDAHL: 0.9873249, COVERAGE_ITEM: 0.3509057, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0811008, SHANNON_ENTROPY: 7.9662623, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 521, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.013721210684476605, 'lambda_j': 2.0536734422228453e-11, 'learning_rate': 8.299864750894926e-05, 'alpha': 0.11736861180708769} - results: ROC_AUC: 0.0610231, PRECISION: 0.0083723, PRECISION_RECALL_MIN_DEN: 0.0837225, RECALL: 0.0837225, MAP: 0.0443444, MRR: 0.0443444, NDCG: 0.0536403, F1: 0.0152223, HIT_RATE: 0.0837225, ARHR: 0.0443444, RMSE: 0.9358019, NOVELTY: 0.0053668, AVERAGE_POPULARITY: 0.5988021, DIVERSITY_MEAN_INTER_LIST: 0.8813682, DIVERSITY_HERFINDAHL: 0.9881318, COVERAGE_ITEM: 0.3583671, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0834017, SHANNON_ENTROPY: 8.0722990, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 744, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 3.110706333761386e-10, 'lambda_j': 5.249834150168532e-11, 'learning_rate': 1.3844970287527321e-07, 'alpha': 0.036925998620740516} - results: ROC_AUC: 0.0609346, PRECISION: 0.0083267, PRECISION_RECALL_MIN_DEN: 0.0832669, RECALL: 0.0832669, MAP: 0.0443616, MRR: 0.0443616, NDCG: 0.0535486, F1: 0.0151394, HIT_RATE: 0.0832669, ARHR: 0.0443616, RMSE: 0.9997369, NOVELTY: 0.0053639, AVERAGE_POPULARITY: 0.6089888, DIVERSITY_MEAN_INTER_LIST: 0.8705756, DIVERSITY_HERFINDAHL: 0.9870526, COVERAGE_ITEM: 0.3832928, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0843357, SHANNON_ENTROPY: 7.9992024, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 640, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.2762238479941389e-05, 'lambda_j': 0.024929111757753277, 'learning_rate': 5.154328812899572e-07, 'alpha': 0.3125394946645751} - results: ROC_AUC: 0.0607067, PRECISION: 0.0083836, PRECISION_RECALL_MIN_DEN: 0.0838364, RECALL: 0.0838364, MAP: 0.0444442, MRR: 0.0444442, NDCG: 0.0537205, F1: 0.0152430, HIT_RATE: 0.0838364, ARHR: 0.0444442, RMSE: 0.9995199, NOVELTY: 0.0053509, AVERAGE_POPULARITY: 0.6073374, DIVERSITY_MEAN_INTER_LIST: 0.8749248, DIVERSITY_HERFINDAHL: 0.9874875, COVERAGE_ITEM: 0.3532847, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0814369, SHANNON_ENTROPY: 7.9876420, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 304, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 5.175702757975398e-11, 'lambda_j': 1.357054892906235e-07, 'learning_rate': 9.875057638464132e-08, 'alpha': 0.12089242360943211} - results: ROC_AUC: 0.0618015, PRECISION: 0.0084862, PRECISION_RECALL_MIN_DEN: 0.0848616, RECALL: 0.0848616, MAP: 0.0450863, MRR: 0.0450863, NDCG: 0.0544691, F1: 0.0154294, HIT_RATE: 0.0848616, ARHR: 0.0450863, RMSE: 0.9999184, NOVELTY: 0.0054161, AVERAGE_POPULARITY: 0.5747630, DIVERSITY_MEAN_INTER_LIST: 0.8976196, DIVERSITY_HERFINDAHL: 0.9897568, COVERAGE_ITEM: 0.3687483, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0901268, SHANNON_ENTROPY: 8.3140587, 
