SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 6, 'MIXED': 0.29110685385617535, 'SLIM_BPR': 0.3626428846069812, 'P3ALPHA': 0.17202046197074952, 'RP3BETA': 0.2949682114473828, 'IALS': 0.3902522153792254, 'USER_ITEM_ALL': 0.4840818748063199} - results: ROC_AUC: 0.1322080, PRECISION: 0.0214061, PRECISION_RECALL_MIN_DEN: 0.0713536, RECALL: 0.0713536, MAP: 0.0345755, MRR: 0.0945037, NDCG: 0.0591407, F1: 0.0329324, HIT_RATE: 0.2140607, ARHR: 0.0990367, RMSE: 0.9820259, NOVELTY: 0.0060919, AVERAGE_POPULARITY: 0.3031668, DIVERSITY_MEAN_INTER_LIST: 0.9793347, DIVERSITY_HERFINDAHL: 0.9979274, COVERAGE_ITEM: 0.4733171, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1684996, SHANNON_ENTROPY: 10.4074396, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.005285229828679295, 'SLIM_BPR': 0.22365603212476054, 'P3ALPHA': 0.24493928308472196, 'RP3BETA': 0.005142732173074594, 'IALS': 0.060801108001620655, 'USER_ITEM_ALL': 0.18287775772710704} - results: ROC_AUC: 0.1265647, PRECISION: 0.0198987, PRECISION_RECALL_MIN_DEN: 0.0663289, RECALL: 0.0663289, MAP: 0.0331691, MRR: 0.0909303, NDCG: 0.0561201, F1: 0.0306134, HIT_RATE: 0.1989868, ARHR: 0.0951271, RMSE: 0.9820259, NOVELTY: 0.0061403, AVERAGE_POPULARITY: 0.2945207, DIVERSITY_MEAN_INTER_LIST: 0.9821166, DIVERSITY_HERFINDAHL: 0.9982056, COVERAGE_ITEM: 0.4492566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1842665, SHANNON_ENTROPY: 10.5460560, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'MIXED': 0.024721050001596863, 'SLIM_BPR': 0.05030926131919601, 'P3ALPHA': 0.8937103637379765, 'RP3BETA': 0.7030239534794064, 'IALS': 0.9331776545930165, 'USER_ITEM_ALL': 0.06960304165554311} - results: ROC_AUC: 0.1294360, PRECISION: 0.0206030, PRECISION_RECALL_MIN_DEN: 0.0686765, RECALL: 0.0686765, MAP: 0.0338272, MRR: 0.0924979, NDCG: 0.0575262, F1: 0.0316969, HIT_RATE: 0.2060295, ARHR: 0.0969188, RMSE: 0.9820259, NOVELTY: 0.0061131, AVERAGE_POPULARITY: 0.2770769, DIVERSITY_MEAN_INTER_LIST: 0.9812542, DIVERSITY_HERFINDAHL: 0.9981194, COVERAGE_ITEM: 0.3004055, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1770915, SHANNON_ENTROPY: 10.1322463, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1321475, PRECISION: 0.0212825, PRECISION_RECALL_MIN_DEN: 0.0709417, RECALL: 0.0709417, MAP: 0.0344687, MRR: 0.0942312, NDCG: 0.0589181, F1: 0.0327423, HIT_RATE: 0.2128251, ARHR: 0.0987475, RMSE: 0.9820259, NOVELTY: 0.0059422, AVERAGE_POPULARITY: 0.3549388, DIVERSITY_MEAN_INTER_LIST: 0.9721629, DIVERSITY_HERFINDAHL: 0.9972103, COVERAGE_ITEM: 0.3673966, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1326060, SHANNON_ENTROPY: 9.7576099, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.9737368556132551, 'SLIM_BPR': 0.01915381428698038, 'P3ALPHA': 0.989642757249321, 'RP3BETA': 0.9137719396040866, 'IALS': 0.05614499047791112, 'USER_ITEM_ALL': 0.26975359818705363} - results: ROC_AUC: 0.1330786, PRECISION: 0.0211528, PRECISION_RECALL_MIN_DEN: 0.0705093, RECALL: 0.0705093, MAP: 0.0345945, MRR: 0.0945202, NDCG: 0.0589169, F1: 0.0325427, HIT_RATE: 0.2115278, ARHR: 0.0990599, RMSE: 0.9820259, NOVELTY: 0.0061010, AVERAGE_POPULARITY: 0.3224929, DIVERSITY_MEAN_INTER_LIST: 0.9748572, DIVERSITY_HERFINDAHL: 0.9974797, COVERAGE_ITEM: 0.4100027, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1536179, SHANNON_ENTROPY: 10.0615372, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'MIXED': 0.9732446951807638, 'SLIM_BPR': 0.9945822201406268, 'P3ALPHA': 0.9612029315034012, 'RP3BETA': 0.11876634019924484, 'IALS': 0.9919218297454053, 'USER_ITEM_ALL': 0.9408555294143202} - results: ROC_AUC: 0.1311470, PRECISION: 0.0212084, PRECISION_RECALL_MIN_DEN: 0.0706946, RECALL: 0.0706946, MAP: 0.0342875, MRR: 0.0936675, NDCG: 0.0586147, F1: 0.0326283, HIT_RATE: 0.2120838, ARHR: 0.0981834, RMSE: 0.9820259, NOVELTY: 0.0061280, AVERAGE_POPULARITY: 0.2924029, DIVERSITY_MEAN_INTER_LIST: 0.9815100, DIVERSITY_HERFINDAHL: 0.9981449, COVERAGE_ITEM: 0.4638551, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1780227, SHANNON_ENTROPY: 10.5127900, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.1525062321004849, 'SLIM_BPR': 0.9825047641636262, 'P3ALPHA': 0.9868372154030338, 'RP3BETA': 0.9926652531461452, 'IALS': 0.06899329423456414, 'USER_ITEM_ALL': 0.04915191255482622} - results: ROC_AUC: 0.1241107, PRECISION: 0.0194786, PRECISION_RECALL_MIN_DEN: 0.0649286, RECALL: 0.0649286, MAP: 0.0323168, MRR: 0.0886179, NDCG: 0.0548032, F1: 0.0299671, HIT_RATE: 0.1947859, ARHR: 0.0927035, RMSE: 0.9820259, NOVELTY: 0.0061412, AVERAGE_POPULARITY: 0.3208706, DIVERSITY_MEAN_INTER_LIST: 0.9719863, DIVERSITY_HERFINDAHL: 0.9971926, COVERAGE_ITEM: 0.3729657, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1590324, SHANNON_ENTROPY: 9.9473482, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'MIXED': 0.9393448383192605, 'SLIM_BPR': 0.09842433697760047, 'P3ALPHA': 0.03422034715260037, 'RP3BETA': 0.9520411602710881, 'IALS': 0.9712109739353781, 'USER_ITEM_ALL': 0.22245231385546188} - results: ROC_AUC: 0.1331610, PRECISION: 0.0220856, PRECISION_RECALL_MIN_DEN: 0.0736187, RECALL: 0.0736187, MAP: 0.0346392, MRR: 0.0947186, NDCG: 0.0599177, F1: 0.0339779, HIT_RATE: 0.2208562, ARHR: 0.0992461, RMSE: 0.9820259, NOVELTY: 0.0057931, AVERAGE_POPULARITY: 0.3705976, DIVERSITY_MEAN_INTER_LIST: 0.9739480, DIVERSITY_HERFINDAHL: 0.9973888, COVERAGE_ITEM: 0.2629900, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1601727, SHANNON_ENTROPY: 9.7281304, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1361229, PRECISION: 0.0219682, PRECISION_RECALL_MIN_DEN: 0.0732275, RECALL: 0.0732275, MAP: 0.0352605, MRR: 0.0962142, NDCG: 0.0604485, F1: 0.0337973, HIT_RATE: 0.2196825, ARHR: 0.1009123, RMSE: 0.9820259, NOVELTY: 0.0058785, AVERAGE_POPULARITY: 0.3500280, DIVERSITY_MEAN_INTER_LIST: 0.9769068, DIVERSITY_HERFINDAHL: 0.9976846, COVERAGE_ITEM: 0.4138956, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1443331, SHANNON_ENTROPY: 10.0681825, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1334230, PRECISION: 0.0218941, PRECISION_RECALL_MIN_DEN: 0.0729804, RECALL: 0.0729804, MAP: 0.0345693, MRR: 0.0946030, NDCG: 0.0596699, F1: 0.0336833, HIT_RATE: 0.2189411, ARHR: 0.0990853, RMSE: 0.9820259, NOVELTY: 0.0058894, AVERAGE_POPULARITY: 0.3506039, DIVERSITY_MEAN_INTER_LIST: 0.9730003, DIVERSITY_HERFINDAHL: 0.9972940, COVERAGE_ITEM: 0.3845904, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1473645, SHANNON_ENTROPY: 9.9531658, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1320825, PRECISION: 0.0215482, PRECISION_RECALL_MIN_DEN: 0.0718272, RECALL: 0.0718272, MAP: 0.0344834, MRR: 0.0942706, NDCG: 0.0591836, F1: 0.0331510, HIT_RATE: 0.2154816, ARHR: 0.0987785, RMSE: 0.9820259, NOVELTY: 0.0060344, AVERAGE_POPULARITY: 0.3052439, DIVERSITY_MEAN_INTER_LIST: 0.9796506, DIVERSITY_HERFINDAHL: 0.9979590, COVERAGE_ITEM: 0.4200595, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1704181, SHANNON_ENTROPY: 10.3578828, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.9043084048870621, 'SLIM_BPR': 0.9466963426658315, 'P3ALPHA': 0.03315770420239795, 'RP3BETA': 0.004748198307542807, 'IALS': 0.8421628346386651, 'USER_ITEM_ALL': 0.12833883667896065} - results: ROC_AUC: 0.1296790, PRECISION: 0.0205844, PRECISION_RECALL_MIN_DEN: 0.0686147, RECALL: 0.0686147, MAP: 0.0337439, MRR: 0.0925118, NDCG: 0.0574698, F1: 0.0316683, HIT_RATE: 0.2058442, ARHR: 0.0967938, RMSE: 0.9820259, NOVELTY: 0.0059103, AVERAGE_POPULARITY: 0.3526373, DIVERSITY_MEAN_INTER_LIST: 0.9768946, DIVERSITY_HERFINDAHL: 0.9976834, COVERAGE_ITEM: 0.3805353, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1520300, SHANNON_ENTROPY: 10.0457494, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1354259, PRECISION: 0.0221474, PRECISION_RECALL_MIN_DEN: 0.0738247, RECALL: 0.0738247, MAP: 0.0353087, MRR: 0.0963912, NDCG: 0.0606709, F1: 0.0340729, HIT_RATE: 0.2214740, ARHR: 0.1010730, RMSE: 0.9820259, NOVELTY: 0.0060300, AVERAGE_POPULARITY: 0.3205804, DIVERSITY_MEAN_INTER_LIST: 0.9761666, DIVERSITY_HERFINDAHL: 0.9976106, COVERAGE_ITEM: 0.5194377, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1649663, SHANNON_ENTROPY: 10.3992288, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'MIXED': 0.05787711585589596, 'SLIM_BPR': 0.9736445308405081, 'P3ALPHA': 0.024942438991362954, 'RP3BETA': 0.8805070851565981, 'IALS': 0.6947681327629407, 'USER_ITEM_ALL': 0.9288650428764051} - results: ROC_AUC: 0.1295356, PRECISION: 0.0206215, PRECISION_RECALL_MIN_DEN: 0.0687383, RECALL: 0.0687383, MAP: 0.0337802, MRR: 0.0925238, NDCG: 0.0575277, F1: 0.0317254, HIT_RATE: 0.2062149, ARHR: 0.0968612, RMSE: 0.9820259, NOVELTY: 0.0062097, AVERAGE_POPULARITY: 0.2948839, DIVERSITY_MEAN_INTER_LIST: 0.9710880, DIVERSITY_HERFINDAHL: 0.9971028, COVERAGE_ITEM: 0.4007570, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1517387, SHANNON_ENTROPY: 9.9782685, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1328057, PRECISION: 0.0215605, PRECISION_RECALL_MIN_DEN: 0.0718684, RECALL: 0.0718684, MAP: 0.0345950, MRR: 0.0944573, NDCG: 0.0593146, F1: 0.0331700, HIT_RATE: 0.2156051, ARHR: 0.0990425, RMSE: 0.9820259, NOVELTY: 0.0060112, AVERAGE_POPULARITY: 0.3342097, DIVERSITY_MEAN_INTER_LIST: 0.9691998, DIVERSITY_HERFINDAHL: 0.9969140, COVERAGE_ITEM: 0.4838064, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1648177, SHANNON_ENTROPY: 10.2259049, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1351755, PRECISION: 0.0215482, PRECISION_RECALL_MIN_DEN: 0.0718272, RECALL: 0.0718272, MAP: 0.0350010, MRR: 0.0957460, NDCG: 0.0597859, F1: 0.0331510, HIT_RATE: 0.2154816, ARHR: 0.1002843, RMSE: 0.9820259, NOVELTY: 0.0060769, AVERAGE_POPULARITY: 0.3056326, DIVERSITY_MEAN_INTER_LIST: 0.9803525, DIVERSITY_HERFINDAHL: 0.9980292, COVERAGE_ITEM: 0.4902406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1738663, SHANNON_ENTROPY: 10.5215021, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1354249, PRECISION: 0.0218138, PRECISION_RECALL_MIN_DEN: 0.0727127, RECALL: 0.0727127, MAP: 0.0353158, MRR: 0.0963653, NDCG: 0.0603381, F1: 0.0335597, HIT_RATE: 0.2181380, ARHR: 0.1010687, RMSE: 0.9820259, NOVELTY: 0.0060021, AVERAGE_POPULARITY: 0.3361045, DIVERSITY_MEAN_INTER_LIST: 0.9768687, DIVERSITY_HERFINDAHL: 0.9976808, COVERAGE_ITEM: 0.4126521, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1485074, SHANNON_ENTROPY: 10.0785195, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.023856050314359452, 'SLIM_BPR': 0.2048444527158016, 'P3ALPHA': 0.009806832267187595, 'RP3BETA': 0.026802196922270267, 'IALS': 0.997285091170669, 'USER_ITEM_ALL': 0.018343682226386496} - results: ROC_AUC: 0.1158766, PRECISION: 0.0187867, PRECISION_RECALL_MIN_DEN: 0.0626223, RECALL: 0.0626223, MAP: 0.0304946, MRR: 0.0840509, NDCG: 0.0521476, F1: 0.0289026, HIT_RATE: 0.1878668, ARHR: 0.0877142, RMSE: 0.9820259, NOVELTY: 0.0056794, AVERAGE_POPULARITY: 0.3881854, DIVERSITY_MEAN_INTER_LIST: 0.9745753, DIVERSITY_HERFINDAHL: 0.9974515, COVERAGE_ITEM: 0.1957826, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1577100, SHANNON_ENTROPY: 9.4653587, 
