SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'MIXED': 0.7089534609050244, 'SLIM_BPR': 0.6437109539837411, 'P3ALPHA': 0.6857912870800358, 'RP3BETA': 0.41987766155131, 'IALS': 0.42273078255078655, 'USER_ITEM_ALL': 0.43056819996234785} - results: ROC_AUC: 0.1298891, PRECISION: 0.0214740, PRECISION_RECALL_MIN_DEN: 0.0715801, RECALL: 0.0715801, MAP: 0.0334968, MRR: 0.0915052, NDCG: 0.0580720, F1: 0.0330370, HIT_RATE: 0.2147402, ARHR: 0.0959198, RMSE: 0.9820259, NOVELTY: 0.0058183, AVERAGE_POPULARITY: 0.3674672, DIVERSITY_MEAN_INTER_LIST: 0.9739277, DIVERSITY_HERFINDAHL: 0.9973868, COVERAGE_ITEM: 0.3353339, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1488263, SHANNON_ENTROPY: 9.8530519, 
SearchBayesianSkoptObject: New best config found. Config 11: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1331394, PRECISION: 0.0212084, PRECISION_RECALL_MIN_DEN: 0.0706946, RECALL: 0.0706946, MAP: 0.0347897, MRR: 0.0951681, NDCG: 0.0591873, F1: 0.0326283, HIT_RATE: 0.2120838, ARHR: 0.0996920, RMSE: 0.9820259, NOVELTY: 0.0061274, AVERAGE_POPULARITY: 0.2875273, DIVERSITY_MEAN_INTER_LIST: 0.9707603, DIVERSITY_HERFINDAHL: 0.9970700, COVERAGE_ITEM: 0.5437686, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1837801, SHANNON_ENTROPY: 10.5326717, 
SearchBayesianSkoptObject: New best config found. Config 12: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1333422, PRECISION: 0.0213628, PRECISION_RECALL_MIN_DEN: 0.0712094, RECALL: 0.0712094, MAP: 0.0348609, MRR: 0.0952884, NDCG: 0.0594081, F1: 0.0328659, HIT_RATE: 0.2136282, ARHR: 0.0998580, RMSE: 0.9820259, NOVELTY: 0.0061230, AVERAGE_POPULARITY: 0.2912654, DIVERSITY_MEAN_INTER_LIST: 0.9706036, DIVERSITY_HERFINDAHL: 0.9970544, COVERAGE_ITEM: 0.5456610, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1835985, SHANNON_ENTROPY: 10.5367604, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.15456173042300939, 'SLIM_BPR': 0.9932870370297396, 'P3ALPHA': 0.6852069747433447, 'RP3BETA': 0.9636698395112576, 'IALS': 0.2328968107061023, 'USER_ITEM_ALL': 0.9626863233381268} - results: ROC_AUC: 0.1275309, PRECISION: 0.0208068, PRECISION_RECALL_MIN_DEN: 0.0693561, RECALL: 0.0693561, MAP: 0.0328470, MRR: 0.0899384, NDCG: 0.0567354, F1: 0.0320105, HIT_RATE: 0.2080682, ARHR: 0.0941823, RMSE: 0.9820259, NOVELTY: 0.0059072, AVERAGE_POPULARITY: 0.3587418, DIVERSITY_MEAN_INTER_LIST: 0.9734333, DIVERSITY_HERFINDAHL: 0.9973373, COVERAGE_ITEM: 0.5107867, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1573702, SHANNON_ENTROPY: 10.1824491, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.020000985304431288, 'SLIM_BPR': 0.034544151637083804, 'P3ALPHA': 0.004096874086830794, 'RP3BETA': 0.3065825289633933, 'IALS': 0.005495987121615365, 'USER_ITEM_ALL': 0.9848501048673971} - results: ROC_AUC: 0.1292999, PRECISION: 0.0212949, PRECISION_RECALL_MIN_DEN: 0.0709829, RECALL: 0.0709829, MAP: 0.0335682, MRR: 0.0916703, NDCG: 0.0579528, F1: 0.0327613, HIT_RATE: 0.2129487, ARHR: 0.0961276, RMSE: 0.9820259, NOVELTY: 0.0059264, AVERAGE_POPULARITY: 0.3551642, DIVERSITY_MEAN_INTER_LIST: 0.9660935, DIVERSITY_HERFINDAHL: 0.9966034, COVERAGE_ITEM: 0.5160314, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1573174, SHANNON_ENTROPY: 10.0864245, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.5740274213276363, 'SLIM_BPR': 0.9468596453182119, 'P3ALPHA': 0.9962980493237877, 'RP3BETA': 0.04554883570369884, 'IALS': 0.04331795146597162, 'USER_ITEM_ALL': 0.043199411790407434} - results: ROC_AUC: 0.1307845, PRECISION: 0.0210848, PRECISION_RECALL_MIN_DEN: 0.0702827, RECALL: 0.0702827, MAP: 0.0338298, MRR: 0.0922946, NDCG: 0.0580143, F1: 0.0324382, HIT_RATE: 0.2108482, ARHR: 0.0968057, RMSE: 0.9820259, NOVELTY: 0.0059989, AVERAGE_POPULARITY: 0.3193745, DIVERSITY_MEAN_INTER_LIST: 0.9806244, DIVERSITY_HERFINDAHL: 0.9980564, COVERAGE_ITEM: 0.4209786, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1725124, SHANNON_ENTROPY: 10.3592065, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.03176503131279219, 'SLIM_BPR': 0.026766393474548462, 'P3ALPHA': 0.041546161374306896, 'RP3BETA': 0.7689081056689656, 'IALS': 0.9363769917534819, 'USER_ITEM_ALL': 0.924963307801987} - results: ROC_AUC: 0.1298957, PRECISION: 0.0213381, PRECISION_RECALL_MIN_DEN: 0.0711270, RECALL: 0.0711270, MAP: 0.0333655, MRR: 0.0913754, NDCG: 0.0578392, F1: 0.0328279, HIT_RATE: 0.2133811, ARHR: 0.0956701, RMSE: 0.9820259, NOVELTY: 0.0057790, AVERAGE_POPULARITY: 0.3768843, DIVERSITY_MEAN_INTER_LIST: 0.9726517, DIVERSITY_HERFINDAHL: 0.9972592, COVERAGE_ITEM: 0.3114355, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1441492, SHANNON_ENTROPY: 9.7334026, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1331619, PRECISION: 0.0211034, PRECISION_RECALL_MIN_DEN: 0.0703445, RECALL: 0.0703445, MAP: 0.0347133, MRR: 0.0948935, NDCG: 0.0589981, F1: 0.0324667, HIT_RATE: 0.2110335, ARHR: 0.0994281, RMSE: 0.9820259, NOVELTY: 0.0062395, AVERAGE_POPULARITY: 0.2582351, DIVERSITY_MEAN_INTER_LIST: 0.9831664, DIVERSITY_HERFINDAHL: 0.9983106, COVERAGE_ITEM: 0.5660449, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2043123, SHANNON_ENTROPY: 10.9442371, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1333315, PRECISION: 0.0213628, PRECISION_RECALL_MIN_DEN: 0.0712094, RECALL: 0.0712094, MAP: 0.0348596, MRR: 0.0952846, NDCG: 0.0594065, F1: 0.0328659, HIT_RATE: 0.2136282, ARHR: 0.0998542, RMSE: 0.9820259, NOVELTY: 0.0061230, AVERAGE_POPULARITY: 0.2912773, DIVERSITY_MEAN_INTER_LIST: 0.9706064, DIVERSITY_HERFINDAHL: 0.9970546, COVERAGE_ITEM: 0.5457151, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1835834, SHANNON_ENTROPY: 10.5367919, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.9841207714643764, 'SLIM_BPR': 0.9435396665310298, 'P3ALPHA': 0.0534260415539264, 'RP3BETA': 0.9779547139711764, 'IALS': 0.13538026851258225, 'USER_ITEM_ALL': 0.01508317183845365} - results: ROC_AUC: 0.1254584, PRECISION: 0.0207450, PRECISION_RECALL_MIN_DEN: 0.0691501, RECALL: 0.0691501, MAP: 0.0319976, MRR: 0.0876456, NDCG: 0.0557762, F1: 0.0319154, HIT_RATE: 0.2074504, ARHR: 0.0917675, RMSE: 0.9820259, NOVELTY: 0.0057175, AVERAGE_POPULARITY: 0.3961647, DIVERSITY_MEAN_INTER_LIST: 0.9694337, DIVERSITY_HERFINDAHL: 0.9969374, COVERAGE_ITEM: 0.2638010, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1450586, SHANNON_ENTROPY: 9.5355190, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1330534, PRECISION: 0.0210169, PRECISION_RECALL_MIN_DEN: 0.0700562, RECALL: 0.0700562, MAP: 0.0346846, MRR: 0.0948145, NDCG: 0.0588791, F1: 0.0323336, HIT_RATE: 0.2101687, ARHR: 0.0993455, RMSE: 0.9820259, NOVELTY: 0.0062460, AVERAGE_POPULARITY: 0.2555810, DIVERSITY_MEAN_INTER_LIST: 0.9833951, DIVERSITY_HERFINDAHL: 0.9983334, COVERAGE_ITEM: 0.5684780, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2052914, SHANNON_ENTROPY: 10.9572865, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.8695020582486578, 'SLIM_BPR': 0.015424514284888783, 'P3ALPHA': 0.9321681273793921, 'RP3BETA': 0.0004052674475856223, 'IALS': 0.8727050650956709, 'USER_ITEM_ALL': 0.9428124707885397} - results: ROC_AUC: 0.1300791, PRECISION: 0.0204547, PRECISION_RECALL_MIN_DEN: 0.0681823, RECALL: 0.0681823, MAP: 0.0339869, MRR: 0.0932593, NDCG: 0.0575927, F1: 0.0314687, HIT_RATE: 0.2045469, ARHR: 0.0975313, RMSE: 0.9820259, NOVELTY: 0.0057475, AVERAGE_POPULARITY: 0.3654954, DIVERSITY_MEAN_INTER_LIST: 0.9775099, DIVERSITY_HERFINDAHL: 0.9977450, COVERAGE_ITEM: 0.2683428, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1402516, SHANNON_ENTROPY: 9.6916431, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.9992093960882542, 'SLIM_BPR': 0.9580200884833975, 'P3ALPHA': 0.023584164830450234, 'RP3BETA': 0.9560402629447956, 'IALS': 0.72256602481541, 'USER_ITEM_ALL': 0.9567789283890814} - results: ROC_AUC: 0.1287305, PRECISION: 0.0213258, PRECISION_RECALL_MIN_DEN: 0.0710859, RECALL: 0.0710859, MAP: 0.0330749, MRR: 0.0905255, NDCG: 0.0575012, F1: 0.0328089, HIT_RATE: 0.2132576, ARHR: 0.0948089, RMSE: 0.9820259, NOVELTY: 0.0057943, AVERAGE_POPULARITY: 0.3767183, DIVERSITY_MEAN_INTER_LIST: 0.9721281, DIVERSITY_HERFINDAHL: 0.9972068, COVERAGE_ITEM: 0.3500946, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1406389, SHANNON_ENTROPY: 9.7835624, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.8605139574781181, 'SLIM_BPR': 0.04223050449389055, 'P3ALPHA': 0.9545170728123237, 'RP3BETA': 0.9128695486559085, 'IALS': 0.8352627239898927, 'USER_ITEM_ALL': 0.9528340293138302} - results: ROC_AUC: 0.1294513, PRECISION: 0.0209180, PRECISION_RECALL_MIN_DEN: 0.0697267, RECALL: 0.0697267, MAP: 0.0332089, MRR: 0.0909908, NDCG: 0.0572584, F1: 0.0321816, HIT_RATE: 0.2091802, ARHR: 0.0952471, RMSE: 0.9820259, NOVELTY: 0.0057500, AVERAGE_POPULARITY: 0.3904429, DIVERSITY_MEAN_INTER_LIST: 0.9701441, DIVERSITY_HERFINDAHL: 0.9970084, COVERAGE_ITEM: 0.3365234, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1332127, SHANNON_ENTROPY: 9.6513325, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.1152270817873621, 'SLIM_BPR': 0.045485838604901525, 'P3ALPHA': 0.05858734519882626, 'RP3BETA': 0.05622666888782614, 'IALS': 0.9565344163468825, 'USER_ITEM_ALL': 0.11214133922353112} - results: ROC_AUC: 0.1248084, PRECISION: 0.0194353, PRECISION_RECALL_MIN_DEN: 0.0647845, RECALL: 0.0647845, MAP: 0.0324982, MRR: 0.0894818, NDCG: 0.0550055, F1: 0.0299005, HIT_RATE: 0.1943535, ARHR: 0.0934273, RMSE: 0.9820259, NOVELTY: 0.0056540, AVERAGE_POPULARITY: 0.3879932, DIVERSITY_MEAN_INTER_LIST: 0.9748340, DIVERSITY_HERFINDAHL: 0.9974774, COVERAGE_ITEM: 0.1276561, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2176931, SHANNON_ENTROPY: 9.3792987, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1331619, PRECISION: 0.0211034, PRECISION_RECALL_MIN_DEN: 0.0703445, RECALL: 0.0703445, MAP: 0.0347133, MRR: 0.0948935, NDCG: 0.0589981, F1: 0.0324667, HIT_RATE: 0.2110335, ARHR: 0.0994281, RMSE: 0.9820259, NOVELTY: 0.0062395, AVERAGE_POPULARITY: 0.2582351, DIVERSITY_MEAN_INTER_LIST: 0.9831664, DIVERSITY_HERFINDAHL: 0.9983106, COVERAGE_ITEM: 0.5660449, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2043123, SHANNON_ENTROPY: 10.9442371, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.006385127076296683, 'SLIM_BPR': 0.2313204659544647, 'P3ALPHA': 0.9987649106581974, 'RP3BETA': 0.7152271612538073, 'IALS': 0.9687939652003471, 'USER_ITEM_ALL': 0.08547607376216472} - results: ROC_AUC: 0.1286963, PRECISION: 0.0213196, PRECISION_RECALL_MIN_DEN: 0.0710653, RECALL: 0.0710653, MAP: 0.0329445, MRR: 0.0901176, NDCG: 0.0573583, F1: 0.0327993, HIT_RATE: 0.2131958, ARHR: 0.0944077, RMSE: 0.9820259, NOVELTY: 0.0057482, AVERAGE_POPULARITY: 0.3825089, DIVERSITY_MEAN_INTER_LIST: 0.9722050, DIVERSITY_HERFINDAHL: 0.9972145, COVERAGE_ITEM: 0.2632063, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1524093, SHANNON_ENTROPY: 9.6419030, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1330534, PRECISION: 0.0210169, PRECISION_RECALL_MIN_DEN: 0.0700562, RECALL: 0.0700562, MAP: 0.0346846, MRR: 0.0948145, NDCG: 0.0588791, F1: 0.0323336, HIT_RATE: 0.2101687, ARHR: 0.0993455, RMSE: 0.9820259, NOVELTY: 0.0062460, AVERAGE_POPULARITY: 0.2555810, DIVERSITY_MEAN_INTER_LIST: 0.9833951, DIVERSITY_HERFINDAHL: 0.9983334, COVERAGE_ITEM: 0.5684780, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2052914, SHANNON_ENTROPY: 10.9572865, 
