SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count', 'multiplier_cutoff': 4, 'MIXED': 0.07911700639683784, 'SLIM_BPR': 0.1850166475109243, 'P3ALPHA': 0.0761089981446046, 'RP3BETA': 0.4018500392337361, 'IALS': 0.44624491093557983, 'USER_ITEM_ALL': 0.8224667741488352} - results: ROC_AUC: 0.1277226, PRECISION: 0.0208439, PRECISION_RECALL_MIN_DEN: 0.0694796, RECALL: 0.0694796, MAP: 0.0336352, MRR: 0.0923891, NDCG: 0.0575862, F1: 0.0320675, HIT_RATE: 0.2084389, ARHR: 0.0965671, RMSE: 0.9820259, NOVELTY: 0.0060063, AVERAGE_POPULARITY: 0.3274370, DIVERSITY_MEAN_INTER_LIST: 0.9697548, DIVERSITY_HERFINDAHL: 0.9969695, COVERAGE_ITEM: 0.4669370, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1604740, SHANNON_ENTROPY: 10.1510271, 
SearchBayesianSkoptObject: New best config found. Config 11: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 0.9334718547633283, 'SLIM_BPR': 0.9705064996600539, 'P3ALPHA': 0.7887380864512731, 'RP3BETA': 0.950408153128048, 'IALS': 0.8948451343434266, 'USER_ITEM_ALL': 0.8747439523228355} - results: ROC_AUC: 0.1315345, PRECISION: 0.0216408, PRECISION_RECALL_MIN_DEN: 0.0721361, RECALL: 0.0721361, MAP: 0.0343985, MRR: 0.0937236, NDCG: 0.0591294, F1: 0.0332936, HIT_RATE: 0.2164082, ARHR: 0.0983731, RMSE: 0.9820259, NOVELTY: 0.0061190, AVERAGE_POPULARITY: 0.3125086, DIVERSITY_MEAN_INTER_LIST: 0.9763530, DIVERSITY_HERFINDAHL: 0.9976293, COVERAGE_ITEM: 0.4288186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1561172, SHANNON_ENTROPY: 10.1494559, 
SearchBayesianSkoptObject: New best config found. Config 12: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1345798, PRECISION: 0.0222462, PRECISION_RECALL_MIN_DEN: 0.0741542, RECALL: 0.0741542, MAP: 0.0347903, MRR: 0.0947458, NDCG: 0.0601862, F1: 0.0342250, HIT_RATE: 0.2224625, ARHR: 0.0994643, RMSE: 0.9820259, NOVELTY: 0.0060405, AVERAGE_POPULARITY: 0.3296634, DIVERSITY_MEAN_INTER_LIST: 0.9761893, DIVERSITY_HERFINDAHL: 0.9976129, COVERAGE_ITEM: 0.4286023, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1493524, SHANNON_ENTROPY: 10.1051407, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1346433, PRECISION: 0.0225613, PRECISION_RECALL_MIN_DEN: 0.0752044, RECALL: 0.0752044, MAP: 0.0346866, MRR: 0.0945956, NDCG: 0.0604208, F1: 0.0347097, HIT_RATE: 0.2256131, ARHR: 0.0992378, RMSE: 0.9820259, NOVELTY: 0.0059710, AVERAGE_POPULARITY: 0.3361955, DIVERSITY_MEAN_INTER_LIST: 0.9772745, DIVERSITY_HERFINDAHL: 0.9977214, COVERAGE_ITEM: 0.4776967, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1526407, SHANNON_ENTROPY: 10.2559351, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 0.8509175954919056, 'SLIM_BPR': 0.05613129439321353, 'P3ALPHA': 0.9288868311696119, 'RP3BETA': 0.08613578178772953, 'IALS': 0.08320835619727564, 'USER_ITEM_ALL': 0.1110058926034149} - results: ROC_AUC: 0.1311228, PRECISION: 0.0212393, PRECISION_RECALL_MIN_DEN: 0.0707976, RECALL: 0.0707976, MAP: 0.0341235, MRR: 0.0930856, NDCG: 0.0584520, F1: 0.0326758, HIT_RATE: 0.2123927, ARHR: 0.0976374, RMSE: 0.9820259, NOVELTY: 0.0061520, AVERAGE_POPULARITY: 0.2880249, DIVERSITY_MEAN_INTER_LIST: 0.9831167, DIVERSITY_HERFINDAHL: 0.9983056, COVERAGE_ITEM: 0.4529873, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1795387, SHANNON_ENTROPY: 10.5445803, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'MIXED': 0.009407586842525963, 'SLIM_BPR': 0.10380951216779546, 'P3ALPHA': 0.5786494385001039, 'RP3BETA': 0.9739728635336922, 'IALS': 0.004299822065061854, 'USER_ITEM_ALL': 0.9342891624995997} - results: ROC_AUC: 0.1260456, PRECISION: 0.0197628, PRECISION_RECALL_MIN_DEN: 0.0658759, RECALL: 0.0658759, MAP: 0.0330697, MRR: 0.0909218, NDCG: 0.0559215, F1: 0.0304043, HIT_RATE: 0.1976277, ARHR: 0.0950053, RMSE: 0.9820259, NOVELTY: 0.0063235, AVERAGE_POPULARITY: 0.2273262, DIVERSITY_MEAN_INTER_LIST: 0.9671171, DIVERSITY_HERFINDAHL: 0.9967057, COVERAGE_ITEM: 0.4061638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1619856, SHANNON_ENTROPY: 10.0263326, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'MIXED': 0.9714372218407206, 'SLIM_BPR': 0.8808544977370394, 'P3ALPHA': 0.6767620871821458, 'RP3BETA': 0.007007478713973116, 'IALS': 0.9705190337406019, 'USER_ITEM_ALL': 0.9610054596757363} - results: ROC_AUC: 0.1232325, PRECISION: 0.0200531, PRECISION_RECALL_MIN_DEN: 0.0668438, RECALL: 0.0668438, MAP: 0.0327695, MRR: 0.0903667, NDCG: 0.0558744, F1: 0.0308510, HIT_RATE: 0.2005313, ARHR: 0.0942694, RMSE: 0.9820259, NOVELTY: 0.0059601, AVERAGE_POPULARITY: 0.3212862, DIVERSITY_MEAN_INTER_LIST: 0.9760247, DIVERSITY_HERFINDAHL: 0.9975964, COVERAGE_ITEM: 0.3715058, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1567949, SHANNON_ENTROPY: 10.0486157, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'MIXED': 0.9513019832293036, 'SLIM_BPR': 0.00888328530185212, 'P3ALPHA': 0.9395430546582211, 'RP3BETA': 0.595375335227694, 'IALS': 0.003945966729722695, 'USER_ITEM_ALL': 0.9269841800997621} - results: ROC_AUC: 0.1217858, PRECISION: 0.0196948, PRECISION_RECALL_MIN_DEN: 0.0656494, RECALL: 0.0656494, MAP: 0.0323783, MRR: 0.0892554, NDCG: 0.0550842, F1: 0.0302997, HIT_RATE: 0.1969482, ARHR: 0.0931361, RMSE: 0.9820259, NOVELTY: 0.0063097, AVERAGE_POPULARITY: 0.2472262, DIVERSITY_MEAN_INTER_LIST: 0.9864463, DIVERSITY_HERFINDAHL: 0.9986385, COVERAGE_ITEM: 0.5259259, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2192123, SHANNON_ENTROPY: 11.0030389, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 0.0} - results: ROC_AUC: 0.1302864, PRECISION: 0.0215111, PRECISION_RECALL_MIN_DEN: 0.0717036, RECALL: 0.0717036, MAP: 0.0339685, MRR: 0.0928620, NDCG: 0.0585777, F1: 0.0330940, HIT_RATE: 0.2151109, ARHR: 0.0973047, RMSE: 0.9820259, NOVELTY: 0.0060055, AVERAGE_POPULARITY: 0.3448702, DIVERSITY_MEAN_INTER_LIST: 0.9719450, DIVERSITY_HERFINDAHL: 0.9971885, COVERAGE_ITEM: 0.3950798, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1360037, SHANNON_ENTROPY: 9.8320463, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1330060, PRECISION: 0.0219065, PRECISION_RECALL_MIN_DEN: 0.0730216, RECALL: 0.0730216, MAP: 0.0346373, MRR: 0.0945276, NDCG: 0.0596898, F1: 0.0337023, HIT_RATE: 0.2190647, ARHR: 0.0991321, RMSE: 0.9820259, NOVELTY: 0.0060915, AVERAGE_POPULARITY: 0.3177430, DIVERSITY_MEAN_INTER_LIST: 0.9771888, DIVERSITY_HERFINDAHL: 0.9977128, COVERAGE_ITEM: 0.4440660, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1543112, SHANNON_ENTROPY: 10.1822470, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'MIXED': 0.946018977965312, 'SLIM_BPR': 0.020018773350751643, 'P3ALPHA': 0.2213205604459238, 'RP3BETA': 0.13889155880096607, 'IALS': 0.9952668564016964, 'USER_ITEM_ALL': 0.018472115191705777} - results: ROC_AUC: 0.1237728, PRECISION: 0.0200161, PRECISION_RECALL_MIN_DEN: 0.0667202, RECALL: 0.0667202, MAP: 0.0325853, MRR: 0.0900514, NDCG: 0.0556925, F1: 0.0307939, HIT_RATE: 0.2001606, ARHR: 0.0938536, RMSE: 0.9820259, NOVELTY: 0.0058723, AVERAGE_POPULARITY: 0.3220658, DIVERSITY_MEAN_INTER_LIST: 0.9797649, DIVERSITY_HERFINDAHL: 0.9979704, COVERAGE_ITEM: 0.2094620, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2083429, SHANNON_ENTROPY: 9.9281585, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'MIXED': 0.9233784108596086, 'SLIM_BPR': 0.8712148477396099, 'P3ALPHA': 0.11984835935339402, 'RP3BETA': 0.035423195767051115, 'IALS': 0.004086404287048207, 'USER_ITEM_ALL': 0.04887456530646207} - results: ROC_AUC: 0.1266231, PRECISION: 0.0202446, PRECISION_RECALL_MIN_DEN: 0.0674821, RECALL: 0.0674821, MAP: 0.0332893, MRR: 0.0912099, NDCG: 0.0565809, F1: 0.0311456, HIT_RATE: 0.2024464, ARHR: 0.0954629, RMSE: 0.9820259, NOVELTY: 0.0062008, AVERAGE_POPULARITY: 0.2732150, DIVERSITY_MEAN_INTER_LIST: 0.9834237, DIVERSITY_HERFINDAHL: 0.9983363, COVERAGE_ITEM: 0.4899703, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1833232, SHANNON_ENTROPY: 10.6152304, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'MIXED': 0.020500350605182852, 'SLIM_BPR': 0.9677938991853287, 'P3ALPHA': 0.057779835961670814, 'RP3BETA': 0.02719273243078791, 'IALS': 0.14013742076923966, 'USER_ITEM_ALL': 0.9998223201871727} - results: ROC_AUC: 0.1264241, PRECISION: 0.0200531, PRECISION_RECALL_MIN_DEN: 0.0668438, RECALL: 0.0668438, MAP: 0.0331546, MRR: 0.0908316, NDCG: 0.0562480, F1: 0.0308510, HIT_RATE: 0.2005313, ARHR: 0.0950735, RMSE: 0.9820259, NOVELTY: 0.0061895, AVERAGE_POPULARITY: 0.2720718, DIVERSITY_MEAN_INTER_LIST: 0.9822866, DIVERSITY_HERFINDAHL: 0.9982226, COVERAGE_ITEM: 0.4991079, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1841452, SHANNON_ENTROPY: 10.6208165, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1345798, PRECISION: 0.0222462, PRECISION_RECALL_MIN_DEN: 0.0741542, RECALL: 0.0741542, MAP: 0.0347903, MRR: 0.0947458, NDCG: 0.0601862, F1: 0.0342250, HIT_RATE: 0.2224625, ARHR: 0.0994643, RMSE: 0.9820259, NOVELTY: 0.0060405, AVERAGE_POPULARITY: 0.3296634, DIVERSITY_MEAN_INTER_LIST: 0.9761893, DIVERSITY_HERFINDAHL: 0.9976129, COVERAGE_ITEM: 0.4286023, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1493524, SHANNON_ENTROPY: 10.1051407, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 0.0069241014587073674, 'SLIM_BPR': 0.1440308332037026, 'P3ALPHA': 0.8024106275606571, 'RP3BETA': 0.013611415827171961, 'IALS': 0.9994170037146121, 'USER_ITEM_ALL': 0.44638389597458883} - results: ROC_AUC: 0.1306350, PRECISION: 0.0210169, PRECISION_RECALL_MIN_DEN: 0.0700562, RECALL: 0.0700562, MAP: 0.0336108, MRR: 0.0918414, NDCG: 0.0577271, F1: 0.0323336, HIT_RATE: 0.2101687, ARHR: 0.0962544, RMSE: 0.9820259, NOVELTY: 0.0057969, AVERAGE_POPULARITY: 0.3524229, DIVERSITY_MEAN_INTER_LIST: 0.9791646, DIVERSITY_HERFINDAHL: 0.9979104, COVERAGE_ITEM: 0.2543390, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1594105, SHANNON_ENTROPY: 9.8199935, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'MIXED': 0.001995967720866521, 'SLIM_BPR': 0.789548951649963, 'P3ALPHA': 0.004937702926242849, 'RP3BETA': 0.9944286285541762, 'IALS': 0.02985338389059467, 'USER_ITEM_ALL': 0.7448603381248229} - results: ROC_AUC: 0.1125420, PRECISION: 0.0169642, PRECISION_RECALL_MIN_DEN: 0.0565474, RECALL: 0.0565474, MAP: 0.0302408, MRR: 0.0838326, NDCG: 0.0500510, F1: 0.0260988, HIT_RATE: 0.1696423, ARHR: 0.0872283, RMSE: 0.9820259, NOVELTY: 0.0066477, AVERAGE_POPULARITY: 0.1915389, DIVERSITY_MEAN_INTER_LIST: 0.9697262, DIVERSITY_HERFINDAHL: 0.9969666, COVERAGE_ITEM: 0.2643958, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1434873, SHANNON_ENTROPY: 9.5210720, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 0.08452003711491642, 'SLIM_BPR': 0.27558841329633005, 'P3ALPHA': 0.9809743187943358, 'RP3BETA': 0.988980152227791, 'IALS': 0.9637961244043766, 'USER_ITEM_ALL': 0.0483902560871229} - results: ROC_AUC: 0.1276084, PRECISION: 0.0204670, PRECISION_RECALL_MIN_DEN: 0.0682235, RECALL: 0.0682235, MAP: 0.0334315, MRR: 0.0912671, NDCG: 0.0569200, F1: 0.0314878, HIT_RATE: 0.2046704, ARHR: 0.0957041, RMSE: 0.9820259, NOVELTY: 0.0061539, AVERAGE_POPULARITY: 0.3100707, DIVERSITY_MEAN_INTER_LIST: 0.9697962, DIVERSITY_HERFINDAHL: 0.9969736, COVERAGE_ITEM: 0.3629089, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1516277, SHANNON_ENTROPY: 9.8590167, 
