SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'MIXED': 0.6506203027469757, 'SLIM_BPR': 0.9083284645324079, 'P3ALPHA': 0.7168235015046401, 'RP3BETA': 0.5316730078761002, 'IALS': 0.6401186448600454, 'USER_ITEM_ALL': 0.5174011386405366} - results: ROC_AUC: 0.1316132, PRECISION: 0.0211713, PRECISION_RECALL_MIN_DEN: 0.0705710, RECALL: 0.0705710, MAP: 0.0342215, MRR: 0.0935492, NDCG: 0.0585425, F1: 0.0325712, HIT_RATE: 0.2117131, ARHR: 0.0980248, RMSE: 0.9820259, NOVELTY: 0.0060146, AVERAGE_POPULARITY: 0.3216400, DIVERSITY_MEAN_INTER_LIST: 0.9804594, DIVERSITY_HERFINDAHL: 0.9980399, COVERAGE_ITEM: 0.4442282, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1725120, SHANNON_ENTROPY: 10.3913533, 
SearchBayesianSkoptObject: Config 21 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.19032163437382438, 'SLIM_BPR': 0.08662726485684459, 'P3ALPHA': 0.9795629130755952, 'RP3BETA': 0.9701811287424732, 'IALS': 0.6623636050717172, 'USER_ITEM_ALL': 0.8639566525083735} - results: ROC_AUC: 0.1327053, PRECISION: 0.0212269, PRECISION_RECALL_MIN_DEN: 0.0707564, RECALL: 0.0707564, MAP: 0.0345328, MRR: 0.0943681, NDCG: 0.0589265, F1: 0.0326568, HIT_RATE: 0.2122691, ARHR: 0.0988995, RMSE: 0.9820259, NOVELTY: 0.0058912, AVERAGE_POPULARITY: 0.3538541, DIVERSITY_MEAN_INTER_LIST: 0.9763815, DIVERSITY_HERFINDAHL: 0.9976321, COVERAGE_ITEM: 0.4424980, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1515421, SHANNON_ENTROPY: 10.1335801, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.21424091505602466, 'SLIM_BPR': 0.9761166176581747, 'P3ALPHA': 0.9931730796528478, 'RP3BETA': 0.06096326454106639, 'IALS': 0.013610795151775771, 'USER_ITEM_ALL': 0.04603653505087924} - results: ROC_AUC: 0.1222933, PRECISION: 0.0191697, PRECISION_RECALL_MIN_DEN: 0.0638990, RECALL: 0.0638990, MAP: 0.0319243, MRR: 0.0876668, NDCG: 0.0540659, F1: 0.0294919, HIT_RATE: 0.1916970, ARHR: 0.0916426, RMSE: 0.9820259, NOVELTY: 0.0060969, AVERAGE_POPULARITY: 0.3037695, DIVERSITY_MEAN_INTER_LIST: 0.9822474, DIVERSITY_HERFINDAHL: 0.9982187, COVERAGE_ITEM: 0.4422276, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1958998, SHANNON_ENTROPY: 10.6014378, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1357618, PRECISION: 0.0222895, PRECISION_RECALL_MIN_DEN: 0.0742983, RECALL: 0.0742983, MAP: 0.0353353, MRR: 0.0963229, NDCG: 0.0608325, F1: 0.0342915, HIT_RATE: 0.2228949, ARHR: 0.1010740, RMSE: 0.9820259, NOVELTY: 0.0059842, AVERAGE_POPULARITY: 0.3234578, DIVERSITY_MEAN_INTER_LIST: 0.9803648, DIVERSITY_HERFINDAHL: 0.9980304, COVERAGE_ITEM: 0.4439578, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1601285, SHANNON_ENTROPY: 10.3160718, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1345174, PRECISION: 0.0217706, PRECISION_RECALL_MIN_DEN: 0.0725685, RECALL: 0.0725685, MAP: 0.0349882, MRR: 0.0954874, NDCG: 0.0599521, F1: 0.0334932, HIT_RATE: 0.2177056, ARHR: 0.1001406, RMSE: 0.9820259, NOVELTY: 0.0061194, AVERAGE_POPULARITY: 0.2974967, DIVERSITY_MEAN_INTER_LIST: 0.9823074, DIVERSITY_HERFINDAHL: 0.9982247, COVERAGE_ITEM: 0.5183563, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1832779, SHANNON_ENTROPY: 10.6593871, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.9947090111265582, 'SLIM_BPR': 0.07469503108567722, 'P3ALPHA': 0.22482375220022072, 'RP3BETA': 0.998291320668421, 'IALS': 0.9261250606713128, 'USER_ITEM_ALL': 0.4283271055070683} - results: ROC_AUC: 0.1337671, PRECISION: 0.0216161, PRECISION_RECALL_MIN_DEN: 0.0720537, RECALL: 0.0720537, MAP: 0.0347026, MRR: 0.0948048, NDCG: 0.0595079, F1: 0.0332556, HIT_RATE: 0.2161611, ARHR: 0.0993723, RMSE: 0.9820259, NOVELTY: 0.0058125, AVERAGE_POPULARITY: 0.3758934, DIVERSITY_MEAN_INTER_LIST: 0.9732524, DIVERSITY_HERFINDAHL: 0.9973192, COVERAGE_ITEM: 0.4027575, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1355552, SHANNON_ENTROPY: 9.8731950, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.9590051194637665, 'SLIM_BPR': 0.035723730739267164, 'P3ALPHA': 0.015284917588794803, 'RP3BETA': 0.9404362897763222, 'IALS': 0.8921997616882962, 'USER_ITEM_ALL': 0.01811222471749319} - results: ROC_AUC: 0.1319946, PRECISION: 0.0213566, PRECISION_RECALL_MIN_DEN: 0.0711888, RECALL: 0.0711888, MAP: 0.0341665, MRR: 0.0935765, NDCG: 0.0587066, F1: 0.0328564, HIT_RATE: 0.2135664, ARHR: 0.0979615, RMSE: 0.9820259, NOVELTY: 0.0057510, AVERAGE_POPULARITY: 0.3921875, DIVERSITY_MEAN_INTER_LIST: 0.9706917, DIVERSITY_HERFINDAHL: 0.9970632, COVERAGE_ITEM: 0.3489592, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1291837, SHANNON_ENTROPY: 9.6693744, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'MIXED': 0.08218909519369379, 'SLIM_BPR': 0.9979364348076066, 'P3ALPHA': 0.007139192764805681, 'RP3BETA': 0.9688532468221076, 'IALS': 0.9713504793929193, 'USER_ITEM_ALL': 0.9231954520681321} - results: ROC_AUC: 0.1320106, PRECISION: 0.0213875, PRECISION_RECALL_MIN_DEN: 0.0712918, RECALL: 0.0712918, MAP: 0.0342426, MRR: 0.0936313, NDCG: 0.0587923, F1: 0.0329039, HIT_RATE: 0.2138753, ARHR: 0.0981056, RMSE: 0.9820259, NOVELTY: 0.0059280, AVERAGE_POPULARITY: 0.3386351, DIVERSITY_MEAN_INTER_LIST: 0.9785480, DIVERSITY_HERFINDAHL: 0.9978488, COVERAGE_ITEM: 0.4096783, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1558086, SHANNON_ENTROPY: 10.1624337, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.9763547080016528, 'SLIM_BPR': 0.959202350639751, 'P3ALPHA': 0.035288996935917145, 'RP3BETA': 0.08824902145906867, 'IALS': 0.867089301906572, 'USER_ITEM_ALL': 0.0797087609551791} - results: ROC_AUC: 0.1313666, PRECISION: 0.0213443, PRECISION_RECALL_MIN_DEN: 0.0711476, RECALL: 0.0711476, MAP: 0.0340298, MRR: 0.0933214, NDCG: 0.0585631, F1: 0.0328374, HIT_RATE: 0.2134429, ARHR: 0.0976298, RMSE: 0.9820259, NOVELTY: 0.0058693, AVERAGE_POPULARITY: 0.3544045, DIVERSITY_MEAN_INTER_LIST: 0.9767559, DIVERSITY_HERFINDAHL: 0.9976696, COVERAGE_ITEM: 0.3660989, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1478360, SHANNON_ENTROPY: 9.9692738, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.01011825710147707, 'SLIM_BPR': 0.9893681102018321, 'P3ALPHA': 0.9059700667751084, 'RP3BETA': 0.8853671036045572, 'IALS': 0.049780431679385076, 'USER_ITEM_ALL': 0.024862626923521376} - results: ROC_AUC: 0.1235165, PRECISION: 0.0195095, PRECISION_RECALL_MIN_DEN: 0.0650316, RECALL: 0.0650316, MAP: 0.0319629, MRR: 0.0879987, NDCG: 0.0545156, F1: 0.0300146, HIT_RATE: 0.1950948, ARHR: 0.0918651, RMSE: 0.9820259, NOVELTY: 0.0059605, AVERAGE_POPULARITY: 0.3438043, DIVERSITY_MEAN_INTER_LIST: 0.9770816, DIVERSITY_HERFINDAHL: 0.9977021, COVERAGE_ITEM: 0.4049743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1754309, SHANNON_ENTROPY: 10.2447855, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1341794, PRECISION: 0.0221412, PRECISION_RECALL_MIN_DEN: 0.0738041, RECALL: 0.0738041, MAP: 0.0349536, MRR: 0.0953603, NDCG: 0.0602821, F1: 0.0340634, HIT_RATE: 0.2214122, ARHR: 0.1000296, RMSE: 0.9820259, NOVELTY: 0.0060275, AVERAGE_POPULARITY: 0.3272656, DIVERSITY_MEAN_INTER_LIST: 0.9770358, DIVERSITY_HERFINDAHL: 0.9976975, COVERAGE_ITEM: 0.5413896, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1658413, SHANNON_ENTROPY: 10.4280367, 
SearchBayesianSkoptObject: Config 31 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.14407467577169678, 'SLIM_BPR': 0.05893563659162672, 'P3ALPHA': 0.24459745529786375, 'RP3BETA': 0.0979465993625748, 'IALS': 0.0687567197613982, 'USER_ITEM_ALL': 0.8958952453426208} - results: ROC_AUC: 0.1345293, PRECISION: 0.0215482, PRECISION_RECALL_MIN_DEN: 0.0718272, RECALL: 0.0718272, MAP: 0.0350673, MRR: 0.0959594, NDCG: 0.0598420, F1: 0.0331510, HIT_RATE: 0.2154816, ARHR: 0.1004973, RMSE: 0.9820259, NOVELTY: 0.0060601, AVERAGE_POPULARITY: 0.3091209, DIVERSITY_MEAN_INTER_LIST: 0.9804237, DIVERSITY_HERFINDAHL: 0.9980363, COVERAGE_ITEM: 0.5190051, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1765447, SHANNON_ENTROPY: 10.5671992, 
SearchBayesianSkoptObject: Config 32 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.10842518327394726, 'SLIM_BPR': 0.010505789501194964, 'P3ALPHA': 0.866647631337523, 'RP3BETA': 0.046556705660765314, 'IALS': 0.9944413023943396, 'USER_ITEM_ALL': 0.9355364053193149} - results: ROC_AUC: 0.1330175, PRECISION: 0.0212702, PRECISION_RECALL_MIN_DEN: 0.0709005, RECALL: 0.0709005, MAP: 0.0349294, MRR: 0.0955149, NDCG: 0.0593874, F1: 0.0327233, HIT_RATE: 0.2127016, ARHR: 0.1000778, RMSE: 0.9820259, NOVELTY: 0.0059496, AVERAGE_POPULARITY: 0.3253280, DIVERSITY_MEAN_INTER_LIST: 0.9813414, DIVERSITY_HERFINDAHL: 0.9981281, COVERAGE_ITEM: 0.4436875, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1564695, SHANNON_ENTROPY: 10.3119548, 
SearchBayesianSkoptObject: Config 33 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.0586439893995029, 'SLIM_BPR': 0.048778089172429664, 'P3ALPHA': 0.06459452805439704, 'RP3BETA': 0.04604987752929424, 'IALS': 0.9795433010408084, 'USER_ITEM_ALL': 0.23241099235596147} - results: ROC_AUC: 0.1246860, PRECISION: 0.0199358, PRECISION_RECALL_MIN_DEN: 0.0664525, RECALL: 0.0664525, MAP: 0.0325488, MRR: 0.0893378, NDCG: 0.0555127, F1: 0.0306704, HIT_RATE: 0.1993575, ARHR: 0.0934253, RMSE: 0.9820259, NOVELTY: 0.0056787, AVERAGE_POPULARITY: 0.3801676, DIVERSITY_MEAN_INTER_LIST: 0.9759367, DIVERSITY_HERFINDAHL: 0.9975876, COVERAGE_ITEM: 0.1412814, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2088622, SHANNON_ENTROPY: 9.4595359, 
SearchBayesianSkoptObject: Config 34 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'MIXED': 0.9535940911961093, 'SLIM_BPR': 0.9850611195570763, 'P3ALPHA': 0.9959326184360737, 'RP3BETA': 0.8598132096633632, 'IALS': 0.04035806655291541, 'USER_ITEM_ALL': 0.008248554353280648} - results: ROC_AUC: 0.1296698, PRECISION: 0.0206709, PRECISION_RECALL_MIN_DEN: 0.0689030, RECALL: 0.0689030, MAP: 0.0335873, MRR: 0.0919740, NDCG: 0.0573846, F1: 0.0318014, HIT_RATE: 0.2067091, ARHR: 0.0962934, RMSE: 0.9820259, NOVELTY: 0.0060921, AVERAGE_POPULARITY: 0.3075043, DIVERSITY_MEAN_INTER_LIST: 0.9816013, DIVERSITY_HERFINDAHL: 0.9981541, COVERAGE_ITEM: 0.4676940, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1875600, SHANNON_ENTROPY: 10.5617415, 
SearchBayesianSkoptObject: Search complete. Best config is 13: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0}
