SearchBayesianSkopt: New best config found. Config 0: {'topK': 229, 'shrink': 427, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.855415317475878, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2356767, PRECISION: 0.0023044, PRECISION_RECALL_MIN_DEN: 0.0076813, RECALL: 0.0076813, MAP: 0.0042634, MRR: 0.0120069, NDCG: 0.0070017, F1: 0.0035452, HIT_RATE: 0.0230439, ARHR: 0.0123925, RMSE: nan, NOVELTY: 0.0086061, AVERAGE_POPULARITY: 0.0085647, DIVERSITY_MEAN_INTER_LIST: 0.9991265, DIVERSITY_HERFINDAHL: 0.9998487, COVERAGE_ITEM: 0.7011193, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.5586026, SHANNON_ENTROPY: 12.9155966, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1000, 'shrink': 312, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2809626, PRECISION: 0.0099166, PRECISION_RECALL_MIN_DEN: 0.0330553, RECALL: 0.0330553, MAP: 0.0159337, MRR: 0.0444262, NDCG: 0.0274367, F1: 0.0152563, HIT_RATE: 0.0991660, ARHR: 0.0460896, RMSE: nan, NOVELTY: 0.0047948, AVERAGE_POPULARITY: 0.5549337, DIVERSITY_MEAN_INTER_LIST: 0.8175021, DIVERSITY_HERFINDAHL: 0.9700248, COVERAGE_ITEM: 0.1821693, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0448260, SHANNON_ENTROPY: 6.1872614, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 998, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2824357, PRECISION: 0.0095647, PRECISION_RECALL_MIN_DEN: 0.0318822, RECALL: 0.0318822, MAP: 0.0160428, MRR: 0.0446103, NDCG: 0.0272241, F1: 0.0147149, HIT_RATE: 0.0956467, ARHR: 0.0463489, RMSE: nan, NOVELTY: 0.0058563, AVERAGE_POPULARITY: 0.1743131, DIVERSITY_MEAN_INTER_LIST: 0.9952980, DIVERSITY_HERFINDAHL: 0.9992200, COVERAGE_ITEM: 0.4131047, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2619875, SHANNON_ENTROPY: 11.0712894, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 6, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2198386, PRECISION: 0.0000771, PRECISION_RECALL_MIN_DEN: 0.0002571, RECALL: 0.0002571, MAP: 0.0000354, MRR: 0.0001061, NDCG: 0.0001183, F1: 0.0001187, HIT_RATE: 0.0007713, ARHR: 0.0001061, RMSE: nan, NOVELTY: 0.0091232, AVERAGE_POPULARITY: 0.0016921, DIVERSITY_MEAN_INTER_LIST: 0.9919102, DIVERSITY_HERFINDAHL: 0.9986637, COVERAGE_ITEM: 0.1860967, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.5599058, SHANNON_ENTROPY: 10.8023038, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2955986, PRECISION: 0.0117726, PRECISION_RECALL_MIN_DEN: 0.0392422, RECALL: 0.0392422, MAP: 0.0200553, MRR: 0.0558384, NDCG: 0.0337935, F1: 0.0181118, HIT_RATE: 0.1177265, ARHR: 0.0579735, RMSE: nan, NOVELTY: 0.0051871, AVERAGE_POPULARITY: 0.3709763, DIVERSITY_MEAN_INTER_LIST: 0.9500482, DIVERSITY_HERFINDAHL: 0.9917897, COVERAGE_ITEM: 0.3492178, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0851025, SHANNON_ENTROPY: 8.3772673, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 469, 'shrink': 401, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1378490965757158, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2575333, PRECISION: 0.0058044, PRECISION_RECALL_MIN_DEN: 0.0193479, RECALL: 0.0193479, MAP: 0.0094986, MRR: 0.0269614, NDCG: 0.0163578, F1: 0.0089298, HIT_RATE: 0.0580437, ARHR: 0.0277286, RMSE: nan, NOVELTY: 0.0072551, AVERAGE_POPULARITY: 0.0345421, DIVERSITY_MEAN_INTER_LIST: 0.9971861, DIVERSITY_HERFINDAHL: 0.9995300, COVERAGE_ITEM: 0.7974733, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3326198, SHANNON_ENTROPY: 12.2172982, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.3033591, PRECISION: 0.0129056, PRECISION_RECALL_MIN_DEN: 0.0430185, RECALL: 0.0430185, MAP: 0.0217494, MRR: 0.0604149, NDCG: 0.0367906, F1: 0.0198547, HIT_RATE: 0.1290556, ARHR: 0.0628019, RMSE: nan, NOVELTY: 0.0056949, AVERAGE_POPULARITY: 0.2666604, DIVERSITY_MEAN_INTER_LIST: 0.9854131, DIVERSITY_HERFINDAHL: 0.9975968, COVERAGE_ITEM: 0.5485370, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1540154, SHANNON_ENTROPY: 10.1151134, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3514517594408728, 'feature_weighting': 'none'} - results: ROC_AUC: 0.3023839, PRECISION: 0.0125536, PRECISION_RECALL_MIN_DEN: 0.0418454, RECALL: 0.0418454, MAP: 0.0216026, MRR: 0.0599980, NDCG: 0.0362687, F1: 0.0193133, HIT_RATE: 0.1255363, ARHR: 0.0623788, RMSE: nan, NOVELTY: 0.0057609, AVERAGE_POPULARITY: 0.2567644, DIVERSITY_MEAN_INTER_LIST: 0.9861331, DIVERSITY_HERFINDAHL: 0.9977151, COVERAGE_ITEM: 0.5577666, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1627095, SHANNON_ENTROPY: 10.2170888, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2955986, PRECISION: 0.0117726, PRECISION_RECALL_MIN_DEN: 0.0392422, RECALL: 0.0392422, MAP: 0.0200553, MRR: 0.0558384, NDCG: 0.0337935, F1: 0.0181118, HIT_RATE: 0.1177265, ARHR: 0.0579735, RMSE: nan, NOVELTY: 0.0051871, AVERAGE_POPULARITY: 0.3709763, DIVERSITY_MEAN_INTER_LIST: 0.9500482, DIVERSITY_HERFINDAHL: 0.9917897, COVERAGE_ITEM: 0.3492178, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0851025, SHANNON_ENTROPY: 8.3772673, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2955986, PRECISION: 0.0117726, PRECISION_RECALL_MIN_DEN: 0.0392422, RECALL: 0.0392422, MAP: 0.0200553, MRR: 0.0558384, NDCG: 0.0337935, F1: 0.0181118, HIT_RATE: 0.1177265, ARHR: 0.0579735, RMSE: nan, NOVELTY: 0.0051871, AVERAGE_POPULARITY: 0.3709763, DIVERSITY_MEAN_INTER_LIST: 0.9500482, DIVERSITY_HERFINDAHL: 0.9917897, COVERAGE_ITEM: 0.3492178, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0851025, SHANNON_ENTROPY: 8.3772673, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2950142, PRECISION: 0.0112038, PRECISION_RECALL_MIN_DEN: 0.0373459, RECALL: 0.0373459, MAP: 0.0197784, MRR: 0.0552493, NDCG: 0.0329589, F1: 0.0172366, HIT_RATE: 0.1120378, ARHR: 0.0572798, RMSE: nan, NOVELTY: 0.0059348, AVERAGE_POPULARITY: 0.2310806, DIVERSITY_MEAN_INTER_LIST: 0.9858618, DIVERSITY_HERFINDAHL: 0.9976705, COVERAGE_ITEM: 0.4054461, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1857866, SHANNON_ENTROPY: 10.0860988, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2590995, PRECISION: 0.0059201, PRECISION_RECALL_MIN_DEN: 0.0197336, RECALL: 0.0197336, MAP: 0.0098266, MRR: 0.0281101, NDCG: 0.0168720, F1: 0.0091078, HIT_RATE: 0.0592007, ARHR: 0.0287950, RMSE: nan, NOVELTY: 0.0063940, AVERAGE_POPULARITY: 0.0741468, DIVERSITY_MEAN_INTER_LIST: 0.9918024, DIVERSITY_HERFINDAHL: 0.9986460, COVERAGE_ITEM: 0.6217189, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1979277, SHANNON_ENTROPY: 10.9119831, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.32710066564917106, 'feature_weighting': 'none'} - results: ROC_AUC: 0.3026841, PRECISION: 0.0126115, PRECISION_RECALL_MIN_DEN: 0.0420383, RECALL: 0.0420383, MAP: 0.0216829, MRR: 0.0601551, NDCG: 0.0364012, F1: 0.0194023, HIT_RATE: 0.1261148, ARHR: 0.0625690, RMSE: nan, NOVELTY: 0.0057568, AVERAGE_POPULARITY: 0.2574654, DIVERSITY_MEAN_INTER_LIST: 0.9860894, DIVERSITY_HERFINDAHL: 0.9977079, COVERAGE_ITEM: 0.5574393, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1620415, SHANNON_ENTROPY: 10.2088878, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.32509554530695894, 'feature_weighting': 'none'} - results: ROC_AUC: 0.3027675, PRECISION: 0.0126163, PRECISION_RECALL_MIN_DEN: 0.0420543, RECALL: 0.0420543, MAP: 0.0217014, MRR: 0.0602124, NDCG: 0.0364275, F1: 0.0194097, HIT_RATE: 0.1261630, ARHR: 0.0626257, RMSE: nan, NOVELTY: 0.0057566, AVERAGE_POPULARITY: 0.2574865, DIVERSITY_MEAN_INTER_LIST: 0.9860863, DIVERSITY_HERFINDAHL: 0.9977074, COVERAGE_ITEM: 0.5573738, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1619904, SHANNON_ENTROPY: 10.2083797, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 36, 'shrink': 998, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.07810675907734722, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2482574, PRECISION: 0.0041749, PRECISION_RECALL_MIN_DEN: 0.0139163, RECALL: 0.0139163, MAP: 0.0075956, MRR: 0.0213764, NDCG: 0.0125405, F1: 0.0064229, HIT_RATE: 0.0417490, ARHR: 0.0220691, RMSE: nan, NOVELTY: 0.0080351, AVERAGE_POPULARITY: 0.0171648, DIVERSITY_MEAN_INTER_LIST: 0.9994236, DIVERSITY_HERFINDAHL: 0.9998974, COVERAGE_ITEM: 0.9125483, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.6449676, SHANNON_ENTROPY: 13.4661261, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 37, 'shrink': 988, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.042728168330131, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2993315, PRECISION: 0.0124813, PRECISION_RECALL_MIN_DEN: 0.0416044, RECALL: 0.0416044, MAP: 0.0209512, MRR: 0.0582487, NDCG: 0.0354810, F1: 0.0192020, HIT_RATE: 0.1248132, ARHR: 0.0605235, RMSE: nan, NOVELTY: 0.0054586, AVERAGE_POPULARITY: 0.3359900, DIVERSITY_MEAN_INTER_LIST: 0.9706618, DIVERSITY_HERFINDAHL: 0.9951746, COVERAGE_ITEM: 0.5168554, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1253112, SHANNON_ENTROPY: 9.3609776, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 142, 'shrink': 992, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9254345501837036, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2997471, PRECISION: 0.0120764, PRECISION_RECALL_MIN_DEN: 0.0402545, RECALL: 0.0402545, MAP: 0.0211863, MRR: 0.0586207, NDCG: 0.0352897, F1: 0.0185790, HIT_RATE: 0.1207636, ARHR: 0.0610738, RMSE: nan, NOVELTY: 0.0063980, AVERAGE_POPULARITY: 0.1116025, DIVERSITY_MEAN_INTER_LIST: 0.9954193, DIVERSITY_HERFINDAHL: 0.9992399, COVERAGE_ITEM: 0.7600969, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2699690, SHANNON_ENTROPY: 11.7142004, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2863615, PRECISION: 0.0102782, PRECISION_RECALL_MIN_DEN: 0.0342606, RECALL: 0.0342606, MAP: 0.0173381, MRR: 0.0480065, NDCG: 0.0292953, F1: 0.0158126, HIT_RATE: 0.1027817, ARHR: 0.0499808, RMSE: nan, NOVELTY: 0.0058142, AVERAGE_POPULARITY: 0.1866546, DIVERSITY_MEAN_INTER_LIST: 0.9946279, DIVERSITY_HERFINDAHL: 0.9991100, COVERAGE_ITEM: 0.4646200, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2275472, SHANNON_ENTROPY: 10.9883414, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 431, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.3025453, PRECISION: 0.0140626, PRECISION_RECALL_MIN_DEN: 0.0468753, RECALL: 0.0468753, MAP: 0.0212885, MRR: 0.0583597, NDCG: 0.0373635, F1: 0.0216347, HIT_RATE: 0.1406258, ARHR: 0.0610677, RMSE: nan, NOVELTY: 0.0050348, AVERAGE_POPULARITY: 0.4341454, DIVERSITY_MEAN_INTER_LIST: 0.9431302, DIVERSITY_HERFINDAHL: 0.9906537, COVERAGE_ITEM: 0.2152255, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0853040, SHANNON_ENTROPY: 7.9543778, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 926, 'shrink': 997, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0477837987264005, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2812125, PRECISION: 0.0099070, PRECISION_RECALL_MIN_DEN: 0.0330232, RECALL: 0.0330232, MAP: 0.0159681, MRR: 0.0445014, NDCG: 0.0274607, F1: 0.0152415, HIT_RATE: 0.0990696, ARHR: 0.0461787, RMSE: nan, NOVELTY: 0.0048192, AVERAGE_POPULARITY: 0.5514699, DIVERSITY_MEAN_INTER_LIST: 0.8175315, DIVERSITY_HERFINDAHL: 0.9700296, COVERAGE_ITEM: 0.2393140, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0444223, SHANNON_ENTROPY: 6.2605725, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0914525894282598, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2985506, PRECISION: 0.0116955, PRECISION_RECALL_MIN_DEN: 0.0389850, RECALL: 0.0389850, MAP: 0.0206565, MRR: 0.0575711, NDCG: 0.0343998, F1: 0.0179931, HIT_RATE: 0.1169551, ARHR: 0.0597554, RMSE: nan, NOVELTY: 0.0059121, AVERAGE_POPULARITY: 0.2401206, DIVERSITY_MEAN_INTER_LIST: 0.9851985, DIVERSITY_HERFINDAHL: 0.9975616, COVERAGE_ITEM: 0.4065589, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1822762, SHANNON_ENTROPY: 10.0350346, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 127, 'shrink': 984, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9489161837523385, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2413955, PRECISION: 0.0031095, PRECISION_RECALL_MIN_DEN: 0.0103649, RECALL: 0.0103649, MAP: 0.0057841, MRR: 0.0163267, NDCG: 0.0094857, F1: 0.0047838, HIT_RATE: 0.0310948, ARHR: 0.0168344, RMSE: nan, NOVELTY: 0.0083679, AVERAGE_POPULARITY: 0.0108343, DIVERSITY_MEAN_INTER_LIST: 0.9993035, DIVERSITY_HERFINDAHL: 0.9998777, COVERAGE_ITEM: 0.8101067, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.5987218, SHANNON_ENTROPY: 13.2081727, 
