CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0500555, PRECISION: 0.0069683, PRECISION_RECALL_MIN_DEN: 0.0696834, RECALL: 0.0696834, MAP: 0.0363418, MRR: 0.0363418, NDCG: 0.0441921, F1: 0.0126697, HIT_RATE: 0.0696834, ARHR: 0.0363418, RMSE: 0.9742164, NOVELTY: 0.0052576, AVERAGE_POPULARITY: 0.6373885, DIVERSITY_MEAN_INTER_LIST: 0.8464026, DIVERSITY_HERFINDAHL: 0.9846365, COVERAGE_ITEM: 0.2886510, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0580553, SHANNON_ENTROPY: 7.4663964, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 98, 'shrink': 269, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0580063, PRECISION: 0.0079968, PRECISION_RECALL_MIN_DEN: 0.0799680, RECALL: 0.0799680, MAP: 0.0418535, MRR: 0.0418535, NDCG: 0.0508550, F1: 0.0145396, HIT_RATE: 0.0799680, ARHR: 0.0418535, RMSE: 0.9763014, NOVELTY: 0.0056430, AVERAGE_POPULARITY: 0.4525611, DIVERSITY_MEAN_INTER_LIST: 0.9557314, DIVERSITY_HERFINDAHL: 0.9955689, COVERAGE_ITEM: 0.3996756, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1019987, SHANNON_ENTROPY: 9.2705416, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 697, 'shrink': 1253, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0477947, PRECISION: 0.0066593, PRECISION_RECALL_MIN_DEN: 0.0665927, RECALL: 0.0665927, MAP: 0.0346950, MRR: 0.0346950, NDCG: 0.0422033, F1: 0.0121078, HIT_RATE: 0.0665927, ARHR: 0.0346950, RMSE: 0.9803208, NOVELTY: 0.0052040, AVERAGE_POPULARITY: 0.6689521, DIVERSITY_MEAN_INTER_LIST: 0.8140040, DIVERSITY_HERFINDAHL: 0.9813968, COVERAGE_ITEM: 0.2769613, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0520133, SHANNON_ENTROPY: 7.1368000, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 974, 'shrink': 129, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0570284, PRECISION: 0.0077863, PRECISION_RECALL_MIN_DEN: 0.0778631, RECALL: 0.0778631, MAP: 0.0412705, MRR: 0.0412705, NDCG: 0.0499275, F1: 0.0141569, HIT_RATE: 0.0778631, ARHR: 0.0412705, RMSE: 0.9438007, NOVELTY: 0.0055075, AVERAGE_POPULARITY: 0.5146141, DIVERSITY_MEAN_INTER_LIST: 0.9169126, DIVERSITY_HERFINDAHL: 0.9916872, COVERAGE_ITEM: 0.3544634, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0903188, SHANNON_ENTROPY: 8.6231095, 
CrossSearchBayesianSkopt: New best config found. Config 14: {'topK': 78, 'shrink': 17, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0623434, PRECISION: 0.0085670, PRECISION_RECALL_MIN_DEN: 0.0856699, RECALL: 0.0856699, MAP: 0.0447914, MRR: 0.0447914, NDCG: 0.0544601, F1: 0.0155763, HIT_RATE: 0.0856699, ARHR: 0.0447914, RMSE: 0.9695750, NOVELTY: 0.0061976, AVERAGE_POPULARITY: 0.3283832, DIVERSITY_MEAN_INTER_LIST: 0.9790183, DIVERSITY_HERFINDAHL: 0.9978975, COVERAGE_ITEM: 0.6810597, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1779945, SHANNON_ENTROPY: 10.6857441, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 749, 'shrink': 135, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0569504, PRECISION: 0.0078183, PRECISION_RECALL_MIN_DEN: 0.0781829, RECALL: 0.0781829, MAP: 0.0413339, MRR: 0.0413339, NDCG: 0.0500377, F1: 0.0142151, HIT_RATE: 0.0781829, ARHR: 0.0413339, RMSE: 0.9473846, NOVELTY: 0.0055176, AVERAGE_POPULARITY: 0.5093914, DIVERSITY_MEAN_INTER_LIST: 0.9220993, DIVERSITY_HERFINDAHL: 0.9922058, COVERAGE_ITEM: 0.3566910, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0914970, SHANNON_ENTROPY: 8.6879719, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 332, 'shrink': 1644, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0484944, PRECISION: 0.0067836, PRECISION_RECALL_MIN_DEN: 0.0678360, RECALL: 0.0678360, MAP: 0.0352081, MRR: 0.0352081, NDCG: 0.0428831, F1: 0.0123338, HIT_RATE: 0.0678360, ARHR: 0.0352081, RMSE: 0.9859178, NOVELTY: 0.0052796, AVERAGE_POPULARITY: 0.6361637, DIVERSITY_MEAN_INTER_LIST: 0.8499284, DIVERSITY_HERFINDAHL: 0.9849891, COVERAGE_ITEM: 0.3351825, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0613995, SHANNON_ENTROPY: 7.5630424, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 769, 'shrink': 1358, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0472964, PRECISION: 0.0066184, PRECISION_RECALL_MIN_DEN: 0.0661841, RECALL: 0.0661841, MAP: 0.0343491, MRR: 0.0343491, NDCG: 0.0418361, F1: 0.0120335, HIT_RATE: 0.0661841, ARHR: 0.0343491, RMSE: 0.9810736, NOVELTY: 0.0051885, AVERAGE_POPULARITY: 0.6773552, DIVERSITY_MEAN_INTER_LIST: 0.8043621, DIVERSITY_HERFINDAHL: 0.9804326, COVERAGE_ITEM: 0.2693701, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0502438, SHANNON_ENTROPY: 7.0400257, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 519, 'shrink': 1812, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0471740, PRECISION: 0.0065918, PRECISION_RECALL_MIN_DEN: 0.0659177, RECALL: 0.0659177, MAP: 0.0342628, MRR: 0.0342628, NDCG: 0.0417101, F1: 0.0119850, HIT_RATE: 0.0659177, ARHR: 0.0342628, RMSE: 0.9856005, NOVELTY: 0.0052127, AVERAGE_POPULARITY: 0.6688546, DIVERSITY_MEAN_INTER_LIST: 0.8156873, DIVERSITY_HERFINDAHL: 0.9815651, COVERAGE_ITEM: 0.2978535, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0535090, SHANNON_ENTROPY: 7.1765281, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 40, 'shrink': 1825, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0534561, PRECISION: 0.0074799, PRECISION_RECALL_MIN_DEN: 0.0747991, RECALL: 0.0747991, MAP: 0.0386208, MRR: 0.0386208, NDCG: 0.0471364, F1: 0.0135998, HIT_RATE: 0.0747991, ARHR: 0.0386208, RMSE: 0.9932789, NOVELTY: 0.0056725, AVERAGE_POPULARITY: 0.4710703, DIVERSITY_MEAN_INTER_LIST: 0.9482894, DIVERSITY_HERFINDAHL: 0.9948247, COVERAGE_ITEM: 0.4980265, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1089022, SHANNON_ENTROPY: 9.2992124, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 960, 'shrink': 269, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0543127, PRECISION: 0.0074462, PRECISION_RECALL_MIN_DEN: 0.0744616, RECALL: 0.0744616, MAP: 0.0394118, MRR: 0.0394118, NDCG: 0.0476948, F1: 0.0135385, HIT_RATE: 0.0744616, ARHR: 0.0394118, RMSE: 0.9544494, NOVELTY: 0.0053707, AVERAGE_POPULARITY: 0.5740991, DIVERSITY_MEAN_INTER_LIST: 0.8864956, DIVERSITY_HERFINDAHL: 0.9886456, COVERAGE_ITEM: 0.3012490, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0731865, SHANNON_ENTROPY: 8.0418619, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 93, 'shrink': 732, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0547133, PRECISION: 0.0076353, PRECISION_RECALL_MIN_DEN: 0.0763533, RECALL: 0.0763533, MAP: 0.0396141, MRR: 0.0396141, NDCG: 0.0482641, F1: 0.0138824, HIT_RATE: 0.0763533, ARHR: 0.0396141, RMSE: 0.9841479, NOVELTY: 0.0055549, AVERAGE_POPULARITY: 0.5026630, DIVERSITY_MEAN_INTER_LIST: 0.9379730, DIVERSITY_HERFINDAHL: 0.9937931, COVERAGE_ITEM: 0.4226440, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0915969, SHANNON_ENTROPY: 8.9014302, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 623, 'shrink': 1702, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0469342, PRECISION: 0.0065607, PRECISION_RECALL_MIN_DEN: 0.0656068, RECALL: 0.0656068, MAP: 0.0340922, MRR: 0.0340922, NDCG: 0.0415044, F1: 0.0119285, HIT_RATE: 0.0656068, ARHR: 0.0340922, RMSE: 0.9844240, NOVELTY: 0.0051952, AVERAGE_POPULARITY: 0.6766533, DIVERSITY_MEAN_INTER_LIST: 0.8064374, DIVERSITY_HERFINDAHL: 0.9806402, COVERAGE_ITEM: 0.2838821, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0512792, SHANNON_ENTROPY: 7.0730604, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 691, 'shrink': 709, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0503062, PRECISION: 0.0070225, PRECISION_RECALL_MIN_DEN: 0.0702251, RECALL: 0.0702251, MAP: 0.0365826, MRR: 0.0365826, NDCG: 0.0444994, F1: 0.0127682, HIT_RATE: 0.0702251, ARHR: 0.0365826, RMSE: 0.9721420, NOVELTY: 0.0052583, AVERAGE_POPULARITY: 0.6356643, DIVERSITY_MEAN_INTER_LIST: 0.8465047, DIVERSITY_HERFINDAHL: 0.9846467, COVERAGE_ITEM: 0.2829089, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582150, SHANNON_ENTROPY: 7.4705826, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 570, 'shrink': 131, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0570758, PRECISION: 0.0078307, PRECISION_RECALL_MIN_DEN: 0.0783072, RECALL: 0.0783072, MAP: 0.0414589, MRR: 0.0414589, NDCG: 0.0501629, F1: 0.0142377, HIT_RATE: 0.0783072, ARHR: 0.0414589, RMSE: 0.9505747, NOVELTY: 0.0055452, AVERAGE_POPULARITY: 0.4974547, DIVERSITY_MEAN_INTER_LIST: 0.9296929, DIVERSITY_HERFINDAHL: 0.9929652, COVERAGE_ITEM: 0.3664125, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0946365, SHANNON_ENTROPY: 8.8185702, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 425, 'shrink': 304, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0548258, PRECISION: 0.0075288, PRECISION_RECALL_MIN_DEN: 0.0752875, RECALL: 0.0752875, MAP: 0.0398993, MRR: 0.0398993, NDCG: 0.0482576, F1: 0.0136886, HIT_RATE: 0.0752875, ARHR: 0.0398993, RMSE: 0.9633995, NOVELTY: 0.0054283, AVERAGE_POPULARITY: 0.5476912, DIVERSITY_MEAN_INTER_LIST: 0.9107489, DIVERSITY_HERFINDAHL: 0.9910708, COVERAGE_ITEM: 0.3308570, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0783240, SHANNON_ENTROPY: 8.3510287, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 509, 'shrink': 558, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0520065, PRECISION: 0.0072250, PRECISION_RECALL_MIN_DEN: 0.0722501, RECALL: 0.0722501, MAP: 0.0377172, MRR: 0.0377172, NDCG: 0.0458559, F1: 0.0131364, HIT_RATE: 0.0722501, ARHR: 0.0377172, RMSE: 0.9702801, NOVELTY: 0.0053203, AVERAGE_POPULARITY: 0.6033511, DIVERSITY_MEAN_INTER_LIST: 0.8750548, DIVERSITY_HERFINDAHL: 0.9875016, COVERAGE_ITEM: 0.3068397, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0651831, SHANNON_ENTROPY: 7.8147298, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 376, 'shrink': 1377, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0489789, PRECISION: 0.0068165, PRECISION_RECALL_MIN_DEN: 0.0681647, RECALL: 0.0681647, MAP: 0.0355445, MRR: 0.0355445, NDCG: 0.0432274, F1: 0.0123936, HIT_RATE: 0.0681647, ARHR: 0.0355445, RMSE: 0.9836091, NOVELTY: 0.0052732, AVERAGE_POPULARITY: 0.6370981, DIVERSITY_MEAN_INTER_LIST: 0.8490314, DIVERSITY_HERFINDAHL: 0.9848994, COVERAGE_ITEM: 0.3251473, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0602747, SHANNON_ENTROPY: 7.5353995, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 855, 'shrink': 1941, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0458092, PRECISION: 0.0064479, PRECISION_RECALL_MIN_DEN: 0.0644789, RECALL: 0.0644789, MAP: 0.0332175, MRR: 0.0332175, NDCG: 0.0405628, F1: 0.0117234, HIT_RATE: 0.0644789, ARHR: 0.0332175, RMSE: 0.9851508, NOVELTY: 0.0051564, AVERAGE_POPULARITY: 0.6967362, DIVERSITY_MEAN_INTER_LIST: 0.7798928, DIVERSITY_HERFINDAHL: 0.9779858, COVERAGE_ITEM: 0.2592484, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0467026, SHANNON_ENTROPY: 6.8230825, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 502, 'shrink': 1841, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0473477, PRECISION: 0.0066069, PRECISION_RECALL_MIN_DEN: 0.0660687, RECALL: 0.0660687, MAP: 0.0343351, MRR: 0.0343351, NDCG: 0.0418044, F1: 0.0120125, HIT_RATE: 0.0660687, ARHR: 0.0343351, RMSE: 0.9858542, NOVELTY: 0.0052158, AVERAGE_POPULARITY: 0.6675066, DIVERSITY_MEAN_INTER_LIST: 0.8172591, DIVERSITY_HERFINDAHL: 0.9817223, COVERAGE_ITEM: 0.3002433, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0538651, SHANNON_ENTROPY: 7.1942000, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 556, 'shrink': 577, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0516611, PRECISION: 0.0071699, PRECISION_RECALL_MIN_DEN: 0.0716995, RECALL: 0.0716995, MAP: 0.0375759, MRR: 0.0375759, NDCG: 0.0456148, F1: 0.0130363, HIT_RATE: 0.0716995, ARHR: 0.0375759, RMSE: 0.9702226, NOVELTY: 0.0053060, AVERAGE_POPULARITY: 0.6104545, DIVERSITY_MEAN_INTER_LIST: 0.8693450, DIVERSITY_HERFINDAHL: 0.9869306, COVERAGE_ITEM: 0.3006002, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0636418, SHANNON_ENTROPY: 7.7392759, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 479, 'shrink': 1723, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0475440, PRECISION: 0.0066530, PRECISION_RECALL_MIN_DEN: 0.0665305, RECALL: 0.0665305, MAP: 0.0345796, MRR: 0.0345796, NDCG: 0.0420937, F1: 0.0120965, HIT_RATE: 0.0665305, ARHR: 0.0345796, RMSE: 0.9852792, NOVELTY: 0.0052257, AVERAGE_POPULARITY: 0.6619999, DIVERSITY_MEAN_INTER_LIST: 0.8239385, DIVERSITY_HERFINDAHL: 0.9823902, COVERAGE_ITEM: 0.3040065, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0549233, SHANNON_ENTROPY: 7.2570214, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 455, 'shrink': 1119, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0492138, PRECISION: 0.0068857, PRECISION_RECALL_MIN_DEN: 0.0688574, RECALL: 0.0688574, MAP: 0.0357318, MRR: 0.0357318, NDCG: 0.0435256, F1: 0.0125195, HIT_RATE: 0.0688574, ARHR: 0.0357318, RMSE: 0.9804075, NOVELTY: 0.0052627, AVERAGE_POPULARITY: 0.6394395, DIVERSITY_MEAN_INTER_LIST: 0.8465813, DIVERSITY_HERFINDAHL: 0.9846544, COVERAGE_ITEM: 0.3093052, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0587319, SHANNON_ENTROPY: 7.4853228, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 576, 'shrink': 421, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0529893, PRECISION: 0.0072996, PRECISION_RECALL_MIN_DEN: 0.0729961, RECALL: 0.0729961, MAP: 0.0385013, MRR: 0.0385013, NDCG: 0.0466429, F1: 0.0132720, HIT_RATE: 0.0729961, ARHR: 0.0385013, RMSE: 0.9653037, NOVELTY: 0.0053447, AVERAGE_POPULARITY: 0.5888673, DIVERSITY_MEAN_INTER_LIST: 0.8837309, DIVERSITY_HERFINDAHL: 0.9883692, COVERAGE_ITEM: 0.3045796, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0686142, SHANNON_ENTROPY: 7.9403983, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 699, 'shrink': 668, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0505904, PRECISION: 0.0070598, PRECISION_RECALL_MIN_DEN: 0.0705982, RECALL: 0.0705982, MAP: 0.0367973, MRR: 0.0367973, NDCG: 0.0447527, F1: 0.0128360, HIT_RATE: 0.0705982, ARHR: 0.0367973, RMSE: 0.9711582, NOVELTY: 0.0052639, AVERAGE_POPULARITY: 0.6322079, DIVERSITY_MEAN_INTER_LIST: 0.8493246, DIVERSITY_HERFINDAHL: 0.9849287, COVERAGE_ITEM: 0.2832874, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0588945, SHANNON_ENTROPY: 7.5031538, 
