CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.30553268100646164, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0566544, PRECISION: 0.0078325, PRECISION_RECALL_MIN_DEN: 0.0783250, RECALL: 0.0783250, MAP: 0.0409629, MRR: 0.0409629, NDCG: 0.0497805, F1: 0.0142409, HIT_RATE: 0.0783250, ARHR: 0.0409629, RMSE: 0.8012527, NOVELTY: 0.0059740, AVERAGE_POPULARITY: 0.4451588, DIVERSITY_MEAN_INTER_LIST: 0.9416550, DIVERSITY_HERFINDAHL: 0.9941613, COVERAGE_ITEM: 0.6700514, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1623749, SHANNON_ENTROPY: 9.8208672, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 868, 'shrink': 1464, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.3797792421756546, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0418521, PRECISION: 0.0059328, PRECISION_RECALL_MIN_DEN: 0.0593277, RECALL: 0.0593277, MAP: 0.0303304, MRR: 0.0303304, NDCG: 0.0371350, F1: 0.0107869, HIT_RATE: 0.0593277, ARHR: 0.0303304, RMSE: 0.9732503, NOVELTY: 0.0050849, AVERAGE_POPULARITY: 0.7381183, DIVERSITY_MEAN_INTER_LIST: 0.7165069, DIVERSITY_HERFINDAHL: 0.9716475, COVERAGE_ITEM: 0.2164152, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0421981, SHANNON_ENTROPY: 6.3508531, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 519, 'shrink': 1812, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.06956802992573309, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0531107, PRECISION: 0.0073565, PRECISION_RECALL_MIN_DEN: 0.0735645, RECALL: 0.0735645, MAP: 0.0384112, MRR: 0.0384112, NDCG: 0.0467033, F1: 0.0133754, HIT_RATE: 0.0735645, ARHR: 0.0384112, RMSE: 1.5937738, NOVELTY: 0.0053290, AVERAGE_POPULARITY: 0.6129895, DIVERSITY_MEAN_INTER_LIST: 0.8659609, DIVERSITY_HERFINDAHL: 0.9865922, COVERAGE_ITEM: 0.3452176, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0678207, SHANNON_ENTROPY: 7.8062201, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 981, 'shrink': 1549, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9286413714496995, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0416350, PRECISION: 0.0058981, PRECISION_RECALL_MIN_DEN: 0.0589813, RECALL: 0.0589813, MAP: 0.0301027, MRR: 0.0301027, NDCG: 0.0368828, F1: 0.0107239, HIT_RATE: 0.0589813, ARHR: 0.0301027, RMSE: 0.9743384, NOVELTY: 0.0050753, AVERAGE_POPULARITY: 0.7426409, DIVERSITY_MEAN_INTER_LIST: 0.7090024, DIVERSITY_HERFINDAHL: 0.9708971, COVERAGE_ITEM: 0.2049527, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0411300, SHANNON_ENTROPY: 6.2852671, 
CrossSearchBayesianSkopt: New best config found. Config 14: {'topK': 93, 'shrink': 732, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2426901426309958, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0591037, PRECISION: 0.0081940, PRECISION_RECALL_MIN_DEN: 0.0819397, RECALL: 0.0819397, MAP: 0.0426409, MRR: 0.0426409, NDCG: 0.0519106, F1: 0.0148981, HIT_RATE: 0.0819397, ARHR: 0.0426409, RMSE: 2.4646093, NOVELTY: 0.0056417, AVERAGE_POPULARITY: 0.4739487, DIVERSITY_MEAN_INTER_LIST: 0.9468768, DIVERSITY_HERFINDAHL: 0.9946835, COVERAGE_ITEM: 0.4534523, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1024355, SHANNON_ENTROPY: 9.2055320, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 782, 'shrink': 1451, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6785420903464788, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0518486, PRECISION: 0.0072419, PRECISION_RECALL_MIN_DEN: 0.0724188, RECALL: 0.0724188, MAP: 0.0374574, MRR: 0.0374574, NDCG: 0.0456902, F1: 0.0131671, HIT_RATE: 0.0724188, ARHR: 0.0374574, RMSE: 2.1179260, NOVELTY: 0.0052748, AVERAGE_POPULARITY: 0.6393071, DIVERSITY_MEAN_INTER_LIST: 0.8396800, DIVERSITY_HERFINDAHL: 0.9839643, COVERAGE_ITEM: 0.3191241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0617986, SHANNON_ENTROPY: 7.5033429, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 570, 'shrink': 131, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8438222682423, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0570531, PRECISION: 0.0078609, PRECISION_RECALL_MIN_DEN: 0.0786092, RECALL: 0.0786092, MAP: 0.0412057, MRR: 0.0412057, NDCG: 0.0500388, F1: 0.0142926, HIT_RATE: 0.0786092, ARHR: 0.0412057, RMSE: 0.9067386, NOVELTY: 0.0056746, AVERAGE_POPULARITY: 0.4261803, DIVERSITY_MEAN_INTER_LIST: 0.9548511, DIVERSITY_HERFINDAHL: 0.9954809, COVERAGE_ITEM: 0.3649094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1061281, SHANNON_ENTROPY: 9.2772435, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 607, 'shrink': 1487, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5609799761016852, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0427451, PRECISION: 0.0060358, PRECISION_RECALL_MIN_DEN: 0.0603579, RECALL: 0.0603579, MAP: 0.0310565, MRR: 0.0310565, NDCG: 0.0379365, F1: 0.0109742, HIT_RATE: 0.0603579, ARHR: 0.0310565, RMSE: 0.9749385, NOVELTY: 0.0051209, AVERAGE_POPULARITY: 0.7207446, DIVERSITY_MEAN_INTER_LIST: 0.7434159, DIVERSITY_HERFINDAHL: 0.9743383, COVERAGE_ITEM: 0.2472560, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0471934, SHANNON_ENTROPY: 6.5952323, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 376, 'shrink': 1377, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.7087119085672602, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0540679, PRECISION: 0.0075199, PRECISION_RECALL_MIN_DEN: 0.0751987, RECALL: 0.0751987, MAP: 0.0390091, MRR: 0.0390091, NDCG: 0.0475435, F1: 0.0136725, HIT_RATE: 0.0751987, ARHR: 0.0390091, RMSE: 1.9150467, NOVELTY: 0.0053789, AVERAGE_POPULARITY: 0.5891593, DIVERSITY_MEAN_INTER_LIST: 0.8857717, DIVERSITY_HERFINDAHL: 0.9885732, COVERAGE_ITEM: 0.3675804, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0730584, SHANNON_ENTROPY: 8.0657236, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 52, 'shrink': 1168, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.34516852881292054, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0524673, PRECISION: 0.0073325, PRECISION_RECALL_MIN_DEN: 0.0733247, RECALL: 0.0733247, MAP: 0.0377624, MRR: 0.0377624, NDCG: 0.0461367, F1: 0.0133318, HIT_RATE: 0.0733247, ARHR: 0.0377624, RMSE: 0.9875824, NOVELTY: 0.0055973, AVERAGE_POPULARITY: 0.5061119, DIVERSITY_MEAN_INTER_LIST: 0.9339827, DIVERSITY_HERFINDAHL: 0.9933941, COVERAGE_ITEM: 0.4811895, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1015125, SHANNON_ENTROPY: 8.9996565, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 556, 'shrink': 577, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9529631060947992, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0459809, PRECISION: 0.0060802, PRECISION_RECALL_MIN_DEN: 0.0608020, RECALL: 0.0608020, MAP: 0.0338543, MRR: 0.0338543, NDCG: 0.0402628, F1: 0.0110549, HIT_RATE: 0.0608020, ARHR: 0.0338543, RMSE: 0.7689984, NOVELTY: 0.0080278, AVERAGE_POPULARITY: 0.1052677, DIVERSITY_MEAN_INTER_LIST: 0.9901296, DIVERSITY_HERFINDAHL: 0.9990086, COVERAGE_ITEM: 0.6973993, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2845282, SHANNON_ENTROPY: 11.7916894, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 313, 'shrink': 1377, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.377938641090131, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0507690, PRECISION: 0.0070341, PRECISION_RECALL_MIN_DEN: 0.0703406, RECALL: 0.0703406, MAP: 0.0368129, MRR: 0.0368129, NDCG: 0.0447179, F1: 0.0127892, HIT_RATE: 0.0703406, ARHR: 0.0368129, RMSE: 0.9801142, NOVELTY: 0.0053942, AVERAGE_POPULARITY: 0.5778295, DIVERSITY_MEAN_INTER_LIST: 0.8920376, DIVERSITY_HERFINDAHL: 0.9891998, COVERAGE_ITEM: 0.3866342, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0712641, SHANNON_ENTROPY: 8.0926102, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 576, 'shrink': 421, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3955776504187192, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0334473, PRECISION: 0.0046343, PRECISION_RECALL_MIN_DEN: 0.0463431, RECALL: 0.0463431, MAP: 0.0239572, MRR: 0.0239572, NDCG: 0.0292418, F1: 0.0084260, HIT_RATE: 0.0463431, ARHR: 0.0239572, RMSE: 0.7128174, NOVELTY: 0.0080980, AVERAGE_POPULARITY: 0.0490024, DIVERSITY_MEAN_INTER_LIST: 0.9975893, DIVERSITY_HERFINDAHL: 0.9997545, COVERAGE_ITEM: 0.6718356, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4966201, SHANNON_ENTROPY: 12.8767523, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 459, 'shrink': 797, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7734784134142971, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0583932, PRECISION: 0.0081265, PRECISION_RECALL_MIN_DEN: 0.0812647, RECALL: 0.0812647, MAP: 0.0418512, MRR: 0.0418512, NDCG: 0.0511504, F1: 0.0147754, HIT_RATE: 0.0812647, ARHR: 0.0418512, RMSE: 1.2819019, NOVELTY: 0.0055246, AVERAGE_POPULARITY: 0.5430493, DIVERSITY_MEAN_INTER_LIST: 0.9126478, DIVERSITY_HERFINDAHL: 0.9912607, COVERAGE_ITEM: 0.4547824, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0949196, SHANNON_ENTROPY: 8.6287691, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 967, 'shrink': 1449, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.13533178062918363, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0511677, PRECISION: 0.0071477, PRECISION_RECALL_MIN_DEN: 0.0714774, RECALL: 0.0714774, MAP: 0.0368707, MRR: 0.0368707, NDCG: 0.0450228, F1: 0.0129959, HIT_RATE: 0.0714774, ARHR: 0.0368707, RMSE: 2.2012943, NOVELTY: 0.0052506, AVERAGE_POPULARITY: 0.6513817, DIVERSITY_MEAN_INTER_LIST: 0.8255381, DIVERSITY_HERFINDAHL: 0.9825501, COVERAGE_ITEM: 0.3067424, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0590498, SHANNON_ENTROPY: 7.3579825, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 772, 'shrink': 1711, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5193788362072145, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0556350, PRECISION: 0.0075669, PRECISION_RECALL_MIN_DEN: 0.0756694, RECALL: 0.0756694, MAP: 0.0396779, MRR: 0.0396779, NDCG: 0.0482198, F1: 0.0137581, HIT_RATE: 0.0756694, ARHR: 0.0396779, RMSE: 0.7828215, NOVELTY: 0.0068881, AVERAGE_POPULARITY: 0.1566794, DIVERSITY_MEAN_INTER_LIST: 0.9925107, DIVERSITY_HERFINDAHL: 0.9992467, COVERAGE_ITEM: 0.6556907, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3238134, SHANNON_ENTROPY: 11.9141902, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 582, 'shrink': 135, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.19152447455909632, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0527584, PRECISION: 0.0073396, PRECISION_RECALL_MIN_DEN: 0.0733958, RECALL: 0.0733958, MAP: 0.0381754, MRR: 0.0381754, NDCG: 0.0464751, F1: 0.0133447, HIT_RATE: 0.0733958, ARHR: 0.0381754, RMSE: 23.4865740, NOVELTY: 0.0053128, AVERAGE_POPULARITY: 0.6207888, DIVERSITY_MEAN_INTER_LIST: 0.8587053, DIVERSITY_HERFINDAHL: 0.9858667, COVERAGE_ITEM: 0.3379724, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0659957, SHANNON_ENTROPY: 7.7178045, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 434, 'shrink': 640, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.2659918411887326, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0465780, PRECISION: 0.0065891, PRECISION_RECALL_MIN_DEN: 0.0658910, RECALL: 0.0658910, MAP: 0.0336587, MRR: 0.0336587, NDCG: 0.0412291, F1: 0.0119802, HIT_RATE: 0.0658910, ARHR: 0.0336587, RMSE: 0.9642548, NOVELTY: 0.0052081, AVERAGE_POPULARITY: 0.6752179, DIVERSITY_MEAN_INTER_LIST: 0.8120896, DIVERSITY_HERFINDAHL: 0.9812054, COVERAGE_ITEM: 0.3069046, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0535571, SHANNON_ENTROPY: 7.1419914, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 29, 'shrink': 363, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.11066038067279685, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0573708, PRECISION: 0.0074559, PRECISION_RECALL_MIN_DEN: 0.0745593, RECALL: 0.0745593, MAP: 0.0418779, MRR: 0.0418779, NDCG: 0.0496945, F1: 0.0135562, HIT_RATE: 0.0745593, ARHR: 0.0418779, RMSE: 0.9553953, NOVELTY: 0.0077784, AVERAGE_POPULARITY: 0.1316223, DIVERSITY_MEAN_INTER_LIST: 0.9952976, DIVERSITY_HERFINDAHL: 0.9995253, COVERAGE_ITEM: 0.7827629, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4137924, SHANNON_ENTROPY: 12.6389249, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 593, 'shrink': 1181, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2979938502114983, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0537186, PRECISION: 0.0072792, PRECISION_RECALL_MIN_DEN: 0.0727919, RECALL: 0.0727919, MAP: 0.0384436, MRR: 0.0384436, NDCG: 0.0465976, F1: 0.0132349, HIT_RATE: 0.0727919, ARHR: 0.0384436, RMSE: 0.7716120, NOVELTY: 0.0071541, AVERAGE_POPULARITY: 0.1345656, DIVERSITY_MEAN_INTER_LIST: 0.9941472, DIVERSITY_HERFINDAHL: 0.9994103, COVERAGE_ITEM: 0.6762044, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3830493, SHANNON_ENTROPY: 12.2578066, 
CrossSearchBayesianSkopt: New best config found. Config 30: {'topK': 537, 'shrink': 1755, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7893169014655281, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0603303, PRECISION: 0.0082810, PRECISION_RECALL_MIN_DEN: 0.0828101, RECALL: 0.0828101, MAP: 0.0432933, MRR: 0.0432933, NDCG: 0.0526430, F1: 0.0150564, HIT_RATE: 0.0828101, ARHR: 0.0432933, RMSE: 0.8173016, NOVELTY: 0.0065451, AVERAGE_POPULARITY: 0.2739855, DIVERSITY_MEAN_INTER_LIST: 0.9840013, DIVERSITY_HERFINDAHL: 0.9983958, COVERAGE_ITEM: 0.6504028, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2834212, SHANNON_ENTROPY: 11.3543359, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 577, 'shrink': 1216, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9239471753779762, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0478204, PRECISION: 0.0066868, PRECISION_RECALL_MIN_DEN: 0.0668680, RECALL: 0.0668680, MAP: 0.0347890, MRR: 0.0347890, NDCG: 0.0423345, F1: 0.0121578, HIT_RATE: 0.0668680, ARHR: 0.0347890, RMSE: 0.9760935, NOVELTY: 0.0052246, AVERAGE_POPULARITY: 0.6581315, DIVERSITY_MEAN_INTER_LIST: 0.8271919, DIVERSITY_HERFINDAHL: 0.9827155, COVERAGE_ITEM: 0.2900135, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0540741, SHANNON_ENTROPY: 7.2590615, 
