CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0504127, PRECISION: 0.0069994, PRECISION_RECALL_MIN_DEN: 0.0699942, RECALL: 0.0699942, MAP: 0.0365685, MRR: 0.0365685, NDCG: 0.0444442, F1: 0.0127262, HIT_RATE: 0.0699942, ARHR: 0.0365685, RMSE: 0.9737187, NOVELTY: 0.0052588, AVERAGE_POPULARITY: 0.6366581, DIVERSITY_MEAN_INTER_LIST: 0.8467429, DIVERSITY_HERFINDAHL: 0.9846705, COVERAGE_ITEM: 0.2884672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0581329, SHANNON_ENTROPY: 7.4715007, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 98, 'shrink': 269, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0585027, PRECISION: 0.0080732, PRECISION_RECALL_MIN_DEN: 0.0807318, RECALL: 0.0807318, MAP: 0.0421927, MRR: 0.0421927, NDCG: 0.0512933, F1: 0.0146785, HIT_RATE: 0.0807318, ARHR: 0.0421927, RMSE: 0.9752187, NOVELTY: 0.0056425, AVERAGE_POPULARITY: 0.4528628, DIVERSITY_MEAN_INTER_LIST: 0.9554147, DIVERSITY_HERFINDAHL: 0.9955372, COVERAGE_ITEM: 0.3992430, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1017090, SHANNON_ENTROPY: 9.2624418, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 697, 'shrink': 1253, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0480197, PRECISION: 0.0066868, PRECISION_RECALL_MIN_DEN: 0.0668680, RECALL: 0.0668680, MAP: 0.0348751, MRR: 0.0348751, NDCG: 0.0424064, F1: 0.0121578, HIT_RATE: 0.0668680, ARHR: 0.0348751, RMSE: 0.9800291, NOVELTY: 0.0052048, AVERAGE_POPULARITY: 0.6684470, DIVERSITY_MEAN_INTER_LIST: 0.8142732, DIVERSITY_HERFINDAHL: 0.9814237, COVERAGE_ITEM: 0.2768424, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0520632, SHANNON_ENTROPY: 7.1406181, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 974, 'shrink': 129, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0578228, PRECISION: 0.0078698, PRECISION_RECALL_MIN_DEN: 0.0786980, RECALL: 0.0786980, MAP: 0.0418043, MRR: 0.0418043, NDCG: 0.0505406, F1: 0.0143087, HIT_RATE: 0.0786980, ARHR: 0.0418043, RMSE: 0.9419850, NOVELTY: 0.0055126, AVERAGE_POPULARITY: 0.5122378, DIVERSITY_MEAN_INTER_LIST: 0.9177845, DIVERSITY_HERFINDAHL: 0.9917744, COVERAGE_ITEM: 0.3540633, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0907318, SHANNON_ENTROPY: 8.6404376, 
CrossSearchBayesianSkopt: New best config found. Config 14: {'topK': 78, 'shrink': 17, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0632681, PRECISION: 0.0086665, PRECISION_RECALL_MIN_DEN: 0.0866646, RECALL: 0.0866646, MAP: 0.0454754, MRR: 0.0454754, NDCG: 0.0552243, F1: 0.0157572, HIT_RATE: 0.0866646, ARHR: 0.0454754, RMSE: 0.9670505, NOVELTY: 0.0062089, AVERAGE_POPULARITY: 0.3253147, DIVERSITY_MEAN_INTER_LIST: 0.9792307, DIVERSITY_HERFINDAHL: 0.9979187, COVERAGE_ITEM: 0.6802379, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1787273, SHANNON_ENTROPY: 10.6994725, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 749, 'shrink': 135, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0576797, PRECISION: 0.0078947, PRECISION_RECALL_MIN_DEN: 0.0789467, RECALL: 0.0789467, MAP: 0.0418310, MRR: 0.0418310, NDCG: 0.0506052, F1: 0.0143539, HIT_RATE: 0.0789467, ARHR: 0.0418310, RMSE: 0.9456185, NOVELTY: 0.0055221, AVERAGE_POPULARITY: 0.5073144, DIVERSITY_MEAN_INTER_LIST: 0.9227481, DIVERSITY_HERFINDAHL: 0.9922707, COVERAGE_ITEM: 0.3564315, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0917897, SHANNON_ENTROPY: 8.7018117, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 332, 'shrink': 1644, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0486671, PRECISION: 0.0068040, PRECISION_RECALL_MIN_DEN: 0.0680403, RECALL: 0.0680403, MAP: 0.0353720, MRR: 0.0353720, NDCG: 0.0430563, F1: 0.0123710, HIT_RATE: 0.0680403, ARHR: 0.0353720, RMSE: 0.9857181, NOVELTY: 0.0052799, AVERAGE_POPULARITY: 0.6360716, DIVERSITY_MEAN_INTER_LIST: 0.8497568, DIVERSITY_HERFINDAHL: 0.9849719, COVERAGE_ITEM: 0.3351068, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0613886, SHANNON_ENTROPY: 7.5626124, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 769, 'shrink': 1358, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0475480, PRECISION: 0.0066397, PRECISION_RECALL_MIN_DEN: 0.0663973, RECALL: 0.0663973, MAP: 0.0345774, MRR: 0.0345774, NDCG: 0.0420624, F1: 0.0120722, HIT_RATE: 0.0663973, ARHR: 0.0345774, RMSE: 0.9808096, NOVELTY: 0.0051894, AVERAGE_POPULARITY: 0.6768339, DIVERSITY_MEAN_INTER_LIST: 0.8047072, DIVERSITY_HERFINDAHL: 0.9804671, COVERAGE_ITEM: 0.2692836, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0502982, SHANNON_ENTROPY: 7.0442952, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 519, 'shrink': 1812, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0473319, PRECISION: 0.0066015, PRECISION_RECALL_MIN_DEN: 0.0660154, RECALL: 0.0660154, MAP: 0.0343857, MRR: 0.0343857, NDCG: 0.0418297, F1: 0.0120028, HIT_RATE: 0.0660154, ARHR: 0.0343857, RMSE: 0.9854229, NOVELTY: 0.0052132, AVERAGE_POPULARITY: 0.6685716, DIVERSITY_MEAN_INTER_LIST: 0.8157851, DIVERSITY_HERFINDAHL: 0.9815749, COVERAGE_ITEM: 0.2977453, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0535260, SHANNON_ENTROPY: 7.1783744, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 40, 'shrink': 1825, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0535094, PRECISION: 0.0074843, PRECISION_RECALL_MIN_DEN: 0.0748435, RECALL: 0.0748435, MAP: 0.0386071, MRR: 0.0386071, NDCG: 0.0471389, F1: 0.0136079, HIT_RATE: 0.0748435, ARHR: 0.0386071, RMSE: 0.9931335, NOVELTY: 0.0056715, AVERAGE_POPULARITY: 0.4716461, DIVERSITY_MEAN_INTER_LIST: 0.9479936, DIVERSITY_HERFINDAHL: 0.9947951, COVERAGE_ITEM: 0.4979184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1088118, SHANNON_ENTROPY: 9.2936319, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 960, 'shrink': 269, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0548761, PRECISION: 0.0075048, PRECISION_RECALL_MIN_DEN: 0.0750477, RECALL: 0.0750477, MAP: 0.0398641, MRR: 0.0398641, NDCG: 0.0481812, F1: 0.0136450, HIT_RATE: 0.0750477, ARHR: 0.0398641, RMSE: 0.9532201, NOVELTY: 0.0053741, AVERAGE_POPULARITY: 0.5723276, DIVERSITY_MEAN_INTER_LIST: 0.8873125, DIVERSITY_HERFINDAHL: 0.9887273, COVERAGE_ITEM: 0.3010435, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0734477, SHANNON_ENTROPY: 8.0551894, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 93, 'shrink': 732, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0548939, PRECISION: 0.0076513, PRECISION_RECALL_MIN_DEN: 0.0765132, RECALL: 0.0765132, MAP: 0.0397670, MRR: 0.0397670, NDCG: 0.0484201, F1: 0.0139115, HIT_RATE: 0.0765132, ARHR: 0.0397670, RMSE: 0.9836713, NOVELTY: 0.0055540, AVERAGE_POPULARITY: 0.5031882, DIVERSITY_MEAN_INTER_LIST: 0.9375504, DIVERSITY_HERFINDAHL: 0.9937509, COVERAGE_ITEM: 0.4224385, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0914497, SHANNON_ENTROPY: 8.8943968, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 623, 'shrink': 1702, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0471108, PRECISION: 0.0065776, PRECISION_RECALL_MIN_DEN: 0.0657756, RECALL: 0.0657756, MAP: 0.0342160, MRR: 0.0342160, NDCG: 0.0416408, F1: 0.0119592, HIT_RATE: 0.0657756, ARHR: 0.0342160, RMSE: 0.9842293, NOVELTY: 0.0051958, AVERAGE_POPULARITY: 0.6762977, DIVERSITY_MEAN_INTER_LIST: 0.8066322, DIVERSITY_HERFINDAHL: 0.9806596, COVERAGE_ITEM: 0.2837416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0513105, SHANNON_ENTROPY: 7.0757815, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 691, 'shrink': 709, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0506575, PRECISION: 0.0070509, PRECISION_RECALL_MIN_DEN: 0.0705093, RECALL: 0.0705093, MAP: 0.0368283, MRR: 0.0368283, NDCG: 0.0447590, F1: 0.0128199, HIT_RATE: 0.0705093, ARHR: 0.0368283, RMSE: 0.9715864, NOVELTY: 0.0052596, AVERAGE_POPULARITY: 0.6349064, DIVERSITY_MEAN_INTER_LIST: 0.8468545, DIVERSITY_HERFINDAHL: 0.9846817, COVERAGE_ITEM: 0.2827251, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0583010, SHANNON_ENTROPY: 7.4760015, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 570, 'shrink': 131, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0578021, PRECISION: 0.0079204, PRECISION_RECALL_MIN_DEN: 0.0792042, RECALL: 0.0792042, MAP: 0.0419724, MRR: 0.0419724, NDCG: 0.0507714, F1: 0.0144008, HIT_RATE: 0.0792042, ARHR: 0.0419724, RMSE: 0.9488015, NOVELTY: 0.0055493, AVERAGE_POPULARITY: 0.4955791, DIVERSITY_MEAN_INTER_LIST: 0.9301668, DIVERSITY_HERFINDAHL: 0.9930125, COVERAGE_ITEM: 0.3660232, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0948348, SHANNON_ENTROPY: 8.8291952, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 425, 'shrink': 304, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0553518, PRECISION: 0.0076042, PRECISION_RECALL_MIN_DEN: 0.0760425, RECALL: 0.0760425, MAP: 0.0402504, MRR: 0.0402504, NDCG: 0.0487050, F1: 0.0138259, HIT_RATE: 0.0760425, ARHR: 0.0402504, RMSE: 0.9622926, NOVELTY: 0.0054303, AVERAGE_POPULARITY: 0.5467043, DIVERSITY_MEAN_INTER_LIST: 0.9109101, DIVERSITY_HERFINDAHL: 0.9910870, COVERAGE_ITEM: 0.3304677, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0784050, SHANNON_ENTROPY: 8.3556442, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 509, 'shrink': 558, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0523962, PRECISION: 0.0072534, PRECISION_RECALL_MIN_DEN: 0.0725343, RECALL: 0.0725343, MAP: 0.0379988, MRR: 0.0379988, NDCG: 0.0461438, F1: 0.0131881, HIT_RATE: 0.0725343, ARHR: 0.0379988, RMSE: 0.9695866, NOVELTY: 0.0053217, AVERAGE_POPULARITY: 0.6025834, DIVERSITY_MEAN_INTER_LIST: 0.8752679, DIVERSITY_HERFINDAHL: 0.9875229, COVERAGE_ITEM: 0.3066342, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0652402, SHANNON_ENTROPY: 7.8191014, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 376, 'shrink': 1377, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0491713, PRECISION: 0.0068422, PRECISION_RECALL_MIN_DEN: 0.0684222, RECALL: 0.0684222, MAP: 0.0356937, MRR: 0.0356937, NDCG: 0.0434026, F1: 0.0124404, HIT_RATE: 0.0684222, ARHR: 0.0356937, RMSE: 0.9833553, NOVELTY: 0.0052736, AVERAGE_POPULARITY: 0.6368991, DIVERSITY_MEAN_INTER_LIST: 0.8489202, DIVERSITY_HERFINDAHL: 0.9848882, COVERAGE_ITEM: 0.3251473, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0602673, SHANNON_ENTROPY: 7.5358330, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 855, 'shrink': 1941, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0459829, PRECISION: 0.0064639, PRECISION_RECALL_MIN_DEN: 0.0646387, RECALL: 0.0646387, MAP: 0.0333342, MRR: 0.0333342, NDCG: 0.0406917, F1: 0.0117525, HIT_RATE: 0.0646387, ARHR: 0.0333342, RMSE: 0.9849877, NOVELTY: 0.0051570, AVERAGE_POPULARITY: 0.6963651, DIVERSITY_MEAN_INTER_LIST: 0.7801907, DIVERSITY_HERFINDAHL: 0.9780156, COVERAGE_ITEM: 0.2591511, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0467432, SHANNON_ENTROPY: 6.8263075, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 502, 'shrink': 1841, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0474917, PRECISION: 0.0066193, PRECISION_RECALL_MIN_DEN: 0.0661930, RECALL: 0.0661930, MAP: 0.0344416, MRR: 0.0344416, NDCG: 0.0419172, F1: 0.0120351, HIT_RATE: 0.0661930, ARHR: 0.0344416, RMSE: 0.9856806, NOVELTY: 0.0052162, AVERAGE_POPULARITY: 0.6672603, DIVERSITY_MEAN_INTER_LIST: 0.8172658, DIVERSITY_HERFINDAHL: 0.9817229, COVERAGE_ITEM: 0.3000919, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0538900, SHANNON_ENTROPY: 7.1955243, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 556, 'shrink': 577, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0520410, PRECISION: 0.0072170, PRECISION_RECALL_MIN_DEN: 0.0721702, RECALL: 0.0721702, MAP: 0.0378869, MRR: 0.0378869, NDCG: 0.0459640, F1: 0.0131218, HIT_RATE: 0.0721702, ARHR: 0.0378869, RMSE: 0.9695484, NOVELTY: 0.0053075, AVERAGE_POPULARITY: 0.6096382, DIVERSITY_MEAN_INTER_LIST: 0.8696005, DIVERSITY_HERFINDAHL: 0.9869562, COVERAGE_ITEM: 0.3002649, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0637386, SHANNON_ENTROPY: 7.7442916, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 479, 'shrink': 1723, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0476990, PRECISION: 0.0066664, PRECISION_RECALL_MIN_DEN: 0.0666637, RECALL: 0.0666637, MAP: 0.0347161, MRR: 0.0347161, NDCG: 0.0422309, F1: 0.0121207, HIT_RATE: 0.0666637, ARHR: 0.0347161, RMSE: 0.9850891, NOVELTY: 0.0052261, AVERAGE_POPULARITY: 0.6617436, DIVERSITY_MEAN_INTER_LIST: 0.8239575, DIVERSITY_HERFINDAHL: 0.9823921, COVERAGE_ITEM: 0.3039416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0549417, SHANNON_ENTROPY: 7.2584537, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 455, 'shrink': 1119, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0494082, PRECISION: 0.0068928, PRECISION_RECALL_MIN_DEN: 0.0689285, RECALL: 0.0689285, MAP: 0.0358676, MRR: 0.0358676, NDCG: 0.0436504, F1: 0.0125324, HIT_RATE: 0.0689285, ARHR: 0.0358676, RMSE: 0.9800765, NOVELTY: 0.0052634, AVERAGE_POPULARITY: 0.6390530, DIVERSITY_MEAN_INTER_LIST: 0.8466425, DIVERSITY_HERFINDAHL: 0.9846605, COVERAGE_ITEM: 0.3092511, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0587536, SHANNON_ENTROPY: 7.4874364, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 576, 'shrink': 421, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0534166, PRECISION: 0.0073565, PRECISION_RECALL_MIN_DEN: 0.0735645, RECALL: 0.0735645, MAP: 0.0388546, MRR: 0.0388546, NDCG: 0.0470471, F1: 0.0133754, HIT_RATE: 0.0735645, ARHR: 0.0388546, RMSE: 0.9644194, NOVELTY: 0.0053466, AVERAGE_POPULARITY: 0.5878953, DIVERSITY_MEAN_INTER_LIST: 0.8840375, DIVERSITY_HERFINDAHL: 0.9883998, COVERAGE_ITEM: 0.3043525, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0687250, SHANNON_ENTROPY: 7.9464815, 
CrossSearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 699, 'shrink': 668, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0509229, PRECISION: 0.0070794, PRECISION_RECALL_MIN_DEN: 0.0707936, RECALL: 0.0707936, MAP: 0.0370386, MRR: 0.0370386, NDCG: 0.0449885, F1: 0.0128716, HIT_RATE: 0.0707936, ARHR: 0.0370386, RMSE: 0.9705680, NOVELTY: 0.0052653, AVERAGE_POPULARITY: 0.6314069, DIVERSITY_MEAN_INTER_LIST: 0.8496970, DIVERSITY_HERFINDAHL: 0.9849659, COVERAGE_ITEM: 0.2831252, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0589822, SHANNON_ENTROPY: 7.5087856, 
